Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234)
0.0,0.7988193008277243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7185124052077452,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1024577901531524e-22,0.7988193008277243,1.8392807032941563e-26,8.2096258045126e-27,3.020354751363965e-41,1.9528000571018396e-41,0.0,0.0,1.2735309689741218e-21,2.1378995471891413e-39,2.409537179772703e-54,5.794062547273979e-76,6.019942673845714e-57,8.351190525235132e-107,1.4922566575640684e-84,6.201103567769261e-83,3.0616329002361674e-84,3.3493927637872756e-38,-2.11949139655835e-117,2.9372515053967734e-73,-8.328005373981451e-114,-8.288906469778897e-134,5.912091635234335e-87,2.033918584164078e-96,2.1801812666188393e-60,1.9601800344470282e-120,9.689179228709415e-121,6.902997540252098e-138,-1.1893300371021952e-182,4.089014016908157e-146,2.3709691545647113e-59,1.6663407449796134e-156,7.140841233947494e-132,7.836423555852036e-156,3.76,0.0,0.7185124052077452,0.9999999999999996,1.991866222574173e-56,2.070505246348297e-120,1.3665977637901845e-17,8.429007927670496e-18,2.3432988115991547e-18,2.8936708986321947e-18,4.29800335617833e-16,1.3736779145795356e-35,4.5715726847252306e-55,1.2676020977249722e-34,2.6947271546256994e-43,1.5720936503003608e-37,2.3032563717079745e-91,2.734382730836317e-89,7.081223723070871e-40,2.6239658219099066e-91,3.1005898604090367e-41,7.65616375434125e-110,2.4113438055225438e-89,1.3653802168991926e-92,2.4327013992870273e-91,1.5668608541331343e-89,5.0852086219738866e-111,4.3039079471140556e-110,6.054918337852967e-107,5.913574063809426e-43,3.3493927637872756e-38,1.444496660218206e-56,9.746956703024126e-22,2.9885369147872935e-22,5.309025551630411e-36,5.621575454967806e-52,4.0349437002309885e-36,9.105427782039482e-37,1.10640717708748e-36,9.7301246913656e-38,1.0588644170353234e-36,4.1066296570177076e-52
3.086881812428827e-22,0.7988193008277243,5.149985970903247e-26,2.2986952252637656e-26,1.8242942698747003e-40,1.1794912348105013e-40,0.0,0.0,3.565886713127539e-21,1.2912913265022407e-38,2.860602539826531e-53,1.2961086155751624e-74,7.146875942391497e-56,4.809860784615893e-105,4.691893693141486e-83,1.3981613859250368e-81,7.019282487237747e-83,2.023033229328094e-37,1.0983604577241075e-115,9.235188693208648e-72,4.315729618495434e-112,7.649132365682819e-132,1.858856203861295e-85,1.2373319299760397e-94,2.588311199730534e-59,1.512562730647739e-118,7.476604768114944e-119,9.406306177586814e-136,9.854972488467357e-180,6.188343044751735e-144,2.8148145802999527e-58,3.082009789787454e-154,7.60919668662462e-130,1.44855183637605e-153,3.76,0.0,0.7185124052077452,0.9999999999999988,2.3647437504374522e-55,3.192016209369811e-118,3.826473738612517e-17,2.360122219747814e-17,6.5612366724776924e-18,8.102278516169332e-18,1.2034409397295463e-15,8.297014604060611e-35,5.427371091305911e-54,7.656316670255859e-34,1.6276152013936296e-42,9.49544564781554e-37,1.100293207841929e-89,1.3062474431133002e-87,4.2770591287358175e-39,1.2534999607170671e-89,1.872756275687574e-40,6.659955976489787e-108,1.151927872023839e-87,6.522585141756131e-91,1.1621306508569246e-89,7.485082323496544e-88,4.423529412417265e-109,3.743890331289064e-108,5.267062051559001e-105,3.5717987352947126e-42,2.023033229328094e-37,1.715460993193394e-55,2.7291478768467486e-21,8.367903361404233e-22,3.206651433184724e-35,6.673959003276952e-51,2.437105994939492e-35,5.499678380351944e-36,6.682699349608309e-36,5.876995313584348e-37,6.395541078892822e-36,4.875661108099274e-51
7.055729856980176e-22,0.7988193008277243,1.1771396512839863e-25,5.254160514889731e-26,8.783191617729393e-40,5.678742570867002e-40,0.0,0.0,8.150598201434366e-21,6.217011883226012e-38,2.8085565367442156e-52,2.5608922113954272e-73,7.01684518064024e-55,2.156943607490499e-103,1.0467356734672971e-81,2.772256542655778e-80,1.4019698507125212e-81,9.740034157101928e-37,1.1527739806828338e-113,2.060319794753016e-70,4.52953379640792e-110,1.6306651288968628e-129,4.147005937664352e-84,5.585907788930722e-93,2.5412192843728934e-58,1.6484648539184935e-116,8.148369609484575e-117,2.0933365878350675e-133,1.01237848117131e-176,1.3901354012662052e-141,2.763601646562841e-57,1.4354300664803913e-151,1.7316718812867919e-127,6.746355518912964e-151,3.76,0.0,0.7185124052077452,0.9999999999999972,2.3217195119501963e-54,2.9275080229699835e-116,8.74622568825718e-17,5.394565073709643e-17,1.4997112394235008e-17,1.851949375124036e-17,2.7507221479514283e-15,3.994655375597614e-34,5.328625121316099e-53,3.686186900179762e-33,7.836266565647106e-42,4.571648335075457e-36,5.729203921788496e-88,6.80160335496479e-86,2.059219858670501e-38,6.5269483077061e-88,9.016515314077066e-40,6.922519126754576e-106,5.9980645476798286e-86,3.3962965605898904e-89,6.051190205545776e-88,3.897466847654915e-86,4.59792333062206e-107,3.891490051632402e-106,5.474711533015198e-103,1.7196673388649352e-41,9.740034157101928e-37,1.6844927797699572e-54,6.2380522899353935e-21,1.912663625463737e-21,1.5438646304140592e-34,6.552543315167963e-50,1.1733616280271334e-34,2.647858399017226e-35,3.2174320709702847e-35,2.8295202602484046e-36,3.079177724737922e-35,4.787071466807958e-50
1.4993425946082874e-21,0.7988193008277243,2.5014217623586846e-25,1.1165091094145476e-25,3.8358505350206545e-39,2.4800560774946843e-39,0.0,0.0,1.7320021178047997e-20,2.7151324249301997e-37,2.484136450860872e-51,4.556970862234744e-72,6.206320099039792e-54,8.114961246604771e-102,1.9604200741408207e-80,4.941029374984079e-79,2.5070513413034756e-80,4.253728810018582e-36,9.203677191863896e-112,3.8587509555638974e-69,3.616352175232438e-108,2.607920782290825e-127,7.766883172052588e-83,2.109132496392634e-91,2.2476796786374677e-57,1.348546604002431e-114,6.665872274350131e-115,3.466337787841018e-131,7.154213692367827e-174,2.3105393799349464e-139,2.444374359594643e-56,4.9482307145951505e-149,2.9264453535241156e-125,2.3256019164632305e-148,3.76,0.0,0.7185124052077451,0.9999999999999941,2.0535346456580807e-53,2.2299213041000604e-114,1.8585729587546508e-16,1.1463450781634503e-16,3.1868863837750596e-17,3.9353924221369403e-17,5.845284564389011e-15,1.7445709515163457e-33,4.7131085750451e-52,1.60985466410611e-32,3.422303486370045e-41,1.9965589358835198e-35,2.286374888151607e-86,2.7143413504244643e-84,8.993154128315303e-38,2.6047337310267254e-86,3.9377491227272465e-39,5.541260240855389e-104,2.393670106093509e-84,1.3553728013263908e-87,2.4148711615550512e-86,1.5553767066960392e-84,3.6804939467779096e-105,3.115016182108253e-104,4.3823355042659154e-101,7.510239072398553e-41,4.253728810018582e-36,1.4900112950214018e-53,1.3255861116112572e-20,4.064410204110067e-21,6.742462450569959e-34,5.795654642142213e-49,5.124378499292964e-34,1.1563893283191642e-34,1.4051371149009893e-34,1.2357258358026954e-35,1.3447578096340353e-34,4.234157553578696e-49
3.0868818124288268e-21,0.7988193008277245,5.149985995257578e-25,2.2986952252672216e-25,1.6013920898827511e-38,1.0353745947532084e-38,0.0,0.0,3.5658867131275126e-20,1.133514339919673e-36,2.0880663674004972e-50,7.685997420030749e-71,5.216786002093258e-53,2.809953500047564e-100,3.386138163671716e-79,8.340235934187199e-78,4.238535965221182e-79,1.7758480433678486e-35,6.55589875156866e-110,6.665032672147747e-68,2.5759746083405723e-106,3.718161402235934e-125,1.3415359222740013e-81,7.317560420710648e-90,1.8893102027590423e-56,9.70558785021637e-113,4.7974766881921196e-113,5.020415517312897e-129,4.275502981079059e-171,3.352347757708287e-137,2.054643933847628e-55,1.4644363136288525e-146,4.284957938773398e-123,6.882648341545588e-146,3.76,0.0,0.7185124052077448,0.9999999999999879,1.7261196165973238e-52,1.5542753282515607e-112,3.8264737386125157e-16,2.3601222197489036e-16,6.561236672478558e-17,8.102278516157548e-17,1.2034409397239462e-14,7.283240303103711e-33,3.961651743421336e-51,6.720826322096358e-32,1.4287443373784031e-40,8.335240533911005e-35,8.126134453233378e-85,9.647194289845292e-83,3.754464817985892e-37,9.257631643398699e-85,1.6439327439958342e-38,3.9451065258390505e-102,8.507478462748859e-83,4.817207219559344e-86,8.582830334492783e-85,5.528052424596089e-83,2.6203318481031907e-103,2.2177393109102362e-102,3.1200087425755504e-99,3.1353769788131317e-40,1.7758480433678486e-35,1.25248253725263e-52,2.7291478768466484e-20,8.36790336140153e-21,2.814845347473848e-33,4.871598640076851e-48,2.1393271498621177e-33,4.827697810038686e-34,5.866170852916824e-34,5.158912111355417e-35,5.614099139113857e-34,3.559083206767935e-48
6.261960248069906e-21,0.7988193008277243,1.0447114504053355e-24,4.663067456978672e-25,6.542209211652153e-38,4.229843073597018e-38,0.0,0.0,7.233655903772891e-20,4.6307759351934855e-36,1.7119229636549572e-49,1.262427384203281e-69,4.2770363494693485e-52,9.348892426943693e-99,5.626119228272094e-78,1.37040931579999e-76,6.969917498562723e-78,7.254918702139995e-35,4.4228506361833375e-108,1.107405146877736e-66,1.7378473042771074e-104,5.0188116952086544e-123,2.228982009337382e-80,2.4370531405778847e-88,1.5489706515429079e-55,6.578763475633659e-111,3.2518859133493276e-111,6.8271192307211915e-127,2.361343639935105e-168,4.5626942106261615e-135,1.684521233333412e-54,4.026465217913938e-144,5.8593157012164395e-121,1.892382638761227e-143,3.76,0.0,0.7185124052077444,0.9999999999999756,1.415177154762268e-51,1.0376207978155609e-110,7.762275298328243e-16,4.787676502921735e-16,1.330993724988708e-16,1.6436050704177962e-16,2.441265906284149e-14,2.975441310098411e-32,3.2480014521747897e-50,2.745676847721112e-31,5.836886805970344e-40,3.4052177303122248e-34,2.7371058851488493e-83,3.2494407294931756e-81,1.5338213833236357e-36,3.1182253012899668e-83,6.71600166129922e-38,2.659763143642941e-100,2.865553050098272e-81,1.622568061911082e-84,2.8909336357915842e-83,1.8620003042917497e-81,1.7666093495949924e-101,1.4951842853247244e-100,2.1034880064813256e-97,1.2809038051197726e-39,7.254918702139995e-35,1.0268760825826188e-51,5.536271407317253e-20,1.6974889675979687e-20,1.1499561705848488e-32,3.9940315708143737e-47,8.739849452445348e-33,1.972272079302027e-33,2.3965222018577225e-33,2.107583928642946e-34,2.2935426818689034e-33,2.917958867569477e-47
1.2612117119352065e-20,0.7988193008277247,2.1041371693636878e-24,9.391811920425974e-25,2.6444655667890767e-37,1.7097702155812015e-37,0.0,0.0,1.4569194285063461e-19,1.87183367274229e-35,1.3863596005740775e-48,2.046449191491312e-68,3.463654925486284e-51,3.05008113695468e-97,9.171994383902276e-77,2.2219135294900373e-75,1.1305063349832678e-76,2.932554135602824e-34,2.905632370606867e-106,1.8053498840411176e-65,1.1416947644966923e-102,6.595644097121629e-121,3.6338032741966757e-79,7.954947350074938e-87,1.2543965934061006e-54,4.331753284333091e-109,2.141187707549345e-109,9.004491075129684e-125,1.2552071336940971e-165,6.020440750211307e-133,1.3641689689274887e-53,1.0679389437994315e-141,7.749504720834278e-119,5.0191641558923647e-141,3.76,0.0,0.7185124052077436,0.9999999999999508,1.146047153760906e-50,6.781618951721983e-109,1.5633878417759688e-15,9.642785069275095e-16,2.6807338404710224e-16,3.310359508013557e-16,4.916915839365006e-14,1.2027209507563838e-31,2.6303157860974875e-49,1.109846481430042e-30,2.359362970749332e-39,1.3764434513460277e-33,8.98345557984692e-82,1.0664989838578674e-79,6.19995126838253e-36,1.0234327664939342e-81,2.714715251149754e-37,1.746622953728327e-98,9.405032036391475e-80,5.32543084594884e-83,9.488333660172485e-82,6.1112714395605614e-80,1.1601034654704948e-99,9.818630651542434e-99,1.3813261695251216e-95,5.1776180151093675e-39,2.932554135602824e-34,8.315969494134454e-51,1.1150518468257751e-19,3.418886230511689e-20,4.6483067036747483e-32,3.234470588006896e-46,3.5327868868473874e-32,7.97223908371854e-33,9.687125910838953e-33,8.519191213229636e-34,9.270866226012707e-33,2.3630417056545975e-46
2.531243086191638e-20,0.7988193008277249,4.222988676077179e-24,1.88493008474182e-24,1.063327975645087e-36,6.874910965980798e-37,0.0,0.0,2.9240271047643843e-19,7.526560871860703e-35,1.1158628171113532e-47,3.295743334411401e-67,2.7878508152484073e-50,9.854816952212199e-96,1.4812795696571311e-75,3.578661086681332e-74,1.8211693941358325e-75,1.1791671201064704e-33,1.8839894623766878e-104,2.9156448850697854e-64,7.402660279516558e-101,8.554002592044369e-119,5.868602100682023e-78,2.570901524102684e-85,1.0096475084274167e-53,2.811778076890635e-107,1.3898632398849087e-107,1.169882804139595e-122,6.547685700594868e-163,7.823545650948684e-131,1.098001866229925e-52,2.7825701368744132e-139,1.0082317320672998e-116,1.3077691428811597e-138,3.76,0.0,0.7185124052077421,0.9999999999999013,9.224384555802684e-50,4.385892411871162e-107,3.1377084656622548e-15,1.9353002202012606e-15,5.380214071438092e-16,6.643868383171793e-16,9.868215705368525e-14,4.836088045410879e-31,2.1171069769561504e-48,4.462643888890574e-30,9.486894736711575e-39,5.534618579732596e-33,2.9111422041718693e-80,3.456053380471147e-78,2.4929731366792354e-35,3.316494742167339e-80,1.0915750627556345e-36,1.1322350984553112e-96,3.047756561876949e-78,1.725737535308644e-81,3.074750948572667e-80,1.9803938529090328e-78,7.520282832875474e-98,6.364852940190056e-97,8.95434225369702e-94,2.081897460767895e-38,1.1791671201064704e-33,6.693439985014211e-50,2.2379012590135897e-19,6.861680756331492e-20,1.8690636815503227e-31,2.6033834295384235e-45,1.4205180694391302e-31,3.205602272385784e-32,3.8951507232179315e-32,3.425529318056607e-33,3.727774534707583e-32,1.901982727646216e-45
5.0713058347045015e-20,0.7988193008277252,8.460691964691301e-24,3.776427870179313e-24,4.2644207836103944e-36,2.7571468875771553e-36,0.0,0.0,5.858242457280158e-19,3.018487543278618e-34,8.954096361622589e-47,5.290397948868148e-66,2.2370747066034382e-49,3.1687560431245994e-94,2.3811137316067825e-74,5.744814313640235e-73,2.9237999267431966e-74,4.728987547189854e-33,1.2136181122036381e-102,4.68681399809808e-63,4.768605667906551e-99,1.1021107619191966e-116,9.433606820037704e-77,8.267634016267485e-84,8.101785401611386e-53,1.812264839825614e-105,8.958033715870796e-106,1.5086233552576585e-120,3.3837550863771246e-160,1.008992763943609e-128,8.810773479378617e-52,7.186344325920996e-137,1.3010695897411837e-114,3.3774815397578875e-136,3.76,0.0,0.718512405207739,0.9999999999998023,7.401987703838642e-49,2.8216754390433838e-105,6.286349713434814e-15,3.87734364676108e-15,1.0779174533381995e-15,1.3310886133355121e-15,1.977081543674279e-13,1.9394876055410854e-30,1.6988450182722613e-47,1.7897197959767314e-29,3.8046691010642807e-38,2.2196295923810683e-32,9.374341750829174e-79,1.1129042562367181e-76,9.997937287883491e-35,1.0679641511168407e-78,4.377704220687969e-36,7.29269027378292e-95,9.814261749736749e-77,5.557149837881954e-80,9.901187976912145e-79,6.377183756417056e-77,4.843790264586317e-96,4.099581543998461e-95,5.767463378721995e-92,8.349340200749714e-38,4.728987547189855e-33,5.371073748452698e-49,4.483600083388081e-19,1.3747269807940543e-19,7.495781322166525e-31,2.089051289901845e-44,5.6969128006778995e-31,1.2855898852956534e-31,1.5621296548822198e-31,1.373790467068953e-32,1.4950043171918758e-31,1.5262218290860542e-44
