Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195),S(2224),S(2641),S(2826),C2FO(289),S(1665),C2FO(7367),S(3464),S(6251)
0.0,0.7116338445056636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8196225885079451,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.278063927403923e-22,0.7116338445056636,5.737535832416183e-27,2.3103047341399618e-28,4.733490207941147e-38,1.2258154198932339e-26,0.0,0.0,6.044657213025064e-22,1.2296945196388296e-39,6.369200043025225e-54,5.853392025801989e-54,1.2261939951307852e-57,1.6135371185769657e-66,2.224821316314938e-45,4.793676425087513e-39,9.803976362457176e-41,1.341547106602519e-38,3.632155320654895e-89,8.824685892915602e-64,5.756043253713681e-92,3.3663049607538606e-91,1.4874965375298869e-25,1.6008143877714394e-92,3.4158692339510464e-59,1.5703485152356755e-96,3.0888738765264668e-99,1.1070182946100575e-79,1.3943451333613879e-95,2.729285416157151e-96,1.97313929222553e-60,1.462492720042014e-112,9.465611137051754e-114,2.3686581344472377e-113,3.76,0.0,0.8196225885079451,0.9999999999999993,7.865728717903845e-53,1.8192004991941417e-56,4.0415404348828895e-18,2.5532296339378114e-18,7.854472147558831e-19,7.0286358618919495e-19,5.314847467310343e-16,4.9862290581904295e-37,3.0278298825409547e-57,1.8125349931347076e-35,1.6343381603948224e-43,1.0116057296674206e-37,1.1029464457964907e-93,7.30074714093538e-92,6.453899169540129e-41,7.419327804753597e-94,1.0330712403189864e-42,1.6325118677754557e-111,5.563199843199172e-92,4.24852088213605e-95,8.166601284968336e-94,3.38715448443972e-92,1.1412172479246565e-112,1.1000048193552558e-111,2.495533744794656e-75,4.387212211460193e-43,1.341547106602519e-38,3.738580645746817e-44,4.632996704332219e-22,1.4117178840511132e-22,3.3885567091944305e-36,5.6988344275654634e-52,1.0732755985263875e-36,3.5334405864336417e-26,1.968398803395223e-24,1.0715692717151646e-38,1.353336955490991e-37,2.098811346170243e-52,1.882870608878216e-37,7.722812609845948e-43,2.824984880268124e-21,6.106608946644185e-48,6.056384506096313e-38,1.630475795171509e-62,1.348050224814425e-68,9.04994222838822e-73,8.115362842055667e-39,3.9203647929295506e-39,1.985919713639724e-55,2.0037332092592517e-24,6.528862467391962e-73,1.395045827174004e-52,2.0527486232650074e-42,2.824984880268124e-21,1.0277321458056388e-58,1.208129760198747e-38,1.4874965375298781e-25,1.6388099514305354e-41,3.1339540854204e-74,4.897441436641089e-38,2.081654130158218e-51,3.53891059041759e-58,2.35794727851328e-73,7.796830622748019e-56,2.5945543391129556e-56,1.2258154198932124e-26,6.80777230655668e-59,4.759312799169663e-58,1.5599037017067858e-63,3.6512699450530215e-67,5.916724242718913e-53,8.157739263753364e-58,6.353043058427199e-62,2.532222084742006e-77,3.006637892014779e-79,4.533654301557852e-109,1.3070372906902349e-90
9.178578996730984e-22,0.7116338445056636,1.6065100334793814e-26,6.468853255594612e-28,2.859028085596467e-37,3.432283175701059e-26,0.0,0.0,1.6925040196470166e-21,7.427354898618525e-39,7.561514309795601e-53,6.949147013128854e-53,1.4558893440956944e-56,1.9155912671742626e-65,1.3437920750540175e-44,2.895380560752782e-38,5.921601722925529e-40,8.102944523885183e-38,1.7351244921013267e-87,1.0476667092083646e-62,2.749730935988161e-90,1.6081242775835786e-89,4.16499030508371e-25,8.160962810432235e-91,4.055319954547481e-58,7.501743325304147e-95,1.4768031753513034e-97,3.480642641182317e-78,6.660981970440803e-94,1.3038134040744246e-94,2.3425109677328045e-59,1.1288604572569881e-110,7.5237384023762285e-112,1.8306728928132504e-111,3.76,0.0,0.8196225885079451,0.9999999999999984,9.33819313397996e-52,2.1597548326438178e-55,1.131631321767209e-17,7.149042975026268e-18,2.199252201316486e-18,1.968018041329336e-18,1.488157290845406e-15,3.011682351147156e-36,3.594639636552763e-56,1.0947711358520502e-34,9.871402488778882e-43,6.110098607192417e-37,5.268907525149722e-92,3.487654518190566e-90,3.8981550984048645e-40,3.544301924271926e-92,6.23975029152981e-42,1.420092035559924e-109,2.6576073234944608e-90,2.02956940764915e-93,3.9012834330516905e-92,1.6180843430707656e-90,9.9272388557238e-111,9.568739522686442e-110,5.582810786548765e-74,2.6498761761534113e-42,8.102944523885178e-38,2.258102710037799e-43,1.2972390772130171e-21,3.952810075343011e-22,2.046688252353398e-35,6.765658273704413e-51,6.4825846150993e-36,9.89363364204881e-26,5.511516649506985e-24,6.472278401158477e-38,8.174155211164165e-37,2.4917360789980583e-51,1.1372538477624277e-36,4.6645788163468765e-42,7.909957664750748e-21,3.6884063425263793e-47,3.658056241682172e-37,1.9357008640288436e-61,3.0155659339760606e-67,2.024457025859754e-71,4.901679156601084e-38,2.3679003349294654e-38,2.3576898356112637e-54,5.610452985925616e-24,1.4604956760401884e-71,1.6561984060199672e-51,1.2398601684686113e-41,7.909957664750748e-21,1.2201236035152668e-57,7.297103751599737e-38,4.16499030508366e-25,9.89841210665642e-41,7.010546836710879e-73,2.9580546277310643e-37,2.4713397817098123e-50,4.201394652944949e-57,7.410951371804729e-72,4.794939374488576e-55,3.0802549113927052e-55,3.432283175700929e-26,8.082796033719678e-58,7.192273502105238e-57,2.357326474021619e-62,4.3347876791429884e-66,3.573703105298972e-52,9.684868053926361e-57,7.542332718992098e-61,5.664507104422829e-76,6.725737177248012e-78,3.943743153191151e-107,6.24387398210087e-89
2.097960913538511e-21,0.7116338445056636,3.67202293556631e-26,1.4785950298514795e-27,1.3764989524693084e-36,7.845218687316722e-26,0.0,0.0,3.868580616336034e-21,3.57595166310971e-38,7.423939596727253e-52,6.822713745574668e-52,1.4294673238270899e-55,1.8807388654123458e-64,6.469780387840762e-44,1.3940011044153348e-37,2.8509963262046388e-39,3.901218986008907e-37,9.034756259217769e-86,1.0286053876825119e-61,1.431779197206312e-88,8.373469764291261e-88,9.51997784019147e-25,4.083742896092352e-89,3.981537179095815e-57,3.9061422268868265e-93,7.684553151658095e-96,7.765122262600437e-77,3.4683504899234226e-92,6.788925088277545e-93,2.2998911590261e-58,1.2303047078300429e-108,8.105466755714459e-110,1.9953193394586634e-109,3.76,0.0,0.8196225885079451,0.9999999999999966,9.168293393708806e-51,2.1204601018622308e-54,2.5865858783250492e-17,1.634066965720477e-17,5.0268621744377465e-18,4.498326951607974e-18,3.4015023790681885e-15,1.4499954101219822e-35,3.5292385110901744e-55,5.270851760016027e-34,4.7526553704193115e-42,2.9417494618746246e-36,2.743509224771317e-90,1.8160144769619792e-88,1.87679387850614e-39,1.8455106638748053e-90,3.0041711668521595e-41,1.476077966974608e-107,1.383810623550605e-88,1.0567925828303719e-91,2.031390195396113e-90,8.42533162799291e-89,1.0318611879295215e-108,9.945979012257663e-108,1.1031080560273511e-72,1.2758013117273943e-41,3.901218986008905e-37,1.0871792517932569e-42,2.965117890772591e-21,9.034994457926386e-22,9.853922910336844e-35,6.642564307414261e-50,3.1210854405146145e-35,2.26140197534176e-25,1.2597752341731947e-23,3.116123442146023e-37,3.935503866565665e-36,2.446413198426499e-50,5.475387730617637e-36,2.2457939069430867e-41,1.8079903233715995e-20,1.775823689814066e-46,1.7611966143728065e-36,1.9004825868555913e-60,5.958280493486631e-66,4.0000063242434083e-70,2.3599475144689806e-37,1.1400420817839387e-37,2.314796469461199e-53,1.282389253925719e-23,2.8857080521138767e-70,1.6260654161508872e-50,5.969392996702594e-41,1.807990323371599e-20,1.1979245891969257e-56,3.5132413426569163e-37,9.519977840191223e-25,4.765659338783519e-40,1.3851675471179244e-71,1.4241759697749992e-36,2.4263760491089464e-49,4.124954184194279e-56,1.6532060790357756e-70,2.395798862620961e-54,3.0242125376632587e-54,7.845218687316094e-26,7.936003827482655e-57,7.7371196313542855e-56,2.535904249798144e-61,4.25592024911936e-65,1.72058590382758e-51,9.50866088582587e-56,7.405106988984456e-60,1.119213808845865e-74,1.3288931451724846e-76,4.099221462310444e-105,3.251172237581186e-87
4.458166941269336e-21,0.7116338445056636,7.803048746185775e-26,3.142014438439868e-27,6.0115325640854944e-36,1.6671089710548113e-25,0.0,0.0,8.220733809714056e-21,1.5617120399413075e-37,6.566390503122004e-51,6.034613043550548e-51,1.2643740829248765e-54,1.6634922277660823e-63,2.825523071716792e-43,6.087969059859962e-37,1.245104998034223e-38,1.703764825394195e-36,3.6055339122567075e-84,9.097898168248737e-61,5.713854919894862e-87,3.3416319700960004e-86,2.0229952910407432e-24,1.6065043192774607e-87,3.521624545439369e-56,1.558838847046451e-91,3.0659759185128556e-94,1.4543214615146287e-75,1.3841263702767287e-90,2.7092811806637587e-91,2.0342276847294928e-57,1.0064700132844799e-106,6.5966420426310906e-108,1.6323372099460114e-107,3.76,0.0,0.8196225885079451,0.9999999999999928,8.109251679131225e-50,1.8755229466523205e-53,5.496494991440729e-17,3.472392302156812e-17,1.0682082120680486e-17,9.558944772158685e-18,7.228192555489913e-15,6.332510903903965e-35,3.1215714957053414e-54,2.3019194412607197e-33,2.0756094636922683e-41,1.2847392766794344e-35,1.0948625118916819e-88,7.247237056523321e-87,8.196451945355636e-39,7.364948595532224e-89,1.3120004752097408e-40,1.1815542869633135e-105,5.522424935171716e-87,4.217381780015242e-90,8.106745010687567e-89,3.362328679782857e-87,8.259726365585622e-107,7.961445399839636e-106,1.962953270765976e-71,5.571759515055816e-41,1.7037648253941927e-36,4.7479974202026395e-42,6.300875517891673e-21,1.919936322309145e-21,4.303467020676348e-34,5.87527326049945e-49,1.363060010128387e-34,4.805479197670899e-25,2.677022372618763e-23,1.3608929750765276e-36,1.7187379334713503e-35,2.1638295112650225e-49,2.391245673275113e-35,9.807972014503162e-41,3.8419794371646497e-20,7.75561871291413e-46,7.691608322742309e-36,1.6809553257976434e-59,1.0602466437305567e-64,7.117814082121012e-69,1.0306510809402354e-36,4.97886328702079e-37,2.0474122987359954e-52,2.72507716459157e-23,5.134975233832489e-69,1.4382364459767345e-49,2.606990751802664e-40,3.841979437164646e-20,1.0595507331360719e-55,1.534324795451335e-36,2.0229952910406363e-24,2.0812886383408746e-39,2.464832963628653e-70,6.219750624531814e-36,2.1461021315206245e-48,3.648475262304224e-55,3.0961705508644843e-69,1.1229606905384223e-53,2.6748817414376093e-53,1.6671089710545365e-25,7.019411451655484e-56,7.11174592954357e-55,2.330932903402374e-60,3.7643132649993715e-64,7.514265560049592e-51,8.410302871348561e-55,6.549733271685272e-59,1.9915833321939548e-73,2.3646950126282715e-75,3.281298555914004e-103,1.2974574936611487e-85
9.178578996730986e-21,0.7116338445056636,1.6065100393207127e-25,6.468853255634051e-27,2.5096965082506105e-35,3.4322831757011143e-25,0.0,0.0,1.6925040196470032e-20,6.519840343125019e-37,5.519446873874657e-50,5.072455876430098e-50,1.062793077757992e-53,1.3982654503612254e-62,1.1796002619073188e-42,2.5416072405803377e-36,5.198068267394251e-38,7.112882759287178e-36,1.2814632028447677e-82,7.647331599985943e-60,2.030793531013597e-85,1.1876683398820633e-84,4.164990305084114e-24,5.675234472948966e-86,2.9601376242436656e-55,5.540357585974361e-90,1.0895862830661343e-92,2.5119786605701717e-74,4.9194000282944536e-89,9.629208740719807e-90,1.7098909404440375e-56,7.243651968178472e-105,4.735624257282247e-106,1.1748187140098955e-105,3.76,0.0,0.819622588507945,0.9999999999999851,6.8163146553838614e-49,1.5764900453992437e-52,1.1316313217672088e-16,7.149042975032022e-17,2.199252201316684e-17,1.9680180413233832e-17,1.4881572908237995e-14,2.643698646654474e-34,2.6238689309335385e-53,9.610060533416984e-33,8.665260926330812e-41,5.363533578712896e-35,3.8913128488237416e-87,2.575781558863827e-85,3.421857339725742e-38,2.6176180835192533e-87,5.477343716212612e-40,8.412089173809216e-104,1.9627563162742695e-85,1.498923538864516e-88,2.881264147758413e-87,1.1950242748623524e-85,5.8805215727336246e-105,5.668160100195248e-104,3.3108327402887135e-70,2.3260999203426045e-40,7.112882759287159e-36,1.9821954584687241e-41,1.2972390772129561e-20,3.9528100753414824e-21,1.796612767214366e-33,4.9385213280668393e-48,5.69050722338578e-34,9.8936336425507e-25,5.511516649512206e-23,5.681460278618219e-36,7.175392537993354e-35,1.8188309648616175e-48,9.982979968270312e-35,4.094635245739248e-40,7.909957664750752e-20,3.237926879119159e-45,3.2110950651322606e-35,1.4129442364966568e-58,1.7882629053650432e-63,1.2005247048493225e-67,4.302765378850404e-36,2.0785774132114827e-36,1.7209738135913834e-51,5.61045298592142e-23,8.660895825380373e-68,1.2089243930838252e-48,1.0883673202855511e-39,7.909957664750741e-20,8.90616234015492e-55,6.405503988564091e-36,4.164990305083668e-24,8.688970362700636e-39,4.1573021188544775e-69,2.596623449704975e-35,1.8039281436658027e-47,3.066763295099599e-54,5.347780696756529e-68,5.328748409336949e-53,2.248399277379949e-52,3.432283175699967e-25,5.90028027954646e-55,6.084248370705513e-54,1.9941621734467716e-59,3.164132118504157e-63,3.1370703881060777e-50,7.069366322121203e-54,5.5054454660490666e-58,3.3590981126285354e-72,3.988404300569816e-74,2.3361241973472694e-101,4.611367145175968e-84
1.8619403107654282e-20,0.7116338445056636,3.258920379037955e-25,1.312253089009205e-26,1.025292913001066e-34,6.962631584993818e-25,0.0,0.0,3.433365296998174e-20,2.663567517318443e-36,4.52517601865214e-49,4.158705793378644e-49,8.713461461698026e-53,1.146382495843106e-61,4.819051963966581e-42,1.0383294883787562e-35,2.1235804960301473e-37,2.9058446948534404e-35,4.316320961751768e-81,6.269744478122542e-59,6.840271911686939e-84,4.000394063280807e-83,8.448980333171567e-24,1.9062195669086903e-84,2.4268996683455656e-54,1.8661451376260953e-88,3.669855733442352e-91,4.173690114385592e-73,1.656989122998187e-87,3.2433825587496196e-88,1.4018719002616555e-55,4.909987759227349e-103,3.205944761089789e-104,7.963348475126196e-104,3.76,0.0,0.8196225885079449,0.9999999999999698,5.5884265788718e-48,1.2925017867398404e-51,2.29559496701348e-16,1.4502344320792595e-16,4.461340179814305e-17,3.9922651695279047e-17,3.018833361335269e-14,1.080037158921895e-33,2.1512062770643768e-52,3.926023296374364e-32,3.5400418288716653e-40,2.1911784747025386e-34,1.3107013378748644e-85,8.675941684371507e-84,1.3979403757491247e-37,8.816858621907052e-86,2.2376736294154157e-39,5.67137150772214e-102,6.611103834498287e-84,5.048787296428137e-87,9.70489117680866e-86,4.0251708785027112e-84,3.964606390747214e-103,3.821433775747462e-102,5.4380728055727e-69,9.502877187738902e-40,2.9058446948534233e-35,8.097915222707283e-41,2.6315421280604256e-20,8.01855758140346e-21,7.339749374379092e-33,4.048898213687905e-47,2.3247578774311423e-33,2.00699425331964e-24,1.118050520330831e-22,2.3210619052927205e-35,2.9313819790548734e-34,1.4911882623098742e-47,4.078373053652888e-34,1.6727921025421614e-39,1.604591411992297e-19,1.3228876414940384e-44,1.311837109558483e-34,1.1584170515871089e-57,2.9372287675537795e-62,1.9718664904649946e-66,1.757820053034266e-35,8.491666956079109e-36,1.4109584726659859e-50,1.1381204628573715e-22,1.4225555031297628e-66,9.911492575749813e-48,4.446335629887827e-39,1.6045914119922913e-19,7.301809975660126e-54,2.61685738577271e-35,8.448980333169743e-24,3.5497279073790457e-38,6.828382059338504e-68,1.060805404940403e-34,1.4789692641467353e-46,2.5143178353681638e-53,8.885348252990281e-67,2.7004802955374422e-52,1.8433735701358974e-51,6.962631584989129e-25,4.837422967869675e-54,5.03057421072715e-53,1.648811848346918e-58,2.594146683468221e-62,1.2816057759783656e-49,5.7958936239811065e-53,4.513696818338752e-57,5.517330116931205e-71,6.550966464411165e-73,1.5749985332707473e-99,1.5532354558148093e-82
3.750105132950088e-20,0.7116338445056636,6.563741099724324e-25,2.642988615928655e-26,4.144397884583953e-34,1.402332840357961e-24,0.0,0.0,6.915087851700419e-20,1.0766565772806991e-35,3.664604863223107e-48,3.367827774835596e-48,7.056403647397052e-52,9.283702671018284e-61,1.9479378538369815e-41,4.197093806625123e-35,8.583851896332161e-37,1.1745888861475995e-34,1.4166597535962157e-79,5.077401632712729e-58,2.2450457325879973e-82,1.3129693872017232e-81,1.701696038934932e-23,6.247954088898869e-83,1.9653662730626675e-53,6.124875959603041e-87,1.204456355415832e-89,6.804168271539201e-72,5.438403755298655e-86,1.0645106090333888e-86,1.1352722108579916e-54,3.232957895869428e-101,2.1096282448935588e-102,5.2434406312739855e-102,3.76,0.0,0.8196225885079447,0.9999999999999392,4.525652733315465e-47,1.0467014572815355e-50,4.623522257506024e-16,2.920894701235437e-16,8.985516136810945e-17,8.040759425894912e-17,6.08018550220562e-14,4.3656828794538e-33,1.7421026169582324e-51,1.5869613880414924e-31,1.4309415075998157e-39,8.857093734101258e-34,4.301853030760275e-84,2.847530932449545e-82,5.650698510339508e-37,2.8937812825570315e-84,9.045034583474466e-39,3.7242969089997527e-100,2.1698304750361374e-82,1.6570625439284683e-85,3.1852424588708533e-84,1.321101386100605e-82,2.6034921722625946e-101,2.509473057712988e-100,8.815366418151797e-68,3.8412149177715694e-39,1.1745888861475862e-34,3.273306807875336e-40,5.3001482297549304e-20,1.6150052593516614e-20,2.966844049618135e-32,3.2789027705763666e-46,9.397043037377964e-33,4.042256031803217e-24,2.2518482310937395e-22,9.382103327008153e-35,1.1849114646923798e-33,1.2076032149393465e-46,1.6485435958607196e-33,6.761693134917909e-39,3.2317827030267446e-19,5.348041762592414e-44,5.302655341543597e-34,9.381161623849849e-57,4.7613756655186815e-61,3.196481400088426e-65,7.105389705583836e-35,3.4324675537215154e-35,1.14263081793946e-49,2.2922707913848662e-22,2.3060243825959805e-65,8.026583660470435e-47,1.7972799532071098e-38,3.231782703026723e-19,5.913195032986684e-53,1.0577755952757604e-34,1.701696038934196e-23,1.4348567755050283e-37,1.1069102248913715e-66,4.2879450549534e-34,1.1977076277979619e-45,2.0361597711918e-52,1.4485303635277406e-65,1.514818258405604e-51,1.4928117097463448e-50,1.4023328403560662e-24,3.9174772058674997e-53,4.090779402501978e-52,1.3407864123434284e-57,2.1008072483969576e-61,5.180537616542804e-49,4.693664925362275e-52,3.6553087094157266e-56,8.943830981345434e-70,1.061939927899028e-71,1.0342757725489673e-97,5.097874290397367e-81
7.526434777319408e-20,0.7116338445056637,1.3173382706104598e-24,5.304459669878962e-26,1.666444161667727e-33,2.814472204075275e-24,0.0,0.0,1.3878532961104514e-19,4.329188744168969e-35,2.9495928074256554e-47,2.710720790204131e-47,5.679614213303017e-51,7.472331573429901e-60,7.832572436777736e-41,1.6876329601517572e-34,3.451529094418409e-36,4.72297025113224e-34,4.59077017031648e-78,4.086734558330282e-57,7.275204206278671e-81,4.254755379674796e-80,3.415292050171621e-23,2.023343733501156e-81,1.581897759583929e-52,1.984802972407774e-85,3.90306941246449e-88,1.0988749933703352e-70,1.7623470053523344e-84,3.449609897816668e-85,9.137658418173442e-54,2.0985410748413678e-99,1.3689548189917133e-100,3.403566761654666e-100,3.76,0.0,0.8196225885079442,0.999999999999878,3.642639042663282e-46,8.424763938015641e-50,9.279376838491106e-16,5.86221523956404e-16,1.8033868050809824e-16,1.6137747938460794e-16,1.2202889783335973e-13,1.7554218848629497e-32,1.4021957456341635e-50,6.381101943695367e-31,5.753752866729504e-39,3.561398435614752e-33,1.3940410572866564e-82,9.227593325491502e-81,2.272121018433519e-36,9.377470336863067e-83,3.6369686246246886e-38,2.414247258382092e-98,7.031464691307722e-81,5.369809717317513e-84,1.0321967611407508e-82,4.281107605821342e-81,1.687694078261947e-99,1.6267468994969855e-98,1.4196888694821443e-66,1.544535640687675e-38,4.722970251132132e-34,1.3161822711874062e-39,1.0637360433142205e-19,3.241304261769973e-20,1.1929549436957918e-31,2.6391462167819407e-45,3.7785096756297187e-32,8.112779590188121e-24,4.519443652634305e-22,3.7725024837560696e-34,4.764476885171946e-33,9.719842456966762e-46,6.628721293368886e-33,2.718847070540626e-38,6.486165285095656e-19,2.151001810746834e-43,2.1321743909092168e-33,7.550775017804196e-56,7.668049731395734e-60,5.14783542885365e-64,2.8570459499546297e-34,1.3801801068113438e-34,9.19688714979146e-49,4.600571448428004e-22,3.713781664932418e-64,6.460492826669367e-46,7.226783651164783e-38,6.486165285095569e-19,4.759453802896237e-52,4.253269145915489e-34,3.4152920501686614e-23,5.769495987624706e-37,1.78264484704448e-65,1.7241638475232123e-33,9.640192533135833e-45,1.638878525781766e-51,2.3393758341247702e-64,9.494715059732768e-51,1.2015447356279763e-49,2.814472204067656e-24,3.1531291316158405e-52,3.299361786780417e-51,1.08139281494608e-56,1.6909124497993482e-60,2.0831374628497748e-48,3.7778698715072145e-51,2.9421104547043048e-55,1.4403764957196366e-68,1.7102215434981377e-70,6.704614333107048e-96,1.651996480159101e-79
1.5079094066058045e-19,0.7116338445056639,2.639266657889528e-24,1.0627401778225199e-25,6.683186423660641e-33,5.638750931510525e-24,0.0,0.0,2.7805423179911128e-19,1.73619831411069e-34,2.3668624691317864e-46,2.1751827231142013e-46,4.557535406633696e-50,5.996075496537104e-59,3.1412118674469492e-40,6.768162982474159e-34,1.3842175403180444e-35,1.8941223108949117e-33,1.4783011415185924e-76,3.2793471100920284e-56,2.3427316753318066e-79,1.3700990262329844e-78,6.842484072649554e-23,6.513347429561029e-80,1.2693733276597685e-51,6.391385004450523e-84,1.256843673703574e-86,1.7664094580656594e-69,5.675038048124838e-83,1.1108293464795873e-83,7.332395412059791e-53,1.3525650076726168e-97,8.821914272322363e-99,2.1936896917035722e-98,3.76,0.0,0.8196225885079433,0.9999999999997555,2.9229884263454164e-45,6.760342487360015e-49,1.859108600046127e-15,1.1744856316286241e-15,3.6130571878829977e-16,3.233172496292002e-16,2.4448298343155274e-13,7.040026889971524e-32,1.125173778674023e-49,2.559107280763152e-30,2.3075122422563702e-38,1.4282800601566694e-32,4.489034327581951e-81,2.971432080532584e-79,9.112221515691255e-36,3.0196948671923524e-81,1.4585870859657975e-37,1.555008983908157e-96,2.2642436678733882e-79,1.7291642901861718e-82,3.32383803886303e-81,1.3785848629777113e-79,1.0870383903695296e-97,1.0477825063036685e-96,2.2789160763347757e-65,6.19427886218156e-38,1.8941223108948248e-33,5.2784795865124934e-39,2.1311784839909818e-19,6.493902266589317e-20,4.784282886347644e-31,2.117748634909337e-44,1.5153513779006847e-31,1.6253826712628934e-23,9.054634495774432e-22,1.5129422252480967e-33,1.910768327345533e-32,7.799561913787754e-45,2.658413715442456e-32,1.0903792786916852e-37,1.2994930449233543e-18,8.631113318347732e-43,8.550972945850235e-33,6.0590214210909334e-55,1.2308918841009548e-58,8.263416477274318e-63,1.145803210417951e-33,5.535139528959138e-34,7.379922842513748e-48,9.217172762466861e-22,5.961442440056071e-63,5.18413862533617e-45,2.898263475180041e-37,1.2994930449233198e-18,3.8191619433245625e-51,1.705751159602062e-33,6.842484072637685e-23,2.3138259385438753e-36,2.8615398188480214e-64,6.914668179648034e-33,7.735646687638614e-44,1.315096804023654e-50,3.760474651592968e-63,6.537881242248971e-50,9.64163979601708e-49,5.638750931479969e-24,2.5301886157811867e-51,2.6502268141353863e-50,8.686335177374001e-56,1.3568507673703727e-59,8.35484289029963e-48,3.031502649879646e-50,2.360858353372568e-54,2.3121233422892963e-67,2.745284356882947e-69,4.318420772798873e-94,5.319691890140956e-78
