Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065)
0.0,0.4757853881378436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8761219621524702,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1631303407222749e-20,0.4757853881378436,1.0051555609335878e-30,3.5763083132259525e-35,1.2358835210383034e-45,1.1819148976895634e-44,0.0,0.0,6.653356815491113e-24,1.2605667106676393e-41,4.804681472226449e-59,4.695014760686269e-71,4.990775740772539e-62,1.2216583681947115e-100,2.2707590396505536e-73,8.566884260793635e-58,4.822793288485325e-97,1.3285747522967065e-41,8.824813559540704e-121,1.7294651740174548e-89,1.54426166435154e-128,7.709471020902416e-128,5.228312498568673e-46,4.889180880958884e-104,9.043667327215512e-69,9.186337347144066e-126,9.541509582730117e-135,4.264420152241585e-115,8.879790316284587e-193,-7.417148609195327e-156,7.422090074460798e-67,-4.276761422459355e-166,7.857284193226076e-143,-1.2504524564190484e-170,3.76,0.0,0.8761219621524702,0.9999999999999996,3.1565511584359726e-59,3.595624160784089e-106,2.917638780713211e-21,1.816387988341253e-21,9.247112294638876e-22,1.7653956290806958e-22,4.527692568782685e-16,2.615751773644635e-44,3.4144972083305164e-68,2.799142323563695e-40,3.4499623277577092e-46,2.652106237305816e-41,1.6627384117892732e-106,1.2146734025274054e-105,1.5359665541363855e-46,1.7470397102217326e-107,4.109850678816777e-50,1.2620433365134639e-122,7.773836290308958e-106,7.8218130883174205e-109,2.532341712853037e-107,7.361176373639777e-106,1.5075685554091495e-123,2.1257706411508655e-122,2.042692036250858e-119,2.09755467034082e-45,1.3285747522967065e-41,3.832242274829653e-60,5.128157547962185e-24,1.5252002726843637e-24,3.1438745140255025e-38,1.615044228932234e-53,4.6496764475944736e-38,3.1996160899216946e-43,1.8082177299225603e-42,1.841555758526757e-44,6.1934084533045605e-43,7.901356262579291e-56,1.8284675394735205e-41,2.813188746077341e-46,1.8284152563485284e-41,4.999376025382885e-51,9.253780565703242e-64,2.548512742947138e-73,4.277608959079693e-70,1.2504527578811039e-74
3.2567649540223696e-20,0.4757853881378436,2.8144355711656645e-30,1.0013663277482213e-34,7.464736468653059e-45,7.138765983212484e-44,0.0,0.0,1.8629399083375249e-23,7.613822932432585e-41,5.704117843872546e-58,1.0502560219037676e-69,5.9250489595935446e-61,2.7328009033068405e-99,2.6958451318656e-72,1.0170604994386767e-56,1.5064460803161664e-95,8.024591503987374e-41,6.809621494362651e-119,5.43771522153795e-88,1.649918537312367e-126,8.215039627768412e-126,3.157900749126587e-45,2.9743273221759014e-102,1.0736641851010994e-67,7.088628206119407e-124,7.362712442851729e-133,3.290617635628401e-113,1.7369413792400994e-189,2.877178545683883e-153,8.811505336513652e-66,1.6590029257072908e-163,8.372553692912316e-141,2.73707688459555e-168,3.76,0.0,0.8761219621524702,0.9999999999999988,3.7474575446678794e-58,1.717672809272419e-104,8.169388585996988e-21,5.08588636735624e-21,2.5891914424988864e-21,4.943107761418628e-22,1.2677539192119148e-15,1.579914071281547e-43,4.053691085730424e-67,1.690681963350197e-39,2.0837772459352384e-45,1.6018721673452895e-40,7.943100921772891e-105,5.80264060467431e-104,9.27723798717124e-46,8.345818340862918e-106,2.4823498099813014e-49,1.0978282768263311e-120,3.7136548819107014e-104,3.7365739740878534e-107,1.2097300243723917e-105,3.5165222878064395e-104,1.3114061470220898e-121,1.8491687664772147e-120,1.7769002168002838e-117,1.2669230209488995e-44,8.024591503987374e-41,4.549718518304112e-59,1.4358841134293997e-23,4.270560763516075e-24,1.898900206471347e-37,1.917380508590054e-52,2.8084045743470238e-37,1.932568118312845e-42,1.0921635088732412e-41,1.1122996781488253e-43,3.740818705790873e-42,9.380490609281574e-55,1.1043943938419922e-40,1.6991660026308413e-45,1.104362814834493e-40,3.053658993023151e-50,1.0986088293346377e-62,3.0255943284270763e-72,9.568840579854345e-69,2.7972129306918763e-73
7.444034180622559e-20,0.4757853881378436,6.43299559383629e-30,2.288837320779292e-34,3.5939492815519474e-44,3.4370085242325302e-43,0.0,0.0,4.258148361914409e-23,3.6657279946215648e-40,5.600336724165197e-57,2.07512891599372e-68,5.81724820390002e-60,5.3995540685525904e-98,2.646796736593321e-71,9.985560294296007e-56,3.3958132509404653e-94,3.863495379848432e-40,7.421458610993558e-117,1.2131243530951485e-86,3.7530680380120823e-124,1.8695508109211303e-123,1.520393274570433e-44,1.3427535290832995e-100,1.0541298637030624e-66,7.725700415794917e-122,8.024380046253613e-131,3.586276066560582e-111,3.973835157381859e-186,1.4400307755765275e-150,8.651188191137637e-65,8.303505315288495e-161,1.9053970003527614e-138,1.5269971322440625e-165,3.76,0.0,0.8761219621524702,0.9999999999999971,3.6792760448050054e-57,8.94388670944847e-103,1.8672888196564546e-20,1.1624883125389136e-20,5.918151868568888e-21,1.1298532026065215e-21,2.8977232436902585e-15,7.606606157761413e-43,3.979937946031402e-66,8.139905875689104e-39,1.0032490448659616e-44,7.71232493827043e-40,4.1359561822594006e-103,3.0214229327203206e-102,4.466590739704498e-45,4.3456503078304397e-104,1.1951445773617102e-48,1.141109231187586e-118,1.9336923977974566e-102,1.945626321631886e-105,6.299039157077941e-104,1.831045864754491e-102,1.363107228743932e-119,1.9220706861253374e-118,1.8469530100108838e-115,6.099688982269525e-44,3.863495379848432e-40,4.4669758908112885e-58,3.2820208306957134e-23,9.761281745178932e-24,9.142387086785328e-37,1.8824955532457494e-51,1.3521259109604153e-36,9.304483589494405e-42,5.258297158615025e-41,5.35524414577577e-43,1.8010431782133435e-41,9.20982150481609e-54,5.317183604788784e-40,8.180752873594773e-45,5.317031565461251e-40,1.5048723587191566e-49,1.0786206635543902e-61,2.970546453179911e-71,1.8906416925092795e-67,5.526821505109678e-72
1.5818572633822938e-19,0.4757853881378436,1.3670115648003443e-29,4.863779307560708e-34,1.5695720741702917e-43,1.5010319218754016e-42,0.0,0.0,9.048565269068401e-23,1.6009197225479752e-39,4.9534344108940885e-56,3.692581032256396e-67,5.14529015865906e-59,9.60821796776774e-97,2.341061739469071e-70,8.832114997329193e-55,6.518482059730212e-93,1.6872899355905443e-39,6.071213943663283e-115,2.2720476542727605e-85,6.341175617507365e-122,3.1594582204399555e-121,6.639956873044399e-44,5.069981836427549e-99,9.323659268557309e-66,6.320381448982173e-120,6.56466464984444e-129,2.933796495090746e-109,5.878398700608702e-183,5.011044028824424e-148,7.651877983886356e-64,2.8895954505549514e-158,3.22003633789873e-136,5.720281710502998e-163,3.76,0.0,0.8761219621524702,0.9999999999999939,3.2542779994016475e-56,3.569270402336661e-101,3.9679887417699657e-20,2.4702876641466625e-20,1.2576072720708911e-20,2.4009380555241267e-21,6.15766189189115e-15,3.322004752531595e-42,3.520210041903269e-65,3.554910749650633e-38,4.381452155775513e-44,3.368174921568023e-39,1.6505515396082312e-101,1.2057705772229702e-100,1.9506775240358127e-44,1.734234960752191e-102,5.219510361692398e-48,9.134222812861764e-117,7.716858746957718e-101,7.764483904647056e-104,2.5137811722232518e-102,7.307223379342522e-101,1.0911247409544769e-117,1.538557521626044e-116,1.47842816956847e-113,2.663894432269163e-43,1.6872899355905443e-39,3.9510035958253683e-57,6.974294265228147e-23,2.0742723708502376e-23,3.992720632811531e-36,1.665045998262157e-50,5.905089088444389e-36,4.063512434202742e-41,2.2964365170018798e-40,2.338775813308275e-42,7.865628735618019e-41,8.145982902126033e-53,2.32215377513115e-39,3.5727497075201297e-44,2.3220873755623533e-39,6.87676359445993e-49,9.540277620244094e-61,2.6274146974703084e-70,3.36429590984745e-66,9.834683672540164e-71
3.2567649540223697e-19,0.4757853881378436,2.8144355791641345e-29,1.0013663284000639e-33,6.5526544506099055e-43,6.26651280383697e-42,0.0,0.0,1.8629399083377285e-22,6.683524699960488e-39,4.1636600894473906e-55,6.228077629749181e-66,4.324926406265253e-58,1.6205663968780156e-95,1.9678034515275208e-69,7.423924829931537e-54,1.1823360240281978e-91,7.044103338234096e-39,4.3694967689317935e-113,3.924397304404305e-84,9.283973331183562e-120,4.626142791177945e-119,2.7720512866170754e-43,1.75901222361788e-97,7.837097408697481e-65,4.549226783785447e-118,4.724958645295684e-127,2.1114746449836195e-107,7.177821930637872e-180,1.48576665747053e-145,6.431864506387408e-63,8.568361505559469e-156,4.714842231544375e-134,1.817629959804465e-160,3.76,0.0,0.8761219621524702,0.9999999999999873,2.735416748666451e-55,1.2685746057569479e-99,8.169388585996988e-20,5.085886367366837e-20,2.5891914424989032e-20,4.943107761312491e-21,1.2677539185269754e-14,1.3868715903890032e-41,2.958948648789045e-64,1.484105258805738e-37,1.82917002574733e-43,1.4061467271895097e-38,5.866318687714149e-100,4.285497483763246e-99,8.143694672563903e-44,6.163742675395724e-101,2.179042829539915e-47,6.503120311694277e-115,2.74269246300229e-99,2.7596191902772094e-102,8.934372006783702e-101,2.5971016375373914e-99,7.768274989749785e-116,1.0953777755883224e-114,1.0525686155366753e-111,1.1121234870519436e-42,7.044103338234096e-39,3.32106214180879e-56,1.4358841134292246e-22,4.270560763514018e-23,1.666882267335552e-35,1.3995714880866432e-49,2.465258452514058e-35,1.696436450878453e-40,9.587170404051473e-40,9.76392863152251e-42,3.283745161871183e-40,6.847189492803053e-52,9.694534894286624e-39,1.491552673171913e-43,9.6942576891574e-39,3.125469606658559e-48,8.019178185077382e-60,2.2085003668368728e-69,5.674376815438626e-65,1.6587631561888427e-69
6.606580335302521e-19,0.4757853881378436,5.709283622013151e-29,2.0313431248388893e-33,2.6769731605913556e-42,2.560074958781082e-41,0.0,0.0,3.7791066711998647e-22,2.730437917975098e-38,3.4136200995313657e-54,1.0229636208145212e-64,3.545835970417381e-57,2.6617851729569107e-94,1.6133241591607982e-68,6.086582109938514e-53,2.153210037564624e-90,2.877746057780261e-38,2.9617871885426814e-111,6.520444815580052e-83,1.2694454554140599e-117,6.325858958872949e-117,1.1324734003349527e-42,5.85824512312354e-96,6.425325954542619e-64,3.084159710251703e-116,3.2031671135064243e-125,1.431226267797453e-105,8.011311729781685e-177,4.0870296855521654e-143,5.273231120362105e-62,2.3573912861588551e-153,6.447147763618839e-132,5.500152813995678e-158,3.76,0.0,0.8761219621524702,0.9999999999999744,2.2426599252793743e-54,4.27290865949895e-98,1.6572188274451032e-19,1.0317083773825894e-19,5.252359783354957e-20,1.0027447172701834e-20,2.5717293759934245e-14,5.665822971807387e-41,2.4259248744292317e-63,6.06305422881443e-37,7.472756396774345e-43,5.74456819569001e-38,1.9759376980817156e-98,1.443473579072289e-97,3.3269649970616044e-43,2.0761182898941457e-99,8.902100961204427e-47,4.384358092169681e-113,9.238143578084608e-98,9.295157459404739e-101,3.009342554631788e-99,8.74775358119296e-98,5.2373164965693675e-114,7.384960113310892e-113,7.096343765892952e-110,4.5433873252111475e-42,2.877746057780261e-38,2.7228096040173305e-55,2.9127934872417365e-22,8.663137548837948e-23,6.809757952353289e-35,1.1474532644806344e-48,1.0071385172543036e-34,6.93049643543067e-40,3.9166719317232045e-39,3.9888834350415156e-41,1.3415170445595567e-39,5.613739648318068e-51,3.960533829199547e-38,6.093479351567775e-43,3.960420581859054e-38,1.4848825487745719e-47,6.574606774650515e-59,1.8106620327072866e-68,9.320180980393639e-64,2.7245234713207565e-68
1.3306211097862824e-18,0.4757853881378436,1.1498979764196933e-28,4.091296722319895e-33,1.082075360445125e-41,1.0348232361853433e-40,0.0,0.0,7.611440196925573e-22,1.1036866623920946e-37,2.7644380614158724e-53,1.6582681116848335e-63,2.8715099033013026e-56,4.314868468917046e-93,1.3065117322149978e-67,4.929071997464009e-52,4.126606066646723e-89,1.1632309683048784e-37,1.9501736808900042e-109,1.06299707246483e-81,1.6789246557420632e-115,8.36655404548813e-115,4.577638550632963e-42,1.9122287799893086e-94,5.203395548098464e-63,2.031467877070968e-114,2.1096836125875627e-123,9.423836425275407e-104,8.560800359696493e-174,1.08416035569426e-140,4.270399280864833e-61,6.255626177735356e-151,8.526969997742401e-130,1.7020039130935219e-155,3.76,0.0,0.8761219621524702,0.9999999999999483,1.8161641647261892e-53,1.4024114130359257e-96,3.3377787651359126e-19,2.077947858681884e-19,1.0578696465067186e-19,2.0196125994730967e-20,5.179680286089234e-14,2.2902162339292422e-40,1.964576859669881e-62,2.4507834551181396e-36,3.020607613146608e-42,2.3220463130407683e-37,6.485225375804218e-97,4.737624820371443e-96,1.3448124462995612e-42,6.814028118529962e-98,3.598371539546617e-46,2.879136248305517e-111,3.032051223102557e-96,3.050763751193861e-99,9.876963600020564e-98,2.8711003161008806e-96,3.4392600762061104e-112,4.849582511522652e-111,4.660052885225978e-108,1.8365098023108622e-41,1.1632309683048784e-37,2.205002692560402e-54,5.866612234865528e-22,1.744829111947127e-22,2.752613043000646e-34,9.292374033104529e-48,4.07101491433475e-34,2.8014174683124825e-39,1.5831814169996708e-38,1.6123704611367975e-40,5.422626383980152e-39,4.546151918016348e-50,1.600911097249582e-37,2.4630817802623614e-42,1.6008653208637043e-37,7.68394898876716e-47,5.324287024411338e-58,1.466321058673663e-67,1.510841502014632e-62,4.416569959395721e-67
2.6705472622983433e-18,0.4757853881378436,2.307837227450749e-28,8.211203935695332e-33,4.350977495800287e-41,4.160978765916684e-40,0.0,0.0,1.5276107248382736e-21,4.437875527577618e-37,2.2250602536908e-52,2.6705896718261873e-62,2.3112409898390482e-55,6.948962647416822e-92,1.0515943058341954e-66,3.9673459623876283e-51,8.655967578195181e-88,4.67730056721431e-37,1.2658744031391575e-107,1.716743111425283e-80,2.1843022181600886e-113,1.0885116187221618e-112,1.8406483276704244e-41,6.179992993884038e-93,4.188145425969419e-62,1.3195761163731498e-112,1.3701595549779453e-121,6.117092764280323e-102,8.954098241862036e-171,2.8249862927807423e-138,3.437188860553041e-60,1.63117373552227e-148,1.1093821707763932e-127,5.672022642904e-153,3.76,0.0,0.8761219621524702,0.9999999999998961,1.4618069422490434e-52,4.544597626475185e-95,6.69889864051753e-19,4.170426821310408e-19,2.123136982849212e-19,4.0533483635791045e-20,1.0395582086932501e-13,9.208858749334741e-40,1.5812623709981834e-61,9.854492450963524e-36,1.2145730349050337e-41,9.336846102252038e-37,2.1015758506769042e-95,1.5352554969300455e-94,5.4074317067559547e-42,2.2081263408827694e-96,1.446889368776411e-45,1.866378261308665e-109,9.825542299527875e-95,9.886181368468632e-98,3.2006887994928073e-96,9.303971315285875e-95,2.2294742825987154e-110,3.1437051159724627e-109,3.020843982481465e-106,7.384525166155961e-41,4.67730056721431e-37,1.7747783500365795e-53,1.177424973010818e-21,3.5018598260679794e-22,1.1068135981563914e-33,7.479311040098999e-47,1.636937192078427e-33,1.1264376429324229e-38,6.365902846913191e-38,6.48327070907107e-40,2.1804142192191977e-38,3.6591385715679714e-49,6.437193111406917e-37,9.903943508211075e-42,6.43700904657116e-37,4.442196299652522e-46,4.2854493998460505e-57,1.1802227550759428e-66,2.433163663556283e-61,7.112749766943499e-66
5.350399567322465e-18,0.4757853881378436,4.623715819890058e-28,1.6451018436099907e-32,1.744936628455148e-40,1.6687386266693565e-39,0.0,0.0,3.060544135132005e-21,1.7797865753944113e-36,1.7854707260923638e-51,4.286887868120797e-61,1.8546253438062078e-54,1.1154624006437425e-90,8.438382030080071e-66,3.18354527890121e-50,2.031731689462302e-86,1.8758067283766497e-36,8.15889309466872e-106,2.7596144121597477e-79,2.8187103838795916e-111,1.4046665801040542e-110,7.381823041210133e-41,1.987393134390975e-91,3.3607229500572566e-61,8.517041076272014e-111,8.840653238219264e-120,3.942626994408948e-100,9.266456925748623e-168,7.296050257064561e-136,2.7581275987701885e-59,4.218754594547555e-146,1.4315989290670056e-125,2.1001635389045018e-150,3.76,0.0,0.8761219621524702,0.9999999999997917,1.173008041445721e-51,1.463432875674115e-93,1.3421138391280768e-18,8.355384746687191e-19,4.2536716555343914e-19,8.120819890591845e-20,2.082738561122562e-13,3.693164234817321e-39,1.268863468319327e-60,3.952092199559956e-35,4.870981091200174e-41,3.744492891519405e-36,6.767409103634828e-94,4.943767322265783e-93,2.1686219734668388e-41,7.110518698688025e-95,5.802673497359621e-45,1.2021283031327418e-107,3.1639811770680542e-93,3.1835079291725924e-96,1.0306727973553492e-94,2.9960270105088854e-93,1.4359972870860343e-108,2.024850458306479e-107,1.9457160069885735e-104,2.9615248915980384e-40,1.8758067283766497e-36,1.4241479950440262e-52,2.3589524720573763e-21,7.015921254286433e-22,4.438817563070543e-33,6.001676079100867e-46,6.564850278275806e-33,4.5175187597535604e-38,2.5530117635806464e-37,2.6000815252813998e-39,8.744436231544028e-38,2.9362282594700816e-48,2.5816023481684124e-36,3.9719243115313867e-41,2.5815285299356014e-36,2.8663591610114266e-45,3.4388032553261942e-56,9.470544331257635e-66,3.905766544947093e-60,1.1417538610781166e-64
