Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215)
0.0,0.7974340625940878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5944694683474286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.065808201321247e-22,0.7974340625940878,2.0324719886245358e-26,1.5640451806098796e-26,1.0097977615581781e-40,1.9202681713024205e-41,0.0,0.0,1.3826072254327704e-21,2.2130065299138386e-39,3.5459053719163535e-54,6.367598475208257e-67,9.687378018014697e-57,7.168315091077621e-81,8.377739291054418e-59,1.7145656877063212e-51,4.733754030970883e-39,4.1826320665274225e-38,2.0744415358831325e-104,4.794378320476496e-60,4.4856062583032814e-101,2.568740739600193e-109,1.811200001065826e-37,2.30837068655109e-94,1.8122009214767364e-57,5.315476098332585e-110,3.762163087693763e-111,1.844700861831511e-90,4.298072298180448e-93,2.457023902070957e-93,3.6261262955509736e-59,5.162802607186073e-111,1.0965926707567787e-112,1.1000718325775886e-111,3.76,0.0,0.5944694683474286,0.9999999999999996,5.705940222668585e-56,5.40668116881799e-55,1.5437166482965e-17,9.481222363375684e-18,2.5992741324587864e-18,3.3566699871305313e-18,4.713319179206921e-16,2.3893721209650316e-35,1.1484853188803665e-54,1.8036899028045183e-34,3.137726703388752e-43,2.0075951197794426e-37,6.652655113971692e-91,8.609048125366899e-89,1.0980018606384803e-39,8.202646518034599e-91,5.571300949882531e-41,2.023389046972087e-109,7.791132554641217e-89,4.177419757432865e-92,7.379445883471211e-91,5.169459764812569e-89,1.3405421114461545e-110,1.1114521797490263e-109,1.5857242573660527e-106,6.684676050172926e-43,4.1826320665274225e-38,5.947414132245887e-43,1.0579332579214792e-21,3.2469429223115928e-22,6.181746634089665e-36,6.006008324822709e-52,5.338492068660638e-36,1.1192664502162471e-24,3.735596888007079e-23,1.422997232740137e-37,1.3353006034018708e-36,4.8698197070042784e-52,1.2615082638587692e-36,3.592923363408476e-42,1.0756545097212145e-36,3.3884791370024916e-47,7.880364896912673e-57,5.66935958506108e-60,7.046963666272572e-69,5.831545000601725e-73,2.6909492653726816e-39,4.71963329396163e-38,3.9494544773236985e-54,3.847523533028577e-23,3.1919917519680916e-73,4.5735616803112494e-69,5.300216635950583e-41
2.9842629636994914e-22,0.7974340625940878,5.690921570867487e-26,4.379326505708032e-26,6.0991784798998285e-40,1.1598419759290285e-40,0.0,0.0,3.871300231211754e-21,1.3366559440679574e-38,4.209698956370949e-53,1.4244063085100691e-65,1.150085518333137e-55,1.6035234126135574e-79,9.94605208633895e-58,2.0355323844447681e-50,2.859187434706645e-38,2.526309768183279e-37,1.2622086282907513e-102,5.691885942071707e-59,2.72881318481717e-99,2.2345003474739177e-107,1.093964800643657e-36,1.179966498181394e-92,2.1514449339773137e-56,4.101659517014548e-108,3.1129755975071327e-109,8.812357381072793e-89,2.053240713708591e-91,1.1737498023062392e-91,4.3049371380792275e-58,3.9838500620130633e-109,8.461800388249313e-111,8.488647092553447e-110,3.76,0.0,0.5944694683474286,0.9999999999999987,6.7740924310486e-55,6.418811883621195e-54,4.3224066152302e-17,2.65474226174528e-17,7.27796757088468e-18,9.398675963964527e-18,1.3197293701775321e-15,1.4431807610629188e-34,1.3634817705748025e-53,1.0894287012935216e-33,1.8951869288464852e-42,1.2125874523469553e-36,3.1780531798072775e-89,4.112645598065352e-87,6.631931238257952e-39,3.918502673425855e-89,3.3650657737297017e-40,1.760108901602945e-107,3.721917514942961e-87,1.995603547163575e-90,3.525249851886937e-89,2.4695129631681583e-87,1.1661129167723937e-108,9.668318004437814e-108,1.3793923541451443e-104,4.037544335316537e-42,2.526309768183279e-37,3.5922381358804914e-42,2.9622131221801313e-21,9.091440182472225e-22,3.733774966990099e-35,7.130369392851987e-51,3.224449209470985e-35,3.1339460606094915e-24,1.0459671286419713e-22,8.59490328574971e-37,8.065215644546615e-36,5.781918542976709e-51,7.619509913706827e-36,2.1701257114986794e-41,6.496953238716085e-36,2.0466418692338845e-46,9.355668077972348e-56,6.730663699391768e-59,1.5764996382083616e-67,1.3045942932336053e-71,1.625333356284981e-38,2.8506585095528263e-37,4.688849772612112e-53,1.0773065892479896e-22,7.140910724749504e-72,1.0231666711538683e-67,3.201330848120675e-40
6.82117248845598e-22,0.7974340625940878,1.3007820746228532e-25,1.0009889155905818e-25,2.936491890743807e-39,5.584139849082936e-40,0.0,0.0,8.848686242769714e-21,6.435422988989429e-38,4.1331074418487984e-52,2.8143868326232684e-64,1.1291607818865157e-54,3.1682920465181045e-78,9.765092917650381e-57,1.998497765589941e-49,1.37657567220668e-37,1.2163094049472281e-36,5.704988928374101e-101,5.588327370353451e-58,1.2319167125362222e-97,2.322593929028529e-105,5.266969603097894e-36,5.895006587465586e-91,2.1123013940736958e-55,4.4701891840484365e-106,3.2989411099906645e-107,4.588576218407635e-87,1.069118182817576e-89,6.1116908862456335e-90,4.226612810097598e-57,4.3417946912867427e-107,9.222083993400429e-109,9.251342841285565e-108,3.76,0.0,0.5944694683474285,0.999999999999997,6.6508442058584e-54,6.302027570375724e-53,9.8797865490976e-17,6.067982312561054e-17,1.6635354447736783e-17,2.1482687917628673e-17,3.01652427468959e-15,6.9482941277669e-34,1.3386744876870517e-52,5.2451302373494284e-33,9.124509253449626e-42,5.8380866083211554e-36,1.6548057019379388e-87,2.1414460365115013e-85,3.1929894107389564e-38,2.040356218154661e-87,1.6201343162267906e-39,1.829499711338867e-105,1.937994733693385e-85,1.0391066296924959e-88,1.8355902892768228e-87,1.2858702800887534e-85,1.212085935523997e-106,1.0049483291711355e-105,1.433773734933816e-102,1.943903796879467e-41,1.2163094049472281e-36,1.7295080296630683e-41,6.7707728506973944e-21,2.0780434702792554e-21,1.7976519211931876e-34,7.000654863077082e-50,1.552433493566454e-34,7.163305281411978e-24,2.3907820083244544e-22,4.1380759528072444e-36,3.883054154691615e-35,5.676927243769565e-50,3.668466031301093e-35,1.0448221140791243e-40,3.1280033142692165e-35,9.853704387668944e-46,9.185493722589942e-55,6.608205532368895e-58,3.1150153027336366e-66,2.577755864187477e-70,7.825280463701985e-38,1.3724693618840455e-36,4.603565671099284e-52,2.462415061138204e-22,1.4109769291363511e-70,2.0216813024593117e-66,1.541302997744193e-39
1.449499153796896e-21,0.7974340625940878,2.7641619140451197e-25,2.127101445630732e-25,1.2824431573159227e-38,2.4387405847207553e-39,0.0,0.0,1.8803458265885596e-20,2.8105182929905616e-37,3.655686743566072e-51,5.008050996539783e-63,9.987299243693431e-54,5.6378064155822365e-77,8.637114099499897e-56,1.7676486413965608e-48,6.0118676193366096e-37,5.311942724500622e-36,2.1591904846248203e-99,4.9428122732910014e-57,4.651483113003276e-96,1.8591643351328586e-103,2.3002240013520209e-35,2.3176465203186527e-89,1.8683066620065206e-54,3.6568923078123887e-104,2.6647460117939073e-105,1.8311803142868171e-85,4.266570013959325e-88,2.4390153950167295e-88,3.7383911656682746e-56,3.551857644651735e-105,7.544237309351252e-107,7.568172862660949e-106,3.76,0.0,0.5944694683474284,0.9999999999999936,5.882596416603104e-53,5.574072017807692e-52,2.0994546416832398e-16,1.2894462414194013e-16,3.5350128201442254e-17,4.565071182494159e-17,6.410114083707215e-15,3.0345025936261974e-33,1.1840424243531047e-51,2.2906861765554243e-32,3.9849129132986675e-41,2.5496458021224935e-35,6.603895154250012e-86,8.545948981813107e-84,1.394462363013182e-37,8.142526053810026e-86,7.075552206360521e-39,1.4644573493365942e-103,7.734028240164664e-84,4.146801783759712e-87,7.325358984654506e-86,5.131570734684057e-84,9.702369152091623e-105,8.044297341163022e-104,1.1476910711721088e-100,8.489538598972682e-41,5.311942724500622e-36,7.553215948013908e-41,1.4387892307731754e-20,4.4158423743429495e-21,7.850818225292984e-34,6.192006265318837e-49,6.779884927198401e-34,1.5222023723080942e-23,5.080411767689246e-22,1.8072064855788639e-35,1.6958317663193164e-34,5.0212594042851676e-49,1.6021154951004215e-34,4.5630126715281375e-40,1.366081227345865e-34,4.3033757965010563e-45,8.124482381594626e-54,5.844882957859503e-57,5.543098794874133e-65,4.5870578586608014e-69,3.417505567021471e-37,5.993934283331308e-36,4.0718116944464443e-51,5.232632004918439e-22,2.5108013140799715e-69,3.597535841302261e-65,6.731275127758041e-39
2.9842629636994913e-21,0.7974340625940879,5.690921610289883e-25,4.379326505713401e-25,5.353947733014742e-38,1.0181261908745563e-38,0.0,0.0,3.8713002312117224e-20,1.1733360621603056e-36,3.072824986443744e-50,8.446809997780334e-62,8.39492679642891e-53,9.508984558981273e-76,7.260014825789011e-55,1.4858151919132135e-47,2.509836387223992e-36,2.2176315216825157e-35,7.526508599461294e-98,4.154731542494463e-56,1.613815579814891e-94,1.3236348374475882e-101,9.602982405636812e-35,8.185358782802314e-88,1.5704243233385645e-53,2.631891953029444e-102,1.9058413473372072e-103,6.508301643381686e-84,1.516405807600294e-86,8.668642721738914e-87,3.1423430297164662e-55,2.5562977447803343e-103,5.4296423847576456e-105,5.446868976025464e-104,3.76,0.0,0.5944694683474282,0.9999999999999868,4.944676755511511e-52,4.685343394004588e-51,4.322406615230198e-16,2.654742261746556e-16,7.277967570885824e-17,9.39867596395059e-17,1.3197293701716501e-14,1.266845098536206e-32,9.952590015769901e-51,9.563163864612736e-32,1.663622698132164e-40,1.064426932509394e-34,2.347127770541346e-84,3.0373641180305324e-82,5.821605865125953e-37,2.8939812908713506e-84,2.953903763636399e-38,1.0426220741419981e-101,2.748794769838909e-82,1.4738383027355405e-85,2.60354731571052e-84,1.823840611713589e-82,6.907612744082837e-103,5.727146633978447e-102,8.170999624166447e-99,3.544215255471533e-40,2.2176315216825157e-35,3.153318972972238e-40,2.962213122179982e-20,9.091440182468843e-21,3.2775620653935416e-33,5.2047568676872596e-48,2.830468494803323e-33,3.133946060667483e-23,1.045967128641813e-21,7.544731327978213e-35,7.079763799227187e-34,4.220703414819564e-48,6.688516814977252e-34,1.9049679672786082e-39,5.7031202105411846e-34,1.7965782016958233e-44,6.829123800597137e-53,4.912976306741583e-56,9.349322708664138e-64,7.736806755738408e-68,1.4267413004989448e-36,2.50234957245849e-35,3.422607035961982e-50,1.0773065892478131e-21,4.234868006381289e-68,6.067819606058871e-64,2.8101748604716754e-38
6.053790583504683e-21,0.7974340625940879,1.1544441072380333e-24,8.883776625888222e-25,2.1872623444896364e-37,4.1593777243780045e-38,0.0,0.0,7.853209040457988e-20,4.7934606640544725e-36,2.519287578877718e-49,1.3873910785516487e-60,6.882668191404294e-52,1.561853569179533e-74,5.95219878579346e-54,1.2181610635014178e-46,1.0253500581271519e-35,9.059748361462817e-35,2.5301235017976303e-96,3.4062999368636624e-55,5.374679707680172e-93,8.923862341167922e-100,3.9231316502965996e-34,2.7490021484963403e-86,1.2875287413155415e-52,1.7839820647322134e-100,1.2878337425891759e-101,2.192175238151501e-82,5.107672392223382e-85,2.9198376111431064e-85,2.5762826681419416e-54,1.7327418499383643e-101,3.680388408670378e-103,3.692065153097726e-102,3.76,0.0,0.5944694683474278,0.9999999999999732,4.053944755440573e-51,3.841327590934528e-50,8.768310562324113e-16,5.385334302403119e-16,1.4763877072371045e-16,1.9065885526838849e-16,2.6771652937631207e-14,5.175475588899723e-32,8.159734605092826e-50,3.9068644770225895e-31,6.796441548569591e-40,4.348531333266786e-34,7.905772751998084e-83,1.0230678867760373e-80,2.3783159502348928e-36,9.747726017036438e-83,1.2067660709556838e-37,7.0292848808743e-100,9.258697828383103e-81,4.964293312377954e-84,8.769464400469607e-83,6.143197482860866e-81,4.6570640531331376e-101,3.861202083017603e-100,5.508830624688605e-97,1.447927582721524e-39,9.059748361462817e-35,1.2882336907479508e-39,6.009060904993328e-20,1.844263579871466e-20,1.338991047929682e-32,4.267175135262041e-47,1.1563387360397055e-32,6.357433437488644e-23,2.1218190323873107e-21,3.0822689259959845e-34,2.892314518984518e-33,3.460400529804029e-47,2.7324773598470046e-33,7.782415722072505e-39,2.3299106942359516e-33,7.339636918823009e-44,5.598931004793989e-52,4.027954805863581e-55,1.5356351670695872e-62,1.2707778846812933e-66,5.828703746753859e-36,1.0222914500052942e-34,2.806061609822836e-49,2.1853933667594415e-21,6.955811069013042e-67,9.96645154537209e-63,1.1480481242901958e-37
1.2192845823115064e-20,0.797434062594088,2.3251480274964935e-24,1.7892676866275784e-24,8.841264113956389e-37,1.681287001768712e-37,0.0,0.0,1.5817026658950295e-19,1.9375934412529203e-35,2.040184399417691e-48,2.2490207250658823e-59,5.573763152418026e-51,2.531831940471402e-73,4.82024489789595e-53,9.864984121788419e-46,4.144628874330991e-35,3.6620951406511396e-34,8.412020771767258e-95,2.758510003194051e-54,1.7543849943342854e-91,5.860166426763689e-98,1.585792538523294e-33,9.009796923448851e-85,1.0426741561564208e-51,1.1746538990969198e-98,8.466600731478054e-100,7.194938632693282e-81,1.676389221924826e-83,9.583199401243958e-84,2.086340499318201e-53,1.1409150417739661e-99,2.4233329941312745e-101,2.4310214870144287e-100,3.76,0.0,0.5944694683474269,0.999999999999946,3.28298957241957e-50,3.1108066762900874e-49,1.7660118456511928e-15,1.0846518383725256e-15,2.973569607534958e-16,3.8400304652516955e-16,5.3920371409045175e-14,2.0920099817704977e-31,6.607964638615323e-49,1.579217086981117e-30,2.747230339666865e-39,1.7577458919488622e-33,2.594753777238912e-81,3.3578112435198014e-79,9.613533330926979e-36,3.199301282207612e-81,4.877941404127943e-37,4.616016411302966e-98,3.0387973340170186e-79,1.6293307722902472e-82,2.878226024369953e-81,2.0162589253100995e-79,3.0582177934239526e-99,2.535588254654328e-98,3.61755896963334e-95,5.85275484128649e-39,3.6620951406511396e-34,5.207246549045929e-39,1.2102756470618968e-19,3.7145027031182435e-20,5.412415901978384e-32,3.4556694562254975e-46,4.674106053727875e-32,1.2804408191540504e-22,4.273522839877188e-21,1.2459023811242018e-33,1.1691197727006631e-32,2.802327198481655e-46,1.1045110374036654e-32,3.145776864981624e-38,9.417871546769065e-33,2.966821841354208e-43,4.534160572744168e-51,3.2619422336837597e-54,2.489335660812214e-61,2.0599897509104133e-65,2.3560552473870182e-35,4.132265491261762e-34,2.2724220726076864e-48,4.4015669217814535e-21,1.1275691593378792e-65,1.615607911130516e-61,4.64059407580457e-37
2.447095630233583e-20,0.7974340625940883,4.66655597937489e-24,3.591047734720259e-24,3.555033418442623e-36,6.76038127215803e-37,0.0,0.0,3.1744661895934e-19,7.790978008822211e-35,1.642117897145176e-47,3.621978544251571e-58,4.486249500830811e-50,4.07743728807375e-72,3.879752445632051e-52,7.94019745538961e-45,1.6665370416376704e-34,1.4725123496037157e-33,2.8176888245054123e-93,2.220288835568821e-53,5.669869282186673e-90,3.798824031748865e-96,6.37640205167208e-33,2.9176592025851155e-83,8.39234871479766e-51,7.624778846777466e-97,5.4915205773002584e-98,2.331562651271394e-79,5.432438966331941e-82,3.105492756011679e-82,1.679268341401636e-52,7.405777052035448e-98,1.5730061595507373e-99,1.5779968260483783e-98,3.76,0.0,0.5944694683474251,0.9999999999998918,2.642435625083098e-49,2.5038478471555253e-48,3.5443734244887505e-15,2.176888654640558e-15,5.967933408133901e-16,7.706914290347949e-16,1.0821780835021131e-13,8.4118801267731e-31,5.318664821096999e-48,6.349962450098431e-30,1.1046492368090643e-38,7.067818923119749e-33,8.408453922005154e-80,1.0881187019207543e-77,3.865559470568925e-35,1.0367526063657273e-79,1.9613987846587325e-36,2.9922976706392743e-96,9.847403474153296e-78,5.279943261891667e-81,9.327062596645814e-80,6.533806951705756e-78,1.98246651748221e-97,1.6436758780844122e-96,2.345055197799862e-93,2.353367019110654e-38,1.4725123496037157e-33,2.0938109352270306e-38,2.4290147601866018e-19,7.454980949602249e-20,2.176308629513298e-31,2.7814235736775614e-45,1.879437486737163e-31,2.5698357701282367e-22,8.576930454852472e-21,5.0097186776945105e-33,4.700979186246579e-32,2.2555587764429194e-45,4.4411903032343847e-32,1.2649030417782113e-37,3.7868847276500056e-32,1.1929647099141243e-42,3.649487324596955e-50,2.625494892414245e-53,4.009002242039213e-60,3.3175532170871865e-64,9.473594526621842e-35,1.6615657796725667e-33,1.8290432315197772e-47,8.833914031820505e-21,1.8159171376230513e-64,2.6018892671255293e-60,1.8659624680649794e-36
4.902717726077736e-20,0.7974340625940888,9.349372328577602e-24,7.194607830966295e-24,1.4257274063690853e-35,2.7112154029499564e-36,0.0,0.0,6.359993236989775e-19,3.124530641545644e-34,1.3176961957072537e-46,5.814077710703953e-57,3.599932705264886e-49,6.545189863420612e-71,3.1132569993081414e-51,6.371508401704477e-44,6.683558913950587e-34,5.905433119376328e-33,9.698442098281574e-92,1.7816419617203297e-52,1.823345076295191e-88,2.4468304985498183e-94,2.55722241424023e-32,9.392107432104052e-82,6.734331312022179e-50,4.9143702794276396e-95,3.5380721488173154e-96,7.508003241351246e-78,1.749331906049751e-80,1.0000181494470663e-80,1.3475070873953516e-51,4.773217883717869e-96,1.0138437984238809e-97,1.0170604141806474e-96,3.76,0.0,0.5944694683474215,0.9999999999997832,2.1203881790157786e-48,2.0091802105335128e-47,7.101096582163848e-15,4.361362287191044e-15,1.1956661009344735e-15,1.5440681940382993e-15,2.1681268222589646e-13,3.373540161382669e-30,4.2678935611333187e-47,2.5466189513717234e-29,4.430137505946841e-38,2.8345115041517233e-32,2.707656140877242e-78,3.503915597778285e-76,1.5502622391183135e-34,3.338508585866058e-78,7.866086383726299e-36,1.9273294167204442e-94,3.1710208242869137e-76,1.7002258594659375e-79,3.003462771009075e-78,2.1039899461795298e-76,1.2769003813645268e-95,1.0586864075950836e-94,1.5104425977016848e-91,9.438054626810895e-38,5.905433119376329e-33,8.39711833135714e-38,4.86649298643432e-19,1.493593744253207e-19,8.727970982155118e-31,2.23191731343405e-44,7.537384920764663e-31,5.148625672731866e-22,1.7183745684785158e-20,2.0091212548769306e-32,1.8853029100961106e-31,1.8099446874365964e-44,1.7811159486837791e-31,5.072826939230503e-37,1.5187101483451687e-31,4.784472012734694e-42,2.928483914237241e-49,2.1067943035662995e-52,6.435339579541706e-59,5.325410223290237e-63,3.7993351220089453e-34,6.663621929946267e-33,1.4676921046240714e-46,1.7698608251878708e-20,2.9149505844584287e-63,4.176610530840605e-59,7.48334407112319e-36
