Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(964),S(1465),S(335),S(923),S(304)
1.0060838202515072e-17,0.4630434845653698,0.0,1.9952857368211855e-32,0.0,0.0,0.0,0.0,0.0,0.0,6.551487206140108e-51,5.250734145397659e-72,0.0,4.913553758995201e-122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,0.9999999999996404,0.0,0.0,1.7110755986320427e-18,1.062564942894007e-18,5.47855954683146e-19,1.0065470105488969e-19,3.5958388839243487e-13,6.566937647776221e-39,3.2018963977262386e-60,8.015976722288239e-35,1.1080033056199782e-40,8.347911884619939e-36,4.10718474553058e-93,2.8670436846656965e-92,4.290537941978801e-41,4.16203730609617e-94,1.0466195515140762e-44,1.3887200625823326e-106,1.837839227948113e-92,1.8397699059199414e-95,1.6821955647146853e-107,2.387592108699886e-106,2.2817781882681505e-103,6.040925411866246e-94,1.7651982478000735e-92
2.0130417359159176e-17,0.4630434845653698,0.0,3.992305005895653e-32,0.0,0.0,0.0,0.0,0.0,0.0,5.245173368417423e-50,8.408015866746076e-71,0.0,1.574278405036181e-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,0.9999999999992805,0.0,0.0,3.4236377963940874e-18,2.126053052692482e-18,1.0961878919509402e-18,2.0139685175066466e-19,7.194801733940219e-13,2.6284864526022566e-38,2.5634640084014505e-59,3.2084796327584816e-34,4.434900729417941e-40,3.341340295309353e-35,1.3163599025501467e-91,9.188925177663969e-91,1.7173333402636686e-40,1.3339402712122285e-92,4.189205749415697e-44,8.901968871636361e-105,5.890306884680774e-91,5.896494771604403e-94,1.0783204339602204e-105,1.5304934951803358e-104,1.462664730135449e-101,1.9361271975156056e-92,5.657491277598482e-91
4.0269575672447384e-17,0.4630434845653698,0.0,7.986343569824783e-32,0.0,0.0,0.0,0.0,0.0,0.0,4.197732840105948e-49,1.3458301174968297e-69,0.0,5.04079913954601e-119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,0.9999999999985607,0.0,0.0,6.8487621919181765e-18,4.2530292727174596e-18,2.192851766487172e-18,4.0288115271354224e-19,1.4392727032635524e-12,1.0517369573761939e-37,2.0515502959815413e-58,1.283809712924152e-33,1.7745379379209315e-39,1.3369713581260687e-34,4.215651694261053e-90,2.9427596236716273e-89,6.8715704274811095e-40,4.2719531191660676e-91,1.6762279483497757e-43,5.701795271149661e-103,1.8863748410939508e-89,1.8883565355166438e-92,6.906744063281155e-104,9.802955240593563e-103,9.36850609841946e-100,6.200460906895204e-91,1.8118154858538825e-89
8.054789229902379e-17,0.4630434845653698,0.0,1.597442080080382e-31,0.0,0.0,0.0,0.0,0.0,0.0,3.358824102650635e-48,2.153766382705451e-68,0.0,1.6135532487263868e-117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,0.9999999999971211,0.0,0.0,1.3699010982966355e-17,8.50698171447953e-18,4.386179515562211e-18,8.05849752924608e-19,2.8788576024680557e-12,4.2076326804415e-37,1.6415519393501206e-57,5.1360743062548804e-33,7.099307050019973e-39,5.348756098174501e-34,1.3495367738335617e-88,9.420518011141211e-88,2.7490757297338343e-39,1.3675603950493416e-89,6.706003121585302e-43,3.650600807267645e-101,6.038763079560897e-88,6.045107108744812e-91,4.422074436520705e-102,6.276386976477276e-101,5.998229561303644e-98,1.9849245278242408e-89,5.800079743579972e-88
1.6110452555217662e-16,0.4630434845653698,0.0,3.1950575675245067e-31,0.0,0.0,0.0,0.0,0.0,0.0,2.6873144994287983e-47,3.446376883551165e-67,0.0,5.164166723113273e-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,0.9999999999942419,0.0,0.0,2.739950856506271e-17,1.7014886604852124e-17,8.772835013722582e-18,1.6117869464879818e-18,5.758026758738975e-12,1.683190052693921e-36,1.313366246241045e-56,2.0545965179970798e-32,2.8399537692881845e-38,2.1396766341348065e-33,4.319363098406245e-87,3.0151558283556496e-86,1.0997198753937176e-38,4.3770506848354756e-88,2.6826194302593266e-42,2.336849139600788e-99,1.932782430461218e-86,1.93481299654758e-89,2.830689924191013e-100,4.017685866051058e-99,3.839630561463567e-96,6.35300262042266e-88,1.8563888268795515e-86
3.222177920584823e-16,0.4630434845653698,0.0,6.390288707406071e-31,0.0,0.0,0.0,0.0,0.0,0.0,2.1499537844405047e-46,5.514483797774599e-66,0.0,1.6526608665536978e-114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,0.9999999999884835,0.0,0.0,5.4800503729255423e-17,3.403069641299112e-17,1.7546146010084516e-17,3.2236613061796993e-18,1.1516362502729617e-11,6.733034186167203e-36,1.0507428782248466e-55,8.218717216297891e-32,1.1360275977406733e-37,8.559055333315256e-33,1.3823315219473082e-85,9.649442776240613e-85,4.3990591979772786e-38,1.4007938099144292e-86,1.0730913303363577e-41,1.4957320636006683e-97,6.185508984690208e-85,6.192007940085777e-88,1.811820898815749e-98,2.571573677597615e-97,2.4576080382735285e-94,2.0331603129476498e-86,5.941025622817298e-85
6.444443250710936e-16,0.4630434845653698,0.0,1.2780751647142823e-30,0.0,0.0,0.0,0.0,0.0,0.0,1.7200040506385246e-45,8.823399445545112e-65,0.0,5.288719563251088e-113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,0.999999999976967,0.0,0.0,1.0960249405764085e-16,6.806231613884434e-17,3.5092768002973135e-17,6.4474099158230184e-18,2.303302371651527e-11,2.6932684742023924e-35,8.406142566672275e-55,3.2875511497040234e-31,4.544201760847505e-37,3.4236922096376724e-32,5.124965494132528e-84,3.577510517697581e-83,1.7596600375313267e-37,5.193417388304018e-85,4.2924518021878676e-41,1.1067085511008796e-95,2.2932643857995997e-83,2.295674234917897e-86,1.340585151315232e-96,1.9027343955797778e-95,1.8184115633676106e-92,7.537902918552899e-85,2.2026227628248007e-83
1.288897391096316e-15,0.4630434845653697,0.0,2.5561680166513767e-30,0.0,0.0,0.0,0.0,0.0,0.0,1.3760198868219747e-44,1.411762176243956e-63,0.0,1.69242343009516e-111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.767134326336277,0.9999999999539336,0.0,0.0,2.192064747144117e-16,1.3612555602885169e-16,7.018601198940939e-17,1.2894906696149219e-17,4.6066305047377385e-11,1.0773183526709954e-34,6.724993887740633e-54,1.3150317391474476e-30,1.8176983290312895e-36,1.3694911518139775e-31,1.6470367792087387e-82,1.1497228704707726e-81,7.0387162148178644e-37,1.6690376826267065e-83,1.7169975074558719e-40,7.127902748708694e-94,7.369981170172842e-82,7.377728251915294e-85,8.634203069853604e-95,1.2254797462257655e-93,1.1711725703796494e-90,2.4224970544148247e-83,7.078681977891967e-82
2.577803523146761e-15,0.4630434845653698,0.0,5.112354776486883e-30,0.0,0.0,0.0,0.0,0.0,0.0,1.1008229469981187e-43,2.2588348465405116e-62,0.0,5.415810706430496e-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362768,0.9999999999078673,0.0,0.0,4.384144360279533e-16,2.722520375620697e-16,1.4037249996491795e-16,2.5789898500960112e-17,9.213270332285146e-11,4.309295360324717e-34,5.3800270713472255e-53,5.260136927382925e-30,7.270823370083661e-36,5.477995163870759e-31,5.271276389740206e-81,3.67964109995804e-80,2.815504376818604e-36,5.341703232736367e-82,6.868019525174806e-40,4.562949617076128e-92,2.3587323843795572e-80,2.3612133564222543e-83,5.527196128142098e-93,7.844928406410512e-92,7.497305632519585e-89,7.753119531687377e-82,2.2655035433427285e-80
3.866709655197206e-15,0.4630434845653698,0.0,7.668542592286828e-30,0.0,0.0,0.0,0.0,0.0,0.0,3.1476713432566504e-43,8.314026009674455e-62,0.0,2.533642106175177e-109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362765,0.9999999998618011,0.0,0.0,6.576223973414949e-16,4.083785208484908e-16,2.1055898794306252e-16,3.868488854992974e-17,1.38198937212662e-10,9.157266385748365e-34,1.5383538411580253e-52,1.1177783041192418e-29,1.545051319355306e-35,1.1640761674750946e-30,2.3303892316609243e-80,1.6267396538923462e-79,5.982961771293586e-36,2.361526949405472e-81,1.4594558173922571e-39,2.4420258872490208e-91,1.042776564816068e-79,1.0438736711411567e-82,2.9580737887989256e-92,4.19849069096601e-91,4.012452962547272e-88,3.4275947114114677e-81,1.0015608974661977e-79
