Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304)
2.2327116257253726e-18,0.5127804198391197,0.0,8.808116551458137e-30,0.0,0.0,0.0,0.0,0.0,0.0,2.0351201138399485e-49,7.540637336051104e-70,0.0,1.2671370914981437e-114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292276,0.9999999999996495,0.0,0.0,2.226316955097214e-17,1.4247364028332977e-17,5.93368292399224e-18,2.0821225986469188e-18,3.5063019129991193e-13,3.321409603649228e-36,4.474977231479849e-56,4.217202431531015e-33,1.0601728361402815e-39,1.2142239737124733e-34,2.240111347236351e-88,3.548101664890137e-87,5.000704466814491e-39,4.414940304939734e-89,6.080629062276173e-42,1.5515722137065802e-102,2.2755275045503813e-87,2.358402805477418e-90,6.1229176581893266e-89,1.7277388418694255e-87
4.467363053036953e-18,0.5127804198391197,0.0,1.7623885690303194e-29,0.0,0.0,0.0,0.0,0.0,0.0,1.6293335327803688e-48,1.2074844478835736e-68,0.0,4.059844769263394e-113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292276,0.9999999999992986,0.0,0.0,4.45456815602857e-17,2.850710630645548e-17,1.1872521089453554e-17,4.166054164376647e-18,7.015650106365575e-13,1.3294294258340114e-35,3.5827027630430255e-55,1.6879799981362342e-32,4.2434542255337756e-39,4.860060258815924e-34,7.1795960831307095e-87,1.1371727927594618e-85,2.0015850125963686e-38,1.4149961041830687e-87,2.433836283433647e-41,9.94588326816355e-101,7.29310547346221e-86,7.558722282862274e-89,1.962405835838923e-87,5.5374332252057556e-86
8.936665907660116e-18,0.5127804198391197,0.0,3.5255423998060786e-29,0.0,0.0,0.0,0.0,0.0,0.0,1.3039620164347033e-47,1.93276149075635e-67,0.0,1.2999518901647235e-111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292276,0.9999999999985967,0.0,0.0,8.911070557891281e-17,5.702659086655815e-17,2.3750197420394196e-17,8.333917291960397e-18,1.4034346406500874e-12,5.319449365760333e-35,2.8672510671440163e-54,6.754118615102686e-32,1.6979344183799373e-38,1.944657159665622e-33,2.2992706067584967e-85,3.641803713148624e-84,8.008947273015202e-38,4.531534850561843e-86,9.738515359153894e-41,6.3704323965269165e-99,2.335622058574947e-84,2.420686037573879e-87,6.284618298598085e-86,1.773366811215273e-84
1.7875271616906437e-17,0.5127804198391197,0.0,7.051850073384595e-29,0.0,0.0,0.0,0.0,0.0,0.0,1.043367734549845e-46,3.09304764995571e-66,0.0,4.161129038153285e-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292275,0.9999999999971929,0.0,0.0,1.7824075361616704e-16,1.1406556000219415e-16,4.7505550082347545e-17,1.6669643531625075e-17,2.8071738660381026e-12,2.128126128369751e-34,2.2942364897217824e-53,2.7020871892565096e-31,6.792843243261378e-38,7.779894955160779e-33,7.36054694930111e-84,1.1658335009381001e-82,3.2041004504702635e-37,1.4506589892697238e-84,3.896040283180724e-40,4.0786989225799617e-97,7.476917087016555e-83,7.749228484183499e-86,2.0118653555039625e-84,5.676995805630347e-83
3.575248303539908e-17,0.5127804198391197,0.0,1.410446546864961e-28,0.0,0.0,0.0,0.0,0.0,0.0,8.347734494448011e-46,4.949379741876027e-65,0.0,1.3317666182693413e-108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292273,0.9999999999943854,0.0,0.0,3.5650084969067543e-16,2.281434983351886e-16,9.50162554065425e-17,3.334109594894313e-17,5.614652178257961e-12,8.513197328896557e-34,1.8355634651809503e-52,1.0809227954583828e-30,2.717358391743257e-37,3.112211282484942e-32,2.355836104998306e-82,3.7313974516693195e-81,1.2817445138342678e-36,4.6430176928314145e-83,1.5585429534980598e-39,2.6108865489225727e-95,2.3930818023903515e-81,2.480238557871677e-84,6.439229616175953e-83,1.8169942548450268e-81
7.150690587238438e-17,0.5127804198391197,0.0,2.8209696451611576e-28,0.0,0.0,0.0,0.0,0.0,0.0,6.678504736154916e-45,7.919410501349632e-64,0.0,4.2619817942443e-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.554424594229227,0.9999999999887704,0.0,0.0,7.130210418396919e-16,4.562993752480679e-16,1.9003766605608542e-16,6.66840005355341e-17,1.1229608248473048e-11,3.405417501135216e-33,1.4685204858446183e-51,4.323866746396246e-30,1.0869875489536864e-36,1.2449351901493936e-31,7.539413499278432e-81,1.1941640345516585e-79,5.127186873778729e-36,1.4859112328919217e-81,6.234425529792939e-39,1.6711335999049066e-93,7.658611165356764e-80,7.93754040590564e-83,2.0607553139435566e-81,5.814950641526492e-80
1.4301575154635496e-16,0.5127804198391198,0.0,5.642015918726337e-28,0.0,0.0,0.0,0.0,0.0,0.0,5.342930770859715e-44,1.2671379424291103e-62,0.0,1.36388679599097e-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292263,0.9999999999775405,0.0,0.0,1.4260614261377245e-15,9.126111300613874e-16,3.800804873597836e-16,1.3336980871653543e-16,2.2459518172005137e-11,1.3621947161102716e-32,1.1748442758845688e-50,1.729581587126985e-29,4.348038356253003e-36,4.97984223885322e-31,2.4127305004485972e-79,3.8215118683165106e-78,2.0509166289195387e-35,4.755149689014754e-80,2.4938209770339687e-38,1.0695787377014036e-91,2.450875473053544e-78,2.540137407864312e-81,6.5947408517877165e-80,1.86087526174181e-78
2.8603344289429616e-16,0.51278041983912,0.0,1.1284108773747925e-27,0.0,0.0,0.0,0.0,0.0,0.0,4.274395605836362e-43,2.0274466078550907e-61,0.0,4.364522281455159e-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292249,0.9999999999550807,0.0,0.0,2.852142194733785e-15,1.82523464363827e-15,7.601661299856285e-16,2.667414211098156e-16,4.491932915148048e-11,5.448834306226795e-32,9.398865773149777e-50,6.918394326508398e-29,1.7392327942269072e-35,1.991957289085677e-30,8.944899745743316e-78,1.4167780641289156e-76,8.203751195051857e-35,1.7629135105621335e-78,9.975385607699307e-38,7.91370906444489e-90,9.08631641124109e-77,9.417245506039172e-80,2.4449191657911255e-78,6.8989640544506785e-77
5.720688255901785e-16,0.5127804198391203,0.0,2.2568295715356668e-27,0.0,0.0,0.0,0.0,0.0,0.0,3.419537193578895e-42,3.2439355800518487e-60,0.0,1.3966608360706352e-102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.554424594229222,0.9999999999101611,0.0,0.0,5.704303731925891e-15,3.65048168659301e-15,1.520337415311113e-15,5.334846300214871e-16,8.983891564010381e-11,2.179544818881171e-31,7.519137270444454e-49,2.7673698864572875e-28,6.956964636361582e-35,7.967870725314383e-30,2.874638506596875e-76,4.553124037335416e-75,3.2815181498209847e-34,5.665510777323242e-77,3.990174717822863e-37,5.096876410485459e-88,2.920085123202483e-75,3.0264373828962886e-78,7.85728459058025e-77,2.2171320316741923e-75
1.144139590981943e-15,0.5127804198391208,0.0,4.513667452484154e-27,0.0,0.0,0.0,0.0,0.0,0.0,2.73563853943719e-41,5.190314653647177e-59,0.0,4.469337794697327e-101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292163,0.9999999998203221,0.0,0.0,1.1408626806310046e-14,7.300975835706377e-15,3.040679986257262e-15,1.0669709843452826e-15,1.7967794673626518e-10,8.718201532226711e-31,6.01532771750095e-48,1.1069492339154079e-27,2.7827913911279663e-34,3.187157229299126e-29,9.200119655180888e-75,1.457201169892672e-73,1.3126113829758622e-33,1.8132175373672247e-75,1.596074089877033e-36,3.262767536782158e-86,9.345564463346703e-74,9.685945190883877e-77,2.514682468331058e-75,7.095804138012643e-74
