Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(964),S(1465),S(335),S(923),S(304),S(220),CF2O(49),S(879),CFO(51),CH2F(46),CFO3(3228),C2H3F2(66),C2H3F2(64),F(37),CF2CH(73),C2HF2(72),S(234),C2H2F3(67),C2H2F3(68),S(133),S(3636),S(149),CHFCF2(55),CF2(43),CH2F2(41),C2F(235),S(3631),S(3559),S(3935),S(3617),C2H3F2(65)
0.0,0.4652226603950356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8257016159044634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.39381276464595e-20,0.4652226603950356,6.486389164094983e-31,1.9699596146659952e-35,8.809737148809737e-46,8.124829054508087e-45,0.0,0.0,5.448425335094562e-24,1.024614565213931e-41,3.356619865207108e-59,3.5446537883100186e-71,3.5154903043073125e-62,2.896123828035521e-101,7.617638455857073e-74,5.313140875521144e-58,4.96188704620781e-49,1.0089836281739579e-41,3.328143433591224e-121,2.4454739188472693e-79,1.0683522649634367e-121,3.379671898314687e-128,2.6503038593757563e-46,2.9068235365759053e-104,8.541250418735382e-68,2.9006105558170845e-126,9.80889188937424e-131,7.150867499815308e-107,1.0135233690196105e-109,5.461773826795318e-112,4.035340638511097e-67,2.824264214530367e-124,5.49127613587366e-127,1.6935146504596162e-123,3.76,0.0,0.8257016159044634,0.9999999999999996,2.4920690502644256e-59,2.3859623360591633e-64,2.093769927138577e-21,1.2976128393579576e-21,6.756580791264669e-22,1.204990086541525e-22,4.66368952629433e-16,1.32552548940624e-44,1.2603259714854256e-68,1.791351776404861e-40,2.635577154331236e-46,1.9558318443407714e-41,5.1743613447564564e-107,3.4878788377379317e-106,9.16620747216684e-47,5.099836221827864e-108,2.0815687955862212e-50,4.6930567608829154e-123,2.238847986037069e-106,2.2319112337342923e-109,5.746298403241596e-124,8.196819824625896e-123,7.800764880151552e-120,7.409057738967593e-108,2.174187998152766e-106,1.6556368482901153e-45,1.0089836281739579e-41,4.742998737728936e-50,4.9248513736913945e-62,1.2627755509299135e-41,1.1193378525037568e-78,3.4088849361688686e-33,1.6795532219262827e-30,1.682962106857169e-30,3.2103794164151886e-43,1.0470782234568695e-44,5.069445515193903e-56,4.200373284928264e-24,1.2480526988050466e-24,2.6249273693361477e-38,3.9527307187816784e-51,1.4060908468939512e-53,4.879676237798655e-38,1.262802103587383e-41,5.462024678301745e-64,9.605155899837095e-74,2.0026367345934762e-46,3.3883858556642544e-70,9.560938491468908e-75,4.2627056739044105e-38,6.393342667972265e-45
3.90267574100866e-20,0.4652226603950356,1.8161889663389233e-30,5.515886921379522e-35,5.321081239160099e-45,4.907396749807457e-44,0.0,0.0,1.5255590938264922e-23,6.188671973892195e-41,3.9849791040108564e-58,7.929248738273908e-70,4.1735900893771176e-61,6.47851315833415e-100,9.043660374763758e-73,6.307760847398664e-57,2.99697977591423e-48,6.094261114273192e-41,2.5681445734251407e-119,2.9032666365510105e-78,6.499308494434867e-120,3.5962692913944786e-126,1.6007835310576564e-45,1.764058784785732e-102,1.0140172497144403e-66,2.2382620837275525e-124,7.689800575224997e-129,3.4160552218103935e-105,4.841722756620663e-108,2.6091548984478474e-110,4.790756406112781e-66,2.179328795057617e-122,4.2373146834250795e-125,1.3067917738346613e-121,3.76,0.0,0.8257016159044634,0.9999999999999987,2.9585843827243417e-58,2.8326144853735174e-63,5.862555795988016e-21,3.6333159502028376e-21,1.8918426215541083e-21,3.3739722423107002e-22,1.3058330673041e-15,8.006173956014703e-44,1.4962589933476687e-67,1.0819764728854703e-39,1.5918886011891678e-45,1.181322433992752e-40,2.4718545067417324e-105,1.6662015753309544e-104,5.536389313322037e-46,2.436252961325753e-106,1.2572675525144065e-49,4.082403724006699e-121,1.0695245491041754e-104,1.066210779299928e-107,4.998599248777256e-122,7.13026274357793e-121,6.785741835169659e-118,3.539395790722855e-106,1.038635696974204e-104,1.0000046564167994e-44,6.094261114273192e-41,2.864771237735891e-49,5.846783622742902e-61,7.62716432761648e-41,2.503914031919934e-77,9.544877821861686e-33,4.702749021396621e-30,4.712293899186572e-30,1.939069167511808e-42,6.324352469671038e-44,6.018445994517742e-55,1.1761045197798879e-23,3.494547556654004e-24,1.585456131078982e-37,2.424154944807789e-50,1.6693110534333182e-52,2.9473244476303226e-37,7.62732470566763e-41,6.484515700826266e-63,1.1403241084287643e-72,1.2095925876945677e-45,7.579683959209105e-69,2.138743791456576e-73,2.5746742270377585e-37,3.861578971454939e-44
8.920401693734081e-20,0.4652226603950356,4.151289067767086e-30,1.2607741536065516e-34,2.5618715647923926e-44,2.3627002903778103e-43,0.0,0.0,3.4869922144606246e-23,2.979579155642189e-40,3.9124761149980856e-57,1.5666859314033137e-68,4.097655499017703e-60,1.2800450277908152e-98,8.879119384054746e-72,6.192997004445329e-56,1.442916753044299e-47,2.9341243908806722e-40,2.798889580131268e-117,2.8504444000938482e-77,2.934099845756499e-118,8.156605941101803e-124,7.707083622985195e-45,7.974703321558744e-101,9.955681488144918e-66,2.439457926955636e-122,8.326773604662412e-127,1.7787328818438544e-103,2.521075001451428e-106,1.358581546433108e-108,4.7035930484687715e-65,2.3751391271791684e-120,4.6180328514465184e-123,1.4242055995501817e-119,3.76,0.0,0.8257016159044634,0.999999999999997,2.904755694958779e-57,2.781077698923204e-62,1.3400127533686896e-20,8.304722171894822e-21,4.324211706409394e-21,7.711936553826768e-22,2.984761296420185e-15,3.8546281231948656e-43,1.4690359523639444e-66,5.2092509648393473e-39,7.664258364388557e-45,5.6875590035037694e-40,1.2870895169908372e-103,8.675877058768297e-103,2.6655331331022304e-45,1.2685518662272381e-104,6.053202057256583e-49,4.2433490494067143e-119,5.568992153617555e-103,5.551737423084392e-106,5.195664809793464e-120,7.41136734080268e-119,7.053263986992107e-116,1.8429560504428147e-104,5.408154540994775e-103,4.814591955548605e-44,2.9341243908806722e-40,1.3792640331529942e-48,5.740406863115871e-60,3.67215130210389e-40,4.9473122095756455e-76,2.181686359560274e-32,1.0749140620349419e-29,1.0770957483791376e-29,9.335783342890871e-42,3.044903473799893e-43,5.908946088504727e-54,2.6882389023539057e-23,7.987537272351407e-24,7.633288790028742e-37,1.2045124790171704e-49,1.6389394911406682e-51,1.419009849951749e-36,3.6722285172318614e-40,6.3665359689312705e-62,1.1195769716853333e-71,5.823667624199407e-45,1.4976178540874242e-67,4.225797414016143e-72,1.2395948099706445e-36,1.8591840478458713e-43
1.8955853599184922e-19,0.4652226603950356,8.821489276900665e-30,2.6791450770473264e-34,1.1188366198813074e-43,1.0318532912936139e-42,0.0,0.0,7.409858455729128e-23,1.3012604978217712e-39,3.4605408164686093e-56,2.7878339071868467e-67,3.6243298847909025e-59,2.277771734366745e-97,7.853480542256664e-71,5.477635716896833e-55,6.301596548756954e-47,1.2814092079353895e-39,2.289665459557521e-115,2.5211857919656237e-76,1.1078624303654478e-116,1.3763617748172496e-121,3.365885901325056e-44,3.012857538706532e-99,8.805687531839556e-65,1.995779335882616e-120,6.79225343637006e-125,7.098456077941462e-102,1.0060948524797864e-104,5.421742312487033e-107,4.1602747851376764e-64,1.9430112789687222e-118,3.7778376616399644e-121,1.1650886097394125e-117,3.76,0.0,0.8257016159044634,0.9999999999999937,2.5692235203097025e-56,2.4598317300101054e-61,2.847527100908465e-20,1.764753461528769e-20,9.188949876119977e-21,1.638786517676978e-21,6.342617753719358e-15,1.6834173715474954e-42,1.2993456635637322e-65,2.275016755056651e-38,3.3471829855789463e-44,2.483906442477511e-39,5.136436389242568e-102,3.462314784126339e-101,1.1641083491660733e-44,5.062457492358225e-103,2.6435923700699755e-48,3.396668314515667e-117,2.2224385771661282e-101,2.2155526672727476e-104,4.158967321013616e-118,5.932567958886539e-117,5.645917416020981e-114,7.354753805025574e-103,2.1582525081288155e-101,2.102658798062882e-43,1.2814092079353895e-39,6.023608399203752e-48,5.077324874572923e-59,1.6037249496806806e-39,8.803477765061644e-75,4.636083515250653e-32,2.284192381830348e-29,2.2888284652784975e-29,4.0771818588013096e-41,1.3297893437771174e-42,5.22639594709901e-53,5.712507667501524e-23,1.697351670374418e-23,3.3336577590561044e-36,5.588904668138661e-49,1.4496234195147046e-50,6.197188822003266e-36,1.603758671555718e-39,5.631128966277925e-61,9.902531526502789e-71,2.543348652935327e-44,2.6649309801708067e-66,7.519580788712179e-71,5.413636205850767e-36,8.119545188319985e-43
3.9026757410086603e-19,0.4652226603950356,1.816188972027682e-29,5.515886925943183e-34,4.670922654141153e-43,4.3077843770399695e-42,0.0,0.0,1.5255590938267092e-22,5.4325064247649694e-39,2.9087930696947104e-55,4.702089362715207e-66,3.046467651066081e-58,3.841794955978108e-96,6.601323603278931e-70,4.6042828722359477e-54,2.63079251196511e-46,5.349631197962641e-39,1.647888860312983e-113,2.119208571555455e-75,3.8437204455698358e-115,2.0138964317964318e-119,1.4051911061670864e-43,1.0455772144216419e-97,7.401710953123183e-64,1.4365951963382643e-118,4.88153003857119e-123,2.5229025262552377e-100,3.575818684186552e-103,1.9269721361098244e-105,3.4969616327112095e-63,1.398399329163815e-116,2.718937281285539e-119,8.385227343042363e-116,3.76,0.0,0.8257016159044634,0.999999999999987,2.159587180668289e-55,2.0676367850796626e-60,5.862555795988017e-20,3.633315950210903e-20,1.89184262155412e-20,3.3739722422299285e-21,1.3058330664585716e-14,7.027936144846018e-42,1.092178321675754e-64,9.49774710970087e-38,1.3973830068462307e-43,1.0369820440171192e-38,1.8255699416534748e-100,1.230560902349479e-99,4.85992320354325e-44,1.799276683729061e-101,1.1036477751251255e-47,2.41826186644047e-115,7.898894789905611e-100,7.874421188424736e-103,2.9609815089944063e-116,4.223698498376576e-115,4.0196173208563495e-112,2.6139946960736243e-101,7.670767447627125e-100,8.778186576198916e-43,5.349631197962641e-39,2.514737932803084e-47,4.2677974932442905e-58,6.695235971027614e-39,1.4848352009045858e-73,9.544877830400079e-32,4.7027490214405497e-29,4.7122938989908137e-29,1.7021431665419495e-40,5.551608740650356e-42,4.393100726705392e-52,1.1761045197795081e-22,3.494547556652156e-23,1.3917364912213018e-35,2.6077808168545264e-48,1.2184958304652608e-49,2.5872043412799223e-35,6.695376753217973e-39,4.7333031973299415e-60,8.323674420316639e-70,1.0617979966829034e-43,4.494795633506707e-65,1.2682872144059299e-69,2.2600865482970664e-35,3.389750282554581e-42
7.916856503188997e-19,0.4652226603950356,3.684269070746516e-29,1.1189370631792111e-33,1.9082243204872018e-42,1.7598704829703514e-41,0.0,0.0,3.094705590334685e-22,2.2193561328365817e-38,2.3848043007825098e-54,7.723195897337524e-65,2.497678241218689e-57,6.310159750898747e-95,5.412163924831769e-69,3.7748692775049057e-53,1.0747645818124469e-45,2.1854988991395533e-38,1.1169927276548637e-111,1.7374552250821254e-74,1.280161436905553e-113,2.7529142715628007e-117,5.7406641709362395e-43,3.4826487061428464e-96,6.068369832133344e-63,9.740670767323308e-117,3.3065534776052234e-121,8.497830926167828e-99,1.2044342142503787e-101,6.490572866251259e-104,2.8670204247448025e-62,9.478805997971805e-115,1.842984329449146e-117,5.683780132791729e-114,3.76,0.0,0.8257016159044634,0.9999999999999736,1.7705600544027045e-54,1.695173557803541e-59,1.1892613186147118e-19,7.370440927589411e-20,3.8377378894383844e-20,6.844343691193225e-21,2.648975647139048e-14,2.87114123108546e-41,8.954337747463925e-64,3.8801395943152606e-37,5.7087655361460396e-43,4.2364100093633774e-38,6.149022343059474e-99,4.144868026882563e-98,1.985437204822429e-43,6.060459413771899e-100,4.508761271485731e-47,1.6303751852412516e-113,2.660565308056208e-98,2.6523219255755768e-101,1.9962729589768166e-114,2.8475878944048216e-113,2.70999779922362e-110,8.804654060297374e-100,2.5837257364364902e-98,3.5861756444097745e-42,2.1854988991395533e-38,1.0273525003304954e-46,3.498998235459328e-57,2.735222354333869e-38,2.438846276481566e-72,1.936246647577361e-31,9.539862300738508e-29,9.559224766069834e-29,6.9538102307815685e-40,2.268013315036639e-41,3.60172940328891e-51,2.385812025837549e-22,7.088939329204373e-23,5.685697679070742e-35,1.2897070159366925e-47,9.989965002321776e-49,1.0569573918113575e-34,2.7352798684524394e-38,3.8806479353979043e-59,6.824251185012737e-69,4.3377912726110284e-43,7.382715341667903e-64,2.08316556269493e-68,9.233190997844201e-35,1.3848235952498118e-41
1.594521802754967e-18,0.4652226603950356,7.42042930835859e-29,2.253633807571884e-33,7.713347865428524e-42,7.113677914957054e-41,0.0,0.0,6.232998583352165e-22,8.970992333444186e-38,1.9312763536027032e-53,1.2519633363350832e-63,2.0226845981239162e-56,1.0229040877883092e-93,4.382910665653171e-68,3.056987010681253e-52,4.3443702799909244e-45,8.834135986415868e-38,7.354781692775295e-110,1.407036289349714e-73,4.179213841096566e-112,3.6403976467980167e-115,2.3204682429537694e-42,1.1368647539888494e-94,4.914323223535353e-62,6.417594284639158e-115,2.1764307894773709e-119,2.789073452230426e-97,3.9530736907445416e-100,2.1302710082234016e-102,2.3217874736572485e-61,6.241271506622497e-113,1.213503780413803e-115,3.742456066011861e-112,3.76,0.0,0.8257016159044634,0.9999999999999467,1.4338454479599942e-53,1.372795497520415e-58,2.395272796646532e-19,1.4844690882403389e-19,7.729528425206996e-20,1.3785086588549398e-20,5.335260802528821e-14,1.1605611912084997e-40,7.251454864808804e-63,1.5684144590005453e-36,2.307574303669313e-42,1.7124246606740037e-37,2.0181707032025707e-97,1.3603871886441723e-96,8.025454632341137e-43,1.9891034661921668e-98,1.822513393772268e-46,1.0706407175758595e-111,8.732241741261118e-97,8.705186137993493e-100,1.3109197984727753e-112,1.869964391948575e-111,1.779611230804147e-108,2.8897756266608997e-98,8.480046573953242e-97,1.4495895357957673e-41,8.834135986415868e-38,4.152723073162434e-46,2.8335794879917365e-56,1.105620608063641e-37,3.95347490861949e-71,3.899764382681939e-31,1.9214088859644631e-28,1.9253086498845422e-28,2.8108412769952625e-39,9.167672443090567e-41,2.9167738548362045e-50,4.805227037950946e-22,1.427772287429576e-22,2.2982499083624845e-34,7.026937136249043e-47,8.090132666205232e-48,4.272390770645701e-34,1.1056438561900996e-37,3.1426493107358073e-58,5.526455540300763e-68,1.7534045877098502e-42,1.1967699724491468e-62,3.376901150189522e-67,3.732203427326544e-34,5.597678386227733e-41
3.2001941076271013e-18,0.4652226603950356,1.489274994428037e-28,4.523027309248781e-33,3.1015033029777166e-41,2.860378637663171e-40,0.0,0.0,1.2509584569393248e-21,3.60719656142224e-37,1.5544592275942475e-52,2.0162483568575437e-62,1.6280325368955685e-55,1.647355498502308e-92,3.527747807521227e-67,2.4605290975124356e-51,1.7468521825369443e-44,3.5521672301234463e-37,4.7740516535473935e-108,1.1325052174892701e-72,1.351368518157565e-110,4.735874109237415e-113,9.330500744909863e-42,3.674262647838196e-93,3.955474867340614e-61,4.170777456284481e-113,1.4124968459553189e-117,9.038160030882527e-96,1.2810170381252286e-98,6.90326991140497e-101,1.8687765516354876e-60,4.051262677262726e-111,7.876958574597644e-114,2.429260219895735e-110,3.76,0.0,0.8257016159044634,0.999999999999893,1.1540835759432092e-52,1.1049452470240592e-57,4.807295752710173e-19,2.9793190792259186e-19,1.5513109496744542e-19,2.7666572380980065e-20,1.0707831089423648e-13,4.666565506554099e-40,5.836601737560096e-62,6.306525533206145e-36,9.278654773401653e-42,6.88558424958623e-37,6.5400021845824195e-96,4.408415584755851e-95,3.2270000155403155e-42,6.445808094918619e-97,7.328246190840624e-46,6.940347341719974e-110,2.8297348654476346e-95,2.820967338541098e-98,8.49793824864344e-111,1.21219024679649e-109,1.153619499672787e-106,9.364489792935614e-97,2.7480095221278637e-95,5.828735786746544e-41,3.5521672301234463e-37,1.669791689244842e-45,2.280711285636427e-55,4.445651838055039e-37,6.366949450337044e-70,7.826799877010584e-31,3.856254197869773e-28,3.8640809958866783e-28,1.1302269148328512e-38,3.686280768142451e-40,2.3476733529531426e-49,9.644057062167005e-22,2.8655289964426354e-22,9.24116180080179e-34,4.284103674257177e-46,6.511642595383582e-47,1.7179095382167476e-33,4.44574531775033e-37,2.529477569648948e-57,4.448172209627941e-67,7.050362729686784e-42,1.927361147156271e-61,5.438395199984298e-66,1.5007025832809054e-33,2.2508018596059357e-40
6.41153871737137e-18,0.4652226603950356,2.983739185891444e-28,9.061814364168778e-33,1.2438415833862193e-40,1.1471397954586825e-39,0.0,0.0,2.50627565414999e-21,1.4466471569413688e-36,1.2473556352773084e-51,3.2365251430271704e-61,1.3063935853520466e-54,2.6443704076854344e-91,2.830795444444529e-66,1.974419641172165e-50,7.005658552209391e-44,1.4245779369919171e-36,3.077001713380777e-106,9.08764118247585e-72,4.355064663164457e-109,6.111148804114339e-111,3.7419481138649593e-41,1.1816057496566318e-91,3.1740194748680506e-60,2.6947010557319886e-111,9.103132606707473e-116,2.91043260164803e-94,4.125078977713139e-97,2.222962922133344e-99,1.4995754942860032e-59,2.6111452317997763e-109,5.076909095556634e-112,1.5657220364531545e-108,3.76,0.0,0.8257016159044634,0.9999999999997855,9.26079416410704e-52,8.866489738931863e-57,9.631341664837456e-19,5.969019061288213e-19,3.1080271639820942e-19,5.542954395671469e-20,2.145297156767442e-13,1.8715014854040578e-39,4.683505318128505e-61,2.529198784962858e-35,3.7211555534109514e-41,2.7614272527264166e-36,2.1059849117627408e-94,1.4195800603713002e-93,1.2941713414318233e-41,2.0756529272063225e-95,2.9389544795578537e-45,4.4702556519195176e-108,9.112197146389497e-94,9.083964327110575e-97,5.473494960776308e-109,7.807678782727256e-108,7.430426528639418e-105,3.015514939526765e-95,8.849028521716249e-94,2.337583761964444e-40,1.4245779369919171e-36,6.696611553507563e-45,1.8301271687240654e-54,1.7829052236919445e-36,1.0220363896314334e-68,1.5680870962145815e-30,7.725944822176736e-28,7.741625685679027e-28,4.5327154338769666e-38,1.478363460692622e-39,1.8838600145607007e-48,1.9321717110556186e-21,5.741042414447883e-22,3.706119203168551e-33,2.888049962818218e-45,5.225183093847115e-46,6.889585602048446e-33,1.7829427132317738e-36,2.029746448788558e-56,3.5693780621706087e-66,2.8275107898174006e-41,3.093841487562266e-60,8.729828716883201e-65,6.018488564430691e-33,9.026722152657708e-40
