Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339)
0.0,0.8085817365602903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7663849656816677,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1773457444142875e-22,0.8085817365602903,2.210379280896139e-26,9.801471872636868e-27,4.1253507164072716e-41,2.686542051277706e-41,0.0,0.0,1.506493980240934e-21,2.928062153842247e-39,3.457938928537449e-54,6.304081852374529e-67,8.662974698377143e-57,3.278093555177675e-81,5.086910935436686e-59,1.5659783858613565e-51,3.821040303230685e-39,4.354634916745255e-38,6.876140426500292e-105,2.2755235423923575e-60,2.6924179430280194e-101,1.517957235708517e-109,1.5204610105199482e-37,1.203930041677952e-94,1.3832154805309452e-57,3.6699786075155403e-110,2.012970875532398e-111,1.3651831142807344e-90,3.3519623520948594e-93,1.6506926549086789e-93,3.719390406406047e-59,4.005044463203023e-111,8.044315306438265e-113,9.568692524168251e-112,3.76,0.0,0.7663849656816677,0.9999999999999996,3.0951676347045356e-56,5.434096965796038e-55,1.647858232773612e-17,1.0156837005222413e-17,2.817131265822084e-18,3.5046140566916175e-18,4.686203969466181e-16,1.909506677434113e-35,7.250030160975949e-55,1.7048892383868272e-34,3.464035185587168e-43,2.051465395968122e-37,4.6846057163767424e-91,5.640746847858629e-89,9.539786233131452e-40,5.40649999087702e-91,4.279465601683856e-41,1.6280876467986105e-109,4.995139208870265e-89,2.8037425018764968e-92,4.988173859977738e-91,3.256259146846161e-89,1.0808200872277205e-110,9.116977870154555e-110,1.285554763350272e-106,7.564928931317746e-43,4.354634916745255e-38,5.212130813036077e-43,1.1529505257696382e-21,3.535655582640868e-22,6.863782631020994e-36,8.361669165538953e-52,5.296150583411479e-36,9.575929581804174e-25,3.366118806450643e-23,1.3147360358036489e-37,1.2748308848514776e-36,5.191549011521937e-52,1.2014808213863475e-36,4.294761959247459e-42,1.0456136800311204e-36,3.1822067641979e-47,7.710572764836155e-57,3.5203801723500906e-60,8.434582418064654e-69,6.82928189652607e-73,3.4451133219206163e-39,5.206330787972954e-38,3.324460708381133e-54,3.4618781022684846e-23,3.8655775180793794e-73,5.201945860469649e-69
3.296568084360005e-22,0.8085817365602903,6.189061989113893e-26,2.744412124338644e-26,2.4917118327947423e-40,1.6226713995415823e-40,0.0,0.0,4.2181831446746125e-21,1.7685495409207162e-38,4.105265162741192e-53,1.4101978940486495e-65,1.0284683562252655e-55,7.332964159189565e-80,6.0391806625498835e-58,1.8591295396944314e-50,2.3079083431516035e-38,2.6301994897149403e-37,4.1848734677708446e-103,2.701501549529477e-59,1.6379292249021205e-99,1.320443105667642e-107,9.183584503539581e-37,6.445218270587429e-93,1.6421534184864926e-56,2.831919921091436e-108,1.665767813826089e-109,6.521643558893105e-89,1.6012726391441755e-91,7.885556895618491e-92,4.415660290486489e-58,3.0904718966069496e-109,6.207354111444052e-111,7.383631829268583e-110,3.76,0.0,0.7663849656816677,0.9999999999999987,3.674583272422265e-55,6.451359917793746e-54,4.614003051766113e-17,2.8439143614623734e-17,7.887967544301913e-18,9.812919358735468e-18,1.3121371114500815e-15,1.1533420331702367e-34,8.60723580711085e-54,1.0297530999852169e-33,2.0922772520942487e-42,1.239085099164936e-36,2.23789236598301e-89,2.694652458184293e-87,5.762030884812856e-39,2.582749923643694e-89,2.5847972234176235e-40,1.4162434871377368e-107,2.3862379417479547e-87,1.3393814380570121e-90,2.382910510999268e-89,1.5555540695581887e-87,9.401855067899806e-109,7.930691296856422e-108,1.1182804344219832e-104,4.569217075581003e-42,2.6301994897149403e-37,3.1481270110782985e-42,3.228261472154978e-21,9.89983563139418e-22,4.145724709136617e-35,9.927012523281413e-51,3.198874952380495e-35,2.6812602829096356e-24,9.425132658061847e-23,7.941005656253345e-37,7.699978544502235e-36,6.163805363546465e-51,7.256944161173413e-36,2.594036223385418e-41,6.31550662738792e-36,1.922053485694346e-46,9.154058805992967e-56,4.17939534061919e-59,1.88689885061348e-67,1.5277773720570626e-71,2.0808484464398974e-38,3.144623795935671e-37,3.9468404608526186e-53,9.693258686351603e-23,8.647676214767452e-72,1.1637263356267522e-67
7.53501276425144e-22,0.8085817365602903,1.4146427415968224e-25,6.272941998489843e-26,1.1996519884583582e-39,7.812464293663285e-40,0.0,0.0,9.64156147354196e-21,8.514804743373236e-38,4.030573709934933e-52,2.7863133999700948e-64,1.009756330948011e-54,1.4488701468409048e-78,5.929303386343298e-57,1.8253044065594674e-49,1.1111585201798872e-37,1.2663278337907085e-36,1.8946267879822955e-101,2.6523502410163485e-58,7.394395472571173e-98,1.3725007093339221e-105,4.42150061859065e-36,3.132240396017836e-91,1.6122759641073488e-55,3.086364859774791e-106,1.7652167417930128e-107,3.3958062803425643e-87,8.33779343419215e-90,4.105993127090223e-90,4.335321457710638e-57,3.3681474588399144e-107,6.765078158297511e-109,8.047043153287568e-108,3.76,0.0,0.7663849656816676,0.999999999999997,3.607727759451076e-54,6.333983423333997e-53,1.0546292689751114e-16,6.50037568334303e-17,1.802964010126189e-17,2.2429529962818933e-17,2.9991705404552127e-15,5.552845417978887e-34,8.450635155634197e-53,4.957817905222497e-33,1.0073414319681425e-41,5.965661371478109e-36,1.1652659153353082e-87,1.4030999483809722e-85,2.774169836596779e-38,1.3448325306458385e-87,1.2444685969705054e-39,1.4720776927748232e-105,1.2425091490824564e-85,6.974131379704028e-89,1.2407765627917751e-87,8.099737790199249e-86,9.772515278518896e-107,8.243352115941783e-106,1.1623676978826365e-102,2.1998813347943483e-41,1.2663278337907085e-36,1.515687640437654e-41,7.37888336492562e-21,2.262819572889982e-21,1.995987989100812e-34,9.746416803086042e-50,1.5401205896560017e-34,6.128594932385936e-24,2.154316036128444e-22,3.823252392115969e-36,3.7072082131470617e-35,6.051835223265127e-50,3.493906228591313e-35,1.2489167777490905e-40,3.04064458153043e-35,9.253866272069717e-46,8.987538498496538e-55,4.1033551289067075e-58,3.72830648674204e-66,3.018721583663687e-70,1.0018389540142827e-37,1.5140009931425468e-36,3.8750492068551414e-52,2.2156019854517223e-22,1.7086865740715807e-70,2.2993964139388067e-66
1.601190212403431e-21,0.8085817365602903,3.006115831135217e-25,1.3330001746797388e-25,5.239195411150843e-39,3.4119084139553284e-39,0.0,0.0,2.0488318131276618e-20,3.7186389353796374e-37,3.5649968132683227e-51,4.958095823091135e-63,8.93118039724733e-54,2.578187013467405e-77,5.244401697994232e-56,1.6144610766865135e-48,4.852721185107144e-37,5.5303863442786536e-36,7.194167564155317e-100,2.3459737512727428e-57,2.7919830387461936e-96,1.098644333807433e-103,1.93098548335893e-35,1.2186415596233637e-89,1.4260398318091893e-54,2.5248380884489628e-104,1.4258447555360885e-105,1.3551771433478727e-85,3.3273944845993204e-88,1.638594070807213e-88,3.8345427333961867e-56,2.755353752869354e-105,5.53425397966612e-107,6.582980942651121e-106,3.76,0.0,0.7663849656816675,0.9999999999999937,3.190994392100405e-53,5.602336607861567e-52,2.2410871965721113e-16,1.3813298327105907e-16,3.831298521518311e-17,4.76627511709689e-17,6.37323739845829e-15,2.4250734803418267e-33,7.474491094761092e-52,2.1652093327446603e-32,4.399324685689419e-41,2.6053610528823986e-35,4.6502703747546135e-86,5.599403566938314e-84,1.2115528516099016e-37,5.366873598524106e-86,5.434921314147074e-39,1.1783521924695895e-103,4.958527843547285e-84,2.783192756078763e-87,4.9516135464950185e-86,3.232392726265739e-84,7.822593101507863e-105,6.598545774312222e-104,9.304390196131949e-101,9.60745975882516e-41,5.5303863442786536e-36,6.619406132625706e-41,1.5680127150466754e-20,4.8084915923907144e-21,8.717003941395704e-34,8.620602055536954e-49,6.726111240931999e-34,1.3023264231410002e-23,4.577921576773038e-22,1.6697147654695576e-35,1.6190352237603068e-34,5.352849048122741e-49,1.5258806431604694e-34,5.454347688243547e-40,1.3279293736394528e-34,4.04141189237297e-45,7.949387649636096e-54,3.629371142518023e-57,6.634413344840683e-65,5.371727573961122e-69,4.375293918836782e-37,6.612040100725774e-36,3.427444224159934e-51,4.708154219084602e-22,3.0405582399056795e-69,4.0917092828890046e-65
3.296568084360005e-21,0.8085817365602904,6.189062026882119e-25,2.7444121243433034e-25,2.1872609510213801e-38,1.4244046035368178e-38,0.0,0.0,4.218183144674577e-20,1.5524585539671445e-36,2.9965946333389806e-50,8.36255329615725e-62,7.507195270025037e-53,4.3484892339451825e-76,4.408235626067979e-55,1.357051813531262e-47,2.025915568776666e-36,2.308827432869252e-35,2.5239715041470594e-98,1.971932293474828e-56,9.686686193339953e-95,7.821816607488941e-102,8.061484277764128e-35,4.2845937471100797e-88,1.1986724039822535e-53,1.8171443095020887e-102,1.0197639191647551e-103,4.8165118204438385e-84,1.1826081147427175e-86,5.823819970475239e-87,3.2231642159590848e-55,1.9830481084655008e-103,3.98304278405812e-105,4.737819195974413e-104,3.76,0.0,0.7663849656816673,0.9999999999999869,2.6822230768705226e-52,4.709101485015532e-51,4.61400305176611e-16,2.843914361463794e-16,7.887967544303062e-17,9.812919358720096e-17,1.3121371114435704e-14,1.0124204403760201e-32,6.282760137021592e-51,9.039322741867469e-32,1.8366314553926508e-40,1.087686952944885e-34,1.6527789254940059e-84,1.9901157276722225e-82,5.057994660826089e-37,1.9074709349371067e-84,2.2689726620204563e-38,8.38929182566542e-102,1.7623384579409182e-82,9.891902969346118e-86,1.7598810084838007e-84,1.148843001875575e-82,5.569304048599611e-103,4.697842162935727e-102,6.6242711741301005e-99,4.0109253337701676e-40,2.308827432869252e-35,2.7634717571346276e-40,3.228261472154841e-20,9.89983563139059e-21,3.6391775509664684e-33,7.246138141278961e-48,2.8080190393242456e-33,2.6812602829743986e-23,9.425132658062527e-22,6.970730461821253e-35,6.759153351472908e-34,4.499419645848251e-48,6.370251314988683e-34,2.2770827907923487e-39,5.543843731524369e-34,1.6872143980351998e-44,6.681943916532342e-53,3.0507051313334817e-56,1.1189980732081767e-63,9.060262743098789e-68,1.82659908328015e-36,2.7603965837833713e-35,2.8809761982131123e-50,9.693258686349378e-22,5.128379308126175e-68,6.901310736601813e-64
6.687323828273153e-21,0.8085817365602904,1.2554954485056374e-24,5.567236023678659e-25,8.935674675776472e-38,5.819157612054298e-38,0.0,0.0,8.55688580776835e-20,6.342299747708336e-36,2.4567893288787266e-49,1.3735518900092624e-60,6.15485225152668e-52,7.142406624438815e-75,3.6141379006232863e-54,1.1125930663483076e-46,8.276526138441604e-36,9.432313415159147e-35,8.592146772710958e-97,1.616709233334185e-55,3.226070954619684e-93,5.273421693337506e-100,3.2933793672159285e-34,1.4359344760150155e-86,9.827440575225293e-53,1.231719582347145e-100,6.890820601729715e-102,1.6223338323268305e-82,3.983349831702333e-85,1.961622959462193e-85,2.6425447596352553e-54,1.3441745801695156e-101,2.6998360951759235e-103,3.2114481242307837e-102,3.76,0.0,0.7663849656816668,0.9999999999999734,2.199048539837496e-51,3.8608059093509186e-50,9.359834762154107e-16,5.769083418972707e-16,1.6001305589874593e-16,1.990620784193937e-16,2.6617638546275588e-14,4.136067843593226e-32,5.150986348711558e-50,3.692858285865037e-31,7.503238773341219e-40,4.443556106304656e-34,5.567014611753931e-83,6.703257867119254e-81,2.066355857257933e-36,6.424887444125214e-83,9.269493671936105e-38,5.656001695526204e-100,5.93604129069616e-81,3.331865352277951e-84,5.927763924184902e-83,3.869619632328472e-81,3.7547857192662295e-101,3.1672522295132854e-100,4.4660371544246137e-97,1.638593878393675e-39,9.432313415159147e-35,1.1289683826801214e-39,6.548758986370931e-20,2.0082523709384012e-20,1.486722773008942e-32,5.940822909263011e-47,1.1471674009688194e-32,5.439128002755536e-23,1.9119554820642713e-21,2.8477708429839296e-34,2.7613346898155454e-33,3.6889070075482065e-47,2.602455518354219e-33,9.302626194202833e-39,2.264841055494073e-33,6.892858019556497e-44,5.4782631635169835e-52,2.501152382558254e-55,1.8379635224421322e-62,1.488155594208695e-66,7.462253259794635e-36,1.1277120739981888e-34,2.361999466285889e-49,1.9663467620875004e-21,8.423405118576201e-67,1.1335459547333403e-62
1.3468835316099449e-20,0.8085817365602906,2.52867396681267e-24,1.1212883822382272e-24,3.6119425772827074e-37,2.3521965752756668e-37,0.0,0.0,1.723429113395565e-19,2.563658962672168e-35,1.9895716958413106e-48,2.2265868040672565e-59,4.9843589343183974e-51,1.1578148925372571e-73,2.926822574768295e-53,9.01006711049189e-46,3.345504195439187e-35,3.812691892162287e-34,2.926204731552808e-95,1.3092530531917453e-54,1.0530433018038081e-91,3.462980032031716e-98,1.3312365968299173e-33,4.701466947259237e-85,7.958516171446525e-52,8.110194819802407e-99,4.530220598598698e-100,5.324662080933035e-81,1.3073752997946492e-83,6.438242969020649e-84,2.1400012589721884e-53,8.850649029960184e-100,1.777693319913582e-101,2.114561653563585e-100,3.76,0.0,0.7663849656816658,0.9999999999999464,1.7808465266366288e-50,3.126580723556782e-49,1.8851498182930086e-15,1.1619421534000557e-15,3.222798168102577e-16,4.0092784808269337e-16,5.3610173409495524e-14,1.6718647524172408e-31,4.1714022935296346e-49,1.4927123628496794e-30,3.032929078630962e-39,1.796156424527068e-33,1.8271499377671617e-81,2.2000763512727876e-79,8.352540756983247e-36,2.108712391193646e-81,3.746877548676331e-37,3.714203804707295e-98,1.948268188803404e-79,1.0935515703846362e-82,1.9455514742761325e-81,1.2700479095790308e-79,2.4657063691082555e-99,2.0798827360021102e-98,2.9327735534874983e-95,6.623458495835756e-39,3.812691892162287e-34,4.563470709530177e-39,1.3189754014802148e-19,4.044789986534549e-20,6.009571155019174e-32,4.811032844122501e-46,4.637034051001132e-32,1.0954863442775176e-22,3.850839914580789e-21,1.1511145066690629e-33,1.1161756315632382e-32,2.987376899568972e-46,1.0519541302019689e-32,3.760270243890641e-38,9.154849663234479e-33,2.786233072523446e-43,4.436440275272806e-51,2.0254980462319938e-54,2.9794227311049878e-61,2.4123681186574138e-65,3.016362078765902e-35,4.558392508748928e-34,1.912808852662999e-48,3.9603885489910534e-21,1.3654724033918625e-65,1.8375297133095422e-61
2.703185829175204e-20,0.8085817365602909,5.07503111011546e-24,2.25041794199211e-24,1.4523462277925333e-36,9.458079202265318e-37,0.0,0.0,3.458910178632927e-19,1.0308359935086951e-34,1.6013803899616459e-47,3.585849406081577e-58,4.01184570896058e-50,1.8646251909744677e-72,2.355761435967927e-52,7.252085868600632e-45,1.3452125229347991e-34,1.5330666410412974e-33,1.0242843908085703e-93,1.0538007596827192e-53,3.4032540589803234e-90,2.244863871324458e-96,5.352843805904505e-33,1.5217242214903084e-83,6.405706190080922e-51,5.264396768562639e-97,2.938342729463295e-98,1.725488412390078e-79,4.2366274069093786e-82,2.0863509215122663e-82,1.722459189154915e-52,5.745031933901386e-98,1.1539159287280326e-99,1.3725800435256139e-98,3.76,0.0,0.7663849656816639,0.9999999999998924,1.4333802192608207e-49,2.5165441727126425e-48,3.783482502448201e-15,2.332009776409637e-15,6.468133386336058e-16,8.0465938740495e-16,1.0759524313409611e-13,6.722494638199503e-31,3.357507469635907e-48,6.002130758974316e-30,1.2195274431946492e-38,7.22226598526731e-33,5.920988031744854e-80,7.12947825192258e-78,3.3585199026303137e-35,6.833407906332248e-80,1.506602982978357e-36,2.4077044799706866e-96,6.3134789267577285e-78,3.5437188959990544e-81,6.304675252047845e-80,4.115665779053154e-78,1.5983754751580796e-97,1.348268227752426e-96,1.9011482392762793e-93,2.6632635709573e-38,1.5330666410412974e-33,1.8349515016079227e-38,2.647174407166073e-19,8.117865217716705e-20,2.4164221303766026e-31,3.872337953495407e-45,1.8645309974894064e-31,2.1986334324643904e-22,7.728608779615749e-21,4.6285808034334286e-33,4.48809312330065e-32,2.4045025676548907e-45,4.229861290913721e-32,1.5119881267972131e-37,3.681124785093198e-32,1.1203559116259915e-42,3.5708333874799597e-50,1.6302970420865392e-53,4.798272182692714e-60,3.8850475017401515e-64,1.212865925423234e-34,1.832909579229666e-33,1.5395951533581635e-47,7.948472122791872e-21,2.199052917501484e-64,2.9592872526462137e-60
5.4157904243057223e-20,0.8085817365602914,1.0167745823475937e-23,4.508677061552517e-24,5.8245579781871284e-36,3.793112964669903e-36,0.0,0.0,6.929872309107261e-19,4.134113386636273e-34,1.2850069116960741e-46,5.756082442540894e-57,3.2192535389786876e-49,2.993136383662491e-71,1.8903501916673028e-51,5.81934218906278e-44,5.394903878060544e-34,6.148282911638098e-33,3.799379709192586e-92,8.456087436440368e-53,1.0944355483737166e-88,1.445926814433956e-94,2.1467297779295433e-32,4.8973012611028967e-82,5.140175800322467e-50,3.393042019838279e-95,1.8931119762367622e-96,5.55634762210984e-78,1.3642615302161232e-80,6.718382400366624e-81,1.3821650226578605e-51,3.7028240228020645e-96,7.437291339147295e-98,8.846639011339702e-97,3.76,0.0,0.7663849656816601,0.9999999999997844,1.1501973606574841e-48,2.0193682122157278e-47,7.580147870758567e-15,4.672145022444844e-15,1.2958803822816e-15,1.612122466032092e-15,2.1556538257594012e-13,2.6960210208497898e-30,2.6941882959570476e-47,2.4071228860722425e-29,4.890850494061169e-38,2.896451683892353e-32,1.9066524896278097e-78,2.2958055961024317e-76,1.346916694473847e-34,2.2004662275443873e-78,6.042151806571273e-36,1.5507948011174057e-94,2.0330408115185584e-76,1.1411339491414933e-79,2.0302058881640506e-78,1.3253099586462988e-76,1.0295085620846256e-95,8.684152791600364e-95,1.2245235369554943e-91,1.0680878420620403e-37,6.1482829116380985e-33,7.3589762250029e-38,5.303572418536245e-19,1.6264015680040446e-19,9.69093351400359e-31,3.1073074043610906e-44,7.4776032317914975e-31,4.404927609569916e-22,1.548414650969337e-20,1.8562679204908547e-32,1.7999260772926959e-31,1.9294625769426062e-44,1.696363562822586e-31,6.0637486416599916e-37,1.4762956811509895e-31,4.493319575451014e-42,2.865369027095488e-49,1.3082107039641486e-52,7.702292489223399e-59,6.236364060493799e-63,4.8641348284414604e-34,7.35078720155941e-33,1.23542822147943e-46,1.5924639270368366e-20,3.52996831449752e-63,4.750313260995741e-59
