Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195)
0.0,0.5531682390720549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.726453033095809,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1487259583691516e-21,0.5531682390720549,8.867491123912585e-29,7.246609860481946e-32,2.4436357651681987e-38,4.0195139469225566e-30,0.0,0.0,5.409835969281475e-23,8.925080392064613e-41,5.709654920455262e-55,5.073536539629407e-55,7.06894668205084e-60,6.911547909829054e-75,1.2542861106879442e-49,5.374799421655907e-41,1.0089892705725583e-44,4.010251247325494e-40,1.8862564774405675e-92,1.7762357425921825e-71,2.347506836740692e-95,1.2635248521416033e-94,2.022658853284651e-28,2.524786137481598e-94,2.5480900096639777e-63,2.3342344926633566e-101,1.5110397638168066e-106,1.3640550257534104e-85,3.263012141711391e-102,6.932368805044654e-102,9.182010989405526e-64,8.930173517080797e-117,4.982272683768785e-117,3.980202554332668e-118,3.76,0.0,0.726453033095809,0.9999999999999994,1.433685097765675e-52,2.4950806665911087e-60,9.549325953618723e-20,6.13073448089012e-20,2.4106179202595306e-20,1.0079735524690728e-20,5.123475250614716e-16,8.842843304928921e-41,7.706672676352169e-63,5.957679342283279e-38,8.512462909437115e-45,2.556775119681923e-38,3.1938581091551496e-100,6.451650945658665e-99,8.4275133898866e-44,7.709592562552797e-101,1.6151989508563535e-46,4.6826884631084704e-117,4.191434682998954e-99,4.276275404700048e-102,1.0440302091428869e-100,2.9981736878801354e-99,4.170930124642578e-118,5.021672333517178e-117,5.476801836050056e-114,3.4916334418750776e-44,4.010251247325492e-40,4.990369885204622e-47,4.158524098971735e-23,1.251320737800817e-23,3.173637973096342e-37,7.918444743611808e-53,4.772096996849655e-38,1.3306646140803343e-29,2.1289464683361164e-27,1.3777518620083414e-41,2.911226599231297e-40,5.029384298633206e-54,1.7002767132259082e-39,9.85238284733448e-45,7.716755429662154e-23,1.3076990297406694e-49,1.7700974595346426e-39,5.089199893874889e-68,3.727913068718805e-69,1.667916257576468e-73,1.9834629657089335e-38,4.885072640826707e-42,1.2478368676433514e-58,2.1422531144757344e-27,1.635109685145844e-73,7.263401871761985e-70,1.2532354462089943e-45,7.716755429662152e-23,1.3636494890653614e-60,2.4332577926857463e-38,2.0226588532851735e-28,2.581124213920468e-44,2.6944975649177308e-76,3.225295252706748e-38,1.5828225534784858e-51,1.9294455601119126e-60,3.3798942603756252e-77,1.1237753652275993e-59,1.6881427543526062e-58,4.0195139469221054e-30,8.336782148120304e-63,4.844905241606341e-61,1.8690264834975264e-68
6.0164326834336246e-21,0.5531682390720549,2.482897515086258e-28,2.0290507609404972e-31,1.4759560021615823e-37,1.1254639051384403e-29,0.0,0.0,1.514754071398813e-22,5.390748556807026e-40,6.77850232156805e-54,6.023302579846521e-54,8.392260338691669e-59,8.205389678544537e-74,7.575888108552065e-49,3.246378850679281e-40,6.094295194261467e-44,2.4221917533931754e-39,9.010874010867776e-91,2.1087470736192686e-70,1.1214321859927245e-93,6.036009841660834e-93,5.663444789195332e-28,1.5179204382733049e-92,3.02509245947451e-62,1.1150920901309146e-99,7.224094018983915e-105,4.288807249783264e-84,1.5588141693529008e-100,3.3116758099216165e-100,1.0900883446764708e-62,6.890923623430592e-115,3.8446611405756277e-115,3.071340744919725e-116,3.76,0.0,0.726453033095809,0.9999999999999986,1.702070948067497e-51,2.962159767378397e-59,2.6738112670132423e-19,1.7166056546494075e-19,6.749730176726697e-20,2.822325946911653e-20,1.4345730701623e-15,5.341077356177513e-40,9.149361801365976e-62,3.598438322707873e-37,5.141527597281249e-44,1.5442921722880042e-37,1.5257443450458676e-98,3.082031076551868e-97,5.0902180875119735e-43,3.682964882286136e-99,9.755801663180604e-46,4.073384532585737e-115,2.0022986452842843e-97,2.042828076138998e-100,4.98745759274759e-99,1.4322635487850046e-97,3.628215370291086e-116,4.368260364135525e-115,4.764169069339715e-112,2.108946599066159e-43,2.4221917533931728e-39,3.0141834106935734e-46,1.1643867477120824e-22,3.5036980658421797e-23,1.916877335750145e-36,9.400777604931888e-52,2.882346586097159e-37,3.7258609194690776e-29,5.9610501113423975e-27,8.321621246525971e-41,1.7583808659347652e-39,5.970888005536617e-53,1.0269671347884394e-38,5.950839239790043e-44,2.1606915203054026e-22,7.90121961153079e-49,1.0691388655589238e-38,6.041898114009187e-67,8.339196375727175e-68,3.731063722192712e-72,1.1980116312880035e-37,2.9505838750593334e-41,1.4814321692037155e-57,5.998308720529929e-27,3.6576766970788294e-72,1.6247947161830245e-68,7.569542096984104e-45,2.160691520305402e-22,1.6189246737867573e-59,1.4696877067820506e-37,5.663444789198489e-28,1.5589990252214026e-43,6.027484205385743e-75,1.9480783326347657e-37,1.8791269208746006e-50,2.290637768969073e-59,1.0626468683599557e-75,1.2048122526000285e-58,2.0041630779539818e-57,1.1254639051381677e-29,9.897586146423284e-62,7.321620801115508e-60,2.8244728220071313e-67
1.375184613356257e-20,0.5531682390720549,5.675194322039195e-28,4.637830310747317e-31,7.1060928051089815e-37,2.572488926031307e-29,0.0,0.0,3.4622950203401446e-22,2.5954133780123895e-39,6.655173775285721e-53,5.913714190587349e-53,8.239573962826185e-58,8.056100243682748e-73,3.647464009875867e-48,1.5629916718162073e-39,2.934140798829823e-43,1.1661810627348745e-38,4.691943265259525e-89,2.0703803816068111e-69,5.8392741427508644e-92,3.142937810599024e-91,1.294501666100993e-27,6.898276894878732e-91,2.970053715268779e-61,5.806264412570907e-98,3.759166382608556e-103,9.56809304739119e-83,8.116603053055515e-99,1.72438271005498e-98,1.0702552009678733e-61,7.510065630845086e-113,4.1900716074200343e-113,3.3472995142604e-114,3.76,0.0,0.726453033095809,0.9999999999999967,1.671103349955779e-50,2.908266024983036e-58,6.111568610315983e-19,3.923670067770894e-19,1.5427954689661078e-19,6.451030735789812e-20,3.2790241603246756e-15,2.571498833073998e-39,8.982897671558198e-61,1.7324931526891365e-36,2.4754242140359696e-43,7.435102048036838e-37,7.944519172742837e-97,1.604807191844852e-95,2.4507208938091537e-42,1.9177121786765775e-97,4.696998549101031e-45,4.233974284050797e-113,1.0425927534020991e-95,1.0636963440327619e-98,2.5969588285226436e-97,7.457766604616535e-96,3.771254702756396e-114,4.540475346653431e-113,4.9519924484948173e-110,1.0153670051523393e-42,1.1661810627348718e-38,1.4511995626624768e-45,2.6614554233418865e-22,8.008452721924474e-23,9.228939225763482e-36,9.229739200702231e-51,1.3877258066838307e-36,8.516253530423134e-29,1.3625257397360043e-26,4.006502414713643e-40,8.465846950550548e-39,5.862254550484924e-52,4.944404682060801e-38,2.865072932004889e-43,4.938723474983773e-22,3.806864986331586e-48,5.147443412326735e-38,5.931971396303364e-66,1.647685057936804e-66,7.371954884223598e-71,5.767910304278695e-37,1.4205791239524106e-40,1.45447899363786e-56,1.37104199326298e-26,7.2269544556945725e-71,3.2103213012766224e-67,3.644408680397448e-44,4.938723474983772e-22,1.5894698455961201e-58,7.075913661128047e-37,1.294501666102513e-27,7.505909214278476e-43,1.1909293970971202e-73,9.379158594869566e-37,1.844937923027844e-49,2.2489617448790235e-58,2.370684411394395e-74,1.1158717744073225e-57,1.9676991944317556e-56,2.5724889260299945e-29,9.717578171708533e-61,7.876265553174638e-59,3.038438974170517e-66
2.922267303382046e-20,0.5531682390720549,1.2059787942196824e-27,9.855389410449809e-31,3.103417421763467e-36,5.466538967819032e-29,0.0,0.0,7.3573769182228135e-22,1.1334852097922064e-38,5.886425836791629e-52,5.230613230886493e-52,7.28781105116128e-57,7.125529433087966e-72,1.5929433605688586e-47,6.825995265489255e-39,1.2814163736321334e-42,5.09301908423265e-38,1.8724313680853842e-87,1.8312280012684785e-68,2.3303010238801593e-90,1.2542639751073411e-89,2.7508160404612065e-27,2.6120367857468136e-89,2.6269788763725075e-60,2.3171301341369875e-96,1.4998436633937615e-101,1.791997935669535e-81,3.2391077961978724e-97,6.88155870298454e-97,9.466286050523873e-61,6.143699972748742e-111,3.427728277890089e-111,2.7382993893513505e-112,3.76,0.0,0.726453033095809,0.999999999999993,1.4780719883925755e-49,2.572328364038091e-57,1.2987083296921462e-18,8.33779889401665e-19,3.278440371553002e-19,1.3708440313518118e-19,6.967926340492302e-15,1.1230410997266631e-38,7.945271262416467e-60,7.566252764215741e-36,1.0810827894691363e-42,3.2471044019978935e-36,3.170449050722628e-95,6.404364225531567e-94,1.0702942005464662e-41,7.65308588786106e-96,2.0513026675979414e-44,3.389164107933004e-111,4.160713988332378e-94,4.2449328787339415e-97,1.036378095873376e-95,2.9761988784563944e-94,3.018771542456732e-112,3.6345086307114804e-111,3.963915222722816e-108,4.4343744737920614e-42,5.093019084232629e-38,6.337769754674591e-45,5.655592774601442e-22,1.7017962034087343e-22,4.030520225831652e-35,8.163599800474807e-50,6.060563185998561e-36,1.809703875303752e-28,2.895367196941566e-26,1.7497448647437597e-39,3.697257781009217e-38,5.1850982781689986e-51,2.1593514257967596e-37,1.2512526216115009e-42,1.0494787384340506e-21,1.664989849211225e-47,2.248023773608989e-37,5.24676152259508e-65,2.931967834765332e-65,1.3118001219759242e-69,2.5189979664473655e-36,6.204042253849963e-40,1.2864702401806938e-55,2.913464235679549e-26,1.2859980676941783e-69,5.712595832027224e-66,1.5916090196007167e-43,1.049478738434049e-21,1.405868079643667e-57,3.090237396708726e-36,2.7508160404678463e-27,3.2780277518815485e-42,2.1191953039594126e-72,4.096124970935858e-36,1.6318266445901562e-48,1.9891811946790096e-57,4.440012947827226e-73,9.58099966593393e-57,1.740407653939915e-55,5.466538967813299e-29,8.595115407109848e-60,7.239645004427626e-58,2.7928488947922458e-65
6.016432683433625e-20,0.5531682390720549,2.4828975207519103e-27,2.0290507610210212e-30,1.295615682692048e-35,1.1254639051402444e-28,0.0,0.0,1.5147540713988165e-21,4.732077623872664e-38,4.947895599579836e-51,4.396645588640355e-51,6.125844786121767e-56,5.989436833837971e-71,6.650224958824007e-47,2.84971865334959e-38,5.349661112620562e-42,2.1262352114478326e-37,6.654914318060444e-86,1.5392574749129173e-67,8.282254819421103e-89,4.457850615091561e-88,5.663444789170813e-27,9.073972347626717e-88,2.2081340329515766e-59,8.235460670848005e-95,5.330165738860744e-100,3.0952307955601663e-80,1.1512273495699145e-95,2.445813740706944e-95,7.956983812841627e-60,4.421665484630562e-109,2.466957234741649e-109,1.970774139128379e-110,3.76,0.0,0.726453033095809,0.9999999999999857,1.2424085667621753e-48,2.1621969843940973e-56,2.673811267013242e-18,1.7166056546519292e-18,6.7497301767268625e-19,2.8223259468862695e-19,1.4345730700199057e-14,4.688475520279526e-38,6.678479234572019e-59,3.1587615868429737e-35,4.513307834318782e-42,1.355602168457015e-35,1.126827249436165e-93,2.2762113533313235e-92,4.468267599594544e-41,2.720026590368581e-94,8.563784837530558e-44,2.412919238228041e-109,1.4787829181304973e-92,1.5087156309095377e-95,3.6834500745108255e-94,1.0577876957617271e-92,2.1492178302172988e-110,2.5875925499592384e-109,2.8221139517438668e-106,1.851264053221103e-41,2.1262352114478143e-37,2.6458941135537414e-44,1.1643867477120335e-21,3.5036980658406206e-22,1.682662853335049e-34,6.861997526452526e-49,2.530165827729238e-35,3.7258609201091403e-28,5.961050111360822e-26,7.30484037230672e-39,1.543532342899358e-37,4.358387733055215e-50,9.014867133522468e-37,5.22373338565693e-42,2.1606915203053916e-21,6.971328988650159e-47,9.385056730452613e-37,4.410219200844212e-64,4.945192546444435e-64,2.2125427532478332e-68,1.051632064416195e-35,2.5900655141663597e-39,1.0813557690796183e-54,5.998308720499065e-26,2.1690238150983557e-68,9.63512832355819e-65,6.644654362035782e-43,2.160691520305386e-21,1.1817168331804354e-56,1.2901132816800279e-35,5.663444789198529e-27,1.3685120584021627e-41,3.574332686496956e-71,1.7100515429835776e-35,1.371648527065169e-47,1.672026651310948e-56,7.669004488920447e-72,7.934250162796266e-56,1.4629175004792433e-54,1.1254639051378514e-28,7.224723322318618e-59,6.193668722006847e-57,2.3893410300813074e-64
1.2204763443536782e-19,0.5531682390720549,5.0367349838191724e-27,4.116074401115267e-30,5.293012812783815e-35,2.2830839218601126e-28,0.0,0.0,3.0727868305518944e-21,1.933208113242771e-37,4.056583751784093e-50,3.604635687689547e-50,5.022337855109756e-55,4.9105021828650327e-70,2.7168338871577068e-46,1.1642030539178816e-37,2.1855111196689644e-41,8.6863646127358e-37,2.2415584199604956e-84,1.2619762760882866e-66,2.789691524133642e-87,1.5015268604871288e-86,1.1488702286546733e-26,3.023855100855342e-86,1.8103616900676167e-58,2.77394159131481e-93,1.7952665011177376e-98,5.142772260263492e-79,3.877647215411811e-94,8.238174272388749e-94,6.52361607188006e-59,2.997148840550255e-107,1.6721827050514585e-107,1.3358549427690195e-108,3.76,0.0,0.726453033095809,0.9999999999999709,1.0186016061954552e-47,1.7726997222606057e-55,5.4240171416554346e-18,3.482257185156909e-18,1.3692309787074875e-18,5.725289777910369e-19,2.910133941709857e-14,1.9153952312260836e-37,5.475420773229212e-58,1.2904571758871024e-34,1.8438335158113824e-41,5.538077180249856e-35,3.79546451499896e-92,7.666906727699006e-91,1.8254331105367713e-40,9.161798678845199e-93,3.4985855355879283e-43,1.6267732230397592e-107,4.980948138764531e-91,5.081769759569408e-94,1.2406874309327884e-92,3.5629202838805586e-91,1.448987583583558e-108,1.7445367443131358e-107,1.9026494297873437e-104,7.563017720197844e-41,8.686364612735649e-37,1.0809340789689815e-43,2.362041688215727e-21,7.107501790701643e-22,6.87422679524026e-34,5.6258801567578e-48,1.0336552979052429e-34,7.558175010849961e-28,1.2092415940231862e-25,2.984265643132473e-38,6.305833262888254e-37,3.573269667668114e-49,3.6828673719147475e-36,2.1340655342641944e-41,4.383117084048055e-21,2.8646244669565393e-46,3.834101901250363e-36,3.6157641550823345e-63,8.122493804892685e-63,3.6341082045299206e-67,4.296260122221472e-35,1.0581262742936621e-38,8.865607988522639e-54,1.2167997690083603e-25,3.562628215817499e-67,1.5825727588461995e-63,2.714558128118611e-42,4.383117084048031e-21,9.68842859991908e-56,5.270533709252488e-35,1.1488702286659965e-26,5.590818293854075e-41,5.87085221693847e-70,6.986118529159885e-35,1.1245601820731892e-46,1.3708284683810814e-55,1.2742154319327806e-70,6.456613631164899e-55,1.1993881525057956e-53,2.2830839218503353e-28,5.923269027812149e-58,5.1210450731648645e-56,1.9755533706723323e-63
2.4581424963743093e-19,0.5531682390720549,1.0144409949964926e-26,8.290121681872426e-30,2.1395204069205745e-34,4.59832395531259e-28,0.0,0.0,6.188852348858077e-21,7.814336287111452e-37,3.2851266962109904e-49,2.919127436356842e-49,4.0672194889462424e-54,3.9766519809746107e-69,1.0981876956103312e-45,4.705894883945827e-37,8.834185379025044e-41,3.511167459897734e-36,7.357019172415013e-83,1.0219811075396281e-65,9.156046912053345e-86,4.9281615029334016e-85,2.313921728112542e-26,9.8733080592259e-85,1.4660778334373274e-57,9.10443036589515e-92,5.892117679021876e-97,8.38401675406321e-78,1.2726820816473712e-92,2.7038512835506835e-92,5.282993433443358e-58,1.973457379501823e-105,1.101039777808507e-105,8.795868994223057e-107,3.76,0.0,0.726453033095809,0.9999999999999414,8.248899897269465e-47,1.435578195454729e-54,1.092442889093982e-17,7.013560246184681e-18,2.7577469007772072e-18,1.1531217439779312e-18,5.86125568408416e-14,7.742333769987172e-37,4.4341377020425565e-57,5.216234229743559e-34,7.453069873585882e-41,2.238579342498793e-34,1.2457094577112668e-90,2.5163555562503073e-89,7.378692495409496e-40,3.006994064168228e-91,1.4141842110855656e-42,1.0682753682517731e-105,1.6347970530368902e-89,1.667887718780087e-92,4.072060378911062e-91,1.1693861124702341e-89,9.515264465021982e-107,1.1456087464025961e-105,1.2494387616722446e-102,3.057092693002022e-40,3.5111674598976095e-36,4.369308375164057e-43,4.757351569222767e-21,1.4315109240412675e-21,2.7786723800641642e-33,4.5559836117902855e-47,4.178199981394595e-34,1.5222803196851771e-27,2.4355147598104066e-25,1.2062878872348441e-37,2.548918626412702e-36,2.8937264525900305e-48,1.4886738757106133e-35,8.626234097219281e-41,8.827968211533309e-21,1.1713548683078618e-45,1.5498052905005929e-35,2.9281395578169456e-62,1.3166912637757914e-61,5.891046074393382e-66,1.7366170326818471e-34,4.2771155805308226e-38,7.17959923194156e-53,2.4507375629034716e-25,5.775173929781761e-66,2.5654186702418453e-62,1.0972678067282932e-41,8.827968211533208e-21,7.845940731670179e-55,2.1304339938568082e-34,2.3139217281583114e-26,2.2598981445100082e-40,9.516904472080722e-69,2.8239008079061618e-34,9.10697745557765e-46,1.1101324348896282e-54,2.0772918242343198e-69,5.209249511942951e-54,9.712956219107955e-53,4.598323955273068e-28,4.796818564718558e-57,4.1643488053336895e-55,1.6064871945964847e-62
4.933474800415572e-19,0.5531682390720549,2.0359760042301347e-26,1.6638216245661412e-29,8.602917456697857e-34,9.228804022268515e-28,0.0,0.0,1.2420983385470548e-20,3.14211025234797e-36,2.644155764641842e-48,2.349567719086389e-48,3.2736521245130407e-53,3.200755475069433e-68,4.415764423875757e-45,1.8922196355217645e-36,3.5521870868749254e-40,1.4118249932780488e-35,2.3840858128218926e-81,8.225793060471639e-65,2.9670714515518723e-84,1.5970000420891961e-83,4.6440247269590153e-26,3.1913526265021213e-83,1.180026986278105e-56,2.950394260547234e-90,1.909355604906749e-95,1.3540209456322665e-76,4.124201078702574e-91,8.761990877372929e-91,4.2522127289250137e-57,1.2809880503039355e-103,7.146942008191502e-104,5.70947381114293e-105,3.76,0.0,0.726453033095809,0.9999999999998823,6.639432275391796e-46,1.1554782242211323e-53,2.192525238950859e-17,1.407616636831146e-17,5.534778744917113e-18,2.3143072762800167e-18,1.1763499164810373e-13,3.113158356908539e-36,3.5689797838840035e-56,2.0974248407073827e-33,2.996846615621434e-40,9.00122907993843e-34,4.036795579373288e-89,8.154399824240457e-88,2.96693980052056e-39,9.744343095169694e-90,5.6863725149419706e-42,6.92501414832435e-104,5.297657069483046e-88,5.404889341462352e-91,1.3195753826742804e-89,3.789465239378885e-88,6.168198105226034e-105,7.426321912008518e-104,8.099392126326726e-101,1.2292435329071745e-39,1.4118249932779494e-35,1.7568796819285304e-42,9.547971331235472e-21,2.8730324139790708e-21,1.117291942976897e-32,3.667051972402825e-46,1.6800358361263722e-33,3.0552059586936085e-27,4.888061091436892e-25,4.850430539927409e-37,1.0249089690919146e-35,2.329122810454647e-47,5.985892179973009e-35,3.46857079093652e-40,1.7717670466503513e-20,4.817953038805776e-45,6.231698910189732e-35,2.3568214585394028e-61,2.120490701561795e-60,9.487348147630232e-65,6.982860709145428e-34,1.7198093634938335e-37,5.778766083615944e-52,4.918613150606507e-25,9.30073962578267e-65,4.131527704443201e-61,4.4120656659925964e-41,1.771767046650311e-20,6.315095782041813e-54,8.566381389351471e-34,4.644024727143054e-26,9.086951050293365e-40,1.5326681288870284e-67,1.135478094887722e-33,7.330083784083622e-45,8.935311630453185e-54,3.354831095453527e-68,4.18503636825735e-53,7.817832169590639e-52,9.228804022109596e-28,3.860897587792655e-56,3.358698175397913e-54,1.2956901258344178e-61
9.884139408498097e-19,0.5531682390720549,4.079046086715384e-26,3.333440538233804e-29,3.450154675020433e-33,1.8489764156384232e-27,0.0,0.0,2.4885245458695934e-20,1.2601267455074122e-35,2.1217684779600233e-47,1.885380123894666e-47,2.626899690190502e-52,2.5684046920079587e-67,1.7709190337658292e-44,7.588647054076518e-36,1.4245858973898976e-39,5.662049679842946e-35,7.677136188505336e-80,6.600680894331026e-64,9.554442837709246e-83,5.142594596376186e-82,9.30423072437491e-26,1.0263663491336717e-81,9.468973410467166e-56,9.501058149063032e-89,6.148397093855268e-94,2.1765491255809935e-75,1.328058319059222e-89,2.821500673296635e-89,3.4121329258139922e-56,8.256304515637567e-102,4.606391488703329e-102,3.679905905920773e-103,3.76,0.0,0.726453033095809,0.9999999999997643,5.3277262641581207e-45,9.271985055229613e-53,4.3926899386646123e-17,2.820137861284996e-17,1.1088842433198785e-17,4.636678340597373e-18,2.356798611017321e-13,1.2485157405451986e-35,2.8638815101007628e-55,8.411611697471554e-33,1.2018695294992911e-39,3.609895450903432e-33,1.2999124982818002e-87,2.625846673108755e-86,1.1898755602642667e-38,3.137833745440303e-88,2.2804897079175537e-41,4.460379596485911e-102,1.705929987601947e-86,1.7404604889330494e-89,4.249242995123177e-88,1.2202681873406854e-86,3.9729167865646906e-103,4.783270330903475e-102,5.216792722264639e-99,4.929816412769366e-39,5.662049679842154e-35,7.045873317732938e-42,1.9129210855255367e-20,5.756075393837065e-21,4.48084041235819e-32,2.9425782649872286e-45,6.737695117249619e-33,6.121057243942745e-27,9.793153754898051e-25,1.94523958717854e-36,4.1103433675001187e-35,1.8689743774190634e-46,2.4006104897374756e-34,1.3910520227862716e-39,3.549707497644271e-20,2.0188297851256674e-44,2.499189982531917e-34,1.8912007930855916e-60,3.4038572037466588e-59,1.5229294949815198e-63,2.8004394603846143e-33,6.897204751149217e-37,4.6370958526991996e-51,9.854364325663835e-25,1.4929746931040216e-63,6.632016976915332e-60,1.7694357264628862e-40,3.549707497644112e-20,5.067466814377257e-53,3.435502077857316e-33,9.304230725112989e-26,3.644273799117495e-39,2.460271782941041e-66,4.553775015455067e-33,5.881924246792741e-44,7.17002485888601e-53,5.3927923965433614e-67,3.355094361499492e-52,6.273317960380809e-51,1.84897641557469e-27,3.0981274406375543e-55,2.6978890283227054e-53,1.0407687787858261e-60
