Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125)
0.0,0.8655744610490064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5013260107842896,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.563992142077486e-23,0.8655744610490064,4.05774475642574e-26,1.9217730903932683e-25,1.4375294712866247e-38,4.271782562304003e-24,0.0,0.0,2.5346234042242402e-21,4.2944433203935806e-39,1.821578167173718e-53,6.418690737234717e-54,5.112338155745895e-56,1.5291480170403818e-63,3.842130582747352e-42,2.9646687793851907e-38,4.765181644449196e-38,9.826499902476125e-38,2.2761288033624846e-93,8.662911412760907e-58,8.153343473307098e-91,5.113646190346731e-90,5.479763758827804e-24,9.161044929694333e-92,2.1974280713546057e-56,3.1478527970454474e-93,4.273852120946993e-94,3.1457683045346743e-76,1.435372390274995e-91,1.8943421986432342e-91,2.659417868205947e-58,1.7594250244509833e-109,6.722057226196179e-110,1.7737282782604965e-110,3.76,0.0,0.5013260107842895,0.9999999999999994,6.236480457662868e-54,5.0710490673133516e-54,3.5496025584644685e-17,2.13572132242809e-17,5.518447664957752e-18,8.620364695406025e-18,5.0316909417651275e-16,2.6557553530466852e-34,4.548350656666575e-53,8.205976872210138e-34,5.245368434039594e-43,5.3350020486177385e-37,4.356331438043161e-89,8.271697246420382e-87,6.729107725075656e-39,7.667985192714157e-89,6.5659467220450385e-40,5.5558309836086895e-108,8.524483534889216e-87,3.459418160603717e-90,5.935457308424436e-89,6.429133617497668e-87,3.706704136686407e-109,2.7905067037172766e-108,4.247764428662067e-105,9.792498387553653e-43,9.826499902476125e-38,3.465974572579656e-42,1.937383269064048e-21,5.972807126077031e-22,1.1477290531587491e-35,1.0001776705239003e-51,1.5977347444403057e-35,8.181430288136705e-24,2.1014959247859984e-22,7.057829727059092e-37,5.5447600531674984e-36,9.971758090238272e-52,5.20993793028409e-36,1.195678622607378e-41,1.2525097924719286e-20,1.2630530858140325e-46,1.9324498052017164e-37,2.0928467089792235e-58,6.88586735557392e-69,6.381544131334336e-73,1.8644218522095453e-39,2.40259169727788e-37,2.9214569847451096e-53,2.1833102276673664e-22,2.8743201419150917e-73,5.915208429316761e-69,4.120608554484249e-40,1.252509792471928e-20,1.3997854641850238e-57,3.0816669718698326e-39,5.479763758826324e-24,1.5713392459345695e-39,4.1660726852345923e-73,1.1841047771351557e-38,4.693603097310422e-52,3.42958068151225e-56,3.536126238928521e-72,1.2433517282421678e-52,7.400219154426774e-55,4.271782562303943e-24
1.8379177997816961e-22,0.8655744610490064,1.1361685329024682e-25,5.380964653101435e-25,8.682678006574277e-38,1.1960991174451206e-23,0.0,0.0,7.096945531827869e-21,2.5938437655177205e-38,2.1625831193681393e-52,7.620269643246859e-53,6.092244095164169e-55,1.8154045258302277e-62,2.320646871979252e-41,1.7906599427491194e-37,2.8781697132474273e-37,5.9352059410967375e-37,1.3847856001110096e-91,1.0284608429231723e-56,3.895057032584318e-89,2.4428648303565638e-88,1.5343338524722643e-23,4.462183699191281e-90,2.6087866063122523e-55,1.503767055383009e-91,2.043887206714675e-92,9.890798872387676e-75,6.85695080453027e-90,9.049502559829952e-90,3.1572608931347006e-57,1.425538362930992e-107,5.82791037102294e-108,1.4519173171778728e-108,3.76,0.0,0.5013260107842895,0.9999999999999986,7.403949603463735e-53,6.0203494527158645e-53,9.93888716370051e-17,5.980019702798818e-17,1.545165346188197e-17,2.413702114713493e-17,1.408873463693982e-15,1.6040762332402345e-33,5.399801899594659e-52,4.9564100308137824e-33,3.168202534159628e-42,3.222341237365415e-36,2.081071803931187e-87,3.9514890349820457e-85,4.0643810659462895e-38,3.663088542383186e-87,3.965831820115697e-39,4.832915145351952e-106,4.0722480784192324e-85,1.652605568338795e-88,2.8354391817232135e-87,3.0712742786820095e-85,3.224393725147936e-107,2.427410436240731e-106,3.6950521175790873e-103,5.914669028418359e-42,5.9352059410967375e-37,2.0934486418396943e-41,5.4246731533793215e-21,1.6723859953015176e-21,6.932283481078742e-35,1.1874341663090363e-50,9.650317856419313e-35,2.2908004806802414e-23,5.884188589400563e-22,4.262929155143415e-36,3.349035072112946e-35,1.1841836538411315e-50,3.1468025098915127e-35,7.221898880548396e-41,3.5070274189214007e-20,7.628841012037344e-46,1.1671996823418365e-36,2.4846276129044476e-57,1.5407592836746172e-67,1.427913559295201e-71,1.1261107987344938e-38,1.451165385155834e-36,3.4684606201424824e-52,6.113268637468591e-22,6.43148526426847e-72,1.323568405897897e-67,2.4888475669104555e-39,3.5070274189213977e-20,1.6618253030815865e-56,1.8613268510092255e-38,1.5343338524713706e-23,9.4908890454484e-39,9.319612318643033e-72,7.151992853896004e-38,5.572245596755497e-51,4.071598185091496e-55,1.1118146675389195e-70,7.512974957519851e-52,8.785540180134499e-54,1.1960991174450845e-23
4.200954970929591e-22,0.8655744610490064,2.5969566518353e-25,1.2299347778518903e-24,4.180335702506102e-37,2.733940839874561e-23,0.0,0.0,1.6221589787035104e-20,1.2488241175704502e-37,2.1232393490634955e-51,7.481625923326376e-52,5.991425610579232e-54,1.782374928661917e-61,1.1172915734627067e-40,8.621256810459101e-37,1.3857148222059956e-36,2.8575461716417626e-36,6.251598877780901e-90,1.0097489542720079e-55,2.028113610903826e-87,1.271988433118547e-86,3.507048805653149e-23,2.295766965824555e-88,2.5613221599711293e-54,7.830083881047122e-90,1.0633087514435572e-90,2.2065828192226303e-73,3.57039856794915e-88,4.7120561386086766e-88,3.099817467182678e-56,1.557393758026893e-105,6.073882963207841e-106,1.5870170643103868e-106,3.76,0.0,0.5013260107842894,0.9999999999999968,7.269241627315161e-52,5.910814792862869e-52,2.2717456374172585e-16,1.3668616463540943e-16,3.531806505573145e-17,5.517033405058497e-17,3.2202822027279034e-15,7.722936566660315e-33,5.301557525410874e-51,2.386298074436996e-32,1.5253531406182803e-41,1.5514185957384828e-35,1.0836097737971514e-85,2.0575321482263206e-83,1.956824526452876e-37,1.9073626096479454e-85,1.909377306771419e-38,5.02344875097978e-104,2.1204111317847126e-83,8.605082932268245e-87,1.4764073034477204e-85,1.5992061494957752e-83,3.351512729711213e-105,2.5231090464677892e-104,3.8407264325366304e-101,2.8476585345377567e-41,2.8575461716417622e-36,1.0079054057085378e-40,1.2399252922009815e-20,3.8225965606889436e-21,3.3375960865854886e-34,1.1658400876881787e-49,4.6462126368322105e-34,5.236115384421238e-23,1.3449573918628765e-21,2.052416884628368e-35,1.6124162234607746e-34,1.1627860003806709e-49,1.5150499501264978e-34,3.4770334345420056e-40,8.016062671820349e-20,3.672958934128087e-45,5.6195640335265904e-36,2.439422123999082e-56,3.0446840157976265e-66,2.8216903418928106e-70,5.421738746224285e-38,6.986736655683985e-36,3.405402042170919e-51,1.3973185457070907e-21,1.270921459921346e-70,2.6154951705438993e-66,1.198272967646963e-38,8.016062671820337e-20,1.6315899370575432e-55,8.961487554195178e-38,3.507048805648846e-23,4.5694545271830287e-38,1.841424798642937e-70,3.4433766919085264e-37,5.470863769073574e-50,3.997519242371124e-54,2.4803973624397967e-69,3.6203626041338666e-51,8.625695446396848e-53,2.733940839874387e-23
8.927029313225381e-22,0.8655744610490065,5.518532907353137e-25,2.6136114029358363e-24,1.8256624285387616e-36,5.809624284733441e-23,0.0,0.0,3.44708782974495e-20,5.453943016899815e-37,1.87798211982927e-50,6.617413402471246e-51,5.303329164022265e-53,1.5764904396472124e-60,4.8795058400868284e-40,3.765129349826394e-36,6.051780688452228e-36,1.2479654876162156e-35,2.360486083265703e-88,8.931115150112383e-55,8.093620668008933e-86,5.0761631079676054e-85,7.452478712022588e-23,9.123015954090548e-87,2.265460444444165e-53,3.124780929795274e-88,4.2420544253095724e-89,4.132685413157894e-72,1.4248521319438896e-86,1.880457755437089e-86,2.7417534454094032e-55,1.27502066962786e-103,4.868404165899919e-104,1.2994825403608337e-104,3.76,0.0,0.5013260107842892,0.9999999999999931,6.429561898544515e-51,5.2280487464405455e-51,4.827459479511673e-16,2.904580998502786e-16,7.505088824343459e-17,1.17236959857454e-16,6.8430996807916814e-15,3.3728092983698615e-32,4.689167592997633e-50,1.042159062768919e-31,6.661617911225781e-41,6.775452601749088e-35,4.324402149382871e-84,8.211070681858798e-82,8.545966810855056e-37,7.611783474332907e-84,8.338752337004572e-38,4.021113748633929e-102,8.462004198911992e-82,3.4340627066801735e-85,5.891953977143587e-84,6.382011935847967e-82,2.6827812095294945e-103,2.019669947677938e-102,3.0743814913312984e-99,1.2436472987398786e-40,1.2479654876162156e-35,4.401787707200691e-40,2.6348412459270556e-20,8.123017691462984e-21,1.4576158975114522e-33,1.031176398487416e-48,2.0291231254389825e-33,1.1126745191934648e-22,2.858034457708145e-21,8.963443753360754e-35,7.041845267519278e-34,1.0285296147871314e-48,6.6166211714596e-34,1.518511850711113e-39,1.7034133177618263e-19,1.604077998250731e-44,2.454211252606178e-35,2.1576412431159234e-55,5.4181798182831046e-65,5.021350519318071e-69,2.367815752305011e-37,3.0512914555428154e-35,3.0120581426246513e-50,2.969301909627499e-21,2.261673450852728e-69,4.6544155360015484e-65,5.233172864225363e-38,1.7034133177618212e-19,1.443122822163486e-54,3.913717054272317e-37,7.452478712003793e-23,1.995600842342333e-37,3.2767385092704325e-69,1.503813066961124e-36,4.8389170467850985e-49,3.5357604994127796e-53,4.645509748954965e-68,1.5839089992200225e-50,7.629329939441524e-52,5.80962428473268e-23
1.837917799781696e-21,0.8655744610490066,1.1361685488997496e-24,5.380964653105543e-24,7.621781256804412e-36,1.1960991174451194e-22,0.0,0.0,7.096945531827797e-20,2.2769138484726465e-36,1.578557509454986e-49,5.562334693857115e-50,4.459346146291824e-52,1.3251352051975804e-59,2.0370976349705676e-39,1.5718673868365102e-35,2.5264993078885386e-35,5.21001024830851e-35,8.189624816858293e-87,7.507140423738389e-54,2.8765923563989136e-84,1.8041465449621446e-83,1.5343338524792133e-22,3.236691766807994e-85,1.9042560077875244e-52,1.110596083954026e-86,1.5074920065204607e-87,7.1381863249698604e-71,5.064147329966017e-85,6.683441155993026e-85,2.3046089739082468e-54,9.179606360198782e-102,3.468467946155736e-102,9.356407886750826e-103,3.76,0.0,0.5013260107842886,0.9999999999999859,5.404434186192181e-50,4.394489984952792e-50,9.938887163700497e-16,5.980019702801235e-16,1.545165346188576e-16,2.413702114710678e-16,1.4088734636902972e-14,1.4080814881858662e-31,3.941527905457947e-49,4.350808937629897e-31,2.7810943437237296e-40,2.8286180861812145e-34,1.536960254321646e-82,2.918343125235778e-80,3.5677729158431586e-36,2.7053470654257927e-82,3.4812649520348776e-37,2.8628365031313907e-100,3.007528827413453e-80,1.220519671549562e-83,2.094092725501896e-82,2.268266999491142e-80,1.910009130968937e-101,1.4379063145015464e-100,2.1888093966375232e-97,5.191982676632483e-40,5.210010248308508e-35,1.837659718403808e-39,5.42467315337911e-20,1.6723859953007807e-20,6.0852594398462544e-33,8.667674992150632e-48,8.471189615020644e-33,2.290800480708712e-22,5.884188589397195e-21,3.7420613212828656e-34,2.939831780186308e-33,8.645643351971068e-48,2.7623090906355484e-33,6.339488057062001e-39,3.507027418921414e-19,6.696712674388182e-44,1.0245848867179474e-34,1.8136274725021944e-54,9.138814019294558e-64,8.469484229162848e-68,9.885164660404998e-37,1.2738541178966478e-34,2.5318237341336066e-49,6.1132686374680985e-21,3.814752136861943e-68,7.850577394419083e-64,2.184746655614859e-37,3.507027418921393e-19,1.2130316867085366e-53,1.6338998284832512e-36,1.534333852471367e-22,8.331240681993755e-37,5.5267156068096514e-68,6.278123528365881e-36,4.0674013420926115e-48,2.9720197453092438e-52,8.023962834632717e-67,6.635921602312381e-50,6.41291151570833e-51,1.1960991174448013e-22
3.728347536700012e-21,0.8655744610490066,2.304799093472098e-24,1.0915671153452209e-23,3.1137463360218575e-35,2.4263724953886686e-22,0.0,0.0,1.439666093599337e-19,9.301936009705064e-36,1.2941969702276753e-48,4.560338044150009e-49,3.656669516388146e-51,1.0864259025166941e-58,8.32220852743648e-39,6.421591162954385e-35,1.0321574049156072e-34,2.128459184889179e-34,2.7274873239845856e-85,6.154807281720619e-53,9.689144139057228e-83,6.0768603697561e-82,3.1125058150453897e-22,1.0893119213525486e-83,1.5612241254869314e-51,3.740793479218514e-85,5.077335342304559e-86,1.186020333960913e-69,1.7057442435482323e-83,2.2511670134267942e-83,1.8894576754254414e-53,6.223271182793174e-100,2.3392380422848853e-100,6.343355853960302e-101,3.76,0.0,0.5013260107842876,0.9999999999999714,4.4308816681378364e-49,3.6028683935683834e-49,2.0161742532078127e-15,1.2130897111402407e-15,3.134478273697707e-16,4.896367146977985e-16,2.85800045490605e-14,5.752472324917594e-31,3.231502713981144e-48,1.7774474144147283e-30,1.1361677842832688e-39,1.1555827837422544e-33,5.176905429686166e-81,9.8297833845426e-79,1.4575516496890876e-35,9.112353994068868e-81,1.4222103237874154e-36,1.9301042867733136e-98,1.0130185392053216e-78,4.1110463962297697e-82,7.053481032087413e-81,7.640147956039568e-79,1.2877147568247494e-99,9.69426349902292e-99,1.4756799400781728e-95,2.1210943473961066e-39,2.1284591848891787e-34,7.507439563377337e-39,1.1004336968282843e-19,3.3925544476084434e-20,2.4860270383027623e-32,7.106290017395004e-47,3.460757365845906e-32,4.6470524037894745e-22,1.1936496852769346e-20,1.5287541501966366e-33,1.2010172065536691e-32,7.088313171052802e-47,1.1284933954503438e-32,2.5898877237105237e-38,7.114255621240612e-19,2.735827920010474e-43,4.185763576059105e-34,1.4869213767560072e-53,1.5010738689001337e-62,1.3911347175471983e-66,4.0384123087514845e-36,5.20410971997107e-34,2.0757449984572244e-48,1.2401202093148428e-20,6.265829173099336e-67,1.2894776974247894e-62,8.925402953586204e-37,7.114255621240529e-19,9.94516665062879e-53,6.675013927730862e-36,3.112505815013336e-22,3.403583660305238e-36,9.077660702710394e-67,2.5648183114618406e-35,3.3347013584246934e-47,2.436641349075764e-51,1.3331934258252505e-65,2.730124136608214e-49,5.257692312361842e-50,2.4263724953873694e-22
7.509207010536645e-21,0.8655744610490069,4.6420602955907e-24,2.198508415417455e-23,1.2586260535558197e-34,4.886919251275757e-22,0.0,0.0,2.8996091744324023e-19,3.7599912602837544e-35,1.0480743212717633e-47,3.6930799829312095e-48,2.9615163490817706e-50,8.79815863349773e-58,3.3639697474488035e-38,2.5957098204982943e-34,4.172145258445176e-34,8.60357233672198e-34,8.902973427575792e-84,4.9843225109239354e-52,3.1800723629860423e-81,1.9944860927591786e-80,6.268849740226815e-22,3.573818794808773e-82,1.2643197742892938e-50,1.2277658762041109e-83,1.6663827991620598e-84,1.933512480453804e-68,5.598423325880768e-82,7.388555488890564e-82,1.5301318130676164e-52,4.098014771987494e-98,1.5364101819241446e-98,4.1771622042310976e-99,3.76,0.0,0.5013260107842856,0.9999999999999424,3.5882428533068625e-48,2.917696235786425e-48,4.060745326883331e-15,2.4432651928621826e-15,6.313104128718651e-16,9.86169721149272e-16,5.756254437311534e-14,2.3252412878529e-30,2.6169546801493067e-47,7.184726638398987e-30,4.592571841658157e-39,4.671050373691587e-33,1.6991121980592044e-79,3.226233331787156e-77,5.891656810530429e-35,2.990765822296422e-79,5.748801520638861e-36,1.2674679166152424e-96,3.324828278562532e-77,1.3492865908950626e-80,2.315023100809092e-79,2.5075730594729328e-77,8.456212191287918e-98,6.366064281824764e-97,9.690548806458222e-94,8.573802597288596e-39,8.603572336721974e-34,3.0346271052267105e-38,2.2163664598088795e-19,6.832891352218565e-20,1.0048918770340371e-31,5.7548604441582065e-46,1.3988934600239262e-31,9.359556250152065e-22,2.4041113379489863e-20,6.179468701840228e-33,4.854703575009114e-32,5.7403366439118754e-46,4.5615507349768794e-32,1.0468740266650313e-37,1.4328712025879099e-18,1.1058672340606623e-42,1.6919525620447348e-33,1.2041474820052877e-52,2.4333221517046883e-61,2.2551048248463633e-65,1.6323908238513865e-35,2.1035843553676696e-33,1.6809932878413295e-47,2.4977069004505607e-20,1.0157248914610914e-65,2.0903133060680075e-61,3.607790578851674e-36,1.4328712025878764e-18,8.053853799725219e-52,2.698147353871825e-35,6.268849740097249e-22,1.375782934133315e-35,1.4715290151731227e-65,1.0367405694078472e-34,2.700527611769552e-46,1.9732553386769676e-50,2.1734417647403993e-64,1.1190286756938024e-48,4.257815549412817e-49,4.886919251270505e-22
1.507092595820991e-20,0.8655744610490077,9.316583151723525e-24,4.412391015573528e-23,5.060880005084782e-34,9.8080127630499e-22,0.0,0.0,5.819495336098333e-19,1.5118759487176762e-34,8.435814183211385e-47,2.9725120610091097e-47,2.383786094862409e-49,7.081523490710357e-57,1.3526374401667957e-37,1.043723502494295e-33,1.6776012586638155e-33,3.4594585967545475e-33,2.8772872557893515e-82,4.0118163831010364e-51,1.030521080947419e-79,6.463250271509801e-79,1.258153759078595e-21,1.1578928101495416e-80,1.0176345476842346e-49,3.9786483354689e-82,5.399933786057768e-83,3.122627820675317e-67,1.8142023596767172e-80,2.3943053358579855e-80,1.2315832016316954e-51,2.6601635358136544e-96,9.960541670147383e-97,2.711563958258871e-97,3.76,0.0,0.5013260107842815,0.9999999999998844,2.8881300184947628e-47,2.3484157644025015e-47,8.149887474234339e-15,4.903616156312897e-15,1.2670355838771261e-15,1.979235734044268e-15,1.1552762402018412e-13,9.349692950644023e-30,2.1063527964986356e-46,2.888946981679154e-29,1.8466529386543806e-38,1.878208811247115e-32,5.5060741218862e-78,1.0454800971472565e-75,2.3690092910890974e-34,9.69175450426377e-78,2.3115678073199455e-35,8.21626475416808e-95,1.0774303759839132e-75,4.372443438162412e-79,7.501970029733295e-78,8.125939621247721e-76,5.481675494126255e-96,4.126752945446899e-95,6.28182485443886e-92,3.4474884049256045e-38,3.459458596754544e-33,1.220210212299657e-37,4.448231985769468e-19,1.3713565161417973e-19,4.0406260407993955e-31,4.632013363612948e-45,5.624889077181367e-31,1.8784563943681503e-21,4.825034643283573e-20,2.4847371867082396e-32,1.9520549557403254e-31,4.6203370530085705e-45,1.8341794881021553e-31,4.209434418021089e-37,2.8757624835156443e-18,4.446658361221966e-42,6.803266837204707e-33,9.692026520910421e-52,3.9188036839094465e-60,3.631789193629714e-64,6.563771707521203e-35,8.458420173929929e-33,1.3530101088314982e-46,5.012880282720604e-20,1.6357992071352405e-64,3.366396646499388e-60,1.4506767241945757e-35,2.875762483515509e-18,6.482442207767126e-51,1.0849131841026053e-34,1.2581537590264973e-21,5.531962669156463e-35,2.3698529914043603e-64,4.168688232068763e-34,2.1736195524770522e-45,1.5882475659055754e-49,3.5101142556083957e-63,4.62396534243461e-48,3.427060375722253e-48,9.808012763028782e-22
3.0194363853556434e-20,0.8655744610490089,1.8665630671571655e-23,8.840156215932095e-23,2.029639235527182e-33,1.965019978659803e-21,0.0,0.0,1.1659267659429405e-18,6.063298757402443e-34,6.7692097096656254e-46,2.3852537267675603e-46,1.912878227456574e-48,5.682476622474022e-56,5.4246811169029194e-37,4.185798061896264e-33,6.72793137277963e-33,1.3873976254017065e-32,9.252924749668946e-81,3.2192299921500383e-50,3.318441634801281e-78,2.0812694877963567e-77,2.520691329268937e-21,3.728241424014206e-79,8.165876361341753e-49,1.2811881586322425e-80,1.7388521495955684e-81,5.019533022105942e-66,5.842020648395847e-79,7.710044668486654e-79,9.882679569337883e-51,1.7145796279318226e-94,6.415836479353973e-95,1.7477166134144057e-95,3.76,0.0,0.5013260107842733,0.9999999999997685,2.3175424518739766e-46,1.8844557528835524e-46,1.6328171768936235e-14,9.824318083241649e-15,2.5384859258919377e-15,3.965367759802454e-15,2.3145778331015823e-13,3.749645048457894e-29,1.6902154657289766e-45,1.1585969509287993e-28,7.405904219624654e-38,7.532457382616685e-32,1.7730435994739614e-76,3.3666124964984005e-74,9.500786822752886e-34,3.1208993760542794e-76,9.270420781473816e-35,5.292070007453994e-93,3.4694974852341815e-74,1.4079964563532043e-77,2.4157538838642126e-76,2.616682034331671e-74,3.5307297587161516e-94,2.6580284526108747e-93,4.046103417998602e-90,1.3825971148572392e-37,1.3873976254017035e-32,4.893588704182245e-37,8.91196303768823e-19,2.747491277973349e-19,1.6204717637739883e-30,3.71689941664193e-44,2.2558320992583368e-30,3.7634579333957416e-21,9.666881253914682e-20,9.964907444480597e-32,7.828613450365864e-31,3.7075353918283687e-44,7.355880104091554e-31,1.688171473177077e-36,5.761545045371259e-18,1.7833207962600392e-41,2.7284142852653545e-32,7.777240902283594e-51,6.290558493215186e-59,5.829835888745814e-63,2.632366026557959e-34,3.392204801832637e-32,1.0857055896848499e-45,1.0043227047255122e-19,2.625824467226843e-63,5.4038213660742625e-59,5.817862495666849e-35,5.761545045370716e-18,5.201751622269414e-50,4.350987107484068e-34,2.5206913290600014e-21,2.218564453520179e-34,3.8041395960269e-63,1.6718304301870066e-33,1.7441927849277752e-44,1.2744686473072661e-48,5.6424061490486594e-62,1.9541972651948102e-47,2.7500001227512907e-47,1.9650199786513352e-21
