Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195),S(2224),S(2641),S(2826),C2FO(289),S(1665),C2FO(7367),S(3464),S(6251),S(5206),CFO3(444),C2H2O(907),S(5104)
0.0,0.7425333706700706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7109766044980435,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1800282470536756e-22,0.7425333706700706,1.0829043758633881e-26,1.4523783404515016e-27,4.025870547481635e-38,6.182168236515472e-26,0.0,0.0,9.108317568380443e-22,1.7606627551246294e-39,8.840541975893895e-54,7.502970069913245e-54,3.5748656557442934e-57,1.8310289212296159e-65,1.7880722053019604e-44,9.45191445230703e-39,5.910811522831531e-40,2.500614956739153e-38,1.2781655506901807e-88,4.042216546163818e-62,1.7724835410919245e-91,1.056353444391848e-90,4.578061728841906e-25,3.3070289964758206e-92,2.2949042206965472e-58,1.484131819746125e-95,9.538496160219704e-98,1.2964109777540137e-78,2.4211280231401876e-94,6.645059395388089e-95,8.248982897191777e-60,9.981045440779318e-112,7.594573634213918e-113,1.874509288943291e-112,3.76,0.0,0.7109766044980435,0.9999999999999993,4.5602517830197075e-53,9.377031508298113e-56,7.66348958705411e-18,4.791411644728087e-18,1.4021358633514432e-18,1.469942078974579e-18,5.407533509290967e-16,2.9166998344800263e-36,4.553796310261705e-56,5.483025204057024e-35,2.5290552441183173e-43,1.4852857572119874e-37,2.31557864048421e-92,2.0274453990988196e-90,2.4523233538828088e-40,2.0007401761507808e-92,6.367766881697136e-42,1.941420816954612e-110,1.6466370546831859e-90,1.105861432005409e-93,2.0421065108524577e-92,1.0178060446929887e-90,1.3151097901895201e-111,1.1934594416755029e-110,1.1218693997374334e-74,6.163006685855673e-43,2.5006149567391517e-38,1.3866343218681432e-43,6.9762914095196715e-22,2.1321344492982612e-22,4.980071240305104e-36,6.976284145621107e-52,2.43756013572697e-36,1.645994171566165e-25,7.346090997850681e-24,3.7348533208927374e-38,4.1732133940618446e-37,3.798290618558542e-52,4.727120958215748e-37,1.6462978385042466e-42,4.709908888144466e-21,1.4025906936618411e-47,9.132779700104645e-38,2.3779804498726434e-61,1.409341026665355e-68,1.0342026381900814e-72,5.8496725497482686e-39,1.2784740247498093e-38,8.699713080577281e-55,7.510690415006584e-24,6.713207561532871e-73,1.78910822442069e-52,9.287549849457721e-42,4.709908888144465e-21,2.3513615629042488e-58,9.018323094110225e-39,4.578061728841717e-25,6.042533260584094e-41,7.595470935306578e-74,3.9494887084529194e-38,1.6746427723319717e-51,1.3614102653806055e-57,1.215176771493412e-72,6.420671272358622e-55,6.992747511378168e-56,6.18216823651537e-26,4.714186598198763e-58,1.4313994825192596e-57,1.2877412221388393e-62,3.9686959784436184e-66,4.312322190930676e-52,1.0065811146091786e-57,8.355973304766722e-61,2.455505124627685e-76,5.997739621024852e-78,2.1388656379449734e-108,1.5358034838708395e-89,7.345160123427535e-74,1.4560374931984762e-72,6.097695720479967e-118,5.150431109226769e-74
6.104079091750292e-22,0.7425333706700706,3.032132253432022e-26,4.066659353265224e-27,2.4316258106789505e-37,1.731007106224333e-25,0.0,0.0,2.550328919146523e-21,1.0634403040952757e-38,1.049549161229483e-52,8.907526067083086e-53,4.245313024416449e-56,2.1737975352835247e-64,1.079995612002251e-43,5.708956329193556e-38,3.570130159790837e-39,1.5103714338712409e-37,6.1059515371464585e-87,4.798919483609631e-61,8.467366626703307e-90,5.046327227892096e-89,1.281857284075795e-24,1.6235906679591087e-90,2.7245102908113087e-57,7.089875806030086e-94,4.560307113213339e-96,4.076123539816065e-77,1.1566047880420617e-92,3.1744268058174527e-93,9.793192495552662e-59,7.713716975844006e-110,6.311976030281597e-111,1.4528854299150974e-110,3.76,0.0,0.7109766044980435,0.9999999999999984,5.4139309169542085e-52,1.1132411806653856e-54,2.1457770843751507e-17,1.341595260523929e-17,3.925980417384074e-18,4.115837821128144e-18,1.5141093826004825e-15,1.7616867000260053e-35,5.406266979542879e-55,3.3117472232478575e-34,1.5275493674468846e-42,8.971125973562126e-37,1.1061797035040087e-90,9.685349964943141e-89,1.4812033057458954e-39,9.557775910306624e-91,3.8461311965464776e-41,1.6888062465262986e-108,7.866182806668546e-89,5.282832764065679e-92,9.755387855135183e-91,4.862181612223936e-89,1.1439898084659685e-109,1.0381684086600741e-108,2.5098246464570895e-73,3.722456039018602e-42,1.5103714338712404e-37,8.375271304100915e-43,1.953361594665501e-21,5.969976458034969e-22,3.007963029144229e-35,8.282253199546411e-51,1.4722863219790707e-35,4.608783680396392e-25,2.0569054793982502e-23,2.255851405818908e-37,2.5206208900130092e-36,4.50944136136322e-51,2.855181058762267e-36,9.94363894456547e-42,1.3187744886804505e-20,8.471658873481649e-47,5.516198938863206e-37,2.823138390091162e-60,3.152713463715161e-67,2.3135242073708482e-71,3.5332022200476034e-38,7.721983109488891e-38,1.0328349533729287e-53,2.1029933162017827e-23,1.5017529088772537e-71,2.1240292840314594e-51,5.609680109109241e-41,1.3187744886804503e-20,2.7915364474964805e-57,5.447067148842065e-38,1.2818572840756813e-24,3.649690089396885e-40,1.699084349832604e-72,2.38549117990544e-37,1.98813589857917e-50,1.616266267060147e-56,3.818676039721138e-71,3.902230345646064e-54,8.301789845504581e-55,1.7310071062242708e-25,5.59726062875245e-57,2.1631308979831246e-56,1.946034534897077e-61,4.711635865793402e-65,2.604642833773938e-51,1.1950130992639162e-56,9.920211507444049e-60,5.492891970525084e-75,1.341671828472255e-76,1.8605602614051496e-106,7.336717538867928e-88,2.309350428577899e-72,3.2584663226722116e-71,5.304273396211736e-116,1.6193779476387062e-72
1.3952180781143525e-21,0.7425333706700706,6.930588012627435e-26,9.295221378896742e-27,1.1707231552077248e-36,3.9565876713699063e-25,0.0,0.0,5.829323243763473e-21,5.120007291902413e-38,1.030453598059235e-51,8.745461913745316e-52,4.168613584119593e-55,2.1342473105843833e-63,5.199713973016099e-43,2.7486167227310468e-37,1.7188639908402978e-38,7.271788294209124e-37,3.1793558802338943e-85,4.711607606220388e-60,4.4089402307940626e-88,2.6276120993355606e-87,2.9299595064592488e-24,8.312809187264369e-89,2.674940359645034e-56,3.6916836417295804e-92,2.3729949360155827e-94,9.093607390093093e-76,6.022407871826853e-91,1.6529165279598913e-91,9.615014464986663e-58,8.407428254929603e-108,6.681328287819712e-109,1.58378459383642e-108,3.76,0.0,0.7109766044980435,0.9999999999999964,5.315429478505482e-51,1.092986792607844e-53,4.9046333357146305e-17,3.066503452626427e-17,8.973669525449468e-18,9.407629305432562e-18,3.4608214459393016e-15,8.481763118668959e-35,5.30790497924161e-54,1.5944637293359045e-33,7.354492649887298e-42,4.319210981974994e-36,5.7598547826663895e-89,5.043141646927048e-87,7.131356313101207e-39,4.9767141011813124e-89,1.8517466091995744e-40,1.7553860091917894e-106,4.095905079139524e-87,2.7507600678020696e-90,5.0796102311596275e-89,2.531727885134213e-87,1.1890906423216394e-107,1.0790973230322446e-106,4.959229359269199e-72,1.7922023453676495e-41,7.27178829420912e-37,4.0323326080185556e-42,4.464826502092539e-21,1.3645660475507723e-21,1.4482047166806424e-34,8.131569099984073e-50,7.088424874693739e-35,1.0534362698101371e-24,4.70149823862485e-23,1.0860953457151498e-36,1.213570454992666e-35,4.427444794385808e-50,1.3746467746490724e-35,4.787434114370072e-41,3.014341688412459e-20,4.0787503628148215e-46,2.655812336790431e-36,2.771774012378616e-59,6.229301837226602e-66,4.571186300722876e-70,1.7010847774662686e-37,3.7178024639725086e-37,1.0140456800270854e-52,4.806841865603789e-23,2.967244648771369e-70,2.0853845463823254e-50,2.700819496277395e-40,3.0143416884124576e-20,2.7407470377724468e-56,2.6225283557664825e-37,2.9299595064587007e-24,1.757168672183875e-39,3.357111956077202e-71,1.1485113164179244e-36,1.951963613156771e-49,1.5868598053285e-55,8.5182695009399e-70,1.903348551714369e-53,8.150746499251292e-54,3.956587671369608e-25,5.495677083970816e-56,2.326997510741972e-55,2.0934551500094122e-60,4.6259120330476824e-64,1.2540236388002544e-50,1.1732709471881446e-55,9.739722484110835e-59,1.0853053225347151e-73,2.650918855030104e-75,1.9339110293356746e-104,3.820213611889559e-86,5.151992327425103e-71,6.439391717099269e-70,5.513390103768464e-114,3.612743119325781e-71
2.9648384159929992e-21,0.7425333706700706,1.472749954725083e-25,1.9752345430176085e-26,5.112855595302349e-36,8.407748801661063e-25,0.0,0.0,1.2387311892997349e-20,2.2360416990082695e-37,9.114245410745406e-51,7.73526202381208e-51,3.6873059981017983e-54,1.8877175766290845e-62,2.270851700731422e-42,1.200393135443161e-36,7.506730634005225e-38,3.175780995070676e-36,1.2687974109758693e-83,4.1673635704576e-59,1.7594923048559228e-86,1.0486110078323089e-85,6.226163951227137e-24,3.2976407977643497e-87,2.365954455371704e-55,1.4732540379485608e-90,9.467805372140589e-93,1.7031320232639707e-74,2.4033835873916378e-89,6.596354640068169e-90,8.504371407730245e-57,6.877962715294752e-106,5.394175426354615e-107,1.295727157034426e-106,3.76,0.0,0.7109766044980435,0.9999999999999926,4.701437178441542e-50,9.667344403806957e-53,1.0422345838393589e-16,6.516319836832455e-17,1.9069047741580785e-17,1.999121227403056e-17,7.354245572601129e-15,3.7042087897907083e-34,4.694781844028592e-53,6.963442009112343e-33,3.211900160021167e-41,1.8863129116618237e-35,2.2986068421179662e-87,2.012585444035078e-85,3.114450659441416e-38,1.9860759543261081e-87,8.087063939776227e-40,1.405131646729404e-104,1.6345681956900154e-85,1.097756133001524e-88,2.0271390986780033e-87,1.0103461386978696e-85,9.518299015750589e-106,8.637836866385194e-105,8.824877461087061e-71,7.827018502516572e-41,3.1757809950706734e-36,1.7610255887994052e-41,9.4877563169465e-21,2.8997028510450615e-21,6.324690475186641e-34,7.192282289235836e-49,3.095701372372955e-34,2.2385520733689423e-24,9.990683757078997e-23,4.743263717529042e-36,5.299981010453186e-35,3.9160440528912444e-49,6.00344361693331e-35,2.090798254900108e-40,6.405476087876478e-20,1.7813073607849328e-45,1.15986302191329e-35,2.451602724615326e-58,1.1084767657877156e-64,8.134224249906361e-69,7.4290841381748535e-37,1.623662011432323e-36,8.969127932757726e-52,1.0214538964406826e-22,5.280080878256894e-69,1.8444990150436504e-49,1.1795188309380219e-39,6.405476087876472e-20,2.4241597169993296e-55,1.1453270329512018e-36,6.2261639512247415e-24,7.674017241003475e-39,5.97380752428032e-70,5.0158506597333015e-36,1.7264897077892815e-48,1.4035595271985788e-54,1.5953042049542307e-68,8.528498421600166e-53,7.209242974307135e-53,8.407748801659761e-25,4.860964783390515e-55,2.1389116187390107e-54,1.9242459534234814e-59,4.091566807141093e-63,5.476652754483499e-50,1.0377448659168194e-54,8.614674238437037e-58,1.9312448076481428e-72,4.717169611207908e-74,1.5480352727816674e-102,1.52454696827168e-84,9.649080618853279e-70,1.1459543285888788e-68,4.413296813445179e-112,6.7662680324711e-70
6.104079091750292e-21,0.7425333706700706,3.032132268142792e-25,4.0666593532799975e-26,2.1345165642753695e-35,1.7310071062243407e-24,0.0,0.0,2.5503289191465008e-20,9.3350339276707e-37,7.661072454535857e-50,6.501953816035109e-50,3.099487911836386e-53,1.586740366671578e-61,9.48035883249238e-42,5.011405042614698e-36,3.133912269413541e-37,1.325826050073811e-35,4.509504633621566e-82,3.502920183485116e-58,6.253511226261151e-85,3.7269277536937023e-84,1.2818572840766838e-23,1.169089747227127e-85,1.9887272791924344e-54,5.236175645375236e-89,3.3646757839678406e-91,2.941737031174324e-73,8.541999761951051e-88,2.3444475553635042e-88,7.148436595054794e-56,4.950173296253098e-104,3.8570125823600184e-105,9.32574667234887e-105,3.76,0.0,0.7109766044980433,0.9999999999999848,3.9518412313320175e-49,8.12598547260781e-52,2.1457770843751506e-16,1.3415952605248632e-16,3.925980417384553e-17,4.1158378211183173e-17,1.5141093825861547e-14,1.5464342522422757e-33,3.946247021733975e-52,2.907099963154962e-32,1.340905090423331e-40,7.874985084761269e-35,8.169608733474528e-86,7.153043886866342e-84,1.3002218422378535e-37,7.0588250085095e-86,3.376190000694472e-39,1.0003850727509213e-102,5.809511379754442e-84,3.90159723144223e-87,7.20476985499157e-86,3.5909284211770265e-84,6.776563801329506e-104,6.149717773491189e-103,1.4884600731018908e-69,3.2676261551288725e-40,1.3258260500738082e-35,7.351935174786663e-41,1.953361594665396e-20,5.969976458032592e-21,2.6404337716090097e-33,6.045547229277932e-48,1.2923943839621723e-33,4.60878368055779e-24,2.0569054793991075e-22,1.9802192307330677e-35,2.2126377415267696e-34,3.291678626669267e-48,2.5063195320453695e-34,8.728671139746944e-40,1.3187744886804523e-19,7.436690476304634e-45,4.84219979699548e-35,2.0607198101988068e-57,1.8696127131430968e-63,1.371959209118574e-67,3.1014963858716283e-36,6.778469279224071e-36,7.539095919292202e-51,2.1029933162009003e-22,8.905650204900941e-68,1.550412561542118e-48,4.9242589306943556e-39,1.3187744886804492e-19,2.0376523088229093e-54,4.781514904490068e-36,1.2818572840756828e-23,3.203751134816961e-38,1.0075704474080605e-68,2.0940189132200218e-35,1.451218623556969e-47,1.17977635341781e-53,2.755430552853392e-67,3.741061223756272e-52,6.0598031093578644e-52,1.7310071062237974e-24,4.0859736975370264e-54,1.829883921659072e-53,1.6462329254983434e-58,3.439208437969438e-62,2.286396440432631e-49,8.722870886212837e-54,7.241152770616946e-57,3.2573282238043167e-71,7.956196942824583e-73,1.1021254496492688e-100,5.418478705557195e-83,1.6666361701984133e-68,1.932900008867185e-67,3.1420521403281616e-110,1.1687045374073697e-68
1.2382560443264877e-20,0.7425333706700707,6.150896920950324e-25,8.249508973830854e-26,8.720196640672251e-35,3.511471558340823e-24,0.0,0.0,5.173524378839992e-20,3.8136659541100766e-36,6.2810100656387724e-49,5.33069457074221e-49,2.5411812971561157e-52,1.3009056194095057e-60,3.8730359195564986e-41,2.04732247802879e-35,1.2803054190983968e-36,5.416432020985784e-35,1.5189253427625062e-80,2.871905603983145e-57,2.1063548079496272e-83,1.2553319096193096e-82,2.600339061986192e-23,3.933251344726419e-84,1.6304787773270761e-53,1.7636881987427725e-87,1.1332639049451804e-89,4.887740074721223e-72,2.8771804743804147e-86,7.896744739679014e-87,5.860720211039159e-55,3.355406011152171e-102,2.605990253981396e-103,6.321393491163696e-103,3.76,0.0,0.7109766044980431,0.9999999999999692,3.239958201641677e-48,6.662173841824756e-51,4.3528620854467327e-16,2.7215218142097485e-16,7.964131703838348e-17,8.34927100853149e-17,3.0714790332129416e-14,6.317688509485291e-33,3.2353717306220575e-51,1.1876451912690263e-31,5.4780348209005445e-40,3.2171883615711564e-34,2.7517492200760376e-84,2.409342182556116e-82,5.311830477521967e-37,2.377606669507985e-84,1.379283777658866e-38,6.744525980555448e-101,1.9568034320312316e-82,1.3141654011715567e-85,2.426764913252785e-84,1.2095235897502542e-82,4.568711775276997e-102,4.146096580821041e-101,2.444812527517907e-68,1.3349319088756962e-39,5.416432020985764e-35,3.003505406743969e-40,3.962533520606701e-20,1.2110523672003453e-20,1.078703350934406e-32,4.956505112971908e-47,5.279852756387785e-33,9.349246895220434e-24,4.172579686783036e-22,8.089841687150423e-35,9.039347140032905e-34,2.698720053589848e-47,1.0239133080328384e-33,3.5659469701115576e-39,2.6752282484660643e-19,3.03819845643738e-44,1.978196614161463e-34,1.689502603870883e-56,3.070848194704115e-62,2.2534498353067701e-66,1.2670624729615215e-35,2.769225876569568e-35,6.1810077050459445e-50,4.266072155719777e-22,1.4627574824385403e-66,1.2711218899255606e-47,2.0117204480252624e-38,2.6752282484660523e-19,1.6705904727117674e-53,1.9534048554705764e-35,2.6003390619821024e-23,1.3088368744222597e-37,1.654937879707471e-67,8.554750522042827e-35,1.1897966989047993e-46,9.67251933619721e-53,4.5781389049695425e-66,1.67591846046984e-51,4.968192706897269e-51,3.511471558338602e-24,3.349943979999066e-53,1.5129834129133804e-52,1.3611372178348664e-57,2.8196708675928453e-61,9.340689577092699e-49,7.151536566167758e-53,5.936734533619054e-56,5.350172650683818e-70,1.3068078103098435e-71,7.430452395636788e-99,1.8250928579521563e-81,2.7691388162657594e-67,3.1748591923442034e-66,2.1183501288457705e-108,1.9418200683584133e-67
2.493952314629405e-20,0.7425333706700707,1.238842633045385e-24,1.661520821503689e-25,3.5248429061106697e-34,7.072400462573842e-24,0.0,0.0,1.0419915298226816e-19,1.541544753923797e-35,5.086524799303715e-48,4.3169346723588505e-48,2.0579280024180888e-51,1.0535070988490022e-59,1.5655430431947562e-40,8.275604794899026e-35,5.175199207249648e-36,2.1894084242174284e-34,4.985265042215391e-79,2.3257436173493563e-56,6.91326738675679e-82,4.1201250215606497e-81,5.2373026178114836e-23,1.2902122954636202e-82,1.3204039869026366e-52,5.7886014769161415e-86,3.719404038528584e-88,7.968249923780256e-71,9.443193933834656e-85,2.591790644230125e-85,4.7461631764381495e-54,2.2093555825065077e-100,1.7131551985773155e-101,4.1623211556072565e-101,3.76,0.0,0.7109766044980427,0.999999999999938,2.623802153281583e-47,5.395201105659333e-50,8.767032087589897e-16,5.481374921586116e-16,1.6040434276749318e-16,1.6816137383288434e-16,6.18621833436533e-14,2.553710706686042e-32,2.620087910137492e-50,4.8006517511104915e-31,2.214309260820115e-39,1.300438974171634e-33,9.031516471436795e-83,7.907702289013467e-81,2.147126807909196e-36,7.803543157912024e-83,5.575285557865424e-38,4.429019898952743e-99,6.422424797387588e-81,4.313222433284544e-84,7.964885436021281e-83,3.969777530372058e-81,3.0001982976348163e-100,2.7226738116741587e-99,3.9631563638466126e-67,5.39600824921793e-39,2.189408424217412e-34,1.2140649074113875e-39,7.98087737248857e-20,2.4391618099928402e-20,4.3602914143013857e-32,4.013906441430278e-46,2.1342009017136176e-32,1.8830173325685514e-23,8.403928101556944e-22,3.2700433553713153e-34,3.653848640710485e-33,2.1854946813731587e-46,4.138821300719561e-33,1.4414127799049213e-38,5.388135768037299e-19,1.2281431609645981e-43,7.996187000867198e-34,1.3682030119650578e-55,4.977980212536634e-61,3.6529414607322235e-65,5.121669101552839e-35,1.11936537542205e-34,5.0055408425078415e-49,8.592229834751295e-22,2.3711943220560974e-65,1.0293874625090269e-46,8.131695699157176e-38,5.388135768037253e-19,1.3528874780629399e-52,7.895974748352049e-35,5.2373026177949526e-23,5.2905279116216584e-37,2.6827259342812757e-66,3.4579669396965807e-34,9.635282019881313e-46,7.83305693549684e-52,7.463480963004251e-65,7.967403373891149e-51,4.0233712630795173e-50,7.072400462564866e-24,2.712877822415176e-52,1.2303329843888697e-51,1.106854180363816e-56,2.2834425765965824e-60,3.7756674591586675e-48,5.791499727372163e-52,4.807721545957109e-55,8.672861430530639e-69,2.1183918334220796e-70,4.879456535089488e-97,5.990137505119361e-80,4.5143934466119954e-66,5.1466359741079014e-65,1.3910866941790234e-106,3.165656801508098e-66
5.005344855235239e-20,0.7425333706700709,2.486348556501477e-24,3.334660669786626e-25,1.4173238297265218e-33,1.4194258271040094e-23,0.0,0.0,2.0912697136999823e-19,6.198483655925954e-35,4.094077676935169e-47,3.474644591367561e-47,1.6564048900672233e-50,8.479541661923691e-59,6.2949797215486005e-40,3.3275842906010218e-34,2.0809248399056084e-35,8.803514980401432e-34,1.6155047801868413e-77,1.871960798465704e-55,2.240285408825653e-80,1.3351510148548015e-79,1.051122972948716e-22,4.179865019963364e-81,1.062776001219875e-51,1.8758308698404678e-84,1.2052820165031982e-86,1.2868744911458144e-69,3.060123076497269e-83,8.39885163523062e-84,3.8201250314325886e-53,1.434113387256231e-98,1.1111370864302956e-99,2.7018084609361683e-99,3.76,0.0,0.7109766044980418,0.9999999999998758,2.1118642385925024e-46,4.342527221768617e-49,1.7595372091876213e-15,1.1001081136365243e-15,3.2193039422584786e-16,3.3749870132524717e-16,1.2415696936265368e-13,1.0268358435334843e-31,2.108874692580137e-49,1.9303209549853165e-30,8.903640148664332e-39,5.2290079198263745e-33,2.9267166219883793e-81,2.5625379528126358e-79,8.633502460795918e-36,2.5287845672041576e-81,2.2417978018737623e-37,2.871078598092064e-97,2.0812249489075293e-79,1.397725379741689e-82,2.581068491878011e-81,1.2864300164594188e-79,1.9448558188579706e-98,1.764952673189171e-97,6.382549065403969e-66,2.1697112136906077e-38,8.803514980401302e-34,4.881701596875408e-39,1.6017565076249344e-19,4.8953806955711176e-20,1.753254000430101e-31,3.2307411439250264e-45,8.581527960217145e-32,3.779202619117485e-23,1.6866624931128971e-21,1.3148700510094977e-33,1.469196468205816e-32,1.7590767377990444e-45,1.664201841820183e-32,5.795857392353182e-38,1.0813950807179818e-18,4.938750080070513e-43,3.215231624540621e-33,1.1012488150615376e-54,8.016886034277507e-60,5.8829513437106905e-64,2.059400619801372e-34,4.5009189430959685e-34,4.028894961829846e-48,1.724454519278939e-21,3.818736482005858e-64,8.285405844912667e-46,3.2697190775918214e-37,1.0813950807179629e-18,1.0889215413431658e-51,3.1749367185333495e-34,1.0511229729420692e-22,2.1272980048328008e-36,4.3204476652514844e-65,1.390433297755986e-33,7.755313021423028e-45,6.304725682313351e-51,1.2053508618943546e-63,4.1631254075760805e-50,3.2383592178185153e-49,1.4194258271003992e-23,2.1835626167510372e-51,9.923081237834435e-51,8.92717995034567e-56,1.8379132456753067e-59,1.5181884370053283e-47,4.6615028296506705e-51,3.869672563144365e-54,1.3967376772775234e-67,3.4116047886316654e-69,3.1630707282267014e-95,1.9411396810625156e-78,7.290756085793102e-65,8.288540632890706e-64,9.017624642577217e-105,5.11254419034708e-65
1.0028129936446907e-19,0.7425333706700712,4.981360569635201e-24,6.680940366519414e-25,5.684102470793599e-33,2.8437973887973466e-23,0.0,0.0,4.1898260814543277e-19,2.4858691799835223e-34,3.2852395000756987e-46,2.7881834626698095e-46,1.329162771898123e-49,6.804298160692657e-58,2.524568418147895e-39,1.334510130379423e-33,8.345439324592684e-35,3.53060325421585e-33,5.202182796425085e-76,1.5021306489578178e-54,7.214075976610053e-79,4.2993990064691006e-78,2.10590839529389e-22,1.3458005833606249e-79,8.528108097002391e-51,6.040475173805802e-83,3.881179424176119e-85,2.0686131599923684e-68,9.854083777571767e-82,2.7045640390055895e-82,3.0654097549276075e-52,9.243243315590776e-97,7.158720939904933e-98,1.7413898194296223e-97,3.76,0.0,0.71097660449804,0.9999999999997512,1.6946380509104984e-45,3.484604612731069e-48,3.5252052100448803e-15,2.2040493566029047e-15,6.449824971430981e-16,6.761733562988685e-16,2.4874654138446484e-13,4.118070996147263e-31,1.692239128514383e-48,7.74145038581545e-30,3.5707579244654134e-38,2.0970660489987882e-32,9.424493858327497e-80,8.251780515229088e-78,3.462420629823633e-35,8.14308923698683e-80,8.990611854510393e-37,1.8492525974883816e-95,6.701875951703169e-78,4.500898432644453e-81,8.311451805017417e-80,4.142509628938897e-78,1.2526754499535842e-96,1.1368004057751753e-95,1.024541110529541e-64,8.701512628059477e-38,3.530603254215745e-33,1.9577806803398148e-38,3.2090940483759004e-19,9.807818466700822e-20,7.031332703724923e-31,2.5924663181719195e-44,3.4415765302599453e-31,7.571573194039019e-23,3.379201859036986e-21,5.273216994454609e-33,5.89213495157619e-32,1.4115484929420785e-44,6.67419371815084e-32,2.324398040385386e-37,2.166558088546504e-18,1.9810129505949332e-42,1.2894516861899374e-32,8.836828199555995e-54,1.2868879448464562e-58,9.443441171335463e-63,8.259117574731108e-34,1.805069804702744e-33,3.232934563799054e-47,3.45491759087658e-21,6.129918676463684e-63,6.648516393567294e-45,1.3113035930435842e-36,2.1665580885464286e-18,8.73790959762899e-51,1.2732916266309166e-33,2.105908395267233e-22,8.531416457924654e-36,6.93527553874527e-64,5.576259410454305e-33,6.223149968139441e-44,5.05914530241992e-50,1.9375636468280086e-62,2.4391799846887157e-49,2.5985793274038126e-48,2.8437973887828675e-23,1.752172495430583e-50,7.970758490544973e-50,7.170796417387485e-55,1.474809639971157e-58,6.0886881116036e-47,3.7405624495566485e-50,3.1051685294793136e-53,2.2420733678449277e-66,5.476381281077521e-68,2.0373237978414364e-93,6.2507790682777194e-77,1.171967635604454e-63,1.3304977051624295e-62,5.808236925299345e-103,8.218265468434376e-64
