Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(964),S(1465),S(335),S(923),S(304),S(220),CF2O(49)
0.0,0.6085951074410778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5324893958670023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.34879043515064e-22,0.6085951074410778,2.101587702156028e-61,6.347242856276135e-30,6.924025515469597e-77,2.5566974072984823e-59,0.0,0.0,4.814230972397198e-59,7.028251688195937e-114,3.2859757423692866e-56,1.284275695066347e-78,4.835246849418718e-59,9.454394018062692e-121,4.7475381053438675e-114,1.4923870556067763e-91,1.3332355306037823e-122,1.348172565926206e-39,-2.8127122541215555e-171,2.2921298688345064e-152,9.538478503974788e-142,8.662328008626189e-145,1.5466856800708015e-106,7.62706861914148e-228,6.284331524124056e-101,2.1389570708033143e-126,2.8012769074758433e-126,-1.376696976363762e-147,0.0,0.0,1.6856948461818473e-98,0.0,3.3227488348922355e-141,0.0,3.76,0.0,0.5324893958670023,0.9999999999999997,4.740166443085897e-107,0.0,4.654569903995871e-19,2.9780905758766143e-19,1.0086641793032342e-19,6.678151488160223e-20,3.9686229352924717e-16,5.792465097369415e-39,4.76240441521381e-60,6.9686247043365745e-37,2.1683536587108267e-44,4.694377197626286e-39,2.994358359713779e-97,1.2042307072460152e-95,1.786323517324099e-42,1.3004731557058861e-97,1.192433488097479e-44,9.620065467926584e-115,8.406042105087863e-96,7.597143548792076e-99,7.307231391907335e-116,7.779475479600529e-115,9.306651038774693e-112,1.5937997847582942e-97,5.288285163593861e-96,6.930796497459037e-44,1.348172565926206e-39
1.4976613218421794e-21,0.6085951074410778,2.495004920002446e-60,1.7772279997578996e-29,1.5488774656905245e-75,3.0353111619477016e-58,0.0,0.0,5.7154550104355095e-58,5.423313868324101e-112,3.90111040134272e-55,2.8728733588369527e-77,5.740405059635442e-58,5.751569255633294e-119,2.8881591190788922e-112,4.692303684787235e-90,1.0288008263488895e-120,8.142962298202906e-39,1.09107633352328e-168,2.4424422445329072e-150,1.334395599263581e-139,9.23038268990605e-143,8.908117614196742e-105,8.708850702339783e-170,3.002100581072897e-99,1.650515101116766e-124,2.161590759028337e-124,2.392634144566375e-145,1.0764525637533472e-238,4.128322945421024e-185,8.052766563647364e-97,1.31856807748018e-193,4.648394836651091e-139,3.0365598797079807e-192,3.76,0.0,0.5324893958670023,0.9999999999999989,2.7300931747131005e-105,1.532322336108954e-174,1.3032795731188438e-18,8.338653612454976e-19,2.824259702049064e-19,1.8698824166843985e-19,1.1112144218800306e-15,3.4986489188112835e-38,5.653926521742058e-59,4.209049321410684e-36,1.3096856098600567e-43,2.835403827367787e-38,1.4304409207376854e-95,5.752754596198977e-94,1.0789394044648924e-41,6.212516321606625e-96,7.202298268115125e-44,8.368317941345382e-113,4.0156671861056843e-94,3.6292466389857324e-97,6.356426134758939e-114,6.767222577353407e-113,8.095684496196588e-110,7.613772827783348e-96,2.526277282070994e-94,4.186201084836365e-43,8.142962298202906e-39
3.42322587849641e-21,0.6085951074410778,2.4496106256416383e-59,4.0622354280207985e-29,3.0603214422643306e-74,2.98008649795607e-57,0.0,0.0,5.611467621443086e-57,5.910592746044712e-110,3.8301333253114456e-54,5.676313636501454e-76,5.635963727699322e-57,2.5965332927493444e-117,1.3038531125667622e-110,1.0468271397521354e-88,1.121230071360218e-118,3.920485821726098e-38,5.460848311270334e-166,5.558427087220885e-148,2.9011321525209195e-137,2.1006191357799003e-140,3.9947738352503073e-103,1.044206136042812e-166,1.56318754856876e-97,1.7988120954737763e-122,2.355807347764292e-122,6.220955762655698e-143,1.5297762653596226e-234,5.084983426430044e-182,4.193058854585667e-95,3.296741069862935e-190,1.0106154221179267e-136,7.592138652148588e-189,3.76,0.0,0.5324893958670023,0.9999999999999974,1.2242883687072927e-103,1.8874089517887704e-171,2.9789247385573575e-18,1.9059779685613527e-18,6.455450747540754e-19,4.274016952419296e-19,2.5399186785741516e-15,1.6844488503152616e-37,5.5510585863739084e-58,2.026476064008165e-35,6.305572439511713e-43,1.3651248890719502e-37,7.448276218180344e-94,2.995447391539876e-92,5.194628788395223e-41,3.2348443687986365e-94,3.4675965833967087e-43,8.698231821983184e-111,2.090949578461152e-92,1.8897412007149246e-95,6.607022876867009e-112,7.034014622926817e-111,8.414850033131763e-108,3.9644757264555133e-94,1.3154273432570707e-92,2.0154756220069316e-42,3.920485821726098e-38
7.274354991804872e-21,0.6085951074410778,2.166652857432641e-58,8.632250284555905e-29,5.445678966686008e-73,2.635852759047089e-56,0.0,0.0,4.963279563337817e-56,4.835231856097385e-108,3.38770955136513e-53,1.0100696831900446e-74,4.98494609191182e-56,9.804015663425629e-116,4.9231014856022935e-109,1.9605913781607874e-87,9.17233133883162e-117,1.7121791587392812e-37,1.9002756044944277e-163,9.393496047983285e-146,4.75379141768694e-135,3.549953474367529e-138,1.502933758185586e-101,8.228635722936448e-164,6.238271154819412e-96,1.4715399826825182e-120,1.9271966829994055e-120,1.0898515700636526e-140,1.0930524275191008e-230,3.893128264789898e-179,1.6733397171037945e-93,5.287374582606993e-187,1.6559931322230942e-134,1.2176413035274103e-185,3.76,0.0,0.5324893958670023,0.9999999999999946,4.6060788294120875e-102,1.445024402485625e-168,6.330215069434385e-18,4.050203183193792e-18,1.371783283852426e-18,9.082286023881663e-19,5.3973271919326116e-15,7.35643067366159e-37,4.909848455910281e-57,8.850153374374032e-35,2.7538091465426713e-42,5.961859041008203e-37,2.9724115143767947e-92,1.195404420627064e-90,2.2686308670187625e-40,1.2909414698726805e-92,1.5143905298932113e-42,6.962662764569054e-109,8.34443087353267e-91,7.541461057104221e-94,5.2887153516673346e-110,5.630508901432094e-109,6.735824497973293e-106,1.5821181911960964e-92,5.249525214781549e-91,8.802111557362886e-42,1.7121791587392812e-37
1.4976613218421794e-20,0.6085951074410778,1.821202277317465e-57,1.7772279997663355e-28,9.184933919117268e-72,2.215593066040029e-55,0.0,0.0,4.171935533047441e-55,3.4799514837882543e-106,2.8475740027471925e-52,1.7036301555953433e-73,4.19014755582007e-55,3.401468476052129e-114,1.7080527591106136e-107,3.3864340411622464e-86,6.601384016552514e-115,7.148010944657252e-37,5.6342881299552995e-161,1.3754147387482307e-143,6.848455014140088e-133,5.197913860388092e-136,5.204182436534475e-100,5.169033828612808e-161,2.2171792746240658e-94,1.0590780129230822e-118,1.3870174494523628e-118,1.6194221741156392e-138,5.818195435821527e-227,2.4111167399970645e-176,5.9473114394870015e-92,6.710305115799527e-184,2.3856735547040288e-132,1.5453311545497875e-182,3.76,0.0,0.5324893958670023,0.9999999999999889,1.5949388597301544e-100,8.94941622665858e-166,1.303279573118844e-17,8.338653612461592e-18,2.824259702049177e-18,1.86988241667767e-18,1.1112144218530403e-14,3.0711649946274535e-36,4.127023467756279e-56,3.694764818119175e-34,1.1496611098303834e-41,2.488958790201916e-36,1.0564416072596788e-90,4.2486545396815955e-89,9.471087289006166e-40,4.5882081762138543e-91,6.322282353976976e-42,4.9570756679434615e-107,2.9657414260939957e-89,2.6803533769519108e-92,3.765306904950904e-108,4.00864721114385e-107,4.7955779063130016e-104,5.62309584898567e-91,1.8657634813896623e-89,3.674708307962064e-41,7.148010944657252e-37
3.038112967165564e-20,0.6085951074410778,1.4931316593801765e-56,3.6052339424027197e-28,1.5086281854048745e-70,1.8164770560639516e-54,0.0,0.0,3.420404807776203e-54,2.3588244289656638e-104,2.3346132106460536e-51,2.7982176462686006e-72,3.43533612436911e-54,1.1328310195754597e-112,5.688529844901433e-106,5.626610807900513e-85,4.4746298771163546e-113,2.920195704797239e-36,1.5498739433618183e-158,1.8807633142533696e-141,9.288250670154885e-131,7.107707532803631e-134,1.7314642767353906e-98,2.923758113526622e-158,7.46807042887712e-93,7.178775625723409e-117,9.401655909316701e-117,2.2294348921405903e-136,2.706744252730114e-223,1.3543589135802059e-173,2.003218287347948e-90,7.631263601145283e-181,3.235581448297274e-130,1.7574207413750054e-179,3.76,0.0,0.5324893958670023,0.9999999999999775,5.3064620483123834e-99,5.027015671555346e-163,2.643795705469655e-17,1.691555447100887e-17,5.729212538442878e-18,3.793190045244799e-18,2.2541778271249462e-14,1.254671109952459e-35,3.383583183124404e-55,1.5094319853564542e-33,4.696740758760668e-41,1.0168208785319336e-35,3.5583862871543386e-89,1.4310638608483945e-87,3.869248191594649e-39,1.5454348773475633e-89,2.5828586326296657e-41,3.3420256399822215e-105,9.989433915760602e-88,9.028168367967541e-91,2.5385435005517996e-106,2.7026018278927833e-105,3.2331449821258542e-102,1.894013547293471e-89,6.284405253887715e-88,1.5012382487678672e-40,2.920195704797239e-36
6.119016257812333e-20,0.6085951074410778,1.2091767298644064e-55,7.261245827735068e-28,2.4455513248623245e-69,1.4710302153964116e-53,0.0,0.0,2.7699324934106077e-53,1.5531559243947526e-102,1.8906303069471864e-50,4.536031388057446e-71,2.782024260707802e-53,3.697749124685168e-111,1.8568315490618278e-104,9.172795700461052e-84,2.9462962077725855e-111,1.1803897938324506e-35,4.111330478999435e-156,2.487489528443685e-139,1.223429854003236e-128,9.400623632610379e-132,5.648911351299053e-97,1.5724164935086514e-155,2.4510954922034274e-91,4.726828226795906e-115,6.190472421499489e-115,2.9582444874905095e-134,1.1805306843109768e-219,7.258865611006403e-171,6.57476300040305e-89,8.230308268199623e-178,4.2618433540185366e-128,1.895376075902849e-176,3.76,0.0,0.5324893958670023,0.9999999999999546,1.7312360470060034e-97,2.6942954942264038e-160,5.324827970171277e-17,3.406935618815014e-17,1.1539118211231079e-17,7.639805302331539e-18,4.5401046374781513e-14,5.071581231086849e-35,2.74011338701599e-54,6.101365421796199e-33,1.898497709050774e-40,4.110152566769389e-35,1.1678980093946037e-87,4.696894882791298e-86,1.5640119830528772e-38,5.072272011448698e-88,1.0440327556950793e-40,2.194653576077475e-103,3.278632234700709e-86,2.9631352569778124e-89,1.6670199967149268e-104,1.7747544169775437e-103,2.123153429004433e-100,6.216342109104173e-88,2.0626047296724827e-86,6.068245046534583e-40,1.1803897938324506e-35
1.228082283910587e-19,0.6085951074410778,9.732506282667024e-55,1.4573269598638074e-27,3.938485036919767e-68,1.1840130941643888e-52,0.0,0.0,2.2294826495228345e-52,1.0081667841127557e-100,1.52174375220038e-49,7.305138712641499e-70,2.239215155803167e-52,1.1950486209797812e-109,6.000962998359637e-103,1.4814089559124114e-82,1.9124657149957896e-109,4.746295445901644e-35,1.0712868439870523e-153,3.236292073795308e-137,1.5884536805907766e-126,1.2230469074885814e-129,1.8251641092862944e-95,8.249893219495057e-153,7.942920706812874e-90,3.068224598397481e-113,4.01828855383574e-113,3.854907380388496e-132,4.9886118495568925e-216,3.8019659188755256e-168,2.130591049773976e-87,8.647929888930649e-175,5.5334114494918414e-126,1.991551091842761e-173,3.76,0.0,0.5324893958670023,0.9999999999999089,5.593626278018461e-96,1.4111873939224861e-157,1.068689249957452e-16,6.837695962261957e-17,2.3158929556810673e-17,1.533303581631495e-17,9.111958257422135e-14,2.039260507401663e-34,2.205481638353574e-53,2.453332200982191e-32,7.633775788614237e-40,1.652674270048322e-34,3.7846429531813065e-86,1.5220567185762589e-84,6.288823396546007e-38,1.6436999098321914e-86,4.198009792659248e-40,1.4226675553866043e-101,1.0624602732440604e-84,9.602216014928323e-88,1.0806330845322966e-102,1.1504711063561334e-101,1.37631812682155e-98,2.0144426285703643e-86,6.683993286912013e-85,2.4400146583100594e-39,4.746295445901644e-35
2.4604436001692946e-19,0.6085951074410778,7.809723361188616e-54,2.919731714139733e-27,6.322140744141282e-67,9.5009594165033e-52,0.0,0.0,1.7890194185623626e-51,6.497899782948452e-99,1.2211035251469411e-48,1.1726365478714115e-68,1.796829141919804e-51,3.8430972706815284e-108,1.929822525088657e-101,2.381321630771403e-81,1.2326342893639654e-107,1.903476757323935e-34,2.7668038163686437e-151,4.176263482124336e-135,2.047714139187866e-124,1.5782772445944638e-127,5.868703210964934e-94,4.275697964778341e-150,2.557747028325319e-88,1.977551360093454e-111,2.5898925389350867e-111,4.978492043694202e-130,2.0753341818197688e-212,1.9687807449727324e-165,6.860842663913304e-86,8.97003858370527e-172,7.133254813481759e-124,2.06573022273112e-170,3.76,0.0,0.5324893958670022,0.9999999999998174,1.7985962101377736e-94,7.307584097242786e-155,2.1411021558381005e-16,1.3699216649230584e-16,4.639855224798263e-17,3.071949684352149e-17,1.8255665494260383e-13,8.178346716284941e-34,1.7697601184064443e-52,9.838959402840655e-32,3.061485519787287e-39,6.627962999993082e-34,1.2187153345507547e-84,4.901265153779403e-83,2.5220994568660527e-37,5.292975614440917e-85,1.6835896876243884e-39,9.163356495449108e-100,3.4212913690901115e-83,3.092066556280454e-86,6.960323341830892e-101,7.410147820350207e-100,8.864821301321965e-97,6.486826241559427e-85,2.152352339170185e-83,9.785550217027483e-39,1.903476757323935e-34
