Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(964)
0.0,0.7720147042096194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7411910281279483,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2260646156881583e-22,0.7720147042096194,0.0,2.57546033883374e-27,0.0,0.0,0.0,0.0,0.0,0.0,9.891180522142385e-55,1.604792113950424e-76,0.0,1.9578507288327168e-113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7411910281279483,0.9999999999999997,0.0,0.0,8.174937246524754e-18,5.07976809690824e-18,1.4502329198860566e-18,1.6449362297304571e-18,3.773626337706026e-16,3.839284967567674e-36,6.696643116593122e-56,5.147390350587605e-35,1.6415459170272245e-43,8.112440043876542e-38,2.0281300399067016e-92,1.7936335161468375e-90,2.5467836516232522e-40,1.982805114281952e-92,8.476765506434641e-42,8.507320409829238e-111,2.1694116880414762e-93,8.102207666440967e-97,4.577697770450011e-112
3.4329809239268435e-22,0.7720147042096194,0.0,7.211288948735322e-27,0.0,0.0,0.0,0.0,0.0,0.0,1.174280951588909e-53,3.589855767223019e-75,0.0,1.191056141465492e-111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7411910281279483,0.999999999999999,0.0,0.0,2.2889824290269314e-17,1.422335067134351e-17,4.060652175680986e-18,4.605821443244816e-18,1.0566153745573045e-15,2.318928120410934e-35,7.950254708019527e-55,3.1090237717535622e-34,9.914937338842378e-43,4.899913786502182e-37,9.688620576243758e-91,8.568402542655475e-89,1.5382573255808442e-39,9.472097967544992e-91,5.119966365888044e-41,7.400361489818324e-109,1.0363539963248767e-91,3.870521828784737e-95,3.982055060878314e-110
7.846813540404213e-22,0.7720147042096194,0.0,1.6482946168541885e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.15291600166142e-52,7.092950053599438e-74,0.0,5.376996759304578e-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7411910281279483,0.9999999999999977,0.0,0.0,5.2319598377758433e-17,3.25105158202158e-17,9.281490687270954e-18,1.052759187027167e-17,2.4151208561291762e-15,1.1164640685687674e-34,7.805607216701471e-54,1.4968611139488474e-33,4.773615526712054e-42,2.359097564760407e-36,5.0448446474556706e-89,4.4615494398145625e-87,7.406046858926313e-39,4.932101774006288e-89,2.4650434092734277e-40,7.692114503314564e-107,5.396273773093312e-90,2.0153726918607757e-93,4.139044224925852e-108
1.6674478773358954e-21,0.7720147042096194,0.0,3.50262606081686e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.0197411471118398e-51,1.2621525645520102e-72,0.0,2.0302516666169747e-108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7411910281279482,0.999999999999995,0.0,0.0,1.1117914655273666e-16,6.908484611796738e-17,1.972316771045133e-17,2.237113272431792e-17,5.132131819266791e-15,4.8758919088118515e-34,6.903971187483952e-53,6.537185745225297e-33,2.0847633146213436e-41,1.0302798855734577e-35,2.0132650668447565e-87,1.7804872615236644e-85,3.234415237567573e-38,1.9682723456601292e-87,1.0765492193194863e-39,6.157297290900268e-105,2.1535112056011048e-88,8.042823359074262e-92,3.3131755620771068e-106
3.4329809239268436e-21,0.7720147042096194,0.0,7.21128894874764e-26,0.0,0.0,0.0,0.0,0.0,0.0,8.571538781619186e-51,2.1288047802164917e-71,0.0,7.043886178380593e-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7411910281279481,0.9999999999999896,0.0,0.0,2.2889824290269313e-16,1.4223350671349858e-16,4.060652175681385e-17,4.605821443238061e-17,1.056615374551751e-14,2.0355888898051954e-33,5.803203778551742e-52,2.729146363862681e-32,8.703476452049206e-41,4.301215711273538e-35,7.1554593728061e-86,6.328130594122339e-84,1.3503046920960658e-37,6.995548194796777e-86,4.4943810715321354e-39,4.383694803723168e-103,7.653916116271831e-87,2.8585453917873287e-90,2.3588191066877573e-104
6.96404701710874e-21,0.7720147042096195,0.0,1.4628614724630947e-25,0.0,0.0,0.0,0.0,0.0,0.0,7.027465363748388e-50,3.496568243914075e-70,0.0,2.345908191519573e-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7411910281279479,0.9999999999999787,0.0,0.0,4.643364356026059e-16,2.88530827904673e-16,8.237322984954595e-17,9.343237784838677e-17,2.1434197597920886e-14,8.316044811157181e-33,4.757817072462812e-51,1.1149453394827032e-31,3.5556541180929554e-40,1.757186963272451e-34,2.410155784764921e-84,2.1314886666826266e-82,5.516435260807809e-37,2.356293295917037e-84,1.836101315773077e-38,2.955456283780271e-101,2.5780497442237257e-85,9.628368150937413e-89,1.5902992939361045e-102
1.4026179203472534e-20,0.7720147042096195,0.0,2.9463266276484546e-25,0.0,0.0,0.0,0.0,0.0,0.0,5.691023650933789e-49,5.668087800764817e-69,0.0,7.657435055847247e-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7411910281279475,0.9999999999999569,0.0,0.0,9.352128210024313e-16,5.811254702874702e-16,1.6590664603503837e-16,1.881807046799221e-16,4.317028530233542e-14,3.361478274789615e-32,3.8530036200209664e-50,4.50678732654487e-31,1.4372522445410303e-39,7.102830655606837e-34,7.9103726130567e-83,6.995759228621537e-81,2.2298313326490574e-36,7.733590531492793e-83,7.421815085770056e-38,1.9407998025593893e-99,8.461417401074507e-84,3.1601268363444928e-87,1.0443235356407213e-100
2.815044357620012e-20,0.7720147042096197,0.0,5.913256938053969e-25,0.0,0.0,0.0,0.0,0.0,0.0,4.580630942182774e-48,9.128280665803404e-68,0.0,2.474750691537753e-102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7411910281279466,0.9999999999999134,0.0,0.0,1.8769655918020808e-15,1.1663147550548575e-15,3.329734784061362e-16,3.7767735834108487e-16,8.664246070959563e-14,1.3516356299766704e-31,3.1012325171366437e-49,1.8121593623791824e-30,5.7791280625661523e-39,2.8560169672643293e-33,2.563403287282174e-81,2.267017380885819e-79,8.966053717190742e-36,2.5061160024846928e-81,2.984279203717632e-37,1.258108769772638e-97,2.7419726291007326e-82,1.0240578948103517e-85,6.769748208755517e-99
5.63989723216553e-20,0.7720147042096202,0.0,1.1847117559004174e-24,0.0,0.0,0.0,0.0,0.0,0.0,3.6756678531108567e-47,1.4652912078098775e-66,0.0,7.958427348233397e-101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7411910281279447,0.9999999999998265,0.0,0.0,3.760471133401376e-15,2.336693324596805e-15,6.671071431487835e-16,7.566706656557787e-16,1.735868115178405e-13,5.420663410036046e-31,2.4885437862076572e-48,7.267569550793962e-30,2.3176888308424142e-38,1.1453905423771424e-32,8.254567030637081e-80,7.300157186241631e-78,3.5957885572705973e-35,8.070092845815694e-80,1.1968294358870456e-36,8.103438589321408e-96,8.829588772186332e-81,3.297629595731607e-84,4.3603732995745595e-97
