Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(964),S(1465),S(335),S(923),S(304),S(220),CF2O(49),S(879),CFO(51),CH2F(46),CFO3(3228),C2H3F2(66),C2H3F2(64),F(37),CF2CH(73),C2HF2(72),S(234),C2H2F3(67),C2H2F3(68),S(133),S(3636),S(149),CHFCF2(55),CF2(43),CH2F2(41),C2F(235),S(3631),S(3559)
0.0,0.4859394508649622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5263441087308794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7330909509722926e-21,0.4859394508649622,6.516981081151389e-30,1.560704063156417e-33,6.00546910556425e-45,3.0295849899883223e-44,0.0,0.0,1.2623324776075718e-23,1.4518966911679913e-41,3.353546576399412e-58,2.7325691754292912e-70,3.82136014955017e-61,5.961827360605198e-97,1.1369867724651104e-70,1.2018064159383307e-56,7.315701993661975e-95,4.717352571942199e-41,2.0076633113872355e-118,2.492031584527172e-75,2.738183460768469e-117,9.802459195571406e-126,1.8221970576664263e-44,5.51592896344848e-103,1.9968685181557246e-67,6.372225876552346e-123,3.37283256146087e-132,1.3437865304203227e-113,3.1052329616853185e-191,-3.0743756688176934e-154,1.1248588865576672e-65,-2.8068180149362895e-163,4.7307771042787033e-141,-4.878331044796082e-168,3.76,0.0,0.5263441087308794,0.9999999999999996,4.790032769011336e-59,1.3355470960784428e-104,1.07528664208834e-20,6.83565330071196e-21,3.047794691795468e-21,8.694184283759728e-22,4.582575693014872e-16,9.431449004307795e-43,9.832013376634405e-66,2.499518656017704e-39,1.1435873114499754e-45,1.1221802510893782e-40,9.018484775354391e-104,1.0849766297097168e-102,2.33529059130648e-45,1.4173774233352062e-104,1.6791359382646604e-48,3.0962479851618748e-120,6.907560384231193e-103,7.177958857856381e-106,3.184169096836216e-121,4.1676415259834394e-120,4.2563309702844866e-117,2.007026427374104e-104,5.645381417346118e-103,5.70624840589231e-45,4.717352571942199e-41,1.3261855634514081e-48,2.0734717476434552e-60,1.1497387514304393e-40,1.3188740742637566e-77,2.002668558047108e-31,5.357241238386967e-29,5.377267923963245e-29,7.668225893878096e-42,3.2205552668551485e-43,3.633462869163245e-55,9.716505304313733e-24,2.90682598874295e-24,6.460482416090454e-38,1.658206908624996e-50,1.5000301489104842e-53,2.7737039857614264e-38,1.1499209711362072e-40,8.837060111942275e-63,7.271591618509416e-71,7.215600492100897e-46,7.090833158298872e-70
1.325265466272242e-20,0.4859394508649622,1.8247547030171598e-29,4.3699713768648846e-33,3.627303340311239e-44,1.8298693341996033e-43,0.0,0.0,3.534530937301207e-23,8.769456014654679e-41,3.981330495517389e-57,6.112647942660515e-69,4.5367187696615804e-60,1.333636933255633e-95,1.3498306962687077e-69,1.426784577000083e-55,2.2562448301641276e-93,2.8492809534723083e-40,1.5492027472718044e-116,2.9585398971780375e-74,1.6657706235177556e-115,1.0445280943902781e-123,1.1006070228289794e-43,3.3556087659377625e-101,2.3706823047690312e-66,4.917096250676573e-121,2.6026367145098292e-130,1.0369258885289514e-111,6.074025883554133e-188,1.1925779271663556e-151,1.3354324701293631e-64,1.0887900547527303e-160,5.041021889366084e-139,1.1386868410676106e-165,3.76,0.0,0.5263441087308794,0.9999999999999988,5.686726946533555e-58,6.380068744160584e-103,3.0108025978473525e-20,1.9139829241995717e-20,8.533825137027319e-21,2.4343715994504875e-21,1.2831211940247307e-15,5.6965951986024544e-42,1.1672566280741376e-64,1.5097092682050504e-38,6.90726736110881e-45,6.777968716603979e-40,4.308238399022852e-102,5.1830635573161524e-101,1.4105155171611098e-44,6.770982036713766e-103,1.0141981067103539e-47,2.6933691513201154e-118,3.299824486270036e-101,3.428997081924235e-104,2.7698501085780444e-119,3.6253546787965176e-118,3.7025039945504797e-115,9.587806086885617e-103,2.696866447644305e-101,3.4465740373678335e-44,2.8492809534723083e-40,8.010160803356584e-48,2.461625778702895e-59,6.9444220586397855e-40,2.950268686424252e-76,5.60747196262391e-31,1.5000275467486948e-28,1.505635018708786e-28,4.631608439898613e-41,1.9452153811790528e-42,4.313647829310061e-54,2.720621485207835e-23,8.139112768480033e-24,3.902131379318545e-37,1.0035502658728332e-49,1.7808357928275057e-52,1.6753172073998842e-37,6.94552266566263e-40,1.0491357821637603e-61,8.632833569495254e-70,4.3582226972290817e-45,1.586191263950235e-68
3.0291782086222675e-20,0.4859394508649622,4.1708678940002833e-29,9.988506004389488e-33,1.7463904167237315e-43,8.810033154585893e-43,0.0,0.0,8.078927856688508e-23,4.22211557791654e-40,3.9088938894991214e-56,1.2077562265387097e-67,4.4541773906724914e-59,2.6350418430589673e-94,1.3252717819795303e-68,1.400825558411817e-54,5.025429455552084e-92,1.3718061279490721e-39,1.6883964437325908e-114,2.904712015006726e-73,7.520084888362949e-114,2.3771015532319243e-121,5.298949043670833e-43,1.5148821984134809e-99,2.3275499448065953e-65,5.35889756332787e-119,2.83650016586229e-128,1.130092556646715e-109,1.3896368575737635e-184,5.968864601014354e-149,1.3111355181962565e-63,5.449410975947825e-158,1.147218134415383e-136,6.274161208605129e-163,3.76,0.0,0.5263441087308794,0.9999999999999971,5.583262258185931e-57,3.322088568636298e-101,6.881834509365378e-20,4.374818112457215e-20,1.9505886027491048e-20,5.56427794159057e-21,2.9328484433934838e-15,2.7426653704535274e-41,1.1460194791808196e-63,7.268600251254837e-38,3.325551901622451e-44,3.263300170203447e-39,2.243290802485638e-100,2.698810448683055e-99,6.791025039695795e-44,3.525636308984519e-101,4.882927308447527e-47,2.7995529596729726e-116,1.7182117687510543e-99,1.785471671530593e-102,2.879049114109507e-117,3.7682812308389995e-116,3.848472093500998e-113,4.99235075202257e-101,1.404252768103962e-99,1.659377036739605e-43,1.3718061279490721e-39,3.856547618681813e-47,2.416838839304847e-58,3.343440289159619e-39,5.829233893843556e-75,1.2817078772145546e-30,3.4286343925700696e-28,3.4414514713300195e-28,2.2299200899341146e-40,9.365374715992918e-42,4.235165329967305e-53,6.218563394760725e-23,1.86036863279533e-23,1.8787082865989723e-36,4.851965086231514e-49,1.748435141628189e-51,8.065931190593977e-37,3.343970184064002e-39,1.0300477347052217e-60,8.475767190537268e-69,2.0982966231031446e-44,3.134046882294736e-67
6.437003693322318e-20,0.4859394508649622,8.863094280682858e-29,2.122557525986937e-32,7.626945772598283e-43,3.847572941108351e-42,0.0,0.0,1.7167721695463215e-22,1.843908797783371e-39,3.457372378503882e-55,2.1491376749459916e-66,3.939669460527951e-58,4.688916169942271e-93,1.1721878829284452e-67,1.239014342563389e-53,9.469048348703082e-91,5.991037766656264e-39,1.3812129703884592e-112,2.569184882553581e-72,2.8394410287292496e-112,4.0171965369293354e-119,2.3141902632124555e-42,5.7199069402635385e-98,2.058691567569983e-64,4.383920210484057e-117,2.3204651093631263e-126,9.244858790076383e-108,2.0556563555850044e-181,2.0770558395713605e-146,1.1596845177367642e-62,1.8962994932648094e-155,1.9387473791165986e-134,2.3102529734286385e-160,3.76,0.0,0.5263441087308794,0.9999999999999938,4.938332249298525e-56,1.3257583404155221e-99,1.4623898332401428e-19,9.296488488976069e-20,4.145000780841862e-20,1.1824090625834953e-20,6.232302941820052e-15,1.1977940235479383e-40,1.0136412510781586e-62,3.1743886926830154e-37,1.4523558854646802e-43,1.4251689189199176e-38,8.952384707772315e-99,1.0770244037317964e-97,2.9658190511400848e-43,1.4069888997567106e-99,2.1325026415674645e-46,2.240954661634292e-114,6.856932122175871e-98,7.125348738007723e-101,2.3045888489592195e-115,3.016391370988189e-114,3.0805816509427833e-111,1.992316131325089e-99,5.604004167836603e-98,7.246935478612908e-43,5.991037766656264e-39,1.684255665753912e-46,2.137666604386453e-57,1.4601682143165563e-38,1.037281036637844e-73,2.7236292392660948e-30,7.285848084218328e-28,7.3130843765577285e-28,9.738646885166944e-40,4.0901051888834555e-41,3.7459558963626265e-52,1.3214447213866357e-22,3.953283344689619e-23,8.204812668433514e-36,2.1368188164354156e-48,1.5464710823791664e-50,3.522604061916754e-36,1.4603996333428913e-38,9.110655574151521e-60,7.496720095024102e-68,9.163812624970211e-44,5.576869170972213e-66
1.3252654662722419e-19,0.4859394508649622,1.824754707291332e-28,4.369971377255182e-32,3.1840997274486796e-42,1.6062859651326717e-41,0.0,0.0,3.5345309373013073e-22,7.697956256572887e-39,2.906129806541005e-54,3.624834813322057e-65,3.311529565192922e-57,7.908542466882459e-92,9.852945452077974e-67,1.041466211127019e-52,1.6608000690978404e-89,2.5011403339033613e-38,9.940689571329482e-111,2.159554698951384e-71,9.851340858892038e-111,5.882060626786736e-117,9.661288799532235e-42,1.9845014341121676e-96,1.7304543081039196e-63,3.1551525899814924e-115,1.6701014526286605e-124,6.653592014190141e-106,2.510060310906008e-178,6.158437830923498e-144,9.747847134412932e-62,5.622521952193181e-153,2.8387528109070794e-132,7.120331643073876e-158,3.76,0.0,0.5263441087308794,0.9999999999999872,4.150965820333474e-55,4.711952791759165e-98,3.0108025978473527e-19,1.9139829242028048e-19,8.533825137027421e-20,2.4343715994180576e-20,1.283121193742945e-14,5.000554262091628e-40,8.520265479989287e-62,1.325244791007064e-36,6.063299924615638e-43,5.949799691602208e-38,3.181817740910548e-97,3.827913418492006e-96,1.2381710716727888e-42,5.0006589186649285e-98,8.902778744414143e-46,1.5954502180304177e-112,2.4370610720810383e-96,2.532460541533722e-99,1.6407546498061147e-113,2.147523264270174e-112,2.193223607396616e-109,7.081003575813943e-98,1.9917508532949037e-96,3.025452907606417e-42,2.5011403339033613e-38,7.031435858954982e-46,1.7968375933079746e-56,6.095914860083276e-38,1.7495260889452139e-72,5.607471963958026e-30,1.500027546753689e-27,1.5056350186954115e-27,4.065693368881749e-39,1.7075384024662749e-40,3.148701690708218e-51,2.720621485207703e-22,8.139112768476749e-23,3.425347777009933e-35,9.069877411864386e-48,1.2999021266151406e-49,1.4706178532504768e-35,6.096880988963347e-38,7.658054972175408e-59,6.301444951144572e-67,3.825711380913748e-43,9.406205145454533e-65
2.688395660152262e-19,0.4859394508649622,3.701645273283549e-28,8.864799080480751e-32,1.3008086366427804e-41,6.562202300846947e-41,0.0,0.0,7.170048472811454e-22,3.144866308937683e-38,2.382620796525673e-53,5.953802065445315e-64,2.7149920129258354e-56,1.2989804749325065e-90,8.078039971309414e-66,8.538569226002981e-52,2.8474469976655456e-88,1.0217974367123154e-37,6.738122920279782e-109,1.7705334172669672e-70,3.280908997713257e-109,8.043220366015927e-115,3.9469517146056183e-41,6.609218339027575e-95,1.41873099157512e-62,2.138683302168646e-113,1.1321113191354259e-122,4.5100213198639425e-104,2.801528904434249e-175,1.6940559342200568e-141,7.991874021720831e-61,1.5466499234365807e-150,3.8817540702952e-130,2.0391741795171707e-155,3.76,0.0,0.5263441087308794,0.999999999999974,3.403212579721317e-54,1.5871154749266941e-96,6.107628127061773e-19,3.882651074818907e-19,1.7311473849398724e-19,4.938296673029928e-20,2.6029029923673266e-14,2.04288958013555e-39,6.985428413263682e-61,5.414057386179426e-36,2.47705585950667e-42,2.4306873113453705e-37,1.071723845431988e-95,1.2893466636200774e-94,5.058332833763076e-42,1.6843596472566036e-96,3.637075607491369e-45,1.0756413443757351e-110,8.208692879899673e-95,8.530024567879248e-98,1.1061852741754996e-111,1.4478451188871954e-110,1.47865597011081e-107,2.3850770223939106e-96,6.708765420592863e-95,1.2359962320765755e-41,1.0217974367123154e-37,2.8725709791584436e-45,1.4731560225959433e-55,2.4903801251476163e-37,2.873601861060084e-71,1.1375157415697291e-29,3.0429130234262192e-27,3.0542881807510768e-27,1.6609684014731906e-38,6.975851530046838e-40,2.5814959020759083e-50,5.518975012849604e-22,1.651077161604521e-22,1.3993663332538197e-34,3.8271703360674564e-47,1.0657383001783408e-48,6.007953781316724e-35,2.490774820319173e-37,6.278536147952189e-58,5.166305288225349e-66,1.5629279289925846e-42,1.5449720321207384e-63
5.414656047912303e-19,0.4859394508649622,7.455426435452483e-28,1.7854454489688198e-31,5.258076517915698e-41,2.6525471027782434e-40,0.0,0.0,1.4441083543832442e-21,1.2712052441588895e-37,1.9295080948947587e-52,9.651369714401568e-63,2.1986709249186054e-55,2.10570332660598e-89,6.54180620578071e-65,6.91475473625344e-51,4.932119871783755e-87,4.130268611461314e-37,4.436682648217928e-107,1.4338238659145152e-69,1.070944892921929e-107,1.0637928909739664e-112,1.5954209892958768e-40,2.1573589449829034e-93,1.1489251402987066e-61,1.4082290106870163e-111,7.455148043747676e-121,2.9696005546466447e-102,2.993683239180243e-172,4.493797269043227e-139,6.472026787430233e-60,4.102845038908677e-148,5.133991180957711e-128,5.74565214621911e-153,3.76,0.0,0.5263441087308794,0.9999999999999476,2.7560097951408972e-53,5.209071925991966e-95,1.2301279185490612e-18,7.819987376073942e-19,3.4866771274142062e-19,9.946146820024648e-20,5.2424665876260993e-14,8.257686312876857e-39,5.656981038539838e-60,2.1884485573590008e-35,1.0012655828828395e-41,9.825226747073914e-37,3.517504972264758e-94,4.231764851364012e-93,2.0446590077626656e-41,5.5282370205161584e-95,1.4701641122874695e-44,7.063560777253232e-109,2.6941751962379087e-93,2.7996394743393262e-96,7.264137764855664e-110,9.507762083296131e-109,9.710091910321697e-106,7.828061608020376e-95,2.2018839855008905e-93,4.996094398725856e-41,4.130268611461314e-37,1.1611391187782365e-44,1.1929999424877403e-54,1.0066514643367833e-36,4.658232452891255e-70,2.2910528328597446e-29,6.12868397680655e-27,6.151594504767958e-27,6.713899844568111e-38,2.8197507226429346e-39,2.0905623190361172e-49,1.1115682068132467e-21,3.3254089311158913e-22,5.656462458434633e-34,1.6454981299991299e-46,8.630625066156073e-48,2.428510977323835e-34,1.0068110064357906e-36,5.0845213552943167e-57,4.183807967929328e-65,6.317604579670784e-42,2.504466251355206e-62
1.0867176823432385e-18,0.4859394508649622,1.496298888052835e-27,3.583376531912832e-31,2.1142494638662084e-40,1.0665775335027733e-39,0.0,0.0,2.898315368587721e-21,5.11146037712567e-37,1.5530359785883107e-51,1.554323338849719e-61,1.7696816435285493e-54,3.391170291869043e-88,5.2654147581823736e-64,5.565596181287069e-50,8.904746992371336e-86,1.660762843823795e-36,2.8798886077437437e-105,1.1540661878421539e-68,3.461128949341973e-106,1.3840237158962566e-110,6.415117628181533e-40,6.972211326801561e-92,9.247549075209139e-61,9.141244999061871e-110,4.84026323385446e-119,1.9275930990973131e-100,3.1312181916196635e-169,1.1709444656725658e-136,5.209250214244741e-59,1.069110647819399e-145,6.679463183685055e-126,1.6606034486680481e-150,3.76,0.0,0.5263441087308794,0.9999999999998948,2.2182764722772053e-52,1.6880307485277994e-93,2.4688581302348292e-18,1.5694659978675326e-18,6.997736612363163e-19,1.996184711309801e-19,1.0521593770183685e-13,3.3203793478057076e-38,4.553230486071849e-59,8.799655385896666e-35,4.0260448695372664e-41,3.9506804630071766e-36,1.1398684047523016e-92,1.3713285657781054e-91,8.221483947442258e-41,1.7914580850333584e-93,5.911465234566253e-44,4.578899763644244e-107,8.730634942097458e-92,9.072398211210141e-95,4.7089222716543424e-108,6.163334739313632e-107,6.294493525281393e-104,2.5367299193201736e-93,7.13533599833916e-92,2.008907592049228e-40,1.660762843823795e-36,4.668889332227917e-44,9.602301427706686e-54,4.047701263955768e-36,7.501939760321249e-69,4.598127019208423e-29,1.2300225883708292e-26,1.2346207152423926e-26,2.699629598547247e-37,1.133809363802604e-38,1.682666432195357e-48,2.2309096178694447e-21,6.674072470129349e-22,2.2744386765073877e-33,7.408568449222702e-46,6.946677900645467e-47,9.764935830019472e-34,4.048342775719211e-36,4.092465130380252e-56,3.367492635679928e-64,2.540281015656483e-41,4.033365697196066e-61
2.1772218374472548e-18,0.4859394508649622,2.997811425363209e-27,7.179238702210952e-31,8.47908614672946e-40,4.277453026425323e-39,0.0,0.0,5.806729396997792e-21,2.0499242268808332e-36,1.2462135666799907e-50,2.495033189099852e-60,1.4200580732603929e-53,5.443579348053954e-87,4.225163738388433e-63,4.466040425650426e-49,1.7336056331260584e-84,6.660401803977364e-36,1.85616386136861e-103,9.260654363121134e-68,1.1130731070241697e-104,1.786009287350053e-108,2.5727490915578395e-39,2.2421586761714663e-90,7.420575748660902e-60,5.892172343905121e-108,3.121046981843515e-117,1.2423843932403628e-98,3.240448976308148e-166,3.024180926772707e-134,4.180095233207522e-58,2.7613633814009287e-143,8.619493385228386e-124,5.117905653073008e-148,3.76,0.0,0.5263441087308794,0.9999999999997892,1.780027201455642e-51,5.435728061387191e-92,4.9463185536063655e-18,3.144400518424336e-18,1.4019855582262245e-18,3.9993247695580415e-19,2.1079848103459008e-13,1.3316206260835577e-37,3.653680712676728e-58,3.529055374502781e-34,1.6146240603586275e-40,1.5843995649109288e-35,3.670557888821319e-91,4.415896484888258e-90,3.2971827814698354e-40,5.7687804977113015e-92,2.3707619551842307e-43,2.949254779256984e-105,2.811403562475148e-90,2.921456783326876e-93,3.033001857174236e-106,3.9697843031571996e-105,4.054263270943681e-102,8.168674553214778e-92,2.2976918839147656e-90,8.056618013708235e-40,6.660401803977364e-36,1.8724334469112334e-43,7.705242164126624e-53,1.6233092447079807e-35,1.204227473456139e-67,9.212275406980369e-29,2.4643309698076097e-26,2.4735432446224673e-26,1.0826722127825898e-36,4.547082657016306e-38,1.3502338423100148e-47,4.469592439980342e-21,1.3371399548119133e-21,9.121516360327866e-33,3.606498012744734e-45,5.574271528759737e-46,3.9161760152621245e-33,1.623566519617638e-35,3.283945532826831e-55,2.702200762892253e-63,1.0187663041277985e-40,6.474445205489567e-60
