Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195),S(2224),S(2641),S(2826),C2FO(289),S(1665),C2FO(7367)
0.0,0.761525098282964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6646653434698624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.707517249632849e-22,0.761525098282964,1.4255591548341503e-26,3.626707577088511e-27,3.360808659972595e-38,1.3769434609792013e-25,0.0,0.0,1.0919633784500738e-21,2.0077126475111445e-39,9.433050438025868e-54,7.425626591874753e-54,5.625944487839454e-57,5.824801973380519e-65,4.903450780890076e-44,1.2123782133380588e-38,1.372116067573397e-39,3.203516655684709e-38,2.0001046923233448e-88,2.6190169934565465e-61,2.4922562851307867e-91,1.4998896640809654e-90,7.668349657689548e-25,4.005456108109246e-92,5.4332597108993e-58,3.961016172438419e-95,4.63763733707687e-97,3.8302999991083295e-78,8.260755855076864e-94,2.962189268745882e-94,1.5561682252121825e-59,2.2873905078073158e-111,2.314241097279425e-112,4.313280816204216e-112,3.76,0.0,0.6646653434698624,0.9999999999999994,3.0589856346467558e-53,1.962980200824068e-55,1.0268308283142534e-17,6.3801572743900375e-18,1.8210548552218182e-18,2.067096153530678e-18,5.266367498010665e-16,6.767171909915602e-36,1.654743799375956e-55,9.043302484584622e-35,2.9139779875163507e-43,1.7779588592609757e-37,9.313769041765924e-92,9.434530672777624e-90,4.54175604956629e-40,9.181598380399137e-92,1.5151866129591342e-41,5.528302769648504e-110,7.956653841309648e-90,4.944968066594648e-93,8.966864692254574e-92,5.014188461085492e-90,3.702257982943755e-111,3.251281293738523e-110,2.1255023513544314e-74,6.753363814212084e-43,3.2035166556847085e-38,2.5301531158212622e-43,8.36080817450387e-22,2.558968165912226e-22,5.6781026663944325e-36,7.074712146022707e-52,3.46195294555166e-36,3.4897853301929206e-25,1.3937286464773943e-23,6.552407137014323e-38,6.86379385124137e-37,4.557154002925599e-52,7.144149540241497e-37,2.3071832765393133e-42,5.815162317152832e-21,2.0380530533630175e-47,1.0481548756092585e-37,8.475238876564723e-61,1.2219466562087452e-68,9.383371702842924e-73,4.605442041702722e-39,2.2019358590521065e-38,1.6654513790301485e-54,1.4286264997792245e-23,5.73385600810959e-73,1.771577882379292e-52,1.8832478874608063e-41,5.815162317152832e-21,3.223949102485315e-58,7.215825120348097e-39,7.668349657689068e-25,1.104112535102779e-40,1.026635204940857e-73,3.21017943449972e-38,1.3175230441659863e-51,2.454824320512261e-57,2.4432154372236027e-72,1.7570940420266093e-54,1.0490928489752364e-55,1.3769434609791792e-25,1.1673141588719928e-57,2.2330350799125263e-57,3.3894375528422807e-62,1.2155083078538856e-65,1.1214022704567038e-51,9.756874108816076e-58,2.8387216712524006e-60,6.917436137114989e-76,2.433340425132662e-77
4.781048298971977e-22,0.7615250982829639,3.991565635072472e-26,1.0154781215849715e-26,2.02992843062351e-37,3.855441690741764e-25,0.0,0.0,3.0574974596602054e-21,1.2126584390967307e-38,1.1198917995010342e-52,8.815703889937185e-53,6.682375506725074e-56,6.915204902796597e-64,2.9616842716572904e-43,7.322764408562202e-38,8.28758104814441e-39,1.9349240600343893e-37,9.554742410152343e-87,3.109296974633521e-60,1.1905807667295846e-89,7.165153189457367e-89,2.1471379041532297e-24,1.9466204588800044e-90,6.450365928780326e-57,1.8922249587558042e-93,2.217253727013008e-95,1.2043076045198988e-76,3.946269931887742e-92,1.4150742232167097e-92,1.8474829169728348e-58,1.771026128160646e-109,1.9585466532957585e-110,3.353215793401406e-110,3.76,0.0,0.6646653434698624,0.9999999999999984,3.6316277456372934e-52,2.3304500944187963e-54,2.87512631927991e-17,1.7864440368292875e-17,5.09895359462114e-18,5.787869229885083e-18,1.474582899442242e-15,4.087371833589167e-35,1.9645118386191937e-54,5.462154700685802e-34,1.760042704459366e-42,1.0738871509938151e-36,4.44929923648347e-90,4.506988516754037e-88,2.7432206539390335e-39,4.3861597255019045e-90,9.151727142275887e-41,4.808968858547629e-108,3.800989019839921e-88,2.3622705850305065e-91,4.283578865870379e-90,2.3953379981221257e-88,3.2205260978166215e-109,2.8282297738480887e-108,4.755209598822518e-73,4.079031744701264e-42,1.934924060034389e-37,1.528212481958599e-42,2.341026288861075e-21,7.165110864554035e-22,3.4295740105021776e-35,8.399114474208226e-51,2.0910195791131753e-35,9.771398924559179e-25,3.9024402101367507e-23,3.957653910756195e-37,4.145731486149303e-36,5.410458772120177e-51,4.31506632230579e-36,1.3935386990297188e-41,1.6282454488027932e-20,1.2309849111101367e-46,6.330855448679923e-37,1.0061803594267095e-59,2.7335449955911706e-67,2.0990988951725226e-71,2.781686993188191e-38,1.3299692588674784e-37,1.97723741545973e-53,4.000154199381746e-23,1.282687203795936e-71,2.1032172619601476e-51,1.137481724031277e-40,1.628245448802793e-20,3.8274723744855636e-57,4.3583583726898544e-38,2.1471379041529388e-24,6.66883971202677e-40,2.2965569097763575e-72,1.938948378437734e-37,1.564163357620592e-50,2.9143674333125555e-56,7.677094537770674e-71,1.0650136449944103e-53,1.245483030302999e-54,3.8554416907416337e-25,1.386001952431376e-56,3.374562612763842e-56,5.1221180298567295e-61,1.4430514631208677e-64,6.773269952678688e-51,1.158336094198594e-56,3.370130368117651e-59,1.547409665785168e-74,5.4432907389071635e-76
1.0928110397650234e-21,0.7615250982829639,9.123578601696525e-26,2.3210928493379646e-26,9.773231583201234e-37,8.81243815026689e-25,0.0,0.0,6.98856562208046e-21,5.838428378962399e-38,1.0995164321844697e-51,8.655310355685993e-52,6.562221874777011e-55,6.789389180169994e-63,1.4259234870823614e-42,3.5255958443875614e-37,3.99011352450508e-38,9.315826434743277e-37,4.9751338279053587e-85,3.052726207578685e-59,6.199329265063394e-88,3.7308802933365805e-87,4.907743780922402e-24,1.0029057413873294e-88,6.33300751902633e-56,9.852776141681851e-92,1.1537574332525392e-93,2.6867440168167032e-75,2.054812078994755e-90,7.368258485730071e-91,1.8138696833101426e-57,1.93047693283568e-107,2.0585329738325567e-108,3.6558884538393265e-108,3.76,0.0,0.6646653434698624,0.9999999999999966,3.565553656006655e-51,2.2880497220816647e-53,6.571717301211223e-17,4.0833006556101614e-17,1.1654751073419979e-17,1.322941538259063e-17,3.3704751987216158e-15,1.967893591403672e-34,1.9287693725527957e-53,2.6297923625122443e-33,8.473847987689843e-42,5.1703043627336605e-36,2.3167408880840457e-88,2.3467795767148233e-86,1.3207426592153437e-38,2.2838642756192482e-88,4.406162670489119e-40,4.99855840200531e-106,1.9791671023609778e-86,1.2300293961307083e-89,2.2304506346806518e-88,1.2472475295700359e-86,3.3474926244331134e-107,2.9397303485843377e-106,9.396019145927068e-72,1.9638781985223498e-41,9.315826434743274e-37,7.35768526084658e-42,5.350917231682416e-21,1.6377396261836879e-21,1.6511922553874105e-34,8.246307501922934e-50,1.0067359165663819e-34,2.233462611336769e-24,8.919863337455652e-23,1.9054399954430793e-36,1.9959912519402625e-35,5.312110572391693e-50,2.0775186863021166e-35,6.709288968175927e-41,3.721703882977815e-20,5.926671282362774e-46,3.0480343782717244e-36,9.878738434552127e-59,5.401119918467225e-66,4.1475391375785043e-70,1.339262545726772e-37,6.4032294781236084e-37,1.941269351749093e-52,9.143209598586456e-23,2.5344186456607993e-70,2.064951179699604e-50,5.476484856810153e-40,3.7217038829778125e-20,3.7578350739033033e-56,2.098361944996633e-37,4.907743780921004e-24,3.2107592520876885e-39,4.5376239342591536e-71,9.335201795523735e-37,1.5357048589987467e-49,2.8613432279902736e-55,1.71248639652199e-69,5.165562128368597e-53,1.2228226247642903e-53,8.812438150266264e-25,1.3608579314683046e-55,3.630200468712303e-55,5.510140840909324e-60,1.416796483748337e-63,3.261038161168184e-50,1.1372612461234445e-55,3.308813980032137e-58,3.0574273642038344e-73,1.0755030565875783e-74
2.3222234595006746e-21,0.7615250982829639,1.9387604559534256e-25,4.93232230484696e-26,4.26822699816615e-36,1.8726431069317152e-24,0.0,0.0,1.4850701946920942e-20,2.5497950623391426e-37,9.725098416021954e-51,7.655523991572438e-51,5.804777251991478e-54,6.0051378424714665e-62,6.227382491725509e-42,1.539720330939838e-36,1.742587405819911e-37,4.068466152732019e-36,1.9854452056072415e-83,2.7001017595858568e-58,2.4739895568410896e-86,1.4888963692598883e-85,1.0428955534463244e-23,3.9873477249177124e-87,5.6014734315531636e-55,3.931984322546281e-90,4.603262501182972e-92,5.031974195782578e-74,8.200212106480692e-89,2.9404780192920506e-89,1.6043471934706177e-56,1.5793337913396417e-105,1.6565159126135404e-106,2.9911038980498733e-106,3.76,0.0,0.6646653434698623,0.9999999999999928,3.153691830160008e-50,2.023754067843675e-52,1.3964899265073847e-16,8.677013893173134e-17,2.4766346031018423e-17,2.811250768798867e-17,7.162259797268452e-15,8.594308325595037e-34,1.7059746674050167e-52,1.1484994155371176e-32,3.700752044137776e-41,2.258007751264253e-35,9.24550471790794e-87,9.365381238762099e-85,5.768030182964222e-38,9.114302787995593e-87,1.924286998462134e-39,4.0011898020742954e-104,7.898336355379769e-85,4.9087244255827136e-88,8.90114296859159e-87,4.9774374762027846e-85,2.67956324087843e-105,2.353162281125756e-104,1.6720141137638856e-70,8.576772057871327e-41,4.068466152732016e-36,3.213294457132631e-41,1.1370699117324957e-20,3.480196705639944e-21,7.2111903863200025e-34,7.293768420726482e-49,4.396680240850189e-34,4.7461080491288705e-24,1.89547095920942e-22,8.321557064001102e-36,8.717018191069013e-35,4.6985374128342585e-49,9.073069916105566e-35,2.9301227612045175e-40,7.908620751327858e-20,2.588340814393589e-45,1.331156692023758e-35,8.737632272241748e-58,9.611081933696837e-65,7.380383897452009e-69,5.848911392958535e-37,2.7964585409962564e-36,1.7170331134609553e-51,1.9429320396994537e-22,4.50989898861634e-69,1.8264259336141896e-49,2.3917248171517675e-39,7.908620751327849e-20,3.32376256679567e-55,9.16409790283595e-37,1.0428955534457134e-23,1.40222291958955e-38,8.074471100100483e-70,4.0769278818131454e-36,1.3583135549229981e-48,2.5308256814777598e-54,3.207125533746474e-68,2.289306509335095e-52,1.0815727635768955e-52,1.8726431069314416e-24,1.203692418949533e-54,3.336779659211917e-54,5.064768746471141e-59,1.2531404453040942e-62,1.4241812541160088e-49,1.0058946931221726e-54,2.926608494236486e-57,5.440534013487083e-72,1.9138006585661883e-73
4.781048298971977e-21,0.761525098282964,3.991565657356822e-25,1.0154781215876993e-25,1.7819007515183277e-35,3.855441690741771e-24,0.0,0.0,3.057497459660178e-20,1.0644892457103985e-36,8.17453123534337e-50,6.434929195242938e-50,4.879489582872075e-53,5.047680193291068e-61,2.599809604023519e-41,6.428029287122919e-36,7.274959390289424e-37,1.6985045308551803e-35,7.056583075251166e-82,2.269598222279014e-57,8.792946348965442e-85,5.291770867849779e-84,2.147137904155491e-23,1.414936161810805e-85,4.7083759333179795e-54,1.3974888189498175e-88,1.6359088393836755e-90,8.691484059628841e-73,2.914483297754054e-87,1.0450918648301677e-87,1.3485504852878648e-55,1.1366853425258523e-103,1.1825208483973245e-104,2.1528369811505205e-104,3.76,0.0,0.6646653434698622,0.9999999999999852,2.6508680074505106e-49,1.7010872343544838e-51,2.8751263192799097e-16,1.786444036830399e-16,5.098953594621841e-17,5.787869229873252e-17,1.474582899431449e-14,3.587954546639254e-33,1.4339745006391052e-51,4.7947589772806016e-32,1.544991128973966e-40,9.426737871826924e-35,3.28599718336771e-85,3.3286031764091404e-83,2.408039057493527e-37,3.239365962550954e-85,8.033519421945401e-39,2.8486516267385322e-102,2.8071924474425203e-83,1.7446375431650267e-86,3.1636056241408205e-85,1.7690592375561038e-83,1.9077180945318465e-103,1.6753365602982748e-102,2.8201303554465866e-69,3.580633506682487e-40,1.6985045308551782e-35,1.3414871820440979e-40,2.3410262888609472e-20,7.165110864551214e-21,3.010530033721497e-33,6.130852958913563e-48,1.8355274517311126e-33,9.771398924834674e-24,3.902440210137429e-22,3.4740862640386143e-35,3.6391834999214004e-34,3.9494179856104896e-48,3.7878280862350227e-34,1.2232685732207748e-39,1.6282454488027959e-19,1.0805878218533735e-44,5.557317150480285e-35,7.344506406714599e-57,1.6210556558900968e-63,1.2448143863644899e-67,2.4418053705072526e-36,1.167466392469499e-35,1.4432707249985264e-50,4.000154199380537e-22,7.606632961197813e-68,1.535221047617309e-48,9.984980300005849e-39,1.628245448802792e-19,2.793822709204799e-54,3.825830478803041e-36,2.1471379041529405e-23,5.854004661195779e-38,1.3618785102053636e-68,1.702037136170402e-35,1.141744384824442e-47,2.127311478971187e-53,5.5393695064040444e-67,9.836286294495698e-52,9.091270774316139e-52,3.85544169074063e-24,1.0117875000733603e-53,2.8546852497396317e-53,4.333016294321185e-58,1.053340051886935e-61,5.945678173684986e-49,8.455150992708291e-54,2.459990780836514e-56,9.176260120069606e-71,3.227904884344193e-72
9.698697977914582e-21,0.761525098282964,8.097176099507017e-25,2.059969903798522e-25,7.279645989854304e-35,7.821038858361898e-24,0.0,0.0,6.202351989596296e-20,4.34878590301495e-36,6.701974605259145e-49,5.275743736966432e-49,4.000589721474565e-52,4.1383931904441284e-60,1.062107052940189e-40,2.6260597052226033e-35,2.9720582870196116e-36,6.9389452169735e-35,2.376851500788689e-80,1.8607537459920604e-56,2.9617064928651867e-83,1.7824141646526807e-82,4.355622605577816e-23,4.762436744054891e-84,3.86021105823317e-53,4.70712726729997e-87,5.5099376125202464e-89,1.44410307572806e-71,9.816781616556296e-86,3.520157106890265e-86,1.1056231638368049e-54,7.704912034363257e-102,7.983174142714687e-103,1.4593012315407276e-102,3.76,0.0,0.6646653434698618,0.99999999999997,2.173341751213149e-48,1.3946540900885193e-50,5.832399104824957e-16,3.623929331858533e-16,1.034359157766308e-16,1.1741106152001136e-16,2.991296738821601e-14,1.4657965043770537e-32,1.1756589327147023e-50,1.9588154913318815e-31,6.31179288001888e-40,3.851130007534971e-34,1.106814350781389e-83,1.1211652226316845e-81,9.83762527371649e-37,1.0911076713489703e-83,3.281954811164448e-38,1.9205409426241253e-100,9.455397289814757e-82,5.876419734793807e-85,1.0655895028597866e-83,5.958678727402289e-82,1.2861701561326251e-101,1.129500155977591e-100,4.632099879294557e-68,1.4628056260797401e-39,6.938945216973482e-35,5.480412855295449e-40,4.7489390431176244e-20,1.453493918236876e-20,1.2298997499509965e-32,5.026444111456751e-47,7.498728558179526e-33,1.9821980676732668e-23,7.916378711994644e-22,1.4192775955004486e-34,1.4867252033485494e-33,3.2379771219733283e-47,1.5474513670136045e-33,4.997451264312086e-39,3.3030121961428203e-19,4.41460682277032e-44,2.270345386764675e-34,6.021470088703906e-56,2.662593744362916e-62,2.0446151777564922e-66,9.975571679979875e-36,4.7694811481418365e-35,1.1832809108294036e-49,8.114598518740567e-22,1.24939407628684e-66,1.2586669689798496e-47,4.079190254738566e-38,3.3030121961428044e-19,2.29054465281991e-53,1.5629765843632053e-35,4.3556226055673964e-23,2.391551915602332e-37,2.2368902938085465e-67,6.953377062292347e-35,9.36071023673256e-47,1.744098477210401e-52,9.203627743876487e-66,4.246349697665448e-51,7.453573052187378e-51,7.821038858357237e-24,8.295290961290266e-53,2.360308968685131e-52,3.5826216644802266e-57,8.635918150439885e-61,2.429004998145802e-48,6.932043622523334e-53,2.0168490685790218e-55,1.5072038239167626e-69,5.301843742496822e-71
1.9533997335799792e-20,0.7615250982829642,1.6308397141181022e-24,4.148953468239432e-25,2.942549300627659e-34,1.5752233193602203e-23,0.0,0.0,1.2492061049468346e-19,1.7578487931030138e-35,5.427432801421045e-48,4.2724340621575163e-48,3.239816927370252e-51,3.3513781006980178e-59,4.2932065242761035e-40,1.0614953199348649e-34,1.2013534787423896e-35,2.804832600928839e-34,7.801064580645609e-79,1.5068866268335427e-55,9.720617258037005e-82,5.850061754173866e-81,8.772592008438436e-23,1.562533886084801e-82,3.1260989976989013e-52,1.5449263299734382e-85,1.8083765305583144e-87,2.3542524862559546e-70,3.221965894207441e-84,1.1553507903163755e-84,8.953623033063492e-54,5.073288628680679e-100,5.245933159617831e-101,9.608817799008351e-101,3.76,0.0,0.6646653434698613,0.9999999999999397,1.7600284978261958e-47,1.1294270410075146e-49,1.1746944675915047e-15,7.298899921922652e-16,2.0832867543750509e-16,2.364757999617336e-16,6.024724417525683e-14,5.924983831396723e-32,9.520790847295578e-50,7.917845403451587e-31,2.5513275989637375e-39,1.556688323325756e-33,3.632675523960697e-82,3.679776522220977e-80,3.976525425779292e-36,3.5811246294014174e-82,1.3266186086281482e-37,1.2611878249341547e-98,3.1033560667984025e-80,1.9286997972081395e-83,3.497371445284589e-82,1.955698022195688e-80,8.446069051194724e-100,7.417242784905062e-99,7.508855339821375e-67,5.912894266809979e-39,2.804832600928823e-34,2.2152705004994624e-39,9.564764551630079e-20,2.927459581798391e-20,4.971451433350531e-32,4.0705449384191004e-46,3.0311059775692393e-32,3.9923144182474237e-23,1.5944255715713861e-21,5.736946963954185e-34,6.009580978819495e-33,2.6222000749032834e-46,6.255045841652256e-33,2.0200497034048686e-38,6.652545690822886e-19,1.7844974963829536e-43,9.17709905029932e-34,4.8763425951367686e-55,4.316183164925322e-61,3.3144123573617675e-65,4.0322855687041487e-35,1.9279005375218553e-34,9.582517085145913e-49,1.6343487157452095e-21,2.025323498849807e-65,1.019301144615542e-46,1.6488739218500273e-37,6.65254569082282e-19,1.854942446485792e-52,6.317801252432091e-35,8.772592008396317e-23,9.667035219402998e-37,3.6260961609863574e-66,2.810666183507962e-34,7.580545772925255e-46,1.4124161656578334e-51,1.5004140241658626e-64,1.9006959753723846e-50,6.036096704525028e-50,1.5752233193583368e-23,6.717759936595719e-52,1.9193640543159997e-51,2.913328438906564e-56,6.993590425706306e-60,9.818438382636597e-48,5.613748650878596e-52,1.6332966661861648e-54,2.4432426232603996e-68,8.594517400444069e-70
3.9204596051570216e-20,0.7615250982829643,3.273083985402348e-24,8.326920597198316e-25,1.1831861319828366e-33,3.161462186408304e-23,0.0,0.0,2.5071479169211675e-19,7.068232684068285e-35,4.368470096844606e-47,3.438826628307858e-47,2.6077007662406163e-50,2.6974806587265825e-58,1.726279461190622e-39,4.268225995210753e-34,4.830589500621127e-35,1.127810852763176e-33,2.527981363292344e-77,1.2128734534983448e-54,3.150023828856253e-80,1.8957473000014748e-79,1.7606530814223556e-22,5.062616901232317e-81,2.5161564378327443e-51,5.00642583292298e-84,5.8600877719071495e-86,3.8021240539024975e-69,1.044097188424705e-82,3.7439829125725125e-83,7.206654764850661e-53,3.293124180821797e-98,3.4017744748257676e-99,6.23720533201357e-99,3.76,0.0,0.6646653434698601,0.9999999999998791,1.4166240540728429e-46,9.090611405423764e-49,2.3576035818095207e-15,1.464884110208229e-15,4.1811419475945194e-16,4.746052768418361e-16,1.2091579774628965e-13,2.3824099395847327e-31,7.663160764003282e-49,3.1837308126471735e-30,1.0258776063763323e-38,6.259375282524744e-33,1.1771901066415715e-80,1.1924534651690906e-78,1.5989433843499174e-35,1.1604847327176045e-80,5.3342750785898055e-37,8.175554535649976e-97,1.0056609886957654e-78,6.250066390337414e-82,1.1333440153239659e-80,6.337555743695789e-79,5.475100280423842e-98,4.808171447043939e-97,1.2092797491986228e-65,2.377548813972008e-38,1.1278108527631634e-33,8.907505252388089e-39,1.9196415568651384e-19,5.875390908913441e-20,1.998998756110137e-31,3.276328766783661e-45,1.2187943822911154e-31,8.012547120173965e-23,3.2000009723171445e-21,2.306801142178403e-33,2.4164260804666596e-32,2.110575645794842e-45,2.515126422234417e-32,8.122531012366834e-38,1.3351612680183088e-18,7.175730427380647e-43,3.6900711657773906e-33,3.924904753025034e-54,6.951083098240989e-60,5.3377613593666654e-64,1.6213642925296696e-34,7.752003269231367e-34,7.71284400273512e-48,3.2801264434841e-21,3.261722545818246e-64,8.204222383671785e-46,6.630049521610328e-37,1.3351612680182823e-18,1.493019057682693e-51,2.5403600968878443e-34,1.7606530814054196e-22,3.887072344785801e-36,5.839716561137739e-65,1.1301565106257405e-33,6.101482618614672e-45,1.136835407560746e-50,2.423164908558822e-63,9.12437913490285e-50,4.858375756238029e-49,3.161462186400729e-23,5.407044917343053e-51,1.5480366435448112e-50,2.3497049285909545e-55,5.629050013176403e-59,3.9479603927220167e-47,4.5184332993082433e-51,1.314619250718432e-53,3.934767143889367e-67,1.3841205497692574e-68
7.854579348311106e-20,0.7615250982829648,6.5575727797686194e-24,1.668285485542432e-24,4.7451055822023733e-33,6.33393992050456e-23,0.0,0.0,5.023031540869526e-19,2.834677440744616e-34,3.5054221370223156e-46,2.7594418022419352e-46,2.092521340945159e-49,2.1645583471972293e-57,6.923152736633822e-39,1.7117495251633325e-33,1.937282443179973e-34,4.523025945566647e-33,8.140502781336002e-76,9.732545624090439e-54,1.0143578643057349e-78,6.1046083671974145e-78,3.5274408426049307e-22,1.6301050230516786e-79,2.019057079392859e-50,1.612149008840513e-82,1.8870314355721203e-84,6.111803371578608e-68,3.3621592779212776e-81,1.205622148493348e-81,5.782886589916861e-52,2.1225079938299695e-96,2.1914384741856124e-97,4.0200554000631385e-97,3.76,0.0,0.6646653434698577,0.9999999999997577,1.1367515875315658e-45,7.294643146266246e-48,4.723421810245546e-15,2.9348723462527177e-15,8.376852334041384e-16,9.508642305886737e-16,2.4225290487615985e-13,9.55452941666944e-31,6.149203904130473e-48,1.2768184516069508e-29,4.114228036378137e-38,2.5102894457518615e-32,3.790739713754331e-79,3.839890159830995e-77,6.412478116457646e-35,3.7369457480911335e-79,2.139282887880502e-36,5.2658486852137225e-95,3.238388622645205e-77,2.012620964556037e-80,3.64954831348846e-79,2.0407939301977334e-77,3.526494684506237e-96,3.096927943203778e-95,1.941163208456749e-64,9.535034410590361e-38,4.5230259455665485e-33,3.572308004932211e-38,3.8459717602679576e-19,1.1771253563111625e-19,8.016879086028536e-31,2.629047527716293e-44,4.887910592089571e-31,1.605301252713996e-22,6.411151773816321e-21,9.251304322017421e-33,9.690949355496318e-32,1.693604395773058e-44,1.008678187092331e-31,3.257498225029377e-37,2.6749746658903776e-18,2.8780651477285186e-42,1.4798835799434358e-32,3.149488882822042e-53,1.1158030341937978e-58,8.568291065319616e-63,6.502395985867201e-34,3.1089000277837875e-33,6.189071811232466e-47,6.571681898948222e-21,5.235788238573651e-63,6.583371778780215e-45,2.6589463959512094e-36,2.674974665890271e-18,1.198053767384838e-50,1.0187980192217566e-33,3.5274408425370097e-22,1.558889864002869e-35,9.374038766611039e-64,4.5324330824321367e-33,4.896055363718002e-44,9.122388191903758e-50,3.895160587307949e-62,4.8477941899861435e-49,3.8985405743886027e-48,6.333939920474179e-23,4.33881593587155e-50,1.2434672179408616e-49,1.8874107811476318e-54,4.516958146358221e-58,1.5833163158965316e-46,3.625758161683224e-50,1.054899157151031e-52,6.316172862428923e-66,2.2218200334510257e-67
