Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195),S(2224),S(2641),S(2826),C2FO(289),S(1665),C2FO(7367),S(3464),S(6251),S(5206)
0.0,0.4526632138076087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6354648228986396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4697224556041553e-20,0.4526632138076087,7.135403158047904e-31,3.1671321377902603e-35,5.437862887100106e-39,1.4451097553027648e-33,0.0,0.0,5.476475660925598e-24,9.324983217360982e-42,2.772963482411171e-56,1.9196514671065682e-56,5.3981000592580045e-62,6.9488125069217e-76,1.0305509097599693e-53,2.645453148963112e-43,7.654371242257886e-49,1.2290858564634725e-41,5.636232667405518e-96,6.004586936179445e-79,1.8942213298079866e-99,9.411989343641129e-99,1.2165523648862511e-31,2.1611092858210166e-96,1.5603724106584156e-67,5.130596570248082e-106,7.85489592673807e-114,5.4233989709221904e-92,2.5770006462966283e-109,2.7085041642158762e-107,5.3147192100017445e-67,2.9190403664232513e-121,2.0974685622133815e-120,4.229325437124217e-123,3.76,0.0,0.6354648228986396,0.9999999999999993,1.3124286566103286e-52,3.257575507277266e-64,2.173347157474286e-21,1.3502836783186946e-21,6.945293731711752e-22,1.2853410598441615e-22,5.338539125732439e-16,1.9331380562815317e-44,2.5395758287167787e-68,2.301583789836014e-40,3.2006779916541402e-46,5.4620694144896584e-39,1.200119499707734e-106,8.449787525173766e-106,1.2725213973566949e-46,1.2244847248952891e-107,3.1586177275330424e-50,1.1960558190557837e-122,5.414784188298833e-106,5.4258426575989e-109,1.776828811580542e-107,5.186759328671253e-106,1.4450067244488131e-123,2.0483980814102773e-122,1.8133582506220817e-81,1.9753958834541503e-45,1.2290858564634715e-41,6.644061627783343e-50,4.2214903493132536e-24,1.2549860251524372e-24,3.0307816980436967e-38,1.431148976920788e-53,5.186878949977287e-38,4.2828703954747344e-33,2.0128068514729864e-30,1.4362836213057646e-44,4.910841998225208e-43,8.359212110451097e-56,1.6184195560684924e-41,1.9585523877092373e-46,1.153754067738256e-24,4.90975117379195e-51,3.800446118471019e-41,1.990839602240534e-73,6.035872131952846e-70,1.8065068843885085e-74,4.4660615409823477e-38,6.823964836374728e-45,8.59926852974397e-62,2.0170897218631863e-30,1.941823869174138e-74,4.662888343275875e-55,9.163899110482998e-49,1.1537540677382525e-24,1.8233063918860455e-62,4.4070550254082437e-38,1.2165523648888956e-31,4.976351992861913e-47,2.0964994387409418e-78,8.873912932997606e-39,5.900065245293273e-52,3.2457459475433007e-61,4.6409520008722415e-81,6.437462737942571e-62,1.1025316516234563e-60,1.4451097552949552e-33,1.4830063974159354e-66,2.9708448813192232e-64,1.5907100337997658e-73,8.433195270772011e-77,5.9681164154377486e-61,3.43981700106519e-60,2.9013443187236537e-72,1.0579897618186145e-85,1.030275205146269e-90,1.802468730772882e-117,2.3615176660193327e-101,1.0741119237924932e-81
4.1152228756916353e-20,0.4526632138076087,1.997912884748628e-30,8.867969986229523e-35,3.2844691838083707e-38,4.046307314872976e-33,0.0,0.0,1.5334131850591835e-23,5.632289863286084e-41,3.2920622463114685e-55,2.2790102230653714e-55,6.408624430503936e-61,8.249630208188439e-75,6.224527494935732e-53,1.5978537019673763e-42,4.6232402303299986e-48,7.423678573172695e-41,2.692495999293388e-94,7.128645610835623e-78,9.048922599007754e-98,4.4962202533052687e-97,3.406346621672945e-31,1.3142763737345254e-94,1.8524741259369927e-66,2.4509672523651502e-104,3.753613945666029e-112,1.7052034134060184e-90,1.2312062668640661e-107,1.293884941361674e-105,6.309634646693083e-66,2.2524623393721474e-119,1.6185008877413878e-118,3.2635372915114144e-121,3.76,0.0,0.6354648228986396,0.9999999999999984,1.5581153011277425e-51,3.8673936422443477e-63,6.0853720409280004e-21,3.780794299292995e-21,1.9446822448792918e-21,3.5989549675571364e-22,1.4947909551347018e-15,1.1676153859942112e-43,3.0149844238529485e-67,1.390156608975483e-39,1.9332095069239972e-45,3.2990899263518804e-38,5.73311486448382e-105,4.03656489821934e-104,7.686029240230004e-46,5.849510469312333e-106,1.907805107399763e-49,1.0404269495584427e-120,2.5867073841559363e-104,2.5919901476821424e-107,8.488124452743065e-106,2.477777172420115e-104,1.2569847613924606e-121,1.7818638003954145e-120,4.056423957133882e-80,1.193139113675261e-44,7.423678573172685e-41,4.0130132233566854e-49,1.1820172978076834e-23,3.513960870426539e-24,1.8305921456182677e-37,1.6990600654014114e-52,3.132874885786179e-37,1.1992037107957137e-32,5.635859184127399e-30,8.675153072672383e-44,2.9661485669230593e-42,9.924057061051904e-55,9.77525411865337e-41,1.1829656421764571e-45,3.2305113896670987e-24,3.0101645936752433e-50,2.2954694555564782e-40,2.3635247757796966e-72,1.3502005100747153e-68,4.041083812609251e-73,2.697501170752739e-37,4.12167476116999e-44,1.0209051730762232e-60,5.647851221203498e-30,4.343782507602436e-73,5.535781040984515e-54,5.534995080115487e-48,3.230511389667078e-24,2.164629354672551e-61,2.661861235346248e-37,3.4063466216889167e-31,3.0057166038337178e-46,4.689785442460347e-77,5.359843411530136e-38,7.004556882085826e-51,3.853349588967071e-60,1.4591856623857666e-79,7.639295481644998e-61,1.3089255767302672e-59,4.046307314825805e-33,1.7606315944158878e-65,4.48954078464958e-63,2.40388100948244e-72,1.0011890887385001e-75,4.0778172031229865e-60,4.083750743587779e-59,3.4444759755711007e-71,2.3666871290523234e-84,2.3046900838906104e-89,1.5679343945502386e-115,1.128125327268223e-99,3.377179677485926e-80
9.406223715866595e-20,0.4526632138076087,4.566658024617163e-30,2.0269645684775234e-34,1.5813305275685708e-37,9.248702434114334e-33,0.0,0.0,3.5049444229924934e-23,2.711705119608647e-40,3.2321662350765225e-54,2.237545754140419e-54,6.292025486395695e-60,8.099535857978023e-74,2.9968420455602645e-52,7.692977757089568e-42,2.225891157257947e-47,3.5741816707919507e-40,1.401977078489382e-92,6.998946533418505e-77,4.7117552368682654e-96,2.3411725642261214e-95,7.785935135212096e-31,5.934365420133456e-93,1.8187700818736772e-65,1.276236269613262e-102,1.9539754381033176e-110,3.804215034518663e-89,6.410407146751766e-106,6.737232064324824e-104,6.194836712913939e-65,2.454843640761437e-117,1.7639214373613347e-116,3.5567626003205004e-119,3.76,0.0,0.6354648228986396,0.9999999999999966,1.5297668421448738e-50,3.7970300112971896e-62,1.390942180783543e-20,8.6418155412442e-21,4.444987988295529e-21,8.226182782957021e-22,3.4166650399760925e-15,5.621565467669187e-43,2.9601295859534825e-66,6.693005659561088e-39,9.307571599199559e-45,1.5883697857337787e-37,2.985221023999594e-103,2.101830973826056e-102,3.700492223801063e-45,3.0458279744434084e-104,9.185260351192296e-49,1.0814449049754e-118,1.3468931721225153e-102,1.349643896184252e-105,4.419748805251754e-104,1.2901734367150714e-102,1.3065403258266948e-119,1.8521122784486037e-118,8.014823753342061e-79,5.74445123008847e-44,3.5741816707919414e-40,1.932093121622715e-48,2.7017538235602893e-23,8.0319105609736e-24,8.813513177909193e-37,1.668147247500186e-51,1.5083443986532407e-36,2.7410370535433463e-32,1.2881963849448376e-29,4.176712770735508e-43,1.4280728530764407e-41,9.743498265720697e-54,4.70636406904669e-40,5.695470343459582e-45,7.384026033524715e-24,1.494767968396022e-49,1.1051697312513466e-39,2.320522640370741e-71,2.6677687352351944e-67,7.984500799083012e-72,1.2987306961167679e-36,1.984408974417251e-43,1.0023307585809587e-59,1.2909374219830429e-29,8.582582422820431e-72,5.4350626524492825e-53,2.664861887399416e-47,7.384026033524614e-24,2.1252459496778836e-60,1.281571601388219e-36,7.785935135288992e-31,1.4471231597377815e-45,9.266225793327516e-76,2.5805338809150767e-37,6.877114260822468e-50,3.783241476586954e-59,3.255361050059538e-78,7.498616157865682e-60,1.2851108928932904e-58,9.248702433887228e-33,1.7286013439352202e-64,4.829643106662939e-62,2.5859855088650997e-71,9.829736939560526e-75,2.4451405868592936e-59,4.00945069620346e-58,3.3818069390476e-70,4.676181070006023e-83,4.553684690388413e-88,1.6297488792604572e-113,5.874125190601083e-98,7.534302048694058e-79
1.9988225396216513e-19,0.4526632138076087,9.704148312277672e-30,4.307299708853535e-34,6.906085866615683e-37,1.965349267300079e-32,0.0,0.0,7.448006898859369e-23,1.1842728686049206e-39,2.858814431780544e-53,1.9790838850982943e-53,5.565225295440666e-59,7.163947741947173e-73,1.3087996553727091e-51,3.359725499084818e-41,9.721051477764168e-47,1.5609390379095435e-39,5.594922479253627e-91,6.190488948981404e-76,1.8803378269342697e-94,9.343005123525948e-94,1.6545112162153463e-30,2.2408802053149074e-91,1.608681540513808e-64,5.093306526407062e-101,7.797060594073666e-109,7.124873821720193e-88,2.5581609907724214e-104,2.688652458070436e-102,5.4792629203398786e-64,2.0082145195907362e-115,1.442997256353233e-114,2.909652651940406e-117,3.76,0.0,0.6354648228986396,0.9999999999999927,1.3530614478187197e-49,3.358430045013668e-61,2.9557521341650287e-20,1.8363858025157016e-20,9.445599475128017e-21,1.7480638413652535e-21,7.260413208532771e-15,2.4550853314801197e-42,2.618201096376381e-65,2.92301141176696e-38,4.064861048850461e-44,6.936828156403767e-37,1.1913233458309086e-101,8.387855665906431e-101,1.6161021749377967e-44,1.215509989022705e-102,4.0114445134676335e-48,8.6566285258277e-117,5.375097077660225e-101,5.386074495669017e-104,1.763805725914415e-102,5.148743503178826e-101,1.0458447027591507e-117,1.482558002325093e-116,1.4261961658165488e-77,2.5087527730097883e-43,1.5609390379095353e-39,8.4379582700058e-48,5.741226875065055e-23,1.706780994206314e-23,3.849092756513552e-36,1.4754573492472188e-50,6.587336266469551e-36,5.824703740043223e-32,2.7374173180138936e-29,1.824080199035943e-42,6.23676933766903e-41,8.618013951552797e-53,2.055392836206481e-39,2.487361532391867e-44,1.5691055321239666e-23,6.927844703640702e-49,4.826566570457929e-39,2.052475996324162e-70,4.7471519710883865e-66,1.4207992696286973e-70,5.671898157038291e-36,8.666435342190525e-43,8.865502071769276e-59,2.7432420216869516e-29,1.527224699711066e-70,4.807251365390231e-52,1.1638152139691517e-46,1.5691055321239222e-23,1.879755998296058e-59,5.596959882263314e-36,1.654511216248928e-30,6.319967033121826e-45,1.648875375014833e-74,1.1269869424900474e-36,6.082727508196971e-49,3.346234242349302e-58,6.0969295594572516e-77,6.631713185526039e-59,1.1366660310557956e-57,1.9653492672008956e-32,1.528929426487747e-63,4.439274089257487e-61,2.376966234921041e-70,8.694296513430131e-74,1.4912168644301122e-58,3.546313734918104e-57,2.9911699411982317e-69,8.321019336306146e-82,8.1030430332922e-87,1.3045630480733106e-111,2.3442091621975803e-96,1.411091387501362e-77
4.115222875691635e-19,0.4526632138076087,1.9979128919292442e-29,8.867969992273042e-34,2.8831549027391672e-36,4.046307315238868e-32,0.0,0.0,1.5334131850594127e-22,4.944106101845471e-39,2.4030057863581983e-52,1.6635392625197e-52,4.677907194714316e-58,6.021729737155658e-72,5.46398092334529e-51,1.402619259491741e-40,4.0583476327321195e-46,6.516613212770113e-39,1.988523077628981e-89,5.203478967769637e-75,6.683015142182227e-93,3.320650354386362e-92,3.4063466215488425e-30,7.774932353856344e-90,1.3521937651567907e-63,1.8103707422773185e-99,2.77108562888099e-107,1.230644798073625e-86,9.092009276916258e-103,9.55589194267906e-101,4.605650638365912e-63,1.4453265747425555e-113,1.0385356050038015e-112,2.0940981475355267e-115,3.76,0.0,0.6354648228986396,0.999999999999985,1.137329674959523e-48,2.822962813454783e-60,6.085372040928e-20,3.780794299302429e-20,1.944682244879306e-20,3.598954967462652e-21,1.494790954114172e-14,1.024949797442785e-41,2.2007557799572925e-64,1.2202997241787545e-37,1.6969994706789328e-43,2.8959892035641188e-36,4.234149760927992e-100,2.9811752773979364e-99,6.746908451427238e-44,4.3201128808814095e-101,1.6746991186844457e-47,6.163096516185664e-115,1.910393688179127e-99,1.914295234734702e-102,6.26884180624808e-101,1.829944082616255e-99,7.445903242444049e-116,1.0555088540832061e-114,2.4054891721432445e-76,1.0473548983220034e-42,6.516613212770049e-39,3.522681477499587e-47,1.1820172978072816e-22,3.513960870422393e-23,1.6069204563010188e-35,1.2402108050161379e-49,2.7500832192765134e-35,1.199203711706142e-31,5.635859184171445e-29,7.615175759961763e-42,2.60372842738972e-40,7.243960031081399e-52,8.58086048627061e-39,1.0384244759644508e-43,3.2305113896668445e-23,3.226364713975589e-48,2.0149965320130956e-38,1.725229745864853e-69,8.00676569353723e-65,2.396385647267478e-69,2.367905829020479e-35,3.618066156241038e-42,7.451988686063593e-58,5.647851221008858e-29,2.5758876902474836e-69,4.0407844302669515e-51,4.8586995508090325e-46,3.2305113896666594e-23,1.5800482198130252e-58,2.33662057446681e-35,3.406346621689042e-30,2.6384618285755704e-44,2.7810693276170404e-73,4.704948637069495e-36,5.112895324096178e-48,2.8127115066927057e-57,1.0530928444072316e-75,5.574054194215637e-58,9.554362878798296e-57,4.046307314824797e-32,1.2851577492507526e-62,3.79789244613955e-60,2.0335447025718783e-69,7.308089357204709e-73,9.763690076132748e-58,2.980890375143817e-56,2.5142585693640822e-68,1.4034619312143595e-80,1.3666969984152652e-85,9.287851439030616e-110,8.331686521300152e-95,2.437309456210651e-76
8.348023547831602e-19,0.4526632138076087,4.0529090260097015e-29,1.7989310569781992e-33,1.1778628527963236e-35,8.208223411762434e-32,0.0,0.0,3.110638175406769e-22,2.0198286648138312e-38,1.9701293270773138e-51,1.3638700079074798e-51,3.8352309484737907e-57,4.9369778558053355e-71,2.2322144924054013e-50,5.7301573380307484e-40,1.6579674286316773e-45,2.6622491300556545e-38,6.697893381137094e-88,4.266126440719153e-74,2.2510235560601448e-91,1.1184864930084516e-90,6.910017431996734e-30,2.589421245548356e-88,1.1086101448158478e-62,6.098701877131074e-98,9.333605124111153e-106,2.044734832381551e-85,3.062424307843271e-101,3.218687584280876e-99,3.7759906607004984e-62,9.796894146390035e-112,7.039532496207246e-111,1.4194479129684443e-113,3.76,0.0,0.6354648228986396,0.9999999999999697,9.324515820960806e-48,2.314435470749211e-59,1.2344611854453943e-19,7.669611292892539e-20,3.9449268396123405e-20,7.30073721949064e-21,3.0322902188342e-14,4.1872543554476654e-41,1.804312552476779e-63,4.9853225420415925e-37,6.932796552838875e-43,1.1831060834575554e-35,1.4261782520678851e-98,1.004141937730002e-97,2.7563322497628333e-43,1.4551329996157895e-99,6.841692338688158e-47,4.155116434478946e-113,6.434732081713342e-98,6.447873566804794e-101,2.1115185716795163e-99,6.163755653902505e-98,5.019975725003673e-114,7.116166640121136e-113,3.951023891948948e-75,4.278786507115524e-42,2.6622491300556076e-38,1.4391303268977485e-46,2.3978065184081244e-22,7.128320622847231e-23,6.564794389215758e-35,1.0167997483319083e-48,1.1234987280796579e-34,2.4326703887171576e-31,1.1432742916564313e-28,3.111047774922619e-41,1.0637080201249118e-39,5.939036107130648e-51,3.5055614952227563e-38,4.242302813882257e-43,6.553323104752151e-23,1.591126806493432e-47,8.231918310450944e-38,1.414447579648112e-68,1.3151136722937802e-63,3.936070629677505e-68,9.673667940158608e-35,1.4780980794140112e-41,6.109590557077618e-57,1.1457069619309027e-28,4.230903271214835e-68,3.3128792082587577e-50,1.984937408181398e-45,6.553323104751393e-23,1.295419057789054e-57,9.545857467195973e-35,6.91001743256949e-30,1.0778977487180567e-43,4.567914722332241e-72,1.9221250369340735e-35,4.1918544954235256e-47,2.3060308304841484e-56,1.7497294132386374e-74,4.5698245575693614e-57,7.833243930315239e-56,8.208223410070821e-32,1.0536501442224171e-61,3.140170918506674e-59,1.6813741591751123e-68,5.991628388271747e-72,6.880205505678096e-57,2.443914026555093e-55,2.0613410840035843e-67,2.30519075412114e-79,2.2448042068331795e-84,6.261804279568239e-108,2.806341482690109e-93,4.049626112850008e-75
1.6813624892111538e-18,0.4526632138076087,8.162901344880627e-29,3.6231991767479634e-33,4.7611099750656085e-35,1.653205560739352e-31,0.0,0.0,6.265088156103101e-22,8.164470405998682e-38,1.5954618080001784e-50,1.1044973152867321e-50,3.1058694606682544e-56,3.9980926669375064e-70,9.022967877977924e-50,2.3162212130519863e-39,6.701769433022242e-45,1.0761236647051691e-37,2.1983156729449216e-86,3.454819801705171e-73,7.388084702812447e-90,3.6709846624730584e-89,1.3917359052016097e-29,8.45237267469717e-87,8.977812379860561e-62,2.0022291459307904e-96,3.063355061726581e-104,3.33343414937391e-84,1.0051159838398835e-99,1.0564054935858258e-97,3.0578951453986778e-61,6.450715024037023e-110,4.635144300497059e-109,9.34628245591847e-112,3.76,0.0,0.6354648228986396,0.9999999999999389,7.551234666205451e-47,1.8742898500848962e-58,2.486309148150583e-19,1.5447245280139386e-19,7.94541602907851e-20,1.4704301722879362e-20,6.107288741067205e-14,1.6925551589173186e-40,1.4611790849642035e-62,2.0151470757195505e-36,2.8023472107775647e-42,4.782303951729399e-35,4.6808598267542443e-97,3.295694383522518e-96,1.1141535662472712e-42,4.7758922155896495e-98,2.7655214309259684e-46,2.728597000978852e-111,2.1119434996371487e-96,2.1162566677909865e-99,6.930215387870109e-98,2.023006322952013e-96,3.296535944915263e-112,4.673070232287435e-111,6.404780549900555e-74,1.7295539213053462e-41,1.0761236647051407e-37,5.8171948871375525e-46,4.829384959606971e-22,1.4357040127667634e-22,2.6535948541465786e-34,8.234307985111134e-48,4.541361490884656e-34,4.899603749168697e-31,2.302651038166111e-28,1.2575352519267539e-40,4.2996778893795514e-39,4.809585424064329e-50,1.4170040054734974e-37,1.7148066259610574e-42,1.3198946534920962e-22,8.639111244144223e-47,3.3274729981333995e-37,1.1454563220244913e-67,2.13185593707733e-62,6.380540112832308e-67,3.910251250025777e-34,5.974708764524488e-41,4.947704833835765e-56,2.30755064145348e-28,6.858476518438762e-67,2.6828554724722326e-49,8.023435226751926e-45,1.3198946534917905e-22,1.0490640437885552e-56,3.858588213353809e-34,1.3917359054331278e-29,4.357035048255866e-43,7.40478660485596e-71,7.769536720619552e-35,3.39466273443688e-46,1.867483555102778e-55,2.8525004679789295e-73,3.700713416460327e-56,6.343564012351289e-55,1.653205560055575e-31,8.532732741470371e-61,2.5535348402902522e-58,1.3672656633503815e-67,4.852200626839119e-71,5.118696507794928e-56,1.9791449401609764e-54,1.669327459751068e-66,3.7368138040804637e-78,3.638924580332676e-83,4.112024450366104e-106,9.21069374297978e-92,6.60191263544179e-74
3.374482758067141e-18,0.4526632138076087,1.638288618546252e-28,7.271735433359389e-33,1.914421380847747e-34,3.3179720008991512e-31,0.0,0.0,1.2573988117502236e-21,3.282897641608621e-37,1.2841664649269708e-49,8.889955641190063e-50,2.4998739516138522e-55,3.218012803766119e-69,3.6280956987048905e-49,9.313423624051159e-39,2.694752013813258e-44,4.3270459312499826e-37,7.123772668610546e-85,2.7807395441152986e-72,2.394152782805313e-88,1.1896044101472023e-87,2.7932042288549166e-29,2.73167205258035e-85,7.22612445622514e-61,6.492063587970072e-95,9.926940335655138e-103,5.3835060506298175e-83,3.257134403162289e-98,3.4233448244603096e-96,2.4612600586828925e-60,4.1872142507077726e-108,3.008711782583157e-107,6.066751828572682e-110,3.76,0.0,0.6354648228986396,0.9999999999998774,6.077890601919784e-46,1.508591531009527e-57,4.99000507356096e-19,3.100251325489957e-19,1.5946394408011254e-19,2.951143072698782e-20,1.225728575670501e-13,6.805689852792267e-40,1.1760840472971487e-61,8.102817728116306e-36,1.1268114868674246e-41,1.9229433856583126e-34,1.516860464069598e-95,1.067989363917846e-94,4.479962495121731e-42,1.5476562801073873e-96,1.112004002866649e-45,1.7687923344048483e-109,6.84387850418354e-95,6.857855589615456e-98,2.24577751640661e-96,6.555672295401808e-95,2.1369544438638084e-110,3.0292823658481806e-109,1.03147020670116e-72,6.9544602749093e-41,4.3270459312499116e-37,2.3390684861412193e-45,9.692541841993307e-22,2.8814479137191346e-22,1.0669988199131933e-33,6.627687434993003e-47,1.8260614818471448e-33,9.833470495789805e-31,4.621404531309894e-28,5.0564939390140865e-40,1.7288815684517894e-38,3.871172775288249e-49,5.697710783895746e-37,6.895162023082681e-42,2.6490193395251393e-22,5.249034816462369e-46,1.3379622577908468e-36,9.219629004058775e-67,3.433288266691524e-61,1.0275663151079772e-65,1.5722948297017618e-33,2.402404116477707e-40,3.982343287308772e-55,4.631237999948806e-28,1.1045364959972864e-65,2.1593954832604503e-48,3.2261887068886873e-44,2.64901933952391e-22,8.443781776293688e-56,1.5515213498888517e-33,2.793204229785841e-29,1.7519446355282905e-42,1.1925180529012393e-69,3.12409654368058e-34,2.7323042553291387e-45,1.5031132336548552e-54,4.606795792315567e-72,2.9786365968375582e-55,5.1058521738392056e-54,3.3179719981497147e-31,6.867885913839829e-60,2.0595183568456773e-57,1.102749484734906e-66,3.905512820489025e-70,3.9381059380318316e-55,1.592988027477944e-53,1.3436199775507794e-65,6.0180236359270875e-77,5.860376034330803e-82,2.6655886967634366e-104,2.9847800819579236e-90,1.0662106539799488e-72
6.760723295779115e-18,0.4526632138076087,3.2822856677986467e-28,1.4568808014869831e-32,7.67768598305976e-34,6.647504885353077e-31,0.0,0.0,2.5191788040326404e-21,1.3165887854723414e-36,1.030462713816891e-48,7.133630104848234e-49,2.0059914176328456e-54,2.5822526103931737e-68,1.455028645265172e-48,3.7350994242750194e-38,1.080716083467475e-43,1.7353389543882887e-36,2.293968307296546e-83,2.2313683675952194e-71,7.7095534307167075e-87,3.830715744922993e-86,5.596140874759264e-29,8.784665945038803e-84,5.798509792124245e-60,2.0929443424493344e-93,3.196625953939083e-101,8.653831944965403e-82,1.0488485837294448e-96,1.1023715796876434e-94,1.9750062161021689e-59,2.6987695878413306e-106,1.9391937925967184e-105,3.910180949420108e-108,3.76,0.0,0.6354648228986396,0.9999999999997544,4.877124435842776e-45,1.2105496960668876e-56,9.997396924381714e-19,6.211304920548592e-19,3.194835116587836e-19,5.912568872452872e-20,2.4557279672667787e-13,2.7293860229409843e-39,9.437333807867031e-61,3.2495922891131124e-35,4.5190180297405455e-41,7.711863033978531e-34,4.88453239121008e-94,3.4390959212869164e-93,1.7966653377757562e-41,4.983699859838937e-95,4.459633396985696e-45,1.1392735175786344e-107,2.203837926108861e-93,2.2083387751748647e-96,7.231761482739551e-95,2.111030935489388e-93,1.3764055507559028e-108,1.9511511258137404e-107,1.6557381505817127e-71,2.789049636839074e-40,1.735338954388483e-36,9.380710859328672e-45,1.9418855606720574e-21,5.772935715577036e-22,4.279142494698105e-33,5.3183017693603564e-46,7.323323268133513e-33,1.9701204091904144e-30,9.258911518095156e-28,2.0278802263034424e-39,6.933588349089508e-38,3.106372354333506e-48,2.2850368606751278e-36,2.765268364938076e-41,5.307268711588347e-22,3.529039179830052e-45,5.365827071981654e-36,7.39817164368728e-66,5.511188027020233e-60,1.649471506175607e-64,6.305605492963227e-33,9.634715008468056e-40,3.195579682442468e-54,9.278612714740147e-28,1.7730256804061288e-64,1.7327788747009651e-47,1.2938465201725814e-43,5.307268711583419e-22,6.775605811765965e-55,6.22229454783252e-33,5.596140878492689e-29,7.026081609461611e-42,1.9142555705447695e-68,1.2529024426356232e-33,2.1924769868070096e-44,1.206153709025609e-53,7.405289575958194e-71,2.390160701442829e-54,4.0971247806299744e-53,6.647504874326607e-31,5.51104602146214e-59,1.6543171456300031e-56,8.857886689244943e-66,3.1339916695990595e-69,3.0872085565881474e-54,1.2782725658279427e-52,1.0781704293795858e-64,9.660260892287018e-76,9.407201552583812e-81,1.7168972014686896e-102,9.61146744839985e-89,1.7139024863286477e-71
