Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68)
0.0,0.5751424048168108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7112175238934945,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1667675869763824e-21,0.5751424048168108,1.6296824125455484e-28,2.762286870497262e-31,8.062373652995968e-44,4.550626779316572e-43,0.0,0.0,6.571381466529934e-23,8.402610016555316e-41,7.391218124198729e-57,1.3068737768514173e-79,9.208644763205991e-60,2.929291504968422e-123,5.583572313422707e-90,7.88324623781996e-91,2.3397900050032916e-91,4.853385334555847e-40,-1.3756315531469802e-138,4.205331579391671e-82,-4.836176508871968e-123,-3.485041061915545e-144,9.982089587405794e-94,1.0206509817810287e-100,5.788876199710572e-65,1.1270261247725432e-128,2.366989667956436e-128,1.942962641923896e-147,7.082919671292733e-195,-5.2227204705321084e-158,1.8983917707601867e-63,-1.1627741408149302e-165,5.867829227874133e-138,-3.9199270842659796e-164,3.76,0.0,0.7112175238934945,0.9999999999999997,2.7557194855974433e-58,-2.2601269164862084e-127,1.5291021770020784e-19,9.825218734612114e-20,3.671413758780201e-20,1.7943892766284684e-20,4.0620187751166117e-16,2.8932899302111448e-40,4.617130961133695e-62,1.098186436777687e-37,9.531898038173202e-45,1.4696874416811014e-39,1.7751839620335171e-99,4.4910941459890744e-98,1.87856346067757e-43,5.180812958891793e-100,5.446352916861178e-46,1.3678563177695918e-116,2.9694429373547605e-98,2.9499966159995046e-101,6.828451667403089e-100,2.0213512858568735e-98,1.1511388358435115e-117,1.3335046100443564e-116,1.4979095077577283e-113,3.5993445897251416e-44,4.853385334555847e-40,5.404713007886954e-60,5.0485552368617647e-23,1.522842526492294e-23
3.2669492435338707e-21,0.5751424048168108,4.563110755129565e-28,7.7344032374009405e-31,4.869673686411433e-43,2.74857857470823e-42,0.0,0.0,1.8399868106283801e-22,5.075176449999408e-40,8.77485415705709e-56,2.9234243638682036e-78,1.0932503062898522e-58,1.7820316513204067e-121,1.7555644725193835e-88,1.938890467830204e-89,6.88190186486602e-90,2.931444742077724e-39,2.390782489459539e-136,1.3222235338660989e-80,2.50619797391112e-121,3.22573434402321e-142,3.138528679764058e-92,6.20911799993081e-99,6.87255382430909e-64,8.696638486690241e-127,1.826475268956018e-126,5.395094987985899e-145,1.0522470393610215e-191,1.549967595819786e-155,2.253770710250647e-62,4.0695116557920484e-163,6.252647120787897e-136,1.371813239184845e-161,3.76,0.0,0.7112175238934945,0.9999999999999988,3.2715902881796194e-57,1.5687859304478655e-125,4.2814860956058193e-19,2.7510612456915886e-19,1.0279958524584581e-19,5.0242899745577235e-20,1.1373652570284397e-15,1.747547117847634e-39,5.481457877058209e-61,6.633046078106474e-37,5.757266415044783e-44,8.876912147763085e-39,8.480266808728523e-98,2.1454495666685313e-96,1.1346523302517654e-42,2.4749365202350167e-98,3.289597161788188e-45,1.1898730422710216e-114,1.4185385244894495e-96,1.4092487834261376e-99,3.2620333029561404e-98,9.65623765469429e-97,1.0013544923430969e-115,1.1599911237904824e-114,1.3030039192566403e-111,2.1740041323502103e-43,2.931444742077724e-39,6.4196279319110325e-59,1.413595466321293e-22,4.2639590741784195e-23
7.467312556648848e-21,0.5751424048168108,1.0429967440305724e-27,1.7678635971242735e-30,2.3445382582940316e-42,1.32332226742679e-41,0.0,0.0,4.205684138579151e-22,2.4434789928142824e-39,8.615203845591511e-55,5.7761939038758644e-77,1.0733596336054888e-57,8.044944572210211e-120,3.916567764744095e-87,3.986039196186899e-88,1.5054486608071346e-88,1.4113644552976576e-38,6.216141376558843e-134,2.949807968640848e-79,2.630356723318185e-119,6.877464826800797e-140,7.001884834420213e-91,2.8030926672193603e-97,6.74751409842128e-63,9.478022037113036e-125,1.990582093839396e-124,1.2583452433106672e-142,1.2201849747659472e-188,3.9242515971414015e-153,2.212765448010708e-61,2.184113820823398e-160,1.422955348931075e-133,7.362895032880514e-159,3.76,0.0,0.7112175238934945,0.9999999999999973,3.2120667955415487e-56,1.6071095500943022e-123,9.7862539328133e-19,6.288139990153132e-19,2.3497048056193406e-19,1.1484091370408283e-19,2.599692016045151e-15,8.413687117055551e-39,5.381727848298324e-60,3.1935261581033796e-36,2.7718759494829048e-43,4.273851080422248e-38,4.415657345905033e-96,1.1171311413844872e-94,5.4628625436873816e-42,1.288694315028731e-96,1.5837994282289968e-44,1.2367827839397872e-112,7.386300687652152e-95,7.337929198577312e-98,1.6985339779711568e-96,5.0279829273384e-95,1.0408320490906916e-113,1.2057227960084544e-112,1.3543737503968625e-109,1.0466894069217152e-42,1.4113644552976576e-38,6.30421024350978e-58,3.2310753515915244e-22,9.746192169550663e-23
1.5868039182878802e-20,0.5751424048168108,2.2163680810690534e-27,3.756710143906408e-30,1.023921453933386e-41,5.779296009747867e-41,0.0,0.0,8.937078794480679e-22,1.0671314721025217e-38,7.620050237376972e-54,1.0278428431130777e-75,9.493744405203849e-57,3.0376193772685684e-118,7.33529796848381e-86,7.219698534828674e-87,2.797924684199964e-87,6.163799374976241e-38,1.0890081359537648e-131,5.52466386369382e-78,2.1000607737336828e-117,1.1000191926285604e-137,1.3113755381584427e-89,1.0583944558817318e-95,5.9680998069340165e-62,7.753610519714077e-123,1.628419748393562e-122,2.122128342422932e-140,9.019648036231913e-186,6.814598068940977e-151,1.9571659800092128e-60,7.924644052365754e-158,2.404730708414225e-131,2.6715591237572345e-156,3.76,0.0,0.7112175238934945,0.9999999999999944,2.841036725153404e-55,1.2730971321304798e-121,2.079578960722826e-18,1.336229747907937e-18,4.993122711941134e-19,2.440369416207759e-19,5.52434553401119e-15,3.674478211369748e-38,4.760077335692262e-59,1.3946967746599902e-35,1.2105510508294827e-42,1.8665030509489425e-37,1.7621729315729582e-94,4.4581771277386804e-93,2.3857755950984315e-41,5.1428407169501034e-95,6.916868204471938e-44,9.900059706175196e-111,2.9476787070385902e-93,2.9283749155828734e-96,6.77840322496007e-95,2.006535996979495e-93,8.331535305798823e-112,9.651434208578784e-111,1.0841338647089614e-107,4.571167631302016e-42,6.163799374976241e-38,5.576551210639736e-57,6.866035122131976e-22,2.0710658360295122e-22
3.266949243533871e-20,0.5751424048168108,4.563110755159014e-27,7.734403237525782e-30,4.274670510844548e-41,2.412742318407886e-40,0.0,0.0,1.8399868106283675e-21,4.455063830777598e-38,6.405111367036485e-53,1.7336071875918673e-74,7.980064213711109e-56,1.0538922304439235e-116,1.2669903081022654e-84,1.2280236968815696e-85,4.816006015091297e-86,2.5732649044624516e-37,1.6181689062779814e-129,9.542482937665111e-77,1.4959005530745213e-115,1.5683947655115688e-135,2.2650751262155483e-88,3.672062041245484e-94,5.016547492795215e-61,5.580329805041151e-121,1.171985519697209e-120,3.0999109727650336e-138,5.501969560585361e-183,1.0086797596286414e-148,1.6451159343199315e-59,2.399644879737782e-155,3.5210547686201626e-129,8.089798533671472e-154,3.76,0.0,0.7112175238934945,0.9999999999999886,2.3880625607294662e-54,9.036626325007964e-120,4.281486095605819e-18,2.7510612456944457e-18,1.0279958524584835e-18,5.024289974528899e-19,1.1373652569673729e-14,1.5340223209993839e-37,4.001131816826471e-58,5.822584487366246e-35,5.053812339672569e-42,7.792282815918196e-37,6.2630385971426745e-93,1.5845059768579335e-91,9.960143468852347e-41,1.8278461400370006e-93,2.887656316571638e-43,7.048358758689645e-109,1.047651180142222e-91,1.0407903103415533e-94,2.4091506721891348e-93,7.13154320455395e-92,5.931646029184029e-110,6.871349553031627e-109,7.718503370573063e-106,1.9083725035788617e-41,2.5732649044624516e-37,4.687644834108536e-56,1.4135954663212837e-21,4.263959074178391e-22
6.627239894025851e-20,0.5751424048168108,9.25659610339093e-27,1.568978942498494e-29,1.7463423827556268e-40,9.856839629191433e-40,0.0,0.0,3.732544672988946e-21,1.8200389400259233e-37,5.251297279309633e-52,2.84745501136016e-73,6.542538777776738e-55,3.509907517382441e-115,2.1051233464351538e-83,2.0253754324370355e-84,7.988667477336429e-85,1.0512626770745244e-36,2.2277095365319925e-127,1.585497812085918e-75,1.0091895803396762e-113,2.11708648807434e-133,3.7634561996416713e-87,1.2229499745460691e-92,4.112868721754215e-60,3.7825292493340323e-119,7.944099471516492e-119,4.233006527778482e-136,3.068792752971654e-180,1.38610159095302e-146,1.3487654367153622e-58,6.670189926437632e-153,4.814744089564823e-127,2.2487010088827723e-151,3.76,0.0,0.7112175238934945,0.9999999999999769,1.9578779711149937e-53,6.086233618140907e-118,8.685300365371804e-18,5.5807242412725075e-18,2.0853630149872683e-18,1.0192131091120287e-18,2.3072266639920668e-14,6.2669817204467e-37,3.2803696016396333e-57,2.378715749154679e-34,2.0646472425190924e-41,3.18340178628456e-36,2.1095638894901288e-91,5.337052517681936e-90,4.069043598653228e-40,6.156689206163684e-92,1.1797018272474534e-42,4.75195402875488e-107,3.5287777075575944e-90,3.5056684086969356e-93,8.11468296714295e-92,2.4021001606116475e-90,3.9990741404420915e-108,4.632615663944989e-107,5.2037608250680005e-104,7.796324372925267e-41,1.0512626770745244e-36,3.843301014215015e-55,2.867579374537439e-21,8.649745550476098e-22
1.3347821195009815e-19,0.5751424048168108,1.8643566800062728e-26,3.160056180078491e-29,7.058995127315003e-40,3.9842921754762424e-39,0.0,0.0,7.517660397710011e-21,7.356888394774771e-37,4.2526366859971145e-51,4.615847278723882e-72,5.298317529347005e-54,1.1456964321885987e-113,3.431882360650429e-82,3.2899354048582234e-83,1.3013043195233419e-83,4.24937182346169e-36,2.9559551073233016e-125,2.584761592693921e-74,6.629963684680556e-112,2.782275654501355e-131,6.1353834539244175e-86,3.991912403473372e-91,3.330707724405226e-59,2.490587110973193e-117,5.230751813185503e-117,5.594480514407623e-134,1.639167045838084e-177,1.837589219089056e-144,1.0922652198248997e-57,1.7785934039121618e-150,6.367959661787174e-125,5.996137240686859e-149,3.76,0.0,0.7112175238934945,0.9999999999999535,1.5855403437008706e-52,3.995132940395236e-116,1.7492928904903776e-17,1.1240050232448806e-17,4.20009734004502e-18,2.052781332409951e-18,4.6469494776101976e-14,2.5332142118265035e-36,2.656528352737893e-56,9.61514938049018e-34,8.34563426236314e-41,1.2867819002758094e-35,6.923799915114727e-90,1.7516740758560602e-88,1.6447724811053243e-39,2.0206870444821077e-90,4.768543404010097e-42,3.1205304883401614e-105,1.1581801770365071e-88,1.1505954738734964e-91,2.663320202121897e-90,7.883933247899174e-89,2.626126579486892e-106,3.042162935884202e-105,3.417224622108395e-102,3.1513989714683868e-40,4.24937182346169e-36,3.112439337233791e-54,5.775547190969682e-21,1.7421318503071304e-21
2.6788983796977737e-19,0.5751424048168108,3.74175081942382e-26,6.342210655591144e-29,2.838390894179215e-39,1.6020663602459595e-38,0.0,0.0,1.5087891847151785e-20,2.958172466768201e-36,3.4228919761396974e-50,7.4336797442014e-71,4.264546891358364e-53,3.702719783028891e-112,5.542499180319806e-81,5.303728184263341e-82,2.1007719723247433e-82,1.7086537210273264e-35,3.851924074037147e-123,4.1743968764751054e-73,4.2988169534714826e-110,3.6084021136686396e-129,9.908660670431699e-85,1.2901171097188154e-89,2.6808433419563237e-58,1.616661382669106e-115,3.3953257053607534e-115,7.275866566091184e-132,8.571089803367416e-175,2.3935245474681005e-142,8.791500739500844e-57,4.6464561827143585e-148,8.284889903244857e-123,1.566453164170829e-146,3.76,0.0,0.7112175238934945,0.9999999999999067,1.2761808080366682e-51,2.58936391884347e-114,3.5108185983967715e-17,2.25587022148821e-17,8.429565990161243e-18,4.119917778924369e-18,9.32639510312143e-14,1.0185942930986618e-35,2.138205131034658e-55,3.866209275709616e-33,3.3557428309872775e-40,5.174093426639728e-35,2.243698537769601e-88,5.6764040125054275e-87,6.613557807767086e-39,6.548156538407534e-89,1.917410330082735e-41,2.0228602498325338e-103,3.7531517390926907e-87,3.728573058185794e-90,8.630647502426438e-89,2.5548354537182735e-87,1.7023666609561485e-104,1.972059077399747e-103,2.215189974891977e-100,1.2671636720461985e-39,1.7086537210273264e-35,2.5051757483554037e-53,1.1591482823833894e-20,3.4964464408260915e-21
5.367130900091358e-19,0.5751424048168108,7.496539098591667e-26,1.2706519608027084e-28,1.1383216987610198e-38,6.425002646604373e-38,0.0,0.0,3.0228354746033916e-20,1.186359466671303e-35,2.746655244996656e-49,1.1932702302645405e-69,3.422030309387371e-52,1.1907564850851957e-110,8.90940556017655e-80,8.517976223555712e-81,3.376260007087171e-81,6.852465637216394e-35,4.974639196127698e-121,6.710221061071349e-72,2.769188576222615e-108,4.649134242460576e-127,1.5927882646711757e-83,4.1488232837804706e-88,2.151207948836062e-57,1.0419807380463709e-113,2.1883766174497257e-113,9.387358464845656e-130,4.4347084552352903e-172,3.09048865003714e-140,7.054625675813408e-56,1.2015820550000788e-145,1.0691211409180146e-120,4.0508796566288194e-144,3.76,0.0,0.7112175238934945,0.9999999999998131,1.0240547276404098e-50,1.6676663761119465e-112,7.03387001420956e-17,4.5196006180071497e-17,1.6888503290396577e-17,8.254190671627509e-18,1.8685286347243782e-13,4.0850186927908403e-35,1.7157749582122372e-54,1.550522839015475e-32,1.3458029641105844e-39,2.0750428813516373e-34,7.2250667981590595e-87,1.8278925381317765e-85,2.6523324802906833e-38,2.108610743794334e-87,7.689673007533937e-41,1.3029178558406268e-101,1.2085746615684936e-85,1.2006599351669452e-88,2.7792060160929783e-87,8.226977241045581e-86,1.0964889538177803e-102,1.2701969819029768e-101,1.426796820834876e-98,5.081893125634118e-39,6.852465637216394e-35,2.0102512814134372e-52,2.3223354089561233e-20,7.005075621863689e-21
