Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208)
0.0,0.6097052609073709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7954598687028692,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.202210103250012e-22,0.6097052609073709,0.0,1.1684388112320872e-30,0.0,0.0,0.0,0.0,0.0,0.0,1.4431775025180581e-56,3.308418119293923e-79,0.0,9.14851479989155e-123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7954598687028692,0.9999999999999997,0.0,0.0,3.1053997781842376e-19,1.9931684643539883e-19,7.091589221586772e-20,4.030723916715718e-20,3.6400529829036687e-16,1.3432026540913955e-39,4.363990133781878e-61,2.896504221588849e-37,1.4843640778723903e-44,2.6848272159725878e-39,2.2146367151965022e-98,6.973742730728291e-97,5.861718738493549e-43,7.819446908731946e-99,2.5598190346546872e-45
2.0166188289100034e-21,0.6097052609073709,0.0,3.271628671451749e-30,0.0,0.0,0.0,0.0,0.0,0.0,1.7133403309905013e-55,7.400798996140114e-78,0.0,5.565488000318502e-121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7954598687028692,0.999999999999999,0.0,0.0,8.695119378915866e-19,5.580871700191486e-19,1.9856449820443001e-19,1.1286026966800792e-19,1.0192148352107104e-15,8.112944030712409e-39,5.180929086826059e-60,1.7494885498347475e-36,8.96555903033758e-44,1.6216356384485414e-38,1.0579585344916997e-96,3.331440587381537e-95,3.540478118055059e-42,3.735443621680496e-97,1.5461306969303003e-44
4.609414466080007e-21,0.6097052609073709,0.0,7.478008391898698e-30,0.0,0.0,0.0,0.0,0.0,0.0,1.6821676969382872e-54,1.46227316750971e-76,0.0,2.5125273192319825e-119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7954598687028692,0.9999999999999977,0.0,0.0,1.9874558580379122e-18,1.2756278171867751e-18,4.538617101815561e-19,2.5796633066958057e-19,2.32963390904213e-15,3.906033318098347e-38,5.086666899936821e-59,8.423034276306617e-36,4.316530738435306e-43,7.807477544064473e-38,5.5087681553565734e-95,1.7346742070546748e-93,1.704587809161221e-41,1.945037749447693e-95,7.443953752758032e-44
9.795005740420016e-21,0.6097052609073709,0.0,1.5890767832823097e-29,0.0,0.0,0.0,0.0,0.0,0.0,1.487858278002763e-53,2.602036972634523e-75,0.0,9.486825091498879e-118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7954598687028692,0.999999999999995,0.0,0.0,4.223343698330563e-18,2.7107091115225377e-18,9.644561341358147e-19,5.4817845267221045e-19,4.950472056667897e-15,1.7058673706966606e-37,4.499099268325161e-58,3.6785603613416214e-35,1.8851423788796884e-42,3.409730564301779e-37,2.1984047604276478e-93,6.922629391914303e-92,7.444382797961577e-41,7.76213506733132e-94,3.2509701739926703e-43
2.0166188289100034e-20,0.6097052609073709,0.0,3.271628671479389e-29,0.0,0.0,0.0,0.0,0.0,0.0,1.2506345328542977e-52,4.388715676089543e-74,0.0,3.291420331672642e-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7954598687028692,0.9999999999999898,0.0,0.0,8.695119378915864e-18,5.580871700196099e-18,1.9856449820443564e-18,1.128602696675409e-18,1.019214835177115e-14,7.121660471997875e-37,3.7817640260957686e-57,1.535726538217812e-34,7.870098340714955e-42,1.4234953899235412e-36,7.813474841165502e-92,2.4604109107322606e-90,3.1078832752163016e-40,2.7587843765401517e-92,1.3572160521568441e-42
4.0908553386460064e-20,0.6097052609073709,0.0,6.636732447922343e-29,0.0,0.0,0.0,0.0,0.0,0.0,1.0253457502005036e-51,7.208478676537769e-73,0.0,1.0961803928069086e-114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7954598687028692,0.9999999999999793,0.0,0.0,1.7638670740086468e-17,1.1321196877551366e-17,4.02802267786154e-18,2.28945118467356e-18,2.0675500941384532e-14,2.9094306768726113e-36,3.1005186331541796e-56,6.273944003549531e-34,3.2151919670953727e-41,5.8154431430109685e-36,2.6317935169214686e-90,8.287341567310595e-89,1.2696717256892895e-39,9.29234557570012e-91,5.5446704216782133e-42
8.239328358118012e-20,0.6097052609073709,0.0,1.3366940001003434e-28,0.0,0.0,0.0,0.0,0.0,0.0,8.303515724134514e-51,1.16852545693366e-71,0.0,3.578115374664795e-113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7954598687028692,0.9999999999999584,0.0,0.0,3.5525773462427676e-17,2.2801847232294486e-17,8.112778069496306e-18,4.6111481606368814e-18,4.1642206118238764e-14,1.1760383973881026e-35,2.510880375505905e-55,2.5360284777259345e-33,1.2996319995383571e-40,2.3506950993936715e-35,8.637809842811279e-89,2.7199884829973516e-87,5.132216118515948e-39,3.0498408620697832e-89,2.2412444360341016e-41
1.6536274397062024e-19,0.6097052609073709,0.0,2.6827355107946366e-28,0.0,0.0,0.0,0.0,0.0,0.0,6.683391844603664e-50,1.8818742248346952e-70,0.0,1.1563850602360802e-111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7954598687028692,0.9999999999999164,0.0,0.0,7.129997890711009e-17,4.576314794191104e-17,1.6282288852767434e-17,9.2545421124316e-18,8.357561646245714e-14,4.7287986718648484e-35,2.020974967868745e-54,1.0197258968397412e-32,5.225763109782698e-40,9.452041607757652e-35,2.799133647799985e-87,8.814284433227956e-86,2.0636415291389138e-38,9.883190686602401e-88,9.011945303290852e-41
3.313016647495005e-19,0.6097052609073709,0.0,5.374818532495521e-28,0.0,0.0,0.0,0.0,0.0,0.0,5.363001050425175e-49,3.020824903375838e-69,0.0,3.718761053745226e-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7954598687028691,0.9999999999998326,0.0,0.0,1.428483897964749e-16,9.168574936166546e-17,3.262131041931608e-17,1.8541330015493332e-17,1.6744243711293353e-13,1.896459768119824e-34,1.6217051351662344e-53,4.0895569283146113e-32,2.095764734614235e-39,3.790691437942874e-34,9.013656353643736e-86,2.838340031661415e-84,8.276125519605117e-38,3.1825448788827036e-86,3.614193135331043e-40
