Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(964),S(1465),S(335),S(923),S(304),S(220),CF2O(49),S(879),CFO(51),CH2F(46),CFO3(3228),C2H3F2(66),C2H3F2(64),F(37),CF2CH(73),C2HF2(72),S(234),C2H2F3(67),C2H2F3(68),S(133),S(3636),S(149),CHFCF2(55),CF2(43),CH2F2(41),C2F(235),S(3631),S(3559),S(3935),S(3617),C2H3F2(65),S(3632),S(4348),CHO2(339),S(215),CHF2(82),S(4704),S(2774),S(4610),CHF3(42),S(221),S(3742),S(2509),S(2711),S(5098),S(2834),S(2508),S(2715),S(195),C2HFO(286),S(1948),C2HF3(125),C2HF4(54),S(5101),S(9646),C2FO(289),S(1543),CF2CF2(61),S(4002),C2H2O(907),C2HF4(69),S(8445),CHF(40),CHFO2(314),CHFO2(441),CFO2(341),C2HF5(81),CF3(45),S(3645)
0.0,0.662970891749732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5871504815653121,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.228378686198338e-22,0.662970891749732,2.9477280191786837e-27,1.0208872882323905e-28,3.949767826229764e-38,4.0045091006450725e-27,0.0,0.0,3.718704189547838e-22,5.830686470404333e-40,4.7322447937412997e-54,4.4711269219229763e-54,6.528575882350578e-58,4.3203502896321976e-67,6.258727525710903e-46,2.6688876639068763e-39,3.0786062583077314e-41,7.856226965976459e-39,1.0034064268080969e-82,1.131825167074389e-64,2.2277462640468065e-92,1.2912008223979185e-91,5.995986902804175e-26,6.865865368197175e-93,1.1372948671616428e-59,3.75489538434432e-97,3.778912941509516e-100,1.949219110462016e-80,2.1956951544139373e-96,4.05782464083618e-97,5.882406935175861e-61,4.401447883656023e-113,3.3355621252704804e-114,6.4019645627287545e-114,3.76,0.0,0.5871504815653121,0.9999999999999996,5.954731348859125e-53,4.635078675364164e-57,2.100019158258229e-18,1.3321591994669226e-18,4.2000723619622405e-19,3.478527225950823e-19,5.590111965409398e-16,1.6092743785337017e-37,6.585594921658185e-58,8.007869279607203e-36,1.0370919367112387e-43,6.988045489183768e-38,1.616345302181728e-94,9.375647660527058e-93,2.693387874694071e-41,9.672529276980505e-95,3.4258239680428128e-43,3.460969873640173e-112,6.958366400810112e-93,5.597004826421627e-96,2.4654629122561393e-113,2.4421894222949464e-112,2.8277338064689327e-76,1.0989589296715143e-94,4.244992725009964e-93,2.9144888509914717e-43,7.856226965976457e-39,1.574528114996879e-44,8.178410091884166e-56,1.5401070882019136e-21,1.9028782377020818e-74,1.1904632352440625e-26,7.391289428453302e-25,7.510335751976706e-25,5.860413061806308e-38,4.38342706679946e-39,1.3052168212634416e-52,2.851165433808357e-22,8.675682330196395e-23,2.2150674786129567e-36,3.466518090499021e-48,3.0595825959710967e-52,5.76958328032212e-37,9.718183705696273e-38,2.7479478487328348e-28,3.7851519723550907e-63,3.0311541199856997e-43,1.211722024432616e-68,7.792886284651459e-73,7.905307618597615e-39,1.2025409665874719e-39,1.1557767763628244e-38,5.882194565836387e-73,1.3294340626520058e-46,7.886107103088584e-43,1.5401070882019136e-21,6.091564089166672e-59,4.1941691272665486e-38,1.8990295305230514e-51,5.995986902804144e-26,6.949590250039618e-42,1.6579047575855816e-58,2.251248791603579e-56,1.4379793540431876e-56,6.745369074843233e-74,1.5473508656107276e-58,1.8146948352941053e-53,6.337889874883363e-58,3.136948299575076e-64,1.0800564451018934e-60,1.0289394735365152e-67,4.004509100644996e-27,4.79035567491828e-56,5.142977369484787e-75,1.6712848510745058e-72,1.5563266524134905e-62,8.254134180842105e-78,1.2041010257913886e-72,8.147894781751521e-103,7.475478099246087e-120,1.7046117374250464e-56,1.2889795488530912e-72,2.7479478484721865e-28,3.9384958446275106e-49,4.7807484755223675e-48,2.04187763834554e-43,1.2718619829276104e-76,4.360687277216232e-45,3.4016676259021517e-48
1.1839460321355348e-21,0.662970891749732,8.253638455747181e-27,2.8584844070518424e-28,2.3856597670427855e-37,1.121262548180622e-26,0.0,0.0,1.0412371730733941e-21,3.521734628124216e-39,5.618121024497597e-53,5.308121881802457e-53,7.751193313612305e-57,5.129119863850368e-66,3.780271425528726e-45,1.6120081489996916e-38,1.8594781800182436e-40,4.745161087454144e-38,2.2451364500073533e-81,1.3437028383524958e-63,1.0642211239350166e-90,6.168221275350342e-90,1.6788763327851797e-25,3.528563114086483e-91,1.350196466294523e-58,1.7836554982238068e-95,1.8068033178248163e-98,6.128656758352319e-79,1.0489138415879057e-94,1.938472514314689e-95,6.983593513451711e-60,3.396778637125379e-111,2.6106944538151866e-112,4.9445935107982935e-112,3.76,0.0,0.5871504815653121,0.9999999999999984,7.06945705740254e-52,5.502765403393474e-56,5.880053643123042e-18,3.730045758507619e-18,1.1760202613494342e-18,9.73987623265989e-19,1.5652313503125936e-15,9.720017246344061e-37,7.818418290992951e-57,4.83675304487518e-35,6.2640352977310536e-43,4.2207794754678405e-37,7.72147546996963e-93,4.478859395205738e-91,1.6268062763166176e-40,4.620683305977485e-93,2.0691976766988903e-42,3.0106340112347895e-110,3.324095130063898e-91,2.6737563696429626e-94,2.1446608228539446e-111,2.1244156421692416e-110,6.327093868954848e-75,5.249858682123258e-93,2.0278839646501227e-91,1.760351266274101e-42,4.745161087454141e-38,9.510149814606985e-44,9.709426513884884e-55,4.3122998469653586e-21,4.256670063256583e-73,3.333297058693984e-26,2.0695610399670373e-24,2.102894010553372e-24,3.539689489330276e-37,2.6475899483463286e-38,1.5495651171966908e-51,7.98326321466337e-22,2.429191052454923e-22,1.3379007570821994e-35,2.093791426866223e-47,3.632337023590902e-51,3.484828301314515e-36,5.86978295824047e-37,7.694253977297803e-28,4.493732421581814e-62,1.8308170884713342e-42,2.7105932628980786e-67,1.7432500718630637e-71,4.774805801632378e-38,7.263347438188387e-39,6.980891729230759e-38,1.315832892338402e-71,8.029787951248778e-46,4.763208690359447e-42,4.312299846965358e-21,7.231904886788634e-58,2.533278152868857e-37,2.254527856592478e-50,1.678876332785161e-25,4.1975525110324924e-41,1.9682645282063268e-57,1.4064454578443954e-55,1.7071690891184226e-55,2.1202198381649457e-72,2.338356628110946e-57,1.0960769109537459e-52,7.524342859459884e-57,4.7405562703259285e-63,1.2825755452228856e-59,1.2215569430385953e-66,1.1212625481805757e-26,5.687110257362093e-55,1.617011519233301e-73,3.7385973605214085e-71,1.847671001753749e-61,1.84646332941827e-76,2.6935270568612925e-71,3.363064867326366e-101,6.050536490970129e-118,2.023716019063537e-55,2.8833970042459485e-71,7.694253975723487e-28,2.3788514901588188e-48,2.8875720792147324e-47,1.2332940935614141e-42,2.8451918296833634e-75,2.6338551154385895e-44,2.054607246044915e-47
2.7061623591669368e-21,0.662970891749732,1.886545933707164e-26,6.5336786446953385e-28,1.1485924838676275e-36,2.5628858244128583e-26,0.0,0.0,2.379970681310612e-21,1.6955636255935774e-38,5.515904539207376e-52,5.211545540489466e-52,7.610372646255776e-56,5.035800297592257e-65,1.82003796447574e-44,7.761125326640271e-38,8.952586999164488e-40,2.284590801712374e-37,4.436549437018337e-80,1.3192554147472478e-62,5.541377326650757e-89,3.21178002889583e-88,3.8374316177947454e-25,1.7571277358071768e-89,1.3256308971642937e-57,9.207175579346904e-94,9.401331145770868e-97,1.3672696090959996e-77,5.461659992054395e-93,1.0093582001578005e-93,6.856533523673952e-59,3.701997012952101e-109,2.829760827917976e-110,5.389113949892071e-110,3.76,0.0,0.5871504815653121,0.9999999999999964,6.940834860282752e-51,5.4026477040077854e-55,1.3440122612852668e-17,8.52581887658995e-18,2.6880463116558816e-18,2.226257424606837e-18,3.577671657847751e-15,4.679769892776757e-36,7.67616944068587e-56,2.3286883864984196e-34,3.015863351948986e-42,2.0321236282558837e-36,4.02055626894243e-91,2.332132801442325e-89,7.83237193963096e-40,2.4059802177640507e-91,9.962296099083296e-42,3.129325719269901e-108,1.7308494426583743e-89,1.3922193984035214e-92,2.2292122679202137e-109,2.2081689380537536e-108,1.2502781603477619e-73,2.733590531704967e-91,1.0559149761527556e-89,8.475333582732611e-42,2.2845908017123716e-37,4.578727758449673e-43,9.532780438083066e-54,9.856685364492248e-21,8.410470024468522e-72,7.618964705636261e-26,4.730425234210902e-24,4.806614881264352e-24,1.7042081183721722e-36,1.2747005910244658e-37,1.5213773507938488e-50,1.8247458776373293e-21,5.552436691325215e-22,6.441416227806084e-35,1.008085211024336e-46,3.5662502770925024e-50,1.6777948179176043e-35,2.8260478216163537e-36,1.7586866237811212e-27,4.4119731389826395e-61,8.814596180917979e-42,5.355694375601246e-66,3.444380509953982e-70,2.298863455487313e-37,3.4969891308364484e-38,3.3609988656620373e-37,2.5998732149046973e-70,3.866003573438025e-45,2.2932799457189485e-41,9.856685364492248e-21,7.1003271027352e-57,1.219664382208904e-36,2.213508814439751e-49,3.8374316177946544e-25,2.0209408447241206e-40,1.9324537854439136e-56,7.246999301742159e-55,1.676108735067623e-54,4.729787210469592e-71,2.5154973552060963e-56,5.2771510375760556e-52,7.387444438158954e-56,5.099674111679248e-62,1.259385990123902e-58,1.1993318505278377e-65,2.562885824412635e-26,5.583638574825367e-54,3.607452662588467e-72,7.386838376910699e-70,1.8140543460784386e-60,3.648345245739855e-75,5.3219567484986614e-70,1.3305601215929973e-99,5.56492590907954e-116,1.986896810579974e-54,5.697107852046632e-70,1.7586866230231552e-27,1.145314591623384e-47,1.3902416566807382e-46,5.93778017231945e-42,5.621696968692593e-74,1.2680878602144577e-43,9.892049456123683e-47
5.750595013229741e-21,0.662970891749732,4.0089101132470406e-26,1.3884067120000706e-27,5.016205139311927e-36,5.446132376877357e-26,0.0,0.0,5.05743769778504e-21,7.404971817413478e-38,4.878755100231847e-51,4.6095530120474057e-51,6.73136987122719e-55,4.45410833459284e-64,7.948583957642605e-44,3.389487333160776e-37,3.9098299480566115e-39,9.977408246855856e-37,7.895044876002249e-79,1.1668664742580786e-61,2.2114182243612458e-87,1.2817370970987917e-86,8.1545421878140425e-25,6.899881776673077e-88,1.1725055162504005e-56,3.663634160758049e-92,3.750880565983335e-95,2.5607446591825416e-76,2.1796033587632883e-91,4.0280830163129414e-92,6.0645262539573355e-58,3.028468810342992e-107,2.309304706759328e-108,4.4086956584296686e-108,3.76,0.0,0.5871504815653121,0.9999999999999925,6.139089831472793e-50,4.778580711160209e-54,2.856026055231192e-17,1.8117365112758365e-17,5.712098412268883e-18,4.7307970272846705e-18,7.602552272885462e-15,2.043778460738578e-35,6.789484940435004e-55,1.0169993984983808e-33,1.3171067596157087e-41,8.874817771276137e-36,1.6044984635281903e-89,9.306929803566785e-88,3.4206026008825835e-39,9.601635456575305e-90,4.3507964394293554e-41,2.5049274507404436e-106,6.907365761247836e-88,5.555982148257453e-91,1.7844147603577716e-107,1.767570232378779e-106,2.2249257477938096e-72,1.090904221868167e-89,4.2138794821263875e-88,3.701400844906521e-41,9.977408246855836e-37,1.9996507060860768e-42,8.431639483853661e-53,2.0945456399546032e-20,1.4965987954466605e-70,1.6190299999690554e-25,1.0052153622700434e-23,1.021405662268462e-23,7.44272458848262e-36,5.566952374826872e-37,1.345643075047858e-49,3.8775849899792676e-21,1.1798927969064708e-21,2.813135697838049e-34,4.402702728108373e-46,3.154308082027273e-49,7.327370766008383e-35,1.2342093306232988e-35,3.737209077237188e-27,3.902340277430699e-60,3.8495657323813836e-41,9.53018729443916e-65,6.129100929038454e-69,1.0039740675609943e-36,1.5272270275661717e-37,1.4678365059796962e-36,4.626342905709271e-69,1.6883908894555723e-44,1.0015356022376737e-40,2.094545639954602e-20,6.280158914212235e-56,5.3265947916263645e-36,1.9578234714784177e-48,8.154542187813644e-25,8.82597961767937e-40,1.709233488884896e-55,3.5827993750003383e-54,1.4824991948336182e-53,8.858139898223297e-70,2.3121754514649e-55,2.3046815125819646e-51,6.534110945399054e-55,4.687479105144869e-61,1.1139705156996704e-57,1.0607954400018641e-64,5.446132376876383e-26,4.938665086755125e-53,6.756351346267584e-71,1.3144484214493365e-68,1.6045105256245342e-59,6.492071840641393e-74,9.470138642312384e-69,4.748947950270963e-98,4.257260154287637e-114,1.757387895896903e-53,1.0137700054455859e-68,3.7372090739269535e-27,5.0018897227358835e-47,6.071550563901354e-46,2.5931846007098104e-41,1.0003572608299617e-72,5.538072842064379e-43,4.3201178848959696e-46
1.1839460321355347e-20,0.662970891749732,8.253638485426736e-26,2.8584844070684934e-27,2.0941669014671345e-35,1.1212625481806465e-25,0.0,0.0,1.0412371730733855e-20,3.091429966608352e-37,4.10088762916252e-50,3.8746070536356265e-50,5.658154268267565e-54,3.743946435379069e-63,3.3183773341227028e-43,1.4150442394025632e-36,1.6322770381599727e-38,4.1653715374196464e-36,1.3316519145588467e-77,9.80821580603954e-61,7.859726729649955e-86,4.555494393370018e-85,1.67887633278533e-24,2.4356094518695952e-86,9.855615351670055e-56,1.300524011686359e-90,1.3329795303672983e-93,4.423049586532519e-75,7.746649080845162e-90,1.43164370383345e-90,5.097599731635924e-57,2.179612749884168e-105,1.6600447545523847e-106,3.17299181648429e-106,3.76,0.0,0.5871504815653121,0.9999999999999843,5.1602749112669495e-49,4.016685018823899e-53,5.880053643123043e-17,3.730045758511021e-17,1.1760202613495315e-17,9.73987623262489e-18,1.5652313502830482e-14,8.532372754992673e-35,5.706971189594374e-54,4.245772291942133e-33,5.4986614483748e-41,3.705061718376665e-35,5.702638842087435e-88,3.307828620851988e-86,1.4280342511817233e-38,3.41257162580542e-88,1.8163718678696518e-40,1.7833859452794437e-104,2.4549859773302043e-86,1.9746830754127367e-89,1.270416116531085e-105,1.2584236356952328e-104,3.7527605215687514e-71,3.8772444661473524e-88,1.4976787673272957e-86,1.5452619925124202e-40,4.16537153741963e-36,8.348148066073811e-42,7.087302276217178e-52,4.3122998469653605e-20,2.5242330892135695e-69,3.3332970588478095e-25,2.069561039968671e-23,2.1028940105518384e-23,3.1071910053594533e-35,2.3240930308094746e-36,1.131094893422394e-48,7.983263214662967e-21,2.429191052453932e-21,1.1744287771602237e-33,1.838150169439735e-45,2.651386043292583e-48,3.059033055226151e-34,5.152581000759009e-35,7.694253989562871e-27,3.2801521368321006e-59,1.6071179144160067e-40,1.6074066078255582e-63,1.0337632439914945e-67,4.191394099372329e-36,6.375872204847508e-37,6.127928468265877e-36,7.803009454983639e-68,7.04874606916866e-44,4.181213987366129e-40,4.312299846965355e-20,5.27885197617911e-55,2.223748471274787e-35,1.645668582531321e-47,1.678876332785164e-24,3.684672750686667e-39,1.4367137364555887e-54,1.8449541780895741e-53,1.2461299005246637e-52,1.530004506675173e-68,1.9781147783865533e-54,9.621683662553814e-51,5.49231395931651e-54,4.010237062899534e-60,9.36382284650888e-57,8.916624853967076e-64,1.1212625481802397e-25,4.151245582318622e-52,1.1669909941072978e-69,2.21700938659581e-67,1.3486877758494227e-58,1.0949857184123373e-72,1.5972773772316548e-67,1.6046082630661452e-96,2.972307930501949e-112,1.4771904836073705e-52,1.709871372081163e-67,7.694253975743292e-27,2.0881904968745587e-46,2.5347528417111112e-45,1.082603523860683e-40,1.6872538800881375e-71,2.3120363943798327e-42,1.8035641752535326e-45
2.4017190937606563e-20,0.6629708917497318,1.674309528218589e-25,5.798639797234737e-27,8.555355102327681e-35,2.27456116916651e-25,0.0,0.0,2.1122239796631342e-20,1.2629500122354388e-36,3.3621554437298204e-49,3.176636957461313e-49,4.638909575796908e-53,3.0695134874296303e-62,1.3556654169712794e-42,5.780917435521545e-36,6.66838429978902e-38,1.701690185788155e-35,2.18727794507525e-76,8.041367905405067e-60,2.6473724266347253e-84,1.5344159741852007e-83,3.405720560793446e-24,8.177878107428991e-85,8.080228916521012e-55,4.378059253758068e-89,4.489620378032483e-92,7.348963040382572e-74,2.609284351844937e-88,4.822170142803721e-89,4.179320244106707e-56,1.477413060982157e-103,1.1245717674972079e-104,2.150764160735503e-104,3.76,0.0,0.587150481565312,0.9999999999999682,4.230705142936149e-48,3.293121056329556e-52,1.1928108818906743e-16,7.566664252987398e-17,2.3856411015949897e-17,1.9758034643243525e-17,3.175183596219887e-14,3.485752674885053e-34,4.6789197819093e-53,1.7345365173506257e-32,2.2463826185362364e-40,1.513638605148822e-34,1.9208058180244766e-86,1.1141677801693908e-84,5.833985872262278e-38,1.14944810901273e-86,7.42047174785196e-40,1.2023462933345568e-102,8.26906889754617e-85,6.651276444164858e-88,8.565056334203725e-104,8.48420386973961e-103,6.163998774713301e-70,1.3059627191530857e-86,5.044594562980212e-85,6.312899462204369e-40,1.701690185788142e-35,3.410490878512942e-41,5.810599098536036e-51,8.747808260986881e-20,4.146060806942955e-68,6.761831176876899e-25,4.1982523953688105e-23,4.265870707115881e-23,1.269388910830814e-34,9.494678363705965e-36,9.273402529433495e-48,1.6194619664029657e-20,4.927787563547104e-21,4.797924761371711e-33,7.510329463935067e-45,2.173766483819475e-47,1.2497148168503522e-33,2.1049974633876575e-34,1.5608343835868413e-26,2.6892669002379e-58,6.565601070050337e-40,2.640171158568907e-62,1.6979598617277564e-66,1.7123212514118383e-35,2.604751835267747e-36,2.5034587286646195e-35,1.2816471210437834e-66,2.87968073680969e-43,1.7081623440652142e-39,8.747808260986855e-20,4.3279217862231655e-54,9.084738096408036e-35,1.349218509813901e-46,3.405720560792767e-24,1.5053090466173058e-38,1.1779047237411403e-53,1.0390991116338316e-52,1.0216525804304013e-51,2.542109780515064e-67,1.6355435517593274e-53,3.930846927837841e-50,4.502930815463188e-53,3.315741554076708e-59,7.67711901328036e-56,7.310387780886917e-63,2.2745611691648484e-25,3.4034419360808173e-51,1.9389724268925375e-68,3.641444574740461e-66,1.105735723007189e-57,1.798519657898554e-71,2.623532949757062e-66,5.275688816260603e-95,1.98570816331544e-110,1.2110900330306447e-51,2.80846892871474e-66,1.5608343779410932e-26,8.530939539746152e-46,1.0355292427828623e-44,4.422788639845606e-40,2.7713237245877914e-70,9.44542306993964e-42,7.368148144410888e-45
4.837265217010899e-20,0.6629708917497318,3.372200908530326e-25,1.1678950577684814e-26,3.4582113207206103e-34,4.581158411138409e-25,0.0,0.0,4.254197592842571e-20,5.105045877789394e-36,2.7227606481582323e-48,2.5725229696349535e-48,3.756714380176923e-52,2.4857716046153842e-61,5.4798163676169273e-42,2.3367392563523272e-35,2.6954675522851266e-37,6.878503808015897e-35,3.5457195310805935e-75,6.512108216622071e-59,8.688941383758724e-83,5.036106867270331e-82,6.859409016810739e-24,2.679971386213737e-83,6.543578870717524e-54,1.4365343683483636e-87,1.4735032769153357e-90,1.1980664538510063e-72,8.563931864330551e-87,1.5826845028618496e-87,3.384521890047351e-55,9.727952836322942e-102,7.40253076971496e-103,1.4161619556025133e-102,3.76,0.0,0.5871504815653119,0.999999999999936,3.4261347131884864e-47,2.6668548113617988e-51,2.402421917047414e-16,1.523990124196418e-16,4.804882782086592e-17,3.9794351464233613e-17,6.395088087884912e-14,1.4089969635812895e-33,3.78911054858337e-52,7.011273931286037e-32,9.080237709561085e-40,6.118369252043263e-34,6.304277024116464e-85,3.656810215409534e-83,2.3581903670440745e-37,3.7726037876345075e-85,2.999473323664271e-39,7.895611454328951e-101,2.7139912098246005e-83,2.183015527871704e-86,5.62453240579759e-102,5.571437914826164e-101,9.992170269511602e-69,4.2863004097713986e-85,1.6556864467709037e-83,2.5517749103125478e-39,6.878503808015792e-35,1.3785749422802579e-40,4.7055739977534995e-50,1.7618825089029935e-19,6.7209435360816e-67,1.3618899414021409e-24,8.455635106180625e-23,8.591824100233134e-23,5.131072935366993e-34,3.837900801429211e-35,7.509843079768996e-47,3.261733256276019e-20,9.924980585726449e-21,1.939397900762069e-32,3.0365117484989236e-44,1.7603724634936015e-46,5.051547101915026e-33,8.50873630714691e-34,3.143652361509624e-26,2.1778380597948873e-57,2.653920927442368e-39,4.2798320028853535e-61,2.752466608913565e-65,6.921476274791313e-35,1.0528823382142365e-35,1.01193804498408e-34,2.0776055927359904e-65,1.1640436954431249e-42,6.904665311007249e-39,1.7618825089029832e-19,3.5048632736177865e-53,3.672196391026482e-34,1.0926320956758968e-45,6.859409016807995e-24,6.084699845044727e-38,9.538977845392418e-53,6.507358724052394e-52,8.273607477366276e-51,4.1442678230425425e-66,1.3299968538710396e-52,1.5889719766625873e-49,3.646590120699659e-52,2.696305965479853e-58,6.217166443092494e-55,5.920141568994525e-62,4.581158411131694e-25,2.756195520029196e-50,3.161013967544072e-67,5.902938576127931e-65,8.954534567594936e-57,2.9154797296220476e-70,4.252860016290402e-65,1.7111802111199414e-93,1.2982396506170497e-108,9.807721189404526e-51,4.552649211054378e-65,3.143652338688606e-26,3.4483421601414136e-45,4.1857747661711056e-44,1.7877618825669547e-39,4.4924385299527023e-69,3.81799102419063e-41,2.97832328652485e-44
9.708357463511385e-20,0.662970891749732,6.767983752993424e-25,2.3439572139055324e-26,1.3905315622961354e-33,9.194352895082892e-25,0.0,0.0,8.538144819201199e-20,2.0527164946515796e-35,2.1915146444850847e-47,2.0705902929908677e-47,3.0237326196760103e-51,2.0007652446100078e-60,2.2034100602845507e-41,9.395925776241947e-35,1.0838356476917203e-36,2.7658161286115645e-34,5.71037188442867e-74,5.24151123380383e-58,2.81570312735517e-81,1.6319803793776406e-80,1.376678592884956e-23,8.678105869755842e-82,5.266841553708892e-53,4.654558684389318e-86,4.774919161778746e-89,1.9348805232271307e-71,2.7751929468332666e-85,5.128783216595855e-86,2.724157664141831e-54,6.314497911377771e-100,4.80435025396609e-101,9.192435546653842e-101,3.76,0.0,0.5871504815653117,0.9999999999998717,2.757651284158353e-46,2.146516763336442e-50,4.821643987360893e-16,3.058637522001385e-16,9.643366143072545e-17,7.986698510522501e-17,1.2834897070380347e-13,5.665514820642489e-33,3.049805814676956e-51,2.8192024107662692e-31,3.6511236464836816e-39,2.460169366713468e-33,2.0429384605751294e-83,1.1850110968687166e-81,9.482179749440994e-37,1.222534692793666e-83,1.2060750313201375e-38,5.118270313195343e-99,8.794849912907041e-82,7.074191639749426e-85,3.646060524132224e-100,3.611642422610015e-99,1.609213226186884e-67,1.3890011380506159e-83,5.36535039226533e-82,1.0260574788666511e-38,2.7658161286114806e-34,5.5431892120067584e-40,3.787455408172841e-49,3.5360858745116117e-19,1.0823872610946524e-65,2.7333035892655736e-24,1.6970400527850398e-22,1.7243730886424294e-22,2.063181860003247e-33,1.5432030325320906e-34,6.044575564304076e-46,6.546275836020987e-20,1.9919366630057135e-20,7.798233661135389e-32,1.221544226722578e-43,1.4169009100358097e-45,2.0312048721669166e-32,3.421325446318664e-33,6.309288352001884e-26,1.752913538199396e-56,1.0671299325551142e-38,6.892538126143588e-60,4.432763021953236e-64,2.783095168311861e-34,4.233593574513978e-35,4.06895837220091e-34,3.345920061392026e-64,4.6808153877298525e-42,2.776335557461623e-38,3.536085874511568e-19,2.8210188823377297e-52,1.4765740179197544e-33,8.794453120295736e-45,1.3766785928838535e-23,2.44663104653847e-37,7.677799242472259e-52,4.471990160722087e-51,6.659319084919877e-50,6.692993326317182e-65,1.0726906450923091e-51,6.3896753820861434e-49,2.935092975265101e-51,2.1746684417880246e-57,5.004130984329176e-54,4.765044990583121e-61,9.194352895055888e-25,2.218425938109059e-49,5.105045629538023e-66,9.506500599308189e-64,7.207388449053639e-56,4.695291714031916e-69,6.849099987064034e-64,5.512890731824759e-92,8.397515369600098e-107,7.894107307879363e-50,7.331901245961665e-64,6.309288260239571e-26,1.386563216384187e-44,1.6830816237402698e-43,7.188511901458999e-39,7.234936445087419e-68,1.5351973986918762e-40,1.1975706943705493e-43
1.9450541956512358e-19,0.6629708917497321,1.3559549777278121e-24,4.69608152636778e-26,5.576653495252016e-33,1.84207418629746e-24,0.0,0.0,1.7106039271917483e-19,8.23231124344386e-35,1.7585524854387522e-46,1.6615183130574223e-46,2.42635583709242e-50,1.605488104963099e-59,8.836659840766592e-41,3.768186479304848e-34,4.34666570470436e-36,1.1092159718571476e-33,9.166689357298562e-73,4.2059826670115184e-57,9.06701271569755e-80,5.2552368564001187e-79,2.758153975294415e-23,2.7934515918815606e-80,4.2263086528519975e-52,1.4987444822902295e-84,1.5375911422034359e-87,3.110263930922968e-70,8.936563316808904e-84,1.6515499106918925e-84,2.185964964469163e-53,4.069859985321377e-98,3.0963063618860342e-99,5.924768568082002e-99,3.76,0.0,0.5871504815653112,0.9999999999997429,2.212841484726333e-45,1.7224445197176635e-49,9.660088127987847e-16,6.127932317649764e-16,1.9320332865055438e-16,1.6001225238325275e-16,2.5714515032032746e-13,2.2721248394372395e-32,2.447277096232182e-50,1.130626258385633e-30,1.4642638825802608e-38,9.866379498423982e-33,6.578587360139685e-82,3.8159245480554864e-80,3.8027781808114015e-36,3.936756507354528e-82,4.836900306137948e-38,3.296661637059693e-97,2.832081806483379e-80,2.278002426476116e-83,2.3484159921653857e-98,2.3262474024466264e-97,2.58314762131275e-66,4.47280498514218e-82,1.7277283162220954e-80,4.1149494902492257e-38,1.1092159718570802e-33,2.2230668000351392e-39,3.039194471197821e-48,7.0844926057288735e-19,1.737471285850701e-64,5.4761308867305636e-24,3.399993137137453e-22,3.4547544458633263e-22,8.274282039019475e-33,6.18893437470598e-34,4.850391420891162e-45,1.3115360995506363e-19,3.9908138718606507e-20,3.1274404826321126e-31,4.903560409626779e-43,1.1369737479877068e-44,8.146040015958063e-32,1.3721045264917717e-32,1.2640560471573178e-25,1.4066027198423772e-55,4.2796683150643033e-38,1.1064050659330798e-58,7.115566680445499e-63,1.1161456394482495e-33,1.6978603754823689e-34,1.631834295841332e-33,5.370942949853938e-63,1.8774143492377125e-41,1.1134347361741843e-37,7.084492605728701e-19,2.2636899971561454e-51,5.921722225684729e-33,7.056993884393744e-44,2.758153975289995e-23,9.812084781732166e-37,6.160950361471586e-51,3.281676004605884e-50,5.343684175663177e-49,1.0758783028103948e-63,8.616434615586109e-51,2.562937795493228e-48,2.355227266879721e-50,1.746811956367869e-56,4.015505782361643e-53,3.823648537253551e-60,1.8420741862866295e-24,1.7801471037441484e-48,8.20621145210345e-65,1.5260038833898662e-62,5.783475328349826e-55,7.536984244558932e-68,1.0994322357412638e-62,1.7701265307009349e-90,5.40304075807078e-105,6.334523977914825e-49,1.176932530435154e-62,1.264056010356526e-25,5.560738654468576e-44,6.749910087605541e-43,2.882914786763706e-38,1.1613677443946743e-66,6.15682820256821e-40,4.802794111015101e-43
