Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47)
0.0,0.7111498572225657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6085056646397867,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.642492121025736e-22,0.7111498572225657,0.0,4.63168018304542e-28,0.0,0.0,0.0,0.0,0.0,0.0,2.7614623122126032e-55,2.799476231294379e-77,0.0,1.2140011138323503e-115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6085056646397867,0.9999999999999998,0.0,0.0,3.1429285972500086e-18,1.973392037173659e-18,5.884854287737835e-19,5.810511313025651e-19,3.4638929514071343e-16,5.007575176450517e-37,3.515799932211053e-57,1.21188273877174e-35,7.443615189327358e-44,2.8743858086056105e-38
4.598977938872062e-22,0.7111498572225657,0.0,1.2968704512527169e-27,0.0,0.0,0.0,0.0,0.0,0.0,3.2784080570593814e-54,6.262316350357327e-76,0.0,7.38536120799335e-114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6085056646397867,0.999999999999999,0.0,0.0,8.800200072300024e-18,5.525497704086428e-18,1.6477592005666019e-18,1.6269431676469935e-18,9.698900263935167e-16,3.024575406576194e-36,4.173957679521059e-56,7.319771742176973e-35,4.4959435743524165e-43,1.7361290283981232e-37
1.0511949574564711e-21,0.7111498572225657,0.0,2.964275317149065e-27,0.0,0.0,0.0,0.0,0.0,0.0,3.218760471116777e-53,1.2373281817750379e-74,0.0,3.3341050769284896e-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6085056646397867,0.9999999999999978,0.0,0.0,2.0114743022400055e-17,1.2629709037912688e-17,3.76630674415227e-18,3.718727240335094e-18,2.2168914888972e-15,1.456202861311932e-35,4.098016400985503e-55,3.5241550043417112e-34,2.1646032970544186e-42,8.358713931430054e-37
2.2337892845950012e-21,0.7111498572225657,0.0,6.2990850489417526e-27,0.0,0.0,0.0,0.0,0.0,0.0,2.846957185402386e-52,2.2017593892791632e-73,0.0,1.2588946380514643e-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6085056646397867,0.9999999999999953,0.0,0.0,4.274382892260012e-17,2.6838131705568103e-17,8.003401831323736e-18,7.90229538570827e-18,4.710894413896872e-15,6.359620474093413e-35,3.624649098112934e-54,1.5390910782333833e-33,9.453391290425246e-42,3.65046997693419e-36
4.598977938872062e-21,0.7111498572225657,0.0,1.2968704512527093e-26,0.0,0.0,0.0,0.0,0.0,0.0,2.3930390563730986e-51,3.713589025942406e-72,0.0,4.367690314856436e-109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6085056646397867,0.9999999999999903,0.0,0.0,8.800200072300025e-17,5.525497704089052e-17,1.6477592005667177e-17,1.6269431676442528e-17,9.69890026386544e-15,2.6550163585551948e-34,3.0467359684563185e-53,6.425402280907224e-33,3.946604773362885e-41,1.5239993557272367e-35
9.329355247426182e-21,0.7111498572225657,0.0,2.630794343969764e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.961957999750488e-50,6.0995811263375555e-71,0.0,1.4546232332772735e-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6085056646397866,0.9999999999999803,0.0,0.0,1.7851834432380048e-16,1.120886677115817e-16,3.342597235435609e-17,3.300370425786265e-17,1.967491196367947e-14,1.0846608135208449e-33,2.4978982229753792e-52,2.62498648743788e-32,1.6123168244534037e-40,6.226034636910486e-35
1.8790109864534423e-20,0.7111498572225657,0.0,5.298642129403821e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.5888444554035851e-49,9.887683854643961e-70,0.0,4.748132505693589e-106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6085056646397864,0.9999999999999604,0.0,0.0,3.5955103152540086e-16,2.2575604905314925e-16,6.732273305174207e-17,6.647224942050934e-17,3.96269353628151e-14,4.3843724305987694e-33,2.0228627433518973e-51,1.061061508123954e-31,6.517242391656323e-40,2.5166627459845745e-34
3.77116190987509e-20,0.7111498572225657,0.0,1.0634337700271723e-25,0.0,0.0,0.0,0.0,0.0,0.0,1.2788402440676464e-48,1.5923810027776405e-68,0.0,1.5345143793237326e-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6085056646397861,0.9999999999999205,0.0,0.0,7.216164059286013e-16,4.530908117370258e-16,1.3511625444654663e-16,1.3340933974502847e-16,7.953098215911664e-14,1.7629368711764955e-32,1.6281759209335282e-50,4.26648165681345e-31,2.6205545017589083e-39,1.0119390214884193e-33
7.555463756718386e-20,0.711149857222566,0.0,2.130572884200667e-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0261887573432921e-47,2.5561241687118993e-67,0.0,4.934768275583283e-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6085056646397853,0.9999999999998407,0.0,0.0,1.4457471547350017e-15,9.07760337107744e-16,2.707032972362861e-16,2.6728352039096985e-16,1.5933907574384088e-13,7.070165346230857e-32,1.3065086376154664e-49,1.711049967299891e-30,1.0509595623277947e-38,4.058328077061413e-33
