Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66)
0.0,0.7216899956425198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6646388805292986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.926451032738753e-22,0.7216899956425198,6.207355800364364e-27,6.338586864601832e-28,4.332488578986777e-42,7.430772905225616e-42,0.0,0.0,5.64940259962379e-22,7.815062703854472e-40,5.632104077495396e-55,7.040746569363171e-77,1.09730584265812e-57,8.44086815886537e-109,7.111769546821831e-86,5.674108325577865e-85,3.6093551254168366e-86,1.1307382885373006e-38,-2.277469597162001e-120,1.895019975943316e-75,-4.896179215937994e-116,-2.517470274158598e-136,1.307162693798508e-88,1.3940255786541665e-97,1.4152748307909593e-61,1.6488984746252893e-122,1.1028406824195891e-122,2.6015644058827216e-140,-5.354952057228079e-186,2.4758630831354373e-149,2.041682653823929e-60,4.4895133406361957e-159,1.7723051817043443e-133,4.268506075160359e-158,3.76,0.0,0.6646388805292986,0.9999999999999996,3.8249557632598604e-57,7.289738208250132e-123,4.368128683743357e-18,2.740654447345504e-18,8.14509069264204e-19,8.129651671336486e-19,4.1829664584707847e-16,9.070316404055767e-37,8.195028055285489e-57,2.0978769074407746e-35,1.2157057314087745e-43,4.781526171717782e-38,2.0617950790063535e-93,1.6527696637435262e-91,8.864228919435387e-41,1.6455640030568402e-93,1.9768063089714707e-42,1.6375022356115563e-111,1.314040831127495e-91,9.215936437431873e-95,1.722258207464325e-93,8.059302686480125e-92,1.1188445248178452e-112,1.0352320515884073e-111,1.3693649695463138e-108,3.0541202874593246e-43,1.1307382885373006e-38,2.0930452297082904e-57,4.327985764985324e-22,1.321478908196426e-22,2.387517974048702e-36,2.4939238198510556e-52,1.0349563315400391e-36,1.1157637005682473e-37
5.394062891668509e-22,0.7216899956425198,1.7380596244329357e-26,1.774804322088811e-27,2.616823101835052e-41,4.488186835469314e-41,0.0,0.0,1.5818327278946605e-21,4.7202978731281e-39,6.686433960803934e-54,1.5749868445805777e-75,1.3027214964042586e-56,4.86150817068548e-107,2.2360541340307578e-84,1.2833167042264719e-83,8.64998413470954e-85,6.829659262768394e-38,1.1802277439290149e-118,5.958246007562194e-74,2.5372925098909843e-114,2.323238144552378e-134,4.109928655699421e-87,8.48053787945904e-96,1.6802142791157018e-60,1.2723639336768528e-120,8.510012778199582e-121,3.612928791825073e-138,6.027297387043174e-183,5.262181137602147e-147,2.4238856466207614e-59,1.1590430933215826e-156,1.8885440255211527e-131,1.1007908302998674e-155,3.76,0.0,0.6646388805292986,0.9999999999999988,4.540987977317114e-56,2.9783322820307008e-120,1.22307603144814e-17,7.673832452567712e-18,2.280625393939785e-18,2.2763024679739023e-18,1.1712306083711395e-15,5.47847110804986e-36,9.7291373072352e-56,1.2671176520933482e-34,7.3428626177065e-43,2.8880418077181977e-37,9.849442507830522e-92,7.895479016062587e-90,5.353994267341122e-40,7.861056710292558e-92,1.1939910106192915e-41,1.4244330647176976e-109,6.277330735196011e-90,4.402563427401348e-93,8.22743412805064e-92,3.850025604963919e-90,9.732622653999287e-111,9.005293134071867e-110,1.1911853906837563e-106,1.844688653897849e-42,6.829659262768394e-38,2.485602708244256e-56,1.2118360141958872e-21,3.700140942949916e-22,1.4420608563253955e-35,2.96078847121822e-51,6.251136242501776e-36,6.739212751432384e-37
1.232928660952802e-21,0.7216899956425198,3.972707714549586e-26,4.056695593347257e-27,1.2598876789599134e-40,2.160868761909172e-40,0.0,0.0,3.61561766375922e-21,2.272620234280878e-38,6.564780512732894e-53,3.1119085969098644e-74,1.2790196902039438e-55,2.1801043306691662e-105,4.988513769524929e-83,2.5480324859057293e-82,1.760019303559335e-83,3.28818694307103e-37,1.2386970278887434e-116,1.3292519080217767e-72,2.6629917044473244e-112,4.952755168299036e-132,9.169024747095313e-86,3.8285201769686037e-94,1.6496443427719946e-59,1.3866844551752e-118,9.274628210115868e-119,8.054694447998904e-136,6.346166879445718e-180,1.2107286079174597e-144,2.3797853013001915e-58,5.5506883436202656e-154,4.2978778008404155e-129,5.27156166483193e-153,3.76,0.0,0.6646388805292986,0.9999999999999972,4.458369141143368e-55,2.793305341497604e-118,2.7956023575957486e-17,1.7540188463013325e-17,5.212858043291001e-18,5.202977069653155e-18,2.6770985334165415e-15,2.6376480102996804e-35,9.552124701241594e-55,6.100626046824574e-34,3.535272266932938e-42,1.3904678107364993e-36,5.128584293817879e-90,4.111159554633276e-88,2.5777177697749756e-39,4.093235931394677e-90,5.74855274649671e-41,1.480590137547382e-107,3.2685930995565266e-88,2.2924056491878229e-91,4.284007893240765e-90,2.0047003505715288e-88,1.0116323097873641e-108,9.360319224737494e-108,1.2381468705896649e-104,8.881381799939791e-42,3.28818694307103e-37,2.44070348412868e-55,2.769910889590582e-21,8.457465012456585e-22,6.942902268533317e-35,2.9069206038716116e-50,3.00965301211834e-35,3.244640841252715e-36
2.619973404524704e-21,0.7216899956425198,8.442003900077501e-26,8.620478135868914e-27,5.5022604972823136e-40,9.437081600688676e-40,0.0,0.0,7.683187535488328e-21,9.92512963389515e-38,5.806474019743528e-52,5.5374750795674185e-73,1.1312784315502267e-54,8.202097403207202e-104,9.34293420698636e-82,4.544232515683326e-81,3.173476225436369e-82,1.4360376264470429e-36,9.889681563881974e-115,2.489541712566626e-71,2.1261163448860842e-110,7.920943930819088e-130,1.7172568607130709e-84,1.4455763724467235e-92,1.4590917395565187e-58,1.1343939838430242e-116,7.587221739281827e-117,1.3347203621670112e-133,4.528057719863873e-177,2.031259720944235e-142,2.1048931487926027e-57,1.934322465963068e-151,7.263216301247952e-127,1.8370532681385018e-150,3.76,0.0,0.6646388805292986,0.9999999999999942,3.9433771028162136e-54,2.145658607889179e-116,5.940655009890967e-17,3.7272900483909356e-17,1.1077323341993653e-17,1.1056326273006637e-17,5.688834383496462e-15,1.1519301833153545e-34,8.448746123878869e-54,2.6643036724361453e-33,1.5439462788852268e-41,6.072538238091512e-36,2.0466833614655696e-88,1.640655856414823e-86,1.125757072771538e-38,1.6335030089012567e-88,2.510544012401617e-40,1.1851661385067634e-105,1.3044097023627687e-86,9.14838916769964e-90,1.7096350909280825e-88,8.000232846267354e-87,8.097800517332583e-107,7.492643041069722e-106,9.910978793614774e-103,3.878732769178538e-41,1.4360376264470429e-36,2.1589032685193408e-54,5.88606064037991e-21,1.7972113151468686e-21,3.032147827041533e-34,2.5711387218896454e-49,1.3143945410557526e-34,1.4170198997219333e-35
5.394062891668509e-21,0.7216899956425198,1.7380596292311769e-25,1.77480432209313e-26,2.297085446350986e-39,3.9397958042975464e-39,0.0,0.0,1.5818327278946498e-20,4.143546245583612e-37,4.880691279908311e-51,9.339761096079142e-72,9.509076863602064e-54,2.8401259312594055e-102,1.6137595440199618e-80,7.672768783547136e-80,5.3864008657113535e-81,5.9951744058666337e-36,7.044548572964221e-113,4.300064203160677e-70,1.5144602763142326e-108,1.1293043928762777e-127,2.966134179202462e-83,5.015375973883119e-91,1.226454523973867e-57,8.164315889724403e-115,5.460578589615627e-115,1.9337728609609646e-131,2.7182155150743343e-174,2.9600609350893445e-140,1.7692895208927079e-56,5.753339732354577e-149,1.0634943182206014e-124,5.464039412904463e-148,3.76,0.0,0.6646388805292985,0.9999999999999882,3.3146460966440664e-53,1.5015264572727545e-114,1.22307603144814e-16,7.673832452572064e-17,2.2806253939399822e-17,2.2763024679693513e-17,1.1712306083612777e-14,4.809081757432815e-34,7.101680192264677e-53,1.1122943363128241e-32,6.445671787894014e-41,2.535165176253674e-35,7.274233226008647e-87,5.831147879440851e-85,4.6998141731137254e-38,5.805725539134392e-87,1.0481027050237037e-39,8.437803791914861e-104,4.636076383792901e-85,3.251480795759829e-88,6.076310882746542e-87,2.8434080562448845e-85,5.765238281052389e-105,5.3343957280990164e-104,7.056132615481132e-101,1.6192945800899737e-40,5.9951744058666337e-36,1.814739299412013e-53,1.2118360141958326e-20,3.700140942948793e-21,1.265862029840335e-33,2.16119716422332e-48,5.487338469824413e-34,5.915779140415175e-35
1.0942241865956117e-20,0.7216899956425198,3.5257781161494087e-25,3.600317339113233e-26,9.384343576633119e-39,1.6095351427852183e-38,0.0,0.0,3.208860676586265e-20,1.692773841905669e-36,4.001485590229666e-50,1.5340585645908626e-70,7.79611572706041e-53,9.449277901998059e-101,2.681285625269903e-79,1.260922296650686e-78,8.874570619610764e-80,2.449224362538709e-35,4.7525117955209494e-111,7.144620986457993e-69,1.0217106550744956e-106,1.5243468474286245e-125,4.928276314122312e-82,1.6703295997074928e-89,1.0055215180217976e-56,5.534039154472985e-113,3.701357973888837e-113,2.6301156411865462e-129,1.504530044302712e-171,4.0373485273525474e-138,1.4505704452081607e-55,1.5857001119181948e-146,1.454238154995648e-122,1.5059669203168742e-145,3.76,0.0,0.6646388805292984,0.9999999999999761,2.7175471482001856e-52,1.004368085728869e-112,2.481097092366226e-16,1.5566917260942004e-16,4.6264115134215633e-17,4.617642149298692e-17,2.3759249483671287e-14,1.9646668143861662e-33,5.8223864870662445e-52,4.5440852964890894e-32,2.6332672424307427e-40,1.0356976949062852e-34,2.450162089679116e-85,1.9640912010134756e-83,1.920027440889959e-37,1.9555282566857916e-85,4.281841537543943e-39,5.688708122846904e-102,1.5615582079031222e-83,1.0951882808195402e-86,2.0466688525810925e-85,9.577381434371658e-84,3.8868832042458944e-103,3.5964121775352616e-102,4.757195108570006e-99,6.61534673853297e-40,2.449224362538709e-35,1.4878532219234e-52,2.4582959145114187e-20,7.506000198550664e-21,5.171459432506025e-33,1.7718800672607726e-47,2.2417568123682465e-33,2.416788805980816e-34
2.2038599814531334e-20,0.7216899956425198,7.101215123871382e-25,7.251343373183941e-26,3.7933017226972095e-38,6.505998424899984e-38,0.0,0.0,6.462916573969421e-20,6.842462520234168e-36,3.2405067765106e-49,2.48677504028984e-69,6.313496643810859e-52,3.082831925798192e-99,4.371172313771892e-78,2.044546780702713e-77,1.4408106523129654e-78,9.900156470813251e-35,3.1222063006639003e-109,1.1647535417177637e-67,6.71222206483886e-105,2.003273127479257e-123,8.034334267404019e-81,5.45223401236953e-88,8.142973952108493e-56,3.643859879302796e-111,2.4371402952562772e-111,3.4692208214316443e-127,8.006141653870516e-169,5.332843801488134e-136,1.1747095551241703e-54,4.210744238397779e-144,1.9233689316742735e-120,3.999019708851821e-143,3.76,0.0,0.6646388805292982,0.999999999999952,2.2007401466009587e-51,6.5706477826617086e-111,4.997139214202398e-16,3.135308687771261e-16,9.317983752386115e-17,9.300321511925235e-17,4.785313628309186e-14,7.941497386955248e-33,4.7151195327944106e-51,1.836791930470467e-31,1.064408721698869e-39,4.186455676657019e-34,8.041677311679341e-84,6.446343984897692e-82,7.761057902155789e-37,6.418239544490187e-84,1.7307888102561387e-38,3.7356815805884823e-100,5.12519039614754e-82,3.594517598220631e-85,6.717372106037772e-84,3.143392484458754e-82,2.5524526269217954e-101,2.361705054588137e-100,3.1239722198648027e-97,2.6740289349877394e-39,9.900156470813251e-35,1.2049102132305728e-51,4.951215715142206e-20,1.5117718709746482e-20,2.0903865871403984e-32,1.4349144406964092e-46,9.061539461666096e-33,9.769046765067475e-34
4.4231315711681774e-20,0.7216899956425199,1.4252089274857369e-24,1.4553395441447376e-25,1.525269944197746e-37,2.6160333805664303e-37,0.0,0.0,1.2971028368735427e-19,2.7513240851426113e-35,2.608241771490473e-48,4.004874539437841e-68,5.081651360874185e-51,9.960634705547334e-98,7.059455037125946e-77,3.2931108426938063e-76,2.322150332916488e-77,3.9808093745627685e-34,2.0244143190661672e-107,1.881080081095705e-66,4.3521526859401184e-103,2.5980790215252366e-121,1.2975471440463011e-79,1.7620678196157048e-86,6.554173859556268e-55,2.3652605890610284e-109,1.5819685938488397e-109,4.5074690379242964e-125,4.1785664291128796e-166,6.93362961500719e-134,9.455084474114495e-54,1.09777725233739e-141,2.502355554127932e-118,1.0425792232821226e-140,3.76,0.0,0.6646388805292976,0.9999999999999039,1.771347137687609e-50,4.251499196121258e-109,1.0029223457874738e-15,6.292542611137677e-16,1.8701128230320772e-16,1.8665680237049763e-16,9.604090987914717e-14,3.1932411713272606e-32,3.795138406128663e-50,7.385659567028143e-31,4.2799406554541047e-39,1.6833554149080852e-33,2.6059533557801596e-82,2.0889761038584694e-80,3.1206872481666525e-36,2.0798686929912047e-82,6.959425683381891e-38,2.4216272854854376e-98,1.6608484267016027e-80,1.1648248038760017e-83,2.1768043784434052e-82,1.0186350279282381e-80,1.6546080796447467e-99,1.530957410867667e-98,2.0250913263920852e-95,1.0752152843890708e-38,3.9808093745627685e-34,9.698197995263723e-51,9.937055316402236e-20,3.0341155732106435e-20,8.405352528341242e-32,1.1549439858481288e-45,3.6436051634350324e-32,3.9280907384116754e-33
8.861674750598265e-20,0.7216899956425201,2.855383811899751e-24,2.9157499578462305e-25,6.117014710380837e-37,1.0491464132868752e-36,0.0,0.0,2.5987251958266226e-19,1.1034040141194526e-34,2.0929497603507556e-47,6.428710581890995e-67,4.0777051861033115e-50,3.202781042744155e-96,1.1347868032031927e-75,5.286517804068173e-75,3.7289832260561445e-76,1.5964826053458627e-33,1.3040762378378877e-105,3.0237812913288014e-65,2.8035461475351446e-101,3.3474047722816267e-119,2.0857691820384393e-78,5.666546037697255e-85,5.259311755124831e-54,1.5244725886146346e-107,1.0196203191053753e-107,5.812728149142612e-123,2.1600005208417456e-163,8.944538698329512e-132,7.58710983047207e-53,2.8359820533849838e-139,3.229157181526614e-116,2.693384748296595e-138,3.76,0.0,0.6646388805292966,0.9999999999998075,1.4213945320955024e-49,2.735870983317069e-107,2.0093391945219402e-15,1.260701045791968e-15,3.746741718621231e-16,3.739639768678459e-16,1.9241645706011456e-13,1.2806325309099156e-31,3.0453595614615318e-49,2.9619798177956417e-30,1.7164476277807485e-38,6.751008113095207e-33,8.391585031373324e-81,6.726835905652848e-79,1.2515351627295993e-35,6.697508592672868e-81,2.7910409671174273e-37,1.5597624358890251e-96,5.3481965686367266e-79,3.7509214685382833e-82,7.009656945150226e-81,3.2801670962080417e-79,1.0657278038543147e-97,9.86084801206511e-97,1.3043548853798902e-93,4.312094275903871e-38,1.5964826053458627e-33,7.782206051682893e-50,1.9908734518916124e-19,6.078802977669957e-20,3.3709223024384892e-31,9.267698165039331e-45,1.4612486347594149e-31,1.5753400742606863e-32
