Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964)
0.0,0.49080702623268496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5591692688980385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.816594399893394e-21,0.49080702623268496,0.0,1.5339153463114273e-33,0.0,0.0,0.0,0.0,0.0,0.0,2.2989296881947456e-58,1.1074747057947406e-81,0.0,5.479602990647147e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5591692688980385,0.9999999999999997,0.0,0.0,1.0325715596934566e-20,6.5683528229346446e-21,2.9125523455720987e-21,8.448104284278231e-22,3.8405728718242873e-16,8.355069234843882e-43,7.960914604143927e-66,2.0878098384263746e-39,9.061464885878211e-46,8.996967750159029e-41,5.6568760544143e-104,6.9546834777221e-103,1.9766519581862148e-45,9.049564223318025e-105,1.481854352466749e-48,1.6098408221788782e-120,4.429089140614958e-103,4.604073535216712e-106,1.2796144279203364e-104,3.5980834354291056e-103,1.2221994807678003e-121
1.0686464319701504e-20,0.49080702623268496,0.0,4.294962969678404e-33,0.0,0.0,0.0,0.0,0.0,0.0,2.7292893258320127e-57,2.4773766178808547e-80,0.0,3.333509903894342e-129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5591692688980385,0.999999999999999,0.0,0.0,2.8912003671416786e-20,1.8391387904218782e-20,8.155146567601882e-21,2.3654691995961213e-21,1.0753604040976685e-15,5.046461817846106e-42,9.45119781804035e-65,1.26103714238958e-38,5.473124791038905e-45,5.43416852111173e-40,2.7023575737161668e-102,3.3223357535081685e-101,1.1938977827526556e-44,4.323085424327907e-103,8.950400288897641e-48,1.400370910147263e-118,2.115829031540371e-101,2.1994211766677227e-104,6.112871675993485e-103,1.7188476341063035e-101,1.0631688398536191e-119
2.4426204159317722e-20,0.49080702623268496,0.0,9.817058216437987e-33,0.0,0.0,0.0,0.0,0.0,0.0,2.679632444581748e-56,4.894878723293807e-79,0.0,1.5049057157304178e-127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5591692688980385,0.9999999999999977,0.0,0.0,6.608457982038123e-20,4.203745806679416e-20,1.8640335011661473e-20,5.406786741925585e-21,2.45796663787562e-15,2.429654133493204e-41,9.279242062592264e-64,6.071351009844641e-38,2.63507398876575e-44,2.616318221769326e-39,1.4071119860753383e-100,1.7299333389316815e-99,5.748103894525933e-44,2.251021617849273e-101,4.3092324569684874e-47,1.4555793528273725e-116,1.1017077901520161e-99,1.1452340468306575e-102,3.182959608488474e-101,8.950003995380642e-100,1.1050833751601022e-117
5.190568383855016e-20,0.49080702623268496,0.0,2.0861248710059669e-32,0.0,0.0,0.0,0.0,0.0,0.0,2.370104551386955e-55,8.710175155828103e-78,0.0,5.6822376398429973e-126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5591692688980385,0.9999999999999949,0.0,0.0,1.4042973211831012e-19,8.932959839197337e-20,3.961071189978074e-20,1.1489421826555984e-20,5.2231791052214135e-15,1.0610937928257964e-40,8.207384520292643e-63,2.651518494492265e-37,1.1508060404571562e-43,1.1426149042938435e-38,5.615414556269325e-99,6.903709831746927e-98,2.5103479870198506e-43,8.983236363026168e-100,1.8819550276266073e-46,1.1651457869117006e-114,4.3966265817379484e-98,4.5703284462106466e-101,1.2702356241180234e-99,3.57171164846462e-98,8.84584709349521e-116
1.0686464319701503e-19,0.49080702623268496,0.0,4.294962969771309e-32,0.0,0.0,0.0,0.0,0.0,0.0,1.9922156849971134e-54,1.469098350658396e-76,0.0,1.9714322038367173e-124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5591692688980385,0.9999999999999893,0.0,0.0,2.891200367141679e-19,1.8391387904244552e-19,8.155146567601966e-20,2.3654691995702655e-20,1.075360403907256e-14,4.4298577083198375e-40,6.898801221325479e-62,1.106956776055356e-36,4.804388682047572e-43,4.770192301346268e-38,1.9958062841151803e-97,2.4536866027153577e-96,1.0480208683408916e-42,3.1927829027891317e-98,7.856791776718155e-46,8.295268671460333e-113,1.5626299487755963e-96,1.6243663120815764e-99,4.5146163578069817e-98,1.269442261370741e-96,6.2978108912811375e-114
2.1678256191394478e-19,0.49080702623268496,0.0,8.71263916746602e-32,0.0,0.0,0.0,0.0,0.0,0.0,1.633338783234902e-53,2.4129984524859956e-75,0.0,6.565692345291292e-123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5591692688980385,0.9999999999999782,0.0,0.0,5.865006459058835e-19,3.7308244034384483e-19,1.6543297322849898e-19,4.7985232333539516e-20,2.181445390341308e-14,1.809741416548875e-39,5.656054049263429e-61,4.522279620068727e-36,1.9627495397636748e-42,1.948779202734538e-37,6.7224252288858465e-96,8.264692245918393e-95,4.2815072084438395e-42,1.0754172142068468e-96,3.2097558015637163e-45,5.592611944896071e-111,5.2633680302014245e-95,5.471313105174869e-98,1.5206471264131158e-96,4.2758311524893317e-95,4.245939922196024e-112
4.366183993478043e-19,0.49080702623268496,0.0,1.754799156351154e-31,0.0,0.0,0.0,0.0,0.0,0.0,1.3227200939484687e-52,3.91157447497727e-74,0.0,2.143151335494969e-121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5591692688980385,0.9999999999999561,0.0,0.0,1.1812618642893146e-18,7.514195629484634e-19,3.3319598833346367e-19,9.664631300738728e-20,4.3936153618647055e-14,7.31526415846817e-39,4.580419212208952e-60,1.827977726476258e-35,7.933747454797912e-42,7.877277121187944e-37,2.2063672716114892e-94,2.7125547488944725e-93,1.7306536694536793e-41,3.5296269801276695e-95,1.297434614548811e-44,3.672576792702045e-109,1.7274900892418585e-93,1.7957397453773437e-96,4.990916132816482e-95,1.4033705978831348e-93,2.7882393012964147e-110
8.762900742155232e-19,0.49080702623268496,0.0,3.521869635822699e-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0646402058458241e-51,6.299470105908276e-73,0.0,6.926294786729704e-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5591692688980385,0.9999999999999118,0.0,0.0,2.3707843010561764e-18,1.5080938081649805e-18,6.687220185434169e-19,1.93968474347779e-19,8.817955299532674e-14,2.9414355444354255e-38,3.686719869469599e-59,7.350218032852008e-35,3.190124956415652e-41,3.167418485507615e-36,7.149864355242304e-93,8.790194975561368e-92,6.958882291096306e-41,1.1437966146089793e-93,5.216927521666912e-44,2.3807200853483097e-107,5.598034365529654e-92,5.819201437472551e-95,1.6173360547905789e-93,4.547705879141625e-92,1.8074550056272345e-108
1.7556334239509614e-18,0.49080702623268496,0.0,7.056010595815552e-31,0.0,0.0,0.0,0.0,0.0,0.0,8.543067167958546e-51,1.0112044645630946e-71,0.0,2.2273926042065293e-118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5591692688980385,0.9999999999998234,0.0,0.0,4.749829174589901e-18,3.021442298627133e-18,1.339774078963419e-18,3.886127969993473e-19,1.7666635153353306e-13,1.1796472122515992e-37,2.958360513771478e-58,2.94776617135125e-34,1.2793827883303047e-40,1.2702764794251452e-35,2.3023702473885967e-91,2.830582842309176e-90,2.790823044863142e-40,3.683207357686925e-92,2.092221268825188e-43,1.5334142390631396e-105,1.8026562629820849e-90,1.8738755857804757e-93,5.20807980846622e-92,1.464433754947494e-90,1.1641760235864604e-106
