Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195),S(2224),S(2641),S(2826),C2FO(289),S(1665),C2FO(7367),S(3464),S(6251),S(5206),CFO3(444),C2H2O(907),S(5104),CF3CCH(84),S(12199),C2HF4(54),S(12715),CF3(45),S(3472),C2O2(1666),CF2CF2(61),C2HF4(69),S(5039)
0.0,0.7795041828901306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6328915249142997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5231639899587383e-22,0.7795041828901306,1.9512799220445069e-26,8.537534476679402e-27,3.4183955363658446e-38,2.9567790053440047e-25,0.0,0.0,1.3986179763799357e-21,2.724043372920805e-39,1.3164217667016048e-53,9.484138934797029e-54,1.0844630081146443e-56,2.02426030304646e-64,1.3706756784397973e-43,1.7616686785642844e-38,3.3068511182612456e-39,4.72162912556727e-38,4.519956009451622e-88,1.6431382920001983e-60,5.091803534626548e-91,3.0576245436862185e-90,1.275717800342694e-24,7.295483032692131e-92,1.4544006339306653e-57,1.415876265336029e-94,2.723010747724079e-96,1.332615096683179e-77,3.657000451961735e-93,1.6238536831553374e-93,3.490022520834548e-59,8.161464004234962e-111,1.0986211723628762e-111,1.474459838049586e-111,3.76,0.0,0.6328915249142997,0.9999999999999996,2.8688582753014116e-53,4.7965639536995135e-55,1.4380890336507236e-17,8.885239208633053e-18,2.4847645744912714e-18,3.010886553382917e-18,5.632042284174426e-16,1.6436736826552562e-35,6.385640926949171e-55,1.649613612128689e-34,3.908740804938866e-43,2.5364765329830266e-37,4.6963837237189995e-91,5.3781839762775194e-89,9.118005442495626e-40,5.176956963535852e-91,3.7537086290490444e-41,2.2607317072941946e-109,4.693390712312027e-89,2.716537108154582e-92,4.8584300312180096e-91,3.0258880606146864e-89,1.503780678100791e-110,1.2835902281326746e-109,5.223153350390558e-74,8.68460069599769e-43,4.72162912556727e-38,5.010846107389985e-43,1.07053263347676e-21,3.2810485570237626e-22,7.624682047367674e-36,9.51965772837559e-52,5.5556631500882214e-36,7.1578586845326175e-25,2.6098734465345212e-23,1.2509509774435146e-37,1.2404798922811141e-36,6.8945975484938e-52,1.3031690802378013e-36,3.7225238342221987e-42,7.542043496171153e-21,3.3711680137206624e-47,1.4147420770160914e-37,3.2103258680133674e-60,1.5344195507295192e-68,1.2235441622179404e-72,4.523584247189403e-39,4.1882876744535896e-38,3.748631809826084e-54,2.681452033379697e-23,7.085213484440002e-73,2.2639633785397298e-52,4.0799901185246904e-41,7.542043496171152e-21,5.490808372703878e-58,7.177911998261337e-39,1.2757178003424929e-24,2.194218803954321e-40,1.8799672087171196e-73,3.1936415713593073e-38,1.3978205815511925e-51,5.264252035593673e-57,6.725406333626946e-72,4.864339867247907e-54,2.0686751530457054e-55,2.9567790053439565e-25,3.30063184837676e-57,4.2269665382114247e-57,9.957076012673092e-62,4.054664235865064e-65,2.996302616726355e-51,1.2238458853533554e-57,1.0361660278249496e-59,2.3653601152414183e-75,1.1251191755090597e-76,1.0399398509496998e-107,1.9280903731335994e-88,1.7738861987805895e-72,3.481466050043136e-72,1.521297039865162e-116,2.867831519354258e-73,8.248362910404384e-79,6.732294155318821e-91,1.3235559694025464e-54,7.203450171002824e-72,3.2391978781531557e-43,4.997523061490334e-47,8.560110611969776e-93,1.6734685730393658e-70,6.528061753343434e-55,5.1510794572087454e-58
4.264859171884467e-22,0.7795041828901306,5.463583784352572e-26,2.39050965347061e-26,2.0647109039650765e-37,8.278981214963212e-25,0.0,0.0,3.9161303338638155e-21,1.6453221972441641e-38,1.5628560855542566e-52,1.1259569743463933e-52,1.2884346362022104e-55,2.4032018317765155e-63,8.278881097775553e-43,1.0640478818529746e-37,1.9973380754300302e-38,2.8518639918437498e-37,2.159237788396403e-86,1.9507337802636669e-59,2.439281135941329e-89,1.4606640861501106e-88,3.572009840960196e-24,3.528161338504974e-90,1.7266644326026458e-56,6.763810826856603e-93,1.30190082579598e-94,4.189955082388388e-76,1.746995736411919e-91,7.757348108154123e-92,4.143354736736592e-58,6.337070699416843e-109,9.386731067801493e-110,1.1508352678737105e-109,3.76,0.0,0.6328915249142997,0.9999999999999984,3.405908544719984e-52,5.694480725833237e-54,4.026649294222026e-17,2.4878669784173603e-17,6.95734080857564e-18,8.430482349471024e-18,1.5769718395681368e-15,9.927789043238091e-35,7.581032908474278e-54,9.963666217251932e-34,2.3608794461824827e-42,1.5320318259220082e-36,2.2435188614268396e-89,2.569223023675546e-87,5.507275287269154e-39,2.4730944649669494e-89,2.267240011946237e-40,1.966568914712367e-107,2.242089063960141e-87,1.2977223750114687e-90,2.3209303270752024e-89,1.4455030372123851e-87,1.3081111423157249e-108,1.1165715213927247e-107,1.1685495660091626e-72,5.245498821786819e-42,2.8518639918437498e-37,3.026551048868224e-42,2.9974913737349155e-21,9.186935959666261e-22,4.6053079566099894e-35,1.1301773487748682e-50,3.355620542653238e-35,2.004200431672717e-24,7.30764565029666e-23,7.555743903757992e-37,7.492498549377088e-36,8.185718917870626e-51,7.871141244636115e-36,2.2484043958701607e-41,2.1117721789279234e-20,2.036186407120933e-46,8.545042145177194e-37,3.8112988705098297e-59,3.4326165117925555e-67,2.737163960234652e-71,2.7322448853021474e-38,2.5297257553699764e-37,4.450416427293672e-53,7.50806569346302e-23,1.5850176560049992e-71,2.6877773230019897e-51,2.4643140315972056e-40,2.1117721789279225e-20,6.518687700093693e-57,4.3354588469494295e-38,3.572009840958981e-24,1.3253081575894893e-39,4.2054482261711264e-72,1.9289595091009185e-37,1.6594925940556656e-50,6.24972001665754e-56,2.1131974766905298e-70,2.9456192920801957e-53,2.455931141695165e-54,8.278981214962924e-25,3.9190405704957374e-56,6.3877918325451805e-56,1.5047133270355387e-60,4.8136973809127775e-64,1.8097668124000922e-50,1.452949835091572e-56,1.2301363082360352e-58,5.291238775294654e-74,2.516849010835187e-75,9.046247746855695e-106,9.210719083302842e-87,5.574400741754602e-71,7.793090877941218e-71,1.3233483081620574e-114,9.01692114989319e-72,2.32617031530251e-77,3.216100297796022e-89,1.5713256468908467e-53,1.611382989468321e-70,1.9564755184044957e-42,3.0185039291401513e-46,3.532798956000864e-91,3.7434822591478544e-69,7.750114913573042e-54,7.784311275734158e-57
9.748249535735925e-22,0.7795041828901306,1.2488191519480519e-25,5.46402206507746e-26,9.940694219753477e-37,1.8923385634201634e-24,0.0,0.0,8.951155048831567e-21,7.92151812845368e-38,1.5344214443268496e-51,1.1054712342625413e-51,1.2654134995601115e-54,2.359477809230208e-62,3.985924872901697e-42,5.12293251726714e-37,9.616323051907262e-38,1.373049749716609e-36,1.1243104582290473e-84,1.915241993158532e-58,1.2679146234685836e-87,7.605646977852844e-87,8.164593922197809e-24,1.8232325489912054e-88,1.69524937891008e-55,3.521902277224656e-91,6.774370380943418e-93,9.347559299708232e-75,9.09656175573351e-90,4.039233297488522e-90,4.0679702502902587e-57,6.908608945772423e-107,9.829700612803323e-108,1.2549665827036807e-107,3.76,0.0,0.6328915249142997,0.9999999999999964,3.3439412060922697e-51,5.590874944434862e-53,9.203769815364632e-17,5.686553093525896e-17,1.59024932767447e-17,1.926967394164267e-17,3.604507061866719e-15,4.779803069162003e-34,7.443103064452643e-53,4.797076384062204e-33,1.1366618260753261e-41,7.376073757918483e-36,1.1681956198483746e-87,1.337789101874551e-85,2.6515159826803783e-38,1.2877351606528083e-87,1.091578469328358e-39,2.0440992364269134e-105,1.1674511272700736e-85,6.757213502109751e-89,1.2085036095212702e-87,7.526704346369991e-86,1.3596823214100148e-106,1.160591412393339e-105,2.3090026666377622e-71,2.525481884462257e-41,1.3730497497166086e-36,1.4571540480360184e-41,6.85140885425118e-21,2.0998710764950172e-21,2.2172575393743926e-34,1.1096163930516348e-49,1.6155868440455834e-34,4.5810295581259636e-24,1.6703190057820939e-22,3.637765442404486e-36,3.6073155267522156e-35,8.036985748307209e-50,3.7896156853312223e-35,1.0825099309917442e-40,4.8269078375495414e-20,9.803370486404492e-46,4.114069959962795e-36,3.74195583176943e-58,6.782446637370077e-66,5.408314163333513e-70,1.3154582990823008e-37,1.2179540557311148e-36,4.3694630921238144e-52,1.7161293013629145e-22,3.13180852979149e-70,2.638875714024738e-50,1.1864611264793962e-39,4.826907837549537e-20,6.400086239284448e-56,2.0873368090937724e-37,8.164593922191957e-24,6.380788281915056e-39,8.309292477388343e-71,9.287109689511328e-37,1.6292996687341497e-49,6.136012172690158e-55,4.713758975531577e-69,1.425887051789373e-52,2.4112477583879203e-53,1.892338563420024e-24,3.847969707416082e-55,6.871694961839792e-55,1.6187019332294465e-59,4.726116633614933e-63,8.71324848790036e-50,1.426514763968083e-55,1.2077551220395065e-57,1.045461816453232e-72,4.972871850511845e-74,9.40288696221604e-104,4.7960023308674365e-85,1.243473531833165e-69,1.540242911639447e-69,1.3755202113511973e-112,2.011625506527352e-70,5.0599285383932073e-76,1.6746139316893055e-87,1.5427368379584967e-52,3.183821245946322e-69,9.419587429669224e-42,1.453279706281375e-45,1.3976302758703643e-89,7.396490113364347e-68,7.609108779702198e-53,8.374006851996104e-56
2.0715030263438842e-21,0.7795041828901306,2.6537407031783656e-25,1.1611046888297198e-25,4.3413623311862755e-36,4.021219447267848e-24,0.0,0.0,1.9021204478767026e-20,3.459535083609403e-37,1.357178419300177e-50,9.777767876692938e-51,1.119411001852106e-53,2.0869314020272126e-61,1.7407581116172669e-41,2.237319221778916e-36,4.19970092019546e-37,5.996468989487304e-36,4.4868276421504645e-83,1.6940098535269586e-57,5.056812303623872e-86,3.035213963222448e-85,1.7349762084683465e-23,7.256603518815782e-87,1.4994288775582025e-54,1.4054987475894906e-89,2.7028210446321597e-91,1.750694405394906e-73,3.6301977668691796e-88,1.6119517229391592e-88,3.5980736180910412e-56,5.652227310628991e-105,7.896452777859224e-106,1.0268297513817126e-105,3.76,0.0,0.6328915249142996,0.9999999999999923,2.9576781279091e-50,4.945065573710875e-52,1.9558010857649842e-16,1.2083925323744667e-16,3.3792798213084084e-17,4.0948057125967676e-17,7.659577506452656e-15,2.087465576972712e-33,6.583340370048969e-52,2.0950092873951435e-32,4.964100822263066e-41,3.221325196892384e-35,4.661962056394265e-86,5.338765123248261e-84,1.1579866911996624e-37,5.1390129834876676e-86,4.7672099589014295e-39,1.636237563201852e-103,4.658990981937204e-84,2.6966265254323376e-87,4.822820661952676e-86,3.0037101215052377e-84,1.088383209907691e-104,9.290171585831898e-104,4.108865064598411e-70,1.1029442905079489e-40,5.9964689894873013e-36,6.363774556457725e-41,1.4559243815283513e-20,4.462226037551363e-21,9.683346200155637e-34,9.814437572293428e-49,7.055692200611306e-34,9.734687811089798e-24,3.5494278872869494e-22,1.5887077413519665e-35,1.5754094631957085e-34,7.108701661458077e-49,1.6550247319016935e-34,4.727605269461454e-40,1.025717915479278e-19,4.2813977433468733e-45,1.796722437810436e-35,3.309717556914086e-57,1.206914330242274e-64,9.623919236182472e-69,5.744951993926644e-37,5.3191253465561684e-36,3.8647477126790786e-51,3.64677476539593e-22,5.572951467613957e-69,2.3340556847368615e-49,5.1815874506545495e-39,1.0257179154792764e-19,5.6608038000503755e-55,9.115948237785442e-37,1.734976208465791e-23,2.7866578810382683e-38,1.4785970776557247e-69,4.055924795624732e-36,1.4410971043999852e-48,5.427233278620133e-54,8.827851694948548e-68,6.294860821474247e-52,2.1327213357794773e-52,4.0212194472672376e-24,3.40357793975589e-54,6.316271558719091e-54,1.4878659544242872e-58,4.180196641217651e-62,3.805304817651033e-49,1.2617361539643403e-54,1.0682457280603767e-56,1.8603452284434584e-71,8.848961649836888e-73,7.526716751837495e-102,1.9139586306359012e-83,2.328780732619948e-68,2.7411553920109457e-68,1.1010609646655859e-110,3.7675519428182793e-69,9.380254761034818e-75,6.682940665789728e-86,1.3645332622382265e-51,5.66543979625488e-68,4.113781305254352e-41,6.346854288092577e-45,4.988190668118604e-88,1.3161658963781972e-66,6.730170545231692e-52,7.69715501132002e-55
4.264859171884467e-21,0.7795041828901308,5.463583822457892e-25,2.390509653476084e-25,1.8124333133826583e-35,8.278981214963222e-24,0.0,0.0,3.916130333863776e-20,1.4442877963225936e-36,1.1407902488820195e-49,8.218803055533191e-50,9.40998646389073e-53,1.7541915904523737e-60,7.267322447076327e-41,9.340367333768307e-36,1.753292462905422e-36,2.503407762390888e-35,1.59468878055437e-81,1.4239173536463112e-56,1.7968087443520925e-84,1.0787625676187678e-83,3.5720098409696503e-23,2.576218311259876e-85,1.2603603189560654e-53,4.995362697880837e-88,9.605266761583548e-90,3.023889218377282e-72,1.2902289599128938e-86,5.729128513186894e-87,3.0243976762155714e-55,4.0681306575321515e-103,5.632104110703898e-104,7.390786939329807e-104,3.76,0.0,0.6328915249142993,0.9999999999999842,2.486106680004239e-49,4.156625577260757e-51,4.026649294222026e-16,2.4878669784188995e-16,6.957340808576799e-17,8.430482349454454e-17,1.576971839557961e-14,8.714757865442999e-33,5.533694257041956e-51,8.746251371431683e-32,2.072414374770207e-40,1.3448398577911346e-34,1.6569343322705905e-84,1.8974807425667235e-82,4.8343664856355515e-37,1.8264857035168655e-84,1.9902163151299817e-38,1.1649211926235923e-101,1.6558783658649094e-82,9.58423302730683e-86,1.7141060001171327e-84,1.0675656224300837e-82,7.748756631865208e-103,6.61414821834718e-102,6.93029604210017e-69,4.604575307983764e-40,2.503407762390886e-35,2.656750606203368e-40,2.9974913737347386e-20,9.186935959662309e-21,4.0426064215131616e-33,8.249628616146149e-48,2.9456126021761146e-33,2.0042004317246837e-23,7.307645650296661e-22,6.632542082393837e-35,6.5770243888627105e-34,5.975323314202673e-48,6.909402463417993e-34,1.973682136903945e-39,2.1117721789279276e-19,1.7874062102041636e-44,7.500962492339309e-35,2.782017032055225e-56,2.0356487753606262e-63,1.6232236966939606e-67,2.3984043678563125e-36,2.2206301249953898e-35,3.2485561322285952e-50,7.5080656934611235e-22,9.399649623747662e-68,1.9619144404240117e-48,2.1632107609571185e-38,2.111772178927921e-19,4.758246683082596e-54,3.80572894147235e-36,3.572009840958982e-23,1.1633748098711734e-37,2.493872389784892e-68,1.693268761133275e-35,1.2113289465684426e-47,4.561916586020971e-53,1.5247507055696316e-66,2.6845072686803825e-51,1.792680788818754e-51,8.278981214960674e-24,2.8609489390775466e-53,5.4037032988519835e-53,1.2729006489736177e-57,3.513707153279901e-61,1.588640092355922e-48,1.0605652627138596e-53,8.979249010818382e-56,3.1377455694008796e-70,1.4925068727386842e-71,5.358654415900743e-100,6.802508744730585e-82,4.022300571700996e-67,4.6236646928241054e-67,7.839016318307094e-109,6.507509057221628e-68,1.612226131278664e-73,2.375221187734316e-84,1.146972426209029e-50,9.555592294474335e-67,1.7174227149966624e-40,2.6496867272020417e-44,1.6854205815362016e-86,2.2199061590933192e-65,5.657113866462906e-51,6.585078165146096e-54
8.651571462965632e-21,0.7795041828901308,1.1083270128292542e-24,4.849319582778478e-25,7.40438146760247e-35,1.6794504750353986e-23,0.0,0.0,7.94415010583786e-20,5.9003869074812395e-36,9.352887741860654e-49,6.738271304849382e-49,7.715139068997111e-52,1.4381922496421906e-59,2.968938346518017e-40,3.8158448245347126e-35,7.162771796226607e-36,1.0227237551271504e-34,5.371350946263332e-80,1.1674134759923436e-55,6.051430903458016e-83,3.6335694077707677e-82,7.24607710598895e-23,8.672927298928034e-84,1.0333195372449603e-52,1.6825757432686274e-86,3.2351650979905806e-88,5.024237162451705e-71,4.3458461927033653e-85,1.9297282094526997e-85,2.4795839413907705e-54,2.757570326838988e-101,3.8005866417279606e-102,5.009916820355993e-102,3.76,0.0,0.6328915249142989,0.999999999999968,2.038260460515992e-48,3.407852780984431e-50,8.168345711136107e-16,5.046815870510482e-16,1.4113462783115623e-16,1.7101835623140578e-16,3.199000017365386e-14,3.560262943582682e-32,4.536856883650201e-50,3.5731290683520395e-31,8.466488933058774e-40,5.494109629532425e-34,5.5810111662305184e-83,6.391237724751038e-81,1.974996450886919e-36,6.152106880639168e-83,8.130683038934431e-38,7.85381695804526e-100,5.577454380488928e-81,3.228233642290101e-84,5.7735810891624335e-83,3.5958550338128774e-81,5.2241573614097334e-101,4.4592123286280246e-100,1.138310761205847e-67,1.881119265180357e-39,1.022723755127148e-34,1.0853693103003007e-39,6.080625358147201e-20,1.8636355803877225e-20,1.651536630187029e-32,6.763544944952947e-47,1.2033788609611508e-32,4.0656637330478403e-23,1.4824081176316081e-21,2.709609855171863e-34,2.686929065866632e-33,4.898943497000235e-47,2.8227163545558916e-33,8.063135525873017e-39,4.2838807058252335e-19,7.302194232762339e-44,3.064387928499928e-34,2.2808656453109317e-55,3.3435682969221308e-62,2.666157029032658e-66,9.798264422752429e-36,9.071998634374268e-35,2.663363705394585e-49,1.5230647549588164e-21,1.5438994616532765e-66,1.608495992133495e-47,8.837421797305474e-38,4.2838807058252075e-19,3.901098112150499e-53,1.5547644504664798e-35,7.246077105945363e-23,4.752765698240518e-37,4.096194728399974e-67,6.917555389215011e-35,9.931206520470047e-47,3.740134836618019e-52,2.53336211846266e-65,1.1429031554463173e-50,1.4697480198776456e-50,1.6794504750343568e-23,2.3455933560341027e-52,4.4678863848676344e-52,1.0524588720605646e-56,2.880749414477655e-60,6.490115087325972e-48,8.695154790277832e-53,7.361730842664174e-55,5.153757660899859e-69,2.4514471411990634e-70,3.6127671745118296e-98,2.291272292615636e-80,6.683039029377625e-66,7.594630141187757e-66,5.285010169328907e-107,1.0812323626609995e-66,2.67214659211653e-72,8.000398183679479e-83,9.403572921615637e-50,1.5695089037301327e-65,7.01623217199367e-40,1.0824834852109398e-43,5.541332066827405e-85,3.6462025322708134e-64,4.638043736148839e-50,5.444669969872171e-53
1.7424996045127963e-20,0.7795041828901309,2.2322643009064234e-24,9.766939441421927e-25,2.992969375084406e-34,3.382555182113557e-23,0.0,0.0,1.6000189649785755e-19,2.3850307270739508e-35,7.574211001363907e-48,5.4568268053756215e-48,6.248024822415743e-51,1.1646853714082957e-58,1.2000923488986113e-39,1.5424254881938581e-34,2.895306882914444e-35,4.13401293773717e-34,1.7629311542893351e-78,9.454017001133773e-55,1.986027286478879e-81,1.1925738589799655e-80,1.4594211636094312e-22,2.8458339304555155e-82,8.368089518818361e-52,5.522382128313913e-85,1.0617893307011371e-86,8.190774626876464e-70,1.4263501901164366e-83,6.333561112076342e-84,2.008031363322604e-53,1.815727107901298e-99,2.496920163605923e-100,3.2988189109497313e-100,3.76,0.0,0.6328915249142981,0.9999999999999356,1.650636166402943e-47,2.7597675366015317e-49,1.6451738544964255e-15,1.0164713654704513e-15,2.8425706732201453e-16,3.4444542170395814e-16,6.443056372908374e-14,1.4391152055048098e-31,3.674064330341654e-49,1.4443158988200731e-30,3.4222901942241796e-39,2.2208069555247734e-33,1.8317437471031463e-81,2.0976682163106497e-79,7.983251429335434e-36,2.019183078937155e-81,3.2865520828033395e-37,5.1574731404658796e-98,1.830576374366671e-79,1.0595386055132576e-82,1.8949471240109587e-81,1.1801956271594798e-79,3.43061869367876e-99,2.928291801983916e-98,1.8452568365588079e-66,7.603784901858546e-39,4.134012937737151e-34,4.387236288087153e-39,1.2246893326970879e-19,3.7535195492279145e-20,6.675775117200458e-32,5.477294445645024e-46,4.86424975972885e-32,8.188590336061146e-23,2.9856952228354925e-21,1.095267626390582e-33,1.0860996887187585e-32,3.967296416135298e-46,1.1409870818620762e-32,3.2592482980009427e-38,8.628097759619876e-19,2.951709458600723e-43,1.2386745960472793e-33,1.8471041350771254e-54,5.420075544348898e-61,4.321961218410641e-65,3.960615140433753e-35,3.6670468967931613e-34,2.1568614272747505e-48,3.067581126182885e-21,2.5027309065706416e-65,1.3026017574981389e-46,3.572227189097028e-37,8.628097759619769e-19,3.159210394347891e-52,6.284606494213259e-35,1.4594211635918134e-22,1.9211438854659207e-36,6.640109642196579e-66,2.796186490510544e-34,8.042548463257989e-46,3.0288581602486573e-51,4.129991926264117e-64,4.993261723613598e-50,1.1902400522759118e-49,3.3825551821093475e-23,1.8995281233531523e-51,3.633211007396439e-51,8.558420759717722e-56,2.33290556589427e-59,2.62340986245312e-47,7.041561786290152e-52,5.96172050250761e-54,8.35446417127409e-68,3.973901552789831e-69,2.37244510090067e-96,7.520185087925618e-79,1.0894980364896885e-64,1.2311421507465533e-64,3.4705802108336244e-105,1.7626816400973077e-65,4.3508980639869545e-71,2.6258106429596833e-81,7.615257156014533e-49,2.544241567668166e-64,2.8360732238202597e-39,4.375571321440815e-43,1.79732384519273e-83,5.910651430341673e-63,3.756008066935756e-49,4.427515196715142e-52
3.4971845209452625e-20,0.779504182890131,4.480138984701719e-24,1.9602179158863467e-24,1.2034598221681478e-33,6.788764596269898e-23,0.0,0.0,3.2112268737680483e-19,9.590103656101695e-35,6.096383962604641e-47,4.392128948145105e-47,5.028995965502644e-50,9.374401122401878e-58,4.825518552909586e-39,6.202025049748338e-34,1.1641901636070384e-34,1.6622684202575827e-33,5.712883229945572e-77,7.60941536366824e-54,6.435660039911554e-80,3.864606505529567e-79,2.92904806965721e-22,9.22096935210818e-81,6.735366452123277e-51,1.7895608108348605e-83,3.440752881558698e-85,1.3228122901382474e-68,4.622172542739683e-82,2.0524281283110937e-82,1.6162383360297031e-52,1.178610078741071e-97,1.6189780105788102e-98,2.1413123333831073e-98,3.76,0.0,0.6328915249142965,0.9999999999998708,1.3285755888280236e-46,2.2213010078231243e-48,3.3018524212620514e-15,2.040050922313604e-15,5.705019463040583e-16,6.912995526443824e-16,1.2931169083706898e-13,5.786618946762435e-31,2.9572066094378075e-48,5.807530705621949e-30,1.3760878352945411e-38,8.929767093627121e-33,5.9358745441518445e-80,6.797618600504805e-78,3.2100302881895947e-35,6.543282845863997e-80,1.3215081377371947e-36,3.34329289360508e-96,5.932091603103551e-78,3.433497860654619e-81,6.1406888457169506e-80,3.824494114478816e-78,2.2238725800087898e-97,1.8982429777781442e-96,2.971734078702109e-65,3.0574485201807524e-38,1.662268420257568e-33,1.7640884158593716e-38,2.4579429264613233e-19,7.533287486897137e-20,2.684299813497317e-31,4.408603240472138e-45,1.955893434637435e-31,1.643444354355573e-22,5.9922694332432606e-21,4.404022954063027e-33,4.367159079904954e-32,3.1932272833593976e-45,4.58785887372441e-32,1.3105294059295033e-37,1.7316531867209277e-18,1.1869062216382431e-42,4.980656071818184e-33,1.486710102449242e-53,8.728870370659293e-60,6.960389926963445e-64,1.5925459285402004e-34,1.4745034289426277e-33,1.736029897659788e-47,6.156613868625665e-21,4.0305736473238145e-64,1.0484472182159901e-45,1.4363768418383619e-36,1.7316531867208845e-18,2.5428073709946127e-51,2.5270126306030835e-34,2.9290480695863696e-22,7.724835068894781e-36,1.0693693051279123e-64,1.1243342897552557e-33,6.47334259104011e-45,2.4378885520910963e-50,6.669925590591696e-63,2.308108127230477e-49,9.580087425971238e-49,6.788764596252973e-23,1.5289078097015846e-50,2.9303162995751244e-50,6.902676392905219e-55,1.8777253601692195e-58,1.054862835048941e-46,5.66766152765513e-51,4.798511318954508e-53,1.3454607724649008e-66,6.399846020121328e-68,1.5379195604575142e-94,2.4369606992594594e-77,1.7595373920654688e-63,1.982732431237888e-63,2.249777944659849e-103,2.846735557125051e-64,7.022367170172579e-70,8.509095305180636e-80,6.129421471554852e-48,4.097422610103445e-63,1.1403725697945377e-38,1.75939798388917e-42,5.790327896455185e-82,9.51892191332447e-62,3.023162057583633e-48,3.5709514039129223e-51
