Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664)
0.0,0.4678726643912195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7930006014738039,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.292382274483897e-20,0.4678726643912195,9.342916199610185e-31,3.560623675933102e-35,5.881359236281095e-39,1.1107378713817419e-44,0.0,0.0,6.4818801144090906e-24,1.2293143805857363e-41,2.827531056763298e-56,1.9509857425709695e-56,5.660184250823152e-62,1.1269858533594837e-81,2.0312722546491212e-54,3.153596693429389e-43,1.0406341559420256e-48,1.3870942918690283e-41,1.8746062351724215e-103,9.127244887964906e-79,2.344135793495884e-99,1.1671170180245528e-98,1.7037356592137874e-31,2.9958504518766113e-96,1.9287126300090025e-67,9.698676923463779e-107,1.8075382840772596e-114,8.775588593829062e-92,4.0172581966829355e-109,3.7129850533553255e-107,7.407294007602615e-67,3.4165247026610914e-121,2.2145717714469394e-120,5.0464953340263856e-123,3.76,0.0,0.7930006014738039,0.9999999999999994,1.5271661813618942e-52,4.867923798404828e-64,2.7523604783615813e-21,1.712431141306753e-21,8.745591193053974e-22,1.6537021774943064e-22,4.924428900607124e-16,2.544471715624e-44,3.4401437183226596e-68,2.814042659454881e-40,3.605200411139495e-46,5.908932586318328e-39,1.775049496648959e-106,1.2820170459280512e-105,1.5499028829432733e-46,1.8481785286127772e-107,4.0520776785467743e-50,1.5169918310219508e-122,8.2079955258362e-106,8.248352717104626e-109,2.6798674853057696e-107,7.799955969223752e-106,1.8184659763809207e-123,2.5683755376358635e-122,2.464631845439597e-119,2.2021140141171615e-45,1.3870942918690276e-41,8.13318358255073e-50,4.996146463061943e-24,1.4857345856385458e-24,3.324405485298975e-38,1.7214419973854462e-53,5.150234778464292e-38,6.060887817854896e-33,2.771085909319772e-30,1.8215172421339923e-44,6.1571885678232095e-43,8.888346114501887e-56,1.8831537635866222e-41,2.692520554362426e-46,1.4855522976793639e-24,5.325615280386809e-51,5.401876961771848e-41,2.6104773294784886e-73,5.446988134109205e-70,1.6470246446102519e-74,4.395561390149537e-38,1.0351533661693402e-44,9.851613704775677e-62,2.7771467971297538e-30,1.7698974150254353e-74,5.695661910983275e-71,1.1368043771181216e-48,1.4855522976793604e-24,1.8896742487578074e-62,4.3619501566192006e-38,1.70373565921694e-31,6.020260067246731e-47,2.0309946406931838e-78,9.550952234631886e-39,5.8150670952422934e-52
3.6186703685549116e-20,0.4678726643912195,2.6160165364614475e-30,9.969746293096173e-35,3.5523409787136756e-38,6.708856744372437e-44,0.0,0.0,1.814926432034561e-23,7.4250588587379e-41,3.356844870585909e-55,2.3162102735761557e-55,6.719770742759276e-61,1.3379576051048314e-80,1.2268884418060854e-53,1.9047724028276714e-42,6.285430301899163e-48,8.378049523022216e-41,1.1404144536379981e-101,1.0835865131325041e-77,1.1198217981798796e-97,5.575458049130156e-97,4.770459845788403e-31,1.8219815737474076e-94,2.2897676343510869e-66,4.6331753024540405e-105,8.654153703163787e-113,2.7591854663255688e-90,1.919348937144564e-107,1.773737515807966e-105,8.793939445951562e-66,2.6363435215716964e-119,1.7088627966854121e-118,3.894101882972578e-121,3.76,0.0,0.7930006014738039,0.9999999999999987,1.8130516905127922e-51,5.779199133474066e-63,7.706609339412428e-21,4.794807195659661e-21,2.4487655340551137e-21,4.630366096976515e-22,1.3788400921129084e-15,1.5368609162370953e-43,4.084138622393142e-67,1.6996817662188462e-39,2.1775410482931052e-45,3.5689952821363985e-38,8.479624451485558e-105,6.124349270435148e-104,9.361413413187332e-46,8.828970613037427e-106,2.4474549178095634e-49,1.3196032811438563e-120,3.9210579586319855e-104,3.940337073241701e-107,1.2802048561894442e-105,3.726132565972423e-104,1.5818500929898483e-121,2.2341826219715947e-120,2.1439363498270422e-117,1.3300768645984182e-44,8.378049523022207e-41,4.9124428840907716e-49,1.3989210096573163e-23,4.160056839787634e-24,2.0079409131204606e-37,2.0436959392975975e-52,3.1107418061923433e-37,1.6970485890945416e-32,7.759040546100093e-30,1.1001964142472932e-43,3.718941894959646e-42,1.0552245005668985e-54,1.1374248732062873e-40,1.626282414834997e-45,4.1595464335022e-24,3.2576704656220194e-50,3.2627336849101753e-40,3.0991586855571754e-72,1.2184695126399123e-68,3.684328415271296e-73,2.6549190796497807e-37,6.252326331662374e-44,1.1695835952203656e-60,7.776011031943484e-30,3.959189900011625e-73,1.2740968443165797e-69,6.866298456522823e-48,4.159546433502178e-24,2.2434212737289025e-61,2.634617894597701e-37,4.770459845807445e-31,3.636237080772154e-46,4.543253831467508e-77,5.768775149717247e-38,6.903647160179059e-51
8.271246556696941e-20,0.4678726643912195,5.979466371744688e-30,2.2787991529356276e-34,1.7102992659103846e-37,3.2300257318181806e-43,0.0,0.0,4.148403273221928e-23,3.574846218743401e-40,3.2957701997525175e-54,2.274068981528018e-54,6.597510763318169e-60,1.3136147106648158e-79,5.90693971648989e-53,9.170659184437484e-42,3.0261641254934045e-47,4.033670200951252e-40,5.148375973187707e-100,1.0638716642407328e-76,5.830888886762087e-96,2.9031294470328338e-95,1.0903908218896831e-30,8.226664358976949e-93,2.248107441552043e-65,2.4124861965578113e-103,4.498012706184868e-111,6.155591018966181e-89,9.993182986886111e-106,9.235814471400515e-104,8.633941895644067e-65,2.8732161315635196e-117,1.8624022661513998e-116,4.2439827201380144e-119,3.76,0.0,0.7930006014738039,0.9999999999999969,1.7800649009952724e-50,5.674051979445019e-62,1.7615107061514117e-20,1.0959559304368488e-20,5.597178363554551e-21,1.0583693935910768e-21,3.151634495988955e-15,7.399323749037583e-43,4.0098315180783813e-66,8.183236052316274e-39,1.048392279506231e-44,1.7183175961015586e-37,4.415322871860785e-103,3.188935968009137e-102,4.507117583908019e-45,4.597226694344566e-104,1.1783441888700076e-48,1.3716275280945382e-118,2.0416867498539044e-102,2.051725344924123e-105,6.666000145336006e-104,1.9401895020286545e-102,1.6442131992533533e-119,2.3222633882549556e-118,2.228459844466256e-115,6.40374755409631e-44,4.033670200951242e-40,2.3651297861509502e-48,3.19753373635945e-23,9.508701348084638e-24,9.667371151247629e-37,2.0065127921545556e-51,1.4976882735772837e-36,3.878968204093329e-32,1.7734949819679653e-29,5.2969721401010785e-43,1.7905104355146324e-41,1.0360256938954897e-53,5.476211144509412e-40,7.829849772087264e-45,9.507534705147795e-24,1.610187177939035e-49,1.5708658204832223e-39,3.0427723752410927e-71,2.4074904803188424e-67,7.279612246367871e-72,1.2782292522546774e-36,3.010225988819782e-43,1.148304116392714e-59,1.7773739501491634e-29,7.822692233305657e-72,2.5174007160144583e-68,3.305827156748446e-47,9.507534705147688e-24,2.2026043217203122e-60,1.2684551055444207e-36,1.0903908218988508e-30,1.7506916277836097e-45,8.976704024735564e-76,2.777416909830338e-37,6.778040670807619e-50
1.7576398932981e-19,0.4678726643912195,1.2706366051440696e-29,4.842448200961231e-34,7.469326230075361e-37,1.4106370985562239e-42,0.0,0.0,8.815356955596911e-23,1.5612292633439677e-39,2.915071418258044e-53,2.0113882611342896e-53,5.8354235563963215e-59,1.1618773353563968e-78,2.5797157633736387e-52,4.0050678005983097e-41,1.3216053780608338e-46,1.7616097508745446e-39,1.943928807790666e-98,9.409824391756589e-76,2.326954688308571e-94,1.1585627523900687e-93,2.317080496495047e-30,3.1064531064739124e-91,1.988425573062448e-64,9.627610519865697e-102,1.793877800566028e-109,1.152874082305634e-87,3.9879011066942867e-104,3.6857711066358524e-102,7.636623830873834e-64,2.3504691940385105e-115,1.5235606899603564e-114,3.471841375128311e-117,3.76,0.0,0.7930006014738039,0.9999999999999933,1.5744472463365392e-49,5.0186347192545824e-61,3.74321025057175e-20,2.3289063521798188e-20,1.1894004022553444e-20,2.24903496136586e-21,6.697223302827668e-15,3.2314790788455706e-42,3.546650567845055e-65,3.5738341760832306e-38,4.578604521596194e-44,7.504344384626211e-37,1.7620394517946673e-101,1.27262063222947e-100,1.9683766616544547e-44,1.834632492548786e-102,5.1461386512123e-48,1.0979449745384622e-116,8.147835856464605e-101,8.187897254667704e-104,2.660225669628773e-102,7.742786984466827e-101,1.3161412860495055e-117,1.8588992740529427e-116,1.783812701386202e-113,2.796684798992635e-43,1.761609750874536e-39,1.0329143153406467e-47,6.794759189763277e-23,2.020599036467395e-23,4.221994966327848e-36,1.7747378416262173e-50,6.540798168648285e-36,8.242807435613637e-32,3.768676836691447e-29,2.3133268974847805e-42,7.819629481049121e-41,9.163530023034222e-53,2.391605279754509e-39,3.4195011040416287e-44,2.0203511248438682e-23,7.399013368250329e-49,6.86038374144993e-39,2.6912977076011666e-70,4.2840007210082766e-66,1.2953681173976322e-70,5.582362965481563e-36,1.3146447750343812e-42,1.0156619895829982e-58,3.7769196440270696e-29,1.3920063001110224e-70,4.479580114514368e-67,1.443741587962879e-46,2.0203511248438209e-23,1.948178599969539e-59,5.539676698901808e-36,2.3170804965350833e-30,7.645730287741358e-45,1.5973565233922693e-74,1.2129709337976145e-36,5.995098348157694e-49
3.6186703685549117e-19,0.4678726643912195,2.616016544735084e-29,9.969746300106764e-34,3.118296667074771e-36,5.889132211178701e-42,0.0,0.0,1.8149264320347876e-22,6.517824845866316e-39,2.450293173253079e-52,1.690693028691721e-52,4.9050251109288896e-58,9.766279087057708e-78,1.0769805493872936e-51,1.672036966804949e-40,5.5174422949347735e-46,7.35437393728988e-39,6.744392079943219e-97,7.909524387706297e-75,8.270361418488997e-93,4.117713480358356e-92,4.7704598456404866e-30,1.07780767280268e-89,1.6713915058151089e-63,3.4218116855628943e-100,6.3739739771343166e-108,1.9913033110352402e-86,1.4173452701990276e-102,1.3099807792386818e-100,6.419042471721703e-63,1.691649749707748e-113,1.0965176936847464e-112,2.4987094532202508e-115,3.76,0.0,0.7930006014738039,0.9999999999999862,1.3234177781087357e-48,4.218464877009636e-60,7.706609339412425e-20,4.794807195670578e-20,2.4487655340551303e-20,4.63036609686716e-21,1.378840091285157e-14,1.349078903626627e-41,2.9811735040045965e-64,1.4920054167609578e-37,1.9114772574894727e-43,3.132916057267711e-36,6.26256418933566e-100,4.523093049557397e-99,8.217585088201795e-44,6.52057122845307e-101,2.148411584672881e-47,7.8168317231444475e-115,2.8958684778421235e-99,2.9101069265788885e-102,9.454858687723883e-101,2.751907764763471e-99,9.370282838530373e-116,1.3234454501331371e-114,1.269987563863808e-111,1.1675608512361367e-42,7.354373937289814e-39,4.312213938678735e-47,1.3989210096569174e-22,4.1600568397833805e-23,1.7625997883038532e-35,1.4917740918631274e-49,2.7306544795405397e-35,1.6970485904745197e-31,7.759040546168685e-29,9.657684417565924e-42,3.2645413785821466e-40,7.702499162770786e-52,9.984481254531761e-39,1.4275743979241607e-43,4.159546433501924e-23,3.3955749876031536e-48,2.8640751651311484e-38,2.262197886092456e-69,7.225593413026466e-65,2.1848276752645427e-69,2.3305266490497716e-35,5.4883831474237184e-42,8.537251014940758e-58,7.776011031655991e-29,2.3478220952178264e-69,7.555466646890096e-66,6.027337068675857e-46,4.1595464335017263e-23,1.637561535350176e-58,2.3127059730353826e-35,4.770459845807633e-30,3.191941889749561e-44,2.694175254432894e-73,5.063914874796112e-36,5.0392382537688464e-48
7.340731319068535e-19,0.4678726643912195,5.306776438524362e-29,2.0224342510775153e-33,1.2739259360141898e-35,2.4059026734164653e-41,0.0,0.0,3.681707904985379e-22,2.662744120924557e-38,2.0088983838747412e-51,1.3861322922491976e-51,4.021435936930482e-57,8.006985648930345e-77,4.3998169542259104e-51,6.8308165814013434e-40,2.2540552072468614e-45,3.004501721481091e-38,2.2461641522485237e-95,6.484705969627047e-74,2.7856854990131e-91,1.3869593057445143e-90,9.677218543670217e-30,3.5896048106693884e-88,1.3703077377338182e-62,1.152565882997801e-98,2.1466571742508323e-106,3.308580344609514e-85,4.7739824783029523e-101,4.412376045294159e-99,5.2627188417881e-62,1.1466552833714899e-111,7.432553974761304e-111,1.6937066304020056e-113,3.76,0.0,0.7930006014738039,0.999999999999972,1.0850178520273555e-47,3.4585523751668983e-59,1.5633407517093776e-19,9.726608882671374e-20,4.967495797654733e-20,9.393028367676696e-21,2.7970756118285265e-14,5.511427514933766e-41,2.4441461535045944e-63,6.095328951231216e-37,7.809008294335919e-43,1.2798984339283595e-35,2.1094040960308048e-98,1.523502309228422e-97,3.3571516429671414e-43,2.1963079742292124e-99,8.77696233064908e-47,5.270053109474448e-113,9.754082582120079e-98,9.802041601281865e-101,3.1846568037736282e-99,9.269183252749836e-98,6.31737894801426e-114,8.922576373484853e-113,8.562167346278366e-110,4.7698670471661973e-42,3.004501721481041e-38,1.7616800994329044e-46,2.837811191017391e-22,8.438972446407838e-23,7.200795257362913e-35,1.2230465297026528e-48,1.1155614539534396e-34,3.4425842867372065e-31,1.573976796524426e-28,3.9454792069584503e-41,1.333671672478977e-39,6.314974192575189e-51,4.0789863780753486e-38,5.832107221581325e-43,8.437937050817548e-23,1.6377868273553125e-47,1.1700681574273885e-37,1.8546865032612667e-68,1.1868058905224124e-63,3.5885860251749918e-68,9.520961793455889e-35,2.242183597252256e-41,6.999354183932748e-57,1.5774193806406256e-28,3.856304847043619e-68,1.2409876679242685e-64,2.462363974154305e-45,8.43793705081674e-23,1.3425719422126255e-57,9.448158517208592e-35,9.677218544353064e-30,1.3040124133763047e-43,4.4251909466439265e-72,2.0687744578253682e-35,4.1314668296793594e-47
1.4784853220095782e-18,0.4678726643912195,1.0688296284531913e-28,4.073353498162119e-33,5.149412316597239e-35,9.725043337307129e-41,0.0,0.0,7.415270850888159e-22,1.076323747293597e-37,1.626857995411028e-50,1.1225258681009571e-50,3.2566630874999045e-56,6.484264573028228e-76,1.7784763598208218e-50,2.761125277381344e-39,9.111251540573746e-45,1.214467634307293e-37,7.331853898263215e-94,5.251483026823656e-73,9.142898735625007e-90,4.552139316217695e-89,1.9490735938685072e-29,1.1717156129424943e-86,1.1097107337172659e-61,3.7828725232347373e-97,7.045112244615636e-105,5.393821365683095e-84,1.5668646321592395e-99,1.4481859988787245e-97,4.261886165320145e-61,7.550093278147508e-110,4.89392729077234e-109,1.115212500370174e-111,3.76,0.0,0.7930006014738039,0.9999999999999437,8.786755875584178e-47,2.8008253825680818e-58,3.1487003872456483e-19,1.9590212256750067e-19,1.000495632485406e-19,1.8918352908523493e-20,5.633546647069627e-14,2.227807121690542e-40,1.979332923884417e-62,2.4638294134717555e-36,3.156526006109013e-42,5.173554108097873e-35,6.923275458003337e-97,5.000287125932625e-96,1.3570143713246885e-42,7.20850269884569e-98,3.5477885038414095e-46,3.4607576795747264e-111,3.2013875702647203e-96,3.2171282021498062e-99,1.0452362521876779e-97,3.042238755358329e-96,4.148519420559084e-112,5.85930995793332e-111,5.622635348834701e-108,1.928056527425338e-41,1.2144676343072612e-37,7.120992641693577e-46,5.715591553735525e-22,1.6996803659626712e-22,2.9106765738309685e-34,9.904547893739826e-48,4.509277759806302e-34,6.933655689008082e-31,3.1701222803879816e-28,1.5948257781567946e-40,5.390914135639207e-39,5.114029833125486e-50,1.6487915113975994e-37,2.3574309863392346e-42,1.6994718285446855e-22,8.646073745107517e-47,4.729602570123436e-37,1.5019732163410334e-67,1.9238634935835747e-62,5.817252594859502e-67,3.848524983970321e-34,9.063264594385715e-41,5.668258487931779e-56,3.1770559353876494e-28,6.251236332773246e-67,2.0116944882753233e-63,9.953269806819128e-45,1.699471828544358e-22,1.0872496616494972e-56,3.819096735698954e-34,1.949073594144525e-29,5.2710266759057674e-43,7.173425215269374e-71,8.362317127087692e-35,3.3457606148944054e-46
2.9673097022150275e-18,0.4678726643912195,2.145133621026301e-28,8.175192012135036e-33,2.0705560445614314e-34,3.910397202383893e-40,0.0,0.0,1.4882396742700106e-21,4.3278504494315e-37,1.3094368480593765e-49,9.035064760799937e-50,2.6212457809443817e-55,5.219100245679982e-75,7.151175221819352e-50,1.1102363300187228e-38,3.6635941720953786e-44,4.883320948429911e-37,2.3695284869094636e-92,4.2268504171590354e-72,2.962810706231116e-88,1.47514781602149e-87,3.911777072453639e-29,3.7867964814450603e-85,8.931917412653245e-61,1.225885597856702e-95,2.282941846217199e-103,8.711037080502194e-83,5.0775113151949455e-98,4.6929328509335635e-96,3.43033676485028e-60,4.900830071194566e-108,3.1766900335201293e-107,7.238939660161481e-110,3.76,0.0,0.7930006014738039,0.999999999999887,7.072345559141483e-46,2.2543479344050227e-57,6.31941965831819e-19,3.931741900521588e-19,2.0079877379253202e-19,3.796900198712801e-20,1.1306488694169271e-13,8.957914453880112e-40,1.5931393352278123e-61,9.906949671896048e-36,1.2692252227335875e-41,2.0802633527534687e-34,2.243528584986234e-95,1.6203727790418097e-94,5.45649511148364e-42,2.3359581756972935e-96,1.426550152237628e-45,2.2434099477542724e-109,1.0374286802546955e-94,1.0425295266521901e-97,3.3871502432837346e-96,9.858555605147967e-95,2.6892462768727244e-110,3.798253280666833e-109,3.6448308030703794e-106,7.752630524695034e-41,4.8833209484297855e-37,2.8633198311065016e-45,1.1471152279160524e-21,3.4112466085944277e-22,1.1703702487120543e-33,7.972041821044207e-47,1.8131607546905323e-33,1.3915798532531836e-30,6.362413248308853e-28,6.4127243103316216e-40,2.1676628636174036e-38,4.116216122026602e-49,6.629718150831773e-37,9.479126312522516e-42,3.4108280754697683e-22,5.105755955698622e-46,1.9017523918980202e-36,1.208918713236318e-66,3.0983228484786712e-61,9.36850596934977e-66,1.5474749696052636e-33,3.6442988316992425e-40,4.5623075551094724e-55,6.376329044069577e-28,1.0067423369702558e-65,3.239771953230705e-62,4.002166757263339e-44,3.410828075468451e-22,8.751132681089794e-56,1.5356420004151587e-33,3.911777073563493e-29,2.1194566495085428e-42,1.155258014719145e-69,3.362450937978823e-34,2.6929457931122628e-45
5.9449584626259256e-18,0.4678726643912195,4.297741699658913e-28,1.6378869119295707e-32,8.303855817483222e-34,1.568244214045171e-39,0.0,0.0,2.9816648526349548e-21,1.7356615980660952e-36,1.0507406049641101e-48,7.250070460255947e-49,2.103384666680884e-54,4.187999258162312e-74,2.8679411074464993e-49,4.452544247537879e-38,1.4692651215618562e-43,1.9584301162845694e-36,7.620048504224596e-91,3.391781275627874e-71,9.540722555283777e-87,4.750211010881132e-86,7.837184027952541e-29,1.2177792509911002e-83,7.167301213033588e-60,3.947696758830267e-94,7.351326928417215e-102,1.4002741444040963e-81,1.6350384781796443e-96,1.511199153708915e-94,2.7526292239992234e-59,3.1587137320981406e-106,2.0474601886346144e-105,4.665686803282228e-108,3.76,0.0,0.7930006014738039,0.9999999999997735,5.675111910423981e-45,1.8089722438279267e-56,1.2660858200463272e-18,7.87718325033812e-19,4.022971948805343e-19,7.607030013198076e-20,2.2652372694838327e-13,3.592524348585856e-39,1.278393984130445e-60,3.9731298882922315e-35,5.090160806650565e-41,8.34278646510589e-34,7.224519527383265e-94,5.2178585328502635e-93,2.1882985938682957e-41,7.522157582703302e-95,5.721104139262809e-45,1.4449732132421988e-107,3.3406856504635454e-93,3.3571111952357556e-96,1.0907163541416533e-94,3.174611988471959e-93,1.7321349633007848e-108,2.4464428459151428e-107,2.347623944573183e-104,3.109151606873495e-40,1.9584301162846847e-36,1.1483193247182952e-44,2.298227372996546e-21,6.834379093809866e-22,4.693708158185063e-33,6.397061499682558e-46,7.271585582249198e-33,2.7880084375507362e-30,1.274699518492564e-27,2.5717892640257898e-39,8.693297592241758e-38,3.303004207928841e-48,2.658813499864851e-36,3.8015536156352623e-41,6.833540569316822e-22,3.3544097055424823e-45,7.626877671050971e-36,9.70081132344447e-66,4.9734943472920344e-60,1.5038526883050242e-64,6.206066753041921e-33,1.4615268267464515e-39,3.6609644826965146e-54,1.2774875258184959e-27,1.6160443998327225e-64,5.200551471964598e-61,1.6050484677115315e-43,6.83354056931154e-22,7.022235286182636e-55,6.1586112542423704e-33,7.837184032403552e-29,8.499969162363706e-42,1.8544449585598476e-68,1.3484932154103418e-33,2.1608978590636942e-44
