Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798)
0.0,0.48515967059742665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7405942927047247,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.590123637062644e-21,0.48515967059742665,3.1681865831752646e-30,2.7258078184680065e-34,8.278917956714266e-39,2.6147007194126663e-44,0.0,0.0,1.0683791476661244e-23,1.7785620702313627e-41,2.066122441447131e-56,1.5600600019744385e-66,1.815331606403242e-61,5.484021147721626e-80,2.940808509770744e-53,6.629658493533727e-55,1.1819676436502587e-47,3.116667191492973e-41,3.006187501565374e-117,7.604572698272732e-77,8.526672687328897e-119,3.8090289602482304e-122,4.140176853634829e-45,3.332335742568976e-98,2.281885714420194e-66,1.766479610623015e-105,1.665105205173923e-112,1.3613202241316897e-104,2.6495840428513743e-107,2.1896865894568743e-109,4.2797805545237697e-66,1.4984952488245797e-120,7.869298667015434e-125,8.691556731306677e-122,3.76,0.0,0.7405942927047247,0.9999999999999994,1.3115501708844116e-52,4.2285067596232566e-63,6.7241985192038164e-21,4.238200650441777e-21,2.010978552033049e-21,4.750193167289904e-22,4.769696006277507e-16,2.093921067014752e-43,8.564393486952195e-67,1.0739150661435518e-39,7.864802521759498e-46,8.34716189425046e-39,7.017750103199428e-105,6.642800096688736e-104,7.734180304574656e-46,9.077021095797236e-106,3.4788909919938886e-49,3.6655864064623746e-121,4.2275940237253536e-104,4.3499269586042474e-107,1.302601805196473e-105,3.700896910625234e-104,4.047175930294625e-122,5.493814809643433e-121,5.44751331185439e-118,4.310330553229893e-45,3.116667191492973e-41,4.2535971470225296e-49,8.22885839848764e-24,2.4549362463600183e-24,5.536121219274214e-38,2.1391042456375166e-53,4.1786395322798756e-38,4.687185010617641e-32,1.607099361186003e-29,1.0152344637445843e-43,3.0204580610616136e-42,2.382218661990186e-55,5.806167032785568e-41,6.042507991861214e-46,4.241158741663302e-24,1.1089464012904647e-50,1.2348780456338971e-40,6.304953414705547e-72,8.028791386647358e-70,2.7018952495107274e-74,3.2114918653451905e-38,4.761579614842337e-44,5.955499987406838e-61,1.611786546193984e-29,2.8776981073822215e-74,9.89118542706429e-71,6.87328612117407e-48,4.241158741663311e-24,5.323263619783198e-62
2.1252346183775403e-20,0.48515967059742665,8.870922434489563e-30,7.63226189184753e-34,5.000466445855328e-38,1.5792792347627616e-43,0.0,0.0,2.99146161346516e-23,1.0742514904197467e-40,2.452900562486143e-55,1.852267382890469e-65,2.1551616831797024e-60,6.510629906563785e-79,1.7762483398994584e-52,4.029768462778183e-54,7.139084567654819e-47,1.88246698368077e-40,2.319708953224331e-115,9.028148707556296e-76,5.03007207265626e-117,1.8343698407009687e-120,2.5006668195903725e-44,1.5919012162957203e-96,2.709054720162682e-65,8.438685077769642e-104,7.954407377739195e-111,6.50319007034205e-103,1.2657380922802555e-105,1.0460395600331143e-107,5.080955474376772e-65,1.1563060665802885e-118,6.098674205670502e-123,6.706794555937913e-120,3.76,0.0,0.7405942927047247,0.9999999999999987,1.557072362873951e-51,5.020083225029404e-62,1.8827755853770684e-20,1.1866961821238581e-20,5.63073994569254e-21,1.3300540868395645e-21,1.3355148817252417e-15,1.2647283244770517e-42,1.0167647947710676e-65,6.48644699930149e-39,4.7503407230927187e-45,5.041685784127488e-38,3.3524634373172737e-103,3.1733453197866606e-102,4.6714449040257766e-45,4.3362019018560315e-104,2.1012501591538772e-48,3.1886261681736425e-119,2.0195723962598723e-102,2.078012307267566e-105,6.22268513579825e-104,1.76796286496956e-102,3.52056387361785e-120,4.778968416593016e-119,4.738691127088069e-116,2.6034396543015375e-44,1.88246698368077e-40,2.5691726768727522e-48,2.3040803515765165e-23,6.873821489807838e-24,3.3438172164415366e-37,2.539544560433724e-52,2.5238982774970085e-37,1.3124118030164112e-31,4.4998782113227064e-29,6.13201616101068e-43,1.8243566688792355e-41,2.8281702382062986e-54,3.5069248878024375e-40,3.6496748270843625e-45,1.1875244476657221e-23,6.730325612025619e-50,7.458663395628738e-40,7.485240693939222e-71,1.7960086652572483e-68,6.044032092793764e-73,1.9397410866681416e-37,2.875994087364681e-43,7.070369776303793e-60,4.5130023293369436e-29,6.437296085817713e-73,2.212618796648071e-69,4.151464823012464e-47,1.1875244476657271e-23,6.319778577523858e-61
4.857679127720092e-20,0.48515967059742665,2.0276394143513452e-29,1.7445170039155028e-33,2.407509341812375e-37,7.603549695614701e-43,0.0,0.0,6.837626545063278e-23,5.172058500232855e-40,2.4082723177511055e-54,1.8189147987953022e-64,2.115950520601578e-59,6.392175049749202e-78,8.551871146382261e-52,1.966086788945149e-53,3.437161907745838e-46,9.06326819314135e-40,2.5281322900199712e-113,8.863889937605554e-75,2.314897120730128e-115,9.773534804941747e-119,1.2039634290294126e-43,8.288982298433814e-95,2.6597659887375272e-64,4.394005824853017e-102,4.141843430385149e-109,3.3861975889606315e-101,6.590672005047431e-104,5.446706302593216e-106,4.988512214493293e-64,1.2601989144005174e-116,6.63485869387876e-121,7.309392783825518e-118,3.76,0.0,0.7405942927047247,0.999999999999997,1.5287428791827954e-50,4.928747479031355e-61,4.303487052290442e-20,2.712448416283861e-20,1.2870262733011538e-20,3.040123627054279e-21,3.052605443790384e-15,6.089122462881019e-42,9.982657048394663e-65,3.122945012037106e-38,2.287084573252087e-44,2.427354678848343e-37,1.7456207614518968e-101,1.6523543289807385e-100,2.2490996326625647e-44,2.2578513405766624e-102,1.0116615004549789e-47,3.314335066911144e-117,1.0515871597211768e-100,1.082016700248312e-103,3.240139249424055e-102,9.205745984225391e-101,3.659359136371844e-118,4.967375217627915e-117,4.9255102159135365e-114,1.2534441250996014e-43,9.06326819314135e-40,1.2369460504608685e-47,5.2664693750319327e-23,1.5711591976702632e-23,1.60990405056481e-36,2.493339908733255e-51,1.2151483759869346e-36,2.999798407099592e-31,1.0285435911603709e-28,2.952301820559337e-42,8.783492041537492e-41,2.7767144170330237e-53,1.688433373133975e-39,1.757161324033517e-44,2.7143415946644947e-23,3.2732501572994742e-49,3.591025356703373e-39,7.349053700183235e-70,3.548610611151923e-67,1.1941989386459627e-71,9.339018344418507e-37,1.3846673519960157e-42,6.941731056842678e-59,1.0315433895598023e-28,1.2719012796420617e-71,4.371762058780233e-68,1.998751612770574e-46,2.714341594664519e-23,6.204796100377647e-60
1.0322568146405195e-19,0.48515967059742665,4.30873375871424e-29,3.707098633596382e-33,1.0514225805025739e-36,3.32066991733551e-42,0.0,0.0,1.45299564082597e-22,2.2587738291938842e-39,2.1300895922350203e-53,1.6094280666727797e-63,1.8715342733100612e-58,5.6538064423813274e-77,3.7348268073767496e-51,8.814214643381699e-53,1.5010989074470773e-45,3.958167333482652e-39,2.0681691852908076e-111,7.840010270043832e-74,8.835239937472286e-114,4.081171841949677e-117,5.258024604037748e-43,3.3079132336702336e-93,2.3525328961582368e-63,1.7535323779318076e-100,1.6529009857449884e-107,1.3513425683377017e-99,2.6301641858398773e-102,2.1736375042817517e-104,4.4122825607839513e-63,1.0309209579646448e-114,5.423456160531403e-119,5.979537139367981e-116,3.76,0.0,0.7405942927047247,0.9999999999999936,1.3521557641748315e-49,4.359421328931616e-60,9.14490998611719e-20,5.763952884606434e-20,2.734930830764959e-20,6.4602627074579724e-21,6.48678656740131e-15,2.659279755110924e-41,8.829547109314919e-64,1.3638721336836903e-37,9.988299201851054e-44,1.0600895605701251e-36,6.966314217104768e-100,6.594112368247281e-99,9.822408987754836e-44,9.010491994141489e-101,4.418191559652605e-47,2.6530216521448436e-115,4.196608302821133e-99,4.318044611214557e-102,1.2930545178617127e-100,3.673771562746232e-99,2.929202637839313e-116,3.976228636952751e-115,3.942717082448458e-112,5.474119804852413e-43,3.958167333482652e-39,5.402068377821353e-47,1.119124742194241e-22,3.338713295048881e-23,7.030873948476897e-36,2.2053309131005423e-50,5.3068722059948954e-36,6.374571615961501e-31,2.1856551312196084e-28,1.289347768945378e-41,3.835981737517581e-40,2.4559724987999908e-52,7.373832131636966e-39,7.673985149666551e-44,5.767975888661999e-23,1.458410419397215e-48,1.568295117955049e-38,6.500154772429957e-69,6.314563096178599e-66,2.125013244246405e-70,4.078594668982909e-36,6.047206110848363e-42,6.1398825403288466e-58,2.1920297028020816e-28,2.2632804107056072e-70,7.779317142721857e-67,8.729073464125102e-46,5.767975888662101e-23,5.48807191427911e-59
2.1252346183775402e-19,0.48515967059742665,8.870922457672498e-29,7.632261893835657e-33,4.3894823006486626e-36,1.3863143247458774e-41,0.0,0.0,2.9914616134653304e-22,9.429936096367173e-39,1.79046864980026e-52,1.3538617952329172e-62,1.5731373254782948e-57,4.752364982143373e-76,1.559216671851563e-50,3.870138454200062e-52,6.266792446734907e-45,1.6524569451864067e-38,1.4884763831132256e-109,6.590001029021473e-73,3.0961765493520468e-112,1.5829433267890217e-115,2.1951217677265517e-42,1.1756838742918729e-91,1.9774456499806224e-62,6.232328716453095e-99,5.8746689869478e-106,4.802883150820769e-98,9.348015462902502e-101,7.725448134459812e-103,3.7087893525890475e-62,7.419613007325574e-113,3.90179387973886e-117,4.303516307801432e-114,3.76,0.0,0.7405942927047247,0.9999999999999867,1.1365683932854006e-48,3.664356301836555e-59,1.8827755853770687e-19,1.186696182126185e-19,5.630739945692593e-20,1.3300540868162418e-20,1.3355148812545729e-14,1.1101969497331916e-40,7.421766365509102e-63,5.693897677825531e-37,4.16991829633063e-43,4.425665236334434e-36,2.475937181930961e-98,2.343650815146392e-97,4.1006623983324555e-43,3.2024699813860377e-99,1.8445080037910984e-46,1.8888217801705627e-113,1.4915403196804393e-97,1.5347006858020335e-100,4.595718280623937e-99,1.305715953410034e-97,2.085449146323206e-114,2.8308804962035543e-113,2.8070219331322584e-110,2.285337261336542e-42,1.6524569451864067e-38,2.2552572083438125e-46,2.304080351576194e-22,6.873821489804758e-23,2.935251470457971e-35,1.8537135136172535e-49,2.2155146800142986e-35,1.312411803646751e-30,4.499878211350233e-28,5.382773126681591e-41,1.601446863947267e-39,2.0643928854133363e-51,3.078429760782272e-38,3.2037377372873265e-43,1.1875244476656834e-22,6.330070227466279e-48,6.547323397950918e-38,5.4637717499384795e-68,1.0650433709713978e-64,3.5841454657752687e-69,1.7027329870010852e-35,2.524589511788142e-41,5.160941243793359e-57,4.513002329246896e-28,3.817353252751481e-69,1.3120955522119448e-65,3.644216382653452e-45,1.1875244476657265e-22,4.613055176525716e-58
4.3111902258515814e-19,0.48515967059742665,1.799529989651888e-28,1.5482588417824273e-32,1.7932467450950855e-35,5.663546374329062e-41,0.0,0.0,6.06839355874435e-22,3.852436586604354e-38,1.4679343746667805e-51,1.1116840746975639e-61,1.289753024974198e-56,3.8962759380417687e-75,6.369908864259258e-50,1.736656396042715e-51,2.5601891949379205e-44,6.750825805631461e-38,1.0089377597783394e-107,5.402880996312718e-72,1.046507401407198e-110,6.27553393527561e-114,8.96778867144915e-42,3.960026619617492e-90,1.6212294161193175e-61,2.0992199560752653e-97,1.978750308626016e-104,1.6177433281583002e-96,3.148669061009323e-99,2.6021436982903194e-101,3.0406895873294504e-61,5.0292552917060195e-111,2.6442595229291664e-115,2.917063484559403e-112,3.76,0.0,0.7405942927047247,0.9999999999999729,9.318274373850946e-48,3.0042606873769038e-58,3.8193447589077675e-19,2.407297969461377e-19,1.1422358175547955e-19,2.698109718915953e-20,2.7091873294524824e-14,4.535516788013313e-40,6.0848124706919464e-62,2.3261429874416942e-36,1.7035476848247773e-42,1.8080286549446246e-35,8.339638325579804e-97,7.894061408454328e-96,1.6752543914077262e-42,1.0786800893459455e-97,7.535417042899502e-46,1.2734303934196245e-111,5.0239185806258485e-96,5.169294581411569e-99,1.5479644879567574e-97,4.398010937405704e-96,1.4059951836362862e-112,1.9085597701977317e-111,1.8924745040058525e-108,9.336348408523472e-42,6.750825805631461e-38,9.213461572739568e-46,4.673991570339531e-22,1.394403787931107e-22,1.1991460005786413e-34,1.5197863351163177e-48,9.051100372495345e-35,2.6623210888608294e-30,9.128324371660086e-28,2.199038457771261e-40,6.542432978348214e-39,1.692514019460969e-50,1.2576390039689461e-37,1.3088314010712254e-42,2.408978165264582e-22,2.7833917550078856e-47,2.674795241964844e-37,4.479530187792673e-67,1.7493369422799953e-63,5.88696971442618e-68,6.956219839970519e-35,1.0313771908922383e-40,4.231251447477277e-56,9.154947581977545e-28,6.270014203702805e-68,2.1551208930610197e-64,1.4887813357444983e-44,2.408978165264758e-22,3.7820614271186047e-57
8.683101440799664e-19,0.48515967059742665,3.624405493793113e-28,3.1183241479841784e-32,7.248590059156614e-35,2.289296008555724e-40,0.0,0.0,1.2222257449303589e-21,1.5572164634672701e-37,1.1887713153756796e-50,9.030343909351471e-61,1.0444754396901836e-55,3.155305272210846e-74,2.5748190089115813e-49,8.277638788268388e-51,1.0348694065332037e-43,2.7287917279604845e-37,6.643299261806019e-106,4.375393112601645e-71,3.508203656846566e-109,2.7468756600157376e-112,3.6249235633543357e-41,1.2997203150184206e-88,1.3129136144351075e-60,6.889850091096963e-96,6.494456643840076e-103,5.309595633257924e-95,1.0334247133021702e-97,8.540496172689313e-100,2.4624292637695e-60,3.311487516961774e-109,1.7409349867589663e-113,1.9207255872485538e-110,3.76,0.0,0.7405942927047247,0.9999999999999455,7.546180180518052e-47,2.4329281954347633e-57,7.692483105969165e-19,4.848501544148193e-19,2.300559463525906e-19,5.434220982950667e-20,5.456532222524405e-14,1.8333284023963524e-39,4.9276388982003726e-61,9.402641863347242e-36,6.886012113397176e-42,7.308340902206907e-35,2.7371528032258664e-95,2.5909099968996497e-94,6.771646103190468e-42,3.540336064859002e-96,3.045936049103506e-45,8.362409111398325e-110,1.6489003822729926e-94,1.6966142419773526e-97,5.0805744507516034e-96,1.443471226682072e-94,9.232940398175678e-111,1.2533199837959633e-109,1.242757056786319e-106,3.773901309188566e-41,2.7287917279604845e-37,3.724228481793335e-45,9.413814007863924e-22,2.8084470658301934e-22,4.847139861284623e-34,1.230762377297935e-47,3.658599485205162e-34,5.3621396637404915e-30,1.8385216692474187e-27,8.888865041984343e-40,2.6445560142541526e-38,1.3706417369595326e-49,5.083577933216902e-37,5.290505787275504e-42,4.851885600462107e-22,1.2846429664937132e-46,1.0811950030986651e-36,3.627639685750734e-66,2.835750573272855e-62,9.543031612323006e-67,2.8118152796848858e-34,4.168991508607168e-40,3.426577126259681e-55,1.8438838086802925e-27,1.01639632284073e-66,3.493543843760921e-63,6.017892482370264e-44,4.851885600462816e-22,3.0628115368629734e-56
1.742692387069583e-18,0.48515967059742665,7.274156567563355e-28,6.258454766003793e-32,2.914626182326071e-34,9.205158657888225e-40,0.0,0.0,2.452998523042687e-21,6.261498910735086e-37,9.568265753842517e-50,7.312897655392989e-60,8.406847027188837e-55,2.539664188122898e-73,1.0353233989356554e-48,4.339919817799159e-50,4.161164368748372e-43,1.097235152879501e-36,4.3122223248984726e-104,3.5216970318666845e-70,1.192162325718365e-107,1.4232484906465723e-110,1.457565821630545e-40,4.211820857733448e-87,1.0567470978817985e-59,2.2326968961670185e-94,2.1045672970766797e-101,1.7206060706573486e-93,3.348874240246794e-96,2.767598576516582e-98,1.9819772991914485e-59,2.1495148476987908e-107,1.1300027743863923e-111,1.2467593956122311e-108,3.76,0.0,0.7405942927047247,0.9999999999998905,6.073822312112451e-46,1.9582322717819409e-56,1.5438759800091962e-18,9.73090869358756e-19,4.617206755468276e-19,1.0906443510361262e-19,1.0951221995372667e-13,7.371732873379401e-39,3.966192480194888e-60,3.780760930762075e-35,2.768835183000613e-41,2.938651733534427e-34,8.86990643704142e-94,8.395997922432264e-93,2.722849117714254e-41,1.1472669583781604e-94,1.2247574883571584e-44,5.420868355926703e-108,5.3433597463001285e-93,5.497979350080032e-96,1.6463903672511878e-94,4.6776543515681155e-93,5.985183657010611e-109,8.124551836344673e-108,8.056078489339042e-105,1.5174691239097132e-40,1.097235152879501e-36,1.4974958956043126e-44,1.8893458882903598e-21,5.636533621619666e-22,1.9490136197234904e-33,9.906246351546899e-47,1.4711067618944873e-33,1.0761776831305837e-29,3.689900133487999e-27,3.574173538470553e-39,1.0633643420730726e-37,1.1032117140265823e-48,2.0440843285566915e-36,2.1272891085808135e-41,9.737700470856066e-22,6.448603816876423e-46,4.3474375547759435e-36,2.9198400166334726e-65,4.566888881334705e-61,1.5368758227967433e-65,1.130618557134362e-33,1.6763331497165576e-39,2.7580073765500444e-54,3.700661909391001e-27,1.6368749426006807e-65,5.626244661044159e-62,2.4197683308240442e-43,9.737700470858919e-22,2.4652174033743214e-55
3.491456873048816e-18,0.48515967059742665,1.4573658977055005e-27,1.2538716024507465e-31,1.168895458952064e-33,3.6916804082997834e-39,0.0,0.0,4.914544079269264e-21,2.511141115589467e-36,7.677930679174966e-49,5.939542771333757e-59,6.745965319407774e-54,2.0379205680118923e-72,4.152109888779868e-48,2.5518313888244166e-49,1.668813024724603e-42,4.400403719307578e-36,2.7793405752448955e-102,2.825940086156783e-69,4.2074667518194365e-106,9.146558386971171e-109,5.845490855371812e-40,1.3562734078536362e-85,8.479729945732011e-59,7.1896397641597685e-93,6.777042031865812e-100,5.540625898512823e-92,1.0783908655779772e-94,8.912108413775885e-97,1.5904119639653174e-58,1.3854187897950042e-105,7.282994747619193e-110,8.035691871619463e-107,3.76,0.0,0.7405942927047247,0.9999999999997806,4.873859889491075e-45,1.5713580731474993e-55,3.0931313188337553e-18,1.949572299272922e-18,9.250501339353623e-19,2.1850888562547114e-19,2.1940601487886846e-13,2.956394591081367e-38,3.1826196833233906e-59,1.5162542253492428e-34,1.1104267459474685e-40,1.1785307795649511e-33,2.856251205326501e-92,2.7036451100300034e-91,1.0919842805340484e-40,3.6943824251548785e-93,4.911825310685933e-44,3.4915640714136963e-106,1.7206469775703378e-91,1.7704369561799243e-94,5.3016393326960215e-93,1.5062792336756622e-91,3.8550377486575016e-107,5.232997989227192e-106,5.188894550263532e-103,6.085729937298522e-40,4.400403719307578e-36,6.005628335458789e-44,3.785274863294649e-21,1.12927067331638e-21,7.816416332710584e-33,7.949138823486595e-46,5.8997960837664366e-33,2.1561051237660617e-29,7.3926570622802e-27,1.4334034475346813e-38,4.26456661240863e-37,8.852579229611621e-48,8.197692396558754e-36,8.53138077877448e-41,1.950933021163962e-21,3.615350571279235e-45,1.7435169033622123e-35,2.342987728281293e-64,7.330868070635643e-60,2.4670260621446126e-64,4.5342860955051544e-33,6.722845688660642e-39,2.213127225216313e-53,7.414218109794947e-27,2.6275467868462473e-64,9.031368694233229e-61,9.704355129804592e-43,1.9509330211651055e-21,1.978182065191765e-54
