Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58)
4.8013402952118713e-20,0.8446254533290327,0.0,4.9940393661127185e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368435257,0.9999999999996954,0.0,0.0,1.746477613070435e-14,1.0586560703097711e-14,2.7907751776391646e-15,4.087440249967411e-15,3.046709719007011e-13,3.122667319905509e-29
9.606852041592477e-20,0.8446254533290354,0.0,9.992417602220028e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368435082,0.9999999999993904,0.0,0.0,3.494472582885435e-14,2.1182319113360334e-14,5.583975007920806e-15,8.17843170757296e-15,6.096066448592078e-13,1.249880718562329e-28
1.9217875534353688e-19,0.844625453329041,0.0,1.9989174074428552e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368434733,0.9999999999987805,0.0,0.0,6.990462522515235e-14,4.2373835934521084e-14,1.1170374668520207e-14,1.636041462211007e-14,1.2194779906344574e-12,5.001150919361686e-28
3.843992251987611e-19,0.8446254533290523,0.0,3.9982687018821218e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368434033,0.9999999999975608,0.0,0.0,1.3982442401774037e-13,8.475686957938456e-14,2.2343173989863474e-14,3.272438044848834e-14,2.439220681617902e-12,2.0007860232022828e-27
7.688401649092094e-19,0.8446254533290743,0.0,7.9969712907509e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368432634,0.9999999999951213,0.0,0.0,2.796640216028845e-13,1.6952293687927948e-13,4.46887726331279e-14,6.54523120904611e-14,4.878706061316569e-12,8.003795450510865e-27
1.5377220443301063e-18,0.8446254533291188,0.0,1.5994376468449436e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368429838,0.9999999999902424,0.0,0.0,5.593432167730452e-13,3.390550715197413e-13,8.93799699219683e-14,1.309081753312715e-13,9.757676811641023e-12,3.201648456704449e-26
3.0754858031718997e-18,0.8446254533292077,0.0,3.1989186823690427e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368424244,0.9999999999804844,0.0,0.0,1.1187016071128558e-12,6.781193409633526e-13,1.7876236450889522e-13,2.6181990164035185e-13,1.9515618275998403e-11,1.2806854387026604e-25
6.151013320855487e-18,0.8446254533293852,0.0,6.397880753354812e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368413057,0.9999999999609686,0.0,0.0,2.237418387790436e-12,1.3562478805013262e-12,3.5752715371973384e-13,5.236433535683508e-13,3.903150105954704e-11,5.122793869372341e-25
1.230206835622266e-17,0.8446254533297403,0.0,1.2795804895076627e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368390682,0.9999999999219368,0.0,0.0,4.474851949137426e-12,2.7125049621802766e-12,7.150567322893496e-13,1.047290254663701e-12,7.806326604597987e-11,2.04912797235253e-24
2.460417842695701e-17,0.8446254533304508,0.0,2.559165317752137e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368345934,0.9999999998438732,0.0,0.0,8.949719071798732e-12,5.425019135950192e-12,1.430115890020336e-12,2.094584045811812e-12,1.5612679369618784e-10,8.196532751822641e-24
