Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(964),S(1465),S(335),S(923),S(304),S(220),CF2O(49),S(879),CFO(51),CH2F(46),CFO3(3228),C2H3F2(66),C2H3F2(64),F(37),CF2CH(73),C2HF2(72),S(234),C2H2F3(67),C2H2F3(68),S(133),S(3636),S(149)
0.0,0.8378818169392498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7105309970148117,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.476253389161607e-23,0.8378818169392498,2.9035624922105056e-26,2.9848159959190935e-26,8.700251303547627e-41,2.8489926355426793e-41,0.0,0.0,1.8516287698178503e-21,3.3663243989480395e-39,4.8155556498471426e-54,1.637538874516037e-75,1.4213322978434996e-56,5.903432256753137e-108,6.133856389347073e-84,7.430956862270802e-77,2.7809883563537135e-83,5.552202061338234e-38,3.7505252591078326e-114,2.1306353908059423e-59,1.9435349601834095e-100,2.7208649647892392e-120,3.566922823684259e-86,7.214504637205521e-96,8.000578965119833e-60,2.0357777382364458e-119,8.965933774043283e-120,1.322895774104834e-131,-4.963827037567535e-181,1.4779770844189265e-144,7.53160608231668e-59,2.9952169500156375e-155,4.351691498959443e-131,9.29971400931828e-155,3.76,0.0,0.7105309970148117,0.9999999999999996,4.860818114948791e-56,2.467325470950814e-119,2.281193126315917e-17,1.3930880210104854e-17,3.752065751181458e-18,5.128985301872852e-18,4.4073252872379725e-16,5.12349335793795e-35,3.2813706053605905e-54,2.982474196881025e-34,3.791565760555361e-43,2.7425918862643384e-37,2.2714272520769953e-90,3.286562035321871e-88,1.9281685538426042e-39,3.104227216250676e-90,1.183888007289475e-40,4.82968294508501e-109,3.0811759165895673e-88,1.5328152718938595e-91,3.196184671237764e-110,2.5787429782461387e-109,3.7476318619249495e-106,2.680736400195255e-90,2.1097596414696055e-88,7.772499689629321e-43,5.552202061338234e-38,1.0298634007875884e-42,6.741055505935476e-54,6.740493978303975e-54,1.524444361686495e-73,2.3243025429440065e-24,7.170186241660317e-23,7.402616495954462e-23,2.5005137590977663e-36,2.426769766406247e-37,6.636244519300702e-52,1.4163886686566262e-21,4.352691367861381e-22,7.739296243038617e-36,7.041902546963436e-54,8.131417701248369e-52
2.37335094896525e-22,0.8378818169392498,8.129974980073463e-26,8.357484788574115e-26,5.254951787394628e-40,1.7207915522005362e-40,0.0,0.0,5.184560555489979e-21,2.0332599369646153e-38,5.717027667499142e-53,3.663108960737768e-74,1.6874057040001595e-55,3.5913459294727203e-106,1.9285825907161918e-82,1.6623008939841112e-75,6.304447953766885e-82,3.3535300450490727e-37,2.894073313472128e-112,2.5294903359656197e-58,1.1823471608506148e-98,3.006631535136496e-118,1.121497806799566e-84,4.3889352386444386e-94,9.498287347392184e-59,1.5708973056681572e-117,6.918516173894733e-118,1.721146747051178e-129,3.899658401924651e-178,2.081592707839798e-142,8.941522740928235e-58,5.163381291099537e-153,4.63711925518754e-129,1.6025005338645658e-152,3.76,0.0,0.7105309970148117,0.9999999999999988,5.770763553707802e-55,3.273819971108305e-117,6.387340753684568e-17,3.900646458829473e-17,1.0505784103308203e-17,1.4361158845242735e-17,1.2340510804263344e-15,3.094589988194596e-34,3.8956431826841714e-53,1.8014144149156055e-33,2.2901057193751403e-42,1.6565254993038523e-36,1.08508805544466e-88,1.5700301230177083e-86,1.1646138065211483e-38,1.4829265919302798e-88,7.1506835640296025e-40,4.2012523277640634e-107,1.471914709465907e-86,7.3224424916719735e-90,2.780302235712274e-108,2.2432010679059403e-107,3.259996000236033e-104,1.280619947210679e-88,1.0078574978457274e-86,4.6945898137613544e-42,3.3535300450490727e-37,6.220374940763768e-42,8.003109323688036e-53,8.002442678083919e-53,3.4101732551467805e-72,6.508047120251398e-24,2.007652147664869e-22,2.072732618867228e-22,1.5103103104949416e-35,1.4657689389092713e-36,7.879338879438869e-51,3.96588827223856e-21,1.2187535830011707e-21,4.6745349307952945e-35,8.360146703754562e-53,9.653694279114687e-51
5.424802169063428e-22,0.8378818169392498,1.8582799963335572e-25,1.910282237388678e-25,2.53003307914944e-39,8.284870589149478e-40,0.0,0.0,1.1850424126834225e-20,9.789271352140882e-38,5.613011665463705e-52,7.237686019765273e-73,1.6567049263674683e-54,1.621305223066138e-104,4.302561670456272e-81,3.2844510866251077e-74,1.2530344439801516e-80,1.614580359438305e-36,3.154102666499006e-110,2.4834686115258292e-57,5.337680259757563e-97,2.7201741361205483e-116,2.5020013646873624e-83,1.981375162211208e-92,9.325474841749513e-58,1.7120407273275354e-115,7.540137359473489e-116,3.813182722395351e-127,3.979160738342306e-175,4.646705068465328e-140,8.778840049554016e-57,2.3873580554054645e-150,1.0552975322688353e-126,7.409201687368322e-150,3.76,0.0,0.7105309970148116,0.9999999999999972,5.665770003321575e-54,2.9848799467436887e-115,1.4599636008421869e-16,8.915763334467901e-17,2.4013220807562163e-17,3.282550593197749e-17,2.8206881838302175e-15,1.489911868488467e-33,3.8247655776085456e-52,8.673034964522009e-33,1.1025873231690479e-41,7.975457205259531e-36,5.6500310084901955e-87,8.175114300443294e-85,5.607114154577466e-38,7.721568019923262e-87,3.442746325199512e-39,4.366883159278213e-105,7.664229376223689e-85,3.8127806244139685e-88,2.889913307658148e-106,2.3316373790685174e-105,3.3885185944959614e-102,6.6681615151197845e-87,5.247893096223323e-85,2.2602429115470292e-41,1.614580359438305e-36,2.9948427695004044e-41,7.857556380119169e-52,7.856901863511896e-52,6.737978014401208e-71,1.4875536274898886e-23,4.588919194662465e-22,4.737674557410705e-22,7.271494011454668e-35,7.057046480707834e-36,7.736327539993618e-50,9.064887479402454e-21,2.785722475431171e-21,2.250587347475585e-34,8.208041608739244e-52,9.478087234128526e-50
1.1527704609259784e-21,0.83788181693925,3.948844996000456e-25,4.059349754452258e-25,1.1049319156309308e-38,3.618220652296949e-39,0.0,0.0,2.5182151269522666e-20,4.275231986663991e-37,4.964645252770317e-51,1.2879075564097614e-71,1.4653367457869937e-53,6.121740036156409e-103,8.058221841518068e-80,5.844525218624552e-73,2.2357398448849993e-79,7.051296617911305e-36,2.5802518200994516e-108,2.1965998625103214e-56,2.0154065059245863e-95,2.0586687981245667e-114,4.6859772986701965e-82,7.481295610438238e-91,8.248276889892087e-57,1.4005556158863378e-113,6.1683005285847964e-114,6.302776062689679e-125,2.804619118701609e-172,7.703903149856902e-138,7.764784606637056e-56,8.205826945867878e-148,1.7834036336235776e-124,2.54668108937453e-147,3.76,0.0,0.7105309970148115,0.999999999999994,5.011309455378594e-53,2.268489492388286e-113,3.1024226517896466e-16,1.8945997085746565e-16,5.1028094216072007e-17,6.975420010542697e-17,5.9939623906332175e-15,6.506836564582339e-33,3.382961839303059e-51,3.7877422300306223e-32,4.815288515900627e-41,3.4830916955586166e-35,2.25477905681729e-85,3.262473512799315e-83,2.4487740633833595e-37,3.081475098270581e-85,1.5035377692593879e-38,3.4955535093351937e-103,3.058592750757732e-83,1.5215806580964343e-86,2.3132852965839408e-104,1.8664028611764226e-103,2.712403247909561e-100,2.661088215122617e-85,2.094296372529159e-83,9.87107462429487e-41,7.051296617911305e-36,1.3079265190106714e-40,6.949941949074336e-51,6.94936303654737e-51,1.1989912707268562e-69,3.161051458432471e-23,9.751453288657345e-22,1.0067558434497322e-21,3.175652474052473e-34,3.0819976033343483e-35,6.842831471774431e-49,1.9262885893730346e-20,5.919660260290914e-21,9.82890622865858e-34,7.259919849814615e-51,8.383273906674177e-49
2.3733509489652497e-21,0.8378818169392498,8.129975007392161e-25,8.357484788583607e-25,4.6128732418643905e-38,1.5105359000067003e-38,0.0,0.0,5.184560555489937e-20,1.784825196322234e-36,4.173083477274198e-50,2.1722443384128024e-70,1.2317038279984933e-52,2.1239160050302083e-101,1.3918574315280006e-78,9.857662033425908e-72,3.7758112123775754e-78,2.9437775329320635e-35,1.8570259746781639e-106,1.84637453951525e-55,6.992381429705143e-94,1.4302072762856549e-112,8.093880079015446e-81,2.5956089884438143e-89,6.933173721931345e-56,1.0079900485975305e-111,4.439370689038991e-112,9.120682004356012e-123,1.6740517862332885e-169,1.1164315779887056e-135,6.526769325259735e-55,2.4252442994143748e-145,2.6112938488934027e-122,7.526746180988336e-145,3.76,0.0,0.7105309970148111,0.9999999999999877,4.212307571465675e-52,1.579447953945822e-111,6.387340753684566e-16,3.900646458831112e-16,1.0505784103309931e-16,1.4361158845224582e-16,1.2340510804220152e-14,2.716476178379728e-32,2.8435832646767144e-50,1.5813078191788675e-31,2.0102881662422302e-40,1.4541222180999592e-34,8.013837920004737e-84,1.159534184546363e-81,1.0223149672502645e-36,1.0952045131617195e-83,6.276974214664502e-38,2.4886632934905127e-101,1.0870717684592726e-81,5.407935974623011e-85,1.646946095834187e-102,1.3287876380867446e-101,1.9310985748632995e-98,9.457924306312757e-84,7.443457324608182e-82,4.1209793519904525e-40,2.9437775329320635e-35,5.4603357510697004e-40,5.841853821137362e-50,5.8413672102763615e-50,2.0222772933166303e-68,6.508047120369976e-23,2.0076521476645844e-21,2.072732618866919e-21,1.3257723950721145e-33,1.286673330147165e-34,5.751866630273096e-48,3.965888272238654e-20,1.2187535830009374e-20,4.1033748680586584e-33,6.1024000767526705e-50,7.04665203632684e-48
4.814511925043793e-21,0.83788181693925,1.6492235078407195e-24,1.6953754856863058e-24,1.8845092339661405e-37,6.171032047592885e-38,0.0,0.0,1.0517251412565203e-19,7.291593301097264e-36,3.4213459617596295e-49,3.567917848690586e-69,1.0098252146075948e-51,7.073527087592486e-100,2.3125919468780154e-77,1.6191252275784872e-70,6.205751435135708e-77,1.2026291753030057e-34,1.2587526737519036e-104,1.5137694007535783e-54,2.3287549664830193e-92,9.532270953381658e-111,1.3448168069251733e-79,8.644461642012157e-88,5.6842347019713016e-55,6.832484768364444e-110,3.009150006571772e-110,1.2397738612388395e-120,9.240232918650227e-167,1.5186347959596863e-133,5.35103982366003e-54,6.663833383633764e-143,3.570722154666442e-120,2.0681201037840616e-142,3.76,0.0,0.7105309970148105,0.999999999999975,3.453504252430143e-51,1.0538651534689959e-109,1.2957176957474397e-15,7.912739959346915e-16,2.1311733466718445e-16,2.9132636514556294e-16,2.5033607631317774e-14,1.10976915530366e-31,2.331341362447283e-49,6.460158409349082e-31,8.212683099957543e-40,5.940563729346042e-34,2.699281320001728e-82,3.9056304800149486e-80,4.1764902143898735e-36,3.6889504298352065e-82,2.5643487793225546e-37,1.6778393337687492e-99,3.66155710581461e-80,1.8215417758326957e-83,1.1103595040014816e-100,8.958593037632345e-100,1.301933111955904e-96,3.1856893863943826e-82,2.507161426641732e-80,1.6835545367549754e-39,1.2026291753030057e-34,2.2307253207214546e-39,4.7895082333042255e-49,4.789109280320602e-49,3.3215991374552334e-67,1.3202038444454335e-22,4.072665785261781e-21,4.2046861697007435e-21,5.4162128227432436e-33,5.256480384814505e-34,4.71574945113491e-47,8.045087637970056e-20,2.4723286969442168e-20,1.6763625234267836e-32,5.003116274400625e-49,5.777273144527045e-47
9.69683387720088e-21,0.8378818169392505,3.3216755413363765e-24,3.414629499348898e-24,7.617487633356903e-37,2.4944298363932006e-37,0.0,0.0,2.1182633126715425e-19,2.947378594850035e-35,2.7706946642272217e-48,5.7837485847650335e-68,8.177826402817425e-51,2.3089170664415663e-98,3.77010856562282e-76,2.624672788805527e-69,1.0062985821463944e-75,4.861219410473693e-34,8.288192834450066e-103,1.225889707865182e-53,7.601444116020915e-91,6.22493805418165e-109,2.1924120947244705e-78,2.821696256304419e-86,4.6032406354242525e-54,4.49881477646446e-108,1.981359486744401e-108,1.6348342047759184e-118,4.9103417708138895e-164,2.0032543924255285e-131,4.3334107843064605e-53,1.7668763944129066e-140,4.722621015908364e-118,5.483498533575542e-140,3.76,0.0,0.7105309970148092,0.9999999999999496,2.7967372857902796e-50,6.88597036618498e-108,2.609684936505403e-15,1.5936926960390083e-15,4.2923632193547676e-16,5.86755918530915e-16,5.041980128520798e-14,4.485864362562994e-31,1.887980679417704e-48,2.6112993180788878e-30,3.319697818493268e-39,2.4012708408530773e-33,8.85931156965158e-81,1.2818670303643008e-78,1.6882041210000326e-35,1.2107504683127988e-80,1.0365507770171774e-36,1.1018096479871621e-97,1.201759705062321e-78,5.978482498139168e-82,7.2915492539711205e-99,5.88296152235374e-98,8.54958180397704e-95,1.0455751547317088e-80,8.228754842672298e-79,6.805196673155212e-39,4.861219410473693e-34,9.016948408981717e-39,3.8786693482283756e-48,3.878346265758704e-48,5.384457426128705e-66,2.6590021093460476e-22,8.202693060454161e-21,8.468593271366204e-21,2.1893198207399354e-32,2.1247534154275175e-33,3.818944815862644e-46,1.620348636943352e-19,4.979478924829126e-20,6.776125346997072e-32,4.0516532735513655e-48,4.6785864018636585e-46
1.946147778151505e-20,0.8378818169392507,6.666579685498295e-24,6.853137526700889e-24,3.0629582765058465e-36,1.0029992795358178e-36,0.0,0.0,4.251339655501468e-19,1.1851279699471536e-34,2.23009611077426e-47,9.314548792794093e-67,6.582226143898547e-50,7.462021068665475e-97,6.088735481925638e-75,4.226955429549447e-68,1.6208692795606415e-74,1.9546749445616545e-33,5.3799368036469784e-101,9.867026869048575e-53,2.4566554154878233e-89,4.0242209484305744e-107,3.540820145087093e-77,9.119234718499512e-85,3.7050885363239466e-53,2.9202191190806837e-106,1.2861173758369047e-106,2.123791542540296e-116,2.5610662418499615e-161,2.6028532129328522e-129,3.487905997476651e-52,4.602948480875573e-138,6.144258860525066e-116,1.4285243520203706e-137,3.76,0.0,0.7105309970148065,0.9999999999998989,2.2510574809207607e-49,4.4527944002156475e-106,5.237619418021322e-15,3.198530096252268e-15,8.614742964725494e-16,1.1776150252964905e-15,1.0119218859176833e-13,1.803746330641276e-30,1.5196111014044175e-47,1.0499919708666556e-29,1.3348358922426575e-38,9.655404439415874e-33,2.870912599378439e-79,4.153966342827195e-77,6.788194520709202e-35,3.9235088944259086e-79,4.1679250852711775e-36,7.142397577009345e-96,3.894373791318565e-77,1.937362806806831e-80,4.726691567758454e-97,3.81358524130311e-96,5.542201638341011e-93,3.388248467985054e-79,2.6665769420779918e-77,2.7363396988816646e-38,1.9546749445616552e-33,3.625675297539206e-38,3.121891089111266e-47,3.1216310442321725e-47,8.671504359943507e-65,5.33659863948224e-22,1.6462747610830863e-20,1.6996407474688372e-20,8.803158709368101e-32,8.543540033343228e-33,3.0738224822041004e-45,3.2520283832363067e-19,9.99377938059235e-20,2.7246501995443624e-31,3.2611230404108833e-47,3.7657336929821027e-45
3.899076559014339e-20,0.8378818169392515,1.335638828250454e-23,1.37301535815121e-23,1.2283832646889848e-35,4.022475819392032e-36,0.0,0.0,8.517492341160839e-19,4.752893220927542e-34,1.7895116823749255e-46,1.4951913674027368e-65,5.281821946505212e-49,2.3996742015207064e-95,9.787464709521018e-74,6.785200247666163e-67,2.6020596453796232e-73,7.839120777668508e-33,3.467510611177429e-99,7.91766765909711e-52,7.90023583361175e-88,2.588463629146854e-105,5.691986019320012e-76,2.9326092210712213e-83,2.9731002121547737e-52,1.8821579402917875e-104,8.28936436662442e-105,2.7385955592927496e-114,1.3234280313940897e-158,3.3566287066931993e-127,2.7988249024064556e-51,1.1886753414297465e-135,7.92884021448793e-114,3.689051973881349e-135,3.76,0.0,0.7105309970148013,0.9999999999997973,1.8063318645621547e-48,2.864529033659004e-104,1.0493488381053124e-14,6.408204896697292e-15,1.7259502455486478e-15,2.359333238807127e-15,2.0273696320000873e-13,7.233829531159068e-30,1.2193922071160454e-46,4.2109374233920434e-29,5.353288947741016e-38,3.8722490287835417e-32,9.244796013189373e-78,1.3376433504525624e-75,2.7223696122912536e-34,1.2634323801134501e-77,1.67152437423506e-35,4.6003955726373513e-94,1.2540504126020642e-75,6.238616931810198e-79,3.044447011951688e-95,2.4563181299838294e-94,3.569714455908758e-91,1.0910699941034975e-77,8.586802637895674e-76,1.0973946426924287e-37,7.83912077766851e-33,1.4540579568188918e-37,2.5051212134790675e-46,2.50491254384071e-46,1.3919686280788064e-63,1.0691791701094492e-21,3.298285671155206e-20,3.405203588129771e-20,3.530460373318349e-31,3.42634167250544e-32,2.46655033989059e-44,6.51538787582327e-19,2.0022380292092412e-19,1.0927065929749797e-30,2.6168458615556454e-46,3.0217642624778116e-44
