Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210)
0.0,0.7252077724151268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9356119382662604,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1394717795847814e-22,0.7252077724151267,0.0,1.4161063659891858e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9356119382662604,0.9999999999999998,0.0,0.0,2.9115749694672387e-18,1.8398497211034704e-18,5.667991562494936e-19,5.049260921142754e-19,3.4276458608267297e-16,2.2461466177353652e-37,8.570328641649387e-58,8.316600384285135e-36,7.486303500378484e-44
5.9905209828373875e-22,0.7252077724151267,0.0,3.9650978247697195e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9356119382662604,0.999999999999999,0.0,0.0,8.152409914508268e-18,5.151579219089902e-18,1.5870376374985882e-18,1.4137930579197796e-18,9.59740841030857e-16,1.3566725571122007e-36,1.0174694163366414e-56,5.023226632104286e-35,4.521727314229424e-43
1.3692619389342602e-21,0.7252077724151267,0.0,9.06308074233078e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9356119382662604,0.9999999999999978,0.0,0.0,1.8634079804590327e-17,1.1775038215063504e-17,3.627514599996802e-18,3.2315269895300216e-18,2.1936933509247143e-15,6.531794364375041e-36,9.98957506470733e-56,2.4184673917442135e-34,2.177017057911274e-42
2.9096816202353026e-21,0.7252077724151267,0.0,1.9259046577452875e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9356119382662604,0.9999999999999953,0.0,0.0,3.959741958475444e-17,2.5021956207013672e-17,7.708468524993332e-18,6.86699485274744e-18,4.661598370702389e-15,2.8526062045245326e-35,8.835666016396541e-55,1.056208248798111e-33,9.507605445493093e-42
5.990520982837388e-21,0.7252077724151268,0.0,3.9650978247696956e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9356119382662604,0.9999999999999905,0.0,0.0,8.152409914508269e-17,5.151579219092586e-17,1.5870376374986795e-17,1.4137930579170023e-17,9.597408410217578e-15,1.190906936723847e-34,7.42690967559815e-54,4.40946152369307e-33,3.969238115911811e-41
1.2152199708041558e-20,0.7252077724151268,0.0,8.043484158818472e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9356119382662603,0.9999999999999806,0.0,0.0,1.6537745826573915e-16,1.0450346415879766e-16,3.2194192074975336e-17,2.867980203196615e-17,1.9469028489087314e-14,4.865243419884224e-34,6.0890292670406815e-53,1.8014089095912082e-32,1.6215632834053963e-40
2.44755571584499e-20,0.7252077724151268,0.0,1.6200256826915864e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9356119382662601,0.9999999999999608,0.0,0.0,3.3308417650705207e-16,2.1047880809473085e-16,6.484182347495888e-17,5.776354493736225e-17,3.92122686461842e-14,1.9666091788688406e-33,4.931053769198489e-52,7.281582832877672e-32,6.554618057226764e-40
4.912227205926658e-20,0.7252077724151268,0.0,3.251380216311001e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9356119382662598,0.9999999999999213,0.0,0.0,6.684976129896778e-16,4.2242949596735576e-16,1.301370862749518e-16,1.1593103074736993e-16,7.869874895780765e-14,7.907649013633511e-33,3.9689410654404413e-51,2.927892431378944e-31,2.6355830925849872e-39
9.841570186089995e-20,0.7252077724151268,0.0,6.514089283549571e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9356119382662591,0.9999999999998423,0.0,0.0,1.3393244859549288e-15,8.463308717156394e-16,2.6072761187504105e-16,2.322660023642471e-16,1.5767170957077334e-13,3.171320932726188e-32,3.1848252498497235e-50,1.1742158180471379e-30,1.0569866994868656e-38
1.970025614641667e-19,0.7252077724151271,0.0,1.3039507418025684e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9356119382662578,0.9999999999996844,0.0,0.0,2.6809782318854284e-15,1.694133623224342e-15,5.219086630756329e-16,4.649359455854485e-16,3.1561763075557957e-13,1.2701825253158416e-31,2.5517357939721552e-49,4.7029879483692976e-30,4.233460011500735e-38
