Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195),S(2224),S(2641),S(2826),C2FO(289),S(1665),C2FO(7367),S(3464),S(6251),S(5206),CFO3(444),C2H2O(907),S(5104),CF3CCH(84),S(12199),C2HF4(54),S(12715),CF3(45),S(3472)
0.0,0.7940523898459684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5553487907558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2305675893403948e-22,0.7940523898459684,2.2953076602956715e-26,1.9908643697086757e-26,2.670548706860012e-38,5.750858324139681e-25,0.0,0.0,1.5645368433254385e-21,2.7817308703589312e-39,1.3739934913011491e-53,8.724203304245284e-54,1.6048449976966456e-56,5.651055131215318e-64,3.25055536103849e-43,2.0241103855800083e-38,6.609607256651876e-39,5.601712238009471e-38,6.014294031618735e-88,8.617166670686761e-60,5.8498001236759e-91,3.581267339167697e-90,1.8435548674594584e-24,7.609406799799825e-92,3.0062441742576474e-57,3.1441047888461257e-94,1.0238945033851852e-95,3.038565994967925e-77,9.73340467646835e-93,5.655732761271303e-93,5.591524902454407e-59,1.7341071212012754e-110,3.1868100160386644e-111,2.849525445809924e-111,3.76,0.0,0.5553487907558,0.9999999999999993,1.773883322435052e-53,8.349943402343078e-55,1.7493980482844014e-17,1.073778824447107e-17,2.9379050379115156e-18,3.818287200461431e-18,5.541258429303754e-16,3.3428661754037245e-35,1.965224385489439e-54,2.451530955015456e-34,4.159348809785971e-43,2.963017632120492e-37,1.5067038029801945e-90,1.9741586463461374e-88,1.517062594599726e-39,1.879086826120066e-90,7.862717065609193e-41,5.268550898678544e-109,1.7934520533576273e-88,9.538556627913715e-92,1.6830151887216087e-90,1.1938467597438303e-88,3.489677392034726e-110,2.8846505407091225e-109,9.198609477448721e-74,8.82340858408993e-43,5.601712238009472e-38,8.20482273638661e-43,1.1971007366936042e-21,3.6745905970841235e-22,8.176602355060443e-36,8.776176374403349e-52,7.217665737890541e-36,1.3175296223907876e-24,4.3585374990977575e-23,1.941342134166135e-37,1.8113758589481284e-36,7.626840246022118e-52,1.874192041532924e-36,4.595983703873738e-42,8.361178531983355e-21,4.629901683215047e-47,1.4066338198834737e-37,9.746696741423556e-60,1.2729714176381677e-68,1.0573658264021509e-72,3.4849371291109146e-39,6.126581786499073e-38,6.443496681431229e-54,4.490290461336691e-23,5.753756886852419e-73,2.0841146665426243e-52,7.379708894475805e-41,8.361178531983353e-21,7.030079421767676e-58,5.6005956180913986e-39,1.8435548674590686e-24,3.614867243387533e-40,2.369697222727968e-73,2.434022477957068e-38,1.047682036244537e-51,8.671891899770864e-57,1.16729105716479e-71,1.141275557977781e-53,2.9724822195042096e-55,5.750858324139592e-25,7.38557473864729e-57,5.510842892553205e-57,2.104176998025945e-61,1.0813138081234614e-64,6.825630401284306e-51,1.1029700857059309e-57,3.0313840263690696e-59,5.959384128354096e-75,3.8903899234421345e-76,1.4652365436440614e-107,4.8834277487125583e-88,5.763110648452262e-73,4.333494645035022e-72,5.246236015518483e-116,4.9148330410404324e-73,4.909292275559285e-88,1.716888198534682e-90,1.827464683480478e-54,6.890662120562406e-72,6.389988955060317e-43,7.016567335844207e-47
3.4455892501531056e-22,0.7940523898459684,6.426861452519655e-26,5.574420235184922e-26,1.6130114189435865e-37,1.6102403307591106e-24,0.0,0.0,4.3807031613112245e-21,1.680165445696793e-38,1.6312054873592243e-52,1.0357374162854538e-52,1.90749373863621e-55,6.708932651778241e-63,1.9633354380670767e-42,1.22256267289056e-37,3.9922027830180763e-38,3.383434191758832e-37,2.873101268990085e-86,1.0230300271443293e-58,2.7945253167080342e-89,1.7108148906028127e-88,5.1619536288877444e-24,3.669522963434972e-90,3.569013083678907e-56,1.5019765871351092e-92,4.895566649800413e-94,9.553737658740535e-76,4.649769650273931e-91,2.701812587892329e-91,6.638258364196186e-58,1.3535432693601457e-108,2.7396388221221557e-109,2.238583296859116e-109,3.76,0.0,0.5553487907558,0.9999999999999984,2.1059542806893446e-52,9.913052807263695e-54,4.898314535196324e-17,3.0065807084520154e-17,8.22613410615235e-18,1.069120416129073e-17,1.5515523602045013e-15,2.019091169943913e-34,2.333114390453123e-53,1.480724696828696e-33,2.512246681110236e-42,1.7896626498010436e-36,7.197704871297027e-89,9.430792752633263e-87,9.163058071384785e-39,8.976623258801306e-89,4.749081107629015e-40,4.583015485425113e-107,8.567535673136311e-87,4.556682963836047e-90,8.039965518351403e-89,5.703149232907478e-87,3.0356061532677086e-108,2.5093044277935548e-107,2.0579922246872055e-72,5.329338786379411e-42,3.3834341917588313e-37,4.955712932783555e-42,3.351882062742079e-21,1.0288853671835237e-21,4.938667822456419e-35,1.0419132042715906e-50,4.359470105685825e-35,3.68908294269938e-24,1.2203904997473526e-22,1.1725706490362318e-36,1.0940710188045613e-35,9.055348076103166e-51,1.1320119930858544e-35,2.775974157139677e-41,2.3411299889553397e-20,2.7964613306239873e-46,8.49606827209618e-37,1.1571278371432019e-58,2.8478154731371077e-67,2.3654755475822584e-71,2.1049020259828141e-38,3.7004553990454416e-37,7.649815752831954e-53,1.2572813291742578e-22,1.287196056722507e-71,2.4742609321193093e-51,4.457344172273714e-40,2.3411299889553388e-20,8.34611028953978e-57,3.382759753326889e-38,5.161953628885391e-24,2.1833798150075368e-39,5.300981775383561e-72,1.4701495766859926e-37,1.2438081132287825e-50,1.0295270063408897e-55,3.6675582616871416e-70,6.904536443348301e-53,3.5289308909946113e-54,1.6102403307590568e-24,8.769493251879567e-56,8.327985779226509e-56,3.179832279417406e-60,1.2837357530213784e-63,4.122680793274435e-50,1.3094460857502223e-56,3.598859116110796e-58,1.3330959488724206e-73,8.702654605632527e-75,1.2745826766591162e-105,2.3328720366927256e-86,1.811887614032572e-71,9.70233601116072e-71,4.563604186669852e-114,1.5453021454318155e-71,2.824391699186416e-86,8.201780950981265e-89,2.1695660722476858e-53,1.541413553734549e-70,3.859553328856413e-42,4.238006670849883e-46
7.875632571778527e-22,0.7940523898459684,1.4689969051734722e-25,1.2741531966139931e-25,7.765955639551004e-37,3.6805493274493955e-24,0.0,0.0,1.0013035797282787e-20,8.089273371003753e-38,1.601527402031911e-51,1.0168931371597371e-51,1.8737622248894824e-54,6.586869860942774e-62,9.452614989897367e-42,5.886113001270191e-37,1.9220737902348806e-37,1.62897791881479e-36,1.49601760379183e-84,1.0044169471364447e-57,1.4551017328405137e-87,8.908175516697869e-87,1.1798751151749363e-23,1.899613750314643e-88,3.504078209515422e-55,7.820760952815485e-91,2.547289920465232e-92,2.1313863166291434e-74,2.4211236640735056e-89,1.4068277136031543e-89,6.517481426307885e-57,1.4760096145563424e-106,2.86235245966918e-107,2.44193741990391e-107,3.76,0.0,0.5553487907557999,0.9999999999999964,2.0676384010487216e-51,9.732694029775234e-53,1.119614750902017e-16,6.872184476462297e-17,1.8802592242634444e-17,2.443703808294424e-17,3.5464053947505535e-15,9.721054838074988e-34,2.290665543726681e-52,7.12905201717536e-33,1.2095386338850183e-41,8.616455274210332e-36,3.7478300040949184e-87,4.910594234229272e-85,4.411618025099602e-38,4.674109120389647e-87,2.286478122680704e-39,4.763697007617871e-105,4.461098062653667e-85,2.3726553722854582e-88,4.186393376829734e-87,2.969617981716733e-85,3.155282366951392e-106,2.608231639604318e-105,4.0665351613760154e-71,2.5658472185915284e-41,1.6289779188147896e-36,2.3859624517502907e-41,7.661444714838973e-21,2.3517379821336223e-21,2.3777559648514436e-34,1.0229589922458686e-49,2.098897196578477e-34,8.432189583337264e-24,2.789463999422428e-22,5.6454229261534135e-36,5.267480997819536e-35,8.890928927918484e-50,5.450150456777267e-35,1.3365120610863917e-40,5.3511542604693496e-20,1.3463764804220838e-45,4.0904911482211404e-36,1.1360749721845108e-57,5.627024590442902e-66,4.673964728364825e-70,1.0134197171451856e-37,1.7816099835139325e-36,7.510676751423e-52,2.873785895255374e-22,2.5433824390017593e-70,2.4292440553217927e-50,2.1460193465290247e-39,5.3511542604693454e-20,8.194260574065596e-56,1.6286532057405047e-37,1.1798751151738037e-23,1.0512033943792527e-38,1.0473908283582392e-70,7.078137365898005e-37,1.2211781808243647e-49,1.010795719837566e-54,8.180863666685359e-69,3.3356774323430535e-52,3.4647252750516708e-53,3.680549327449137e-24,8.610527184834987e-55,8.958867073566242e-55,3.420718462152714e-59,1.2603793748020246e-62,1.9848933670414572e-49,1.2856219318992704e-55,3.5333812211520495e-57,2.6339783068805463e-72,1.719498664019946e-73,1.324831791508445e-103,1.2147216329587769e-84,4.042160195093551e-70,1.9177689666627404e-69,4.743520452141029e-112,3.447484079506318e-70,1.2676683005669624e-84,4.2706503371120745e-87,2.1300928350927143e-52,3.045573431792433e-69,1.8582087881315114e-41,2.0404177812634677e-45
1.673571921502937e-21,0.7940523898459684,3.1216184309233257e-25,2.707575542806e-25,3.391596857714373e-36,7.821167320829968e-24,0.0,0.0,2.127770106922586e-20,3.5327982053558242e-37,1.416532922508922e-50,8.994304638899756e-51,1.6577081121914855e-53,5.8260117980739704e-61,4.1282053085162385e-41,2.570620189690254e-36,8.394201215953202e-37,7.114174542288783e-36,5.970213159033527e-83,8.883954150836053e-57,5.8069265074317e-86,3.5550186958043575e-85,2.5072346197492785e-23,7.565308282015235e-87,3.099317493894151e-54,3.121060396137739e-89,1.0162982407083117e-90,3.99185068595864e-73,9.662066519410697e-88,5.614279391085936e-88,5.764638513449014e-56,1.2076874076203267e-104,2.2969328360325192e-105,1.9982316487687395e-105,3.76,0.0,0.5553487907557998,0.9999999999999925,1.8288027505196248e-50,8.608457650086436e-52,2.3791813456667853e-16,1.460339201248472e-16,3.995550851560034e-17,5.192870592623091e-17,7.536111463833858e-15,4.2454400427637205e-33,2.0260677324645947e-51,3.1134443128597233e-32,5.282372988420484e-41,3.763032392797071e-35,1.4956605705442888e-85,1.9596892511227434e-83,1.9266694951453422e-37,1.8653142501539217e-85,9.9856506733395e-39,3.813190594993091e-103,1.780307128748251e-83,9.468644746261432e-87,1.670679699899316e-85,1.185096581213266e-83,2.5257049360958166e-104,2.0878079235093593e-103,7.236416835488968e-70,1.1205728925743207e-40,7.11417454228878e-36,1.0420124875304665e-40,1.6280570019032536e-20,4.997443212033324e-21,1.0384284990925388e-33,9.04796608991868e-49,9.166435487120022e-34,1.7918402864695826e-23,5.927610998772265e-22,2.465504510389229e-35,2.30044734086245e-34,7.864058790551488e-49,2.380223892746321e-34,5.836899303918703e-40,1.1371202803497378e-19,5.87998620409564e-45,1.7864249512520105e-35,1.0048454472624599e-56,1.0013169042497838e-64,8.317219548544619e-69,4.425870153968085e-37,7.780758868853851e-36,6.643125323166534e-51,6.106795027417361e-22,4.5258942611818814e-69,2.1486388566181743e-49,9.372230296143879e-39,1.1371202803497354e-19,7.247730680777198e-55,7.112756434971178e-37,2.5072346197443326e-23,4.5908813991242727e-38,1.8637810150183603e-69,3.09120854700429e-36,1.0801182707799061e-48,8.940373672993403e-54,1.5320917124350545e-67,1.4668296720336828e-51,3.064510269014946e-52,7.821167320828834e-24,7.616146791253304e-54,8.234742317485157e-54,3.144229604614251e-58,1.1147912837349131e-61,8.66855108855979e-49,1.1371180395603053e-54,3.125235675859127e-56,4.687028012060413e-71,3.059756622058035e-72,1.0604863815130134e-101,4.847635161180709e-83,7.570473015383122e-69,3.4131809184876725e-68,3.7970399207546543e-110,6.456756140461244e-69,4.771083855803036e-83,1.7043044409150044e-85,1.8840429901089945e-51,5.419435197518744e-68,8.1152859729263e-41,8.911040516521857e-45
3.445589250153106e-21,0.7940523898459684,6.426861506050396e-25,5.574420235194041e-25,1.4159249243791197e-35,1.610240330759111e-23,0.0,0.0,4.3807031613111824e-20,1.4748737074642886e-36,1.190681302480948e-49,7.560254996850238e-50,1.39355685177851e-52,4.8971139598222507e-60,1.723444452420229e-40,1.0731833264378e-35,3.504413767481613e-36,2.970027828607638e-35,2.1219072080920366e-81,7.467498762195239e-56,2.063872254555671e-84,1.2635092786260054e-83,5.161953628906038e-23,2.6865152134587396e-85,2.605163101507589e-53,1.1092737496294508e-87,3.6116940752711944e-89,6.894929356856943e-72,3.4340494065389215e-86,1.9954027218852696e-86,4.845526016094949e-55,8.692532345789595e-103,1.63739112082718e-103,1.4383299482377552e-103,3.76,0.0,0.5553487907557996,0.9999999999999845,1.537218905465208e-49,7.235927353386833e-51,4.898314535196321e-16,3.006580708453701e-16,8.226134106153892e-17,1.0691204161272284e-16,1.5515523601965274e-14,1.7723876461999464e-32,1.7030320088757105e-50,1.2998017123402806e-31,2.2052867389415795e-40,1.5709919485539134e-34,5.3158119237728705e-84,6.965042532453513e-82,8.043465876600841e-37,6.629618997681961e-84,4.1688125882001554e-38,2.7148053776047817e-101,6.327490374028435e-82,3.365304644339988e-85,5.937857321669277e-84,4.212018863952772e-82,1.7981784995897528e-102,1.486417223831201e-101,1.220546251245256e-68,4.678171252747652e-40,2.9700278286076354e-35,4.350197014916484e-40,3.351882062741876e-20,1.0288853671830748e-20,4.3352345686518066e-33,7.605364505485954e-48,3.826806374228695e-33,3.6890829427744123e-23,1.2203904997470689e-21,1.0292995995332987e-34,9.603914804127928e-34,6.610267927838721e-48,9.936966204203129e-34,2.4367905597930064e-39,2.3411299889553453e-19,2.454783832211896e-44,7.457972513022167e-35,8.44633144912588e-56,1.6888816686106593e-63,1.4028325667648253e-67,1.8477136658521062e-36,3.248313663201834e-35,5.58395377033848e-50,1.2572813291740353e-21,7.633647069494957e-68,1.806060424190068e-48,3.9127216559946527e-38,2.3411299889553366e-19,6.092154345835484e-54,2.9694357967076513e-36,5.16195362888539e-23,1.9166026124638827e-37,3.143543095847801e-68,1.2905187178117697e-35,9.079044873260973e-48,7.514922770081162e-53,2.646230047791478e-66,6.207730429018499e-51,2.5759055316975576e-51,1.6102403307586378e-23,6.401922669403572e-53,7.044995423726695e-53,2.689954624159785e-57,9.370492453019545e-61,3.618949669796608e-48,9.558162287530558e-54,2.626948895167723e-55,7.905361290948198e-70,5.160727264247937e-71,7.550144641241342e-100,1.7229254617820115e-81,1.3076071694337453e-67,5.757327680805664e-67,2.703306926499503e-108,1.115244055079731e-67,1.6523622645314462e-81,6.057364917617778e-84,1.5836516552939144e-50,9.140669581917176e-67,3.3879721439727062e-40,3.720184001464343e-44
6.989623907453443e-21,0.7940523898459686,1.303734775081398e-24,1.1308109619986222e-24,5.784515321023494e-35,3.26648752811134e-23,0.0,0.0,8.886569270088298e-20,6.025340334432114e-36,9.761924810917039e-49,6.198353818352355e-49,1.1425831066137223e-51,4.0149498954195515e-59,7.040832934203677e-40,4.3843040596094875e-35,1.431667370223878e-35,1.213353277614491e-34,7.147167782350551e-80,6.1223066525588734e-55,6.951689579063269e-83,4.255847160968017e-82,1.0471391647251854e-22,9.045334658164613e-84,2.135870107943281e-52,3.736339503874443e-86,1.216457339843666e-87,1.1456028248875876e-70,1.1566823603575924e-84,6.721065753298672e-85,3.9726549823687865e-54,5.89231450376678e-101,1.1046262307005545e-101,9.750079254428549e-102,3.76,0.0,0.555348790755799,0.9999999999999685,1.2603049335646915e-48,5.9324504206313975e-50,9.93658091425539e-16,6.099063722867138e-16,1.668730061534433e-16,2.1687871298538106e-16,3.1474347878087306e-14,7.240781850579034e-32,1.3962485337370576e-49,5.310114109726208e-31,9.00931589588997e-40,6.418014711908943e-34,1.7905118583331047e-82,2.346018148658272e-80,3.286018262434761e-36,2.2330382643005854e-82,1.7030959672911694e-37,1.830302740427853e-99,2.131273022924764e-80,1.1335272878322464e-83,2.0000338800574244e-82,1.4187239562829412e-80,1.2123193296751043e-100,1.0021320646556024e-99,2.00476589174778e-67,1.911185611082784e-39,1.2133532776144893e-34,1.7771974240636622e-39,6.799532184418757e-20,2.0871674591417662e-20,1.7710847765144614e-32,6.235338840906384e-47,1.5633752694893058e-32,7.483568255516545e-23,2.4756492994862526e-21,4.205024716275788e-34,3.923512565503266e-33,5.419517982029733e-47,4.059574929638219e-33,9.955084541931473e-39,4.749149406166569e-19,1.0028636567974594e-43,3.04682511922039e-34,6.924812827981964e-55,2.7740046824747536e-62,2.3041662309766726e-66,7.548513219118219e-36,1.3270421212828667e-34,4.578065318653545e-49,2.550484982038241e-21,1.253834007947886e-66,1.480717453324818e-47,1.5984744655005748e-37,4.749149406166535e-19,4.994716205356236e-53,1.213111413257336e-35,1.0471391647167499e-22,7.829947044034536e-37,5.1632821692574246e-67,5.272190048145083e-35,7.443549499019579e-47,6.1611877194311944e-52,4.3966868843971224e-65,2.6047105257332614e-50,2.111882984534559e-50,3.266487528109408e-23,5.248719755612056e-52,5.824938453192114e-52,2.2241065018838905e-56,7.682495856080799e-60,1.4784592123832437e-47,7.836358923174058e-53,2.153731417878826e-54,1.2984582438328467e-68,8.476510426178211e-70,5.090254487353068e-98,5.803287464911112e-80,2.172605746935643e-66,9.45683163391999e-66,1.8225506189879844e-106,1.8529946774015795e-66,5.497973544702303e-80,2.0402873296853137e-82,1.2983733072131141e-49,1.5013577235993111e-65,1.3840971676216527e-39,1.5198165512129817e-43
1.4077693222054117e-20,0.7940523898459688,2.6258320618378925e-24,2.2775488389634982e-24,2.3381935792073868e-34,6.5789819228158e-23,0.0,0.0,1.789830148764222e-19,2.435538900080901e-35,7.905459852318347e-48,5.019587626194981e-48,9.253177595721634e-51,3.251410519906521e-58,2.846017245229969e-39,1.7722057998966451e-34,5.787028414380394e-35,4.904567946668979e-34,2.345772016505627e-78,4.9580026588248514e-54,2.281614034573606e-81,1.3968116404326531e-80,2.1090267684072677e-22,2.9682032718593253e-82,1.729682989588407e-51,1.2263040440172305e-84,3.992438781378131e-86,1.8676217398123743e-69,3.7963472351533335e-83,2.2059210515073095e-83,3.21715900279556e-53,3.8798395505747805e-99,7.256229472372754e-100,6.420086768759712e-100,3.76,0.0,0.555348790755798,0.9999999999999366,1.0206276108189272e-47,4.804252159804306e-49,2.0013113672373503e-15,1.228402975170592e-15,3.3609633633736087e-16,4.36812055729395e-16,6.339199642976823e-14,2.9268397941485932e-31,1.130718262809139e-48,2.1464330245397926e-30,3.6417095316620695e-39,2.594264161793044e-33,5.876639201955846e-81,7.699866469166299e-79,1.3282611205995882e-35,7.329055176288904e-81,6.884186201458205e-37,1.2019298734736435e-97,6.995051464229213e-79,3.720350058073859e-82,6.564311456597523e-81,4.656394080424059e-79,7.961102752784038e-99,6.580837361329922e-98,3.2498238996132144e-66,7.72531788800147e-39,4.904567946668964e-34,7.18371613778496e-39,1.369483242777108e-19,4.20373164305598e-20,7.159007838759817e-32,5.049539662804104e-46,6.319412801472525e-32,1.5072538881530694e-22,4.9861668989626166e-21,1.699738222873848e-33,1.58594651053984e-32,4.388874533276263e-46,1.6409450935769792e-32,4.0240043399533236e-38,9.565188240589058e-19,4.0537705239232665e-43,1.2315754277313284e-33,5.607892966217764e-54,4.496790299407337e-61,3.735160369810573e-65,3.051229733501375e-35,5.364116430005869e-34,3.70743704632988e-48,5.136892287765081e-21,2.0325231026371417e-65,1.19912338389332e-46,6.461289364140133e-37,9.56518824058892e-19,4.0448506801483304e-52,4.903590292197983e-35,2.1090267683731703e-22,3.164989785351033e-36,8.369905451150659e-66,2.1311035125229176e-34,6.027979337561612e-46,4.989489554788502e-51,7.167657161386106e-64,1.1083667390636815e-49,1.7102575951267745e-49,6.57898192280799e-23,4.25056400582838e-51,4.7367432120081326e-51,1.808606470316539e-55,6.221484329304994e-59,5.976170048537619e-47,6.346086627335315e-52,1.7441475415421465e-53,2.1048569898755754e-67,1.3740788997026997e-68,3.342686846367162e-96,1.9046970539139546e-78,3.5418931588101706e-65,1.5330256422724156e-64,1.1968392525531415e-104,3.020848995876302e-65,1.793790475780467e-78,6.696427308581526e-81,1.0514563667820975e-48,2.4337655678432824e-64,5.594742049623241e-39,6.143341497761944e-43
2.8253831851255464e-20,0.794052389845969,5.270026786565994e-24,4.5710245929190095e-24,9.401773544558588e-34,1.3203970712224728e-22,0.0,0.0,3.5921765922748864e-19,9.793194798332462e-35,6.36300186681817e-47,4.04020081729388e-47,7.447859561005966e-50,2.6170180527273736e-57,1.144371017061614e-38,7.125961577035107e-34,2.326938673160379e-34,1.972105200324713e-33,7.601613697552247e-77,3.990631876407521e-53,7.393705817345334e-80,4.5264511694175156e-79,4.2328019758231085e-22,9.617739407097565e-81,1.39219934904614e-50,3.973911227469408e-83,1.293758250571786e-84,3.016214098538473e-68,1.230228883724664e-81,7.148418308767974e-82,2.5894494520178416e-52,2.518461126572183e-97,4.704550931210338e-98,4.167396387894444e-98,3.76,0.0,0.555348790755796,0.9999999999998728,8.214898937886342e-47,3.866880098723442e-48,4.0166179188609674e-15,2.4653961809431117e-15,6.745429967056314e-16,8.766787412122125e-16,1.2722729353087747e-13,1.1768694085206222e-30,9.101004281761193e-48,8.630712787866584e-30,1.4643153858411093e-38,1.0431422094789889e-32,1.9043598810661812e-79,2.4951875194189746e-77,5.34087954697849e-35,2.3750239149174952e-79,2.7681009938955797e-36,7.791419354294922e-96,2.2667880256340955e-77,1.2056015607859617e-80,2.127204164703767e-79,1.5089321927183181e-77,5.160724551275478e-97,4.265977967278021e-96,5.2337507979749296e-65,3.106316406472332e-38,1.9721052003247008e-33,2.888540664112084e-38,2.748543291446994e-19,8.436860010871728e-20,2.878605565501438e-31,4.064309063251627e-45,2.5410080936824005e-31,3.025048013567854e-22,1.0007202097907336e-20,6.83457263692767e-33,6.377021166376274e-32,3.532551387560714e-45,6.59816804987326e-32,1.6180344468787638e-37,1.919726590943419e-18,1.6300316698948347e-42,4.9521106282525075e-33,4.513720135230043e-53,7.241949480909846e-60,6.0153667171620775e-64,1.2268860560378769e-34,2.156887624264292e-33,2.9840682968346857e-47,1.0309706899212478e-20,3.273319111576271e-64,9.651588207314902e-46,2.598056035946553e-36,1.919726590943363e-18,3.255647721903728e-51,1.9717120897066456e-34,4.232801975686005e-22,1.272628472615079e-35,1.3479476741315327e-64,8.569073494486651e-34,4.851842138812981e-45,4.015975269497771e-50,1.1575743326498707e-62,4.903032930643418e-49,1.3765641015848006e-48,1.3203970712193326e-22,3.421229560719094e-50,3.820355000795021e-50,1.458706639596318e-54,5.007591849788899e-58,2.4029929202118274e-46,5.1078826147766265e-51,1.4038416789784149e-52,3.389807470994007e-66,2.212911733081494e-67,2.1668714196966085e-94,6.172284072957028e-77,5.720164854325584e-64,2.468916602966017e-63,7.758420703009609e-103,4.8786791974471106e-64,5.7958577237439885e-77,2.1700170920549337e-79,8.463035586220257e-48,3.9195044181739156e-63,2.249621171583254e-38,2.470210596851855e-42
5.660610910965816e-20,0.7940523898459697,1.0558416840882647e-23,9.157976100933074e-24,3.7705316960117275e-33,2.6453948291042605e-22,0.0,0.0,7.196869479295729e-19,3.927509125473772e-34,5.1059082776292926e-46,3.2420067152907518e-46,5.976477131151432e-49,2.0999921732484304e-56,4.5894396108098957e-38,2.8578293088873338e-33,9.332064828241208e-34,7.909023899252851e-33,2.4478407289882907e-75,3.202230759764308e-52,2.380891059041376e-78,1.4575893968593186e-77,8.480352390861497e-22,3.0969218296812087e-79,1.1171522999670092e-49,1.2796627640893603e-81,4.1660833281752366e-83,4.848476071710096e-67,3.961533004000913e-80,2.301904589541895e-80,2.0778701075108493e-51,1.6232220933635495e-95,3.0304294647494e-96,2.6860167233359735e-96,3.76,0.0,0.555348790755792,0.9999999999997451,6.591939041473325e-46,3.1029277516571866e-47,8.047231022108173e-15,4.939382592507208e-15,1.3514363174439142e-15,1.7564121121570065e-15,2.5489788772408557e-13,4.7197726958960616e-30,7.302982774910868e-47,3.461301845794995e-29,5.87255962812751e-38,4.183466816849754e-32,6.132342252570116e-78,8.034901388283203e-76,2.141931575089878e-34,7.647955436056982e-78,1.1101323049272195e-35,5.018428436102926e-94,7.299418625841629e-76,3.882229122942436e-79,6.849936353390254e-78,4.859002089307255e-76,3.3240062768091917e-95,2.7477028465889255e-94,8.40133680546925e-64,1.2457718612309606e-37,7.909023899252755e-33,1.158433999640395e-37,5.506663388784458e-19,1.6903116746452504e-19,1.154449580543924e-30,3.2613521589835905e-44,1.0190578949293624e-30,6.06063626524524e-22,2.0049272495764722e-20,2.740969311104209e-32,2.557470706925267e-31,2.8346513511307203e-44,2.6461604982679002e-31,6.489041815558435e-37,3.846142124712507e-18,6.537383609913554e-42,1.986017850490511e-32,3.621976144928801e-52,1.162493863085899e-58,9.656000654611967e-63,4.9203618228550506e-34,8.65008406486851e-33,2.3945270469693643e-46,2.0655336122082137e-20,5.254404755260207e-63,7.744791700535617e-45,1.0419366716387683e-35,3.846142124712282e-18,2.612452264040866e-50,7.907447349408939e-34,8.48035239031165e-22,5.103809372633517e-35,2.163754705642257e-63,3.436581732444124e-33,3.8932976707364124e-44,3.2225672365207605e-49,1.860763542591136e-61,2.3243401061026973e-48,1.1046059985086526e-47,2.645394829091668e-22,2.745323602652923e-49,3.068716896461245e-49,1.171712500821288e-53,4.018277099815674e-57,9.637086223343159e-46,4.0987541152088096e-50,1.126494536741698e-51,5.441391862994223e-65,3.552213438502838e-66,1.3956749905399932e-92,1.9875738187904334e-75,9.19499628425689e-63,3.963178816886407e-62,4.997175286094744e-101,7.842334322626505e-63,1.8636413753586178e-75,6.987800800116828e-78,6.791053074564416e-47,6.291672630375495e-62,9.021987065703439e-38,9.90664932206281e-42
