Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885)
0.0,0.5016436283426189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.924134034503728,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.746959300622817e-21,0.5016436283426189,4.127295398863162e-30,2.873395886938414e-34,1.0604529768866385e-38,4.210266801890368e-44,0.0,0.0,1.334932658081975e-23,2.755003668715183e-41,7.567160002773545e-56,5.630621540928221e-56,2.3365972679710033e-61,7.801348695936252e-80,4.0098844636513864e-53,1.5917217986880574e-42,1.6064602993630215e-47,4.016805557435055e-41,4.038656665303793e-102,1.0891382188244156e-76,4.27488393301591e-98,2.174627886798272e-97,1.529440563751069e-30,1.7426181457336135e-95,3.103007269463095e-66,3.0638904056986752e-105,3.0785963411788776e-112,6.7235128169716935e-90,4.8262984350420926e-107,1.5204160566126005e-105,6.930702484250987e-66,7.619780656393798e-120,2.388960048816468e-119,1.4973389468665877e-121,3.76,0.0,0.924134034503728,0.9999999999999994,2.0732175248063576e-52,7.112493164153746e-63,8.725931204263636e-21,5.500658069170143e-21,2.6076124087249954e-21,6.176607263684987e-22,4.898979484302102e-16,2.834967376801544e-43,1.2080651581993526e-66,1.4400381563853714e-39,1.0131362914737446e-45,1.0692590098145393e-38,1.2702230439697856e-104,1.2065114442331391e-103,1.00685287483439e-45,1.647537881163423e-105,4.559907811407826e-49,6.5550520852126314e-121,7.678195208108514e-104,7.902100493154813e-107,2.3639208224710184e-105,6.714775646759272e-104,7.229939416517027e-122,9.809179571927646e-121,9.730622010069875e-118,5.544957443749476e-45,4.0168055574350526e-41,5.540327620773851e-49,1.0281808531540838e-23,3.067522176574054e-24,7.108156824757697e-38,3.397959128793041e-53,5.147496130066161e-38,6.170672290125523e-32,2.108104845162544e-29,1.366719601067334e-43,4.06242891804045e-42,3.1612193775062864e-55,7.51267166069901e-41,9.411770606098964e-46,5.513361579775782e-24,1.3820212520688144e-50,1.987840249665998e-40,8.602035110388708e-72,1.051264557038786e-69,3.542540084835058e-74,3.9485880427333817e-38,7.724977724051185e-44,7.979966626996977e-61,2.114275517448365e-29,3.772347928171839e-74,1.29782425858584e-70,8.969446456383989e-48,5.5133615797757766e-24,6.840015454689918e-62,4.158637304073527e-38,1.5294405637526575e-30,3.646440870462218e-46,8.586245884581634e-78,1.6325345796480006e-38
2.1691486041743886e-20,0.5016436283426189,1.1556427118883707e-29,8.04550848361672e-34,6.405135980395161e-38,2.5430011487229337e-43,0.0,0.0,3.7378114426295445e-23,1.6640222159039757e-40,8.983732355287162e-55,6.684673893383331e-55,2.774008276613326e-60,9.261761171799312e-79,2.421970216042562e-52,9.613999664065423e-42,9.703020208164916e-47,2.4261505567158124e-40,2.4569119359475485e-100,1.293024893418207e-75,2.0421633534062227e-96,1.0388458370565712e-95,4.282433578497854e-30,1.0593727381453457e-93,3.683890230311701e-65,1.4636572797676002e-103,1.473875537068268e-110,2.1139800061837587e-88,2.305796392317504e-105,7.263209952365987e-104,8.228129989379184e-65,5.879764125714254e-118,1.8434286482402728e-117,1.1554138122442274e-119,3.76,0.0,0.924134034503728,0.9999999999999987,2.4613238454500637e-51,8.443951884493103e-62,2.4432607371938183e-20,1.5401842593678534e-20,7.301314744429992e-21,1.729450033829656e-21,1.3717142555705602e-15,1.7123202955883283e-42,1.4342149558144195e-65,8.697830464286327e-39,6.119343200435574e-45,6.458324419280096e-38,6.068007907841737e-103,5.763649950469994e-102,6.081391364083093e-45,7.87048616312416e-104,2.754184318076656e-48,5.702119195935087e-119,3.667965989252201e-102,3.7749282308209556e-105,1.1292733439735982e-103,3.2077289037664475e-102,6.28919126734564e-120,8.532824820491355e-119,8.464486827378089e-116,3.3491542962240324e-44,2.426150556715809e-40,3.3463578830615974e-48,2.8789063888314077e-23,8.589062094406949e-24,4.293326722153484e-37,4.03405707772466e-52,3.1090876625599086e-37,1.7277882413056907e-31,5.902693566458263e-29,8.254986390437611e-43,2.453707066493716e-41,3.752999969518717e-54,4.537653683062127e-40,5.684709446083988e-45,1.5437412423372157e-23,8.388248778475353e-50,1.2006555107982593e-39,1.021233608305461e-70,2.351636957782003e-68,7.924521122792632e-73,2.3849471778105176e-37,4.665886545326772e-43,9.473816638182385e-60,5.919971448845321e-29,8.438592118278658e-73,2.903181193282411e-69,5.417545667392981e-47,1.543741242337212e-23,8.120466358427045e-61,2.511816931660168e-37,4.282433578507449e-30,2.2024502858185196e-45,1.920708909467471e-76,9.860508861073833e-38
4.9580539523986026e-20,0.5016436283426189,2.6414690567192224e-29,1.8389733677729964e-33,3.083797256786139e-37,1.2243455865614463e-42,0.0,0.0,8.543569011724741e-23,8.011550668623833e-40,8.8202816992155e-54,6.563052468085303e-54,2.7235377757877693e-59,9.093252039933044e-78,1.1660744020255102e-51,4.628726990569203e-41,4.6715865505660665e-46,1.1680870561389571e-39,1.1091674907266168e-98,1.2694995079509885e-74,1.0633502242695312e-94,5.409248736015594e-94,9.78841960797087e-30,4.784406381660246e-92,3.616865273301971e-64,7.621234100726633e-102,7.660912449164015e-109,4.716173106718222e-87,1.2005538367350062e-103,3.781938363997562e-102,8.078426815875379e-64,6.4080545624597e-116,2.0090586936724788e-115,1.2592264920503717e-117,3.76,0.0,0.924134034503728,0.9999999999999969,2.4165423469141465e-50,8.290322032167913e-61,5.584595970728727e-20,3.520421164270387e-20,1.6688719415840007e-20,3.953028648743407e-21,3.1353468697151468e-15,8.24408513174183e-42,1.4081207483976257e-64,4.187630958346683e-38,2.946200335506163e-44,3.1094052005410893e-37,3.1595991373622024e-101,3.0011205799148954e-100,2.927928160141113e-44,4.098145828223988e-102,1.3260211915352844e-47,5.9269204384704405e-117,1.9099022861149756e-100,1.965597303588585e-103,5.8801028901366486e-102,1.6702577898795993e-100,6.5371373310351e-118,8.869224245645848e-117,8.798192963020515e-114,1.6124736249338732e-43,1.1680870561389542e-39,1.6111272722923213e-47,6.580357460185946e-23,1.9632141930071112e-23,2.067052004639289e-36,3.960661160551545e-51,1.4968918746231602e-36,3.949230266174144e-31,1.349187100906226e-28,3.9744205998901804e-42,1.1813543293620876e-40,3.684717767266327e-53,2.1846849189311586e-39,2.7369428922538856e-44,3.528551411056477e-23,4.0801784249856544e-49,5.780639446028671e-39,1.0026532124672566e-69,4.6464385311569175e-67,1.5657518973674817e-71,1.1482494028261994e-36,2.2464235221538692e-42,9.30144946757546e-59,1.3531363311598828e-28,1.6673236672410819e-71,5.7361970411268915e-68,2.6083150411195967e-46,3.52855141105646e-23,7.972722046899295e-60,1.2093317280242165e-36,9.788419608017065e-30,1.0603850052177276e-44,3.7949971861632925e-75,4.7474105576162466e-37
1.053586464884703e-19,0.5016436283426189,5.613121749687893e-29,3.9078184068983006e-33,1.346775280645819e-36,5.3470388443086126e-42,0.0,0.0,1.8155084149915365e-22,3.498854659268366e-39,7.80143927642298e-53,5.804945583792031e-53,2.4089383198914993e-58,8.042878451456903e-77,5.092553268792689e-51,2.021486684317643e-40,2.040204580210051e-45,5.1013430583198936e-39,4.188005400397149e-97,1.1228579382639574e-73,4.243551605502971e-93,2.1586891726127503e-92,2.0800391666834674e-29,1.8068064854466081e-90,3.199076374558758e-63,3.0414352590507556e-100,3.055350851947125e-107,8.832870290269279e-86,4.7909977367612624e-102,1.509272321601558e-100,7.145277033647052e-63,5.242186508580968e-114,1.6435347463987308e-113,1.0301254562211229e-115,3.76,0.0,0.924134034503728,0.9999999999999933,2.1374043393740547e-49,7.332695952579588e-60,1.1867266437798544e-19,7.48089497407887e-20,3.546352875866011e-20,8.400185878536653e-21,6.662612097459865e-15,3.600408568541e-41,1.2454668554981707e-63,1.828848458173377e-37,1.2866830900685146e-43,1.3579589424648837e-36,1.2609130732762557e-99,1.1976684411765469e-98,1.2787031511653706e-43,1.6354624200689774e-100,5.79108292025196e-47,4.744314601977883e-115,7.621918656378061e-99,7.844182851002993e-102,2.3465947054446856e-100,6.665560380907851e-99,5.23277415534575e-116,7.099536855574108e-115,7.042678868197914e-112,7.042095956539279e-43,5.101343058319868e-39,7.036216080152741e-47,1.3983259602894582e-22,4.171830160139296e-23,9.027359167439692e-36,3.5031599434505773e-50,6.5373200851832e-36,8.392114317039757e-31,2.8670225894320494e-28,1.735733893341432e-41,5.159284725869253e-40,3.2590911935113173e-52,9.541093009086569e-39,1.1952948669748794e-43,7.498171748494945e-23,1.818469634895869e-48,2.5245571170757634e-38,8.868354117413642e-69,8.26808925990262e-66,2.786171894735161e-70,5.01470681426449e-36,9.810721709542777e-42,8.227026763338723e-58,2.875414703694423e-28,2.966913435260702e-70,1.020725633790781e-66,1.1391197119495287e-45,7.498171748494867e-23,7.051782402277126e-59,5.281469376169604e-36,2.0800391667036422e-29,4.630979906381357e-44,6.752994765650885e-74,2.0733189161528147e-36
2.1691486041743888e-19,0.5016436283426189,1.1556427148853115e-28,8.045508486359529e-33,5.622521683451048e-36,2.2322834636793352e-41,0.0,0.0,3.7378114426297536e-22,1.4607029451528648e-38,6.5575797837774e-52,4.879406537345129e-52,2.0248578077806628e-57,6.760523958127742e-76,2.1260407425878503e-50,8.43930897649837e-40,8.517452507393864e-45,2.1297103068902702e-38,1.4530136258212781e-95,9.438297545547775e-73,1.5082247046869962e-91,7.672319421415736e-91,4.282433578423338e-29,6.26913172438283e-89,2.689016451660374e-62,1.0809742919812e-98,1.0856306271014253e-105,1.525658688244993e-84,1.7027811321462203e-100,5.364190218932701e-99,6.006035882485702e-62,3.7728397024569106e-112,1.1828638909388596e-111,7.413887725183059e-114,3.76,0.0,0.924134034503728,0.9999999999999862,1.796617135516228e-48,6.163572776280474e-59,2.4432607371938183e-19,1.540184259370951e-19,7.301314744430064e-20,1.729450033798613e-20,1.3717142550771481e-14,1.5030997031829138e-40,1.0468899370547811e-62,7.635082301230832e-37,5.371648616464076e-43,5.669211270040436e-36,4.4814825516279433e-98,4.2567012232825924e-97,5.338333943498471e-43,5.812689594968631e-99,2.417663121392837e-46,3.377720172371477e-113,2.7089492678332907e-97,2.787945444043874e-100,8.340165117643552e-99,2.369044557921396e-97,3.725479505630736e-114,5.054523331393911e-113,5.014043344451191e-110,2.9399364393406747e-42,2.129710306890249e-38,2.937481706127251e-46,2.878906388831009e-22,8.589062094401069e-23,3.768744748484204e-35,2.94461701369188e-49,2.7292024481603345e-35,1.7277882423285806e-30,5.90269356650379e-28,7.246347324732263e-41,2.1538998123071387e-39,2.7394625454911004e-51,3.9832185145015557e-38,4.990120775356442e-43,1.543741242337166e-22,7.897200481384172e-48,1.0539529003728636e-37,7.454385994114308e-68,1.3945341147633321e-64,4.699286176725753e-69,2.093541380251022e-35,4.0957831892899327e-41,6.915311727676527e-57,5.919971448698859e-28,5.004133204110544e-69,1.72160298859262e-65,4.755600619068761e-45,1.5437412423371342e-22,5.92744807816636e-58,2.2049094986163856e-35,4.282433578507565e-29,1.9333429503205827e-43,1.1389912740735242e-72,8.655698341292386e-36
4.40027288275376e-19,0.5016436283426189,2.3443038000095058e-28,1.632088865012446e-32,2.2969835660539185e-35,9.119606348584402e-41,0.0,0.0,7.582417497906554e-22,5.967448146584466e-38,5.376300098965348e-51,4.000432280572234e-51,1.660100768377181e-56,5.542685994357982e-75,8.685570143307805e-50,3.44773308470691e-39,3.479657266977161e-44,8.700561512484176e-38,4.839142031519062e-94,7.738086568673581e-72,5.080116184292291e-90,2.58424848383047e-89,8.687222401771523e-29,2.0879589781338217e-87,2.204618150654914e-61,3.6410229308122687e-97,3.656252211469643e-104,2.5349047405351736e-83,5.735413324305492e-99,1.806807000511356e-97,4.9241110866311944e-61,2.5573536003848645e-110,8.017836607570382e-110,5.025374511322944e-112,3.76,0.0,0.924134034503728,0.9999999999999721,1.472975274731005e-47,5.0532693494784585e-58,4.956328924021745e-19,3.1243737833025467e-19,1.4811238481558293e-19,3.5083129256337e-20,2.782620344868344e-14,6.140652736870374e-40,8.58303620824927e-62,3.119180244934303e-36,2.1944937319960317e-42,2.3160577856218524e-35,1.509486747717716e-96,1.4337742054772157e-95,2.1808836019581305e-42,1.957873943601407e-97,9.87694271398318e-46,2.2772352442734134e-111,9.124487203638866e-96,9.390568083111617e-99,2.8091973088012856e-97,7.979594527991858e-96,2.511692145949342e-112,3.407724169450558e-111,3.3804328888080504e-108,1.2010599643958282e-41,8.700561512484e-38,1.2000571253188006e-45,5.840067245913407e-22,1.7423525962914242e-22,1.5396552008678445e-34,2.4141749340902205e-48,1.1149682517562205e-34,3.50494186538372e-30,1.1974035520727656e-27,2.9603693245885787e-40,8.799383533311373e-39,2.2459769150207215e-50,1.6272747323931504e-37,2.0386271603657958e-42,3.1315893773124223e-22,3.4758794659644996e-47,4.305741494386127e-37,6.111556013018398e-67,2.2905264806997893e-63,7.718591688544117e-68,8.552799644029573e-35,1.6732610749386838e-40,5.669590366485823e-56,1.2009084938449152e-27,8.219303844904127e-68,2.8277380897453173e-64,1.9428180715868054e-44,3.131589377312292e-22,4.8596801661558564e-57,9.00777474608665e-35,8.687222402115616e-29,7.898336789828127e-43,1.87079658990261e-71,3.5361352008996424e-35
8.862521439912502e-19,0.5016436283426189,4.721625991422497e-28,3.287164899702424e-32,9.284774830058131e-35,3.68629071489227e-40,0.0,0.0,1.5271629608461623e-21,2.4121379521367586e-37,4.353867210040921e-50,3.239653778906265e-50,1.344392644550893e-55,4.488610821796809e-74,3.510846322101657e-49,1.3936288372962494e-38,1.4065331023058723e-43,3.5169060745493082e-37,1.5795765564978374e-92,6.266503131474337e-71,1.6673449984533582e-88,8.481762282449537e-88,1.749680004794165e-28,6.815567710544138e-86,1.785356937071215e-60,1.1950226809641703e-95,1.1999472848963164e-102,4.1325345426582867e-82,1.8824165332650598e-97,5.9301214901105085e-96,3.987672825394931e-60,1.6838764454946722e-108,5.279303655524545e-108,3.3089322398955555e-110,3.76,0.0,0.924134034503728,0.9999999999999439,1.1928535669392783e-46,4.09226853422754e-57,9.9824652976776e-19,6.292752831187612e-19,2.983108595581525e-19,7.066038709084643e-20,5.604432520966225e-14,2.4821500168428878e-39,6.950765251706362e-61,1.260822525013736e-35,8.870494530790165e-42,9.36187587527703e-35,4.9542866508907485e-95,4.705790505109497e-94,8.815480216376793e-42,6.4259383311324866e-96,3.992418162944686e-45,1.4954231384641272e-109,2.99474806302298e-94,3.0820784730430704e-97,9.22006685911873e-96,2.61898282330016e-94,1.6493871495097244e-110,2.237796723714322e-109,2.219875001953974e-106,4.854876418442155e-41,3.516906074549168e-37,4.85082277880746e-45,1.176238896007539e-21,3.5092453699899073e-22,6.223532491586727e-34,1.955061453336047e-47,4.506879941681981e-34,7.059249118717718e-30,2.4116719429496915e-27,1.1966286131870313e-39,3.55685151406846e-38,1.818850340158091e-49,6.577704647174311e-37,8.2404569306479e-42,6.307285647262586e-22,1.6068110046521176e-46,1.7404495549142276e-36,4.949296512151037e-66,3.713042138340117e-62,1.251216976823475e-66,3.457178363595825e-34,6.763588796323591e-40,4.591381274856852e-55,2.4187311916915417e-27,1.332384574073627e-66,4.583885306420097e-63,7.853181657398561e-44,6.307285647262061e-22,3.9354951729965447e-56,3.6410865742833e-34,1.7496800049332537e-28,3.192634016816392e-42,3.032641890888577e-70,1.429362386140732e-34
1.7787018554229984e-18,0.5016436283426189,9.476270458906882e-28,6.597316976830344e-32,3.7333671232377033e-34,1.4822412987087733e-39,0.0,0.0,3.065005382957764e-21,9.699100615862749e-37,3.5043711083758995e-49,2.6075552045923106e-49,1.0820841619441209e-54,3.612824489258632e-73,1.4116958647397108e-48,5.603720260330123e-38,5.655607743286154e-43,1.4141324656208912e-36,5.104918483228331e-91,5.0438269012600696e-70,5.403130621611956e-87,2.7485655071551613e-86,3.511595533817697e-28,2.2026931857847994e-84,1.4370105856355514e-59,3.8725582522738657e-94,3.888387069767248e-101,6.674054449831916e-81,6.100077082209439e-96,1.9216911345323482e-94,3.209626011568847e-59,1.093018591434162e-106,3.4268411252863546e-106,2.147856199411918e-108,3.76,0.0,0.924134034503728,0.9999999999998875,9.601123265863576e-46,3.293813735927547e-56,2.0034738044989312e-18,1.262951092704523e-18,5.98707809043312e-19,1.418149027510961e-19,1.1248056859223945e-13,9.980616048879419e-39,5.594580577523809e-60,5.069711908911964e-35,3.5667868343260697e-41,3.764369114433577e-34,1.6054660523269367e-93,1.524939397799707e-92,3.544665826310604e-41,2.082363535326048e-94,1.6053337834040794e-44,9.693967207255212e-108,9.704659191227662e-93,9.987658585623239e-96,2.987817501745188e-94,8.486969586684209e-93,1.0692027225540392e-108,1.4506347712825422e-107,1.439017158515352e-104,1.9521244628827307e-40,1.414132465620778e-36,1.9504945092025102e-44,2.3607032388388093e-21,7.043030917370272e-22,2.502455042770084e-33,1.5736035441434467e-46,1.8121966025701057e-33,1.4167863654280592e-29,4.840208724832153e-27,4.811591023625617e-39,1.4301943500976623e-37,1.4639689914789733e-48,2.6448661088297377e-36,3.313451488975092e-41,1.2658678187161515e-21,8.0838288193312e-46,6.998271112556393e-36,3.983624412074698e-65,5.979739902883178e-61,2.0150463698283907e-65,1.3901162147613345e-33,2.7196093076517796e-39,3.695543090970652e-54,4.854376586971067e-27,2.1457642792747637e-65,7.382205973413344e-62,3.1577301122250142e-43,1.2658678187159403e-21,3.1676291832808842e-55,1.4640648974291037e-33,3.5115955343769654e-28,1.2837440987211925e-41,4.883976271085021e-69,5.747403289026545e-34
3.563601278286495e-18,0.5016436283426189,1.8985559732509268e-27,1.3217621162078046e-31,1.4972471953396978e-33,5.944450677932222e-39,0.0,0.0,6.1406902271833176e-21,3.889773149840334e-36,2.8120371166446005e-48,2.0923988333050684e-48,8.683043960387173e-54,2.8990641241859213e-72,5.661531813097204e-48,2.247342456573835e-37,2.2681516586875114e-42,5.6713036810394464e-36,1.6416652795298325e-89,4.0473534513325643e-69,1.7398941516004687e-85,8.850818878782707e-85,7.035426591022783e-28,7.083562320817904e-83,1.1531104954275994e-58,1.2470358871350102e-92,1.2521044863024509e-99,1.0728348006328528e-79,1.964321118440488e-94,6.188151649839432e-93,2.575522742301201e-58,7.044791971830033e-105,2.2086891398258478e-104,1.3843497524196327e-106,3.76,0.0,0.924134034503728,0.9999999999997746,7.704296763211635e-45,2.6430780863636803e-55,4.0139283539612735e-18,2.5303027119110427e-18,1.1995017080137114e-18,2.841239340365186e-19,2.253530547998722e-13,4.0026734296262996e-38,4.489298579149509e-59,2.033181214914182e-34,1.4304410468775258e-40,1.50968038042008e-33,5.169856502665938e-92,4.910547839617762e-91,1.4215695379680047e-40,6.705542413037286e-93,6.438106469536798e-44,6.243853454356267e-106,3.125054890277728e-91,3.216185209203767e-94,9.621248461195846e-93,2.732939435980249e-91,6.886700713409544e-107,9.343492408688454e-106,9.268663790385146e-103,7.828892265717778e-40,5.671303681038537e-36,7.822355398289597e-44,4.729631924496845e-21,1.4110602012064582e-21,1.0035963971828415e-32,1.262717742079277e-45,7.267718901029745e-33,2.838509284098584e-29,9.69728228911152e-27,1.9296632038526354e-38,5.7357190130827934e-37,1.1747429185165502e-47,1.06070960416627e-35,1.328842244825249e-40,2.536146326695378e-21,4.5437007247380246e-45,2.8066197214597196e-35,3.196607710836204e-64,9.598806860391348e-60,3.234595688877295e-64,5.574987765724078e-33,1.0906849698630203e-38,2.965440591680767e-53,9.725667375875207e-27,3.4444268710875026e-64,1.1850075483206584e-60,1.2663912544422954e-42,2.5361463266945318e-21,2.5418233910058288e-54,5.871555057642943e-33,7.035426593265701e-28,5.14838802269172e-41,7.83986353902161e-68,2.304965777791551e-33
