Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37)
0.0,0.5181343226011235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7689735729325586,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.939402510095463e-21,0.5181343226011235,1.5663656793899397e-29,3.538078779232759e-33,1.2932484699328772e-44,9.281473669180504e-44,0.0,0.0,2.244443844955234e-23,3.610479027555493e-41,7.96423739260484e-58,5.910068705947495e-70,8.781775210592762e-61,6.1375294643717025e-96,7.121099219847077e-70,3.301086159999952e-56,2.7210988791449767e-46,9.64041787205484e-41,1.572139131600316e-117,2.241992593079852e-74,4.376790485425399e-116,2.3078976437605628e-124,6.397873500947609e-44,5.125662223759631e-102,5.559323160564813e-65,6.406327581965901e-122,5.0229884840688766e-126,2.316124248166658e-102,5.82503085446267e-105,7.626817739758653e-107,4.865573079925041e-65,1.0626988702581068e-120,3.731880019687145e-123,3.6413826148703446e-120,3.76,0.0,0.7689735729325586,0.9999999999999996,1.2494683717291286e-58,7.929303432178337e-62,2.3293988000868037e-20,1.4853584921366286e-20,6.4415621112720536e-21,1.998840968229699e-21,4.63680923897662e-16,3.361083895305479e-42,5.496288491617854e-65,6.615530399357297e-39,2.283809609285715e-45,2.3802602247816663e-40,8.986500736262e-103,1.2070845477071991e-101,6.522577177916905e-45,1.5458649028450987e-103,5.797097550573659e-48,2.4579391750499755e-119,7.700598287190673e-102,8.00846862856594e-105,2.1724043162642645e-103,6.106217437255663e-102,2.4485617045655345e-120,3.1501765308507433e-119,3.2617208974071114e-116,1.0923763924284206e-44,9.64041787205484e-41,3.748988187815761e-48,1.7271071962431898e-23,5.173382150777024e-24,1.1718258221593059e-37,3.5735821526082315e-53,3.728498715458093e-38,6.737880966916556e-31,1.6116154417706122e-28,9.736192710017172e-43,2.467773564115529e-41,8.96837100124178e-55,2.6525704479526373e-40,2.1317251193237083e-45,2.6519279395036617e-40,3.1867060280539285e-50,3.44678149041306e-62,3.8243789506664224e-70,1.3988388940756711e-69,5.303838545585319e-74,2.3714313807033607e-38,4.091417208991944e-43,6.408592715388332e-60,1.6183533227359943e-28
1.1030327028267295e-20,0.5181343226011235,4.385823902953552e-29,9.906620581914456e-33,7.811220759474502e-44,5.606010096890807e-43,0.0,0.0,6.284442765874663e-23,2.1807293326435196e-40,9.455142632534459e-57,1.3220587292441996e-68,1.042572353033877e-59,1.3729407910601154e-94,8.454168993792516e-69,3.919049489147505e-55,1.643543723004757e-45,5.822812394754851e-40,1.2131326603666171e-115,2.661693606534026e-73,2.6626152404131866e-114,2.1329292089521104e-122,3.864315594567747e-43,3.0542682741927244e-100,6.600028456227194e-64,4.943409995315781e-120,4.160190130071887e-124,1.1064403468610411e-100,2.782687139549641e-103,3.643422356106091e-105,5.776408360517132e-64,8.200260572201082e-119,2.8796858117734352e-121,2.8098539596861875e-118,3.76,0.0,0.7689735729325586,0.9999999999999987,1.4833688652391778e-57,9.413669034688366e-61,6.52231664024305e-20,4.1590037779830256e-20,1.8036373911561768e-20,5.5967547110384855e-21,1.2983065868970963e-15,2.0300946727646968e-41,6.525193697249257e-64,3.995780361146787e-38,1.3794210040001598e-44,1.4376771757724943e-39,4.292959239738772e-101,5.766387734540529e-100,3.9396366154899655e-44,7.384782144821768e-102,3.5014469205445093e-47,2.138116062289228e-117,3.6786682089685006e-100,3.8257415655130036e-103,1.0377836107469288e-101,2.9170133443874046e-100,2.129958773236775e-118,2.7402806009078193e-117,2.8373109929820547e-114,6.597953410688563e-44,5.822812394754851e-40,2.264388865478037e-47,4.83590014948091e-23,1.448547002217527e-23,7.07782796584205e-37,4.242556731781151e-52,2.2520132241366645e-37,1.8866066707737772e-30,4.512523236959073e-28,5.880660396846363e-42,1.4905352327246905e-40,1.064725207373717e-53,1.6021525505633784e-39,1.2875619720715497e-44,1.601764475460196e-39,1.927386417346921e-49,4.092019009334275e-61,4.540302690231692e-69,3.129147219913884e-68,1.1864476824363352e-72,1.4323445539445968e-37,2.4712159942311116e-42,7.608281750801005e-59,4.531389303657544e-28
2.5212176064610962e-20,0.5181343226011235,1.0024740352727663e-28,2.264370418752879e-32,3.760766552184691e-43,2.6990525440563656e-42,0.0,0.0,1.4364440607713554e-22,1.0499273012131408e-39,9.283115104920174e-56,2.61216526303041e-67,1.0236037186465202e-58,2.7126996428155476e-93,8.300353250622952e-68,3.8477460280821864e-54,7.91295554057146e-45,2.8034335172431765e-39,1.3221305421345502e-113,2.613266566582447e-72,1.2020317978818467e-112,3.060745242458946e-120,1.8605016140686517e-42,1.3950299366940215e-98,6.479947075968727e-63,5.387572736217551e-118,4.4070688401679494e-122,5.761211947522146e-99,1.4489394244567804e-101,1.8971224672398534e-103,5.671311982052257e-63,8.937045104103929e-117,3.138422464549094e-119,3.062316295123491e-116,3.76,0.0,0.7689735729325586,0.999999999999997,1.456380354742204e-56,9.242396080566436e-60,1.4908152320555541e-19,9.50629434967768e-20,4.122599751214126e-20,1.279258219663737e-20,2.9675579128305363e-15,9.774031967551142e-41,6.406473865831449e-63,1.9237962400355723e-37,6.641318343675802e-44,6.921796733729396e-39,2.2353349759220464e-99,3.002546138407261e-98,1.8967654433796754e-43,3.845240752726825e-100,1.685795967702809e-46,2.222409485673813e-115,1.9154749097352807e-98,1.9920557016024976e-101,5.403717745847908e-100,1.5188828008261858e-98,2.2139306023224307e-116,2.8483138535655034e-115,2.949169587160289e-112,3.1766305497991515e-43,2.8034335172431765e-39,1.0902057650728014e-46,1.1053486055956264e-22,3.310964576497017e-23,3.407669490839027e-36,4.165367357370626e-51,1.0842474264551778e-36,4.3122438190865856e-30,1.031433882734144e-27,2.831284840066981e-41,7.17628552443162e-40,1.0453536108944766e-52,7.713674862646053e-39,6.199056646993773e-44,7.711806448076416e-39,9.30618077561604e-49,4.0175685391867275e-60,4.457696104898362e-68,6.18266814722866e-67,2.3442208943889523e-71,6.896122455081882e-37,1.1897841243748234e-41,7.469856349356502e-58,1.035746126548769e-27
5.3575874137298294e-20,0.5181343226011235,2.1302573262863427e-28,4.81178713997612e-32,1.6424255584886335e-42,1.178747157079888e-41,0.0,0.0,3.052443629139147e-22,4.5853083649955135e-39,8.210810182484719e-55,4.6482085180859825e-66,9.053658973205942e-58,4.8271040753738864e-92,7.341568451628858e-67,3.403287787484656e-53,3.4557955765325833e-44,1.224333069801799e-38,1.0815846337247734e-111,2.3114046839449586e-71,4.538643396020545e-111,3.8314665563045484e-118,8.12529934613203e-42,5.293527176198927e-97,5.731439805646071e-62,4.407373541951973e-116,3.559231071282871e-120,2.2991484512252094e-97,5.782336882689501e-100,7.570917754230232e-102,5.016211222670189e-62,7.311057798354574e-115,2.5674244433100213e-117,2.505164869508362e-114,3.76,0.0,0.7689735729325586,0.9999999999999937,1.2881519339573362e-55,8.174794666479251e-59,3.167982368118053e-19,2.020087549307444e-19,8.760524471330052e-20,2.718423716776039e-20,6.306060564435699e-15,4.268576547040862e-40,5.666453583321868e-62,8.40172360617596e-37,2.9004382036611593e-43,3.022930485538606e-38,8.92063509242602e-98,1.1982373441508839e-96,8.28367301637898e-43,1.5345346433266664e-98,7.362313889182247e-46,1.778969345726426e-113,7.644157534396507e-97,7.949771371789524e-100,2.1564818997949045e-98,6.061462536960342e-97,1.7721822644708184e-114,2.2799862333968312e-113,2.3607180966846058e-110,1.3873180190154194e-42,1.224333069801799e-38,4.761214999104459e-46,2.3488657868906632e-22,7.035799725055364e-23,1.4882187941420765e-35,3.68422025634521e-50,4.7351933686314105e-36,9.163518116306466e-30,2.1917970008127933e-27,1.2364964741659678e-40,3.1340724264098404e-39,9.246034657523904e-52,3.368764468899624e-38,2.7072909015415452e-43,3.36794848316941e-38,4.0876642898648524e-48,3.553493879558095e-59,3.942781722982357e-67,1.1001728073238563e-65,4.1714159986336815e-70,3.011717853489665e-36,5.196099855419415e-41,6.607003430925476e-57,2.2009605189096157e-27
1.1030327028267295e-19,0.5181343226011235,4.385823912548514e-28,9.9066205828241e-32,6.85680340264903e-42,4.921037349245181e-41,0.0,0.0,6.28444276587478e-22,1.914275980409955e-38,6.901680697000297e-54,7.839883062117069e-65,7.61014589289124e-57,8.141616567378967e-91,6.171030646214597e-66,2.8606684488249748e-52,1.4427266257392836e-43,5.11134955621906e-38,7.784242391126977e-110,1.942874909612073e-70,1.5746662930473677e-109,4.702237326289781e-116,3.392152530138131e-41,1.8406842003226984e-95,4.8176205018296094e-61,3.1720252822929857e-114,2.5453626727033822e-118,8.171533698778865e-96,2.0551330932825496e-98,2.6908227485276046e-100,4.216427782238141e-61,5.261821396188986e-113,1.8477940213151074e-115,1.8029853513290838e-112,3.76,0.0,0.7689735729325586,0.999999999999987,1.0827693196389394e-54,6.871407485544626e-58,6.52231664024305e-19,4.159003777989775e-19,1.8036373911562018e-19,5.596754710970743e-20,1.2983065866599164e-14,1.782046681293578e-39,4.762995666226564e-61,3.5075542168322125e-36,1.2108758547245826e-42,1.2620139712382983e-37,3.170533430334165e-96,4.258723193573462e-95,3.458270420112016e-42,5.453976467956013e-97,3.0736211212704016e-45,1.2665392473651218e-111,2.716853313406438e-95,2.8254732580231704e-98,7.664474429278178e-97,2.1543387225684075e-95,1.2617071770275726e-112,1.6232387897885978e-111,1.6807159318307026e-108,5.791779638309313e-42,5.11134955621906e-38,1.9877135377005157e-45,4.835900149480599e-22,1.448547002216952e-22,6.213020509086464e-35,3.0968091163950712e-49,1.976850018935551e-35,1.8866066713123282e-29,4.5125232369787975e-27,5.162129374795187e-40,1.3084135436788602e-38,7.771849384435755e-51,1.4063928515042858e-37,1.1302406582658192e-42,1.4060521935246255e-37,1.7260844068868725e-47,2.9869257214896183e-58,3.3141456085902904e-66,1.855602279694804e-64,7.035702923253695e-69,1.2573329180456788e-35,2.16926940420721e-40,5.553584518529593e-56,4.531389303610578e-27
2.237580625734223e-19,0.5181343226011235,8.896957102012922e-28,2.0096287470126052e-31,2.8012279285683666e-41,2.0104043309751823e-40,0.0,0.0,1.2748441039346253e-21,7.820441992846573e-38,5.658414817704739e-53,1.2877031470976833e-63,6.239257391978526e-56,1.3372629659324843e-89,5.059383761631058e-65,2.345348828608432e-51,5.8940090163238736e-43,2.0881530731434985e-37,5.276412713968768e-108,1.5928862347470766e-69,5.2442969773201785e-108,5.834283970782384e-114,1.3858049917448218e-40,6.136782487172264e-94,3.9497763558188993e-60,2.1501108851574576e-112,1.7199035761173288e-116,2.7523976025567676e-94,6.922254261024077e-97,9.063432095168001e-99,3.4568822420172797e-60,3.566633877066123e-111,1.2524949590514504e-113,1.2221221800329149e-110,3.76,0.0,0.7689735729325586,0.9999999999999737,8.877197087563538e-54,5.633595009668375e-57,1.3230985184493044e-18,8.436836235366352e-19,3.6588072792026385e-19,1.1353416699240555e-19,2.633707646673864e-14,7.280242160609602e-39,3.904991615255467e-60,1.4329503458544392e-35,4.946822965091484e-42,5.155738857785112e-37,1.0679229788442383e-94,1.434455260769121e-93,1.4128163073669912e-41,1.837049482606552e-95,1.2556745178065524e-44,8.538918753846034e-110,9.151110206055145e-94,9.516972095591808e-97,2.5816060752073805e-95,7.256406142515392e-94,8.50634127293616e-111,1.094376204354297e-109,1.1331268906047063e-106,2.366130965830948e-41,2.0881530731434985e-37,8.120458378744195e-45,9.809968874659922e-22,2.938481061638768e-22,2.538221603828101e-34,2.538951214951475e-48,8.076077357628055e-35,3.827116391626512e-29,9.153975709345627e-27,2.1088982857132168e-39,5.345296250688167e-38,6.371831736141517e-50,5.745573693081618e-37,4.6174018774632066e-42,5.744181994080685e-37,7.211505697885802e-47,2.448862169589174e-57,2.7171368021714177e-65,3.0478323447694257e-63,1.1556163285672353e-67,5.136615227831254e-35,8.862173331362214e-40,4.553164134821484e-55,9.192246872929583e-27
4.506676471549209e-19,0.5181343226011235,1.7919223548702016e-27,4.047562125115394e-31,1.132301121844771e-40,8.126375776674043e-40,0.0,0.0,2.5676437586290027e-21,3.1611476916183812e-37,4.582331024205817e-52,2.0874222922613814e-62,5.052712405101933e-55,2.1677608942398063e-88,4.097220143383649e-64,1.8993242886070556e-50,2.382452681553354e-42,8.44064859020501e-37,3.474226983041956e-106,1.2899605717312105e-68,1.7118268881478589e-106,7.330651228039035e-112,5.60164534755991e-40,2.0041908180701423e-92,3.1986312978874995e-59,1.4157412264547027e-110,1.1306914470932724e-114,9.033644535215451e-93,2.271953160643544e-95,2.974709165582297e-97,2.7994728657988923e-59,2.3484319012755343e-109,8.246989282233662e-112,8.047001221131122e-109,3.76,0.0,0.7689735729325586,0.9999999999999469,7.1889843917027825e-53,4.5622312997487245e-56,2.6648322272993033e-18,1.6992501150167164e-18,7.369147055295691e-19,2.286674067530178e-19,5.3045097650267786e-14,2.9427902823851196e-38,3.16236345378759e-59,5.792214403779487e-35,1.9995849349632875e-41,2.084032079697225e-36,3.5050301475110006e-93,4.708025796843387e-92,5.71082940561254e-41,6.029380348626789e-94,5.075637165894374e-44,5.6073682837348154e-108,3.0034859990419176e-92,3.123565535279479e-95,8.473089637933234e-94,2.381625153928719e-92,5.585975182650026e-109,7.186589536439127e-108,7.44105895903639e-105,9.564279695612607e-41,8.44064859020501e-37,3.2824191134914385e-44,1.975810632501637e-21,5.918349180478339e-22,1.0259897549384209e-33,2.0561085206240181e-47,3.2644795933196065e-34,7.708135836058164e-29,1.843688065421858e-26,8.524504054480682e-39,2.1606542084084114e-37,5.160074562837926e-49,2.3224527505626264e-36,1.8664276647763277e-41,2.3218902035750496e-36,3.044269276818139e-46,1.9831520762415975e-56,2.2004078289357563e-64,4.940667593456895e-62,1.8733038760089596e-66,2.0763020024894843e-34,3.582232154496261e-39,3.687270370268323e-54,1.851396201123591e-26
9.044868163179181e-19,0.5181343226011235,3.5963756713121296e-27,8.123428883890558e-31,4.552933053439106e-40,3.267579986747881e-39,0.0,0.0,5.153243068018086e-21,1.2710835835672038e-36,3.688258662903121e-51,3.3617292497868065e-61,4.06686252837304e-54,3.4911120914741594e-87,3.297799221222348e-63,1.5287414248293082e-49,9.579737448923743e-42,3.393947676092748e-36,2.2551504008169598e-104,1.03827249291691e-67,5.532341760542367e-105,9.289057500684237e-110,2.2523969571394195e-39,6.478864945611795e-91,2.574536743299114e-58,9.18984881484013e-109,7.333697958583244e-113,2.9274062386075153e-91,7.362399327719982e-94,9.639721955626853e-96,2.2532593118167436e-58,1.524387218496277e-107,5.353191292404946e-110,5.2233772737490025e-107,3.76,0.0,0.7689735729325586,0.9999999999998935,5.786320117708756e-52,3.672080655359935e-55,5.348299644999301e-18,3.410383097995944e-18,1.4789826607482502e-18,4.589338862551067e-19,1.0646113995032683e-13,1.183283029692636e-37,2.545345227025575e-58,2.3290239340915487e-34,8.040243075160776e-41,8.379801335077463e-36,1.1358258635823818e-91,1.5256637574258741e-90,2.2962993879360364e-40,1.9538565605839283e-92,2.040891380812513e-43,3.6349340113236847e-106,9.732974992864452e-91,1.012209987581148e-93,2.7457550884735968e-92,7.717797943611357e-91,3.6210660927486715e-107,4.65865222214579e-106,4.82361010282785e-103,3.845754816403581e-40,3.393947676092748e-36,1.3198462904141565e-43,3.965438122572047e-21,1.1878085418141238e-21,4.125459679932436e-33,1.6549350147953585e-46,1.3126328867700209e-33,1.5470174740134604e-28,3.700269054452163e-26,3.4276655880165134e-38,8.687895542553035e-37,4.153276933162056e-48,9.338480364823742e-36,7.504823551605714e-41,9.336218388128039e-36,1.3280407004186781e-45,1.5962133214065843e-55,1.771079651895868e-63,7.956792864744217e-61,3.016898148164443e-65,8.348719032838249e-34,1.4403997940926517e-38,2.9678359811836957e-53,3.715739228652184e-26
1.812125154643913e-18,0.5181343226011235,7.205282412612429e-27,1.627516241171924e-30,1.8259298237577645e-39,1.3104457432685177e-38,0.0,0.0,1.0324441686797571e-20,5.0976136761329035e-36,2.959595299899306e-50,5.396319955808248e-60,3.263401070929812e-53,5.6040080703796185e-86,2.6462761864581837e-62,1.2267187164604074e-48,3.841903181627642e-41,1.3611248171697923e-35,1.4535036712035222e-102,8.331482886586048e-67,1.7791350031950118e-103,1.1827651365700567e-107,9.033119205821389e-39,2.0837723800691786e-89,2.0659035980382612e-57,5.923294311409254e-107,4.724923506307373e-111,9.42671456525665e-90,2.370809894198998e-92,3.1041440678118883e-94,1.808098693680862e-57,9.82507611624667e-106,3.450272512437468e-108,3.3666038908942983e-105,3.76,0.0,0.7689735729325586,0.9999999999997867,4.643157567070879e-51,2.946613466636234e-54,1.0715234480399295e-17,6.832649064030659e-18,2.9631185711858962e-18,9.19466845182742e-19,2.13293224282448e-13,4.7454941853973364e-37,2.0424792444683985e-57,9.340427636397482e-34,3.2244970790841993e-40,3.360675132485245e-35,3.6575402619838476e-90,4.91288039333284e-89,9.209187599284967e-40,6.291729464065087e-91,8.184887246992641e-43,2.3412494397290094e-104,3.1341730297954025e-89,3.2594774453946925e-92,8.841768904393034e-91,2.4852539110758982e-89,2.3323171537822304e-105,3.00062308081521e-104,3.1068719340117716e-101,1.542319699821888e-39,1.3611248171697923e-35,5.293173952136973e-43,7.944693102709348e-21,2.3797557893402064e-21,1.6544938473418947e-32,1.3279811252031765e-45,5.264244965347986e-33,3.0994252609140036e-28,7.413431032735635e-26,1.3746472067572604e-37,3.484234687842002e-36,3.3327431778412756e-47,3.7451483000324287e-35,3.0097699056399995e-40,3.74424114620777e-35,6.159838385586725e-45,1.2808606644851697e-54,1.4211798819679304e-62,1.2772414725062085e-59,4.842789674542389e-64,3.3482097376792535e-33,5.776647408857985e-38,2.3815014676726972e-52,7.444425283178676e-26
