Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195),S(2224),S(2641),S(2826),C2FO(289),S(1665),C2FO(7367),S(3464)
0.0,0.7848561586100217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.842495216453512,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7376492286964568e-22,0.7848561586100217,1.775583728152632e-26,3.440495150501299e-27,4.180620356310841e-38,1.660664525078673e-25,0.0,0.0,1.3244383989899773e-21,2.994843333004548e-39,1.1337668079561567e-53,8.881770846786676e-54,6.549399375698623e-57,6.688607610003415e-65,5.843987651930261e-44,1.4695448410032498e-38,1.6557358461650383e-39,3.881160683380419e-38,2.9534032940648e-88,2.9771567703278724e-61,3.590985250867967e-91,2.1598476882172394e-90,9.415123672151914e-25,6.085021224781489e-92,6.3645405609648475e-58,5.6490982057376535e-95,6.585151616300545e-97,5.605084053776143e-78,1.2004859903638596e-93,4.2318014687031754e-94,2.258420170319874e-59,3.2211089594514545e-111,3.2314629171383694e-112,6.0534493926814325e-112,3.76,0.0,0.842495216453512,0.9999999999999993,4.694435851155313e-53,2.922493165321162e-55,1.2772029608775306e-17,7.938951440841078e-18,2.2693616635105455e-18,2.563716504423685e-18,5.289254442321228e-16,8.163761560633126e-36,1.9481964666125625e-55,1.1137674627036138e-34,3.5538257241570646e-43,2.1608640479642236e-37,1.340219497128272e-91,1.3456329123255738e-89,5.380935618003642e-40,1.3106284945701258e-91,1.7680806685792456e-41,7.893334307329897e-110,1.1321506806389637e-89,7.070906700739922e-93,1.2835364919251274e-91,7.124613105876156e-90,5.289226977636849e-111,4.654343546451851e-110,2.4490634265971526e-74,8.261380922189687e-43,3.881160683380418e-38,3.0004822784029736e-43,1.0141031203811976e-21,3.103530344460459e-22,6.992697852582551e-36,1.0758543469677255e-51,4.167378012789714e-36,4.22214972080064e-25,1.6974784066206826e-23,8.039888484098713e-38,8.456963428417118e-37,5.5599394490672155e-52,8.59008033342979e-37,3.398752810414195e-42,7.271211772456303e-21,2.3728839602787123e-47,1.6139839985130212e-37,9.678232346822449e-61,1.47710960531457e-68,1.131176474476311e-72,5.566485366196808e-39,3.2558432921737844e-38,1.9748021246572725e-54,1.7396999038285226e-23,6.938378401208039e-73,2.1189020908131134e-52,2.2189802436509013e-41,7.271211772456302e-21,3.7787253832770515e-58,8.713286696088914e-39,9.415123672151332e-25,1.3091330377816801e-40,1.2078462478143747e-73,3.9996625906599475e-38,1.649150566028005e-51,2.8291434857329225e-57,3.552595500767561e-72,2.033334311459146e-54,1.2260807001677127e-55,1.6606645250786466e-25,1.362122085883029e-57,3.385404346449704e-57,4.978110828687893e-62,1.3570230773914397e-65,1.3014929844746433e-51,1.1685156853399786e-57,3.250716398286565e-60,7.781663980700777e-76,2.76362715330766e-77,6.791367125100208e-108
4.8654178403500795e-22,0.7848561586100217,4.9716344406861066e-26,9.63338642140587e-27,2.5250946952118203e-37,4.649860670220286e-25,0.0,0.0,3.708427517171934e-21,1.8088853731347456e-38,1.3460080139624255e-52,1.0544438349382427e-52,7.779231003859783e-56,7.94071495459518e-64,3.5297685417654974e-43,8.87605083966002e-38,1.0000644510838545e-38,2.3442210527627883e-37,1.4108765222522006e-86,3.534480517735893e-60,1.7154567900555785e-89,1.0317851985108385e-88,2.636234628202725e-24,2.9682113325809876e-90,7.555982553978537e-57,2.6986420038626096e-93,3.148315744149767e-95,1.7623281078525157e-76,5.734879586798218e-92,2.0215838656515846e-92,2.681196426205132e-58,2.4937964334749645e-109,2.735206754119167e-110,4.7060116714568806e-110,3.76,0.0,0.842495216453512,0.9999999999999984,5.5732342427670385e-52,3.4695838858700926e-54,3.5761682904570865e-17,2.2229064034355978e-17,6.354212657829589e-18,7.178406212385295e-18,1.4809912438491823e-15,4.930911982622583e-35,2.3128988451625037e-54,6.727155474725677e-34,2.1465107373902337e-42,1.3051618849706194e-36,6.402389364126343e-90,6.428249898128872e-88,3.250085113275399e-39,6.261029593987626e-90,1.0679207238221868e-40,6.866266276596968e-108,5.408419659494295e-88,3.377856981825962e-91,6.131607846311269e-90,3.4035131760343825e-88,4.601001226070955e-109,4.048727811138291e-108,5.479080315055366e-73,4.989874078120952e-42,2.344221052762788e-37,1.8122912961591058e-42,2.8394887370673443e-21,8.68988496448905e-22,4.2235895029597885e-35,1.2772567117323615e-50,2.517096319724956e-35,1.182201921827006e-24,4.752939538538039e-23,4.856092644395054e-37,5.108005910763335e-36,6.601004251882386e-51,5.188408521391506e-36,2.0528466974901347e-41,2.035939296287765e-20,1.433222973025066e-46,9.748463351018648e-37,1.1489997442161092e-59,3.304351850975688e-67,2.5304859326397355e-71,3.362157161182565e-38,1.966529348472976e-37,2.3445008032955445e-53,4.8711597307197366e-23,1.552142334617703e-71,2.5155605622126594e-51,1.3402640671711392e-40,2.0359392962877648e-20,4.486102775044591e-57,5.262825164437225e-38,2.636234628202373e-24,7.907163548208561e-40,2.701921050157288e-72,2.4157962047584876e-37,1.9578715514591203e-50,3.3587591462625957e-56,1.1162858449691919e-70,1.232483688112628e-53,1.4556030072386298e-54,4.649860670220127e-25,1.6173040043375362e-56,5.116023048354839e-56,7.522921084315263e-61,1.611057797521325e-64,7.86101791137995e-51,1.38726182163556e-56,3.8592505080537263e-59,1.740734852179359e-74,6.18212952296204e-76,5.907686657905826e-106
1.1120955063657323e-21,0.7848561586100217,1.136373587318801e-25,2.2019168963223938e-26,1.2157243996153007e-36,1.0628252960503513e-24,0.0,0.0,8.476405753535838e-21,8.709004412377208e-38,1.3215186759246513e-51,1.035259209925413e-51,7.63935328522678e-55,7.796241030217265e-63,1.699431609180749e-42,4.273436397638033e-37,4.814879840650498e-38,1.1286415267285195e-36,7.346403743636943e-85,3.470173931502099e-59,8.932347799154824e-88,5.3724839694314415e-87,6.025679150178549e-24,1.5257656058070006e-88,7.418508477863931e-56,1.4051772986160064e-91,1.6382582646066974e-93,3.9316570630877976e-75,2.9861354117493105e-90,1.0526338827224093e-90,2.6324145505290184e-57,2.7183087838832885e-107,2.874667622739757e-108,5.1307900752989705e-108,3.76,0.0,0.842495216453512,0.9999999999999966,5.471834428498021e-51,3.406458033500409e-53,8.174098949616198e-17,5.080928922138964e-17,1.4523914646467915e-17,1.6407785628304414e-17,3.385122843080256e-15,2.3740218618323752e-34,2.270817801483819e-53,3.2388357815358846e-33,1.0334525205839167e-41,6.283792651483329e-36,3.3337108683724704e-88,3.347176394807589e-86,1.5647760777172268e-38,3.2601051291326615e-88,5.1415785842331444e-40,7.136963036532367e-106,2.8161529038787604e-86,1.7588431274132467e-89,3.192715493435758e-88,1.772202254544425e-86,4.782391820927027e-107,4.208345492158021e-106,1.0826340453778124e-71,2.402409573818298e-41,1.1286415267285192e-36,8.725402465651495e-42,6.490259970439601e-21,1.9862594204545293e-21,2.0334765355308975e-34,1.254019278862982e-49,1.2118735261192013e-34,2.7021758213321972e-24,1.0863861802373258e-22,2.3379995711750538e-36,2.4592849649827903e-35,6.481012097720225e-50,2.4979953609612535e-35,9.8835731726839e-41,4.653575534372036e-20,6.9003624717413534e-46,4.693465467675866e-36,1.1280947623496557e-58,6.528954991623126e-66,4.9998999822788495e-70,1.6187339444895716e-37,9.46799229364151e-37,2.3018516801830025e-52,1.1134079384501655e-22,3.066824569638449e-70,2.469792277049689e-50,6.4527945486266e-40,4.6535755343720334e-20,4.404482306803677e-56,2.5338237712219373e-37,6.025679150176853e-24,3.8069588738797385e-39,5.338557369958503e-71,1.1631018813637316e-36,1.922249898121328e-49,3.297649646971688e-55,2.490029368763037e-69,5.978182637592919e-53,1.4291196641140027e-53,1.0628252960502754e-24,1.5879630861538053e-55,5.50358413793651e-55,8.092815211988024e-60,1.581746099138274e-63,3.78474202658168e-50,1.362021882832084e-55,3.7890350338664934e-58,3.4394061977934296e-73,1.2214852061390695e-74,6.14059136548202e-104
2.3632029510271814e-21,0.7848561586100217,2.414793876793164e-25,4.6790734046895746e-26,5.3093878525158884e-36,2.2585037541069988e-24,0.0,0.0,1.8012362226263613e-20,3.803451032915758e-37,1.1688683134973907e-50,9.156750472706311e-51,6.757579995085222e-54,6.89568690160342e-62,7.421864317945532e-42,1.8663219480747307e-36,2.1027845246322515e-37,4.929074067908434e-36,2.9317567358863243e-83,3.0693295439536664e-58,3.564665504205344e-86,2.144017295563244e-85,1.2804568194133227e-23,6.061221356416899e-87,6.561586736739254e-55,5.607693743063398e-90,6.53635096932053e-92,7.363558554256141e-74,1.1916876235086091e-88,4.2007845849972916e-89,2.328340858801653e-56,2.2238601286154757e-105,2.3131977741581316e-106,4.1978097233111857e-106,3.76,0.0,0.8424952164535119,0.9999999999999928,4.839775585501728e-50,3.0129735537234242e-52,1.736996026793442e-16,1.0796973959547238e-16,3.0863318623745534e-17,3.4866544460126276e-17,7.193386041530221e-15,1.036797718200678e-33,2.008512629219341e-52,1.4144846776271576e-32,4.51335866966954e-41,2.7442973409180176e-35,1.3303964944983544e-86,1.3357702326113129e-84,6.833788234882746e-38,1.3010223761899624e-86,2.245462449100433e-39,5.712915889528998e-104,1.1238526972522952e-84,7.019081208514969e-88,1.2741289416243941e-86,7.07239397797917e-85,3.828155208856924e-105,3.368649060911591e-104,1.9265382147388446e-70,1.0491953788035284e-40,4.92907406790843e-36,3.810612493629277e-41,1.3791802437183965e-20,4.220801268465402e-21,8.880726272778728e-34,1.1091662738973026e-48,5.292570076242445e-34,5.742123620387809e-24,2.3085706330045725e-22,1.0210658374796562e-35,1.0740343554080356e-34,5.7324242916748426e-49,1.0909402023454484e-34,4.316416069225426e-40,9.888848010540581e-20,3.013579075313185e-45,2.049759678111537e-35,9.977870420363543e-58,1.161801791386959e-64,8.897124828732101e-69,7.06943641506519e-37,4.134920981060854e-36,2.0359644793302602e-51,2.3659918692063455e-22,5.457293369980995e-69,2.1845032995403275e-49,2.81810490952935e-39,9.88884801054057e-20,3.8957147212607064e-55,1.1065874104025491e-36,1.2804568194125817e-23,1.6625989579936044e-38,9.499691143778322e-70,5.079571490136259e-36,1.7002082641063107e-48,2.916733768054089e-54,4.663294314221973e-68,2.6497559174195855e-52,1.2640401586417892e-52,2.2585037541066664e-24,1.4045688951521422e-54,5.0587420068132046e-54,7.438691449105981e-59,1.3990365121421512e-62,1.6528965322697483e-49,1.2046929309576952e-54,3.3513585780265275e-57,6.120245623199107e-72,2.173568139605375e-73,4.915351250373738e-102
4.8654178403500795e-21,0.7848561586100217,4.971634467637819e-25,9.633386421438213e-26,2.2165649129170134e-35,4.649860670220298e-24,0.0,0.0,3.7084275171719016e-20,1.5878659351589953e-36,9.825042512038676e-50,7.696800508404588e-50,5.680414258815845e-53,5.7962403370968576e-61,3.098482253048114e-41,7.791526747004658e-36,8.778711456390908e-37,2.057791394342012e-35,1.041992240180498e-81,2.579956422687474e-57,1.2669379483873877e-84,7.620173236654315e-84,2.636234628205469e-23,2.1501303604238473e-85,5.51540901749574e-54,1.993062197957216e-88,2.3228944182267964e-90,1.2718716214824914e-72,4.235443522600827e-87,1.4930244980399661e-87,1.957110784892141e-55,1.6005657108129096e-103,1.6512753795402697e-104,3.021359257217413e-104,3.76,0.0,0.8424952164535117,0.9999999999999851,4.068122997989231e-49,2.532585817183432e-51,3.5761682904570856e-16,2.222906403436995e-16,6.35421265783046e-17,7.178406212370444e-17,1.4809912438381424e-14,4.328426379450121e-33,1.6882758868238035e-51,5.905195087196672e-32,1.8842383989391204e-40,1.1456901182337285e-34,4.728437513223741e-85,4.747536620100794e-83,2.852972064681779e-37,4.624037296082113e-85,9.374363704850001e-39,4.06731695999293e-102,3.994348508107892e-83,2.494691397031671e-86,4.528453817478567e-85,2.5136395902907734e-83,2.7254594514509757e-103,2.3983135272165766e-102,3.249427306657085e-69,4.380184180049841e-40,2.0577913943420093e-35,1.5908557040610067e-40,2.839488737067209e-20,8.689884964485634e-21,3.707528401438266e-33,9.323212532290743e-48,2.209543822380662e-33,1.1822019218679947e-23,4.752939538539878e-22,4.2627488742612134e-35,4.483882009738307e-34,4.818464866856985e-48,4.5544605927832606e-34,1.8020187400810635e-39,2.035939296287768e-19,1.2581178769230715e-44,8.557343160116034e-35,8.38700130018929e-57,1.9595558410823675e-63,1.500635741502112e-67,2.9513505411532655e-36,1.7262481135106721e-35,1.7113519056674618e-50,4.871159730717888e-22,9.20455724796271e-68,1.8362066494572812e-48,1.1765033252671133e-38,2.0359392962877633e-19,3.274582957754672e-54,4.6197846062596527e-36,2.6362346282023754e-23,6.94102336641589e-38,1.6022628451029175e-68,2.1206211055662152e-35,1.4291274878589247e-47,2.4516904784455537e-53,8.054470141729185e-67,1.1387530596177197e-51,1.0625019174684836e-51,4.6498606702189115e-24,1.1806380815936387e-53,4.327860291649771e-53,6.363957146090677e-58,1.1759744869964874e-61,6.900519781566634e-49,1.0126169966639171e-53,2.8170188193811246e-56,1.0322693646083584e-70,3.666040746105405e-72,3.499489833523636e-100
9.869847618995876e-21,0.7848561586100217,1.008531569691084e-24,1.954201245499259e-25,9.055390916592047e-35,9.432574502446922e-24,0.0,0.0,7.522810106262924e-20,6.486950453021037e-36,8.055163471799729e-49,6.310302078693405e-49,4.657250709687519e-52,4.7521080224338164e-60,1.2658311013542063e-40,3.183092907411276e-35,3.586390072247534e-36,8.406749286745197e-35,3.509716805070627e-80,2.1152041497467626e-56,4.26739593205107e-83,2.5666842071409277e-82,5.347790245794605e-23,7.235837526299329e-84,4.52186553953132e-53,6.713182470329158e-87,7.823793870489295e-89,2.113233721553485e-71,1.4266138809882976e-85,5.028917487304173e-86,1.6045576651214757e-54,1.084927688142363e-101,1.1147643297780544e-102,2.0480292714985707e-102,3.76,0.0,0.8424952164535113,0.9999999999999699,3.335293019399658e-48,2.0763668653227954e-50,7.254512817784373e-16,4.509324418404003e-16,1.288997424874381e-16,1.4561909745059857e-16,3.004296523188891e-14,1.768303409081442e-32,1.384150573351641e-50,2.4124648748655235e-31,7.69772867147728e-40,4.680517962478601e-34,1.5926679800274476e-83,1.5991010852094255e-81,1.1655321786157927e-36,1.5575031116236196e-83,3.8297334514055487e-38,2.7421565610111833e-100,1.3454065855922204e-81,8.402807686429058e-85,1.5253079635684358e-83,8.466630419744248e-82,1.83748564227258e-101,1.6169261551792784e-100,5.33722528873196e-68,1.789448166032281e-39,8.406749286745175e-35,6.4991646347501186e-40,5.760105723764595e-20,1.762805235652006e-20,1.5146463256599406e-32,7.643733586238393e-47,9.026707470819261e-33,2.3981810415987872e-23,9.641677349613737e-22,1.741472005203008e-34,1.8318121064417073e-33,3.9504753206227035e-47,1.8606457605411973e-33,7.361834537464964e-39,4.130048286755194e-19,5.139886890007358e-44,3.495953900139138e-34,6.87617038730225e-56,3.2185821925249683e-62,2.464803183352133e-66,1.2057229962560675e-35,7.052286804581216e-35,1.4030701194549032e-49,9.88149545373771e-22,1.5118540348300066e-66,1.5054331501511058e-47,4.80639996766365e-38,4.1300482867551736e-19,2.6847009509237674e-53,1.8873327515139787e-35,5.347790245781968e-23,2.8356345252389453e-37,2.6317224000393257e-67,8.663429157858771e-35,1.1716850532901892e-46,2.0100439791338393e-52,1.3382448228648226e-65,4.9180340770739984e-51,8.711032655976889e-51,9.432574502441253e-24,9.679637204982328e-53,3.578358581748681e-52,5.26184283527533e-57,9.64134934264162e-61,2.8190892320314136e-48,8.302045936064597e-53,2.3095622253143007e-55,1.695505918571981e-69,6.0214832403254084e-71,2.359331472450062e-98
1.9878707176287468e-20,0.784856158610022,2.0312678345791725e-24,3.9359264522329745e-25,3.6603337917342446e-34,1.8998002166900253e-23,0.0,0.0,1.5151575284444733e-19,2.6221290905253555e-35,6.523280230222143e-48,5.110246230256804e-48,3.7716038252983853e-51,3.84838028327276e-59,5.116691700635252e-40,1.2866570464544931e-34,1.4496762086547347e-35,3.398142474107577e-34,1.1519241925983282e-78,1.7129471608779396e-55,1.4006020733369114e-81,8.424114559406304e-81,1.0770901480992256e-22,2.3738656305778868e-82,3.661923951211509e-52,2.2033337578064403e-85,2.5677914449474247e-87,3.445104318820913e-70,4.68228937386296e-84,1.6505410395756503e-84,1.2994123982043672e-53,7.143690158145586e-100,7.325353632423283e-101,1.3485317086409392e-100,3.76,0.0,0.8424952164535106,0.9999999999999395,2.7010067604263926e-47,1.681495720993899e-49,1.4611201872438937e-15,9.082160448347882e-16,2.5961497430576664e-16,2.9328916810333796e-16,6.050907081812423e-14,7.147765106906189e-32,1.1209210208283538e-49,9.75156874394907e-31,3.1115450050718176e-39,1.8919401954884912e-33,5.2272957833979716e-82,5.248409878607902e-80,4.711267418584704e-36,5.1118811643152645e-82,1.548039493242918e-37,1.8007293633040563e-98,4.4157591286044845e-80,2.757885619511318e-83,5.0062134646933145e-82,2.778832879579459e-80,1.2066467676313472e-99,1.0618089598976907e-98,8.651897114408059e-67,7.233235648533947e-39,3.3981424741075588e-34,2.6270662582515722e-39,1.1601339697158412e-19,3.550438714056477e-20,6.122442619425953e-32,6.190093901581505e-46,3.6487394843389044e-32,4.830139281349836e-23,1.9419152971774442e-21,7.03930828242047e-34,7.404477415764899e-33,3.1992000117021166e-46,7.52102765576532e-33,2.975771225648742e-38,8.318266267690066e-19,2.0776768887339122e-43,1.413120461930073e-33,5.5685010566069744e-55,5.2174651000389264e-61,3.9955557504242015e-65,4.873725129373054e-35,2.8506470827770856e-34,1.1362427319880278e-48,1.9902166899764286e-21,2.450782733242569e-65,1.2191387959712597e-46,1.9428237149487945e-37,8.318266267689983e-19,2.1741404359340734e-52,7.628900740140652e-35,1.077090148094117e-22,1.1462088130313157e-36,4.2661361110477606e-66,3.5018965819153704e-34,9.488609252284149e-46,1.6277857282193036e-51,2.1816625959242352e-64,2.2028831104259214e-50,7.054420093502602e-50,1.8998002166877343e-23,7.838842273043989e-52,2.9098617708035374e-51,4.278843207208794e-56,7.807814673636412e-60,1.1395223499729462e-47,6.723212044090856e-52,1.8703433696290956e-54,2.7484884681747983e-68,9.761084061225226e-70,1.5493343816801359e-96
3.9896426290870654e-20,0.784856158610022,4.076740440489288e-24,7.89937686579177e-25,1.4718041189263355e-33,3.812885749580727e-23,0.0,0.0,3.0409105640807425e-19,1.0543465747574937e-34,5.250503444473315e-47,4.1131707495796685e-47,3.0357314459411563e-50,3.09751125347214e-58,2.0573992287826573e-39,5.1735913945762406e-34,5.82908427599273e-35,1.3663781433040037e-33,3.732878840954492e-77,1.3787288981772914e-54,4.538734309463776e-80,2.729884418665806e-79,2.161712395146506e-22,7.6910495258170015e-81,2.947434976147562e-51,7.14003441102732e-84,8.32099169547138e-86,5.563852677354812e-69,1.5173236801048476e-82,5.348676340226333e-83,1.045880144434391e-52,4.637042886157236e-98,4.750185306988738e-99,8.753490054581746e-99,3.76,0.0,0.8424952164535091,0.9999999999998785,2.174005223073803e-46,1.353414043092195e-48,2.9324579981748045e-15,1.8227832508275094e-15,5.210454379426695e-16,5.886293094046216e-16,1.2144128198747622e-13,2.874084912480905e-31,9.022147554894032e-49,3.9210629028195674e-30,1.251138561441725e-38,7.607408315594377e-33,1.6939362847362145e-80,1.7007784327610116e-78,1.8943799081521469e-35,1.6565354911020352e-80,6.224598717200667e-37,1.1673091685934825e-96,1.4309530055621761e-78,8.937092358212354e-82,1.6222932446311292e-80,9.004973199788025e-79,7.821996263334653e-98,6.883096146705716e-97,1.3933633510863591e-65,2.9084522842005105e-38,1.366378143303989e-33,1.056331788333209e-38,2.3283807643942235e-19,7.125705670855761e-20,2.4618072497874236e-31,4.982326204347494e-45,1.4671420989121527e-31,9.694055762009783e-23,3.8974104216147815e-21,2.8304749003361247e-33,2.9773078027802224e-32,2.574995561661207e-45,3.0241721416984254e-32,1.196544521914488e-37,1.6694702229559898e-18,8.3546690158336e-43,5.682095226124988e-33,4.4820140993438576e-54,8.402570430689062e-60,6.434722218301024e-64,1.9597034390868576e-34,1.1462326543836897e-33,9.145470703862912e-48,3.99435097917652e-21,3.946911791633446e-64,9.812689656576961e-46,7.81200871169296e-37,1.6694702229559565e-18,1.7499373692712923e-51,3.0675474344670856e-34,2.1617123951259647e-22,4.608855225380283e-36,6.870481242447261e-65,1.4080972136826536e-33,7.637258073116365e-45,1.3101835682404852e-50,3.5233794248958655e-63,1.0586201045797433e-49,5.6780110117988774e-49,3.8128857495715145e-23,6.309390654792578e-51,2.3469089351365067e-50,3.45104205841432e-55,6.284408525302047e-59,4.581980582601624e-47,5.411425959295922e-51,1.5054150602747912e-53,4.426356194942082e-67,1.5719925160530211e-68,1.0043442737839564e-94
7.993186452003701e-20,0.7848561586100226,8.167685956845271e-24,1.5826277693274808e-24,5.902592797398875e-33,7.639056815362271e-23,0.0,0.0,6.092416635352903e-19,4.228401332808399e-34,4.2131983501239455e-46,3.300560491453736e-46,2.4359899342057164e-49,2.4855577064284098e-57,8.251091101592784e-39,2.0748415437681373e-33,2.337723506893976e-34,5.4797874825223595e-33,1.202046464004283e-75,1.1063431115828653e-53,1.4615447663149036e-78,8.79066279755895e-78,4.330956889272067e-22,2.476384805717667e-79,2.3651309454336537e-50,2.2992050661938458e-82,2.679477678033059e-84,8.943730680667112e-68,4.886023957776093e-81,1.7223589971962368e-81,8.392529487352295e-52,2.9886999904502377e-96,3.060087973166189e-97,5.641872116161736e-97,3.76,0.0,0.8424952164535061,0.9999999999997566,1.7445022774570184e-45,1.0860295345659174e-47,5.875133620036617e-15,3.651917662828731e-15,1.0439063652174585e-15,1.1793095919904082e-15,2.433057043137056e-13,1.1526365964999464e-30,7.239705217826503e-48,1.5725215977230428e-29,5.017625216574846e-38,3.050910984276856e-32,5.454744744201551e-79,5.47677755046472e-77,7.597310714182449e-35,5.3343082295938765e-79,2.4963424876768286e-36,7.518601244569063e-95,4.607896681726102e-77,2.8778861405607755e-80,5.22404273979296e-79,2.89974485289593e-77,5.038122925986647e-96,4.433380345786399e-95,2.2366583561333617e-64,1.1664194840425483e-37,5.479787482522239e-33,4.2363629283382276e-38,4.664874353749462e-19,1.4276239584415687e-19,9.872948141828482e-31,3.9980030455507653e-44,5.88389601196944e-31,1.942188872796108e-22,7.808400670510234e-21,1.1351470311007498e-32,1.1940335922417025e-31,2.0662721976076579e-44,1.2128282882232218e-31,4.7986787004821955e-37,3.3447574153299883e-18,3.35093412939107e-42,2.2787743235965066e-32,3.5965340478860806e-53,1.3487989415070327e-58,1.032915652227799e-62,7.859287289426196e-34,4.596905609166372e-33,7.338664553426131e-47,8.002619557555803e-21,6.335668936518567e-63,7.874065467502904e-45,3.132964895923303e-36,3.3447574153298558e-18,1.4042145324180302e-50,1.2302237206183262e-33,4.330956889189689e-22,1.8483570816873306e-35,1.1028644418455499e-63,5.647099613700356e-33,6.128418395710608e-44,1.0513398010528976e-49,5.663720275795305e-62,5.631958731108159e-49,4.5562462481172394e-48,7.639056815325326e-23,5.062892018580507e-50,1.8851648870870173e-49,2.7720646571329856e-54,5.0428420816813914e-58,1.8375882365092427e-46,4.342328532604654e-50,1.208000778465163e-52,7.105282182473149e-66,2.5233961482633285e-67,6.4689495300439496e-93
