Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195),S(2224),S(2641),S(2826),C2FO(289),S(1665),C2FO(7367),S(3464),S(6251),S(5206),CFO3(444)
0.0,0.8167041100777571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7217801505207544,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2083719671646812e-22,0.8167041100777571,2.813739093792081e-26,1.794701170521828e-26,3.1709293888435927e-38,6.76651991384409e-25,0.0,0.0,1.868377766032483e-21,4.0320179770128535e-39,1.5116686158089948e-53,9.581039173728966e-54,1.6994671768241484e-56,5.84369146157574e-64,3.629454414650356e-43,2.330083771987285e-38,7.492901742360575e-39,6.427827977545956e-38,7.681231219189411e-88,8.720029249373689e-60,7.339611710753323e-91,4.490115579709912e-90,2.2233825068866407e-24,9.963565000968814e-92,3.1861768374720897e-57,3.847459778844153e-94,1.2372711903870799e-95,3.9677512176817535e-77,1.1896981902144448e-92,6.883401219430947e-93,7.546598942792766e-59,2.0076924587610556e-110,3.6640754257882816e-111,3.31715093160906e-111,3.76,0.0,0.7217801505207544,0.9999999999999993,2.546551615022617e-53,1.1532388424868118e-54,2.138013778975993e-17,1.3130279859426279e-17,3.598777981745075e-18,4.651079948588582e-18,5.355706316567482e-16,3.7829698635483857e-35,2.0762559840241812e-54,2.84553102867494e-34,4.815941245420847e-43,3.402003988699112e-37,1.8455802219674439e-90,2.3919808486319287e-88,1.6938888015460678e-39,2.2787826467844304e-90,8.617356429264384e-41,6.207486992243127e-109,2.1657453883505456e-88,1.1600674964575781e-91,2.0489703330064857e-90,1.4375560009778824e-88,4.112472453869347e-110,3.4084194547548295e-109,9.244379380835287e-74,1.0254582039404816e-42,6.427827977545956e-38,9.173370833587773e-43,1.4296262964524968e-21,4.387796069708966e-22,9.614722133121107e-36,1.2586098687273683e-51,8.221917464491246e-36,1.5574393096753544e-24,5.1923405628964707e-23,2.2456436150605597e-37,2.106090416718307e-36,8.498307805750875e-52,1.9495629592942425e-36,6.560305804612628e-42,1.0299024439853258e-20,5.094374370566098e-47,2.1058590524346157e-37,1.0007924168554764e-59,1.3604792682606773e-68,1.1263513227430959e-72,4.0190624698764935e-39,8.691581110434937e-38,6.927016149709301e-54,5.348084493863723e-23,6.160815974217118e-73,2.2886509145647324e-52,8.184414849699545e-41,1.0299024439853258e-20,7.512628807098837e-58,6.452645759122576e-39,2.2233825068863777e-24,4.039236154434905e-40,2.4479340342469797e-73,2.896017757505117e-38,1.2047178279688134e-51,9.080023915965716e-57,1.393041422066184e-71,1.239493512163133e-53,2.898066835640802e-55,6.766519913843989e-25,7.768030707756957e-57,7.794078767888693e-57,2.861783929051649e-61,1.0891313129097757e-64,7.429858356089813e-51,1.2133336054375943e-57,3.121523890640632e-59,5.819229856253659e-75,3.814624279562613e-76,2.244659933908377e-107,5.450826753266441e-88,6.906864004462478e-73,4.4805688771150595e-72
3.383441508061107e-22,0.8167041100777571,7.878469466840826e-26,5.025163277461822e-26,1.91524135086168e-37,1.8946255758763457e-24,0.0,0.0,5.231457744890949e-21,2.435338858115763e-38,1.7946534125776798e-52,1.1374609707108989e-52,2.0199391633819868e-55,6.937630503182106e-63,2.1921904664486223e-42,1.4073705982804655e-37,4.525712652386313e-38,3.882408098439005e-37,3.669417371794676e-86,1.0352418724861222e-58,3.506221921048366e-89,2.1449827134315396e-88,6.225471019283447e-24,4.811586347774149e-90,3.7826291414472138e-56,1.837977706253634e-92,5.915710549016829e-94,1.2475244668588852e-75,5.683339666687562e-91,3.2882851878529034e-91,8.959322264886635e-58,1.5666597127959084e-108,3.1500390281446773e-109,2.6055285393544933e-109,3.76,0.0,0.7217801505207544,0.9999999999999984,3.0232660777663643e-52,1.3691251538006538e-53,5.986438581132781e-17,3.6764783606394966e-17,1.0076578348886335e-17,1.3023023856046516e-17,1.4995977686383728e-15,2.2849137975832962e-34,2.464931104233573e-53,1.718700741318935e-33,2.9088285122336326e-42,2.0548104091745634e-36,8.816558189970255e-89,1.1426779551616811e-86,1.0231088361340927e-38,1.0886018157614745e-88,5.204883283276833e-40,5.399778716793004e-107,1.0346025609597782e-86,5.541781638679968e-90,9.788177157218676e-89,6.867377523391514e-87,3.5773641181286136e-108,2.964921368773995e-107,2.068229460079201e-72,6.19376755356725e-42,3.882408098439005e-37,5.540715983495143e-42,4.00295363006698e-21,1.2285828995184754e-21,5.807292168405052e-35,1.4942293703011443e-50,4.966038148552649e-35,4.3608300670984046e-24,1.4538553576110077e-22,1.35636874349645e-36,1.2720786116977356e-35,1.0090012776528555e-50,1.1775360274136988e-35,3.962424705985945e-41,2.8837268431589133e-20,3.077002927789564e-46,1.2719388676705079e-36,1.1881407572925856e-58,3.0435744983386774e-67,2.519798898849372e-71,2.427513731805203e-38,5.249714990702714e-37,8.223854645548924e-53,1.4974636582818194e-22,1.3782571205257782e-71,2.717086365770936e-51,4.943386569229922e-40,2.883726843158913e-20,8.918992919806033e-57,3.897398038509685e-38,6.225471019281858e-24,2.4396986372802887e-39,5.475994809628654e-72,1.7491947255330024e-37,1.4302410051362822e-50,1.0779804393035466e-55,4.376509356698098e-70,7.497460401439765e-53,3.4405849472720286e-54,1.894625575876284e-24,9.223601223822062e-56,1.177841183403354e-55,4.3247278735835e-60,1.2930166947037203e-63,4.487634480864689e-50,1.440469656375552e-56,3.7058731629740494e-58,1.3017438831819516e-73,8.533169542892091e-75,1.952588923678427e-105,2.603925349956162e-86,2.1714614316803157e-71,1.0031425230615737e-70
7.73358058985396e-22,0.8167041100777571,1.80079302298303e-25,1.1486087491344621e-25,9.221062662759421e-37,4.330572744860219e-24,0.0,0.0,1.1957617702607868e-20,1.1725108277153355e-37,1.7620015518700544e-51,1.1167659261078156e-51,1.9842099995210805e-54,6.8114067676107775e-62,1.0554453437800342e-41,6.775883608941205e-37,2.1789358266792434e-37,1.8692123758722015e-36,1.9106576814615002e-84,1.0164066093084333e-57,1.8256820557557016e-87,1.1168877893862183e-86,1.4229648044080468e-23,2.488655234230447e-88,3.713807721758549e-55,9.570311815605189e-91,3.0781302663999114e-92,2.7831584593388033e-74,2.9593003927376803e-89,1.712202507077855e-89,8.796315727728554e-57,1.708382039911313e-106,3.291061030049662e-107,2.8421930977683694e-107,3.76,0.0,0.7217801505207543,0.9999999999999966,2.9682605630550807e-51,1.3442151948033131e-52,1.3683288185446356e-16,8.403379110033788e-17,2.3032179083169355e-17,2.9766911670956347e-17,3.4276520425995318e-15,1.1000876363199767e-33,2.4200839749787847e-52,8.274804231375798e-33,1.4004757141675362e-41,9.893027599141438e-36,4.5907635708970165e-87,5.949900422348978e-85,4.925828634899911e-38,5.668327085615893e-87,2.5059272496317533e-39,5.612660440879806e-105,5.387154085376087e-85,2.885594209955167e-88,5.096683552769455e-87,3.57582923887547e-85,3.718398682894027e-106,3.081810894413876e-105,4.0867609513732955e-71,2.982032459658488e-41,1.8692123758722012e-36,2.667616238419515e-41,9.149608297295894e-21,2.8081894846134914e-21,2.795961196311474e-34,1.4670466454787607e-49,2.3909335986739563e-34,9.967611581974153e-24,3.3230979602537097e-22,6.530331632594185e-36,6.124510931815005e-35,9.906794462730085e-50,5.669329085627299e-35,1.9077369279812284e-40,6.591375641506089e-20,1.4814452789120817e-45,6.123838124479861e-36,1.1665236410920204e-57,6.013818632262602e-66,4.978887021074751e-70,1.168743366239786e-37,2.5275117869144965e-36,8.074273547215749e-52,3.422774076072623e-22,2.7233072021026572e-70,2.667651506015678e-50,2.3800278383096853e-39,6.591375641506084e-20,8.756720137610995e-56,1.8764293867523188e-37,1.4229648044072818e-23,1.1746098737120347e-38,1.0819704948463113e-70,8.42161963882356e-37,1.40421909957274e-49,1.0583675876452485e-54,9.762085090307104e-69,3.6208265153319496e-52,3.3779867036206493e-53,4.3305727448599224e-24,9.056397730919339e-55,1.2670677971381765e-54,4.6523448977827285e-59,1.2694914583810425e-62,2.160602860630484e-49,1.4142616504981846e-55,3.6384482469471415e-57,2.572031796855714e-72,1.6860112382145477e-73,2.0295677485724293e-103,1.355858531223065e-84,4.844329939202948e-70,1.9827994192801073e-69
1.6433858753439664e-21,0.8167041100777572,3.826685182337723e-25,2.4407935919121474e-25,4.0270803238336855e-36,9.202467082827967e-24,0.0,0.0,2.540993761804165e-20,5.120662830806298e-37,1.5584704937571663e-50,9.877668146924925e-51,1.7554170563764186e-53,6.024612149222128e-61,4.609407106602966e-41,2.9592063904261027e-36,9.515985212806075e-37,8.163341531502185e-36,7.624932769407603e-83,8.99000135496409e-57,7.285817224042915e-86,4.457205601578824e-85,3.0238002093688154e-23,9.908131862187655e-87,3.284820872362494e-54,3.8192602193674014e-89,1.2280935564864754e-90,5.2125477762337565e-73,1.1809787115343796e-87,6.832949640308564e-88,7.780241646080981e-56,1.3978099940145932e-104,2.6409257434033485e-105,2.3257539562396905e-105,3.76,0.0,0.7217801505207542,0.9999999999999927,2.625392853613298e-50,1.1889431170513863e-51,2.9076987394073504e-16,1.7857180608824588e-16,4.894338055173738e-17,6.325468730075183e-17,7.283760590513488e-15,4.8043717267075435e-33,2.1405368692899857e-51,3.613824406405882e-32,6.116245381675696e-41,4.320545065652407e-35,1.832053229249798e-85,2.3744490680277042e-83,2.151238777967552e-37,2.2620805409118876e-85,1.0944042665182811e-38,4.492759294268021e-103,2.1498717775675078e-83,1.1515648996092787e-86,2.0339526131369652e-85,1.4270195803245859e-83,2.9764619503234464e-104,2.4668933182217844e-103,7.272406523997871e-70,1.3023319216670422e-40,8.163341531502183e-36,1.1650180958782436e-40,1.9442917631753518e-20,5.967402654802957e-21,1.2210697109062309e-33,1.2975874900947096e-48,1.0441835179902861e-33,2.1181174611844234e-23,7.061583165539038e-22,2.851967391124923e-35,2.6747348292303546e-34,8.762590517256116e-49,2.4759449583033165e-34,8.331588371856753e-40,1.400667323820045e-19,6.469867974117365e-45,2.67444099659196e-35,1.0317769500922474e-56,1.0701454213369369e-64,8.859816823159806e-69,5.104209336740061e-37,1.1038308010252533e-35,7.141621103550379e-51,7.273394911653867e-22,4.846063560324203e-69,2.35950754687761e-49,1.0394206859294501e-38,1.4006673238200426e-19,7.745219795085325e-55,8.194860114080226e-37,3.023800209365474e-23,5.129829916156545e-38,1.9253137165256797e-69,3.677942552030134e-36,1.2420158904365383e-48,9.361141456409874e-54,1.828206524875465e-67,1.5910821218075544e-51,2.987790984867471e-52,9.202467082826675e-24,8.010524028111115e-54,1.164653602128173e-53,4.27630648950764e-58,1.1228508184695992e-61,9.435920635922458e-49,1.250898413862203e-54,3.218166270328863e-56,4.576797416780798e-71,3.0001675098927977e-72,1.624605459387259e-101,5.4108754723783244e-83,9.072833540991025e-69,3.5289056453160947e-68
3.3834415080611073e-21,0.8167041100777572,7.878469528074292e-25,5.025163277472016e-25,1.6812267619669645e-35,1.894625575876347e-23,0.0,0.0,5.231457744890899e-20,2.1377759314121913e-36,1.3099883846957508e-49,8.3027752520112855e-50,1.4756946948539845e-52,5.064049521530899e-60,1.924336730644931e-40,1.2354104159096836e-35,3.9727365038069074e-36,3.4080343937117363e-35,2.710020460680164e-81,7.5566378270930095e-56,2.5894934651485843e-84,1.584160625183573e-83,6.225471019295806e-23,3.518018033704871e-85,2.761089868528028e-53,1.3574249031719696e-87,4.364373798175505e-89,9.00338001438144e-72,4.197382728763177e-86,2.4285371573322153e-86,6.53976189827607e-55,1.0060948034064323e-102,1.8825985896912523e-103,1.6740790126287947e-103,3.76,0.0,0.7217801505207538,0.999999999999985,2.2068008852781133e-49,9.993783290795195e-51,5.986438581132779e-16,3.676478360641504e-16,1.0076578348888142e-16,1.3023023856024602e-16,1.4995977686307957e-14,2.005730621654338e-32,1.7992502156603652e-50,1.5087005513932904e-31,2.5534120483142158e-40,1.8037425148123364e-34,6.511404119911704e-84,8.439163882989309e-82,8.980998425833525e-37,8.039788538085223e-84,4.5689223788112215e-38,3.198625085349035e-101,7.64098101854937e-82,4.0928420156895286e-85,7.228986152504298e-84,5.0718510936919825e-82,2.1190954681316013e-102,1.7563075014080867e-101,1.2266163563222224e-68,5.436979421155012e-40,3.4080343937117336e-35,4.8637212160816014e-40,4.002953630066793e-20,1.228582899517962e-20,5.09772567497946e-33,1.0907010045831199e-47,4.359260639672336e-33,4.3608300672058735e-23,1.4538553576109399e-21,1.1906402447033191e-34,1.1166491389423405e-33,7.365542015196027e-48,1.0336582810174714e-33,3.478274137604457e-39,2.88372684315892e-19,2.701048562422721e-44,1.1165264696008317e-34,8.672706957879841e-56,1.8049714900243647e-63,1.4943498756133654e-67,2.1309069215257378e-36,4.6082763047527493e-35,6.002969826388718e-50,1.4974636582814894e-21,8.173661626550723e-68,1.9833082641434504e-48,4.3393767534690955e-38,2.8837268431589097e-19,6.510323922386203e-54,3.421192781481887e-36,6.225471019281858e-23,2.141603009103091e-37,3.2473270168082555e-68,1.5354686150279846e-35,1.0439891915361531e-47,7.868603445203761e-53,3.1576695419490596e-66,6.724122853735355e-51,2.511418350688291e-51,1.894625575875807e-23,6.733424380862312e-53,9.963856767925566e-53,3.6584702335004164e-57,9.438237698700365e-61,3.939311371718181e-48,1.051455489135005e-53,2.7050626593082142e-55,7.719441207983974e-70,5.060221495106642e-71,1.1566396726642028e-99,1.923109890064911e-81,1.567101378771999e-67,5.952519645321627e-67
6.863552773495389e-21,0.8167041100777573,1.5982038327656169e-24,1.0193902648609744e-24,6.86835989342848e-35,3.843383311063448e-23,0.0,0.0,1.0612385711064283e-19,8.733512218928721e-36,1.0740076357989507e-48,6.807116784753195e-49,1.209927692562283e-51,4.151813754729764e-59,7.861543440286503e-40,5.047054653492483e-35,1.622992489008476e-35,1.392293251262619e-34,9.128095167531015e-80,6.1953882435253396e-55,8.722127022324855e-83,5.33588919068878e-82,1.262881263917161e-22,1.1844245406318076e-83,2.263708292246343e-52,4.5721809381714655e-86,1.4699690552943976e-87,1.4959250550904727e-70,1.4137940126948608e-84,8.17998173001866e-85,5.361691920008874e-54,6.819900256139048e-101,1.270045649461059e-101,1.134815690761238e-101,3.76,0.0,0.7217801505207532,0.9999999999999696,1.8092686950582082e-48,8.193507340763355e-50,1.214391826458363e-15,7.457998960163135e-16,2.044105893632013e-16,2.6418134107884755e-16,3.042041187776311e-14,8.194064043248664e-32,1.4751340329183335e-49,6.1635340292650205e-31,1.0431521375164264e-39,7.368876719716197e-34,2.1932202377136685e-82,2.842542818187178e-80,3.6690308997314984e-36,2.7080222028902396e-82,1.8665538720172514e-37,2.1564905932520748e-99,2.573692846749568e-80,1.3785819115581028e-83,2.4349216291721896e-82,1.7083391318356992e-80,1.428679298539399e-100,1.1840901964385817e-99,2.014735992096103e-67,2.2211835082251045e-39,1.3922932512626166e-34,1.9869888161344267e-39,8.120277363849347e-20,2.492268167592388e-20,2.082587272921419e-32,8.942227932957568e-47,1.7809002104778783e-32,8.846255279438509e-23,2.949249439724893e-21,4.864153895950622e-34,4.561876086214075e-33,6.03873891446665e-47,4.222831352346855e-33,1.4209884785013314e-38,5.849845881836679e-19,1.1034714090678925e-43,4.561374941935461e-34,7.110409147126403e-55,2.9646829360516117e-62,2.454483963431396e-66,8.705450072227746e-36,1.8826312348447713e-34,4.921600123042496e-49,3.037711992513112e-21,1.3425317398699864e-66,1.6260359413797346e-47,1.7727769942383974e-37,5.849845881836639e-19,5.337556888965517e-53,1.3976688820048336e-35,1.2628812639114625e-22,8.749147080135568e-37,5.333747591902729e-67,6.272890303455982e-35,8.5592541201836615e-47,6.451156505383394e-52,5.246430432897065e-65,2.8137637806601264e-50,2.0590124973923395e-50,3.843383311061244e-23,5.520506431509824e-52,8.238309457820176e-52,3.024893936942703e-56,7.738037501488257e-60,1.60933743841279e-47,8.620467362582057e-53,2.217773801156555e-54,1.2679208085927198e-68,8.311429381175286e-70,7.797983436957808e-98,6.477563752014397e-80,2.6037582570170873e-66,9.777439305896863e-66
1.3823775304363953e-20,0.8167041100777573,3.218917635925487e-24,2.053138139095718e-24,2.7763008845577914e-34,7.740898781437656e-23,0.0,0.0,2.1374241643410694e-19,3.5302252757374845e-35,8.697592337325836e-48,5.512579659689722e-48,9.798563559305367e-51,3.362246421610525e-58,3.177761553819575e-39,2.0401001864100276e-34,6.560395134771367e-35,5.627871930201545e-34,2.9959322158466457e-78,5.017186025970349e-54,2.8626894009300405e-81,1.75129224646782e-80,2.5435495879010504e-22,3.8865467122260084e-82,1.833209665667792e-51,1.5006355759427148e-84,4.824471353039145e-86,2.438735391810285e-69,4.6402133697118645e-83,2.6847518686908196e-83,4.342037128123202e-53,4.490613015635992e-99,8.342847885136763e-100,7.472363065112616e-100,3.76,0.0,0.721780150520752,0.9999999999999387,1.4651926977249858e-47,6.635314675597908e-49,2.4458877631485316e-15,1.5021040159220569e-15,4.1170020111196865e-16,5.32083546114503e-16,6.12692802601383e-14,3.312171698096905e-31,1.1946017852908472e-48,2.4913990010235058e-30,4.2165877254905066e-39,2.9786177883257825e-33,7.1983684260344005e-81,9.329510151251724e-79,1.483080952441249e-35,8.888000022608575e-81,7.544909187035277e-37,1.4161321013418805e-97,8.447117625232449e-79,4.5246438703132004e-82,7.991656594249921e-81,5.60694008556667e-79,9.3819032807905e-99,7.775726651939235e-98,3.265985809584694e-66,8.978378961114563e-39,5.627871930201528e-34,8.031726487395626e-39,1.6354924831413144e-19,5.019638703737613e-20,8.418150734200492e-32,7.24164887015511e-46,7.198683392193935e-32,1.7817105704662732e-22,5.94003760395232e-21,1.9661687758665795e-33,1.843983252164997e-32,4.890336338562523e-46,1.7069359498818137e-32,5.743862626608896e-38,1.1782083959192242e-18,4.460447789496446e-43,1.8437806816410128e-33,5.758193677428404e-54,4.805888263752839e-61,3.978832113865737e-65,3.5188821073560666e-35,7.609896458080095e-34,3.985640487831998e-48,6.118208660974025e-21,2.17630609123056e-65,1.3168060631527032e-46,7.165848053927512e-37,1.1782083959192082e-18,4.322491954498482e-52,5.649601089074092e-35,2.5435495878780154e-22,3.536545136693871e-36,8.646237263757977e-66,2.5356025555395353e-34,6.931505861735314e-46,5.224313795601616e-51,8.55293663014687e-64,1.191325322569314e-49,1.667441703879943e-49,7.740898781428746e-23,4.4706645185826165e-51,6.69925643272102e-51,2.4597935133659723e-55,6.266463393775182e-59,6.50520090646803e-47,6.981077970935013e-52,1.796010723932189e-53,2.0553544867769454e-67,1.3473185495334155e-68,5.120808150497084e-96,2.1260012828253088e-78,4.244779752156273e-65,1.5849978722682613e-64
2.774422036610108e-20,0.8167041100777578,6.460345415219212e-24,4.120633887593994e-24,1.1163383750717526e-33,1.553592972218609e-22,0.0,0.0,4.2897953508102115e-19,1.4194880568791482e-34,7.000579005467198e-47,4.437003695280757e-47,7.886838444705398e-50,2.70622842892334e-57,1.277763944480137e-38,8.203153122746516e-34,2.6379060300464163e-34,2.26294255090193e-33,9.708496482326074e-77,4.0382677991431633e-53,9.276715209341586e-80,5.675166649745014e-79,5.104886235903744e-22,1.2593229634377004e-80,1.4755266245753354e-50,4.862898896493537e-83,1.5633804471589033e-84,3.938564172042361e-68,1.50368871459652e-81,8.700098024390498e-82,3.494849229486215e-52,2.914922405794433e-97,5.409052035252503e-98,4.8504476276533604e-98,3.76,0.0,0.7217801505207495,0.999999999999877,1.179314552020676e-46,5.340678510291057e-48,4.908879636528861e-15,3.0147122557392112e-15,8.262794246100132e-16,1.0678879561796236e-15,1.2296701702274818e-13,1.3318096723472129e-30,9.61519444810294e-48,1.0017805807117168e-29,1.6954713791705864e-38,1.1976891122603829e-32,2.3326740962927644e-79,3.0232832458735822e-77,5.963403281599243e-35,2.8802092632290867e-79,3.0337748004339186e-36,9.179969069859144e-96,2.737338700353098e-77,1.4662377536780774e-80,2.589743844812236e-79,1.8169622784555895e-77,6.08174773047746e-97,5.04055589819779e-96,5.2597790138900296e-65,3.6101667596152195e-38,2.2629425509019158e-33,3.2295218960882944e-38,3.282421976653547e-19,1.0074379776013552e-19,3.384901385846168e-31,5.828709358292195e-45,2.8945589310387706e-31,3.5758806558146963e-22,1.192161393240526e-20,7.905878172464215e-33,7.414575555577084e-32,3.9361717302150187e-45,6.863514380694756e-32,2.309581899730538e-37,2.3646560113903546e-18,1.7935585453331735e-42,7.413761028458078e-33,4.634695223572003e-53,7.73974246215296e-60,6.407792726593049e-64,1.4149270187541973e-34,3.0599058962538782e-33,3.2079906497485603e-47,1.2279201997886522e-20,3.50487729639194e-64,1.0598800791551623e-45,2.8813559863905444e-36,2.3646560113902888e-18,3.4791175737752806e-51,2.2716797500544278e-34,5.104886235811119e-22,1.4220292452355986e-35,1.3924500619992295e-64,1.0195546355937673e-33,5.579078883028582e-45,4.2049822477523018e-50,1.381295964400172e-62,5.224188240541253e-49,1.3421021474124199e-48,1.5535929722150264e-22,3.598385847782287e-50,5.403193010224961e-50,1.983912580687625e-54,5.043794913972438e-58,2.6157140161752943e-46,5.618978891076617e-51,1.4455856801621412e-52,3.3100852121224483e-66,2.1698150129914495e-67,3.3195250820465435e-94,6.88943358741024e-77,6.855327921017571e-64,2.5526165538437923e-63
5.558511048957534e-20,0.8167041100777587,1.2943201665702585e-23,8.255625384705702e-24,4.477016178627065e-33,3.112599160368304e-22,0.0,0.0,8.594537723747935e-19,5.692781989635496e-34,5.617523778469577e-46,3.560416035251639e-46,6.328731964495046e-49,2.1715778818709354e-56,5.124404911196078e-38,3.289831297258365e-33,1.0579183012961974e-33,9.075411755294035e-33,3.1262905552766974e-75,3.240455587786726e-52,2.987250104335162e-78,1.827494084156017e-77,1.0227559532048792e-21,4.055004320154823e-79,1.1840171908158803e-49,1.5659309749232817e-81,5.0343051242139985e-83,6.331126876615583e-67,4.842117218336221e-80,2.8015701783419637e-80,2.804396408874242e-51,1.878752766478877e-95,3.4842314679903707e-96,3.1262643039356564e-96,3.76,0.0,0.7217801505207446,0.9999999999997536,9.463256573706393e-46,4.2855581603876205e-47,9.834863383289488e-15,6.039928735396191e-15,1.655437871608142e-15,2.139496776285104e-15,2.4636249053940604e-13,5.341152452569482e-30,7.715588000835314e-47,4.0175881857375287e-29,6.799598548401272e-38,4.8032690198048123e-32,7.511582272011115e-78,9.735453772667137e-76,2.391591435734571e-34,9.274732752500184e-78,1.216679383902968e-35,5.912788893500357e-94,8.814666774586492e-76,4.7215191930969513e-79,8.339387823163246e-78,5.850908045976327e-76,3.9172343784671894e-95,3.246606029400411e-94,8.443117822916775e-64,1.447838393558838e-37,9.075411755293926e-33,1.2951827244875942e-37,6.576280963675907e-19,2.0183861920507396e-19,1.3574968491359264e-30,4.677172315985135e-44,1.1608475936568258e-30,7.164220827725859e-22,2.3884766589303506e-20,3.1706107461608863e-32,2.9735764227444372e-31,3.158531359143194e-44,2.7525762448344804e-31,9.262456403644925e-37,4.7375512423326846e-18,7.193229482386653e-42,2.97324976097805e-32,3.719051034727988e-52,1.2424006801118847e-58,1.0285931451048198e-62,5.674490186717319e-34,1.2271591220342995e-32,2.5742106410588725e-46,2.4601188671674193e-20,5.626107015674075e-63,8.504870145924599e-45,1.1555526227006148e-35,4.737551242332423e-18,2.791772746575571e-50,9.110451831207383e-34,1.0227559531677326e-21,5.702973292013582e-35,2.235190895025708e-63,4.088870095659034e-33,4.476859346209844e-44,3.3742334333277477e-49,2.2203884277157013e-61,2.4431777771347056e-48,1.0769524506256652e-47,3.1125991603539365e-22,2.887480464475938e-49,4.340138464060731e-49,1.5935864746321525e-53,4.047327778846068e-57,1.0490193880407045e-45,4.508876689176362e-50,1.1599914687483981e-51,5.31341997869533e-65,3.483033657364276e-66,2.1380955489947698e-92,2.2185073892891974e-75,1.1019737230182695e-62,4.097535996490766e-62
