Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211)
0.0,0.7183372511106583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7108619954011796,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7981080372368092e-22,0.7183372511106583,0.0,3.688498142349938e-28,0.0,0.0,0.0,0.0,0.0,0.0,3.0251945871534973e-55,2.908040139966379e-77,0.0,7.771410141267401e-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7108619954011796,0.9999999999999998,0.0,0.0,3.3963984642645854e-18,2.1357126642008857e-18,6.414064461585853e-19,6.192793539051146e-19,3.570477675320497e-16,4.766659280593329e-37,3.025252131055388e-57,1.2665402319234288e-35,8.419122782648254e-44,3.1320149826322057e-38,5.236291046248328e-94,3.526500090418446e-92,5.079363201255736e-41
5.034702504263066e-22,0.7183372511106583,0.0,1.0327794798581464e-27,0.0,0.0,0.0,0.0,0.0,0.0,3.591511013869318e-54,6.505169471500372e-76,0.0,4.727728033753325e-114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7108619954011796,0.999999999999999,0.0,0.0,9.509915699940841e-18,5.979995459762686e-18,1.7959380492440474e-18,1.7339821909341061e-18,9.99733749089195e-16,2.879062205478452e-36,3.591579329989043e-56,7.64990300081253e-35,5.085150160717916e-43,1.891737049510247e-37,2.5014390682869678e-92,1.6846514111940186e-90,3.0679353735596007e-40
1.150789143831558e-21,0.7183372511106583,0.0,2.3606388111051082e-27,0.0,0.0,0.0,0.0,0.0,0.0,3.526166810788212e-53,1.2853118660878582e-74,0.0,2.134322424557662e-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7108619954011796,0.9999999999999977,0.0,0.0,2.1736950171293344e-17,1.3668561050887115e-17,4.105001255415005e-18,3.9633878649912275e-18,2.2851057122013082e-15,1.386144518796662e-35,3.526233883958431e-55,3.6830989944258603e-34,2.4482809051916507e-42,9.107899569500285e-37,1.3024941368362312e-90,8.771944971631079e-89,1.4770788189268433e-39
2.445426930642061e-21,0.7183372511106583,0.0,5.0163574736016585e-27,0.0,0.0,0.0,0.0,0.0,0.0,3.1188546115761386e-52,2.2871437917556104e-73,0.0,8.058795371336603e-111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7108619954011796,0.9999999999999951,0.0,0.0,4.619101911399837e-17,2.9045692233139274e-17,8.723127667757059e-18,8.422199213102027e-18,4.8558496384168274e-15,6.053657286354789e-35,3.118913937033431e-54,1.6085060945350345e-33,1.0692285933937763e-41,3.9776590279488814e-36,5.197912183057689e-89,3.5006529662990807e-87,6.450791265611958e-39
5.034702504263066e-21,0.7183372511106583,0.0,1.0327794798605263e-26,0.0,0.0,0.0,0.0,0.0,0.0,2.6215852261217237e-51,3.8576023007662357e-72,0.0,2.7959704830672604e-109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7108619954011796,0.99999999999999,0.0,0.0,9.509915699940839e-17,5.979995459765683e-17,1.7959380492441715e-17,1.7339821909309853e-17,9.997337490813036e-15,2.527282750571718e-34,2.6216350927395337e-53,6.71519630958854e-33,4.4638188993371027e-41,1.6605943437969592e-35,1.847419401540872e-87,1.2441868927772259e-85,2.6930783693211875e-38
1.0213253651505078e-20,0.7183372511106583,0.0,2.0950669448654493e-26,0.0,0.0,0.0,0.0,0.0,0.0,2.149333957889476e-50,6.33612336268269e-71,0.0,9.311749073422383e-108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7108619954011794,0.9999999999999797,0.0,0.0,1.9291543277022842e-16,1.2130847932674478e-16,3.643188614181323e-17,3.517506730167039e-17,2.0280313195466136e-14,1.032477466814598e-33,2.149374841549552e-52,2.743376803896596e-32,1.8236156711932525e-40,6.784069733025997e-35,6.222617340886282e-86,4.190764115477803e-84,1.1002103868578085e-37
2.0570355945989098e-20,0.7183372511106584,0.0,4.2196418748921044e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.7405863643560868e-49,1.027112901306351e-69,0.0,3.0395099878172423e-106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7108619954011792,0.9999999999999591,0.0,0.0,3.885479843118684e-16,2.443255287851323e-16,7.337689744056505e-17,7.084555808617105e-17,4.084626460421506e-14,4.173438999812832e-33,1.7406194729942485e-51,1.1089167669317036e-31,7.371346113941734e-40,2.7422294540509242e-34,2.0423253179857507e-84,1.37545074454822e-82,4.4472262922399845e-37
4.128456053495714e-20,0.7183372511106583,0.0,8.46879173501265e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.4009753336431938e-48,1.654133663447849e-68,0.0,9.823171061152252e-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7108619954011788,0.9999999999999181,0.0,0.0,7.798130873951483e-16,4.903596277027533e-16,1.4726692003810384e-16,1.4218653965429069e-16,8.197816741948381e-14,1.6781214663764145e-32,1.401001982339881e-50,4.458905547703203e-31,2.9639858519923384e-39,1.102638402725809e-33,6.61827664760216e-83,4.457229933942789e-81,1.7882101325415762e-36
8.271296971289323e-20,0.7183372511106585,0.0,1.6967091455522666e-25,0.0,0.0,0.0,0.0,0.0,0.0,1.1241944749329721e-47,2.6552508652463345e-67,0.0,3.1589845994414954e-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.710861995401178,0.9999999999998358,0.0,0.0,1.562343293561707e-15,9.8242782554138e-16,2.9504696523332207e-16,2.8486850278700333e-16,1.642419730411049e-13,6.730017638365674e-32,1.1242158588086041e-49,1.7882205538951304e-30,1.188690894103622e-38,4.422073162131813e-33,2.13119053436452e-81,1.4352990589056052e-79,7.171522428371897e-36
