Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126)
1.6506396889221098e-14,0.5297641357659578,0.0,5.257909180172086e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124703830417,1.0,0.0,0.0,4.896221785390605e-13,3.141711118712789e-13,1.2371953091628567e-13,5.17315357514958e-14
3.301996112403022e-14,0.5297641357660073,0.0,1.0518101429897005e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124703825519,1.0,0.0,0.0,9.794569589787148e-13,6.28478925886981e-13,2.474927840702059e-13,1.034852490215277e-13
6.604708959364847e-14,0.5297641357661059,0.0,2.1038485929346844e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124703815722,1.0,0.0,0.0,1.959126519856106e-12,1.2570954059320742e-12,4.950392940032312e-13,2.069918199208005e-13
1.3210134653288497e-13,0.5297641357663033,0.0,4.207925492824651e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124703796129,1.0,0.0,0.0,3.91846564160322e-12,2.514331774020671e-12,9.901323283697824e-13,4.140015392127666e-13
2.642098604113579e-13,0.5297641357666979,0.0,8.416079292604586e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124703756942,1.0,0.0,0.0,7.837143885066774e-12,5.028818141740763e-12,1.9803184551029686e-12,8.280072882230423e-13
5.284268881683038e-13,0.529764135767487,0.0,1.6832386892164458e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124703678568,1.0,0.0,0.0,1.5674500371871186e-11,1.0057845399746835e-11,3.960690940554331e-12,1.6559640315700188e-12
1e-12,0.5297641357690658,0.0,3.185376684844875e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124703538688,1.0,0.0,0.0,2.9662571535478473e-11,1.903382045188311e-11,7.495249792590494e-12,3.133501291004867e-12
1.0568609436821958e-12,0.5297641357690658,0.0,3.366500209128419e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124703521821,1.0,0.0,0.0,3.134921334498921e-11,2.0116117977180674e-11,7.921436839274283e-12,3.3116585285342524e-12
1.5852949991960875e-12,0.5297641357706442,0.0,5.049761729040393e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124703365075,1.0,0.0,0.0,4.702392631761645e-11,3.0174608587198187e-11,1.1882183665688748e-11,4.9671340647295155e-12
2.1137290547099793e-12,0.5297641357722227,0.0,6.733023248952367e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124703208328,1.0,0.0,0.0,6.26986392897529e-11,4.023331720096514e-11,1.5842931419675023e-11,6.622390669112727e-12
3.1705971657377633e-12,0.5297641357753796,0.0,1.0099546288776314e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124702894833,1.0,0.0,0.0,9.404806523287394e-11,6.035124598052186e-11,2.3764429104221256e-11,9.932390148130791e-12
