Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236)
0.0,0.7315739730842424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,1.0040247040768768,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1417237290687053e-22,0.7315739730842424,0.0,1.2574808712656355e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,1.0040247040768768,0.9999999999999998,0.0,0.0,2.9332980952258926e-18,1.8544753803927705e-18,5.728660780123657e-19,5.059566368207566e-19,3.353913721543221e-16,2.0873973060994393e-37,7.415289979547297e-58
5.996826441392374e-22,0.7315739730842424,0.0,3.520946439543777e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,1.0040247040768768,0.9999999999999991,0.0,0.0,8.213234666632498e-18,5.192531065099938e-18,1.6040250184346272e-18,1.4166785830979333e-18,9.390958420314866e-16,1.2607879728840977e-36,8.803432263718769e-57
1.3707031866039714e-21,0.7315739730842424,0.0,8.047877576100058e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,1.0040247040768768,0.9999999999999979,0.0,0.0,1.8773107809445712e-17,1.1868642434515e-17,3.666342899279163e-18,3.238122475651548e-18,2.1465047817833546e-15,6.070151366137712e-36,8.643262000161006e-56
2.912744271533439e-21,0.7315739730842424,0.0,1.710173984921259e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,1.0040247040768768,0.9999999999999954,0.0,0.0,3.989285409507214e-17,2.5220865173348025e-17,7.790978660968288e-18,6.88101026075582e-18,4.561322661277247e-15,2.6509945787468464e-35,7.6448673573155e-55
5.996826441392375e-21,0.7315739730842424,0.0,3.520946439543757e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,1.0040247040768768,0.9999999999999906,0.0,0.0,8.213234666632499e-17,5.1925310651025705e-17,1.604025018434674e-17,1.416678583095254e-17,9.390958420225656e-15,1.1067380516944252e-34,6.425971651638585e-54
1.2164990781110247e-20,0.7315739730842424,0.0,7.142491348788718e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,1.0040247040768768,0.9999999999999809,0.0,0.0,1.666113318088307e-16,1.0533420160642752e-16,3.2538793231104494e-17,2.873833697129867e-17,1.9050229937964973e-14,4.521386060907886e-34,5.268399800869978e-53
2.450131946054599e-20,0.7315739730842424,0.0,1.43855811672785e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,1.0040247040768766,0.9999999999999616,0.0,0.0,3.3556930209384207e-16,2.1215198351741705e-16,6.553587932462332e-17,5.788143925180168e-17,3.836877297281361e-14,1.8276165365642525e-33,4.2664867512370646e-52
4.917397681941748e-20,0.7315739730842424,0.0,2.8871760804257505e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,1.0040247040768762,0.999999999999923,0.0,0.0,6.734852426638645e-16,4.257875473401395e-16,1.315300515116743e-16,1.161676438120508e-16,7.700585903999088e-14,7.348765712043715e-33,3.434039713360075e-51
9.851929153716044e-20,0.7315739730842427,0.0,5.784412007821327e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,1.0040247040768755,0.9999999999998457,0.0,0.0,1.3493171238039091e-15,8.530586749885587e-16,2.6351839588582955e-16,2.327400529295212e-16,1.5428003116426535e-13,2.947183732120833e-32,2.7556006017139183e-50
