Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133)
0.0,0.5762827983392445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.899877622761781,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5677846544472475e-21,0.5762827983392445,1.0815940301207084e-28,8.425627449041197e-32,5.722236742685157e-44,4.293116517955169e-43,0.0,0.0,5.771845794810518e-23,9.118488334337554e-41,4.5683554871942854e-57,5.851722495380252e-80,5.298110850765295e-60,9.826991806002703e-116,1.7816059967012135e-90,1.5481539857338572e-91,5.998933845679013e-92,3.6124345394347726e-40,-1.872948765233678e-130,8.784764123325354e-83,-9.934643774180693e-124,-5.336008858845895e-145,2.2220641282955128e-94,6.023816029070633e-101,2.5804570298357948e-65,1.8093311108149737e-129,4.486134265430277e-129,2.3915641355127095e-148,8.615274925574966e-196,-5.640625691997175e-159,9.57365561968088e-64,-2.6649949102641482e-166,2.0925583763663604e-138,-9.967059159120765e-165,3.76,0.0,0.899877622761781,0.9999999999999997,3.002220529797637e-58,-7.279142410066315e-128,1.124393669093704e-19,7.221437039140686e-20,2.8047849896261486e-20,1.2177146621702058e-20,4.0926761563316784e-16,1.0429054915200904e-40,8.874132401075842e-63,6.124706662955482e-38,7.536227012441751e-45,1.0366677127375899e-39,3.1086310656460055e-100,6.624340685548997e-99,8.78427421634176e-44,7.848440560306638e-101,1.8585966220395094e-46,3.201255883323176e-117,4.319469707730051e-99,4.3838619781930025e-102,1.0564988320555997e-100,3.0519612117245187e-99,2.8122060350119336e-118,3.3553880093742155e-117,3.685015238033332e-114,3.030682818847037e-44,3.6124345394347726e-40,2.5288829065907323e-60,4.4362025263656714e-23,1.3356540843851214e-23,2.704118446943272e-37
4.389797032452293e-21,0.5762827983392445,3.0284632843393562e-28,2.3591756857361945e-31,3.4562309925832414e-43,2.5930423768459025e-42,0.0,0.0,1.6161168225469443e-22,5.50756695393988e-40,5.423551634403727e-56,1.3090069153281175e-78,6.28991720204359e-59,5.659844139061656e-114,5.601654310678949e-89,3.8998484743618592e-90,1.7934428805252679e-90,2.181910461824323e-39,9.705974147542861e-129,2.7620703965996233e-81,5.148319969857212e-122,4.939697081493319e-143,6.986525149777719e-93,3.664581252764714e-99,3.0635185858283293e-64,1.3961609432021334e-127,3.461702178078734e-127,9.150293700174314e-146,1.0843600006005275e-192,1.423247073412203e-156,1.1365843951712005e-62,7.913705305193784e-164,2.2297881887036716e-136,2.959276577686633e-162,3.76,0.0,0.899877622761781,0.9999999999999988,3.564236302780925e-57,4.6577563469411125e-126,3.148302273462371e-19,2.022002370959551e-19,7.853397970953227e-20,3.4096010540749723e-20,1.1459493237671506e-15,6.2991491687817535e-40,1.0535369986557847e-61,3.6993228244017725e-37,4.551881115502576e-44,6.26147298494345e-39,1.485030363635723e-98,3.1645270375745284e-97,5.305701626686004e-43,3.749294236978275e-99,1.1225923597132792e-45,2.7847135897924383e-115,2.0634625130187652e-97,2.0942234733334237e-100,5.047021700624614e-99,1.457958494375657e-97,2.4462862852558491e-116,2.9187902902059308e-115,3.20552695127033e-112,1.8305324227066647e-43,2.181910461824323e-39,3.0043453691704966e-59,1.2421367073823862e-22,3.7398314362782595e-23,1.6332875419537095e-36
1.0033821788462385e-20,0.5762827983392445,6.92220179278214e-28,5.392401567418981e-31,1.664026444774954e-42,1.248438283422834e-41,0.0,0.0,3.6939813086787256e-22,2.6516564076253574e-39,5.32487515589398e-55,2.586377078163656e-77,6.17547800769776e-58,2.5381116704964553e-112,1.249698262063117e-87,8.0915508952768e-89,3.942747747603348e-89,1.0504959640760482e-38,1.0186814771167842e-126,6.162027113534479e-80,5.4033712370190244e-120,1.05317943985487e-140,1.5586553281249934e-91,1.6543671481489547e-97,3.0077807139987327e-63,1.5216044921349495e-125,3.772732369839486e-125,2.1600605233988394e-143,1.2659432692146752e-189,3.6275898789198994e-154,1.1159052990381752e-61,4.2819958655061475e-161,5.074474139768785e-134,1.6013000230379405e-159,3.76,0.0,0.899877622761781,0.9999999999999973,3.4993883770576995e-56,4.800748730124773e-124,7.196119482199705e-19,4.621719705051154e-19,1.795062393360743e-19,7.79337383787809e-20,2.6193127400122394e-15,3.0327691693410344e-39,1.034368872669589e-60,1.7810646975524458e-36,2.191534815199577e-43,3.0146297086532974e-38,7.7325223156137e-97,1.6477626677176096e-95,2.5544669421351217e-42,1.952249736137211e-97,5.4047989769108084e-45,2.8944985756483e-113,1.0744406525257e-95,1.090457820795794e-98,2.627973735991405e-97,7.591559653594232e-96,2.5427290598946524e-114,3.033861136936968e-113,3.331902149204355e-110,8.813225639015329e-43,1.0504959640760482e-38,2.9505848430290313e-58,2.839169616874018e-22,8.548186140064219e-23,7.863576443710638e-36
2.1321871300482567e-20,0.5762827983392445,1.4709678809689661e-27,1.1458853330859106e-30,7.267240663231957e-42,5.452257977818261e-41,0.0,0.0,7.849710280942277e-22,1.1580480184608657e-38,4.709791773120136e-54,4.60231982101817e-76,5.462140362800169e-57,9.54901045468289e-111,2.3405465380858445e-86,1.471398969739399e-87,7.342120278513848e-88,4.5877918651683696e-38,8.133090934259675e-125,1.1540794818901005e-78,4.314018657693302e-118,1.6845204800365272e-138,2.919188929964184e-90,6.24657557016992e-96,2.660347979525566e-62,1.244766951618508e-123,3.0863293282337566e-123,3.659262685117786e-141,9.37967119655576e-187,6.313595103737827e-152,9.870055997836257e-61,1.557767763063501e-158,8.575634686414736e-132,5.8255954005447665e-157,3.76,0.0,0.899877622761781,0.9999999999999943,3.095169405828315e-55,3.810591851052063e-122,1.5291753899674374e-18,9.821154373236906e-19,3.8145075858916017e-19,1.6560919405458655e-19,5.5660395724109105e-15,1.3244899742311472e-38,9.148875540217116e-60,7.778377461591715e-36,9.571008305609445e-43,1.3165679951894324e-37,3.0858466701488776e-95,6.575788253521122e-94,1.115602825498904e-41,7.790916213149288e-96,2.3604177100101417e-44,2.316955660316483e-111,4.2878105933601084e-94,4.3517309073345947e-97,1.0487553312624966e-95,3.0295921721079373e-94,2.0353751552865393e-112,2.428511035694544e-111,2.6670835526721365e-108,3.8489671817865776e-42,4.5877918651683696e-38,2.6101166043207564e-57,6.033235435857256e-22,1.8164895547634866e-22,3.4342304276175495e-35
4.389797032452293e-20,0.5762827983392445,3.028463284359251e-27,2.3591756858037572e-30,3.033929920991295e-41,2.2762103778335065e-40,0.0,0.0,1.6161168225469328e-21,4.834622514865739e-38,3.958863771591225e-53,7.762485067431459e-75,4.591258093671514e-56,3.3065191479489417e-109,4.0427120918219877e-85,2.5074071741152187e-86,1.2649048078653416e-86,1.9153127928855773e-37,5.7933064275075057e-123,1.9933853056683496e-77,3.0729314964266126e-116,2.4017756808129214e-136,5.042172925886844e-89,2.1672272479906025e-94,2.236182774826407e-61,8.958678159672284e-122,2.2212536327334493e-121,5.356358033010731e-139,5.727459832654879e-184,9.354483631118077e-150,8.296376781832682e-60,4.722430397344927e-156,1.2556616485667523e-129,1.7660726056905693e-154,3.76,0.0,0.899877622761781,0.9999999999999885,2.60167638975053e-54,2.707248129574357e-120,3.148302273462371e-18,2.0220023709618614e-18,7.853397970953391e-19,3.4096010540517127e-19,1.1459493236842225e-14,5.529484916045213e-38,7.690181152661108e-59,3.247319472373424e-35,3.99570756182395e-42,5.496412213048488e-37,1.0967582382970261e-93,2.33713813778794e-92,4.657422189715041e-41,2.7690136466553117e-94,9.854279290230528e-44,1.6495592154509999e-109,1.5239550421934015e-92,1.5466733229719134e-95,3.727440707575722e-94,1.0767645085908114e-92,1.4490876548517067e-110,1.7289811916902389e-109,1.8988331663718722e-106,1.606868032210921e-41,1.9153127928855773e-37,2.194102110071652e-56,1.2421367073823633e-21,3.739831436277105e-22,1.4337236005689579e-34
8.905016837260366e-20,0.5762827983392445,6.1434540911749454e-27,4.785756391358731e-30,1.239459367429191e-40,9.299062102667399e-40,0.0,0.0,3.2784084114523236e-21,1.9751010471708247e-37,3.2457157044920806e-52,1.2749905032794054e-73,3.764190777472784e-55,1.1000997476530897e-107,6.717026604753853e-84,4.139190060637093e-85,2.0990807228928015e-85,7.824677710450084e-37,3.908378005688889e-121,3.3120394989711777e-76,2.073112708539757e-114,3.242023571773765e-134,8.377645729734882e-88,7.217771589963208e-93,1.8333577433482153e-60,6.072483773343722e-120,1.5056380401975597e-119,7.321539144365121e-137,3.1961161606803795e-181,1.2860712208317043e-147,6.801870931988173e-59,1.3133749546208105e-153,1.717010976235817e-127,4.911728303575809e-152,3.76,0.0,0.899877622761781,0.9999999999999767,2.133011493463807e-53,1.8241355141212127e-118,6.386556040452238e-18,4.10177623824228e-18,1.5931178741077255e-18,6.91661928102234e-19,2.3246400564240752e-14,2.2589750108569983e-37,6.304875130133211e-58,1.3266359617471577e-34,1.632376915656641e-41,2.2454637325942785e-36,3.694183804139632e-92,7.872124917556759e-91,1.902708932534473e-40,9.32680057542641e-93,4.02579462735127e-43,1.1121212508967981e-107,5.133100293435613e-91,5.209621720244622e-94,1.2555046876395904e-92,3.626839415874436e-91,9.769647310518878e-109,1.1656669900573379e-107,1.2801799999516278e-104,6.56458022694391e-41,7.824677710450084e-37,1.798913912903837e-55,2.5197630349755987e-21,7.586515199302303e-22,5.857228720813917e-34
1.793545644687651e-19,0.5762827983392445,1.2373435704946835e-26,9.638917802945813e-30,5.010092935721183e-40,3.758829581157854e-39,0.0,0.0,6.602991589263025e-21,7.983674224152355e-37,2.628464728468552e-51,2.0668145489690306e-72,3.0483392850778363e-54,3.589081239443665e-106,1.095044865676578e-82,6.726518746114686e-84,3.419980621543798e-84,3.16285983666946e-36,2.567645142597942e-119,5.399460298944519e-75,1.3619504441607586e-112,4.260670766294321e-132,1.3657676952310234e-86,2.356000861490747e-91,1.4847006336908403e-59,3.99839600316219e-118,9.913796947331996e-118,9.681130986164176e-135,1.7075802048824613e-178,1.7053656061722537e-145,5.5083314315727675e-58,3.5029959055110926e-151,2.2709113088023796e-125,1.3100459319157314e-149,3.76,0.0,0.899877622761781,0.9999999999999531,1.7273680104705004e-52,1.197653240064648e-116,1.2863063574431973e-17,8.261323972819426e-18,3.2086740281326135e-18,1.3930655734799332e-18,4.682021521318139e-14,9.131138172933984e-37,5.105851345318634e-57,5.36247466706989e-34,6.598328487085567e-41,9.076523426309857e-36,1.2124681142518001e-90,2.5837102210023537e-89,7.691053723032187e-40,3.06114933846309e-91,1.627290555355414e-42,7.3031183574403905e-106,1.6847349136931712e-89,1.7098500123872307e-92,4.1206920987219476e-91,1.190365011605681e-89,6.415567596894154e-107,7.654744467967088e-106,8.406732676001623e-103,2.6535082921863286e-40,3.16285983666946e-36,1.4568296418608557e-54,5.0750156901619106e-21,1.5279882725344541e-21,2.3675854979817488e-33
3.59963356661088e-19,0.5762827983392445,2.4833398933052615e-26,1.9345240628028498e-29,2.0145363343201416e-39,1.5114088426894405e-38,0.0,0.0,1.3252157944884114e-20,3.2102002920566946e-36,2.1156170849094988e-50,3.328541115037875e-71,2.4535686565476124e-53,1.1596326897040124e-104,1.7685003834158695e-81,1.0846264014506479e-82,5.521641355661332e-83,1.2717720297810476e-35,1.6648415506198352e-117,8.720142805530369e-74,8.8307808874847e-111,5.525770905169812e-130,2.2057184773169927e-85,7.614187674511842e-90,1.1950162362203571e-58,2.595393028087929e-116,6.435130324896126e-116,1.2593795194750957e-132,8.929862280086855e-176,2.2215489308329893e-143,4.4335843508355624e-57,9.15250911310192e-149,2.954517823022865e-123,3.422848695389485e-147,3.76,0.0,0.899877622761781,0.999999999999906,1.3903360528761372e-51,7.763153290334602e-115,2.5816078642391444e-17,1.658041944203897e-17,6.4397863361828486e-18,2.7958728641696252e-18,9.396784448763697e-14,3.671590499148311e-36,4.109633361756878e-56,2.15622747768097e-33,2.6531588636616003e-40,3.64963015004178e-35,3.929075028826199e-89,8.372666620890373e-88,3.092538876145719e-39,9.919836480014368e-90,6.543263752742464e-42,4.7341911511265745e-104,5.459483676701551e-88,5.540870648950601e-91,1.3353347804630212e-89,3.8574486095948615e-88,4.1588430931733264e-105,4.9621301127034205e-104,5.449600774106416e-101,1.0669640184375202e-39,1.2717720297810476e-35,1.1725922307509884e-53,1.0185521000533896e-20,3.066661777739639e-21,9.519957157181077e-33
7.211809410457338e-19,0.5762827983392445,4.9753325391512176e-26,3.875788628582797e-29,8.079191724469727e-39,6.061425453624064e-38,0.0,0.0,2.6550490656125035e-20,1.2874338968319753e-35,1.6976494740101672e-49,5.343045651149161e-70,1.9688343271531998e-52,3.728727765545752e-103,2.8428127163793843e-80,1.7421403552838577e-81,8.874569591747785e-82,5.100374655122823e-35,1.0724490911771342e-115,1.4017374878476723e-72,5.688564509112884e-109,7.119509867313728e-128,3.545628036202408e-84,2.4486086476399255e-88,9.589252703780714e-58,1.672799005762212e-114,4.14761055550882e-114,1.625054293035566e-130,4.620607135826255e-173,2.8685965019161974e-141,3.557672225282241e-56,2.367005348995172e-146,3.812648707469777e-121,8.852115856001623e-145,3.76,0.0,0.899877622761781,0.9999999999998117,1.1156571223417736e-50,5.000077441799e-113,5.172210877831038e-17,3.321861038073903e-17,1.290201095228516e-17,5.601487445286184e-18,1.8826310294284545e-13,1.4724720060701817e-35,3.2977219571675926e-55,8.647436574372222e-33,1.0640353693637391e-39,1.4636649241238027e-34,1.2652247644586968e-87,2.6961320594464026e-86,1.2402464069956532e-38,3.1943454102992435e-88,2.6241414198725677e-41,3.0492774693501706e-102,1.7580407336383936e-86,1.7842486363802655e-89,4.299990765626335e-88,1.2421599157642868e-86,2.678697613116826e-103,3.1960922287210693e-102,3.510070534731079e-99,4.2790029629762074e-39,5.100374655122823e-35,9.409350129501965e-53,2.0406531621275317e-20,6.144008788136957e-21,3.817928610511939e-32
