Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195),S(2224),S(2641),S(2826),C2FO(289),S(1665),C2FO(7367),S(3464),S(6251),S(5206),CFO3(444),C2H2O(907),S(5104),CF3CCH(84),S(12199),C2HF4(54),S(12715),CF3(45),S(3472),C2O2(1666)
0.0,0.6752966810754394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7394237107133624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.522584386096362e-22,0.6752966810754394,3.225785028105027e-27,7.517555857649332e-29,4.794428934668068e-38,3.7513833888783055e-27,0.0,0.0,4.163897833871686e-22,7.913732037132452e-40,5.223690451714042e-54,4.9294737587699e-54,6.382154164285153e-58,3.445117144741928e-67,5.411144303174443e-46,2.8121530476429745e-39,2.7784069706331427e-41,8.454105780227701e-39,1.4784496071783452e-89,7.3307562919802234e-65,2.5053314316590516e-92,1.447554826572803e-91,6.021797190797539e-26,9.21391487490555e-93,9.831171340660166e-60,3.5223358840017076e-97,3.09604386954074e-100,1.858178313598109e-80,1.9616356665700147e-96,3.5997272394729946e-97,6.635711392887682e-61,4.5096112306615404e-113,3.5337950796716794e-114,6.249883522782014e-114,3.76,0.0,0.7394237107133624,0.9999999999999996,9.242814644268473e-53,5.162878417227158e-57,2.3118637833955385e-18,1.468461168296519e-18,4.670148987021056e-19,3.763877163969143e-19,5.567693769686525e-16,1.469088857218923e-37,5.125144593101332e-58,8.155248889903137e-36,1.1460457008811587e-43,8.022005246303673e-38,1.4218530207801214e-94,7.878324220963496e-93,2.575589267772071e-41,8.171807116362462e-95,3.023706663328217e-43,3.2404340453365696e-112,5.796996769389358e-93,4.741548846701877e-96,9.381859258646111e-95,3.5432663814132405e-93,2.3248114928981028e-113,2.324371171339463e-112,1.0380646834004092e-75,3.2729774645552005e-43,8.4541057802277e-39,1.5101084566774104e-44,3.1928570674541683e-22,9.710730242677622e-23,2.4984698636910044e-36,4.277252775246445e-52,6.026547924579486e-37,1.1261214491840022e-26,7.263713041848625e-25,4.338097937837897e-39,5.917293035792065e-38,1.4010118020236752e-52,9.987914876677748e-38,3.852256170631586e-43,1.7207006220877226e-21,3.543435888341949e-48,3.5682787061115023e-38,2.886298257181318e-63,1.3855779317840164e-68,8.778849811547935e-73,9.735658027462498e-39,1.4343072765591589e-39,7.611244261091579e-56,7.376325186765714e-25,6.726873949929133e-73,1.1748487570418674e-52,7.326945768297436e-43,1.7207006220877226e-21,6.169253403715906e-59,1.41416438491531e-38,6.021797190797542e-26,6.685403497808964e-42,1.8994495637065767e-74,5.137762349924877e-38,2.3282870696714298e-51,1.5482625628139955e-58,7.311432521123599e-74,1.891290017978473e-56,1.4192412619555324e-56,3.751383388878231e-27,1.9899217009926942e-59,1.872875561984254e-58,3.212091402016297e-64,8.042103308893086e-68,1.5595715960296144e-53,7.030599123927542e-58,1.20996389509472e-62,6.4551577308514225e-78,4.635145608572804e-80,1.3707192896025641e-109,2.538096501393801e-91,5.723521103321935e-75,3.964259019105811e-73,2.9867354704769602e-120,2.3929569007972666e-75,1.01762621772536e-90,7.582923039672716e-94,5.710485495578987e-56,2.1875177933281073e-72,4.016088098245473e-45,3.323943614290717e-48,8.271930416289048e-96
1.2663236281069814e-21,0.6752966810754394,9.032198080804834e-27,2.1049156401429175e-28,2.8958350765395197e-37,1.0503873488859278e-26,0.0,0.0,1.1658913934840714e-21,4.7798941504279986e-39,6.201565308672549e-53,5.852271246524308e-53,7.577286482706192e-57,4.090043074236808e-66,3.2683311591167724e-45,1.6985404407762779e-38,1.6781578102628511e-40,5.106279891262494e-38,7.062732310554494e-88,8.703073869853705e-64,1.1968268893695328e-90,6.915143115299971e-90,1.6861032134233094e-25,4.827655317113463e-91,1.1671566615634263e-58,1.6826621310889237e-95,1.480292629103074e-98,5.842409926484954e-79,9.37101473419086e-95,1.7196339189949725e-95,7.877916565649751e-60,3.480150141508462e-111,2.7583770428194633e-112,4.826506357046989e-112,3.76,0.0,0.7394237107133624,0.9999999999999984,1.0973069545723118e-51,6.129369256933652e-56,6.473218593507508e-18,4.111691271230517e-18,1.3076417163659028e-18,1.0538856059110887e-18,1.5589542555100505e-15,8.873296697602759e-37,6.084571660930179e-57,4.925770329493218e-35,6.922116033316477e-43,4.845291168768365e-37,6.792362502639444e-93,3.763570020244928e-91,1.5556559177357564e-40,3.903770321183096e-93,1.8263188246514105e-42,2.818793952052631e-110,2.76929492069859e-91,2.2650947826588433e-94,4.481826750177102e-93,1.6926608695978274e-91,2.0223107411403888e-111,2.0219277135187854e-110,2.322243900463147e-74,1.9768783888900235e-42,5.106279891262491e-38,9.12105507836282e-44,8.939999788871641e-22,2.7190044679496577e-22,1.509075797669337e-35,5.0779551427898416e-51,3.6400349464459623e-36,3.153140057727924e-26,2.0338396517177747e-24,2.6202111544535295e-38,3.574044993617636e-37,1.663292283486869e-51,6.032700585513275e-37,2.3267627270614418e-42,4.817961741845625e-21,2.1402530379623488e-47,2.1552403384913475e-37,3.426613290927285e-62,3.099502120555801e-67,1.963806075627401e-71,5.880337448586622e-38,8.663215950417385e-39,9.03608427079091e-55,2.065371052294262e-24,1.5047843642865309e-71,1.394780444358915e-51,4.4254752441493845e-42,4.817961741845623e-21,7.324137641038972e-58,8.54155288488761e-38,1.686103213423312e-25,4.0379837126853585e-41,4.248999471841511e-73,3.103208459354455e-37,2.7641424063648385e-50,1.838097314573501e-57,2.298173853867086e-72,1.1881878404770994e-55,1.684923226191846e-55,1.0503873488858829e-26,2.3625785373573077e-58,2.8302895492706215e-57,4.854112526736158e-63,9.547585049793212e-67,9.419825872873757e-53,8.346727279924783e-57,1.436469136263425e-61,1.4440002265751906e-76,1.0368650089658354e-78,1.1923636762183693e-107,1.2124791558735282e-89,1.799543228108399e-73,8.8702570530977e-72,2.598106675910355e-118,7.523839369211116e-74,5.8590204931031284e-89,3.622453331123899e-92,6.77948838046998e-55,4.8933898030444116e-71,2.4257172113402523e-44,2.0076619430316104e-47,3.413628488591091e-94
2.894454007101672e-21,0.6752966810754394,2.0645024194647493e-26,4.811235748903303e-28,1.3942199342014835e-36,2.4008853688821313e-26,0.0,0.0,2.6648946136778743e-21,2.3013132763981134e-38,6.088733596762534e-52,5.745794613571515e-52,7.439597038234619e-56,4.0156285439086835e-65,1.573560763362242e-44,8.17774106254459e-38,8.079607470607678e-40,2.4584539608975186e-37,3.6775497093541304e-86,8.544729533976454e-63,6.231852798567116e-89,3.6007006826282574e-88,3.853950202110416e-25,2.3763535041247327e-89,1.145921331468128e-57,8.76158696107863e-94,7.702450433810979e-97,1.3034095155481254e-77,4.879453187530178e-93,8.954093843622423e-94,7.734585199590598e-59,3.792854432440428e-109,2.993017396354919e-110,5.2603757811592705e-110,3.76,0.0,0.7394237107133624,0.9999999999999964,1.0773424749426935e-50,6.017851083124639e-55,1.4795928213731445e-17,9.398151477099571e-18,2.9888953516935253e-18,2.408881384938351e-18,3.5633240125841424e-15,4.272110396793327e-36,5.973868537719778e-56,2.371546377171414e-34,3.332700898153765e-42,2.332799125626504e-36,3.536769073104063e-91,1.9596831068493306e-89,7.489813590702185e-40,2.0326851128954198e-91,8.792938976975347e-42,2.9299225274687787e-108,1.4419661238622912e-89,1.179430157304213e-92,2.3336778970362822e-91,8.813650055487707e-90,2.1020386373717084e-109,2.1016405092097906e-108,4.588492514594417e-73,9.517818471320553e-42,2.4584539608975157e-37,4.391395392064801e-43,2.0434285231706465e-21,6.214867355313142e-22,7.265550363612994e-35,4.985566755011615e-50,1.752520136467643e-35,7.20717727486664e-26,4.648776346784238e-24,1.2615188803224195e-37,1.7207488148071754e-36,1.6330350788548325e-50,2.904485646137765e-36,1.1202360944196102e-41,1.101248398136143e-20,1.030457798435557e-46,1.0376554477372251e-36,3.36426924857542e-61,6.124112883461302e-66,3.88016191652298e-70,2.831129354385003e-37,4.1709655602341333e-38,8.871687730049314e-54,4.720848119529092e-24,2.973209552274888e-70,1.3694037112043122e-50,2.1306758295673725e-41,1.1012483981361427e-20,7.190881767827977e-57,4.112390031332429e-37,3.853950202110429e-25,1.9441153371757144e-40,8.395313471719906e-72,1.494061291357899e-36,2.7138513998868643e-49,1.804654843218156e-56,5.1267805152862205e-71,6.187601416576183e-55,1.6542676149299092e-54,2.400885368881916e-26,2.3196564960726223e-57,3.044696343606618e-56,5.2218327504593195e-62,9.37387562141883e-66,4.5352543505357206e-52,8.194866338843762e-56,1.4103339161432573e-60,2.853108115456351e-75,2.0486719548871296e-77,1.2393714903883736e-105,6.313353827322283e-88,4.014670607079063e-72,1.7528228187221177e-70,2.70053587334677e-116,1.6785271746886244e-72,2.628128352861769e-87,1.88620393938439e-90,6.65614189381515e-54,9.668513644184373e-70,1.1678784189697626e-43,9.666028030357672e-47,1.3504365966703715e-92
6.150714765091053e-21,0.6752966810754394,4.3870676456104976e-26,1.022387596644174e-27,6.088924747028543e-36,5.101881408874575e-26,0.0,0.0,5.6629010540654706e-21,1.0050439687158175e-37,5.385415914387728e-51,5.082090267074994e-51,6.580307733667647e-55,3.551777971537872e-64,6.872153265022381e-44,3.5714343705053616e-37,3.528576852710808e-39,1.073671434096399e-36,1.4676134990870078e-84,7.557716506871737e-62,2.486968859636926e-87,1.436945120495538e-86,8.189644179484611e-25,9.290892035335355e-88,1.0135544405383378e-56,3.496519460523967e-92,3.073079649933e-95,2.4411417715012736e-76,1.9472596092973949e-91,3.573343186808446e-92,6.841153017695996e-58,3.102794537177758e-107,2.4436925165466714e-108,4.303369215716809e-108,3.76,0.0,0.7394237107133624,0.9999999999999925,9.528972185723165e-50,5.32272113303412e-54,3.1441347454179325e-17,1.9971071888841904e-17,6.351402622348883e-18,5.118872942988532e-18,7.572063526697507e-15,1.8657428486687556e-35,5.283819069705564e-55,1.0357166090048658e-33,1.4554780401101104e-41,1.018794666281998e-35,1.4114316935411886e-89,7.82058084402496e-88,3.2709983700920565e-39,8.111912686540509e-90,3.8401074624439986e-41,2.345311426805156e-106,5.75450827054474e-88,4.706796146222866e-91,9.313095874579216e-90,3.5172963704693156e-88,1.6826162431211317e-107,1.682297553969793e-106,8.165082681020342e-72,4.1566813844853726e-41,1.073671434096397e-36,1.9178377400287668e-42,4.342285611737564e-21,1.3206593130038886e-21,3.1730567268871134e-34,4.409677447832292e-49,7.653715864215209e-35,1.531525170934757e-25,9.878649736919722e-24,5.509384381045436e-37,7.514962155443961e-36,1.444402960550483e-49,1.268465189337946e-35,4.892365336701541e-41,2.3401528460393037e-20,4.500438879953361e-46,4.5317139567616066e-36,2.9756580512337584e-60,1.089754708786461e-64,6.904550585276519e-69,1.2364285694866103e-36,1.8215702412302348e-37,7.84690995359298e-53,1.0031802253996545e-23,5.290675027451769e-69,1.2112220745521396e-49,9.305221127250779e-41,2.340152846039302e-20,6.360253490053686e-56,1.795988768841109e-36,8.189644179484666e-25,8.49046244234919e-40,1.493901706456323e-70,6.524958184401956e-36,2.4003708194519335e-48,1.5961967717631901e-55,9.601655260921322e-70,3.112592701987029e-54,1.463180971414212e-53,5.101881408873635e-26,2.0517348731953453e-56,2.798600494761949e-55,4.7997639402681014e-61,8.291086836939308e-65,1.9806767478815935e-51,7.248266472791368e-55,1.2474243773300207e-59,5.07695913316714e-74,3.6455034391231855e-76,9.920781144478884e-104,2.519493780952673e-86,7.519025297467053e-71,3.1192257392507694e-69,2.161696237427415e-114,3.1436956319910778e-71,9.888824418905002e-86,7.527344775611307e-89,5.887282126691302e-53,1.7204603443177814e-68,5.100431884771537e-43,4.221408390149487e-46,4.8196762887467967e-91
1.2663236281069814e-20,0.6752966810754394,9.032198111410862e-26,2.104915640158929e-27,2.542006221161097e-35,1.050387348885961e-25,0.0,0.0,1.165891393484062e-20,4.195860726087591e-37,4.526766571997548e-50,4.271803089100777e-50,5.531172266846163e-54,2.9854833957494853e-63,2.8689887095348447e-43,1.4910035458592117e-36,1.473111375835737e-38,4.4823668847437736e-36,5.2161281634443656e-83,6.352716110694973e-61,8.839076845308358e-86,5.107128017833156e-85,1.6861032134232925e-24,3.2734857198435505e-86,8.519535785104357e-56,1.2427178542629697e-90,1.092105245920944e-93,4.216465341202173e-75,6.92086256240545e-90,1.2700220433623619e-90,5.750401321846687e-57,2.233105091702478e-105,1.7570583423394518e-106,3.0971841351951767e-106,3.76,0.0,0.7394237107133624,0.9999999999999845,8.00967528574942e-49,4.474067830331653e-53,6.473218593507509e-17,4.1116912712343493e-17,1.3076417163660053e-17,1.0538856059071522e-17,1.5589542554784967e-14,7.789109120981243e-35,4.4413683020714177e-54,4.323912961311151e-33,6.076334305991129e-41,4.253267181603045e-35,5.0164493026977884e-88,2.7795569208696254e-86,1.36557742979205e-38,2.88310082072404e-88,1.6031692729119422e-40,1.6697471356429e-104,2.045242368642881e-86,1.6728690700148874e-89,3.310020139135687e-88,1.2501022192954032e-86,1.1979405464951302e-105,1.1977136553934644e-104,1.3771689701712223e-70,1.7353326557401676e-40,4.482366884743756e-36,8.006595037739733e-42,8.939999788871215e-21,2.7190044679485476e-21,1.324688721728555e-33,3.7065996426131367e-48,3.1952757096113803e-34,3.15314005791234e-25,2.033839651720092e-23,2.30005952663383e-36,3.1373487675661886e-35,1.214108484111458e-48,5.295592467613389e-35,2.0424662216683507e-40,4.817961741845626e-20,1.8789774795820785e-45,1.891901369980317e-35,2.501219888919447e-59,1.8380318319473316e-63,1.164554156883023e-67,5.161845886150476e-36,7.60469718031759e-37,6.595801668599107e-52,2.065371052292263e-23,8.92350272444893e-68,1.0181051352583206e-48,3.884746647712785e-40,4.8179617418456196e-20,5.346176293344834e-55,7.497899568808962e-36,1.6861032134233157e-24,3.544600934656438e-39,2.5196840052848265e-69,2.724041597927797e-35,2.01765628951474e-47,1.3416995647416644e-54,1.6584275375830404e-68,1.6423509088613601e-53,1.2298917697296756e-52,1.0503873488855686e-25,1.7246166881447164e-55,2.3942616439341423e-54,4.106299103356669e-60,6.969158071255744e-64,8.269035990463412e-51,6.092604711186101e-54,1.0485353521445904e-58,8.56303818815266e-73,6.148675312588795e-75,7.063111306325215e-102,8.954675510155485e-85,1.2987239369980133e-69,5.261169430534607e-68,1.5390244557747034e-112,5.4299524223758845e-70,3.424369461162451e-84,2.675336229352619e-87,4.9486153628507036e-52,2.9018078384640135e-67,2.129329909689558e-42,1.7623549042971866e-45,1.6284699688536063e-89
2.5688279313027335e-20,0.6752966810754394,1.8322459097047054e-25,4.269971727216707e-27,1.038492484964916e-34,2.1307857648830276e-25,0.0,0.0,2.3650939696390757e-20,1.714146014171009e-36,3.711316731560909e-49,3.502282265087991e-49,4.534800000737705e-53,2.447679663136343e-62,1.172075500637816e-42,6.091235987307338e-36,6.01814063472139e-38,1.8311931284770914e-35,1.7569356107436597e-81,5.208340482633739e-60,2.977244517813583e-84,1.720221371411714e-83,3.420380804372926e-24,1.0981580079253892e-84,6.984830165326345e-55,4.185816488895969e-89,3.6783312230042784e-92,7.005720227042336e-74,2.3311366409183224e-88,4.277783873933777e-89,4.714526428397739e-56,1.513671774056789e-103,1.1904287874709947e-104,2.099378118002183e-104,3.76,0.0,0.7394237107133623,0.9999999999999685,6.566815723456641e-48,3.668111119113674e-52,1.313138628968666e-16,8.340859435941435e-17,2.6526446246284205e-17,2.1378822291168006e-17,3.162450061040281e-14,3.182105228295992e-34,3.6413020702114794e-53,1.766459530450795e-32,2.4823808298681866e-40,1.7375984243812111e-34,1.6896782828579515e-86,9.362313225229748e-85,5.578829377728095e-38,9.71107759739167e-87,6.549469581164657e-40,1.125731805086762e-102,6.88893957629798e-85,5.634683751599824e-88,1.114905943931305e-86,4.2106885643319517e-85,8.0764311253886e-104,8.074901441522572e-103,2.262010907489579e-69,7.089400141399953e-40,1.8311931284770773e-35,3.270955321870772e-41,1.813542814313777e-20,5.515694777835904e-21,5.4117856635457476e-33,3.0388943481240394e-47,1.305374386655054e-33,6.3963698321930955e-25,4.1257890077804226e-23,9.396493657208164e-36,1.2817093407155898e-34,9.95399792627943e-48,2.1634223139469316e-34,8.344140955830461e-40,9.773579533458276e-20,7.677321670988428e-45,7.729034408585746e-35,2.0506511822927202e-58,3.0189737890712985e-62,1.912784324221279e-66,2.1087824713719027e-35,3.106766933318988e-36,5.4076371236888e-51,4.1897527060739515e-23,1.4656884806329277e-66,8.34704101193809e-48,1.5870457623489213e-39,9.773579533458246e-20,4.3831183291811776e-54,3.063136624291788e-35,3.420380804373021e-24,1.4480851393392203e-38,4.138588883647938e-68,1.1128598760411191e-34,1.6541964992250631e-46,1.100006365255617e-53,2.7554859409095857e-67,9.511796201993264e-53,1.0083395797369866e-51,2.1307857648814237e-25,1.4139488978795784e-54,1.9796218276854322e-53,3.3951675067963095e-59,5.713736860944399e-63,3.3782531153029128e-50,4.995085441881877e-53,8.596526315939119e-58,1.4064819570695846e-71,1.0099218403480736e-73,4.761900060598917e-100,3.0161813318698666e-83,2.1578486686731443e-68,8.641599239545962e-67,1.0376026774905708e-110,9.021947161592871e-69,1.139338676765513e-82,9.011269232665452e-86,4.057173857214416e-51,4.766228088253115e-66,8.699007464322007e-42,7.199794826300367e-45,5.354069433533054e-88
5.173836537694238e-20,0.6752966810754394,3.690298128446131e-25,8.600083901445337e-27,4.197752664891364e-34,4.291582596877395e-25,0.0,0.0,4.7634991219490356e-20,6.928852257647004e-36,3.005520511650315e-48,2.836238982965174e-48,3.672402926008822e-52,1.9821944515749213e-61,4.737716572298349e-42,2.462174976550103e-35,2.432628666366006e-37,7.401975408132325e-35,5.766438576808017e-80,4.2178491584175e-59,9.771614616903328e-83,5.645938785546896e-82,6.888935986272073e-24,3.597256426293879e-83,5.656496561874888e-54,1.3738272119924239e-87,1.2072366610147952e-90,1.1421092122768323e-72,7.651023118121933e-87,1.40401147783565e-87,3.8179457342847754e-55,9.966696039082903e-102,7.836482758536838e-103,1.382326714128833e-102,3.76,0.0,0.7394237107133622,0.9999999999999364,5.317977629050998e-47,2.970531486485649e-51,2.6447721682044955e-16,1.6799195765382675e-16,5.3426504411539767e-17,4.305875475508298e-17,6.369441671941013e-14,1.2862578107648519e-33,2.9488208235934123e-52,7.140311854252561e-32,1.0034180212587797e-39,7.023650649479862e-34,5.545693311023542e-85,3.0728049447521333e-83,2.2550520323533175e-37,3.1872729041804056e-85,2.6474003217697665e-39,7.392496640955925e-101,2.26101894744517e-83,1.849359627088732e-86,3.659232943099922e-85,1.3819901481677538e-83,5.303660223043908e-102,5.302655704700325e-101,3.6668225444452283e-68,2.8656489011366882e-39,7.40197540813221e-35,1.3221724393307178e-40,3.6526284851667876e-20,1.1109075397602773e-20,2.1875302922120396e-32,2.4609754388637004e-46,5.276531982265106e-33,1.2882829382056963e-24,8.309687719917449e-23,3.798212973223612e-35,5.180874082826695e-34,8.061006808218091e-47,8.744898894437425e-34,3.372835185680539e-39,1.9684815116683592e-19,3.104173814353365e-44,3.124199284578503e-34,1.6606704941687373e-57,4.893887396520927e-61,3.100706316290177e-65,8.524035914558127e-35,1.2558048673774663e-35,4.37924491052446e-50,8.438516013623212e-23,2.375944570384244e-65,6.759650222919665e-47,6.415092723022123e-39,1.968481511668347e-19,3.5495628654663937e-53,1.2381687988754645e-34,6.888935986272459e-24,5.853391662519801e-38,6.708831194965834e-67,4.498357549935502e-34,1.3396111667260233e-45,8.908136741863592e-53,4.492124307150691e-66,6.1103426942775e-52,8.165795346103971e-51,4.291582596870913e-25,1.1450540483420306e-53,1.6097955935467936e-52,2.7608938311779855e-58,4.627132273459946e-62,1.365610298653615e-49,4.045149697138029e-52,6.961689891746382e-57,2.2799681524859873e-70,1.637126882924942e-72,3.1270618745589375e-98,9.899409139371352e-82,3.517837472503074e-67,1.4008495420749355e-65,6.81380891978526e-109,1.4708050895312826e-67,3.7171455163738347e-81,2.9575887912868716e-84,3.2856045789078123e-50,7.726261121735468e-65,3.516277902241299e-41,2.910272183606737e-44,1.736582221709571e-86
1.0383853750477247e-19,0.6752966810754396,7.40640265238573e-25,1.7260308250354895e-26,1.687897884166124e-33,8.613176260867077e-25,0.0,0.0,9.560309426568688e-20,2.7860610186004314e-35,2.419104382170441e-47,2.2828518837595225e-47,2.9558710985415654e-51,1.595442541625467e-60,1.9050149964631947e-41,9.900297290287285e-35,9.78149287673428e-37,2.976301756729681e-34,1.8686487101260143e-78,3.394891947655991e-58,3.1665498270689795e-81,1.829600039083285e-80,1.3826046350069895e-23,1.164598469923319e-81,4.552840537144156e-53,4.451970906141814e-86,3.912076874560731e-89,1.8445094286205877e-71,2.4793594214878761e-85,4.5497826524789214e-86,3.0730148810726255e-54,6.469468021246451e-100,5.086135457550813e-101,8.972806935453679e-101,3.76,0.0,0.739423710713362,0.9999999999998722,4.2803710494584526e-46,2.3909421707615983e-50,5.308039246676156e-16,3.371586842437343e-16,1.072266207420799e-16,8.641861968180098e-17,1.278342489285114e-13,5.171986085430317e-33,2.3734675404492147e-51,2.87108799203354e-31,4.034699731323277e-39,2.8241790350544896e-33,1.7971148971331877e-83,9.957607159100901e-82,9.067465041848798e-37,1.0328547391023417e-83,1.064508025737304e-38,4.7921299466962255e-99,7.326966359001484e-82,5.992959851144578e-85,1.1857961963865912e-83,4.478421260283539e-82,3.43805756237412e-100,3.437406391008904e-99,5.90530897366962e-67,1.152264831006201e-38,2.9763017567295893e-34,5.316397228534634e-40,7.330799826871608e-20,2.2295836637105134e-20,8.795963093895271e-32,1.980807136054634e-45,2.1216703030361633e-32,2.5855748486994134e-24,1.667748514425696e-22,1.5272447313633916e-34,2.0832066823619253e-33,6.488200055334501e-46,3.516285383987399e-33,1.3562021938926063e-38,3.950728628313428e-19,1.248880439019619e-43,1.2562267916013695e-33,1.336652088816402e-56,7.881455412007061e-60,4.993592332042107e-64,3.4274773511430094e-34,5.049536139422839e-35,3.524797355816297e-49,1.6936042628665265e-22,3.8263857898589765e-64,5.440754575361928e-46,2.5794805732020334e-38,3.950728628313379e-19,2.8569970031076758e-52,4.978622283601892e-34,1.3826046350071444e-23,2.3536230436825388e-37,1.0804366033605908e-65,1.8087697863270503e-33,1.0782355360068378e-44,7.170043440417006e-52,7.254782064440818e-65,4.2788718602771313e-51,6.572542502206734e-50,8.61317626084101e-25,9.216397434108768e-53,1.2983584650463175e-51,2.2267608953609743e-57,3.7243186450698965e-61,5.491592742595832e-49,3.2558883962727874e-51,5.603373679985736e-56,3.6718186551532127e-69,2.63654242296032e-71,2.027094168185678e-96,3.2079624020238137e-80,5.681316534560207e-66,2.2560322775086754e-64,4.417054267284815e-107,2.3753541483208946e-66,1.2010178113007263e-79,9.584242361234498e-83,2.6445404062415072e-49,1.2442905349077614e-63,1.4138798793386335e-40,1.1702076451869056e-43,5.594635165589571e-85
2.0803888176043267e-19,0.6752966810754396,1.4838612046091907e-24,3.4580756949983184e-26,6.7692254462882e-33,1.725636358885021e-24,0.0,0.0,1.9153930035806918e-19,1.1173350780833495e-34,1.941178916826937e-46,1.8318448726288464e-46,2.371901109216741e-50,1.2802421621576057e-59,7.639962174410962e-41,3.970462014999121e-34,3.922816131670174e-36,1.1936301229508033e-33,6.01734658685698e-77,2.7241869857736445e-57,1.0196794991619168e-79,5.891603648763041e-79,2.7700267077663627e-23,3.748416193257667e-80,3.6533678032858216e-52,1.4336069373671812e-84,1.2597438556145378e-87,2.9649950357486586e-70,7.98393220059966e-84,1.4651025032581956e-84,2.465900910902359e-53,4.169742246244385e-98,3.2779575172930343e-99,5.783211784340314e-99,3.76,0.0,0.7394237107133614,0.999999999999744,3.434728198838463e-45,1.918580515820867e-49,1.063457340361947e-15,6.754921374278803e-16,2.148268534032762e-16,1.7313834953078922e-16,2.5611391331106043e-13,2.0741977430039055e-32,1.90455822545804e-50,1.1514346970905592e-30,1.6180950484318483e-38,1.13262210758069e-32,5.786996316949798e-82,3.20650816677532e-80,3.636459034506771e-36,3.325956833282149e-82,4.269153296405144e-38,3.0865956638362167e-97,2.359399913302983e-80,1.9298285624918993e-83,3.8184526949004683e-82,1.442123003657776e-80,2.2144419457544168e-98,2.2140225284016068e-97,9.479332177350228e-66,4.6210974271424414e-38,1.1936301229507287e-33,2.1321130713165104e-39,1.4687142510276446e-19,4.4669359115984366e-20,3.5275746097072512e-31,1.5894729809370577e-44,8.508846855396077e-32,5.1801586717706175e-24,3.3413079993197813e-22,6.124934449489731e-34,8.354590532986736e-33,5.2063721253306106e-45,1.410187708683963e-32,5.438977373754139e-38,7.915222861603587e-19,5.0142303030742154e-43,5.038031295486518e-33,1.0725791219337511e-55,1.2651481918988185e-58,8.015821925628542e-63,1.37457171545648e-33,2.0250898379344524e-34,2.828427920653536e-48,3.393109585852351e-22,6.142196852767857e-63,4.365862899455889e-45,1.03448708305265e-37,7.915222861603397e-19,2.29256017401117e-51,1.9966502100209612e-33,2.770026707766985e-23,9.439081091489997e-37,1.7343400460839325e-64,7.253975835176881e-33,8.652159931610862e-44,5.753508307666338e-51,1.166184168464023e-63,3.1773729945730466e-50,5.274051432986341e-49,1.725636358874568e-24,7.395581022577094e-52,1.042912126888289e-50,1.78865544803707e-56,2.9885312274350185e-60,2.202802458292479e-48,2.6126453892333417e-50,4.4963544928902375e-55,5.894082315208493e-68,4.2322345346177315e-70,1.3056449080960007e-94,1.0330150081287818e-78,9.132550094367975e-65,3.6214372713625084e-63,2.8450804983292357e-105,3.818312418568287e-65,3.8618111428312756e-78,3.086278752256936e-81,2.1220771286680752e-48,1.9973618772738635e-62,5.670290689375509e-40,4.693056045366669e-43,1.7963206962054343e-83
