Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863)
2.0956117621962932e-19,0.6790127296935684,0.0,1.307631897061463e-25,0.0,0.0,0.0,0.0,0.0,0.0,4.641935225999731e-47,1.7824072926070058e-66,0.0,6.271440547947056e-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.581217832304585,0.999999999999668,0.0,0.0,1.7165655675700649e-15,1.0849724884455592e-15,3.346944257616186e-16,2.968986533628837e-16,3.319926492962962e-13,8.309851084182098e-32,1.7135851857345448e-49,3.1304806622353086e-30,3.05865299810905e-38,9.938937917317226e-33,8.951086630793173e-81,5.438422941511122e-79,1.1513251348493361e-35,5.916250342843673e-81
4.1930442122832866e-19,0.6790127296935685,0.0,2.6163998776691114e-25,0.0,0.0,0.0,0.0,0.0,0.0,3.71637067660961e-46,2.8541739749278686e-65,0.0,2.0093386302043622e-101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323045833,0.9999999999993358,0.0,0.0,3.4346225040085597e-15,2.1708876115903524e-15,6.69679637298615e-16,5.940552551195791e-16,6.64273736791385e-13,3.3261060434215315e-31,1.3719100817610153e-48,1.2530080911295942e-29,1.224258306940929e-37,3.978165329436713e-32,2.8688389312019804e-79,1.7430240702208753e-77,4.608300980418985e-35,1.8961685900359807e-79
8.387909112457274e-19,0.6790127296935691,0.0,5.233935839574363e-25,0.0,0.0,0.0,0.0,0.0,0.0,2.9742260229530644e-45,4.568537133118283e-64,0.0,6.433850782936093e-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323045799,0.9999999999986712,0.0,0.0,6.870736376885529e-15,4.3427178580112865e-15,1.3396500603770368e-15,1.1883684584971526e-15,1.3288359110449633e-12,1.330875662788946e-30,1.0979450169225855e-47,5.01366447857719e-29,4.8986278958258966e-37,1.5917843122341916e-31,9.18747647742628e-78,5.582046610048757e-76,1.8439206520695527e-34,6.072493000721e-78
1.677763891280525e-18,0.6790127296935698,0.0,1.0469007766144694e-24,0.0,0.0,0.0,0.0,0.0,0.0,2.379832708482087e-44,7.311146805033595e-63,0.0,2.059467231682559e-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.581217832304573,0.999999999997342,0.0,0.0,1.374296412263939e-14,8.686378351378551e-15,2.679590906551595e-15,2.3769948647090305e-15,2.657960256605723e-12,5.32436926570393e-30,8.785228298266605e-47,2.005792258005947e-28,1.959770136038488e-36,6.368173760066582e-31,2.941143657124023e-76,1.7869543385983277e-74,7.3768833045167385e-34,1.9439586419550426e-76
3.3557098513501197e-18,0.6790127296935716,0.0,2.0939151630324648e-24,0.0,0.0,0.0,0.0,0.0,0.0,1.904046943581658e-43,1.1699024958528864e-61,0.0,6.591311305124674e-97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323045593,0.9999999999946838,0.0,0.0,2.7487419614146793e-14,1.737369934021466e-14,5.3594725989715705e-15,4.7542476749597136e-15,5.31620893594165e-12,2.129921041751455e-29,7.028849975685127e-46,8.023821989773406e-28,7.839718534297393e-36,2.547476823076287e-30,9.413502004780158e-75,5.719373193168028e-73,2.9509934824874436e-33,6.221885346611283e-75
6.71160177148931e-18,0.6790127296935751,0.0,4.187943940284173e-24,0.0,0.0,0.0,0.0,0.0,0.0,1.523309871745359e-42,1.871939207662613e-60,0.0,2.1093822233519087e-95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323045317,0.9999999999893673,0.0,0.0,5.497633059716032e-14,3.4748341326293203e-14,1.0719235984094954e-14,9.50875328676878e-15,1.0632706247471144e-11,8.52003085202189e-29,5.623346930642854e-45,3.2096593745881665e-27,3.1360150077255555e-35,1.0190321961649032e-29,3.01261545671422e-73,1.8303785301970542e-71,1.180445430306096e-32,1.991198180714499e-73
1.3423385611767689e-17,0.6790127296935822,0.0,8.376001512450457e-24,0.0,0.0,0.0,0.0,0.0,0.0,1.2186768285998563e-41,2.9951789147991056e-59,0.0,6.750283325072224e-94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323044768,0.9999999999787342,0.0,0.0,1.0995415256318231e-13,6.949762533207558e-14,2.1438762755475463e-14,1.9017764475617732e-14,2.1265700681960688e-11,3.4080816804324407e-28,4.498784329017454e-44,1.2838898520190627e-26,1.254431515493486e-34,4.0762117331895524e-29,9.64084129480466e-72,5.857497886761749e-70,4.72187782527491e-32,6.37214610673138e-72
2.684695329232445e-17,0.6790127296935962,0.0,1.6752116727434516e-23,0.0,0.0,0.0,0.0,0.0,0.0,9.749530414023902e-41,4.792347238586841e-58,0.0,2.160132317356214e-92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323043669,0.9999999999574684,0.0,0.0,2.19909796495206e-13,1.3899619347814153e-13,4.287781630277144e-14,3.803578671423889e-14,4.253168879666206e-11,1.3632465413300317e-27,3.5990701801675975e-43,5.1356115007730593e-26,5.017777032415646e-34,1.6305012936772898e-28,3.085144776568799e-70,1.87444518057567e-68,1.8887703732655533e-31,2.039136741197422e-70
5.369408865343797e-17,0.679012729693624,0.0,3.3504347440008583e-23,0.0,0.0,0.0,0.0,0.0,0.0,7.799670739803557e-40,7.667804451414563e-57,0.0,6.912490218522213e-91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323041469,0.9999999999149364,0.0,0.0,4.3982108435917225e-13,2.7799333030827816e-13,8.575592341550321e-14,7.607183063517425e-14,8.506366200895407e-11,5.4530139126287344e-27,2.8792732351609064e-42,2.0542549291864595e-25,2.0071209632447013e-33,6.522038460042489e-28,1.1437632805447874e-68,6.949176146771047e-67,7.555120156940108e-31,7.559741916743518e-69
1.0738835937566501e-16,0.67901272969368,0.0,6.700880999558067e-23,0.0,0.0,0.0,0.0,0.0,0.0,6.239755306035098e-39,1.2268526504137417e-55,0.0,2.2120076414495662e-89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.581217832303707,0.9999999998298724,0.0,0.0,8.7964366008678e-13,5.559876061205702e-13,1.7151213771352606e-13,1.521439162518172e-13,1.70127596365097e-10,2.181211121622404e-26,2.303425431172371e-41,8.217039656877913e-25,8.028503802738499e-33,2.6088221086046207e-27,3.675712731024066e-67,2.2332568979227722e-65,3.0220559374852576e-30,2.4294749165995684e-67
