Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195),S(2224),S(2641),S(2826),C2FO(289),S(1665),C2FO(7367),S(3464),S(6251),S(5206),CFO3(444),C2H2O(907),S(5104),CF3CCH(84),S(12199),C2HF4(54),S(12715)
0.0,0.6216969386997505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006344890382163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.975353386445975e-22,0.6216969386997505,1.2195157002894836e-27,2.1760293449692247e-29,3.2381794703864483e-38,7.627775605771004e-28,0.0,0.0,2.0573702447576741e-22,2.678046455393464e-40,2.756531612209362e-54,2.644658483701487e-54,2.1404757985288683e-58,4.47616602524711e-68,8.287939538416701e-47,1.065354168632183e-39,4.826292784162396e-42,3.55156381791959e-39,2.4692214546171004e-90,3.349208924055273e-66,4.458262483696571e-93,2.543414777604913e-92,1.5950963994538105e-26,2.042435854521735e-93,1.6807584914628012e-60,3.2750698012553346e-98,1.182497304858666e-101,1.2351816072837759e-81,1.0049427754702593e-97,2.1871640541105214e-98,1.0537302475672578e-61,5.5825760288167855e-114,6.198935779234925e-115,6.416654732530114e-115,3.76,0.0,0.5006344890382163,0.9999999999999993,5.372528435288649e-53,6.61499203091584e-58,9.050568194824183e-19,5.775337343174327e-19,1.9038127781869638e-19,1.3714180734628918e-19,5.499989020643475e-16,2.7002087962934815e-38,4.930446821408407e-59,2.3387152242005737e-36,5.331555923518765e-44,4.5243679345536274e-38,7.028654846856467e-96,3.2365218301947944e-94,6.700040814991852e-42,3.4343222894171374e-96,5.68282886540905e-44,2.4074137199326387e-113,2.3064554977872602e-94,2.0056928947669095e-97,4.100953028039862e-96,1.4290301325815455e-94,1.7823423691842973e-114,1.84870041160828e-113,2.5778153618737308e-76,1.624740540531483e-43,3.551563817919589e-39,3.9662384822743544e-45,1.578290768900209e-22,4.7909167101445055e-23,1.2430105253120982e-36,1.5962906399408548e-52,2.3062397900811325e-37,2.369929835278339e-27,1.788530188208721e-25,1.1004817224985925e-39,1.625361387662888e-38,5.794479444273168e-53,3.450428639543523e-38,9.982960405593206e-44,7.080739065234687e-22,1.432290642209886e-48,1.0455013309205438e-38,2.9923050861409412e-64,8.695100621810034e-69,5.1815557879839934e-73,8.316717339438337e-39,2.60263235336451e-40,1.7755738046977628e-56,1.8122294865612374e-25,4.204265778730465e-73,6.3047628701261825e-53,1.69589375051878e-43,7.080739065234687e-22,2.381387977735438e-59,1.1754357057334391e-38,1.5950963994538808e-26,1.783482986551775e-42,6.908640055101995e-75,3.6021838103691575e-38,1.648691497827889e-51,4.430538150771643e-59,9.722519211855634e-75,2.9576210642549344e-57,4.8741539510653034e-57,7.627775605770845e-28,3.547997118649042e-60,3.333361595342234e-59,2.8972586822695235e-65,1.082069350053833e-68,2.6319955567445306e-54,3.8604446765083096e-58,1.361644671796328e-63,9.661050560285553e-79,3.9345664368291623e-81,1.2246115416918179e-110,1.944816495962494e-92,8.471607127678186e-76,1.5049499053747044e-73,1.4100135438220553e-121,2.6798830978158333e-76,8.981323681132003e-92,5.408317605940833e-95,1.1675792926344177e-56,7.689608248055739e-73
1.6730989482048733e-21,0.6216969386997505,3.414643961546004e-27,6.092882165916782e-29,1.955860400113416e-37,2.1357771696158884e-27,0.0,0.0,5.760636685321484e-22,1.617540059057652e-39,3.272554330633772e-53,3.139738551930267e-53,2.5412337959532634e-57,5.314104305172108e-67,5.005915481202639e-46,6.434739178537699e-39,2.9150808416346853e-41,2.1451445460260615e-38,1.1795768868887677e-88,3.976180834644734e-65,2.1297654876425143e-91,1.2150197603184422e-90,4.466269918470441e-26,1.0884880857169083e-91,1.995396481064968e-59,1.564540159545047e-96,5.654135327411932e-100,3.883608602358886e-80,4.800753912254704e-96,1.0448348051042077e-96,1.250988549914978e-60,4.307885480209798e-112,4.8006869446315395e-113,4.9531883872737134e-113,3.76,0.0,0.5006344890382163,0.9999999999999984,6.378265758387434e-52,7.853318539104857e-57,2.5341590945507707e-18,1.6170944560889254e-18,5.330675778923521e-19,3.839970605694936e-19,1.539996925777307e-15,1.630926112961357e-37,5.853426466376358e-58,1.4125839954139584e-35,3.220259777801804e-43,2.732718232470867e-37,3.357672764207518e-94,1.5461253165460015e-92,4.0468246522599033e-41,1.640616969528288e-94,3.43242863470966e-43,2.094164898557377e-111,1.1018214687589478e-92,9.581435641465811e-96,1.959074472937058e-94,6.826648426958728e-93,1.550426831853167e-112,1.6081504719701841e-111,5.766734955448121e-75,9.813432866114415e-43,2.14514454602606e-38,2.3956080433008117e-44,4.419214152920571e-22,1.3414566788404234e-22,7.50778357288492e-36,1.8951163403018354e-51,1.3929688332089861e-36,6.63580353880243e-27,5.0078845269847315e-25,6.646909603889818e-39,9.817182781481343e-38,6.879233691077528e-52,2.0840588982842663e-37,6.0297080849782145e-43,1.982606938265712e-21,8.651180714266745e-48,6.314828038760084e-38,3.5524645982674656e-63,1.9450667092113234e-67,1.1590977613123627e-71,5.023297273020095e-38,1.5719899414321757e-39,2.10796351266769e-55,5.074242562371143e-25,9.404810546250586e-72,7.485014479405048e-52,1.024319825349128e-42,1.982606938265712e-21,2.8271838072576825e-58,7.099631662629255e-38,4.466269918470867e-26,1.0772237238802616e-41,1.5454367508177918e-73,2.1757190214628516e-37,1.9573265433820134e-50,5.259934892598856e-58,3.0562855779086376e-73,1.9411685489205585e-56,5.786595570696254e-56,2.1357771696157926e-27,4.212384903790209e-59,5.0373760428812066e-58,4.3783373206612083e-64,1.2846327327287264e-67,1.5897322622526605e-53,4.583119919949017e-57,1.616544554366655e-62,2.161149538746271e-77,8.801482414170511e-80,1.0652671966689318e-108,9.290621779189616e-91,2.6635878549299855e-74,3.3673549530339e-72,1.2265451923257029e-119,8.425981240829103e-75,5.171229554608432e-90,2.583618220165324e-93,1.3861501362155642e-55,1.720134606656824e-71
3.824226167325424e-21,0.6216969386997505,7.804900487000846e-27,1.3926587807823714e-28,9.416625899883809e-37,4.881776387693492e-27,0.0,0.0,1.3167169566449097e-21,7.787759092284186e-39,3.2130132480696607e-52,3.082613928850021e-52,2.4950251086821615e-56,5.217419119024122e-66,2.410132817770004e-45,3.0980499223813573e-38,1.4034859416353214e-40,1.0327947582548852e-37,6.142031855146885e-87,3.903837921897752e-64,1.1089644739418438e-89,6.326582701659091e-89,1.0208616956502792e-25,5.303999247945656e-90,1.959092097650064e-58,8.146528342959925e-95,2.9418920731617863e-98,8.664117154862111e-79,2.499735617443959e-94,5.440431937921207e-95,1.228227976573822e-59,4.694950170945173e-110,5.225092095400819e-111,5.3983280568723625e-111,3.76,0.0,0.5006344890382163,0.9999999999999964,6.262219144190553e-51,7.710434711240211e-56,5.792363644687476e-18,3.696215899632366e-18,1.2184401780396732e-18,8.777075670154373e-19,3.5199929731917625e-15,7.852207179622856e-37,5.746928815034558e-57,6.80098387192744e-35,1.550416462553924e-42,1.315686195368897e-36,1.7483332471501017e-92,8.050642468743028e-91,1.948371869006739e-40,8.542658546878131e-93,1.6525666340646863e-42,2.1767255843757474e-109,5.737161544692859e-91,4.989033674148504e-94,1.020086016481489e-92,3.554621682804031e-91,1.6115511027415166e-110,1.6715504487119896e-109,1.1394352098523482e-73,4.724745493784103e-42,1.0327947582548837e-37,1.1533821506560331e-43,1.0101060920961241e-21,3.066186694492218e-22,3.614674607607355e-35,1.8606365013559568e-50,6.706545309555664e-36,1.5167550945942926e-26,1.1446593204538008e-24,3.2002008490233874e-38,4.726550915319929e-37,6.75408456690982e-51,1.0033846483792237e-36,2.903044885946382e-42,4.5316730017502e-21,4.1653190405249003e-47,3.040317870316941e-37,3.487830808408707e-62,3.843131258103305e-66,2.290186149708078e-70,2.41850140230768e-37,7.568454883584163e-39,2.069612081015307e-54,1.1598268713989666e-24,1.8582355667047486e-70,7.348831601391936e-51,4.9316590270450103e-42,4.531673001750199e-21,2.775745827127765e-57,3.418167032271768e-37,1.0208616956504843e-25,5.186368524936553e-41,3.053524138782747e-72,1.0475150520551717e-36,1.921714801066492e-49,5.164235268547667e-57,6.818099402633186e-72,1.092224344662829e-55,5.681313845335445e-55,4.881776387693033e-27,4.135833310335079e-58,5.418979278316045e-57,4.710015494642241e-63,1.2612600354915858e-66,7.653947268695956e-53,4.499734314932973e-56,1.5871330294758595e-61,4.270078076029717e-76,1.739026022494227e-78,1.1072643633395005e-106,4.837607498958399e-89,5.942307808145383e-73,6.6540708768576424e-71,1.2749015233100312e-117,1.8797900635711348e-73,2.3195420758267233e-88,1.34528465083788e-91,1.3609304234946263e-54,3.3986961152802766e-70
8.126480605566527e-21,0.6216969386997505,1.6585413549677732e-26,2.959399909168483e-28,4.112487927390805e-36,1.0373774823848808e-26,0.0,0.0,2.798023532870427e-21,3.401118998349689e-38,2.8418738318073916e-51,2.726537110876778e-51,2.2068320569382116e-55,4.614748125380547e-65,1.0525683213772963e-44,1.352999794161808e-37,6.129391835895508e-40,4.510486048797502e-37,2.4511236036044006e-85,3.452900432383244e-63,4.42558610178685e-88,2.524773077382937e-87,2.1693311032563854e-25,2.0657226473234598e-88,1.7327947743606366e-57,3.2510657431026436e-93,1.1737192915181733e-96,1.6226932554672402e-77,9.975778848649992e-93,2.1711333954212817e-93,1.0863537360514985e-58,3.8407621878819156e-108,4.271935088657147e-109,4.4161937211474785e-109,3.76,0.0,0.5006344890382163,0.9999999999999925,5.538861915663411e-50,6.819792184202731e-55,1.2308772744960887e-17,7.85445878672107e-18,2.589185378334353e-18,1.8651285799054657e-18,7.479985067974819e-15,3.42926517129418e-36,5.083093455001138e-56,2.970168334685304e-34,6.771076022813549e-42,5.745947276890303e-36,6.977139035364606e-91,3.2128000722712116e-89,8.509051835112492e-40,3.409150773223971e-91,7.217192659107359e-42,1.7424008103259396e-107,2.2895505665524272e-89,1.9909923725003186e-92,4.070895509575038e-91,1.4185562014156786e-89,1.2899962987736444e-108,1.3380239003194304e-107,2.0275848185683341e-72,2.0634204884398303e-41,4.510486048797491e-37,5.0371228725984886e-43,2.1464754457042363e-21,6.515646725795198e-22,1.5786233671461294e-34,1.6457119305198412e-49,2.9289245334027593e-35,3.223104576059319e-26,2.4324010559649565e-24,1.3976117875706094e-37,2.064208962327994e-36,5.973916131475762e-50,4.382044372219935e-36,1.2678359715102094e-41,9.629805128719174e-21,1.819234230351059e-46,1.3277866902690899e-36,3.084946851613732e-61,6.838652589030027e-65,4.075267377094417e-69,1.0562231021076478e-36,3.305343088773101e-38,1.830548846872699e-53,2.4646321017221566e-24,3.3066337358063973e-69,6.499958328528295e-50,2.1537850637129552e-41,9.629805128719168e-21,2.4551157501125494e-56,1.4928033462803586e-36,2.1693311032572804e-25,2.2650233929658143e-40,5.433584311598134e-71,4.574773439166976e-36,1.6997349681170803e-48,4.567707611936571e-56,1.2769318274665244e-70,6.155042856681474e-55,5.0250577573351113e-54,1.0373774823846803e-26,3.6581330055357e-57,4.980975564688171e-56,4.3293157038498275e-62,1.1155702193759694e-65,3.3427420197370945e-52,3.9799640436822705e-55,1.403801190897369e-60,7.5983845287868505e-75,3.0945050396460085e-77,8.863304944854414e-105,1.9305621610444446e-87,1.1129277309430366e-71,1.18411723053997e-69,1.0205201500138772e-115,3.5206387486727295e-72,8.72759552355948e-87,5.3686778914715695e-90,1.2037275475342716e-53,6.04779814550065e-69
1.6730989482048732e-20,0.6216969386997505,3.414643972210031e-26,6.092882165959609e-28,1.7168827551989093e-35,2.135777169615989e-26,0.0,0.0,5.760636685321443e-21,1.4199002306496046e-37,2.3887661914195267e-50,2.291818728383204e-50,1.8549795203246115e-54,3.878973858807839e-64,4.39426554325391e-44,5.648507802078253e-37,2.5589004341712415e-39,1.883039136296478e-36,8.711677078974025e-84,2.9023708663142578e-62,1.5729226157782197e-86,8.973438956464904e-86,4.46626991846714e-25,7.266074506566391e-87,1.4565184165696972e-56,1.1554797808838735e-91,4.171111344412506e-95,2.8027990635194844e-76,3.545546589710657e-91,7.716547875646073e-92,9.13145772893114e-58,2.7642249042521313e-106,3.073656467232715e-107,3.1783752600233574e-107,3.76,0.0,0.5006344890382163,0.9999999999999846,4.65574718158237e-49,5.732446254136713e-54,2.5341590945507708e-17,1.617094456090576e-17,5.3306757789238635e-18,3.839970605678085e-18,1.5399969257357513e-14,1.4316507037961167e-35,4.2726463282868786e-55,1.2399868118266618e-33,2.8267909505998204e-41,2.3988198789067857e-35,2.4797844918057974e-89,1.1418794657782548e-87,3.552361640173976e-39,1.2116655802572192e-89,3.0130358644736464e-41,1.2405042370619574e-105,8.137421311620027e-88,7.076298728753476e-91,1.446860024052296e-89,5.041770919488447e-88,9.184143309223055e-107,9.526076364256888e-106,3.4198347476593324e-71,8.614374363505876e-41,1.8830391362964685e-36,2.1028996434009147e-42,4.419214152920372e-21,1.3414566788398725e-21,6.590441805202626e-34,1.3833200455710468e-48,1.2227683367007652e-34,6.635803539137082e-26,5.007884526989272e-24,5.834754092664113e-37,8.61766607735377e-36,5.02143837485612e-49,1.8294172646856697e-35,5.292965607044364e-41,1.982606938265713e-20,7.596031017697342e-46,5.543248056540717e-36,2.5930837107789495e-60,1.1534391831979285e-63,6.873536875197036e-68,4.4095235333610195e-36,1.3799156737540188e-37,1.5386867627739196e-52,5.074242562366477e-24,5.5771233669967435e-68,5.4636066269420245e-49,8.99162867023676e-41,1.98260693826571e-20,2.0636727203616554e-55,6.232160111788714e-36,4.466269918470876e-25,9.45602679510134e-40,9.16453513539143e-70,1.9098778562560572e-35,1.4287296394192234e-47,3.839433472878999e-55,2.2055633698186946e-69,3.727108383277707e-54,4.223863827429871e-53,2.1357771696151517e-26,3.0748951979767834e-56,4.261329463146691e-55,3.703820732507577e-61,9.377039897190793e-65,1.39558094059002e-51,3.345399589527795e-54,1.179979486376136e-59,1.2815793104548714e-73,5.219335970569694e-76,6.310239945305098e-103,6.86152029230037e-86,1.922305263438754e-70,1.9972363196115543e-68,7.265623599539823e-114,6.081027917311097e-71,3.0222327894352e-85,1.9081122088723767e-88,1.0118055337281086e-52,1.020049553713394e-67
3.394000723501314e-20,0.6216969386997505,6.926849225522068e-26,1.2359846679617474e-27,7.014026260035982e-35,4.332576544078382e-26,0.0,0.0,1.1685862990223403e-20,5.800755744240373e-37,1.9584548469152826e-49,1.8789714602140843e-49,1.5208259583235247e-53,3.180217127166901e-63,1.7952008557668295e-43,2.3075997434159415e-36,1.0453943222277723e-38,7.69282929246659e-36,2.9343327504123625e-82,2.3795389901281624e-61,5.298036567388219e-85,3.0225013773415285e-84,9.060147548882822e-25,2.4356541569758725e-85,1.1941417970434533e-55,3.8919747810124924e-90,1.404871721426073e-93,4.656892563486931e-75,1.1942375130147857e-89,2.599145804401454e-90,7.486520745925044e-57,1.873681797541957e-104,2.0831285188031083e-105,2.1544090258638387e-105,3.76,0.0,0.5006344890382163,0.9999999999999687,3.817062827858344e-48,4.699805778971377e-53,5.140722734660135e-17,3.280391610930429e-17,1.0813656580103485e-17,7.789654657193576e-18,3.123993763538923e-14,5.848760261134648e-35,3.502973602350797e-54,5.065750723850795e-33,1.1548363392156394e-40,9.799961921015065e-35,8.35259712430351e-88,3.846164524929715e-86,1.4512556407456702e-38,4.0812233785152854e-88,1.2309234635915239e-40,8.363392541266091e-104,2.7409076098793086e-86,2.383492299745297e-89,4.8734230399394816e-88,1.698207300731588e-86,6.1918849895534664e-105,6.422413856522647e-104,5.617102101855785e-70,3.519253015289602e-40,7.692829292466513e-36,8.59103120298418e-42,8.964691567352288e-21,2.7212406913596046e-21,2.6924105182452242e-33,1.1341293525772348e-47,4.995407634905209e-34,1.3461201465883442e-25,1.0158851469045914e-23,2.3836874301810205e-36,3.520597780103805e-35,4.1168793226468594e-48,7.473766450394256e-35,2.162349155692131e-40,4.021859789053303e-20,3.1041141970054096e-45,2.2645977028271297e-35,2.125966693624793e-59,1.8945276961070028e-62,1.1289807186970687e-66,1.801434242583923e-35,5.637405782682978e-37,1.2615084345995987e-51,1.0293463483646881e-23,9.16044368612904e-67,4.4793948098846956e-48,3.6733737035950283e-40,4.021859789053293e-20,1.6919235789427458e-54,2.5460407560384094e-35,9.060147548898085e-25,3.863095488531809e-39,1.505277728166866e-68,7.802474220597873e-35,1.1713588490898627e-46,3.1477995298929173e-54,3.6645609872465927e-68,2.4685670021887217e-53,3.46297876074248e-52,4.332576544074962e-26,2.5209904269658422e-55,3.523349606161987e-54,3.0623906066826627e-60,7.6878638804438e-64,5.701828045284116e-51,2.7427607040075773e-53,9.674184743870921e-59,2.1049984247380468e-72,8.572775739066129e-75,4.254319477146492e-101,2.3111490070630667e-84,3.193938428476509e-69,3.280506711309063e-67,4.898457801979185e-112,1.0103718834087174e-69,1.0055388722807789e-83,6.427047431097475e-87,8.295393072656392e-52,1.6754344549869566e-66
6.835804274094196e-20,0.6216969386997505,1.3951259807456236e-25,2.4893775707235646e-27,2.835181558938012e-34,8.726175293003877e-26,0.0,0.0,2.3536315600027028e-20,2.3447582179267653e-36,1.5860075114066784e-48,1.521639805450856e-48,1.231604960908036e-52,2.5754222822555454e-62,7.256488886879818e-43,9.327687116308978e-36,4.225650994645894e-38,3.109564597898417e-35,9.630773872157153e-81,1.9270123680205768e-60,1.738868650299089e-83,9.920152161434363e-83,1.8247902809690866e-24,7.9755079589598235e-84,9.67046987468167e-55,1.2773855193374807e-88,4.610813460267396e-92,7.591910217621243e-74,3.919606739361497e-88,8.530656716001588e-89,6.06277860170851e-56,1.2337162792041515e-102,1.3715288374434697e-103,1.4185605421845727e-103,3.76,0.0,0.5006344890382163,0.999999999999937,3.0911564420366325e-47,3.80602457052922e-52,1.0353850014878863e-16,6.606985920621794e-17,2.1779618182465137e-17,1.5689022760105562e-17,6.291987438851799e-14,2.3641624111863083e-34,2.8367988439123983e-53,2.0476574368085666e-32,4.668033125377594e-40,3.961301296407371e-34,2.7414060103815527e-86,1.2623497084759107e-84,5.866207335937908e-38,1.3394983780338984e-86,4.975589447684766e-40,5.492103091408291e-102,8.995933220914351e-85,7.822860385784738e-88,1.5995062391519038e-86,5.573686401412433e-85,4.066109598971521e-103,4.217494135447334e-102,9.10557516412882e-69,1.4225383430059047e-39,3.1095645978983537e-35,3.4726321713681936e-41,1.8055646396214708e-20,5.480808716395176e-21,1.0883153794144821e-32,9.18447355019454e-47,2.0192236357242055e-33,2.711199732173951e-25,2.0460785353191246e-23,9.635245711538854e-36,1.4230819122211867e-34,3.333955916102965e-47,3.021015894492916e-34,8.740561017188256e-40,8.100365490628484e-20,1.2554502409476483e-44,9.153865992848164e-35,1.721662947921112e-58,3.0711113351913233e-61,1.8301265742851663e-65,7.281685233046576e-35,2.2787295517246702e-36,1.0216022622780347e-50,2.0731905326174736e-23,1.4849475410652092e-65,3.627530053050315e-47,1.4848363849514758e-39,8.100365490628441e-20,1.3701635818251111e-53,1.0291503812765511e-34,1.8247902809752558e-24,1.5615249621898134e-38,2.4401201282281948e-67,3.153884830789466e-34,9.485967177168026e-46,2.5491696715648535e-53,5.974146624134156e-67,1.762577420507585e-52,2.804409984094003e-51,8.726175292990053e-26,2.041565629374685e-54,2.865129385421946e-53,2.4902851827431016e-59,6.225831549762456e-63,2.305113282284076e-50,2.221158728950913e-52,7.834405627354061e-58,3.4122936042523798e-71,1.3896839487831467e-73,2.793742009374663e-99,7.585422454939943e-83,5.2069253250416765e-68,5.317874985476962e-66,3.216770403071914e-110,1.6471611746557036e-68,3.280612696518821e-82,2.1094213203786876e-85,6.717824382823561e-51,2.715951450891716e-65
1.3719411375279962e-19,0.6216969386997505,2.8000081272564917e-25,4.996163376368176e-27,1.1400140352675098e-33,1.7513372790857703e-25,0.0,0.0,4.723722081963309e-20,9.428169668070321e-36,1.2765568247131863e-47,1.2247480972626374e-47,9.913030902308673e-52,2.0729239093998235e-61,2.9178022661751436e-42,3.750621964782222e-35,1.6991156798826145e-37,1.250342248553746e-34,3.120909541836216e-79,1.5510272002315613e-59,5.634907269427384e-82,3.2146843016899435e-81,3.6623413331213694e-24,2.5815619967431575e-82,7.783635467098236e-54,4.139446501569598e-87,1.4941430300895573e-90,1.2260955280939019e-72,1.2701718166185072e-86,2.7644100292109945e-87,4.8798516692783505e-55,8.008157959533283e-101,8.902399261175912e-102,9.208000621278032e-102,3.76,0.0,0.5006344890382162,0.9999999999998737,2.488031629083723e-46,3.0634196910561157e-51,2.078010457531632e-16,1.3260174540051152e-16,4.3711541387198065e-17,3.148775896545356e-17,1.2627974788303676e-13,9.50619307577721e-34,2.2833025055104203e-52,8.233540492894288e-32,1.8769955888166327e-39,1.592821828867673e-33,8.883689205551682e-85,4.0907193005741846e-83,2.3587761694487393e-37,4.340724153386896e-85,2.0006626335719842e-39,3.560214224342684e-100,2.915185657857544e-83,2.5350444298442927e-86,5.183295089630045e-85,1.806186224365132e-83,2.635824745167648e-101,2.733958624189712e-100,1.4664256569122187e-67,5.719964161666914e-39,1.2503422485536955e-34,1.3963301231981576e-40,3.6237556053933877e-20,1.0999944766450739e-20,4.3760682747702867e-32,7.39246334837726e-46,8.119209430558027e-33,5.4413589042905e-25,4.1064653121610114e-23,3.874289923192887e-35,5.722149779525768e-34,2.683457890015879e-46,1.2147372042641215e-33,3.514541142624163e-39,1.6257376893778847e-19,5.053881548988928e-44,3.6807292555589794e-34,1.385744121802427e-57,4.9459303673175857e-60,2.9473625706336824e-64,2.927933606166726e-34,9.162671305322652e-36,8.222743881328629e-50,4.1608789011098647e-23,2.391462351812252e-64,2.9197517744397658e-46,5.970461812614755e-39,1.6257376893778678e-19,1.1028268546312436e-52,4.138168419406427e-34,3.662341333146175e-24,6.278823195748023e-38,3.9297382927136855e-66,1.2681632191662705e-33,7.635130875118523e-45,2.0517935244946684e-52,9.648252511395621e-66,1.3237299621807016e-51,2.25723313312371e-50,1.7513372790802115e-25,1.643230517758169e-53,2.3108306457835934e-52,2.008505217118085e-58,5.0110909597968265e-62,9.2715193117219e-50,1.7877817814571605e-51,6.305811229339768e-57,5.4953940133354966e-70,2.238043205513062e-72,1.811022091240611e-97,2.4581012559695105e-81,8.409197967409879e-67,8.56429959650179e-65,2.0852901965051094e-108,2.6601696968697158e-67,1.0599723503102265e-80,6.83570523243269e-84,5.407089500804611e-50,4.3739560834975766e-64
2.748662557765149e-19,0.6216969386997506,5.609772540774371e-25,1.000973498814131e-26,4.57196616516244e-33,3.5087767786576697e-25,0.0,0.0,9.463903125884045e-20,3.781117722090825e-35,1.0243564570851985e-46,9.827832195861357e-47,7.954584126525915e-51,1.6633908890506425e-60,1.1701692105987876e-41,1.5041671585231693e-34,6.814213824581626e-37,5.014431646747434e-34,1.0049825994192888e-77,1.2446016481638283e-58,1.8145299256391722e-80,1.0351795669342203e-79,7.33744343738863e-24,8.308338116412908e-81,6.245877266250423e-53,1.3329695088583228e-85,4.8113491203255566e-89,1.9709127520627717e-71,4.0901555446894337e-85,8.901840750634405e-86,3.915773643565296e-54,5.161468241258114e-99,5.73773007080777e-100,5.934799270974069e-100,3.76,0.0,0.500634489038216,0.999999999999747,1.996488691580777e-45,2.4582013747033963e-50,4.163261369619122e-16,2.6566551779096386e-16,8.757538779670245e-17,6.308523137424561e-17,2.5299949482511936e-13,3.81240859829372e-33,1.8322064633159514e-51,3.3020179907333533e-31,7.52759181681012e-39,6.387927940881235e-33,2.86068947497381e-83,1.3172767950847012e-81,9.45974742940243e-37,1.3977823419538567e-83,8.023551979621561e-39,2.2931226634703387e-98,9.387362315292009e-82,8.163246992573149e-85,1.6691036086776363e-83,5.816207434877119e-82,1.6977263385474606e-99,1.760934058100795e-98,2.3539386217773676e-66,2.293961500542186e-38,5.014431646747027e-34,5.59990832019944e-40,7.260137536934959e-20,2.2038216866499576e-20,1.754999102615359e-31,5.931986277596418e-45,3.2561661221653687e-32,1.0901677252304948e-24,8.227238865896064e-23,1.5537635409988529e-34,2.2948379909142725e-33,2.1533060068269998e-45,4.871639493585695e-33,1.4094881898841869e-38,3.257139970007958e-19,2.031461688123627e-43,1.4761370561187041e-33,1.111972386668802e-56,7.939313788905027e-59,4.7311697818322867e-63,1.1742323310830907e-33,3.674641003928287e-35,6.598234155111012e-49,8.336255638041929e-23,3.8388267951020183e-63,2.342916919063155e-45,2.3944222336806835e-38,3.2571399700078895e-19,8.849491011494148e-52,1.6595906202653974e-33,7.337443437488111e-24,2.5180889296450254e-37,6.308100305309723e-65,5.085901708681365e-33,6.126710448488574e-44,1.6464350860766847e-51,1.5509275881637748e-64,1.0241652975107987e-50,1.811287433385792e-49,3.5087767786353776e-25,1.3185893581245386e-52,1.8561848430560746e-51,1.6133406183268706e-57,4.02108505771831e-61,3.7205078439593675e-49,1.4345822889837512e-50,5.060016389533266e-56,8.821324728526635e-69,3.592555036242496e-71,1.1664735704507725e-95,7.915477710400246e-80,1.3517539858406468e-65,1.374761829154748e-63,1.3431843728720684e-106,4.276145094508803e-66,3.408285490297893e-79,2.2012060024563037e-82,4.338848797786133e-49,7.021168199019542e-63
