Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455)
0.0,0.7981119286310653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6866444490008714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0844836584831573e-22,0.7981119286310653,1.8670399317377324e-26,9.476485084848446e-27,3.2984412262852277e-41,1.9115329482826017e-41,0.0,0.0,1.2872108640947972e-21,2.11788107817244e-39,2.5731448799235733e-54,4.4065750996291416e-67,6.565696424141138e-57,2.352304459234014e-81,3.835231252168962e-59,1.17246443283667e-51,3.7104540426127285e-84,3.470303241370891e-38,6.1391301582657635e-108,3.631412912790826e-73,-1.0103143984927732e-113,9.870881936826123e-117,1.2197228535685392e-37,2.1905502319582325e-96,2.3838199722487945e-60,2.02071985282165e-110,1.2160544049620197e-120,1.418143860528936e-106,-1.814153035395522e-184,4.08647222514548e-147,2.554506017820684e-59,-3.254070410688675e-150,8.348966505725993e-132,9.943372079453483e-156,3.76,0.0,0.6866444490008714,0.9999999999999996,2.079033593978442e-56,7.306763253965075e-97,1.3939732853514687e-17,8.589410792031189e-18,2.380001066819797e-18,2.9703209946637e-18,4.355656307096635e-16,1.5381745025090793e-35,5.536107451603291e-55,1.3538072285136438e-34,2.746958917212545e-43,1.6374745970310797e-37,2.833878909563319e-91,3.433333717674403e-89,7.720843157511623e-40,3.289055619916819e-91,3.500131980841971e-41,9.154670447669623e-110,3.0459189587595048e-89,1.7031209371794983e-92,3.0281471732273153e-91,1.988424483044903e-89,6.076128910874882e-111,5.1178790798453544e-110,7.223746778296084e-107,5.9862741444999685e-43,3.470303241370891e-38,4.9869544368389005e-55,9.851123424625609e-22,3.021171920315405e-22,5.4101018830957805e-36,5.5639098631147034e-52,4.238410621076175e-36,9.457238950207287e-37,1.1370318904371611e-36,1.0461908336108804e-37,1.1319999565741711e-36,4.292923328029367e-52,1.2197228535685509e-37,3.1334759439756305e-42
3.0365542437528403e-22,0.7981119286310653,5.227711810637475e-26,2.653415823757825e-26,1.992258500730293e-40,1.1545659010892212e-40,0.0,0.0,3.604190419465431e-21,1.279200171216153e-38,3.0548376014460633e-53,9.8573322348656e-66,7.794794795018126e-56,5.26201098312765e-80,4.553186542574596e-58,1.3919497746635768e-50,8.494610763022513e-83,2.0960631577886124e-37,4.737227866969324e-106,1.1417743223880825e-71,5.238206753885716e-112,1.0518190689104005e-114,7.3671260355533056e-37,1.332618604953792e-94,2.8300710710544704e-59,1.5592779666881389e-108,9.383621151150587e-119,1.0943033356299208e-104,4.602893107419141e-179,2.9182048368135116e-143,3.0327095443574914e-58,1.2622843881916985e-147,8.896566341245921e-130,1.821153368554643e-153,3.76,0.0,0.6866444490008714,0.9999999999999988,2.4682288555133163e-55,3.4905284882070285e-95,3.9031251989841125e-17,2.4050350217688095e-17,6.664002987095494e-18,8.31689878505753e-18,1.2195837659866738e-15,9.290573995155081e-35,6.572466766543571e-54,8.17699566021929e-34,1.659163185996086e-42,9.890346566069124e-37,1.3537779616460061e-89,1.6401447169377033e-87,4.6633892671381074e-39,1.5712213383027394e-89,2.1140797164291246e-40,7.963479376493271e-108,1.455072037626991e-87,8.136013091422219e-91,1.4465822424176524e-89,9.498942366443553e-88,5.285512738799101e-109,4.4519488425833335e-108,6.283804405448734e-105,3.615709584065781e-42,2.0960631577886124e-37,5.920570789331368e-54,2.758314558895163e-21,8.459281376882941e-22,3.267701537389807e-35,6.605500091138586e-51,2.560000015129982e-35,5.712172325925301e-36,6.867672618240376e-36,6.318992635009212e-37,6.837279737707428e-36,5.096858654270803e-51,7.3671260355534425e-37,1.89261947016125e-41
6.940695414292207e-22,0.7981119286310653,1.194905557552426e-25,6.064950454304826e-26,9.59186708684767e-40,5.558737818503753e-40,0.0,0.0,8.238149530206688e-21,6.158798175325444e-38,2.99925767204137e-52,1.947642739354138e-64,7.652975752839865e-55,1.0396846977969243e-78,4.4703455475269115e-57,1.3666245429140563e-49,1.6955985196967067e-81,1.0091641825915293e-36,5.162862660408304e-104,2.5472357043303255e-70,5.499828689695708e-110,2.393694105168204e-112,3.5469540581763035e-36,6.016077387763059e-93,2.7785805596553295e-58,1.6993774033218628e-106,1.022673072779327e-116,1.1926253052221376e-102,8.799528997698604e-176,1.2238219743863689e-140,2.977532214374148e-57,6.317746002934301e-145,2.024646308072567e-127,8.473896879943797e-151,3.76,0.0,0.6866444490008714,0.9999999999999972,2.4233218025490057e-54,1.8175109481306942e-93,8.9214290262494e-17,5.497222906900498e-17,1.523200682764714e-17,1.9010054365841866e-17,2.7876200365391577e-15,4.473011453296766e-34,6.452886845589243e-53,3.936871420512998e-33,7.988156531249667e-42,4.76177612816845e-36,7.049093779562171e-88,8.540199537357995e-86,2.2452211902059834e-38,8.181316933747595e-88,1.0178383800296909e-39,8.277432837978896e-106,7.576529933143335e-86,4.2364051489976606e-89,7.532323745509458e-88,4.946079596851277e-86,5.49388962302489e-107,4.627463172866065e-106,6.531538097133202e-103,1.7408085223797465e-41,1.0091641825915293e-36,5.812877135900688e-53,6.30471899176034e-21,1.9335500290017247e-21,1.5732576276041862e-34,6.485330684787671e-50,1.232529808608911e-34,2.7501650867204294e-35,3.306488737391148e-35,3.042322944139679e-36,3.29185587371684e-35,5.00425754366313e-50,3.54695405817644e-36,9.112148045080672e-41
1.4748977755370939e-21,0.7981119286310653,2.5391743133647002e-25,1.2888019715402983e-25,4.189020358219473e-39,2.4276468493801148e-39,0.0,0.0,1.7506067751689176e-20,2.6897089692789874e-37,2.652809445411137e-51,3.465726192527147e-63,6.768970387240432e-54,1.8500633695886337e-77,3.953970011733532e-56,1.2087639316765233e-48,3.0313253772814678e-80,4.407285116549989e-36,4.223542219284838e-102,4.770690566174663e-69,4.394533635192545e-108,4.0452372159838066e-110,1.549048024031002e-35,2.2715563519488867e-91,2.4576230385940575e-57,1.3901962305784542e-104,8.366102983039625e-115,9.756415499984693e-101,1.1928285089032288e-172,3.908659899281009e-138,2.63359352413732e-56,2.1984601876664417e-142,3.421558319940312e-125,2.9200884149039678e-148,3.76,0.0,0.6866444490008713,0.9999999999999941,2.1434007214137567e-53,7.253209087657485e-92,1.8958036680779972e-16,1.1681598677165101e-16,3.236801450875143e-17,4.039636552739725e-17,5.923692577637978e-15,1.9534816181869068e-33,5.7075053383058676e-52,1.719335180207495e-32,3.4886378248553515e-41,2.0795927382315946e-35,2.8131082820290013e-86,3.4081694470180876e-84,9.8054708100562e-38,3.264948820935386e-86,4.445167615677966e-39,6.625826327322389e-104,3.023594205217946e-84,1.6906380853128724e-87,3.0059526761951834e-86,1.9738505278206096e-84,4.3976869660141966e-105,3.7041396674112506e-104,5.228292144329198e-101,7.602568175387691e-41,4.407285116549989e-36,5.141434175344311e-52,1.3397527857490574e-20,4.10879381162828e-21,6.870829391530955e-34,5.7362061238341155e-49,5.382781488766322e-34,1.2010693466764811e-34,1.4440305008550722e-34,1.3286623586850307e-35,1.4376399448483192e-34,4.426261347568261e-49,1.5490480240311234e-35,3.979514448848573e-40
3.0365542437528404e-21,0.7981119286310654,5.227711836328923e-25,2.653415823761594e-25,1.7488335389299378e-38,1.0134947737345244e-38,0.0,0.0,3.6041904194654023e-20,1.1229005476470176e-36,2.2298461826329797e-50,5.845453784882397e-62,5.689727473297842e-53,3.120402283755635e-76,3.323550039424905e-55,1.016038918063936e-47,5.124373687602978e-79,1.8399547785828746e-35,3.039714009593688e-100,8.240181566113686e-68,3.1352773105302907e-106,5.923118357584801e-108,6.466970569611012e-35,7.881084229118465e-90,2.0657802468392695e-56,1.0005343237497107e-102,6.021148342824823e-113,7.021763093402614e-99,1.3944557906559788e-169,1.110475484990198e-135,2.2136940429559853e-55,6.518399805904828e-140,5.009911735234441e-123,8.64081596232987e-146,3.76,0.0,0.6866444490008711,0.9999999999999879,1.8016574682742565e-52,2.5779041176264554e-90,3.903125198984111e-16,2.4050350217699215e-16,6.664002987096402e-17,8.316898785045482e-17,1.219583765981103e-14,8.155401212306519e-33,4.79750213984189e-51,7.177885925535839e-32,1.4564376179019604e-40,8.68189031347783e-35,9.998227434063368e-85,1.211316801512697e-82,4.0935910421274e-37,1.1604139478337736e-84,1.855769976250175e-38,4.717264583653763e-102,1.0746327372139254e-82,6.008792549371517e-86,1.0683626614962836e-84,7.015373927829631e-83,3.1309382332020027e-103,2.637166445780758e-102,3.722288533857464e-99,3.1739225620542537e-40,1.8399547785828746e-35,4.321689254210525e-51,2.7583145588950584e-20,8.459281376880163e-21,2.8684360184167663e-33,4.821628694212165e-48,2.2472053112942105e-33,5.014228091401303e-34,6.02854308309672e-34,5.546903799797799e-35,6.001863769748349e-34,3.7205600699996965e-48,6.466970569612029e-35,1.6613689454954493e-39
6.1598671801843336e-21,0.7981119286310653,1.060478692761606e-24,5.382643528210841e-25,7.144555640162576e-38,4.140456865864466e-38,0.0,0.0,7.311357708058324e-20,4.587415130564548e-36,1.828162622162529e-49,9.601175394454242e-61,4.664782344351007e-52,5.125270121041959e-75,2.72484712275204e-54,8.330100915134029e-47,8.426592892901457e-78,7.516815633006841e-35,2.0604171340067067e-98,1.36911849144482e-66,2.1219107109667092e-104,8.099363340148376e-106,2.641968489735655e-34,2.62473009684846e-88,1.6936514555513854e-55,6.781947437573276e-101,4.081334832475901e-111,4.759579665366684e-97,1.5228520000957644e-166,2.9901932772710003e-133,1.8149201221837624e-54,1.7930738563613413e-137,6.850628257638717e-121,2.375732712609293e-143,3.76,0.0,0.6866444490008706,0.9999999999999754,1.4771076494968154e-51,8.683091082975759e-89,7.917768260796337e-16,4.8787853298787075e-16,1.3518406059540524e-16,1.6871423249635727e-16,2.4740127824058777e-14,3.331747499417629e-32,3.933282107114504e-50,2.9324006092128622e-31,5.950022893004051e-40,3.546835476169298e-34,3.367678360273741e-83,4.08004859537031e-81,1.672365511302102e-36,3.908593765106626e-83,7.581425875848527e-38,3.1803466893067116e-100,3.619659022755694e-81,2.0239268183589835e-84,3.598539680937854e-83,2.3629711487935853e-81,2.110856592375181e-101,1.7779591172502358e-100,2.509540816596549e-97,1.296650933785482e-39,7.516815633006841e-35,3.5431835618320027e-50,5.595438105186875e-20,1.716025650737902e-20,1.1718497082855564e-32,3.953063236225061e-47,9.180566941672649e-33,2.048475785571884e-33,2.46285655596157e-33,2.2660911932285096e-34,2.451957185931224e-33,3.050348171551428e-47,2.641968489736488e-34,6.787234233685335e-39
1.240649305304732e-20,0.7981119286310657,2.1358937291625114e-24,1.0841098937135953e-24,2.8879436240394135e-37,1.6736388815269246e-37,0.0,0.0,1.472569228524397e-19,1.8543065422316533e-35,1.4804934897572128e-48,1.556391905709992e-59,3.7776616897805007e-51,8.308283729065516e-74,2.2066518464303205e-53,6.7459316935064116e-46,1.366908526442258e-76,3.038417062431545e-34,1.3566711616803627e-96,2.2320086887237142e-65,1.402860384791844e-102,1.0712183368296751e-103,1.067925904989693e-33,8.567556193570183e-87,1.3715628595961698e-54,4.465538728471248e-99,2.6873399509462553e-109,3.133920975099443e-95,1.6096676881843546e-163,7.847849056464047e-131,1.4697693699387732e-53,4.7564606545799716e-135,9.060610193246074e-119,6.301632126720701e-141,3.76,0.0,0.6866444490008698,0.9999999999999503,1.1962000741977227e-50,2.8498774603675434e-87,1.5947054384420777e-15,9.826285946104134e-16,2.722721220443518e-16,3.3980472178731136e-16,4.982870815216085e-14,1.3467456093251746e-31,3.18527382756888e-49,1.1853232112803675e-30,2.405094386018797e-39,1.433687608494599e-33,1.1053057582052546e-81,1.3391128022611705e-79,6.759968784975339e-36,1.2828396102319198e-81,3.064533555616118e-37,2.0884816535764353e-98,1.1880083346795609e-79,6.642730472418777e-83,1.1810767552520816e-81,7.755507913098987e-80,1.3861649993459214e-99,1.1675566722554006e-98,1.6479744085892316e-95,5.2412704285446405e-39,3.038417062431545e-34,2.86936255217358e-49,1.1269685197769765e-19,3.4562206768357104e-20,4.736803883536452e-32,3.2012933868656684e-46,3.7109319424593784e-32,8.280266648385837e-33,9.955259976077034e-33,9.159902919814018e-34,9.911202979730959e-33,2.4702543217519744e-46,1.0679259049903676e-33,2.7435085957929786e-38
2.4899744798773293e-20,0.7981119286310658,4.286723874538232e-24,2.1758009755092667e-24,1.1612294317351972e-36,6.729628463063633e-37,0.0,0.0,2.9554361439614492e-19,7.456085050948636e-35,1.1916299606005491e-47,2.506521183242277e-58,3.0405907846013404e-50,1.33802348154585e-72,1.7761053803682963e-52,5.429712709695386e-45,2.2025323378507948e-75,1.2217341373827795e-33,8.806268453475702e-95,3.604699994297872e-64,9.210822571894942e-101,1.3936844247292828e-101,4.294083094849183e-33,2.768886116605559e-85,1.1039531126933373e-53,2.898619351842877e-97,1.7443828966623205e-107,2.0342548878570684e-93,1.674466880413752e-160,2.034022943324507e-128,1.1829982559923053e-52,1.2393864131131796e-132,1.1788101322020416e-116,1.6422730903714763e-138,3.76,0.0,0.6866444490008683,0.9999999999999001,9.62805889362505e-50,9.235197542419618e-86,3.2005626631669626e-15,1.9721287178586396e-15,5.464482449425013e-16,6.819857003658163e-16,1.000058688067913e-13,5.415204863082418e-31,2.5637854889914578e-48,4.766132500025687e-30,9.670778746169695e-39,5.764794817939074e-33,3.581809040657732e-80,4.33947467098925e-78,2.718153717057578e-35,4.157118045916474e-80,1.2322354644270294e-36,1.3538424109288841e-96,3.849811657817148e-78,2.152616313083541e-81,3.8273494626243666e-80,2.513218460214889e-78,8.985709601244552e-98,7.568597681262579e-97,1.06828692638969e-93,2.1074918175588817e-38,1.2217341373827795e-33,2.3095128667632572e-48,2.261817938293258e-19,6.936610729023474e-20,1.9046480083479204e-31,2.5766795390525035e-45,1.4921494127902226e-31,3.3294588013841834e-32,4.0029662515533795e-32,3.6831566773204016e-33,3.985251127072969e-32,1.988276898310888e-45,4.2940830948546125e-33,1.1031527399779655e-37
4.988624829022524e-20,0.7981119286310663,8.588384455585315e-24,4.3591831391432015e-24,4.657049411031991e-36,2.6988821077542395e-36,0.0,0.0,5.921169974835243e-19,2.9902235869847447e-34,9.56207997182504e-47,4.023521609763764e-57,2.439882627002896e-49,2.1478240153555934e-71,1.425212712518504e-51,4.357002498116836e-44,3.5378640549670615e-74,4.8997003250360436e-33,5.675871369967395e-93,5.794449961561519e-63,6.0812599384202165e-99,1.798475920853603e-99,1.7221193785736053e-32,8.904322795072996e-84,8.858528484272274e-53,1.8682363227204536e-95,1.1243103597313336e-105,1.3111307176400486e-91,1.7281624011879735e-157,5.2392409763103974e-126,9.492815978385116e-52,3.200944929415767e-130,1.5211919732747095e-114,4.243319106901815e-136,3.76,0.0,0.6866444490008651,0.9999999999997997,7.72591094068539e-49,2.973880858511873e-84,6.4122771126167185e-15,3.951128964367656e-15,1.0948004907398256e-15,1.3663476575092131e-15,2.0036019010975738e-13,2.1717393510609426e-30,2.057276393351598e-47,1.9114323028970993e-29,3.8784148132705706e-38,2.311940558786994e-32,1.1533995826514887e-78,1.397379987955267e-76,1.090101212969998e-34,1.338658249188118e-78,4.9418153433107336e-36,8.720055928213286e-95,1.2397006955746365e-76,6.931767519981987e-80,1.2324675109156834e-78,8.092963890624662e-77,5.787666987290284e-96,4.8749097048471663e-95,6.880802130800301e-92,8.451985029281793e-38,4.899700325036044e-33,1.8532387298198368e-47,4.531516775324633e-19,1.3897390833367588e-19,7.638490388103591e-31,2.067623102474634e-44,5.984186525416572e-31,1.3352618930427665e-31,1.6053685039118386e-31,1.4771105607979417e-32,1.5982639466513561e-31,1.595467518367561e-44,1.7221193785779622e-32,4.424135884423946e-37
