Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67)
0.0,0.700811792850809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7403644949882523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5042421524740367e-22,0.700811792850809,3.410757296076769e-27,1.6991296045939871e-28,1.5101558540312165e-42,2.2692891262047537e-42,0.0,0.0,3.191892949608013e-22,1.6067158391730934e-40,2.801143023787979e-55,2.4165932071762112e-77,4.857842950180794e-58,2.952949893478864e-116,1.4879687859641333e-86,4.801946773151373e-86,3.7752159056979086e-87,6.985642159566966e-39,-1.469848866652482e-132,1.3619024321234026e-76,-3.019960090673371e-117,-1.0863875472393425e-137,1.856301065015494e-89,2.7012407255754917e-98,3.24797210486911e-62,1.577622594224713e-123,1.2330759606226402e-123,1.4150733823490683e-141,-6.689134296306351e-188,4.358314778239321e-151,5.389103396720563e-61,1.651314083708617e-160,2.509539645776089e-134,2.0988093989133212e-159,3.76,0.0,0.7403644949882523,0.9999999999999997,8.404845852339379e-58,-3.428816166123426e-124,2.7327966422710978e-18,1.726703640654333e-18,5.316428199927673e-19,4.744501816239977e-19,4.0309929616605357e-16,2.5097499507441194e-37,1.1378067464261336e-57,9.22535465546899e-36,8.535272620447978e-44,2.7994518762069237e-38,2.1689119833070606e-94,1.4289404648616956e-92,3.320465694906595e-41,1.4529092775456114e-94,5.2718263263882796e-43,2.4945397394692455e-112,1.0877936776151644e-92,8.323430873600403e-96,1.6011182005981557e-94,6.6228751587939405e-93,1.7449201968056736e-113,1.6835616271650995e-112,2.1621976384466934e-109,2.294946751231222e-43,6.985642159566966e-39,8.109832730087316e-58,3.191927057180974e-22
7.011878026927303e-22,0.700811792850809,9.550120429018953e-27,4.757562892864288e-28,9.121341358350558e-42,1.3706506322281507e-41,0.0,0.0,8.93730025890243e-22,9.704563668605479e-40,3.3255169978419474e-54,5.405822340726226e-76,5.76723115045759e-57,1.796423524916074e-114,4.678411938093839e-85,1.0940664329444871e-84,9.460520009782102e-86,4.2193278643808186e-38,2.5545277181999917e-130,4.282039150985325e-75,1.5650003358343097e-115,1.0026275755532876e-135,5.836507556604072e-88,1.6432965539206039e-96,3.855992482902535e-61,1.217364271201159e-121,9.514966530228419e-122,2.0577369147371714e-139,1.2271619703759414e-184,1.5317747972452502e-148,6.397943552589897e-60,7.006928659469198e-158,2.6741312021225907e-132,8.89231062168574e-157,3.76,0.0,0.7403644949882523,0.9999999999999988,9.97823505292266e-57,2.3243043147883604e-121,7.651830598359074e-18,4.8347701938323364e-18,1.4885998959797556e-18,1.3284605085469824e-18,1.1286780292640862e-15,1.5158889702495006e-36,1.3508041693571464e-56,5.57211421189816e-35,5.155304662748246e-43,1.6908689332294574e-37,1.03611528137054e-92,6.826220073500168e-91,2.005561279724613e-40,6.9407219679598736e-93,3.184183101140216e-42,2.1699542198335792e-110,5.196520933209098e-91,3.9762028094926435e-94,7.648733778451783e-93,3.163826937857918e-91,1.5178739726697257e-111,1.4644992819371902e-110,1.8808559412344736e-107,1.3861478379142635e-42,4.2193278643808186e-38,9.630460059322966e-57,8.937395760106722e-22
1.6027149775833833e-21,0.700811792850809,2.1828846694919318e-26,1.0874429469409395e-27,4.3915332235257965e-41,6.599092779010612e-41,0.0,0.0,2.0428114877491253e-21,4.672329660315348e-39,3.265012308529888e-53,1.0680993986305265e-74,5.662301742739719e-56,8.109914501937339e-113,1.0437279674826278e-83,2.1792771477731333e-83,1.9590277958996064e-84,2.031424740005562e-37,6.641886293158656e-128,9.552993791204905e-74,1.642531515151452e-113,2.1374388419872475e-133,1.3020927293001872e-86,7.418626156564763e-95,3.785836285441296e-60,1.3267431325915984e-119,1.0369875968419744e-119,4.606603095253397e-137,1.3223216452831208e-181,3.605827382138965e-146,6.281538919227359e-59,3.4468886103055826e-155,6.085687575241554e-130,4.374301456552298e-154,3.76,0.0,0.7403644949882523,0.9999999999999973,9.796691246466169e-56,2.2267311753066832e-119,1.7489898510535024e-17,1.1050903300189162e-17,3.4025140479537596e-18,3.0364811623921072e-18,2.5798354954566974e-15,7.298352856764685e-36,1.3262275436344267e-55,2.6827331338027178e-34,2.482057278022747e-42,8.140806056016753e-37,5.395030789203288e-91,3.5543986400453496e-89,9.655914240803547e-40,3.614019539116193e-91,1.5330470957161945e-41,2.2555028357556165e-108,2.705817676413635e-89,2.0704005593806806e-92,3.9826798209771765e-91,1.6473981272472763e-89,1.5777148745274097e-109,1.5222359316060266e-108,1.9550071012315204e-105,6.673705155090396e-42,2.031424740005562e-37,9.456323662069212e-56,2.0428333165958205e-21
3.40576932736469e-21,0.700811792850809,4.638629922678403e-26,2.3108162622517603e-27,1.9178979346227643e-40,2.8819971902874658e-40,0.0,0.0,4.3409744114668825e-21,2.040529115749821e-38,2.887866411809913e-52,1.900625811533112e-73,5.008241767937098e-55,3.0621494077443943e-111,1.9547869714900783e-82,3.8922778199815e-82,3.559355814295396e-83,8.871765542685784e-37,1.1635945473507855e-125,1.7891700120625985e-72,1.3113871491318955e-111,3.4184135613118883e-131,2.4386755766037335e-85,2.801132080343602e-93,3.3485293212480557e-59,1.085358260204645e-117,8.483202409719381e-118,7.646154437688427e-135,9.519208340536512e-179,6.102094671638303e-144,5.555950037903578e-58,1.2133393131732079e-152,1.0284532669913822e-127,1.5398108742322386e-151,3.76,0.0,0.7403644949882523,0.9999999999999944,8.665062821484304e-55,1.7237614316028106e-117,3.716603433488693e-17,2.348316951290607e-17,7.23034235190188e-18,6.4525224700789796e-18,5.482150427828102e-15,3.1873824374458426e-35,1.1730332432957494e-54,1.1716200412366422e-33,1.0839796227932385e-41,3.55530388278999e-36,2.1530151633023e-89,1.4184671909050666e-87,4.216991432546924e-39,1.4422603266293556e-89,6.695219434538493e-41,1.805459538364543e-106,1.079820804375241e-87,8.262425132725375e-91,1.5893829674370553e-89,6.574333468204577e-88,1.2629114554310728e-107,1.2185022952709415e-106,1.5649220930030452e-103,2.9145823766344163e-41,8.871765542685784e-37,8.36444044972713e-55,4.341020797766109e-21
7.011878026927302e-21,0.700811792850809,9.550120429076937e-26,4.7575628928806026e-27,8.006846338101588e-40,1.203177094720446e-39,0.0,0.0,8.93730025890237e-21,8.518807379295677e-38,2.427425726136146e-51,3.2056832324660617e-72,4.20972897517326e-54,1.062401881779039e-109,3.376408372085827e-81,6.57659103023133e-81,6.063086875780012e-82,3.703787473034431e-36,1.7289976574752136e-123,3.090346260680959e-71,9.341180913516723e-110,4.8737034112163145e-129,4.212205602862036e-84,9.718428443639642e-92,2.8146406585479222e-58,7.811402225415465e-116,6.105422385393431e-116,1.108661115416141e-132,5.7379261815185626e-176,8.927854113757323e-142,4.6701107779808026e-57,3.625406144347225e-150,1.5058813529473164e-125,4.600914952568274e-149,3.76,0.0,0.7403644949882523,0.9999999999999887,7.283507552604146e-54,1.21068137275767e-115,7.651830598359074e-17,4.834770193835295e-17,1.4885998959798565e-17,1.328460508543922e-17,1.1286780292515636e-14,1.3306694238852622e-34,9.860051215454213e-54,4.8912830382583835e-33,4.525401543328574e-41,1.484269384771364e-35,7.652153103838864e-88,5.0414545621875435e-86,1.7605109114534154e-38,5.126019093195977e-88,2.7951223182737874e-40,1.2853989701522821e-104,3.837852264379791e-86,2.9365953014276627e-89,5.648916001526802e-88,2.3366210843047537e-86,8.991312459279623e-106,8.675140938838769e-105,1.1141480625761943e-101,1.2167807698066653e-40,3.703787473034431e-36,7.030986388806799e-54,8.93739576010666e-21
1.422409542605253e-20,0.700811792850809,1.9373101441976374e-25,9.651056154167088e-27,3.2710579860895486e-39,4.9153710189811476e-39,0.0,0.0,1.8129951953773234e-20,3.480210776282434e-37,1.9901502691801307e-50,5.26534433541165e-71,3.4513901549884252e-53,3.538241844113296e-108,5.609953008760989e-80,1.0811529028269806e-79,1.0006929861680698e-80,1.5131180343579021e-35,2.3802858621537464e-121,5.134656532164719e-70,6.30190451272114e-108,6.578578805923288e-127,6.998642608233388e-83,3.236642432512974e-90,2.3076124653227907e-57,5.2948227813856874e-114,4.138454095903793e-114,1.5084625644634821e-130,3.1822401608901946e-173,1.2200560825262277e-139,3.8288389720299072e-56,1.0014012781385388e-147,2.0591648454517164e-123,1.270857836596733e-146,3.76,0.0,0.7403644949882522,0.999999999999977,5.971459599117653e-53,8.112586878028224e-114,1.5522284928099834e-16,9.807676678929895e-17,3.019731217559373e-17,2.6948770316105663e-17,2.289604002166962e-14,5.436218783315976e-34,8.083865705636171e-53,1.9982487197328593e-32,1.8487741906516002e-40,6.063724741993784e-35,2.5774559128044333e-86,1.698100742876486e-84,7.192261513913265e-38,1.72658440595498e-86,1.1418986696201946e-39,8.666069682266549e-103,1.2926943406523117e-84,9.891261740916965e-88,1.9027104857425034e-86,7.870383339049071e-85,6.061879783339837e-104,5.84871916230366e-103,7.511508077236284e-100,4.97094648050241e-40,1.5131180343579021e-35,5.764495163499207e-53,1.8130145684787658e-20
2.864853022430298e-20,0.700811792850809,3.9019063468184725e-25,1.943804267685526e-26,1.322213937704879e-38,1.9868715559168798e-38,0.0,0.0,3.651525534351453e-20,1.4067568395562805e-36,1.6116752861262153e-49,8.535350066864219e-70,2.7950252308901397e-52,1.1549410731349016e-106,9.145639283578883e-79,1.7533566945034327e-78,1.626053092402443e-79,6.116265021746896e-35,3.1584091353508657e-119,8.370786067841414e-69,4.1400940792236365e-106,8.645468855998327e-125,1.1409553818309783e-81,1.0564939973267448e-88,1.8687644033430535e-56,3.48634907760114e-112,2.7249440093079614e-112,1.9900955436196065e-128,1.69503662163922e-170,1.6130741617777766e-137,3.1006930689564764e-55,2.662023605542483e-145,2.7234422842690153e-121,3.3783247167631604e-144,3.76,0.0,0.7403644949882521,0.9999999999999538,4.835842826475457e-52,5.31195908041889e-112,3.126319358758135e-16,1.9753489649139983e-16,6.08199386071912e-17,5.4277100777222423e-17,4.611455947909322e-14,2.1974065498791978e-33,6.546524036802834e-52,8.077240817390172e-32,7.473040872058288e-40,2.4510544913540414e-34,8.459468385078984e-85,5.573336667840206e-83,2.9072270983408743e-37,5.666822902437937e-85,4.6157369965742404e-39,5.690866219362959e-101,4.2427522626646045e-83,3.246411144020933e-86,6.244886331664838e-85,2.5831386175142356e-83,3.980737306467472e-102,3.840758213069484e-101,4.9326844973044635e-98,2.0093360541424742e-39,6.116265021746896e-35,4.668264655661047e-52,3.6515645534149216e-20
5.749739982080389e-20,0.700811792850809,7.831098752223936e-25,3.901201572269242e-26,5.316564090509676e-38,7.989123140746542e-38,0.0,0.0,7.328586212299538e-20,5.6565073804420954e-36,1.2972164828779424e-48,1.3745918152733038e-68,2.24967946759709e-51,3.732570007473726e-105,1.4770231873084097e-77,2.824337829855072e-77,2.621827527101848e-78,2.4593232650244538e-34,4.115743217434407e-117,1.3518841859126432e-67,2.684404841908653e-104,1.1212456957748432e-122,1.8426459895296123e-80,3.414406039973583e-87,1.504144170689541e-55,2.2630189816631438e-110,1.768784444277245e-110,2.585923501754929e-126,8.851021179965631e-168,2.0982657373336176e-135,2.4957075361813736e-54,6.943813480497018e-143,3.543272852582695e-119,8.812271454660569e-142,3.76,0.0,0.7403644949882517,0.9999999999999074,3.892307024619654e-51,3.4385674128396503e-110,6.274501090654437e-16,3.964511558964373e-16,1.2206519147041475e-16,1.089337616985914e-16,9.255159839040299e-14,8.835675091633952e-33,5.269212079549278e-51,3.2478230074738525e-31,3.0048768669328464e-39,9.855582308624913e-34,2.7413410376989313e-83,1.806072891106835e-81,1.1689832298331206e-36,1.8363676615881287e-83,1.8559675456380784e-38,3.6890609163411476e-99,1.3748891018026393e-81,1.0520188372566172e-84,2.0236925534792277e-83,8.370814305901014e-82,2.580482803368647e-100,2.48974241648126e-99,3.1975753586740358e-96,8.079451965254192e-39,2.4593232650244538e-34,3.7574363168958616e-51,7.32866452328706e-20
1.1519513901380568e-19,0.700811792850809,1.5689483563690031e-24,7.815996181620998e-26,2.132179989499319e-37,3.2039957018579428e-37,0.0,0.0,1.468270756819501e-19,2.2685124530331776e-35,1.0409345317052402e-47,2.2065242897535354e-67,1.8052260930064948e-50,1.2003385959251963e-103,2.3742716357556216e-76,4.534177245730613e-76,4.211113187382733e-77,9.862986252691333e-34,5.315353349843037e-115,2.1731143455785228e-66,1.7292253433242718e-102,1.4446301739101639e-120,2.96199961235173e-79,1.0980218128815453e-85,1.2069809693680436e-54,1.4585751867553002e-108,1.140028042627353e-108,3.334904116675383e-124,4.576407175048184e-165,2.7074447365953864e-133,2.0026481237510105e-53,1.7943293100660128e-140,4.572405769797448e-117,2.277152614220657e-139,3.76,0.0,0.7403644949882511,0.9999999999998145,3.123331262008241e-50,2.2132232881011803e-108,1.2570864554447035e-15,7.942836747098551e-16,2.4455569719697615e-16,2.1824708353787134e-16,1.854256761988728e-13,3.5435008969891454e-32,4.2282108504702006e-50,1.3025222882685529e-30,1.2050900199673596e-38,3.9525293075979494e-33,8.827554939650519e-82,5.815842483634506e-80,4.6881455924764224e-36,5.913396473013051e-82,7.443259960298605e-38,2.376112408170043e-97,4.427361978546717e-80,3.387668281901833e-83,6.516612472586967e-82,2.6955355845741165e-80,1.6620807698916537e-98,1.6036351751943624e-97,2.0595481231815172e-94,3.2402216528105953e-38,9.862986252691333e-34,3.015110323232876e-50,1.4682864463030654e-19
