Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195),S(2224),S(2641),S(2826),C2FO(289),S(1665),C2FO(7367),S(3464),S(6251),S(5206),CFO3(444),C2H2O(907),S(5104),CF3CCH(84),S(12199),C2HF4(54),S(12715),CF3(45)
0.0,0.5141238006416795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8199942807347611,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5704251567040445e-21,0.5141238006416795,1.29846833199585e-29,2.074356608188574e-33,1.7631204650070609e-38,1.290591965707547e-31,0.0,0.0,2.3087635523759155e-23,4.716913881263209e-41,2.0855172910710095e-55,1.6677784009433342e-55,9.947694322477639e-61,2.657673765647211e-73,2.1346885670294692e-51,6.586972343369232e-42,1.7483270819874257e-46,1.0560922414107774e-40,8.749130294677427e-94,8.437664729533904e-75,6.397587892708286e-97,3.3171492595415322e-96,8.975790540213945e-30,7.214880119273836e-95,4.116362938505222e-65,2.977800087029436e-103,1.2415355305618368e-109,2.983049020722169e-88,3.5542526865607864e-105,4.544376135432127e-104,4.704262620123254e-65,1.581575415528774e-118,2.753956311161414e-118,4.064891369684465e-120,3.76,0.0,0.8199942807347611,0.9999999999999993,2.455069976123853e-52,6.778423730439589e-62,2.1148897145089773e-20,1.3449833919715653e-20,5.9766015039638265e-21,1.7224617214102923e-21,5.522680502471079e-16,2.3713841642300168e-42,3.1423484187583567e-65,6.061566227373236e-39,2.5531929466081487e-45,1.7883553698079157e-38,6.346692050155693e-103,7.73779368810535e-102,5.429520395281766e-45,1.0083884583776547e-103,4.005214582489904e-48,2.430219503002217e-119,4.927205121434943e-102,5.121236036084961e-105,1.426654495230899e-103,4.0120197343581244e-102,2.489574799983291e-120,3.251776316695597e-119,1.1246188218038844e-79,1.267596937008264e-44,1.0560922414107768e-40,3.088458515900831e-48,1.7770536693038587e-23,5.3171118154035565e-24,1.4244689910615534e-37,5.830271527706641e-53,5.627453907351673e-38,4.155620902310682e-31,1.0966411878534346e-28,7.931680134719066e-43,2.1010244479750563e-41,1.1051194768868171e-54,2.613626126721845e-40,2.3937091677871876e-45,1.4937302047008016e-23,3.5104472332931573e-50,4.921657443415506e-40,2.197437060950748e-70,2.493154379045451e-69,9.249262675334254e-74,3.8053104236135547e-38,3.649309739117021e-43,5.938154847602007e-60,1.1007968087542191e-28,9.673827536541331e-74,4.0164479221260876e-54,5.749976185429035e-47,1.4937302047008007e-23,2.5590477576785858e-61,4.223687254159968e-38,8.975790540220495e-30,1.852786136447821e-45,4.185645960475948e-77,2.581846584744505e-38,1.5328648466797204e-51,9.74718125359875e-61,9.746304834815513e-79,1.2681015282116784e-60,2.266345339901373e-59,1.2905919657064642e-31,2.098320454330465e-64,2.810482439164836e-62,1.4674515766549313e-70,4.07810530591983e-74,8.889692975936249e-59,2.8248300359322647e-59,2.1381582070361327e-69,1.7018193233456234e-83,1.0553808507977021e-87,8.943839154007768e-115,3.249097142603652e-98,1.7326356186342857e-79,1.3942665755193657e-75,7.717107473548768e-129,5.8999145773031245e-81,2.592765222187411e-97,3.628085115974913e-101,6.001653975204075e-58,1.5621688944488626e-72,2.055416299436656e-49
1.5597190438771324e-20,0.5141238006416795,3.6357113302567045e-29,5.808198502995201e-33,1.064924760864249e-37,3.613657503984566e-31,0.0,0.0,6.46453794665258e-23,2.8490159842829845e-40,2.4759261279574908e-54,1.97998651805109e-54,1.1809903728803437e-59,3.1551902945723205e-72,1.289351894484663e-50,3.978531295389629e-41,1.0559895575214628e-45,6.378797138171936e-40,4.179564622727668e-92,1.0017195567065793e-73,3.056204507396373e-95,1.5846420070711944e-94,2.5132213512577856e-29,4.380837812520765e-93,4.886946080598297e-64,1.4225331134954293e-101,5.9342626946556524e-108,9.37918340932265e-87,1.6980038914224045e-103,2.1709030150207186e-102,5.5849005828198474e-64,1.2204144943391075e-116,2.1250803196920364e-116,3.1366564527691717e-118,3.76,0.0,0.8199942807347611,0.9999999999999984,2.914659075654216e-51,8.047344652785265e-61,5.921691200625137e-20,3.7659534975209084e-20,1.6734484211098736e-20,4.8228928199435484e-21,1.5463505406643407e-15,1.4323160351950952e-41,3.7305960427503095e-64,3.6611860012488706e-38,1.542128539738386e-44,1.0801666433640434e-37,3.0318909526797514e-101,3.696436898329893e-100,3.279430318783096e-44,4.817192672411865e-102,2.4191496078199957e-47,2.1140032296142418e-117,2.353785012969174e-100,2.446475909290029e-103,6.8152997223980585e-102,1.9165899713406528e-100,2.1656353102848796e-118,2.8286603851614894e-117,2.515746370066753e-78,7.656285500091777e-44,6.378797138171928e-40,1.8654289436486116e-47,4.9757502740507746e-23,1.488791308312933e-23,8.60379270601149e-37,6.921698357876377e-52,3.3989821600403625e-37,1.1635738526801738e-30,3.0705953259909033e-28,4.790734801365737e-42,1.269018766575714e-40,1.3119980423321493e-53,1.5786301805399732e-39,1.4458003373435003e-44,4.1824445731622394e-23,2.1251540924155476e-49,2.972681095822962e-39,2.6087972787609056e-69,5.577087429361327e-68,2.0690233637718317e-72,2.298407495862133e-37,2.2041830824266465e-42,7.049777785151396e-59,3.082231064508486e-28,2.1639968387139247e-72,4.768326973096814e-53,3.472985619105714e-46,4.1824445731622347e-23,3.0381015004042125e-60,2.5511071015123557e-37,2.513221351261742e-29,1.1190828264372219e-44,9.363123031741733e-76,1.5594353371855765e-37,1.8198171003416007e-50,1.1571853584325203e-59,3.0643545286147172e-77,1.4926348026131382e-59,2.6906051874778705e-58,3.6136575039780286e-31,2.4911457904442473e-63,4.247201062065904e-61,2.217612823387862e-69,4.8415267216330975e-73,5.40911973244148e-58,3.353638218640342e-58,2.538421423510401e-68,3.806917629550491e-82,2.360851653029207e-86,7.780081281553676e-113,1.5521326941862446e-96,5.447682770201292e-78,3.119872792187232e-74,6.714108406306688e-127,1.8550275417375436e-79,1.4930794528020882e-95,1.7331797969057056e-99,7.125163599370488e-57,3.494509330129384e-71,1.2414714448597266e-48
3.565072100290588e-20,0.5141238006416795,8.310197329451712e-29,1.3275882292877226e-32,5.127154312240291e-37,8.259788580552345e-31,0.0,0.0,1.4776086735205958e-22,1.3716785566713492e-39,2.430878954466028e-53,1.9439625055381542e-53,1.1595033964377185e-58,3.097784541225838e-71,6.207674352904647e-50,1.9154915574436902e-40,5.084135154435302e-45,3.071116238097345e-39,2.176290604441934e-90,9.834942009232402e-73,1.591359350822573e-93,8.25119807773053e-93,5.744505945722089e-29,1.9798279813000595e-91,4.798032641136828e-63,7.407126690503954e-100,3.088560957568761e-106,2.0924442240866773e-85,8.841165564125625e-102,1.1303846980640615e-100,5.483288510643988e-63,1.330067412913219e-114,2.316016000575408e-114,3.418481870844289e-116,3.76,0.0,0.8199942807347611,0.9999999999999964,2.861629564169861e-50,7.900930700223273e-60,1.3535294172857456e-19,8.607893708621698e-20,3.825024962536861e-20,1.1023755016988978e-20,3.5345155213885582e-15,6.895985149583364e-41,3.662721316905942e-63,1.7627034587932905e-37,7.424685088541088e-44,5.200537415402332e-37,1.5786993333148447e-99,1.9247270294470594e-98,1.5789045309963728e-43,2.508302237591707e-100,1.1647164005811869e-46,2.197346024890908e-115,1.2256109763471968e-98,1.2738749339180646e-101,3.548712436028695e-100,9.97964424573939e-99,2.25101365673528e-116,2.9401779362737015e-115,4.970709255555712e-77,3.686171893643546e-43,3.071116238097337e-39,8.981237364907255e-47,1.1373143483544478e-22,3.402951561857836e-23,4.142355826006559e-36,6.795764492954434e-51,1.6364635962577933e-36,2.659597377711117e-30,7.018503602270985e-28,2.306532583169436e-41,6.10977909469316e-40,1.2881275453657364e-52,7.600424776506803e-39,6.960906259925701e-44,9.559873310085091e-23,1.0281040007013665e-48,1.4312179845452222e-38,2.5613326382447254e-68,1.1019385721393013e-66,4.08804179612331e-71,1.1065842711861395e-36,1.0612192721351776e-41,6.921513787453398e-58,7.045099576003708e-28,4.275693391339974e-71,4.681571697871202e-52,1.6720930793814874e-45,9.559873310085067e-23,2.982826074061734e-59,1.2282482535093198e-36,5.744505945741139e-29,5.387902085124834e-44,1.8499953716989932e-74,7.508009868435448e-37,1.7867071238165417e-49,1.136131446935236e-58,6.83638714954906e-76,1.4588161445550472e-58,2.6416521280246146e-57,8.259788580520872e-31,2.4458303623895424e-62,4.5689450917014995e-60,2.385606681595788e-68,4.753439862156714e-72,2.6447404798829637e-57,3.2926218898254686e-57,2.4922372064714093e-67,7.5218430228108135e-81,4.6646516865815864e-85,8.086804321166143e-111,8.081922759555855e-95,1.2153480177970283e-76,6.165186608782705e-73,6.981440297504204e-125,4.138464400694893e-78,6.696369953887627e-94,9.024631269738923e-98,6.995527873509343e-56,6.904561561149324e-70,5.977150598761585e-48
7.5757782131175e-20,0.5141238006416795,1.7659169338534917e-28,2.821124987371636e-32,2.2391629905587164e-36,1.755205073374287e-30,0.0,0.0,3.139918431231293e-22,5.990480629204354e-39,2.1500849063891604e-52,1.719412823173608e-52,1.0255676412492336e-57,2.7399553454052892e-70,2.7110544801098075e-49,8.365454875995408e-40,2.2203753941404275e-44,1.3412371466683068e-38,8.685004464098607e-89,8.698894830569797e-72,6.350697422140911e-92,3.292836551008487e-91,1.2207075134616786e-28,7.478861027739406e-90,4.243805535113099e-62,2.956010939568301e-98,1.2323654512488829e-104,3.918916457473232e-84,3.5282342837206275e-100,4.511068591689131e-99,4.84990659214415e-62,1.0880777269232382e-112,1.8946446990389878e-112,2.7965304851669672e-114,3.76,0.0,0.8199942807347611,0.9999999999999925,2.5310789425844057e-49,6.9882837291820625e-59,2.8762500117322095e-19,1.8291774130831683e-19,8.128178045390865e-20,2.3425479410995503e-20,7.510845482396003e-15,3.0116578885746775e-40,3.2396355258056358e-62,7.69818910745326e-37,3.242555041989788e-43,2.271211319656988e-36,6.300174615851032e-98,7.681080315393988e-97,6.895490902504005e-43,1.0009975778264545e-98,5.086622519686364e-46,1.7589068285620738e-113,4.891091672074902e-97,5.083700457192988e-100,1.4161979762805438e-98,3.982614043352859e-97,1.801866090673808e-114,2.353520560904314e-113,8.845126441809128e-76,1.6098481108424633e-42,1.3412371466682995e-38,3.922342315883944e-46,2.4167929902531386e-22,7.231272068946632e-23,1.8090756186477187e-35,6.010776734465107e-50,7.146866462335859e-36,5.651644428303931e-30,1.4914320154851731e-27,1.0073233771022238e-40,2.6683010489094062e-39,1.1393342609874734e-51,3.31930518093641e-38,3.0400106430902926e-43,2.0314730783930707e-22,4.533349420632646e-48,6.250504953137616e-38,2.2654697123588926e-67,1.9608408761090943e-65,7.274452187873832e-70,4.832744237982161e-36,4.63462336867808e-41,6.122000622226741e-57,1.4970836598940918e-27,7.608368185581334e-70,4.140797149461283e-51,7.302469803629707e-45,2.0314730783930597e-22,2.6382758924487952e-58,5.364082812779033e-36,1.2207075134699985e-28,2.353038393631425e-43,3.291967953523624e-73,3.2789451626238964e-36,1.580322045238942e-48,1.0048953985536451e-57,1.2803782224310996e-74,1.2874361898741075e-57,2.3365113912794246e-56,1.7552050733605412e-30,2.1633126938734416e-61,4.199647699195247e-59,2.19278354727379e-67,4.204364113098718e-71,1.1905960292155516e-56,2.912286773724652e-56,2.2043555858506992e-66,1.3384730191109625e-79,8.30050384808036e-84,6.473234125105033e-109,3.2252832151860147e-93,2.2762123019807426e-75,1.0971309605330934e-71,5.5926599499918535e-123,7.750885809776553e-77,2.5194693470523788e-92,3.601493434462121e-96,6.187465182287565e-55,1.2286298388746465e-68,2.6103787002843346e-47
1.5597190438771325e-19,0.5141238006416795,3.6357113399474086e-28,5.808198503969499e-32,9.348064705465175e-36,3.613657504034377e-30,0.0,0.0,6.464537946652774e-22,2.500907739845823e-38,1.8072759161410752e-51,1.445270083131759e-51,8.620514049155832e-57,2.3030975624817988e-69,1.1318118782231678e-48,3.4924127363792026e-39,9.269630188844906e-44,5.599401064646611e-38,3.086786608231339e-87,7.311945253798405e-71,2.257137330816185e-90,1.1703256838585603e-89,2.5132213512270545e-28,2.595300128821114e-88,3.567174260759182e-61,1.0506276037026713e-96,4.379721378628151e-103,6.768953618196533e-83,1.253983356390622e-98,1.603304431312622e-97,4.0766387207447245e-61,7.830974421073771e-111,1.36358948197493e-110,2.012683320848314e-112,3.76,0.0,0.8199942807347611,0.9999999999999845,2.1275243601888508e-48,5.874073550106462e-58,5.921691200625137e-19,3.765953497528527e-19,1.673448421109898e-19,4.822892819867121e-20,1.5463505402646926e-14,1.257307883877055e-39,2.7231088621258622e-61,3.213842412573611e-36,1.3537029001090617e-42,9.481860170729947e-36,2.239180734301842e-96,2.729976248069399e-95,2.878731714023079e-42,3.557702172467139e-97,2.123564771565879e-45,1.252255715456238e-111,1.7383705863769015e-95,1.8068267654616185e-98,5.033389418925244e-97,1.4154834082257586e-95,1.282840610748383e-112,1.6755916377371344e-111,1.4918610498624712e-74,6.720798967556968e-42,5.599401064646549e-38,1.6375007057515188e-45,4.97575027405032e-22,1.4887913083120186e-22,7.552534590604263e-35,5.052420021796512e-49,2.9836760616771667e-35,1.1635738531613264e-29,3.0705953260095544e-27,4.205376807364169e-40,1.11396316229935e-38,9.576791101482269e-51,1.385744572387622e-37,1.2691446007612682e-42,4.182444573162158e-22,1.9288124140072197e-47,2.6094627764988323e-37,1.904263798028948e-66,3.3072447907354075e-64,1.226942705879325e-68,2.0175755865935576e-35,1.9348640236793603e-40,5.1459104252603015e-56,3.0822310644602373e-27,1.283262520178154e-68,3.4805895055420523e-50,3.048637416833543e-44,4.1824445731621104e-22,2.217629871416307e-57,2.2393989821518985e-35,2.5132213512617874e-28,9.82347209851758e-43,5.552385144573159e-72,1.3688950592300734e-35,1.3283556112818428e-47,8.446751320056802e-57,2.2115337872487476e-73,1.0809833121810694e-56,1.9639786094066267e-55,3.61365750397699e-30,1.818396031064134e-60,3.592887024439082e-58,1.8759724959393597e-66,3.5340220183833756e-70,5.26776040806293e-56,2.4479525116404734e-55,1.852893692992778e-65,2.2575313760136207e-78,1.4000017290663418e-82,4.6086263822651365e-107,1.1463161702778726e-91,3.931590672676394e-74,1.850527835260346e-70,3.987731921703019e-121,1.33877277272292e-75,8.724326316116279e-91,1.2800271744526093e-94,5.200937308457503e-54,2.0722638035704447e-67,1.0897817219611177e-46
3.1640014890078974e-19,0.5141238006416795,7.375300169244349e-28,1.1782345538885359e-31,3.818989452021977e-35,7.330562365442495e-30,0.0,0.0,1.311377697749608e-21,1.021702414337195e-37,1.4817139870426116e-50,1.1849197383819026e-50,7.067618279552118e-56,1.888218528974297e-68,4.6238208235942575e-48,1.4267645573995099e-38,3.78694639279299e-43,2.2875380391655786e-37,1.0397147416647596e-85,5.994774489781432e-70,7.602660166434103e-89,3.941979221610551e-88,5.09824902670355e-28,8.644284268408705e-87,2.9245849786121223e-60,3.538904291250789e-95,1.475164221337108e-101,1.124671768687374e-81,4.2237514261912793e-97,5.400370889163967e-96,3.3422747254589295e-60,5.30808945136605e-109,9.242853291732137e-109,1.3642622984573712e-110,3.76,0.0,0.8199942807347611,0.9999999999999686,1.7442730100901197e-47,4.815920393029597e-57,1.2012573578410993e-18,7.639505666432695e-19,3.394709654251565e-19,9.783582577267331e-20,3.136882523609291e-14,5.1365129551082535e-39,2.232569168482494e-60,1.3129594901151577e-35,5.530318048524151e-42,3.873649265225814e-35,7.542177404960626e-95,9.195311864163402e-94,1.176055836075345e-41,1.1983320746650368e-95,8.675454993653083e-45,8.442620183563387e-110,5.855310898214801e-94,6.085890163794386e-97,1.6953841811282134e-95,4.7677379562000586e-94,8.648821399450066e-111,1.1296721270513566e-109,2.450387206950574e-73,2.7456656758045917e-41,2.287538039165528e-37,6.689724689038771e-45,1.009366484164388e-21,3.0201195111451146e-22,3.0854568133955e-34,4.1422791882319004e-48,1.2189290261474165e-34,2.3603926746726767e-29,6.2289219470912444e-27,1.7180336438466045e-39,4.550902995147748e-38,7.85163200496472e-50,5.661218735522043e-37,5.184869805797983e-42,8.484387562700188e-22,8.175889654948966e-47,1.0660506888735132e-36,1.5612305123985997e-65,5.432159540229883e-63,2.0152570935974e-67,8.24245458991015e-35,7.904550867312929e-40,4.2189282789116585e-55,6.252525873507345e-27,2.1077625577456797e-67,2.8535975644708396e-49,1.2454678783445395e-43,8.484387562699996e-22,1.8181469779942704e-56,9.148675539969185e-35,5.098249026845446e-28,4.0132088855863786e-42,9.119809291668146e-71,5.592382976407599e-35,1.0890657115879778e-46,6.925157063916741e-56,3.6744954842910006e-72,8.857747132102805e-56,1.61018832202983e-54,7.330562365208053e-30,1.4908314712823846e-59,2.9706684714289206e-57,1.551090346026839e-65,2.897405832217374e-69,2.3949733214337037e-55,2.006979367912332e-54,1.5191141977805774e-64,3.708002858970964e-77,2.299507389899054e-81,3.1071035727817566e-105,3.861108567539932e-90,6.532396683944368e-73,3.0395429038691596e-69,2.6966335300851166e-119,2.2243909849237028e-74,2.9026709643597646e-89,4.311484054155695e-93,4.264042632869378e-53,3.4036995199687955e-66,4.452113921230102e-46
6.372566379269428e-19,0.5141238006416795,1.4854477896274651e-27,2.3730639615597633e-31,1.5436965968944255e-34,1.476437208861049e-29,0.0,0.0,2.641225503918406e-21,4.129884514912721e-37,1.1999304027015474e-49,9.595787328567935e-50,5.723540541369499e-55,1.5291283200665166e-67,1.8690223053750818e-47,5.76721046076876e-38,1.530744280082705e-42,9.246594502594789e-37,3.4124478866052823e-84,4.854723809428984e-69,2.495269191368447e-87,1.2937970512040541e-86,1.026830437743952e-27,2.821774183390543e-85,2.3684047407481304e-59,1.1615702331818995e-93,4.841563028242054e-100,1.833498839362336e-80,1.3862759520811657e-95,1.7724557993068818e-94,2.7066607303290893e-59,3.495084448011831e-107,6.085909578161927e-107,8.982915609983257e-109,3.76,0.0,0.8199942807347611,0.9999999999999367,1.4125575069019955e-46,3.9000571955677045e-56,2.41943383339827e-18,1.5386610004294827e-18,6.837232120535075e-19,1.970496209152801e-19,6.317946487476143e-14,2.076260662239276e-38,1.8079923959081715e-59,5.307192179028284e-35,2.2354429767439095e-41,1.5657909673303959e-34,2.4754181440993047e-93,3.0179934258118875e-92,4.753805726135746e-41,3.9330458609521103e-94,3.50675761677015e-44,5.544130587433334e-108,1.92177166559052e-92,1.9974500899564245e-95,5.56442064427084e-94,1.5648193363032075e-92,5.679539549955789e-109,7.418372086273955e-108,3.972184018273955e-72,1.1098419682347788e-40,9.246594502594391e-37,2.704093681004191e-44,2.0329493976827792e-21,6.082775916804849e-22,1.2471909761831094e-33,3.3545250824689288e-47,4.9271060136691255e-34,4.754030321093309e-29,1.2545575189386338e-26,6.944566678148122e-39,1.8395477532570944e-37,6.358455186569451e-49,2.288355127996966e-36,2.0958072744412003e-41,1.7088273541775674e-21,3.544180328681204e-46,4.30914733126707e-36,1.2643249465777093e-64,8.805764734463262e-62,3.266818603695382e-66,3.331731930729782e-34,3.1951458434610536e-39,3.4165975069695646e-54,1.2593115491260822e-26,3.4167739458710337e-66,2.3109172913580973e-48,5.034380450884791e-43,1.7088273541774888e-21,1.4723826032984845e-55,3.6980409279793617e-34,1.0268304378013083e-27,1.6222031983269813e-41,1.478360386818417e-69,2.26053061356969e-34,8.819528807883831e-46,5.608171738014992e-55,5.9903542315792775e-71,7.171296759334854e-55,1.3039722492381067e-53,1.4764372087662837e-29,1.2073141940757083e-58,2.415698265352586e-56,1.2613209235735732e-64,2.3463960881054375e-68,1.1644795422364509e-54,1.625303926278833e-53,1.2302180649098647e-63,6.010833060632995e-76,3.727600849548923e-80,2.0403840954907942e-103,1.2672544928588345e-88,1.0649455269834506e-71,4.92726655100702e-68,1.781516310575333e-117,3.626318712735903e-73,9.470031639891049e-88,1.4150722366904712e-91,3.453132276866691e-52,5.5175435971919975e-65,1.7996156301377896e-45
1.2789696159792487e-18,0.5141238006416795,2.9812833624080955e-27,4.762722779654442e-31,6.207136121863166e-34,2.963199153635351e-29,0.0,0.0,5.300921116256553e-21,1.6606083995546263e-36,9.658083796237563e-49,7.723524578946087e-49,4.606803380143848e-54,1.2307755030370556e-66,7.515256486874168e-47,2.318969960947908e-37,6.155055426053658e-42,3.718014983441346e-36,1.1058240307939812e-82,3.907504077406923e-68,8.086068203708407e-86,4.192626284111214e-85,2.060841507804337e-27,9.119703630551653e-84,1.9062981820418187e-58,3.764567829199655e-92,1.5689255703721747e-98,2.961105535703507e-79,4.492307186597206e-94,5.743748423025872e-93,2.1785560352885492e-58,2.2686891845627863e-105,3.950415902308914e-105,5.830887311428319e-107,3.76,0.0,0.8199942807347611,0.9999999999998731,1.1369491712793426e-45,3.1391053285007096e-55,4.855786784512612e-18,3.088081868023429e-18,1.3722277053102794e-18,3.9547721117890427e-19,1.2680074403920476e-13,8.348552805668224e-38,1.4552295720209479e-58,2.1339986299476494e-34,8.988617885924867e-41,6.295976613670697e-34,8.021739708771515e-92,9.779987171988521e-91,1.911484375743645e-40,1.2745269029363086e-92,1.410051814217194e-43,3.593940653430368e-106,6.227615367234036e-91,6.472855805954346e-94,1.8031836033014588e-92,5.07089011720838e-91,3.681718483266677e-107,4.808903502208692e-106,6.397080514168246e-71,4.462625763018725e-40,3.71801498344104e-36,1.0873041778643979e-43,4.080115224718281e-21,1.2208088728098482e-21,5.0149000617687074e-33,2.700013623452438e-46,1.9811676578948785e-33,9.5413056275263e-29,2.5178881674503375e-26,2.792379717787531e-38,7.396740609112364e-37,5.1178379156589887e-48,9.201375324152357e-36,8.427148873589562e-41,3.429604549992433e-21,1.6175882684424903e-45,1.7326891895838048e-35,1.0176387107947559e-63,1.418141266328168e-60,5.2611106592933735e-65,1.3396747558389804e-33,1.2847540908923656e-38,2.7499749120360164e-53,2.527429472540483e-26,5.502609108707382e-65,1.8600272799557253e-47,2.0243023606833585e-42,3.4296045499921185e-21,1.1851016809358354e-54,1.4869659925550332e-33,2.060841508034964e-27,6.522807722097053e-41,2.380853825655671e-68,9.089494175373751e-34,7.098711696857188e-45,4.5139445160107527e-54,9.674437424112067e-70,5.77130628795682e-54,1.0495503077710085e-52,2.963199153254305e-29,9.717515836252078e-58,1.9483481656865073e-55,1.0173010420001023e-63,1.8885864801980757e-67,6.261710936629085e-54,1.3081859976151827e-52,9.90186528173324e-63,9.680261857073079e-75,6.003186479696818e-79,1.3226635323121765e-101,4.1066135458181595e-87,1.719889869343753e-70,7.935240189848488e-67,1.1687024465468256e-115,5.85651440750093e-72,3.059777020508602e-86,4.585625732274014e-90,2.779381272137857e-51,8.885833866734605e-64,7.236175298807569e-45
2.5623955720838606e-18,0.5141238006416795,5.972954617467634e-27,9.542040426852687e-31,2.4893392058103743e-33,5.93672304374677e-29,0.0,0.0,1.0620312340935046e-20,6.659782407475363e-36,7.750004000707216e-48,6.197642260267436e-48,3.6966696059565195e-53,9.876198294773602e-66,3.01395397893596e-46,9.300106726348719e-37,2.4684525177670653e-41,1.491090302206979e-35,3.5609295775055873e-81,3.13552594277202e-67,2.603842801778389e-84,1.3500924670849246e-83,4.128863647577872e-27,2.9327947279393305e-82,1.5296842368343988e-57,1.2125280233433097e-90,5.052171620187127e-97,4.759890706771189e-78,1.446594098520045e-92,1.8495785112919332e-91,1.7481540262511995e-57,1.4622297807259042e-103,2.546146834435312e-103,3.758160075961722e-105,3.76,0.0,0.8199942807347611,0.9999999999997459,9.123301073921213e-45,2.5189343324947196e-54,9.728492686741295e-18,6.186923603297399e-18,2.749236691824103e-18,7.923323916197946e-19,2.540433019165165e-13,3.3481430732759956e-37,1.1677300844063786e-57,8.558288933351535e-34,3.6048377938391144e-40,2.5249682165375376e-33,2.5831280041574848e-90,3.14931170051184e-89,7.665907289133815e-40,4.1041797221852905e-91,5.654938434448397e-43,2.314845747828844e-104,2.0053913770090595e-89,2.0843627084844303e-92,5.806538533627709e-91,1.6329074159145822e-89,2.371383163368238e-105,3.0973994500170645e-104,1.0268731449679832e-69,1.7897125439264997e-39,1.4910903022067528e-35,4.3605760761021805e-43,8.174446878784151e-21,2.445871435058241e-21,2.011199221647225e-32,2.166590891892931e-45,7.945368407034903e-33,1.9115856294759201e-28,5.044549464684484e-26,1.1198691589222318e-37,2.966423811174598e-36,4.106742620124851e-47,3.690163046548143e-35,3.379663611766307e-40,6.871158941621243e-21,8.031189366791652e-45,6.948858614410486e-35,8.165909767727194e-63,2.2764308051672015e-59,8.445247772392313e-64,5.37269495494853e-33,5.152438524778827e-38,2.2066816795564177e-52,5.0636653188241073e-26,8.832906246270645e-64,1.4925547495074276e-46,8.118358847417853e-42,6.871158941619982e-21,9.50969572038363e-54,5.963398691855771e-33,4.128863648502788e-27,2.6159376432552415e-40,3.821797659905359e-67,3.645293701854666e-33,5.696249224237668e-44,3.6221561979562357e-53,1.555137503568129e-68,4.630798557011435e-53,8.421980213094112e-52,5.936723042218604e-29,7.797694814157451e-57,1.5650192023980648e-54,8.171515565252354e-63,1.5154761675075764e-66,3.7780409643179823e-53,1.0497368756074455e-51,7.945623338739833e-62,1.5538964570083304e-73,9.636444001855174e-78,8.519233752917484e-100,1.32239499515936e-85,2.764672732599802e-69,1.273784137806466e-65,7.705964310160919e-114,9.414175864122251e-71,9.838538672744489e-85,1.4766445497320664e-88,2.2302784315672985e-50,1.4263731270975298e-62,2.9020299406678303e-44
