Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864)
1.7203705218820143e-19,0.7263827482631111,0.0,3.6897776612825947e-25,0.0,0.0,0.0,0.0,0.0,0.0,1.1260630241183166e-46,5.569669499561178e-66,0.0,1.4936009617363553e-101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794542502,0.9999999999996556,0.0,0.0,3.582118711623688e-15,2.25203447318959e-15,6.756704895156554e-16,6.544137489184336e-16,3.445045449730303e-13,3.307137383148618e-31,1.1794994602669661e-48,8.673195500307124e-30,5.63101337921757e-38,2.1057133372131659e-32,1.056115968304976e-79,7.311770970253165e-78,3.4582857205677615e-35,7.991278718815892e-80,7.033659416229841e-37,3.520265424002066e-95,5.489438834206823e-81,2.2085826829257876e-84
3.4422357184137963e-19,0.7263827482631116,0.0,7.382761038005956e-25,0.0,0.0,0.0,0.0,0.0,0.0,9.015351139177023e-46,8.918727947449753e-65,0.0,4.785423839308613e-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794542467,0.9999999999993108,0.0,0.0,7.167349602840426e-15,4.506025535929614e-15,1.3519280081309446e-15,1.3093960587798295e-15,6.893083986400588e-13,1.3237168181563408e-30,9.44316754394053e-48,3.471538498822405e-29,2.2538728357109366e-37,8.428340997152593e-32,3.3848701621685327e-78,2.3434353918648562e-76,1.3842155437789874e-34,2.5612188160350238e-78,2.8152967916531253e-36,2.256559419158793e-93,1.7593747625913003e-79,7.078546200007658e-83
6.88596611147736e-19,0.7263827482631124,0.0,1.4768727793567523e-24,0.0,0.0,0.0,0.0,0.0,0.0,7.21502086214658e-45,1.42757730133372e-63,0.0,1.532280445503054e-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794542395,0.9999999999986212,0.0,0.0,1.4337811385273833e-14,9.014007661668747e-15,2.7044430453723767e-15,2.6193606782325594e-15,1.3789161053530447e-12,5.296591493798126e-30,7.557404006761562e-47,1.3890675873341089e-28,9.01842714484866e-37,3.3724342418910445e-31,1.084007005485914e-76,7.504868009834985e-75,5.538665201620364e-34,8.202320938410538e-77,1.126485426543179e-35,1.4453476682378714e-91,5.634409875898139e-78,2.266909336157222e-81
1.3773426897604488e-18,0.7263827482631143,0.0,2.9540661313150007e-24,0.0,0.0,0.0,0.0,0.0,0.0,5.773112906126268e-44,2.2845884625026228e-62,0.0,4.904809691105136e-97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794542252,0.999999999997242,0.0,0.0,2.867873495014039e-14,1.8029971914183364e-14,5.409473119898657e-15,5.239289916057771e-15,2.75813151629473e-12,2.1189814909812496e-29,6.047071439652483e-46,5.5571748476308255e-28,3.607958099994053e-36,1.3491932971066244e-30,3.4701806698845224e-75,2.402498113600223e-73,2.21582673867743e-33,2.62577044723059e-75,4.506675233375069e-35,9.253905510407506e-90,1.8037171836030796e-76,7.256950489948784e-80
2.7548348469858744e-18,0.7263827482631181,0.0,5.908452838615241e-24,0.0,0.0,0.0,0.0,0.0,0.0,4.618928861283888e-43,3.6557134129155556e-61,0.0,1.5697811097143176e-95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794541965,0.9999999999944835,0.0,0.0,5.736058207987246e-14,3.606190042335797e-14,1.0819533269124882e-14,1.0479148387387206e-14,5.516562328240961e-12,8.476615800792835e-29,4.838116494897462e-45,2.223050846674706e-27,1.4433006951802157e-35,5.397212424128741e-30,1.1106751823602765e-73,7.689498836389418e-72,8.864028333003369e-33,8.404110198691278e-74,1.802816811605391e-34,5.923677531317817e-88,5.77302504596092e-75,2.3226788480603877e-78
5.509819161436725e-18,0.7263827482631257,0.0,1.1817226266750693e-23,0.0,0.0,0.0,0.0,0.0,0.0,3.6953185177073807e-42,5.84943898479759e-60,0.0,5.023686810613477e-94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794541391,0.9999999999889667,0.0,0.0,1.1472427633933242e-13,7.212575745828873e-14,2.1639653568271988e-14,2.095886531276211e-14,1.1033423912384852e-11,3.3907842932581975e-28,3.8706769436573087e-44,8.892565175467774e-27,5.773437686708266e-35,2.158972822898232e-29,3.5545084250884744e-72,2.460880432570111e-70,3.5457556226889344e-32,2.689578474035204e-72,7.211560712315534e-34,3.791530639554394e-86,1.8475489625640185e-73,7.433300527910995e-77
1.1019787790338425e-17,0.7263827482631409,0.0,2.3634773177161482e-23,0.0,0.0,0.0,0.0,0.0,0.0,2.956324995124685e-41,9.359340425646435e-59,0.0,1.607641750323212e-92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794540244,0.999999999977933,0.0,0.0,2.2945166485823563e-13,1.4425347159447642e-13,4.327989416934484e-14,4.191829909437608e-14,2.206714692167836e-11,1.3563413129067321e-27,3.0966150570330606e-43,3.557098397741886e-26,2.3094220465234355e-34,8.636067025041499e-29,1.1374983642604394e-70,7.875202694188033e-69,1.4183311144402536e-31,8.607072405971567e-71,2.8846829942980105e-33,2.4267002846500956e-84,5.912446978399444e-72,2.3787730941840712e-75
2.203972504814183e-17,0.726382748263171,0.0,4.726986721454261e-23,0.0,0.0,0.0,0.0,0.0,0.0,2.3650880810385974e-40,1.4975135198372834e-57,0.0,5.14455279874914e-91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794537949,0.9999999999558655,0.0,0.0,4.589064418959753e-13,2.885089001321563e-13,8.656037538260508e-14,8.383716638106065e-14,4.41345923042883e-11,5.425420447516998e-27,2.47732144853987e-42,1.4228537995466604e-25,9.237782049060078e-34,3.4544619760808767e-28,3.64008390562317e-69,2.5201265146968465e-67,5.673382244631755e-31,2.754330661444469e-69,1.153884951816607e-32,1.5531268282923373e-82,1.8920299726519197e-70,7.61226357841142e-74
4.407959956374863e-17,0.7263827482632312,0.0,9.45400561555431e-23,0.0,0.0,0.0,0.0,0.0,0.0,1.8920817183702868e-39,2.396036897052153e-56,0.0,1.6462728038566285e-89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794533361,0.9999999999117306,0.0,0.0,9.178159959711877e-13,5.770197582687345e-13,1.731213378535837e-13,1.6767489984825631e-13,8.826948052560005e-11,2.1701792215874684e-26,1.9818689227605557e-41,5.691443877696234e-25,3.6951315270606476e-33,1.3817918389259037e-27,1.3494972128823829e-67,9.342926236877122e-66,2.2693644997803624e-30,1.0211197766113251e-67,4.61556341251421e-32,1.1491271560292517e-80,7.014373491069509e-69,2.8221155123437597e-72
8.815934859496224e-17,0.7263827482633519,0.0,1.8908043750249735e-22,0.0,0.0,0.0,0.0,0.0,0.0,1.5136699073092473e-38,3.833671323762565e-55,0.0,5.268098613844433e-88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794524183,0.9999999998234609,0.0,0.0,1.8356351041205445e-12,1.1540414787867642e-12,3.4624326297337335e-13,3.3535036235795383e-13,1.7653924679259214e-10,8.680738998388582e-26,1.5854998480912628e-40,2.276583125778075e-24,1.4780563001277142e-32,5.527181574717337e-27,4.3368799241193523e-66,3.0025364176093653e-64,9.077481559045223e-30,3.281573381083418e-66,1.8462301636244748e-31,7.400988152072564e-79,2.25421248581795e-67,9.069449739184838e-71
1.7631884665738945e-16,0.7263827482635933,0.0,3.7816121405622137e-22,0.0,0.0,0.0,0.0,0.0,0.0,1.2109377887872147e-37,6.133884192603653e-54,0.0,1.6857957839552904e-86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794505826,0.9999999996469213,0.0,0.0,3.671273320414985e-12,2.308084936802315e-12,6.924871139242828e-13,6.707012696785748e-13,3.5307873862406007e-10,3.4723000432306775e-25,1.2684017693023197e-39,9.106342362802929e-24,5.912232161588325e-32,2.2108755712890562e-26,1.3879901607494873e-64,9.609420286490943e-63,3.630997620421587e-29,1.0502463069272855e-64,7.384930872216016e-31,4.737731815905999e-77,7.214478686245029e-66,2.902628252285347e-69
3.526378427822439e-16,0.7263827482640759,0.0,7.563228226029525e-22,0.0,0.0,0.0,0.0,0.0,0.0,9.687510560328466e-37,9.814223547940045e-53,0.0,5.394554072338867e-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794469113,0.9999999992938425,0.0,0.0,7.342549752986775e-12,4.61617192075138e-12,1.3849748186714217e-12,1.3414030135247278e-12,7.061575594770061e-10,1.3889209232378836e-24,1.0147221827710741e-38,3.642537885284001e-23,2.3648939228215054e-31,8.843508948733275e-26,4.441594617140913e-63,3.075031364161853e-61,1.452400275380635e-28,3.3608087583602044e-63,2.953974888806828e-30,3.0321768964027393e-75,2.3086585920934523e-64,9.28852873001442e-68
5.289568389070984e-16,0.7263827482645585,0.0,1.1344844865889932e-21,0.0,0.0,0.0,0.0,0.0,0.0,2.7700232720810573e-36,3.61228683379464e-52,0.0,2.5236932395574994e-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.76533007944324,0.999999998940764,0.0,0.0,1.1013826185541475e-11,6.9242589726183984e-12,2.07746252626388e-12,2.0121046865757987e-12,1.0592362175200377e-09,2.9514575474130842e-24,2.901471818185206e-38,7.740392433082519e-23,5.025399909009668e-31,1.879246175436371e-25,1.9635847532425677e-62,1.3594405233390486e-60,3.086351669290538e-28,1.4857802405785952e-62,6.277198953216146e-30,1.6227678619491126e-74,1.0206371805128421e-63,4.106377927932135e-67
8.815948311568072e-16,0.7263827482655238,0.0,1.8908080363184765e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.2730003078285122e-35,2.779324821849464e-51,0.0,3.6860019626578684e-83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794358975,0.9999999982346073,0.0,0.0,1.835637905058252e-11,1.1540433348024191e-11,3.4624379528300724e-12,3.3535077494976742e-12,1.7653928823670419e-09,8.159913736995484e-24,1.3334089596689134e-37,2.1399897901435656e-22,1.38937506612784e-30,5.195565054374745e-25,3.1666368752182836e-61,2.1923432060851725e-59,8.532859574348591e-28,2.396091340325657e-61,1.7354619607952046e-29,4.418305178738233e-73,1.6459768086448554e-62,6.62235558799409e-66
1.1989690241815452e-15,0.7263827482663926,0.0,2.5714994102010974e-21,0.0,0.0,0.0,0.0,0.0,0.0,2.865511444461959e-35,7.65437069680458e-51,0.0,1.319716431005713e-82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794292892,0.9999999975990669,0.0,0.0,2.4964676629064237e-11,1.569499050533392e-11,4.7089158459329405e-12,4.56077027738678e-12,2.4009333546873684e-09,1.4530389949771817e-23,3.001490418022757e-37,3.8106863211445114e-22,2.4740649942516795e-30,9.251764097344847e-25,1.1743490941617984e-60,8.13031548658005e-59,1.5194500141133519e-27,8.885919674058819e-61,3.0903447601658993e-29,1.868293425103293e-72,6.104132348440973e-62,2.4559140119751218e-65
1.5163432172062831e-15,0.7263827482672613,0.0,3.2521909736851797e-21,0.0,0.0,0.0,0.0,0.0,0.0,5.416004019796503e-35,1.7239934483934263e-50,0.0,3.487415361042982e-82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794226809,0.9999999969635268,0.0,0.0,3.15729742074875e-11,1.984954789492113e-11,5.95539374876672e-12,5.7680325631587115e-12,3.0364732702035512e-09,2.2682145104676594e-23,5.673012525264519e-37,5.948532680346026e-22,3.862049722494893e-30,1.4442137262960562e-24,3.071957059623377e-60,2.1267927828349634e-58,2.3718837084078094e-27,2.3244510090182945e-60,4.824073562546078e-29,5.778251086096136e-72,1.59677512449904e-61,6.424415374404873e-65
1.8337174102310213e-15,0.7263827482681301,0.0,3.932882716268102e-21,0.0,0.0,0.0,0.0,0.0,0.0,9.052646464319829e-35,3.313471042867587e-50,0.0,7.900527133559418e-82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794160727,0.9999999963279874,0.0,0.0,3.818127178585557e-11,2.4004105503918997e-11,7.201871660792375e-12,6.975294620225356e-12,3.6720126597596328e-09,3.2516507104037827e-23,9.482225455996085e-37,8.527651050815204e-22,5.5365283972050144e-30,2.0703858634943455e-24,7.081232689002452e-60,4.902513556421757e-58,3.400268977531678e-27,5.358141576011999e-60,6.91566294312354e-29,1.4738256601856663e-71,3.6807709346550175e-61,1.4809114348841449e-64
2.468465796280497e-15,0.7263827482698675,0.0,5.294266609866147e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.9326371465590845e-34,8.568542644055314e-50,0.0,2.7613574661736156e-81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.765330079402856,0.9999999950569098,0.0,0.0,5.139786694246578e-11,3.231322122227658e-11,9.694827505805587e-12,9.389818212800553e-12,4.9430902394306755e-09,5.60223853769578e-23,2.0243470038825613e-36,1.469219902769486e-21,9.538829600541955e-30,3.567049320016223e-24,2.5919316253519617e-59,1.794458211121303e-57,5.8582944223232294e-27,1.961231867344712e-59,1.1914937569323622e-28,6.070770834870068e-71,1.3472716428561393e-60,5.420583504854474e-64
3.103214182329973e-15,0.7263827482716051,0.0,6.6556511654879476e-21,0.0,0.0,0.0,0.0,0.0,0.0,3.514291456389818e-34,1.814608831863981e-49,0.0,7.191698833648438e-81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300793896394,0.9999999937858342,0.0,0.0,6.461446209887192e-11,4.062233775166492e-11,1.2187783384795702e-11,1.1804340959988262e-11,6.21416587494269e-09,8.574786420547253e-23,3.681055232559822e-36,2.248786364655589e-21,1.4600127981058354e-29,5.4597271870263224e-24,6.957848597519377e-59,4.8170886630759716e-57,8.96671001144288e-27,5.264782868901205e-59,1.823701415554328e-28,1.8296306382505666e-70,3.616666625930406e-60,1.4551239264713266e-63
3.737962568379449e-15,0.7263827482733425,0.0,8.01703642803814e-21,0.0,0.0,0.0,0.0,0.0,0.0,5.813325074717854e-34,3.433027484031651e-49,0.0,1.6253829175426498e-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300793764227,0.9999999925147606,0.0,0.0,7.783105725506012e-11,4.8931455147094115e-11,1.4680739300067284e-11,1.4218862804448068e-11,7.485239434430757e-09,1.2211480553582243e-22,6.089183803460264e-36,3.2025276273240305e-21,2.0792251913263683e-29,7.775280573857266e-24,1.6112551038312617e-58,1.1155109162351798e-56,1.2769631274779091e-26,1.2191857811831876e-58,2.5971617782816298e-28,4.7148405271609975e-70,8.375287930543123e-60,3.3697051595798733e-63
5.007459340478401e-15,0.7263827482768175,0.0,1.0739809113765325e-20,0.0,0.0,0.0,0.0,0.0,0.0,1.3409503877956295e-33,1.0404957503161753e-48,0.0,7.005716042692092e-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300793499895,0.9999999899726197,0.0,0.0,1.042642475667705e-10,6.554969258487387e-11,1.9666651241499203e-11,1.9047903734317907e-11,1.0027380208371882e-08,2.151473203217187e-22,1.4045816042350064e-35,5.642346870334042e-21,3.6632691063295706e-29,1.3698844823599293e-23,7.017706617645872e-58,4.858521713074838e-56,2.2498132261876646e-26,5.310081117713262e-58,4.575801624897317e-28,2.8720773257826536e-69,3.647860839678152e-59,1.4676854462418296e-62
7.546452884676306e-15,0.7263827482837676,0.0,1.618536310069668e-20,0.0,0.0,0.0,0.0,0.0,0.0,4.538992577185838e-33,5.477813640503234e-48,0.0,5.931069049457099e-79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300792971232,0.9999999848883636,0.0,0.0,1.571306281875354e-10,9.878617801494437e-11,2.963847556652828e-11,2.87059745924384e-11,1.5111636455726096e-08,4.821525767023108e-22,4.754373060132286e-35,1.2644648775722349e-20,8.209499266349114e-29,3.0699623210682367e-23,5.881109077459946e-57,4.071614900161979e-55,5.041921258446027e-26,4.45006252472807e-57,1.0254557912995796e-27,4.160282601183217e-68,3.057185200947907e-58,1.2300507775772361e-61
