Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130)
0.0,0.5018043279445346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.929590468281897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.399315051042558e-21,0.5018043279445346,0.0,1.933734962665337e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.929590468281897,0.9999999999999998,0.0,0.0,5.994489185870338e-21,3.7782258345820745e-21,1.7928647860244103e-21,4.2339856526385452e-22,3.3911649907216386e-16,1.325420522935689e-43,3.8496700787811654e-67,6.803289767551843e-40
1.5118082142919162e-20,0.5018043279445346,0.0,5.41445789546294e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.929590468281897,0.9999999999999991,0.0,0.0,1.6784569720436946e-20,1.0579032336830825e-20,5.020021400868351e-21,1.1855159827377732e-21,9.495261973856416e-16,8.005539958532194e-43,4.5703283175293276e-66,4.109187019508678e-39
3.455561632667237e-20,0.5018043279445346,0.0,1.2375903761058141e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.929590468281897,0.9999999999999979,0.0,0.0,3.836473078957017e-20,2.4180645341332396e-20,1.1474334630556243e-20,2.709750817681532e-21,2.170345593946929e-15,3.854322880697938e-42,4.487175443828345e-65,1.9783966642651217e-38
7.343068469417879e-20,0.5018043279445346,0.0,2.6298795492248506e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.929590468281897,0.9999999999999954,0.0,0.0,8.152505292783661e-20,5.1383871350351817e-20,2.438296108993206e-20,5.758220487552736e-21,4.611984386806831e-15,1.6832840641293103e-41,3.968855864422366e-64,8.640178003354978e-38
1.5118082142919164e-19,0.5018043279445346,0.0,5.41445789546291e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.929590468281897,0.9999999999999906,0.0,0.0,1.6784569720436947e-19,1.0579032336845578e-19,5.020021400868385e-20,1.1855159827229887e-20,9.495261971475941e-15,7.027379612613892e-41,3.336062495554372e-63,3.6071042334637088e-37
3.0668109489921733e-19,0.5018043279445348,0.0,1.0983614587938973e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.929590468281897,0.9999999999999808,0.0,0.0,3.404869857574352e-19,2.146032274049241e-19,1.0183471984618802e-19,2.4049038506323165e-20,1.926181713661139e-14,2.870913869507127e-40,2.735105590265264e-62,1.4736197757166698e-36
6.176816418392686e-19,0.5018043279445348,0.0,2.2121927972890878e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.929590468281897,0.9999999999999613,0.0,0.0,6.857695628635667e-19,4.3222903547890245e-19,2.0510373152119873e-19,4.8436795863465634e-20,3.87949274500712e-14,1.1604692880214719e-39,2.2149594194034573e-61,5.956606740400378e-36
1.2396827357193712e-18,0.5018043279445348,0.0,4.4398554742793816e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.929590468281897,0.9999999999999222,0.0,0.0,1.3763347170758298e-18,8.67480651631026e-19,4.116417548712298e-19,9.721231057357423e-20,7.786114800974649e-14,4.6661959678660996e-39,1.7827920378592254e-60,2.3951253685256135e-35
2.4836849234795767e-18,0.5018043279445348,0.0,8.895180828259622e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.929590468281897,0.999999999999844,0.0,0.0,2.757465025500356e-18,1.73798388395194e-18,8.247178015713301e-19,1.94763339977086e-19,1.559935888601197e-13,1.8713532838501085e-38,1.430578334075505e-59,9.605523944264809e-35
4.971689298999988e-18,0.5018043279445348,0.0,1.7805831536218708e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.929590468281897,0.9999999999996877,0.0,0.0,5.519725642349408e-18,3.478990348660437e-18,1.650869894971683e-18,3.89865398717288e-19,3.1225846948495654e-13,7.495174062462038e-38,1.1462035291766037e-58,3.8472197687397065e-34
9.947698050040808e-18,0.5018043279445346,0.0,3.5627132952131316e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.929590468281897,0.9999999999993752,0.0,0.0,1.1044246876047511e-17,6.961003278344107e-18,3.303174081773e-18,7.800695159304055e-19,6.247882264309927e-13,3.0000229238478736e-37,9.176597641935146e-58,1.5398905029693047e-33
