Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195),S(2224),S(2641),S(2826),C2FO(289),S(1665),C2FO(7367),S(3464),S(6251),S(5206),CFO3(444),C2H2O(907)
0.0,0.7827389775666806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7907166108018988,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.696405901212351e-22,0.7827389775666806,1.816829878336707e-26,4.193080671253406e-27,4.0391164399951377e-38,1.8816386424457257e-25,0.0,0.0,1.3437107149376786e-21,2.9505922381738834e-39,1.1839876305107777e-53,9.134301276066791e-54,7.380394270485558e-57,8.56363751257492e-65,7.052544603752528e-44,1.5408694452441157e-38,1.9320220444336002e-39,4.0767750617487283e-38,3.298466693985385e-88,4.3292305094699e-61,3.9488907970855907e-91,2.3795582608132236e-90,1.0079641892202827e-24,6.445450074262489e-92,7.68307624844066e-58,7.002796699548273e-95,9.07777558822153e-97,6.847624995228182e-78,1.5466909736275097e-93,5.740578789617321e-94,2.5034050217289835e-59,4.008330033471178e-111,4.273636907054806e-112,7.50244763111902e-112,3.76,0.0,0.7907166108018988,0.9999999999999993,4.27006269957585e-53,3.278333579467113e-55,1.312714751994671e-17,8.149501298117501e-18,2.3185909117551078e-18,2.6590553100741067e-18,5.382832127016287e-16,9.535417648719303e-36,2.535558375889234e-55,1.2185631859333874e-34,3.655331870855926e-43,2.24811520580157e-37,1.7821063489156627e-91,1.8400798738973737e-89,6.0655628146097096e-40,1.7876097521288708e-91,2.0910724327534539e-41,1.0115269766173024e-109,1.5598967772950122e-89,9.59105951445205e-93,1.735277080975009e-91,9.861370935684116e-90,6.765773917316349e-111,5.9156343676926e-110,2.9253497948859468e-74,8.415938102723906e-43,4.076775061748728e-38,3.372094615741874e-43,1.0287848336970143e-21,3.149440495394319e-22,7.173899571318144e-36,1.0582435562000803e-51,4.4643897543622537e-36,4.7361864220158965e-25,1.864563489649556e-23,8.894174587308189e-38,9.239278625615543e-37,5.892765108383993e-52,9.317784787622294e-37,3.4836427925100204e-42,7.349212073190244e-21,2.5766854844501443e-47,1.5775097931091955e-37,1.2644136856071867e-60,1.5158881789516732e-68,1.1709543949594367e-72,5.3698499768027284e-39,3.45074314153565e-38,2.2906133110330117e-54,1.9119253538695502e-23,7.096809909445707e-73,2.1794008737446853e-52,2.5451605455391435e-41,7.349212073190242e-21,4.14442565717674e-58,8.430689838639239e-39,1.0079641892202142e-24,1.4721154548248771e-40,1.3504638614427371e-73,3.844744930056852e-38,1.6119190520821422e-51,3.2707612523008764e-57,4.072976164974364e-72,2.4682529676037075e-54,1.368165009800351e-55,1.881638642445696e-25,1.662430241035421e-57,3.585520017212926e-57,5.828508521230532e-62,1.7356717636754208e-65,1.5658903205588215e-51,1.196861392339268e-57,4.2098195619613595e-60,1.0026220058488779e-75,3.786905568744531e-77,7.607185846231725e-108,8.254812404452512e-89,2.2561680843062938e-73,2.5307860161557693e-72,5.050679235093924e-117
4.749936523394583e-22,0.7827389775666806,5.087123661357038e-26,1.174062587951205e-26,2.439626329757142e-37,5.268588198848033e-25,0.0,0.0,3.762390001825499e-21,1.782157711857025e-38,1.4056301897075044e-52,1.0844242475024069e-52,8.766672767032863e-56,1.0166750454927846e-63,4.25973694066607e-43,9.306851449274927e-38,1.166941314838081e-38,2.46237213729728e-37,1.5757174967089404e-86,5.139662460846241e-60,1.8864325842579504e-89,1.1367435896316976e-88,2.8222997298170136e-24,3.136478765266914e-90,9.12134812214994e-57,3.3453200188563233e-93,4.340053460744261e-95,2.1530028605001797e-76,7.388744788886296e-92,2.742345300262084e-92,2.9720424417981303e-58,3.1047838856400405e-109,3.625890272734363e-110,5.836612492382575e-110,3.76,0.0,0.7907166108018988,0.9999999999999984,5.0694184372163715e-52,3.8920376255442385e-54,3.6756013055850796e-17,2.2818603634729995e-17,6.492054552914366e-18,7.445354868206444e-18,1.507192995563806e-15,5.759392259826664e-35,3.010214903855789e-54,7.360121643033235e-34,2.2078204499963476e-42,1.3578615843043858e-36,8.51333588153847e-90,8.790282367192807e-88,3.663599940025589e-39,8.539626299098886e-90,1.263007749383461e-40,8.79908704863273e-108,7.451814092751967e-88,4.5817642227707093e-91,8.289626849075153e-90,4.7108952324276287e-88,5.885422240434795e-109,5.145901488784825e-108,6.544656202244248e-73,5.0832266152327675e-42,2.4623721372972794e-37,2.036745147912027e-42,2.88059753435163e-21,8.818433387103852e-22,4.3330353410760845e-35,1.2563494168283863e-50,2.696491411634767e-35,1.3261321981674385e-24,5.220777771018866e-23,5.372081450733523e-37,5.5805242898711317e-36,6.996172402842119e-51,5.62794201172377e-36,2.104120246676012e-41,2.0577793804932683e-20,1.5563190764240605e-46,9.528159150379542e-37,1.5011119275546063e-59,3.391111644100586e-67,2.619478889401561e-71,3.243389385988549e-38,2.0842488574875414e-37,2.71943560408362e-53,5.353390990834612e-23,1.5875890487201447e-71,2.5873847173090373e-51,1.537276969512143e-40,2.0577793804932677e-20,4.9202621402189477e-57,5.092136662537632e-38,2.8222997298166e-24,8.891577347150209e-40,3.0209543132745913e-72,2.322225937754221e-37,1.9136702981355706e-50,3.8830477587321288e-56,1.2797816285766902e-70,1.4957077101071904e-53,1.6242854996344606e-54,5.2685881988478525e-25,1.9738789869632662e-56,5.418437850012226e-56,8.808042077285947e-61,2.0605895178863204e-64,9.457977832252346e-51,1.4209138449851253e-56,4.9978977839705765e-59,2.2428352369407153e-74,8.47116462846506e-76,6.617352553751249e-106,3.9434229433553133e-87,7.09338408654805e-72,5.664380109486682e-71,4.393492967537747e-115
1.0856997767759046e-21,0.7827389775666806,1.162771123545473e-25,2.68357162960394e-26,1.174575060750705e-36,1.204248731165265e-24,0.0,0.0,8.599748575601129e-21,8.580322228609641e-38,1.38005608829003e-51,1.0646941567623914e-51,8.609217100850435e-55,9.98177588465392e-63,2.0508799707705506e-42,4.480848346770585e-37,5.618320105215701e-38,1.1855261879580728e-36,8.20472712677304e-85,5.04615108184885e-59,9.822615150671132e-88,5.919000076401616e-87,6.450970811011363e-24,1.6146442307492406e-88,8.955393675186115e-56,1.7419012004558348e-91,2.2583779037557805e-93,4.803230945257121e-75,3.847298802786131e-90,1.4279326966741458e-90,2.9179688933317925e-57,3.3843865135669077e-107,3.807272209247788e-108,6.3636713890441e-108,3.76,0.0,0.7907166108018988,0.9999999999999966,4.977185083023358e-51,3.821225620229074e-53,8.401374412765895e-17,5.2156808307958933e-17,1.4838981835233142e-17,1.7017953984466898e-17,3.4450125612851426e-15,2.7728994522478797e-34,2.9554468429367713e-53,3.5435817446876534e-33,1.0629705080439473e-41,6.537519018474469e-36,4.432876343543388e-88,4.57708180444657e-86,1.7638656664904536e-38,4.4465657094643084e-88,6.0808386344525e-40,9.145983638206178e-106,3.88014414887886e-86,2.3857151318146502e-89,4.316391514138346e-88,2.4529533808234786e-86,6.117450051060626e-107,5.348774317167196e-106,1.2931876074756509e-71,2.4473548020193903e-41,1.1855261879580725e-36,9.806051142636392e-42,6.584222935660822e-21,2.0156419170521936e-21,2.0861699953392044e-34,1.2334924761156447e-49,1.298244540568491e-34,3.0311593101110867e-24,1.1933206333757917e-22,2.5864259699882874e-36,2.686782224328015e-35,6.869006976290569e-50,2.709611816240417e-35,1.0130433240618531e-40,4.7034957268417576e-20,7.493017046023617e-46,4.5873984783615415e-36,1.473800591948985e-58,6.700390907606911e-66,5.175746001681866e-70,1.5615523732537864e-37,1.0034761055585812e-36,2.6699665386810795e-52,1.2236322264764218e-22,3.13686730000677e-70,2.540309658434777e-50,7.40132686652517e-40,4.7034957268417546e-20,4.83074254606315e-56,2.4516446050755854e-37,6.4509708110093724e-24,4.280911742642443e-39,5.9689165816959056e-71,1.1180518256603553e-36,1.8788528455682635e-49,3.812399315683462e-55,2.8547211531820475e-69,7.250923394909983e-53,1.5947331354216875e-53,1.204248731165178e-24,1.938072051776535e-55,5.828908181582887e-55,9.475289732801536e-60,2.0230990078976981e-63,4.553609496300364e-50,1.3950616389104812e-55,4.9069656814522175e-58,4.431474037620885e-73,1.6737601833878634e-74,6.878235113562621e-104,2.053332151038337e-85,1.5824770531916448e-70,1.1194616098680875e-69,4.566702801533843e-113
2.307112025648797e-21,0.7827389775666806,2.4708886415878232e-25,5.702589712913429e-26,5.129677878795058e-36,2.5590285537261904e-24,0.0,0.0,1.8274465723152352e-20,3.7472521424808163e-37,1.2206439944661396e-50,9.417099244078779e-51,7.615567504444134e-54,8.828767729957086e-62,8.956731646758636e-42,1.9569041954607468e-36,2.4536679964335553e-37,5.177504328436688e-36,3.2742910448061876e-83,4.46326348606535e-58,3.9199478248379e-86,2.362117518839626e-85,1.3708312973403612e-23,6.417681017840105e-87,7.92094428910011e-55,6.951470443177138e-90,9.010496146402625e-92,8.995919976610867e-74,1.5353552157038457e-88,5.698503389837159e-89,2.5809104412110447e-56,2.768802944184493e-105,3.062341018840011e-106,5.206563859535758e-106,3.76,0.0,0.7907166108018987,0.9999999999999927,4.402263841155789e-50,3.379830787091561e-52,1.785292062712753e-16,1.1083321765443267e-16,3.153283639987172e-17,3.6163152216970936e-17,7.320651692715744e-15,1.2109980413876683e-33,2.614059263207354e-52,1.5475752461285436e-32,4.642271475977111e-41,2.8551063113715873e-35,1.7690445815037626e-86,1.8265931954142123e-84,7.703264774574318e-38,1.7745076480863055e-86,2.6556619896024493e-39,7.321074101774736e-104,1.5484636723521414e-84,9.520762818237835e-88,1.7225585439267562e-86,9.789093019328746e-85,4.896827603170103e-105,4.281526698349567e-104,2.3012181651610883e-70,1.068824140835585e-40,5.1775043284366855e-36,4.282560162053168e-41,1.3991473738279045e-20,4.2832390737354194e-21,9.11085245557288e-34,1.0910105903778743e-48,5.669774988039519e-34,6.4412135340461845e-24,2.535806345923774e-22,1.1295601725871737e-35,1.173388385452156e-34,6.075607898756834e-49,1.1833586680278792e-34,4.424226346487093e-40,9.994928419538741e-20,3.272406744402364e-45,2.0034374372486786e-35,1.3035599333244523e-57,1.1923089666299675e-64,9.210042297376468e-69,6.819709470534847e-37,4.38244378975042e-36,2.3615585572982252e-51,2.6002184812621374e-22,5.58193553255767e-69,2.2468751247915597e-49,3.2323538929352224e-39,9.994928419538728e-20,4.272737075644514e-55,1.0706976095064537e-36,1.370831297339492e-23,1.8695866276395773e-38,1.0621384314852174e-69,4.88282606117037e-36,1.661824062703372e-48,3.372024020675329e-54,5.3462782847288556e-68,3.2103664928135405e-52,1.4105233985004043e-52,2.55902855372581e-24,1.7142448621738293e-54,5.357770851321315e-54,8.709423713120295e-59,1.789408161809788e-62,1.9886811660287246e-49,1.2339162210457345e-54,4.34015557566191e-57,7.885579034803491e-72,2.9783674702932267e-73,5.505811982881674e-102,8.194309595615114e-84,2.9637910568810154e-69,1.99224726902527e-68,3.655503013160096e-111
4.7499365233945825e-21,0.7827389775666809,5.0871236905637745e-25,1.1740625879548492e-25,2.1415395364865303e-35,5.268588198848046e-24,0.0,0.0,3.762390001825464e-20,1.564404004679777e-36,1.0260248318263374e-49,7.915639337935198e-50,6.401665496326647e-53,7.42111125018424e-61,3.7392591489032235e-41,8.169689798690774e-36,1.0243580879612896e-36,2.1615061377533385e-35,1.1637342952760462e-81,3.75164189185863e-57,1.3932108483684826e-84,8.395335577137587e-84,2.822299729820231e-23,2.2770848193440242e-85,6.658030947692716e-54,2.4706614846931923e-88,3.202155572207554e-90,1.5538214632332584e-72,5.456891806914635e-87,2.0253371826492278e-87,2.169410737366836e-55,1.9927812951134948e-103,2.185582718700791e-104,3.7474260218352274e-104,3.76,0.0,0.7907166108018985,0.9999999999999849,3.7003680148066384e-49,2.8409514266360355e-51,3.6756013055850793e-16,2.2818603634744344e-16,6.492054552915297e-17,7.445354868191149e-17,1.5071929955528656e-14,5.055678437353825e-33,2.1972743196126657e-51,6.460822011757091e-32,1.938056957918872e-40,1.1919506821192146e-34,6.287461517177902e-85,6.491998304456367e-83,3.215961404323987e-37,6.306878111475157e-85,1.1086866038508566e-38,5.212247026792617e-102,5.503482417794677e-83,3.3838282234178124e-86,6.122242858818547e-85,3.4791969795571636e-83,3.486301977074692e-103,3.048237798630255e-102,3.881388716169517e-69,4.462130398103029e-40,2.1615061377533355e-35,1.7878845653212293e-40,2.880597534351486e-20,8.818433387100302e-21,3.803601552711832e-33,9.170603235455037e-48,2.367019447762377e-33,1.3261321982107582e-23,5.220777771020428e-22,4.7156913661821025e-35,4.8986655272921975e-34,5.1069339563761135e-48,4.940289494395971e-34,1.8470274085882404e-39,2.0577793804932718e-19,1.3661732050910777e-44,8.363956923064948e-35,1.0957206693478116e-56,2.0110115070866145e-63,1.5534145560535322e-67,2.84709445769665e-36,1.82958401364233e-35,1.9850336061728703e-50,5.353390990832743e-22,9.414788366036702e-68,1.8886339267654306e-48,1.349444121335281e-38,2.0577793804932665e-19,3.591492963919347e-54,4.469951752439952e-36,2.8222997298166024e-23,7.805156141588894e-38,1.7914530041046712e-68,2.038483761914493e-35,1.3968632539671698e-47,2.8343893690696926e-53,9.234119207696043e-67,1.3767844249870532e-51,1.185629906846721e-51,5.268588198846456e-24,1.4409427819128394e-53,4.583685763765495e-53,7.451095351467979e-58,1.5041053802533494e-61,8.302354609873488e-49,1.0371809328182824e-53,3.6481622753949124e-56,1.3300187828558781e-70,5.023452588194109e-72,3.919869011894758e-100,2.9123859726623314e-82,5.119200979495345e-68,3.3603994072879353e-67,2.602539701550437e-109
9.635585518886153e-21,0.7827389775666806,1.0319593840080672e-24,2.381669821288297e-25,8.748887773696451e-35,1.0687707489091777e-23,0.0,0.0,7.632276860845863e-20,6.391100811574027e-36,8.411971489947127e-49,6.489719372830705e-49,5.248600340240793e-52,6.084275367546125e-60,1.527609371345821e-40,3.3375848531820437e-35,4.1848370291469245e-36,8.830457854869884e-35,3.919777570565356e-80,3.07582268763682e-56,4.692717833840144e-83,2.827780230120432e-82,5.725236594785652e-23,7.663863161928562e-84,5.45865603221735e-53,8.321868408549146e-87,1.0785249071021555e-88,2.5816976005411073e-71,1.8380312773949282e-85,6.821893156023418e-86,1.7786139927841365e-54,1.3507894628746908e-101,1.4753138471082024e-102,2.5402001426455026e-102,3.76,0.0,0.7907166108018981,0.9999999999999694,3.03378526536653e-48,2.3291836226176905e-50,7.4562197913297305e-16,4.628916737337184e-16,1.3169596378773197e-16,1.510343416115225e-16,3.0574486480961315e-14,2.0654096043856095e-32,1.8014582409421804e-50,2.639456603206889e-31,7.917595045473015e-40,4.8695074604016665e-34,2.1177902015321197e-83,2.1866838245923074e-81,1.3138251679108651e-36,2.124330245253683e-83,4.529346532283285e-38,3.5140603800289265e-100,1.8537244493219293e-81,1.1397665394251636e-84,2.0621400071276393e-83,1.1718893630248958e-81,2.350440335515358e-101,2.0551005395578593e-100,6.375230920555604e-68,1.8229258703538216e-39,8.830457854869861e-35,7.304091821946249e-40,5.843497855398394e-20,1.78888220138238e-20,1.553895342744906e-32,7.518615329197879e-47,9.670046783534669e-33,2.69015388789952e-23,1.0590720621216496e-21,1.9265137923019375e-34,2.00126470741507e-33,4.186980739206053e-47,2.0182694561369778e-33,7.545709634283557e-39,4.1743524575720736e-19,5.581327111866562e-44,3.4169493122662366e-34,8.983380054029407e-56,3.303098962430489e-62,2.5514931119160126e-66,1.1631309843718595e-35,7.474447674292973e-35,1.6274510159307248e-49,1.0859736009970657e-21,1.5463848701785213e-66,1.54841619961116e-47,5.512919548825092e-38,4.174352457572052e-19,2.9445229208803422e-53,1.826121141803048e-35,5.725236594770828e-23,3.188660959859619e-37,2.942467972660022e-67,8.32787130828637e-35,1.1452328853656427e-46,2.3238036513611284e-52,1.5342423143582534e-65,5.923056064562245e-51,9.720510303693513e-51,1.0687707489085285e-23,1.1813785900485241e-52,3.789880029273588e-52,6.160709726675604e-57,1.2331564654795763e-60,3.3917845669054506e-48,8.50343592556402e-53,2.9909838461477825e-55,2.1845603405963813e-69,8.25103637809315e-71,2.6427481619551452e-98,9.80971805399357e-81,8.50561988190533e-67,5.519614248372805e-66,1.7546142479239975e-107
1.9406883509869295e-20,0.7827389775666809,2.0784534345374454e-24,4.796884287980928e-25,3.5364403208125814e-34,2.1525946069579322e-23,0.0,0.0,1.537205057888642e-19,2.5833851329485574e-35,6.812232615858382e-48,5.255543006761411e-48,4.2505037779702605e-51,4.927203938111756e-59,6.174841322681969e-40,1.3491051610491014e-34,1.6915780369778202e-35,3.5694122518623113e-34,1.2865102409635006e-78,2.4908809585936766e-55,1.5401969798978911e-81,9.281057847063618e-81,1.1531110324739217e-22,2.514412306328619e-82,4.420561180124385e-52,2.731320593825856e-85,3.5397487819225227e-87,4.2088186757559004e-70,6.032602423493831e-84,2.239013598000906e-84,1.4403677250623066e-53,8.894260479451841e-100,9.694085213519354e-101,1.672605291207619e-100,3.76,0.0,0.7907166108018974,0.9999999999999384,2.456837964094103e-47,1.886233285768786e-49,1.5017456762819027e-15,9.323029485072815e-16,2.652468003049556e-16,3.041959274696643e-16,6.157959953105401e-14,8.348715851520738e-32,1.4588675894754409e-49,1.0669105602746128e-30,3.200418508801822e-39,1.968332772231535e-33,6.950799494565961e-82,7.176915263539807e-80,5.3106913913303534e-36,6.972264572984257e-82,1.8308342863869106e-37,2.3076259761070867e-98,6.084109254904519e-80,3.74082790655348e-83,6.76814998435185e-82,3.846258229966761e-80,1.5434957248715282e-99,1.3495509114029139e-98,1.0334554665095674e-66,7.368557885320725e-39,3.569412251862293e-34,2.952430697005833e-39,1.1769298497491186e-19,3.602959926724574e-20,6.281093421861141e-32,6.088769918958237e-46,3.9087875206489505e-32,5.418197267582969e-23,2.1330606321619666e-21,7.787276771507923e-34,8.089431922036612e-33,3.3907286425403377e-46,8.15816783522357e-33,3.050096479692575e-38,8.4074986117297e-19,2.2561132344996236e-43,1.3811855443371648e-33,7.274974077886998e-55,5.354470972888869e-61,4.136084313736959e-65,4.70156140746073e-35,3.0212912560861523e-34,1.3179522406106383e-48,2.1872426048233276e-21,2.506758954044339e-65,1.2539475838350761e-46,2.228410225955324e-37,8.40749861172961e-19,2.3845510035551916e-52,7.381473626795123e-35,1.1531110324679295e-22,1.2889077423155765e-36,4.769868209769351e-66,3.366258734009921e-34,9.27439274379613e-46,1.8818764455586757e-51,2.5011855561253806e-64,2.63547381608055e-50,7.871921265092502e-50,2.1525946069553088e-23,9.567136600702101e-52,3.0818674990715895e-51,5.009786835296381e-56,9.986420783416927e-60,1.3710150149179787e-47,6.886302878976885e-52,2.4221762652624005e-54,3.541266847796738e-68,1.3375285864448595e-69,1.7354494850560869e-96,3.219647689370639e-79,1.3866299685961402e-65,8.947651762832816e-65,1.1522267919182444e-105
3.894947949183558e-20,0.7827389775666811,4.171441618100197e-24,9.627313221469137e-25,1.4219870991723086e-33,4.3202423230554747e-23,0.0,0.0,3.085159801496655e-19,1.038767799817978e-34,5.483077463391557e-47,4.230118235852079e-47,3.4211956626373853e-50,3.965842386417277e-58,2.4828765378935197e-39,5.424692516796268e-34,6.801760888456838e-35,1.4352449676686074e-33,4.169012933094169e-77,2.004877697313724e-54,4.991099905183155e-80,3.0075819866624025e-79,2.314285778473723e-22,8.146601706278176e-81,3.558052217927223e-51,8.851007174043405e-84,1.1470642375463028e-85,6.797253403812114e-69,1.9549006475640247e-82,7.255656647186453e-83,1.1593332543286529e-52,5.77335850688736e-98,6.2860416740627216e-99,1.08570992278109e-98,3.76,0.0,0.7907166108018958,0.9999999999998763,1.9774769335805575e-46,1.5182046469892635e-48,3.0139930705797593e-15,1.8711254980584616e-15,5.323484733396659e-16,6.105190991816268e-16,1.2358982562814882e-13,3.356981924918326e-31,1.1742235546241485e-48,4.290000438257209e-30,1.2868742064117347e-38,7.91457950681412e-33,2.25244791181659e-80,2.3257220713142743e-78,2.1354056512355036e-35,2.259403798175849e-80,7.361704142685375e-37,1.4959010579202562e-96,1.9715917854483794e-78,1.2122375293774516e-81,2.193259251864629e-80,1.2464028526088406e-78,1.0005594111127428e-97,8.748361549857406e-97,1.6643506173484637e-65,2.962864763093198e-38,1.4352449676685923e-33,1.1871593981604495e-38,2.362089978167269e-19,7.231115377398929e-20,2.5256000396749014e-31,4.900771858465896e-45,1.5717062705794802e-31,1.087428402817357e-22,4.281037772247014e-21,3.131229740111054e-33,3.2527249972106823e-32,2.729154630566521e-45,3.2803634056138274e-32,1.2264303796710864e-37,1.6873790920045042e-18,9.072146879103831e-43,5.553686327032602e-33,5.855532046771268e-54,8.623214602470579e-60,6.661039499810554e-64,1.8904771637098295e-34,1.214847925950919e-33,1.060802707750217e-47,4.389780612470574e-21,4.037059968430311e-64,1.0092861064270019e-45,8.960339512099066e-37,1.6873790920044688e-18,1.9192940994158413e-51,2.968058080415158e-34,2.3142857784496296e-22,5.1826413439336705e-36,7.68172636580618e-65,1.35355783159691e-33,7.464837999608679e-45,1.5146978829494287e-50,4.039407904478356e-63,1.2537493334429319e-49,6.3360070756785794e-49,4.320242323044925e-23,7.70047443794052e-51,2.4856377863202795e-50,4.040574574725528e-55,8.037940259245251e-59,5.51280284102133e-47,5.542695651796287e-51,1.9495781831117565e-53,5.7031014047762404e-67,2.154048581652255e-68,1.124991979303094e-94,1.0433459805469149e-77,2.23941050265086e-64,1.441001298871464e-63,7.469226958065606e-104
7.803467145576814e-20,0.7827389775666815,8.357418315241678e-24,1.9288171088857353e-24,5.702804266980922e-33,8.655537755250693e-23,0.0,0.0,6.181069288712294e-19,4.165923477523547e-34,4.399824353577161e-46,3.394403484104167e-46,2.7453022411409728e-49,3.1823387550225226e-57,9.957445410480808e-39,2.1755443245529345e-33,2.7278103325215953e-34,5.755974249674657e-33,1.3424885907068473e-75,1.6087880894543593e-53,1.6072136959154532e-78,9.684893213232905e-78,4.636635270509682e-22,2.6230961848234585e-79,2.8551128266364626e-50,2.8501655723247414e-82,3.693709817803989e-84,1.09263863256679e-67,6.295091505013669e-81,2.336437039023335e-81,9.302919244024233e-52,3.7210870136945956e-96,4.0494389492420024e-97,6.997709862319934e-97,3.76,0.0,0.7907166108018928,0.9999999999997523,1.5868007020583054e-45,1.218263616044643e-47,6.038487859175462e-15,3.7487705971770355e-15,1.0665518194101381e-15,1.2231654425882674e-15,2.476102778099762e-13,1.3462998965850577e-30,9.422404525733863e-48,1.720482050559336e-29,5.160941136062804e-38,3.1741003705261383e-32,7.253241175162543e-79,7.489195643266446e-77,8.56393174538311e-35,7.275640237877645e-79,2.952372621595084e-36,9.635051157343347e-95,6.3488396967439155e-77,3.903597999243776e-80,7.062644259335594e-79,4.013615783522302e-77,6.444571357790448e-96,5.634791862024848e-95,2.6716532970946358e-64,1.1882413238612818e-37,5.7559742496745355e-33,4.761040157895825e-38,4.732410235001938e-19,1.4487426278707534e-19,1.0128785761298837e-30,3.9325608232195273e-44,6.303245107823241e-31,2.178645755424959e-22,8.57699205243476e-21,1.2557631734377047e-32,1.30448820554178e-31,2.1899752074349274e-44,1.3155724434872754e-31,4.918534356862071e-37,3.3806375536676084e-18,3.638669360139966e-42,2.2272766118320775e-32,4.698695699724065e-53,1.3842172525776457e-58,1.0692446170782603e-62,7.581658962958792e-34,4.8720835370811934e-33,8.512274000488299e-47,8.79485662774395e-21,6.480376884128142e-63,8.098885377604131e-45,3.593496907396853e-36,3.380637553667467e-18,1.540112642672638e-50,1.1903240398736535e-33,4.636635270413055e-22,2.078470978461321e-35,1.233087259103098e-63,5.4283722982025704e-33,5.990062159702849e-44,1.215449658747423e-49,6.4932194134345e-62,6.5844485357035905e-49,5.084246650219351e-48,8.655537755208383e-23,6.179150006612324e-50,1.9965994447566457e-49,3.245609234399209e-54,6.449940868361223e-58,2.2108899423607836e-46,4.447664193763138e-50,1.564413712212681e-52,9.154741056508435e-66,3.4577250453785306e-67,7.246037564524261e-93,3.3597403009285646e-76,3.5997864955416945e-63,2.313133883829648e-62,4.810910574193549e-102
