,Species,Shape,LJ-depth,LJ-diam,DiplMom,Polzblty,RotRelaxNum,Data
0,H(5),0,145.0,2.05,0.0,0.0,0.0,GRI-Mech
1,O(6),0,80.0,2.75,0.0,0.0,0.0,GRI-Mech
2,OH(7),1,80.0,2.75,0.0,0.0,0.0,GRI-Mech
3,H2(8),1,59.7,2.833,0.0,0.0,0.0,PrimaryTransportLibrary
4,Ar(9),0,136.501,3.33,0.0,0.0,0.0,GRI-Mech
5,He(10),0,10.2,2.576,0.0,0.0,0.0,NOx2018
6,HO2(11),2,107.4,3.458,0.0,0.0,1.0,GRI-Mech
7,H2O2(12),2,289.3,4.196,0.0,0.0,0.0,PrimaryTransportLibrary
8,CO(13),1,91.7,3.69,0.0,1.76,4.0,PrimaryTransportLibrary
9,CO2(14),1,195.201,3.941,0.0,0.0,0.0,PrimaryTransportLibrary
10,HCO(15),2,498.002,3.59,0.0,0.0,0.0,GRI-Mech
11,C(T)(16),0,71.4,3.298,0.0,0.0,0.0,GRI-Mech
12,CH(17),1,80.0,2.75,0.0,0.0,0.0,GRI-Mech
13,CH2(T)(18),2,144.001,3.8,0.0,0.0,0.0,GRI-Mech
14,CH3(19),2,144.001,3.8,0.0,0.0,0.0,GRI-Mech
15,CH2O(20),2,498.002,3.59,0.0,0.0,2.0,GRI-Mech
16,HCCO(21),2,150.001,2.5,0.0,0.0,1.0,GRI-Mech
17,C2H(22),1,209.001,4.1,0.0,0.0,2.5,GRI-Mech
18,C2H2(23),1,209.001,4.1,0.0,0.0,2.5,GRI-Mech
19,H2CC(24),2,209.0,4.1,0.0,0.0,2.5,NOx2018
20,CH2(S)(25),2,144.001,3.8,0.0,0.0,0.0,GRI-Mech
21,CH3OH(26),2,481.802,3.626,0.0,0.0,1.0,GRI-Mech
22,CH3O(27),2,417.002,3.69,1.7,0.0,2.0,GRI-Mech
23,CH2CO(28),2,436.001,3.97,0.0,0.0,2.0,GRI-Mech
24,C2H3(29),2,209.001,4.1,0.0,0.0,1.0,GRI-Mech
25,C2H4(30),2,280.801,3.971,0.0,0.0,1.5,GRI-Mech
26,C2H6(31),2,252.301,4.302,0.0,0.0,1.5,GRI-Mech
27,C2H5(32),2,252.301,4.302,0.0,0.0,1.5,GRI-Mech
28,CH2OH(33),2,417.002,3.69,1.7,0.0,2.0,GRI-Mech
29,CH3CO(34),2,436.001,3.97,0.0,0.0,2.0,GRI-Mech
30,CH2CHO(35),2,436.001,3.97,0.0,0.0,2.0,GRI-Mech
31,CH3CHO(36),2,436.001,3.97,0.0,0.0,2.0,GRI-Mech
32,N2,1,97.53,3.621,0.0,1.76,4.0,PrimaryTransportLibrary
33,Ne,0,148.6,3.758,0.0,0.0,0.0,Epsilon
34,CH3F(1),2,262.0,4.123,1.8,0.0,0.0,NIST_Fluorine
35,O2(2),1,106.7,3.467,0.0,0.0,0.0,PrimaryTransportLibrary
36,H2O(3),2,809.102,2.641,0.0,1.76,4.0,PrimaryTransportLibrary
37,CH4(4),2,141.4,3.746,0.0,2.6,13.0,GRI-Mech
38,CH2F(45),2,262.0,4.123,1.8,0.0,0.0,NIST_Fluorine
