Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702),CF2O2(150),CHF3(41),C2H2F3(67),S(851),C2H2F3(66),CH2CF2(56),S(259),O2(148),S(453),S(1226),C2H3F2(63),CH2F(45),CH3F(39),C2H3F2(64),CF2CH(72),C2HF2(71),S(961),CHF2O(220)
0.0,0.8372789454222014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6938408691160844,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.163267250566378e-23,0.8372789454222012,3.836047238330624e-30,3.08846897563138e-26,3.8137876920538424e-38,1.398290439035542e-20,0.0,0.0,1.1543453778173718e-20,6.218714364939902e-38,1.5335948799210465e-54,3.1747403600916314e-49,1.14209966330049e-58,2.9748175086170822e-65,1.812866802012748e-43,2.8302841741349424e-47,5.605790026346629e-56,3.361885859974378e-63,2.875051483675832e-94,6.724463235609227e-121,2.0010905416877197e-104,4.820268812161791e-108,1.3704613881106445e-59,-1.5757241871198348e-108,1.9818535626031692e-74,3.383053567592902e-117,-9.101706543654649e-113,-4.559005784714461e-116,3.360859050236107e-126,-1.0768002800044e-120,7.196596153389754e-79,2.368153178231173e-125,6.643129445583098e-124,-2.8263634453747744e-130,3.76,0.0,0.6938408691160844,0.9999999999999996,8.826915178706902e-53,1.910599754459806e-71,8.080354269673416e-19,8.080354269673418e-19,1.1543453782009588e-20,2.4956216496863775e-40,2.845526738186478e-39,1.7388015199343407e-34,3.0841564656631055e-24,1.898985511818043e-38,4.388748018680534e-38,2.219243912350505e-38,3.940203791208566e-42,2.9713995184552835e-46,1.398290439035542e-20,4.2751602444852135e-42,5.857710127574638e-42,8.995025339343025e-38,1.3968062384416737e-63,1.1442673755665492e-40,1.714763154239067e-39,1.0388452026575989e-40,7.816647977530552e-58,1.3332092105290313e-57,3.299828858459141e-45,7.787590520027607e-41,4.7153290213301607e-63,4.3011474457390717e-16,5.273214372079533e-65,9.488222700766802e-63,1.8622070046264896e-62,3.08415646566312e-24,1.2168846427651973e-40,1.0528943290946209e-60,1.406648432092779e-56,2.9386065968827295e-58,3.584769647655836e-72,1.1713435063625541e-60
2.2857148301585857e-22,0.8372789454222014,1.0741496085345173e-29,8.647713131798998e-26,2.3035277660020158e-37,3.915213229299518e-20,0.0,0.0,3.2321670578886386e-20,3.7561034764236976e-37,1.8206838414422649e-53,3.769051755500776e-48,1.3559007202703355e-57,3.531703346230175e-64,1.094971548415696e-42,1.7094916411775033e-46,8.471469325963953e-55,3.9912308930993565e-62,1.7490341200324013e-92,5.197589122097546e-119,9.559449648507208e-103,2.3027002547954276e-106,1.6270117599649503e-58,4.564963576733592e-107,5.5891437855617755e-73,2.610515746502075e-115,2.715163849352965e-111,1.3600139310769435e-114,5.49750890672268e-125,3.2122543249777494e-119,2.2627238228107374e-77,1.828889264991661e-123,5.126344410865516e-122,1.1200633874479443e-128,3.76,0.0,0.6938408691160844,0.9999999999999988,1.047931370016729e-51,5.3881966588490134e-70,2.262499195508556e-18,2.2624991955085567e-18,3.232167058962683e-20,1.5073554764106933e-39,1.7186981498645239e-38,1.050236118040339e-33,8.635638103856644e-24,1.1469872491380877e-37,2.650803803283041e-37,1.340423323059704e-37,2.3798830898899757e-41,1.794725309163704e-45,3.915213229299518e-20,2.5821967876692237e-41,3.538056917055062e-41,5.432995304963181e-37,1.6582883662919987e-62,6.911374948434171e-40,1.035716945160255e-38,6.274625024051893e-40,1.1807701028777166e-56,2.0112681221288092e-56,1.993096630556833e-44,4.703704674096679e-40,5.5980386141238584e-62,1.2043212848066604e-15,6.260360102533455e-64,1.1264417990355275e-61,2.2108121558924917e-61,8.635638103856737e-24,7.349983242301807e-40,1.2499961475011204e-59,2.1254427793700373e-55,4.4405004685674436e-57,1.0108321291386694e-70,1.3906190107536688e-59
5.224491040362482e-22,0.8372789454222014,2.4554649051451963e-29,1.9766201444258766e-25,1.1090494608515008e-36,8.949058809827468e-20,0.0,0.0,7.387810418031165e-20,1.80840213732452e-36,1.7875581920359673e-52,3.700477363722778e-47,1.3312313675430335e-56,3.4674472880439935e-63,5.2718166602530194e-42,8.230466378384381e-46,9.113219932202657e-54,3.918614158805354e-61,7.895976073597528e-91,5.659253367327976e-117,4.97758561317694e-101,1.1990112486777392e-104,1.5974097939817468e-57,5.830943467401446e-105,1.215760828186607e-71,2.8450677890588353e-113,3.5028003990257638e-109,1.7545377018724955e-112,1.6472224298587614e-122,4.144097797424809e-117,5.048011650920374e-76,1.994068721720222e-121,5.587071693809879e-120,3.083802542728156e-126,3.76,0.0,0.6938408691160844,0.9999999999999972,1.0288652332320401e-50,1.172050439875875e-68,5.171426732590983e-18,5.1714267325909874e-18,7.387810420486123e-20,7.257267757289813e-39,8.274791754644644e-38,5.056434819969021e-33,1.9738601380243523e-23,5.5222498683667205e-37,1.2762479238322977e-36,6.453561297115254e-37,1.145811262483454e-40,8.64082979991388e-45,8.949058809827468e-20,1.2432165990965295e-40,1.703422105098678e-40,2.6157533686809442e-36,1.628117351570343e-61,3.327529528165845e-39,4.986531252525085e-38,3.020961849328293e-39,1.2700527583400853e-55,2.16243330508487e-55,9.59590232109829e-44,2.264631323224037e-39,5.496187507264515e-61,2.7527343652710483e-15,6.146458672097805e-63,1.105947238002852e-60,2.1705884845923978e-60,1.9738601380243964e-23,3.538700541161219e-39,1.2272536299926498e-58,2.2863564727684157e-54,4.776776987109183e-56,2.1986810118405133e-69,1.3653179910163245e-58
1.1102043460770276e-21,0.8372789454222014,5.218997607197634e-29,4.200317806967643e-25,4.8435103689315674e-36,1.901674997088337e-19,0.0,0.0,1.5699097138316196e-19,7.897767243473641e-36,1.5810749774033928e-51,3.27303032164001e-46,1.177459068876237e-55,3.0669178586837053e-62,2.302340838556137e-41,3.5944609011513443e-45,8.376619117122178e-53,3.4659698470716833e-60,2.9813703263320766e-89,4.628024200596552e-115,1.9864237518731654e-99,4.78493914164225e-103,1.4128908726865081e-56,4.986767150860036e-103,2.2538156601995825e-70,2.327442150350453e-111,3.006390590192356e-107,1.505888156951732e-110,3.129754851084691e-120,3.5568172790697553e-115,9.454366622903028e-75,1.6326497921131173e-119,4.570772540633731e-118,5.5224008164487145e-124,3.76,0.0,0.6938408691160844,0.9999999999999941,9.100196472680563e-50,2.172783967613666e-67,1.0989281806755826e-17,1.0989281806755847e-17,1.5699097143532982e-19,3.169439495103588e-38,3.613818957495142e-37,2.2082779303165701e-32,4.194452793301649e-23,2.4117116000087623e-36,5.5737099837242635e-36,2.8184397686851276e-36,5.004058814834912e-40,3.7736773886900943e-44,1.901674997088337e-19,5.429453510498577e-40,7.439291862019514e-40,1.1423682180965568e-35,1.4400513596727495e-60,1.4532195669884493e-38,2.1777492058814237e-37,1.3193334073751454e-38,1.1673371865204925e-54,1.987214838453565e-54,4.190782650959187e-43,9.890239960435148e-39,4.8613156078348575e-60,5.849560526195349e-15,5.436473089043056e-62,9.781978075613048e-60,1.9198609334892248e-59,4.1944527933018436e-23,1.5454434963118275e-38,1.0854919375233055e-57,2.101520025479331e-53,4.390640862072645e-55,4.075910586084365e-68,1.2076083013198094e-57
2.2857148301585863e-21,0.8372789454222014,1.0749671446626827e-28,8.647713132250424e-25,2.022070234347816e-35,3.9152132292995175e-19,0.0,0.0,3.2321670578886136e-19,3.2971623562911056e-35,1.3289887854214834e-50,2.7511792002095405e-45,9.89725294621526e-55,2.577929255887131e-61,9.611819784271108e-41,1.500616669126317e-44,7.166373986088449e-52,2.9133564976560354e-59,1.0343758648029687e-87,3.3303297947282874e-113,7.060061135377077e-98,1.7006423144707823e-101,1.187619911554399e-55,3.65998214517815e-101,3.873733252015703e-69,1.6750770883730538e-109,2.209794857277116e-105,1.1068767696853363e-108,4.818060545146215e-118,2.6143949552905063e-113,1.6330066800362248e-73,1.1770120279961742e-117,3.289906353190481e-116,8.289955069598097e-122,3.76,0.0,0.6938408691160844,0.9999999999999879,7.64926346329844e-49,3.734460476704505e-66,2.262499195508548e-17,2.262499195508557e-17,3.2321670589626586e-19,1.323178598665417e-37,1.5086982765849533e-36,9.219125658691494e-32,8.635638103855925e-23,1.0068421183657897e-35,2.3269141995044064e-35,1.1766431223282262e-35,2.089096050098812e-39,1.5754360249107322e-43,3.9152132292995175e-19,2.2666899616281764e-39,3.1057579096398244e-39,4.769162434919607e-35,1.2104499374943538e-59,6.066905625424231e-38,9.091674243755814e-37,5.507957264490545e-38,9.986586065824156e-54,1.699938579829535e-53,1.7495692613967913e-42,4.1289804937187157e-38,4.086228684628164e-59,1.2043212848026053e-14,4.56968320342128e-61,8.22234198097629e-59,1.6137587948963327e-58,8.635638103856735e-23,6.45192237594132e-38,9.124213792839799e-57,1.7978810908401074e-52,3.756270376140909e-54,7.005392494597512e-67,1.0150675411181737e-56
4.636735798321704e-21,0.8372789454222014,2.182545286678249e-28,1.754250378361298e-24,8.260816692672999e-35,7.942289693721879e-19,0.0,0.0,6.55668174600256e-19,1.3469984063034175e-34,1.0895853004089264e-49,2.2555829275777736e-44,8.11436593214321e-54,2.1135421559013462e-60,3.926742007831287e-40,6.130508732542997e-44,5.92529658532526e-51,2.3885456757453604e-58,3.444903499136887e-86,2.257250608492541e-111,2.3780230310217585e-96,5.728231687792178e-100,9.736825564650348e-55,2.5039069323956456e-99,6.420428766923152e-68,1.1354218876954814e-107,1.5128236272493242e-103,7.57766868783286e-107,6.743208331884291e-116,1.7898379243201422e-111,2.713264990576953e-72,8.005034697489021e-116,2.2303959840505207e-114,1.1467988975329986e-119,3.76,0.0,0.6938408691160844,0.9999999999999755,6.271328336309492e-48,6.189594356064654e-65,4.589641225174464e-17,4.589641225174501e-17,6.556681748181339e-19,5.4056163181010726e-37,6.163524735968594e-36,3.7663136442382577e-31,1.7518008724963204e-22,4.113278578017199e-35,9.506203758382679e-35,4.8069710839075893e-35,8.534639019909657e-39,6.436170214862211e-43,7.942289693721879e-19,9.260168095982643e-39,1.268803444472966e-38,1.948358468603002e-34,9.923999912035082e-59,2.4785289063164304e-37,3.714245582591293e-36,2.2501802627644295e-37,8.257012816517213e-53,1.405477363456208e-52,7.147561305999143e-42,1.6868232570001266e-37,3.350137155203493e-58,2.443051749161587e-14,3.7465023788012276e-60,6.741172729030792e-58,1.3230569592549133e-57,1.7518008724966514e-22,2.635820811615335e-37,7.480581729146821e-56,1.4865175613688565e-51,3.1057509962153007e-53,1.1610880080770811e-65,8.322136980067973e-56
9.338777734647938e-21,0.8372789454222014,4.403475067228289e-28,3.533208508952608e-24,3.3391541863477043e-34,1.59964426225666e-18,0.0,0.0,1.320571112223028e-18,5.444782924794198e-34,8.823744256777136e-49,1.826629534688863e-43,6.57122391099228e-53,1.7116012351293287e-59,1.5872519027683237e-39,2.478049648095293e-43,4.818352774214485e-50,1.9343062176841512e-57,1.124473878111186e-84,1.486225775176781e-109,7.804909697700944e-95,1.8800629963418823e-98,7.885133786503037e-54,1.6561169910661366e-97,1.0454003849782295e-66,7.476128791950115e-106,1.000930164757115e-101,5.0136162813314675e-105,9.019042509236387e-114,1.18424489282411e-109,4.4233067021130965e-71,5.306248321018268e-114,1.4691067963327982e-112,1.5252638281078175e-117,3.76,0.0,0.6938408691160844,0.9999999999999507,5.0786842820155e-47,1.0078149851964585e-63,9.243925284506238e-17,9.24392528450639e-17,1.3205711126618537e-18,2.1850365441514475e-36,2.4913952445551283e-35,1.522404193175207e-30,3.5282749967172686e-22,1.6626529669003149e-34,3.8425595502596195e-34,1.9430545689705803e-34,3.449837548985287e-38,2.6016029071518138e-42,1.59964426225666e-18,3.743108001753248e-38,5.128706386775984e-38,7.87557644581066e-34,8.036712428118628e-58,1.0018610122612088e-36,1.5013574501539732e-35,9.095588394964267e-37,6.714430225990517e-52,1.1428852467668673e-51,2.8891585618219057e-41,6.818409304629681e-37,2.7130279264660965e-57,4.920512677850914e-14,3.034014760996965e-59,5.459176452752709e-57,1.0714458281714453e-56,3.528274996718607e-22,1.0654409152039537e-36,6.057969031439454e-55,1.2088093000969878e-50,2.5255427617563652e-52,1.890527325213418e-64,6.73948229243775e-55
1.8742861607300408e-20,0.8372789454222015,8.868428614404e-28,7.091124771410425e-24,1.3426592122562174e-33,3.210474848025604e-18,0.0,0.0,2.650376987468504e-18,2.1893232670343882e-33,7.102117026254942e-48,1.4702303626953525e-42,5.289092687124993e-52,1.377645579973513e-58,6.382270091155252e-39,9.964128646407344e-43,3.886176067574988e-49,1.5568979284308772e-56,3.6341052678024544e-83,9.647060991854326e-108,2.5292274022970786e-93,6.092455944485152e-97,6.346641662511581e-53,1.0773869491161237e-95,1.6872804353251934e-65,4.852820694523061e-104,6.512599836766323e-100,3.2621333362275235e-103,1.1798778321447024e-111,7.705783547927787e-108,7.143652119640123e-70,3.490253307197647e-112,9.542769344535961e-111,1.9898751915040204e-115,3.76,0.0,0.6938408691160843,0.9999999999999012,4.0877669458818324e-46,1.6266174485732798e-62,1.8552493403169553e-16,1.855249340317016e-16,2.650376988349228e-18,8.785935842682908e-36,1.001779070276932e-34,6.121520302987497e-30,7.081223245157132e-22,6.685454453768199e-34,1.5450762949684895e-33,7.812936963185802e-34,1.3871645055103105e-37,1.0460930873408858e-41,3.210474848025604e-18,1.5050872647239224e-37,2.0622302812517532e-37,3.1667346508167054e-33,6.468645343999037e-57,4.028439067339586e-36,6.036892274913412e-35,3.657296089763953e-36,5.415417115386572e-51,9.217681703465487e-51,1.1617179525482205e-40,2.741652392938244e-36,2.1836809033329423e-56,9.875434535115021e-14,2.4420390329853116e-58,4.394020146918403e-56,8.623928161906652e-56,7.081223245162514e-22,4.2840910602419735e-36,4.875980507893521e-54,9.749476599249895e-50,2.036940788904811e-51,3.0513159357806635e-63,5.424521670673238e-54
3.755102935260534e-20,0.8372789454222015,1.78907116530579e-27,1.420695730142684e-23,5.3846639606343205e-33,6.432136019563491e-18,0.0,0.0,5.309988737959182e-18,8.780165499571141e-33,5.699001637861774e-47,1.1797672741885753e-41,4.2441637859928114e-51,1.1054738168395539e-57,2.5595757605588045e-38,3.996061243754723e-42,3.121587956140266e-48,1.249312543338156e-55,1.168673791977733e-81,6.217733917760292e-106,8.144515234921123e-92,1.9618678894939472e-95,5.092780236632089e-52,6.951695493136632e-94,2.7114143626875787e-64,3.1277724944477375e-102,4.202503081477583e-98,2.105015775964856e-101,1.5267281756854548e-109,4.973015184680825e-106,1.14832121303551e-68,2.3087557173062455e-110,6.159165457911968e-109,2.5713317137054116e-113,3.76,0.0,0.6938408691160841,0.999999999999802,3.2801755357712344e-45,2.6139305715450708e-61,3.7169629640495243e-16,3.7169629640497693e-16,5.309988739723713e-18,3.52355323353965e-35,4.017582128416024e-34,2.4550034331844458e-29,1.4187119742028723e-21,2.6811662502166282e-33,6.196446995086393e-33,3.1333371643836856e-33,5.563150091585994e-37,4.195301161942375e-41,6.432136019563489e-18,6.0360730983232475e-37,8.270465782850514e-37,1.2700022306463454e-32,5.190680513394468e-56,1.615584242733485e-35,2.4210638088014868e-34,1.4667393085608622e-35,4.349951902049295e-50,7.40410259490295e-50,4.659008595374994e-40,1.0995252329687442e-35,1.7522664015335568e-55,1.9785278249185048e-13,1.9595825297504177e-57,3.5259244423804186e-55,6.920159233871727e-55,1.418711974205031e-21,1.7181121258134418e-35,3.9126672790526387e-53,7.83130648202419e-49,1.6361812392684228e-50,4.903380568120482e-62,4.352837016290985e-53
