Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155),CHO2(176),S(248),CF3(44),C2HF(57),CF3O2(433),C2HF(2466),C2F(2465),S(2113),S(1027),CHO2(135),S(3056)
0.0,0.6237275194390915,3.76,0.0,0.7378255136514902,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.911952707802593e-23,0.6237275194390915,3.76,0.0,0.7378255136514902,0.9999999999999997,8.96467636365008e-53,0.0,3.0396875830677064e-38,4.331631609490941e-19,4.33163160949094e-19,7.040593899213682e-21,2.2628386779075084e-40,2.640923835765259e-39,1.229571391930735e-30,1.148267094382961e-34,4.348383695526429e-21,2.2817107045693087e-49,7.040593897984227e-21,3.450658279564233e-38,6.703391831526575e-27,2.6962707909037874e-38,3.2660211213959933e-38,1.2259657826686467e-46,1.335879258016611e-42,6.873716952368117e-47,4.348383695526429e-21,8.795287701897284e-43,1.6132662044986704e-38,7.459342608826243e-64,7.643361935835359e-38,3.429076773877396e-38,1.1300508686545312e-54,1.0699257025031238e-42,4.0750071486310527e-41,8.984707346822664e-39,4.1533074121993217e-16,6.5220906876660204e-40,6.231212357216884e-64,3.906388093401268e-46,4.783543341234581e-58,9.070769687765593e-58,2.8716562820172e-41,1.713865763778379e-75,1.9046132176665792e-63,2.2271925584968556e-61,3.769755732355647e-63,1.8961871993633491e-65,4.082331314570391e-78,7.12488316241201e-42,9.643683215052976e-61,1.3427655175527584e-56,2.9676642690327807e-57,1.203325311812953e-72,4.042391414970736e-59,5.325082716399762e-59,6.097524650042822e-57,2.300540098425108e-89,4.06642154703869e-62,7.074160484000744e-56,1.8548491929254696e-57,9.240100973791718e-83,3.1561434243179315e-67,4.9280795272875166e-60,3.5384916005465815e-73,1.3993044320461498e-79,7.25346269524417e-85,2.011711073705517e-93,2.3857603123072256e-82,3.3255671627575146e-38,4.523509931331805e-101
2.495346758184726e-22,0.6237275194390915,3.76,0.0,0.7378255136514902,0.9999999999999988,1.0642863778931408e-51,0.0,1.8359713001740183e-37,1.2128568506574634e-18,1.2128568506574629e-18,1.97136629177983e-20,1.3667545614563612e-39,1.5951179968015677e-38,3.443172128959596e-30,6.935533250073066e-34,1.2175474347474e-20,2.708846948464656e-48,1.971366291435582e-20,2.0841976008696066e-37,1.8769497128582042e-26,1.628547557705874e-37,1.9726767573232828e-37,7.4048333274214e-46,8.068710718420351e-42,4.15172503930152e-46,1.2175474347474e-20,5.312353771946478e-42,9.744127875170931e-38,8.855731545337014e-63,4.616590609244553e-37,2.0711623714219457e-37,1.3415963912666585e-53,6.462351243118874e-42,2.4613043177806534e-40,5.426763237480885e-38,1.1629260754154324e-15,3.939342775349372e-39,7.397695310489302e-63,2.359458408705433e-45,7.228434179015476e-57,1.3706220514624832e-56,1.7344803943383919e-40,4.8328564647039074e-74,2.2611568120150865e-62,2.6441230054474507e-60,4.475454005452513e-62,2.2511534430857003e-64,9.132187638802055e-77,4.3034294300956547e-41,1.144898071291087e-59,1.5941312224386312e-55,4.484489143000356e-56,3.3933913123437204e-71,6.1084747225187286e-58,8.047032393942496e-58,7.238981264530193e-56,1.1907643496826863e-87,4.827657947804816e-61,8.39844332660377e-55,2.202076961840549e-56,2.6056970118948907e-81,3.7469745374268764e-66,5.850616014795756e-59,4.2008972282506883e-72,3.1301880423099578e-78,1.6225705910753448e-83,1.0412658445163467e-91,5.351414364870054e-81,2.008642566305106e-37,1.871609552032412e-99
5.703649732993659e-22,0.6237275194390915,3.76,0.0,0.7378255136514902,0.9999999999999973,1.0449226769489121e-50,0.0,8.839411491577747e-37,2.772244230074202e-18,2.7722442300741987e-18,4.50598009549675e-20,6.580334875358432e-39,7.67980651439564e-38,7.871862529231475e-30,3.339160710465623e-33,2.7829655651369146e-20,2.659561997245902e-47,4.505980094709898e-20,1.0034514277164939e-36,4.2901707723923506e-26,7.840755459948007e-37,9.497589421021083e-37,3.565108496151647e-45,3.884736882312336e-41,1.9988768898533812e-45,2.7829655651369146e-20,2.557669663712494e-41,4.69137812268058e-37,8.694609745269276e-62,2.2226896509409158e-36,9.971755258435451e-37,1.317187292503718e-52,3.111343942879092e-41,1.1850120788331558e-39,2.612752896456025e-37,2.658116743804921e-15,1.896623971971924e-38,7.263101123576263e-62,1.135977657989372e-44,7.775862483051624e-56,1.474400104072024e-55,8.350776468106058e-40,1.0512121358171294e-72,2.22001716651612e-61,2.5960156461838814e-59,4.3940272816333924e-61,2.2101957995824972e-63,1.8043819289383941e-75,2.071916023627616e-40,1.1240677155465683e-58,1.5651274872594822e-54,4.824124406367186e-55,7.381230659459782e-70,6.571085074514892e-57,8.656550168342231e-57,7.107274732087615e-55,5.1992439497709114e-86,4.739824202995396e-60,8.245641460145345e-54,2.1620122192721644e-55,5.667838323239307e-80,3.678803955637774e-65,5.744169497006377e-58,4.1244658098468695e-71,6.184724089805783e-77,3.205926061435142e-82,4.546487425196312e-90,1.0586370004144923e-79,9.670749309292362e-37,7.413166793781761e-98
1.2120255682611527e-21,0.6237275194390915,3.76,0.0,0.7378255136514902,0.9999999999999943,9.242222743907622e-50,0.0,3.8604032305134085e-36,5.891018988907679e-18,5.891018988907665e-18,9.575207702930576e-20,2.8738051209460487e-38,3.3539732714118233e-37,1.6735199034631848e-29,1.4582992098663313e-32,5.913801825915944e-20,2.3523524679825968e-46,9.575207701258514e-20,4.3823360152451334e-36,9.116612891952855e-26,3.424263904447598e-36,4.1478468241744966e-36,1.5569765441440737e-44,1.6965666576811277e-40,8.729620530580255e-45,5.913801825915944e-20,1.1170015381417386e-40,2.0488480797117063e-36,7.690283856872513e-61,9.707069658510844e-36,4.3549275028242766e-36,1.1650372435480686e-51,1.3588056421789744e-40,5.1752590788776435e-39,1.1410578330464723e-36,5.648498080577853e-15,8.283055173321845e-38,6.424130691805159e-61,4.961112883006392e-44,7.147300322830958e-55,1.3552086637374884e-54,3.647003478161885e-39,1.948740866911611e-71,1.9635800428937235e-60,2.2961464401078077e-58,3.8864673698286434e-60,1.9548931550651124e-62,3.2108139349418026e-74,9.04860161624469e-40,9.942251647390881e-58,1.3843375379761636e-53,4.434170870412639e-54,1.3683456939565686e-68,6.0399109707499605e-56,7.956831973336981e-56,6.286304013203048e-54,1.9355334543144409e-84,4.192321228772117e-59,7.293176492572971e-53,1.9122753239347412e-54,1.0507127231292976e-78,3.2538642074298824e-64,5.080652869452437e-57,3.6480433010202637e-70,1.1005386069269189e-75,5.704774134351672e-81,1.6925304132871187e-88,1.8848402225657245e-78,4.223470296695341e-36,2.6472264015839846e-96
2.4953467581847264e-21,0.6237275194390915,3.76,0.0,0.7378255136514902,0.9999999999999883,7.768645101987891e-49,0.0,1.6116423565581757e-35,1.2128568506574634e-17,1.2128568506574574e-17,1.971366291779816e-19,1.199757067029723e-37,1.4002178177136898e-36,3.4485694864859067e-29,6.088112134418198e-32,1.2175474347474001e-19,1.9772939892081677e-45,1.971366291435568e-19,1.8295390200036592e-35,1.8769497133042708e-25,1.4295627733369977e-35,1.7316443985655807e-35,6.500070581097321e-44,7.082831826004355e-40,3.6444447291069775e-44,1.2175474347474001e-19,4.663261539552964e-40,8.553537416237502e-36,6.464146956911187e-60,4.052510498379851e-35,1.8180965055097807e-35,9.792840019621055e-51,5.672746074671619e-40,2.1605687903087692e-38,4.763691835285324e-36,1.1629260754099534e-14,3.4580124825879225e-37,5.399868929382384e-60,2.071166971052823e-43,6.114644170208416e-54,1.159402276331422e-53,1.5225521607255569e-38,3.349365169804818e-70,1.6505073406331335e-59,1.9300494361122383e-57,3.2668100015663515e-59,1.6432054879901666e-61,5.4155173398076154e-73,3.777613052694144e-39,8.35706157523322e-57,1.1636191132628885e-52,3.79351486700014e-53,2.3518289004963526e-67,5.167252565611038e-55,6.807226200054632e-55,5.284017301323224e-53,6.668183570059517e-83,3.523898756895007e-58,6.1303542888447356e-52,1.607382632995411e-53,1.8058998169761077e-77,2.735075260245202e-63,4.270594869075103e-56,3.066400206109533e-69,1.8562192186867182e-74,9.62193540490111e-80,5.831004092720229e-87,3.179914903885051e-77,1.763215709688002e-35,8.94686152351854e-95
5.0619891380318734e-21,0.6237275194390915,3.76,0.0,0.7378255136514902,0.9999999999999764,6.369204616439132e-48,0.0,6.584084892560711e-35,2.4603667541908544e-17,2.4603667541908298e-17,3.999057334753309e-19,4.901399089921551e-37,5.720346665144355e-36,7.00819778030194e-29,2.4871924571170475e-31,2.4698819390590117e-19,1.621105075423589e-44,3.9990573340549766e-19,7.474263861380333e-35,3.80752656230978e-25,5.840230383927627e-35,7.07433238980064e-35,2.6554909250644733e-43,2.8935679080345394e-39,1.4888745875630488e-43,2.4698819390590117e-19,1.9050944973876967e-39,3.494399129580068e-35,5.299698223973313e-59,1.6555827687496346e-34,7.427517455289271e-35,8.0287619065584275e-50,2.317501868649912e-39,8.826628485106292e-38,1.9461235501511323e-35,2.3590786101046172e-14,1.4127109313005417e-36,4.427138794660789e-59,8.46139289904858e-43,5.055697548551714e-53,9.586133812406186e-53,6.220122373100852e-38,5.551309513664222e-69,1.3531856373172747e-58,1.582371136399983e-56,2.6783282116298487e-58,1.347199137363244e-60,8.895011851481676e-72,1.543278192496949e-38,6.851623991769325e-56,9.540052519585199e-52,3.1365468894601857e-52,3.897977863528648e-66,4.2723771396093915e-54,5.62834193162683e-54,4.332156630494838e-52,2.21292345087918e-81,2.8891051686924533e-57,5.02603482638068e-51,1.317829396491952e-52,2.993141100620237e-76,2.2423903291578564e-62,3.501291692142121e-55,2.5140201538915315e-68,3.048845640570305e-73,1.580405779541394e-78,1.935094552118266e-85,5.223712350192553e-76,7.203311497168212e-35,2.9419346391331793e-93
1.0195273897726167e-20,0.6237275194390915,3.76,0.0,0.7378255136514902,0.9999999999999525,5.157947031273916e-47,0.0,2.6613923840889495e-34,4.955386561257636e-17,4.9553865612575366e-17,8.054439420700197e-19,1.981223878786586e-36,2.312255582493569e-35,1.4165570879016357e-28,1.0053629579526308e-30,4.974550947682235e-19,1.312812920064918e-43,8.054439419293693e-19,3.021216956600489e-34,7.668680263470952e-25,2.3607144984329033e-34,2.8595582608059414e-34,1.0733918900477677e-42,1.1696264125981238e-38,6.018269136887033e-43,4.974550947682235e-19,7.700696556869562e-39,1.4124919988063404e-34,4.2918330279773295e-58,6.6921302561963865e-34,3.0023213112147044e-34,6.501899551640237e-49,9.367713089752416e-39,3.567864359698005e-37,7.866542548095531e-35,4.751383679455254e-14,5.7104034573168466e-36,3.585211777263332e-58,3.4202303096975806e-42,4.111205922530283e-52,7.795273574120818e-52,2.5142729144078564e-37,9.038854498207191e-68,1.095844812827289e-57,1.2814451719985898e-55,2.1689796261241252e-57,1.0909967899573081e-59,1.4419204250963826e-70,6.238177202967179e-38,5.5486227488824406e-55,7.725781872923914e-51,2.5505860355388904e-51,6.346841662326128e-65,3.474223285499684e-53,4.576872473126543e-53,3.508292758106387e-51,7.210483242284419e-80,2.3396722957607413e-56,4.0702133111234992e-50,1.0672124123040063e-51,4.873550077351378e-75,1.8159626453070017e-61,2.8354367894142185e-54,2.035918702333039e-67,4.942310167042156e-72,2.561905872945136e-77,6.3052189332294455e-84,8.468420227051396e-75,2.911693678176004e-34,9.542742907055471e-92
2.0461843417114755e-20,0.6237275194390915,3.76,0.0,0.7378255136514902,0.9999999999999046,4.151564502181113e-46,0.0,1.07013417245788e-33,9.945426175391199e-17,9.945426175390797e-17,1.6165203592593579e-18,7.96641407929913e-36,9.297478000253767e-35,2.8632783120774576e-28,4.042520236457511e-30,9.98388896492868e-19,1.0566660502102975e-42,1.6165203589770728e-18,1.2148180509632024e-33,1.539098767839391e-24,9.492329170197664e-34,1.1498157998799933e-33,4.316061584329781e-42,4.70301636301939e-38,2.4199195533604427e-42,9.98388896492868e-19,3.0964162166433083e-38,5.6795682035041406e-34,3.454440605570376e-57,2.6908761429582646e-33,1.2072201945505505e-33,5.233294411636726e-48,3.7667162326906395e-38,1.4346225672949565e-36,3.163102160278015e-34,9.535993818001765e-14,2.296128114884387e-35,2.8856903447533147e-57,1.3752595759633453e-41,3.3158351781687904e-51,6.287166069626787e-51,1.0109780807094948e-36,1.4588736486913169e-66,8.820312417411407e-57,1.0314185576343902e-54,1.745783500064457e-56,8.781291311722125e-59,2.3221689326034037e-69,2.50834361676544e-37,4.466014307569461e-54,6.218381379160488e-50,2.0571393211554881e-50,1.0243824207401033e-63,2.8020858081838313e-52,3.6914127769306216e-52,2.823779226273693e-50,2.32822044746112e-78,1.883171820511786e-55,3.276061773295619e-49,8.589853947883721e-51,7.865926062985886e-74,1.4616717965180584e-60,2.2822062055466124e-53,1.6386844947150592e-66,7.95943816108818e-71,4.1258704292212394e-76,2.0359162004492652e-82,1.3638577042092673e-73,1.1707792218833572e-33,3.0744258898451197e-90
4.0994982455891934e-20,0.6237275194390915,3.76,0.0,0.7378255136514901,0.9999999999998089,3.331369056860049e-45,0.0,4.29171666112117e-33,1.9925505403658322e-16,1.99255054036567e-16,3.2386731936378766e-18,3.194888352449432e-35,3.728704517762129e-34,5.817707178160825e-28,1.6212314209555447e-29,2.000256499942157e-18,8.479079587891693e-42,3.2386731930723195e-18,4.871963729098673e-33,3.083560255864229e-24,3.8068485520436476e-33,4.6112756252370995e-33,1.7309337390474374e-41,1.8861199091193833e-37,9.704959766325528e-42,2.0002564999421567e-18,1.2418013934901167e-37,2.2777608744687077e-33,2.771971038708544e-56,1.0791616857031774e-32,4.8414929225761886e-33,4.19938918396807e-47,1.5106216798101787e-37,5.753478147868253e-36,1.2685454394732495e-33,1.9105214094475734e-13,9.208500708798115e-35,2.3155847672929443e-56,5.515406088951599e-41,2.6634586046199338e-50,5.0501919143773475e-50,4.054474274644092e-36,2.3443699018708815e-65,7.077745231639789e-56,8.276484360289955e-54,1.4008813131923202e-55,7.046433251872425e-58,3.727595852308866e-68,1.0059579786950478e-36,3.5836952220667417e-53,4.989859436794218e-49,1.6524058884422813e-49,1.6461547446552356e-62,2.250787252759755e-51,2.965143218326042e-51,2.2659049936449178e-49,7.483855153050092e-77,1.511126791921538e-54,2.6288332538227668e-48,6.892816822823569e-50,1.2640329294496318e-72,1.172943014761491e-59,1.831326751625342e-52,1.314941109720573e-65,1.2776660998198136e-69,6.622935781369265e-75,6.544269450285648e-81,2.1893295088728883e-72,4.695348323419863e-33,9.87150373250586e-89
