Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702),CF2O2(150),CHF3(41),C2H2F3(67)
0.0,0.5611222106083664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7691364112245783,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6930732243741747e-16,0.5611222106083664,8.160253312981073e-26,1.2708026911250914e-26,1.6067214638024502e-28,1.882040727412692e-19,0.0,0.0,2.1545150279797393e-17,9.28482745191989e-30,2.3179641378253775e-40,1.1477971500286284e-34,2.408645823942195e-50,4.532571025183314e-60,9.876581886221679e-42,3.658839520750024e-68,1.8892297354561692e-69,3.065388791756999e-76,4.073017343241558e-74,3.116062753835112e-103,-2.996256335152651e-111,2.580818409323908e-123,4.684092534741865e-71,-1.1082218231790003e-106,6.303466884999714e-83,-1.4051384800431004e-102,-2.7421255110607187e-118,-1.5172208205281773e-134,8.085413595218289e-147,3.3611831037998426e-148,-1.1052801548065192e-103,-4.424359992725044e-122,-3.123316965664775e-126,-3.845841436484314e-127,3.76,0.0,0.7691364112245781,1.0,4.8054048025911866e-37,-1.947117802254144e-94,2.707134481962499e-16,2.707134482781506e-16,2.1545150278606367e-17,2.2318118971607407e-31,2.6819286243487076e-30,8.157722650401629e-26,3.901657083153378e-32,1.0740799908540077e-27,1.6073712329140978e-28,1.9289089897674948e-31,3.108913349249209e-36,4.866620523786066e-41,1.8820407274116255e-19,3.9486639995011685e-37,2.077431509902727e-37,3.2039090547888117e-28,7.044563891645442e-51,1.396700788916088e-34,2.620918312025978e-33,3.913529319130277e-43,2.4419119422978143e-45
7.540605028247689e-16,0.5611222106083665,4.928055860552149e-25,3.6620753590492077e-26,9.704598025735324e-28,5.269714036755538e-19,0.0,0.0,6.032642078339482e-17,5.608035780946089e-29,2.751887023694432e-39,1.3626647744582764e-33,2.8595443065451548e-49,5.381068241215771e-59,5.965455418658354e-41,1.1503976778394034e-66,5.940040533833838e-68,1.858797578166064e-74,2.477815211220929e-72,2.4088490255022333e-101,9.640530559661254e-109,2.751844123171111e-121,1.4727539384396825e-69,1.9260283934879856e-104,3.630474165998041e-81,1.4220366528054823e-100,4.7656842341125423e-116,3.082818890937581e-132,2.4565049082515573e-144,1.021192384675254e-145,1.1176373941809688e-101,8.989792409990732e-120,6.516301320019675e-124,7.81430917243384e-125,3.76,0.0,0.7691364112245774,1.0,5.70497678855973e-36,1.009033212838582e-92,7.57997654684141e-16,7.579976551788211e-16,6.032642077612729e-17,1.3480177965635871e-30,1.619884383726161e-29,4.92726447272562e-25,2.363294792524686e-31,6.487443137354652e-27,9.708522246493036e-28,1.1650610294861522e-30,1.8777841088873687e-35,2.939542393235773e-40,5.269714036749093e-19,2.3849939262077316e-36,1.2547689951681687e-36,1.9351610685304543e-27,8.363576070365059e-50,8.43620329282311e-34,1.5830332215655015e-32,2.364296114618242e-42,3.6902173244516456e-44
1.7235668635994718e-15,0.5611222106083665,2.3724856616891807e-24,8.859932022264407e-26,4.6723465932903084e-27,1.2045060655441251e-18,0.0,0.0,1.378889617904381e-16,2.700027822998008e-28,2.701818996780505e-38,1.3378723517006634e-32,2.807517523883508e-48,5.2831645352370924e-58,2.8721099515398126e-40,2.5664738859296143e-65,1.3251903485079793e-66,8.388279823151611e-73,1.1186042260676477e-70,2.622608909391477e-99,5.033657288329845e-106,6.274883075548392e-119,3.2856345021268306e-68,5.007754648654899e-102,1.6280569706382285e-79,2.977963390812821e-98,1.2390991778639382e-113,1.7092765572830678e-129,3.524393676128411e-141,1.4651238713101151e-142,2.3429652121368547e-99,4.984412391422454e-117,3.5974673855118453e-121,4.332663022179584e-122,3.76,0.0,0.7691364112245764,0.9999999999999999,5.601180479363049e-35,1.0590214153752456e-90,1.7325660665984884e-15,1.7325660689801602e-15,1.37888961755287e-16,6.490160157089173e-30,7.799040858903867e-29,2.372265734561348e-24,1.1446427508702625e-30,3.123424602298124e-26,4.6742355448520264e-27,5.6092673372406654e-30,9.040726581317437e-35,1.4153656836948381e-39,1.2045060655410197e-18,1.1482727720241423e-35,6.041176174058981e-36,9.316967522896048e-27,8.211964684052239e-49,4.0618016854686985e-33,7.621608867937753e-32,1.138826949965289e-41,3.969767398561791e-43
3.6625795851488775e-15,0.5611222106083668,1.0360941665019175e-23,2.0916890912332034e-25,2.0405368548003095e-26,2.559575389281287e-18,0.0,0.0,2.930140438039183e-16,1.1791730863728492e-27,2.3897283027680653e-37,1.183332936410832e-31,2.483217396771873e-47,4.6728988927907796e-57,1.2543258365239417e-39,4.806721362521951e-64,2.481934791381473e-65,3.1666032137236333e-71,4.2236366999871744e-69,2.1446568803700246e-97,1.7758050669581052e-103,1.068885766202982e-116,6.153635363993772e-67,8.7731015538205e-100,6.125157027407697e-78,4.785754772264224e-96,2.1707823733499395e-111,6.26691044080272e-127,2.8834615639104997e-138,1.1986823135464145e-139,3.7669447368647003e-97,1.8274902889360416e-114,1.314914631814597e-118,1.5885323392662226e-119,3.76,0.0,0.7691364112245743,0.9999999999999998,4.954181482351183e-34,8.455162612748005e-89,3.681702886181445e-15,3.6817028965828306e-15,2.9301404365007757e-16,2.834453974812437e-29,3.4060415195403223e-28,1.0360307640197127e-23,5.058860156070443e-30,1.3640815769090802e-25,2.0413614653233254e-26,2.4497144118338068e-29,3.948326674511669e-34,6.182169417791966e-39,2.559575389267708e-18,5.014816400341368e-35,2.638343490160749e-35,4.0689644908709787e-26,7.264372290274084e-48,1.7740123188688351e-32,3.3285439534720913e-31,4.978116475201009e-41,3.6489001614259076e-42
7.54060502824769e-15,0.5611222106083672,4.3254236863362815e-23,5.167579298037095e-25,8.51884256302122e-26,5.269714036755789e-18,0.0,0.0,6.032642078284535e-16,4.922815514819115e-27,2.0087106257693083e-36,9.946626211803985e-31,2.0872937478378934e-46,3.9278525651856276e-56,5.236563148756874e-39,8.302415154418392e-63,4.2869248974884336e-64,1.0985191100793727e-69,1.4653757667491701e-67,1.5432780419190073e-95,5.298292857187004e-101,1.6151774050548334e-114,1.0628894037466638e-65,1.3036046162517452e-97,2.1209472742617425e-76,6.842258126933185e-94,3.2255885357873975e-109,1.906172387142143e-124,1.8430406160660954e-135,7.66169458738191e-137,5.386709771703506e-95,5.558577706292129e-112,3.993393331234494e-116,4.8317531488036186e-117,3.76,0.0,0.7691364112245701,0.9999999999999994,4.164289359421687e-33,6.0227223644917125e-87,7.579976508364401e-15,7.579976551788141e-15,6.032642071855441e-16,1.1833542466329548e-28,1.4219515066028839e-27,4.3252244360112956e-23,2.1620386664849455e-29,5.694772008228364e-25,8.522282272612332e-26,1.0227075417205095e-28,1.648351881158188e-33,2.5816814991828444e-38,5.269714036698953e-18,2.0935934118243037e-34,1.101459090967803e-34,1.6987125730092964e-25,6.107792764459476e-47,7.407128422165866e-32,1.3895908166605913e-30,2.082100678589166e-40,3.12171089613605e-41
1.5296655914445313e-14,0.561122210608368,1.7670635829426818e-22,1.3977355053490113e-24,3.480227499230803e-25,1.0689991331706303e-17,0.0,0.0,1.2237645358678229e-15,2.011130765235789e-26,1.6468623245820366e-35,8.154844904582508e-30,1.711289360741815e-45,3.220290001988194e-55,2.139306662528718e-38,1.3794584784839614e-61,7.122789032519617e-63,3.658317037351365e-68,4.880313041354089e-66,1.0460060699340419e-93,1.4618486571906614e-98,2.484181747676139e-112,1.7660130374841465e-64,1.7946539548152137e-95,7.056524270262801e-75,9.24900280254809e-92,4.440619739154171e-107,5.309574728222364e-122,1.0512558522448971e-132,4.3701702362705608e-134,7.2821445445232786e-93,1.5483212707952608e-109,1.1115111606829729e-113,1.3458674379472286e-114,3.76,0.0,0.7691364112245617,0.9999999999999988,3.4141381636568814e-32,4.0631505754094625e-85,1.5376523684798506e-14,1.5376523862198645e-14,1.223764533240019e-15,4.834596673212825e-28,5.809104987553378e-27,1.7669952610981345e-22,9.241763100221525e-29,2.3265001359460357e-24,3.4816303817020933e-25,4.178093988788688e-28,6.734081563684079e-33,1.0553117635836342e-37,1.068999133147292e-17,8.553063526492502e-34,4.499841185353972e-34,6.939795102658361e-25,5.010242519357015e-46,3.026851398481556e-31,5.676843956926652e-30,8.537871209470296e-40,2.5810909129359874e-40
3.080875768684056e-14,0.5611222106083696,7.142727114328182e-22,4.222890094524621e-24,1.4067654985208818e-24,2.1530545921619736e-17,0.0,0.0,2.4647651919077604e-15,8.129312104558498e-26,1.3336717959132376e-34,6.604004486238154e-29,1.3858462289693853e-44,2.6078729941619002e-54,8.647417566052219e-38,2.248864770624178e-60,1.1611941210436339e-61,1.194100845565476e-66,1.593015407039992e-64,6.887123838418344e-92,3.8835722412885985e-96,4.747585777991753e-110,2.8790678252578174e-63,2.3813337986032394e-93,2.302194180830063e-73,1.2163681090335112e-89,5.892270378649077e-105,1.4172189246702845e-119,5.677074043188853e-130,2.3600134813914523e-131,9.577429435586849e-91,4.1327387887415526e-107,2.9657193773375947e-111,3.5923567530279604e-112,3.76,0.0,0.7691364112245448,0.9999999999999976,2.764861086453341e-31,2.6693245796415686e-83,3.096961776593946e-14,3.096961848301918e-14,2.464765181283143e-15,1.9543898010286067e-27,2.348108143896389e-26,7.142476962510243e-22,4.0664345752064e-28,9.40408515903019e-24,1.4073306652419712e-24,1.688852375756678e-27,2.7220446856283787e-32,4.270675223212695e-37,2.1530545920666764e-17,3.4573265132839995e-33,1.8189250543078915e-33,2.805176110502292e-24,4.0618051034227944e-45,1.2241466537686456e-30,2.2945999979426414e-29,3.4776365395740514e-39,2.0989002257756604e-39
6.183296123163106e-14,0.5611222106083728,2.872053747935803e-21,1.412600743598967e-23,5.656557471746666e-24,4.3211655101547144e-17,0.0,0.0,4.946766503832442e-15,3.268760642691546e-25,1.0734550683385082e-33,5.315476788744537e-28,1.1154491867801098e-43,2.0990409787256164e-53,3.4770869546986142e-37,3.6319203293221137e-59,1.8753307637251658e-60,3.859070419063747e-65,5.148350184801921e-63,4.47040918043795e-90,1.0126819509983003e-93,1.3796135522748548e-107,4.649769591757147e-62,3.1031356074140817e-91,7.438389052190575e-72,1.5781000457365919e-87,7.678248703418538e-103,3.704229728327539e-117,2.9846444058602097e-127,1.240744947416039e-128,1.2425904429997025e-88,1.0801853126163716e-104,7.750167284403587e-109,9.389454581082612e-110,3.76,0.0,0.7691364112245112,0.9999999999999951,2.2254063483606736e-30,1.7307699349517377e-81,6.215580484131239e-14,6.215580772465836e-14,4.946766461106145e-15,7.85987068535744e-27,9.441438757228257e-26,2.8719582503193832e-21,1.9010966641145715e-27,3.7813409875753163e-23,5.6588146960427884e-24,6.790800991902583e-27,1.094539284084621e-31,1.7211894459382252e-36,4.321165509763809e-17,1.390209145950476e-32,7.313956775026211e-33,1.1279489540879939e-23,3.276346087007161e-44,4.927425868359086e-30,9.225913981286562e-29,1.4208966475690064e-38,1.6928390071460796e-38
1.2388136832121205e-13,0.5611222106083791,1.1518208254796624e-20,5.094355805754169e-23,2.268544793010711e-23,8.657387346221161e-17,0.0,0.0,9.910769127061126e-15,1.310919216180903e-24,8.613800566677693e-33,4.265334471718758e-27,8.95077043203011e-43,1.6843450748077428e-52,1.3944660896268073e-36,5.838198519226457e-58,3.0145367206124935e-59,1.2410094910271888e-63,1.6556320444353246e-61,2.881267927270694e-88,2.616394548971605e-91,5.7160991902906795e-105,7.474585387374845e-61,4.0076134452803974e-89,2.3917659075794088e-70,2.0336169351632096e-85,9.916200343313071e-101,9.581560364141474e-115,1.548433804410529e-124,6.436985796428567e-126,1.6012794821893922e-86,2.7940571059822567e-102,2.0045164205873579e-106,2.4287262406156888e-107,3.76,0.0,0.7691364112244438,0.9999999999999901,1.7857574443126432e-29,1.1149187729542631e-79,1.2452817464442266e-13,1.245281862079291e-13,9.910768955699592e-15,3.153246657574365e-26,3.786278157288946e-25,1.1517834511349756e-20,9.757812855678878e-27,1.516486624650558e-22,2.2694377799657196e-23,2.7234148174036364e-26,4.389729134347558e-31,6.934580128893386e-36,8.657387344591531e-17,5.575628044523083e-32,2.933335386549265e-32,4.523579614267887e-23,2.6403788368953273e-43,1.9802770913299698e-29,3.6995456774520094e-28,5.899380145505821e-38,1.359780250148587e-37
