Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155),CHO2(176),S(248),CF3(44)
0.0,0.3502070072570941,3.76,0.0,1.0045258805587158,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2364461390127651e-23,0.3502070072570941,3.76,0.0,1.0045258805587158,0.9999999999999997,1.795271659700793e-52,0.0,6.654927085578984e-38,2.6316915324809055e-18,2.631691532480905e-18,2.71573225942819e-20,1.59083796526699e-39,1.7640504484951918e-38,1.4804073559724725e-29,4.425721468095699e-34,3.448988308530118e-20,3.375004553292752e-49,2.715732257947827e-20,4.6533714866968575e-39,1.36868856642864e-25,5.453363570813167e-38,7.493391531444643e-38,1.2755564872524186e-44,2.816537533089985e-41,1.3106662709844608e-45,3.448988308530118e-20,1.9468253379069966e-41,6.197571953836083e-38,7.63428934008334e-63,1.7872287177447094e-37,2.3904983433092114e-37,3.498280105484289e-54,3.2857903048750403e-41,6.335713783077888e-40,8.830866997888374e-38,3.904947433003068e-16,9.037107506898031e-39,3.1431518791482923e-62,3.081908127867597e-44,1.0343805899525103e-56,1.5515263499079376e-56,5.189997026953423e-40,1.833346825489259e-74,1.0864381658696235e-61,1.7519857045761436e-59,3.2296880663755984e-61,2.747110647085147e-63,2.5503701978019437e-76,1.187429150576325e-40,3.1714989117705166e-59,7.88735488438104e-55,7.118083976757728e-56,1.089690666557708e-71,1.7087623297244193e-57,1.7233561659152694e-57,6.6563946454730085e-56,1.248017926677351e-88,9.862206215215754e-61,1.1020729557212502e-54,7.393862013328755e-73,3.9434273277359074e-81,1.576411726713226e-64
6.262049189235742e-23,0.3502070072570941,3.76,0.0,1.0045258805587158,0.9999999999999989,2.1313465143984666e-51,0.0,4.019575959692897e-37,7.368736290946537e-18,7.36873629094653e-18,7.60405032639893e-20,9.608661310213152e-39,1.0654864708908916e-37,4.145284127525674e-29,2.673135766729797e-33,9.657167263884331e-20,4.0068054056691427e-48,7.604050322253912e-20,2.8106363781603465e-38,3.832327986008321e-25,3.293831596771128e-37,4.526008484992837e-37,7.704361183057891e-44,1.7011886699863526e-40,7.916424276853411e-45,9.657167263884331e-20,1.1758825040959123e-40,3.7433334601167177e-37,9.063428304658955e-62,1.0794861455178033e-36,1.4438609993587627e-36,4.1531581412309446e-53,1.984617344144524e-40,3.8267711249836665e-39,5.333843666724574e-37,1.0933852812406982e-15,5.458412934165882e-38,3.731549910925266e-61,1.861472509295423e-43,1.5628000207609268e-55,2.3437983779534685e-55,3.13475820427987e-39,5.1684846730167007e-73,1.2898193905207916e-60,2.0799574284727806e-58,3.834285672401008e-60,3.2613697602205444e-62,5.705381005959806e-75,7.172072069479965e-40,3.76520350805395e-58,9.363867718737151e-54,1.0754232158352234e-54,3.072382867609919e-70,2.582158206661272e-56,2.603961820505542e-56,7.902471723106758e-55,6.45861764089472e-87,1.1708423425122247e-59,1.3083810130321413e-53,1.6539773569335207e-71,1.1120583314318791e-79,1.8715160023138728e-63
1.4313255289681696e-22,0.3502070072570941,3.76,0.0,1.0045258805587158,0.9999999999999974,2.0925686465522419e-50,0.0,1.9352527964911564e-36,1.6842825807877793e-17,1.684282580787778e-17,1.7380686460340398e-19,4.626156802997209e-38,5.129858704220958e-37,9.475611793843081e-29,1.286999802922223e-32,2.2073525174592756e-19,3.9339053073179977e-47,1.738068645086607e-19,1.3532004286246135e-37,8.759606825200202e-25,1.585838126392432e-36,2.1790782573445133e-36,3.709318265008436e-43,8.190491146225693e-40,3.8114175161806454e-44,2.2073525174592756e-19,5.661368082634828e-40,1.8022539241751194e-36,8.89852765514195e-61,5.197261111201602e-36,6.951569182343176e-36,4.077595290952479e-52,9.555078206576607e-40,1.8424255681259843e-38,2.568016122985936e-36,2.499166357120837e-15,2.627990863005155e-37,3.663657830336501e-60,8.96218883677178e-43,1.6810664214530804e-54,2.5210524528395978e-54,1.5092511354380596e-38,1.1241170772034195e-71,1.2663523261387522e-59,2.0421145372539e-57,3.7645244101670794e-59,3.202032170245612e-61,1.1273141001470675e-73,3.453043969874398e-39,3.696699131559699e-57,9.19350085323449e-53,1.1568011546135346e-53,6.682553426410778e-69,2.7777254792404574e-55,2.801094547060825e-55,7.758693598763984e-54,2.819845831384764e-85,1.1495404897567869e-58,1.2845762371882962e-52,3.2679805382778924e-70,2.4189305643168946e-78,1.83746550973332e-62
3.0415667490573605e-22,0.3502070072570941,3.76,0.0,1.0045258805587158,0.9999999999999947,1.8508532702954137e-49,0.0,8.451757398734783e-36,3.579100484174031e-17,3.5791004841740256e-17,3.6933958728223272e-19,2.020364215889908e-37,2.2403440695857316e-36,2.0138563619321905e-28,5.620666264481476e-32,4.69062409960096e-19,3.4794946942626275e-46,3.693395870809032e-19,5.909781791134405e-37,1.8614164503714038e-24,6.925771734932337e-36,9.516607244938936e-36,1.6199567388908773e-42,3.5770026670242964e-39,1.664546164311929e-43,4.69062409960096e-19,2.4724681791432015e-39,7.870916381367555e-36,7.870646938761594e-60,2.2697804715357676e-35,3.035932896002687e-35,3.6065868575500645e-51,4.172953687191292e-39,8.046356504580575e-38,1.1215201087318205e-35,5.31072850887854e-15,1.1477126533752315e-36,3.2404638613293248e-59,3.914023323347296e-42,1.5451452526656041e-53,2.317173208041782e-53,6.59129622423089e-38,2.0838195053595487e-70,1.120074291487263e-58,1.8062271819897097e-56,3.329679208909917e-58,2.832161192725455e-60,2.00601723714049e-72,1.508035021230327e-38,3.2696885180789018e-56,8.131547391601372e-52,1.0632669148116102e-52,1.2387922137887011e-67,2.5531928748545034e-54,2.574641806685423e-54,6.862476623695362e-53,1.0497224147285654e-83,1.0167557574812724e-57,1.136193134429555e-51,5.815196760334249e-69,4.484260695252568e-77,1.6252174360006454e-61
6.262049189235742e-22,0.3502070072570941,3.76,0.0,1.0045258805587158,0.999999999999989,1.5557536959686314e-48,0.0,3.5284423408185045e-35,7.368736290946535e-17,7.368736290946511e-17,7.604050326398879e-19,8.434622891853057e-37,9.352995477893047e-36,4.147365324165561e-28,2.3465175223842836e-31,9.65716726388433e-19,2.9247249458105235e-45,7.604050322253859e-19,2.467217564973131e-36,3.832327986126202e-24,2.8913733652447954e-35,3.9729961899757666e-35,6.763000496132032e-42,1.4933282000443244e-38,6.949152570208455e-43,9.65716726388433e-19,1.0322067941594701e-38,3.2859526499200465e-35,6.615752994767913e-59,9.475886661482333e-35,1.2674422216225332e-34,3.0315535669309656e-50,1.7421260196447374e-38,3.3591954478523875e-37,4.6821256822803884e-35,1.0933852812383647e-14,4.791474400149974e-36,2.7238051280445383e-58,1.63402769025168e-41,1.32188735069691e-52,1.9823491317903952e-52,2.7517364236907433e-37,3.581473372869693e-69,9.414899315361363e-58,1.5182427798142105e-55,2.7987960033108163e-57,2.3806021330054476e-59,3.383459203776898e-71,6.295749356341225e-38,2.7483702129576884e-55,6.835055545126269e-51,9.096347761430395e-52,2.1291361565592877e-66,2.184304382702573e-53,2.202642466084511e-53,5.768325097447447e-52,3.6163982355738e-82,8.546445625155637e-57,9.550387902592474e-51,9.808179303327276e-68,7.707276208270758e-76,1.3660931837995519e-60
1.2703014069592506e-21,0.3502070072570941,3.76,0.0,1.0045258805587158,0.9999999999999778,1.2755008746504338e-47,0.0,1.4414838264824503e-34,1.494800790449154e-16,1.4948007904491442e-16,1.5425359233551899e-18,3.4458186662932424e-36,3.821003833434429e-35,8.41805763718272e-28,9.58628972875354e-31,1.959025359245107e-18,2.3978662150137567e-44,1.5425359225143421e-18,1.0079388798128868e-35,7.774151057843917e-24,1.1812203628921231e-34,1.623098579280266e-34,2.7629063742563244e-41,6.10073295817435e-38,2.838955570827336e-42,1.959025359245107e-18,4.216901554930052e-38,1.3424188754854569e-34,5.423994013193728e-58,3.871208891783654e-34,5.177915031541393e-34,2.4854507729218063e-49,7.117153231971451e-38,1.3723409483244066e-36,1.91280111521059e-34,2.218010141935266e-14,1.9574736344179082e-35,2.233140009349332e-57,6.675536288521199e-41,1.0929553996210139e-51,1.6390284367788918e-51,1.1241741160262521e-36,5.935966776250423e-68,7.718903283027409e-57,1.244747159256649e-54,2.294622059645291e-56,1.9517614585709316e-58,5.5573564006798903e-70,2.5720190373021102e-37,2.253279950116891e-54,5.603791492556561e-50,7.520987538187045e-51,3.5288626146128534e-65,1.8060228066419632e-52,1.8211804244432676e-52,4.729221422404069e-51,1.2001421409516169e-80,7.006892813146751e-56,7.829985012665424e-50,1.6109963957821936e-66,1.2774227686715482e-74,1.1200057314683984e-59
2.5584943830306035e-21,0.3502070072570941,3.76,0.0,1.0045258805587156,0.9999999999999553,1.0329336779113765e-46,0.0,5.82670810023462e-34,3.0106551131581545e-16,3.010655113158116e-16,3.106797704785758e-18,1.3928549988187917e-35,1.5445108420592475e-34,1.697413981741872e-27,3.874931579947872e-30,3.945642624958455e-18,1.9418542297978423e-43,3.1067977030922173e-18,4.0742501174229184e-35,1.5657797202111823e-23,4.774681567695925e-34,6.560823968599868e-34,1.1168109318005768e-40,2.4660138040219668e-37,1.1475512332338385e-41,3.945642624958455e-18,1.7045390309619992e-37,5.426271729010508e-34,4.3924909802439454e-57,1.5648045293638652e-33,2.092996043487617e-33,2.0127824755749176e-48,2.876867129852664e-37,5.5472215317954403e-36,7.731847938266984e-34,4.467259863312591e-14,7.912421403398284e-35,1.8084546776423348e-56,2.6983585034833957e-40,8.887705591663712e-51,1.332824312183017e-50,4.544091516955289e-36,9.665133437314393e-67,6.25096800473684e-56,1.0080285218151873e-53,1.858244435993406e-55,1.5805870320004948e-57,9.008725877135557e-69,1.0396512179187382e-36,1.8247645238323947e-53,4.538095638777753e-49,6.115922898157857e-50,5.7458186251402345e-64,1.4686268439866e-51,1.4809509221071792e-51,3.8298461211976164e-50,3.9104748317559153e-79,5.6743635997360115e-55,6.340924869305537e-49,2.6114945801065994e-65,2.0799504498576823e-73,9.07009685146827e-59
5.1348803351733086e-21,0.35020700725709414,3.76,0.0,1.0045258805587154,0.9999999999999103,8.313948872241102e-46,0.0,2.34289370043796e-33,6.042363758576155e-16,6.042363758575998e-16,6.2353212676467525e-18,5.600608690283306e-35,6.210410165784497e-34,3.414509439469742e-27,1.5580929457286544e-29,7.918877156385149e-18,1.562973221640944e-42,6.235321264247818e-18,1.638238060779326e-34,3.1425089493977564e-23,1.919878458557111e-33,2.6380784622327677e-33,4.490647639682659e-40,9.915733046745398e-37,4.614253041806738e-41,7.918877156385149e-18,6.853876475181616e-37,2.181879996614098e-33,3.53545888190624e-56,6.292010189968318e-33,8.415845037553192e-33,1.6200624444604648e-47,1.1567756199924221e-36,2.2305133805520229e-35,3.108942050074443e-33,8.965759306001327e-14,3.1815498461918937e-34,1.4556016565784438e-55,1.0849980888680431e-39,7.1682461148159985e-50,1.0749685498144642e-49,1.827159213327282e-35,1.559952480066483e-65,5.031322872233209e-55,8.113490508558098e-53,1.4956767856969527e-54,1.2721939513449837e-56,1.4508284666236418e-67,4.1803918216883645e-36,1.4687292397059135e-52,3.6526541754856735e-48,4.9327057193293966e-49,9.273759026260568e-63,1.184500392855852e-50,1.1944394744184345e-50,3.0825933474050134e-49,1.26266646023349e-77,4.567221536927949e-54,5.103727982778863e-48,4.2057315133571694e-64,3.3570473141847506e-72,7.300403118317144e-58
1.028765223945872e-20,0.3502070072570942,3.76,0.0,1.0045258805587147,0.9999999999998204,6.671420376436608e-45,0.0,9.396051624592611e-33,1.2105781049412149e-15,1.2105781049411523e-15,1.2492368393368178e-17,2.246094578166712e-34,2.490652243798173e-33,6.872216441648155e-27,6.248649586473026e-29,1.586534621923853e-17,1.2541875777511156e-41,1.249236838655842e-17,6.570067405901295e-34,6.295967409102871e-23,7.699571305434002e-33,1.057987454307113e-32,1.8009505542750904e-39,3.9766524437451785e-36,1.850521850572699e-40,1.586534621923853e-17,2.7487110136924315e-36,8.750314656014567e-33,2.8369831020043005e-55,2.5233775032109333e-32,3.375130267927716e-32,1.2999980837104442e-46,4.639187616710792e-36,8.945356278979616e-35,1.2468248129115394e-32,1.7962758191115142e-13,1.2759437866009311e-33,1.1680286588310858e-54,4.35132763310125e-39,5.757920947162953e-49,8.634721841664471e-49,7.327725662375163e-35,2.5067986023497246e-64,4.03731974347333e-54,6.510565163326111e-52,1.2001864260835276e-53,1.020855526021101e-55,2.3289017493546444e-66,1.6765240930580712e-35,1.1785627175271743e-51,2.93102493970164e-47,3.9622144291926253e-48,1.490266950439824e-61,9.514549872410347e-50,9.59438305303835e-50,2.473587026317043e-48,4.058725050267304e-76,3.6649076711321836e-53,4.0954202845636764e-47,6.751130507928114e-63,5.394684035476432e-71,5.858113886227809e-57
