Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66)
0.0,0.23053367851970322,3.76,0.0,0.5837986863209937,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8460148112385894e-22,0.2305336785197032,3.76,0.0,0.5837986863209937,0.9999999999999996,3.605006841305109e-53,0.0,6.204598133072678e-39,8.90825848456402e-21,8.908258484564017e-21,4.045051292985511e-22,3.8031481910703984e-41,4.641636395410406e-40,2.531211280571029e-33,6.523119662232516e-36,9.501454207704245e-24,1.6554902390064912e-50,4.0450512929602645e-22,6.367363155653606e-42,5.005059476753728e-30,4.194833357622427e-38,6.21513237617523e-39,1.2558893952096979e-51,1.45709113382008e-45,2.3054236485578996e-50,9.501454207704245e-24,1.6456413577148703e-46,8.3212403060055e-40,6.581423653927681e-66,1.3319668987844936e-38,8.407570589842099e-40,8.18710330780651e-56,1.2799445981453857e-46,1.106779051335168e-43,5.808043051297051e-41,3.082206998900924e-16,2.07028362749519e-42,1.529372145132693e-68,7.134798244182645e-51
5.168841471468051e-22,0.23053367851970322,3.76,0.0,0.5837986863209937,0.9999999999999991,4.279864121998575e-52,0.0,3.7475772723769964e-38,2.4943123756779256e-20,2.4943123756779214e-20,1.1326143620359427e-21,2.2971015074146165e-40,2.803548382826231e-39,7.10852843494127e-33,3.9399642759884233e-35,2.6604071781571893e-23,1.9653980117484983e-49,1.1326143620288738e-21,3.8458873556694994e-41,1.4014166580797394e-29,2.533679348003931e-37,3.753939955209934e-38,7.585571951248422e-51,8.80083044827542e-45,1.3924758839206136e-49,2.6604071781571893e-23,9.939673800604979e-46,5.0260291448263317e-39,7.81346616292731e-65,8.045080068658328e-38,5.078172636264627e-39,9.719729047027874e-55,7.730865372800323e-46,6.6849454702192054e-43,3.508058002983413e-40,8.63017959691102e-16,1.2504513110054363e-41,1.8156706107078156e-67,4.309418507014252e-50
1.1814494791926971e-21,0.23053367851970322,3.76,0.0,0.5837986863209937,0.999999999999998,4.201995974228801e-51,0.0,1.804297137099185e-37,5.701285430120973e-20,5.701285430120954e-20,2.5888328275107236e-21,1.1059554939754164e-39,1.349787863782867e-38,1.63477101410513e-32,1.8969231977771932e-34,6.080930692930717e-23,1.9296394225859444e-48,2.5888328274945673e-21,1.851629220146152e-40,3.203238097243255e-29,1.219857540396579e-36,1.8073604949919007e-37,3.652126367423088e-50,4.2372210171519385e-44,6.704171972826253e-49,6.080930692930717e-23,4.785525068245381e-45,2.4198166809849167e-38,7.671307414013379e-64,3.873359741665292e-37,2.4449215275260806e-38,9.542887615579233e-54,3.7220788914100074e-45,3.2185134815148556e-42,1.688978919317176e-39,1.972612479288495e-15,6.020384788731137e-41,1.7826361723855077e-66,2.0747998701994167e-49
2.5105801432844813e-21,0.23053367851970322,3.76,0.0,0.5837986863209937,0.9999999999999958,3.7166178531194073e-50,0.0,7.879839629019356e-37,1.2115231539007068e-19,1.2115231539006983e-19,5.501269758460277e-21,4.8299982027849017e-39,5.894878222145604e-38,3.516426314274956e-32,8.284361971035073e-34,1.2921977722477776e-22,1.706744216806089e-47,5.501269758425948e-21,8.086551357328275e-40,6.806881048989416e-29,5.3274383641802486e-36,7.893218117744026e-37,1.594979538218955e-49,1.8505057399547237e-43,2.927888036556857e-48,1.2921977722477776e-22,2.0899645243086805e-44,1.0567975188611662e-37,6.785184536487091e-63,1.691597961456292e-36,1.0677614649099444e-37,8.440576026216132e-53,1.6255296396479438e-44,1.4056093954355884e-41,7.376214675147192e-39,4.191801518464777e-15,2.6292602068931884e-40,1.5767215067850397e-65,9.061199309282972e-49
5.16884147146805e-21,0.23053367851970324,3.76,0.0,0.5837986863209937,0.9999999999999913,3.124041248579139e-49,0.0,3.2896779301704846e-36,2.494312375677925e-19,2.4943123756778912e-19,1.1326143620359343e-20,2.016429171018472e-38,2.460995616823548e-37,7.415012750405883e-32,3.458558044915481e-33,2.660407178157189e-22,1.4346213532791239e-46,1.1326143620288679e-20,3.375976079810918e-39,1.4014167246158251e-28,2.2241006462112002e-35,3.295263185849442e-36,6.658725629886599e-49,7.725497191542942e-43,1.22233562105394e-47,2.660407178157189e-22,8.725190478700991e-44,4.411921610230322e-37,5.703356446975335e-62,7.062088497355253e-36,4.457693926734257e-37,7.094812732892074e-52,6.786266259396442e-44,5.868142532338383e-41,3.0794244257976403e-38,8.63017959674332e-15,1.0976643792748168e-39,1.3253294310880727e-64,3.782874993317952e-48
1.0485364127835188e-20,0.23053367851970324,3.76,0.0,0.5837986863209937,0.9999999999999825,2.5612777622193313e-48,0.0,1.343940774029071e-35,5.059890819232363e-19,5.059890819232222e-19,2.2975891344157333e-20,8.237771108742412e-38,1.0053970097719604e-36,1.575328896583279e-31,1.412933811318044e-32,5.396825989976012e-22,1.1761892615895037e-45,2.2975891344014037e-20,1.3791964429991192e-38,2.8428740815201993e-28,9.086176845942699e-35,1.3462225332101897e-35,2.720306713325025e-48,3.156117679524048e-42,4.993639861593409e-47,5.396825989976011e-22,3.5645250065464626e-43,1.802413935230338e-36,4.675956207381596e-61,2.8850935814430536e-35,1.8211134200421385e-36,5.816756128955282e-51,2.7724111973918457e-43,2.3973276981822538e-40,1.2580453570830995e-37,1.7506935753004333e-14,4.484317148303823e-39,1.0865851406991603e-63,1.5454300332692371e-47
2.1118409440569462e-20,0.23053367851970324,3.76,0.0,0.5837986863209937,0.9999999999999647,2.0741891374749336e-47,0.0,5.432423486322433e-35,1.0191047706341238e-18,1.0191047706340666e-18,4.6275386791752747e-20,3.3298387931819282e-37,4.063975462568264e-36,3.459425476934649e-31,5.711304374026978e-32,1.0869663613613655e-21,9.525085588009823e-45,4.627538679146433e-20,5.57493301421075e-38,5.725789265211374e-28,3.6727779565981365e-34,5.441646721704772e-35,1.0995914874145852e-47,1.2757532280539554e-41,2.0185090826198817e-46,1.0869663613613655e-21,1.4408379995317128e-42,7.285645307346448e-36,3.786710585071518e-60,1.1662009542968753e-34,7.361231614794909e-36,4.710559922814591e-50,1.1206529330375511e-42,9.690381863422669e-40,5.085220477476648e-37,3.526044806434204e-14,1.812632689325049e-38,8.799448186601843e-63,6.246892800024829e-47
4.2384500066038014e-20,0.23053367851970324,3.76,0.0,0.5837986863209937,0.9999999999999292,1.6694878682477112e-46,0.0,2.1843535912274917e-34,2.0453361480558983e-18,2.0453361480556688e-18,9.28743776869413e-20,1.3389135338971382e-36,1.634106659419613e-35,8.093383986701066e-31,2.2964903695664918e-31,2.181533886088895e-21,7.666617544946485e-44,9.287437768636326e-20,2.241656429226386e-37,1.1491621512123432e-27,1.4768078628832192e-33,2.18806221356954e-34,4.421409169347396e-47,5.129747620421508e-41,8.116336317395254e-46,2.1815338860888943e-21,5.793546226034089e-42,2.9295259346125503e-35,3.047874140968632e-59,4.689242745846031e-34,2.9599188564361403e-35,3.791468435332285e-49,4.5060961557213945e-42,3.8964599335855155e-39,2.0447447883810227e-36,7.076747268228023e-14,7.288516320635143e-38,7.082561436874606e-62,2.5118622033400166e-46
8.491668131697512e-20,0.23053367851970324,3.76,0.0,0.5837986863209937,0.9999999999998581,1.3396588736454219e-45,0.0,8.760234877195085e-34,4.097798902899449e-18,4.097798902898526e-18,1.8607235947730918e-19,5.369642117222642e-36,6.553498575812789e-35,2.0824362402486404e-30,9.209953512379144e-31,4.370668935543953e-21,6.1519777531086596e-43,1.860723594761544e-19,8.990047963830975e-37,2.302329352406637e-27,5.9226600486174006e-33,8.775108111188336e-34,1.7731829577962903e-46,2.0572582294246827e-40,3.255013934191282e-45,4.3706689355439505e-21,2.3234711595480337e-41,1.174870925997976e-34,2.4457270910079554e-58,1.880596072591847e-33,1.1870598470373478e-34,3.0424146410120644e-48,1.8071460985880765e-41,1.5626547117314507e-38,8.200341135865512e-36,1.4178152189920768e-13,2.9230210309060723e-37,5.6833095115311973e-61,1.0073803853433797e-45
