Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155)
0.0,0.2363618322832191,3.76,0.0,0.7412931617785216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4405566347117305e-23,0.2363618322832191,3.76,0.0,0.7412931617785216,0.9999999999999997,1.3334868672751288e-52,0.0,6.497263637125791e-38,2.2922956916769682e-18,2.292295691676968e-18,2.6518737862410216e-20,1.993102009450881e-39,2.1851669885083554e-38,1.5874371751273748e-29,3.928642358698626e-34,3.183395348765184e-20,2.17412145339562e-49,2.6518737846536235e-20,3.864158087619441e-39,2.4296047159876055e-25,6.40411461971452e-38,7.158592376958053e-38,1.4424671718453505e-44,2.763177530663889e-41,1.0804602536980269e-45,3.183395348765184e-20,1.6138090565011846e-41,6.663475745598989e-38,7.621777780442645e-63,1.4502342592507819e-37,2.008127024081676e-37,3.093277594008774e-54,2.9362745510944756e-41,8.471320068703117e-40,9.190261637943092e-38,3.8077485122786687e-16,1.1878959552277241e-38,3.3239774960229594e-62,3.3102982407530725e-44,1.1952788414093312e-56,1.7054475805575797e-56,4.174308967189889e-40,2.5224645405791924e-74,1.1804876040501711e-61,1.405725584390925e-59,2.6294531471903165e-61,3.519954103101274e-63,2.773800312924573e-76,1.6573204182206733e-40,3.976216290105779e-59,1.1418546296459027e-54,5.347834634745126e-56,7.557930013726604e-72,1.592797050549444e-57,1.3807800808098654e-57,1.1093964569182338e-55,1.0254191841963095e-88,1.5374737226992022e-60,1.1464094988076362e-54
4.0335585771928457e-23,0.2363618322832191,3.76,0.0,0.7412931617785216,0.999999999999999,1.5831156088302593e-51,0.0,3.9243472368269304e-37,6.4184279366955115e-18,6.418427936695509e-18,7.425246601474857e-20,1.2038336137083985e-38,1.319840861058817e-37,4.4449515308453615e-29,2.372899984653967e-33,8.913506976542517e-20,2.5811169894712717e-48,7.425246597030143e-20,2.3339514850474215e-38,6.802893204772444e-25,3.868085230307539e-37,4.3237897956829436e-37,8.712501717998791e-44,1.6689592285209905e-40,6.525979932448362e-45,8.913506976542517e-20,9.747406701267856e-41,4.024739350341503e-37,9.048574581083634e-62,8.759414925874715e-37,1.2129087225453315e-36,3.6723391596072134e-53,1.7735098288610644e-40,5.116677321502196e-39,5.550918029317624e-37,1.0661695834378925e-15,7.174891569574843e-38,3.9462260832788616e-61,1.9994201374884746e-43,1.8059381168069634e-55,2.576479250637516e-55,2.5212826161826947e-39,7.111642029771468e-73,1.4014748835287168e-60,1.6688774137888934e-58,3.1216867763442683e-60,4.178889511203005e-62,6.205298332382457e-75,1.0010215326051498e-39,4.7205639796135756e-58,1.3556098163156134e-53,8.078784157302013e-55,2.1307306883279883e-70,2.4069333375388493e-56,2.0861848441955418e-56,1.3170754736536952e-54,5.30609079537193e-87,1.8252909857948323e-59,1.3610173569843102e-53
9.219562462155075e-23,0.2363618322832191,3.76,0.0,0.7412931617785216,0.9999999999999977,1.5543122924994657e-50,0.0,1.889404265680611e-36,1.4670692426732597e-17,1.4670692426732585e-17,1.6971992231942514e-19,5.795940643484153e-38,6.354465602578855e-37,1.0160490004236188e-28,1.1424491979095557e-32,2.0373730232097183e-19,2.5341559660779097e-47,1.6971992221783164e-19,1.1236971720676513e-37,1.5549470182370714e-24,1.8623165314129388e-36,2.0817186632198244e-36,4.194694535804079e-43,8.035320259170606e-40,3.141978417919074e-44,2.0373730232097183e-19,4.6929567363064804e-40,1.9377387468197594e-36,8.883944181316403e-61,4.2172812259012636e-36,5.839633386029502e-36,3.605524363576619e-52,8.538686394582743e-40,2.4634598759871345e-38,2.672528084313847e-36,2.4369590478574063e-15,3.454401437801306e-37,3.874428169365586e-60,9.626347285193181e-43,1.9426193858725818e-54,2.771385773757463e-54,1.213889047658823e-38,1.5467759902633782e-71,1.375976351281938e-59,1.638513741166023e-57,3.0648905883647964e-59,4.102858502578352e-61,1.2260993391216172e-73,4.8194877761836626e-39,4.634677707747279e-57,1.3309457563152574e-52,8.689801578343199e-54,4.6342486056726456e-69,2.589234086480141e-55,2.2440675419984826e-55,1.2931125101842465e-53,2.316560397557241e-85,1.7920824699109943e-58,1.3362549118098234e-52
1.9591570232079535e-22,0.2363618322832191,3.76,0.0,0.7412931617785216,0.9999999999999949,1.3747716206932653e-49,0.0,8.251524819195542e-36,3.117522140680677e-17,3.117522140680672e-17,3.6065483492877774e-19,2.531239552003644e-37,2.775162075402056e-36,2.1593605998837247e-28,4.989375795547209e-32,4.3294176743206514e-19,2.2414322535926972e-46,3.6065483471289154e-19,4.907480773218504e-37,3.304262413768163e-24,8.133225567036995e-36,9.091412318741096e-36,1.8319333083232825e-42,3.509235463943155e-39,1.3721845223657149e-43,4.3294176743206514e-19,2.0495375017575668e-39,8.462614196906305e-36,7.857748021425157e-60,1.8417975092484827e-35,2.550321320583718e-35,3.189045468319271e-51,3.729068679889989e-39,1.075857648733839e-37,1.1671632280187692e-35,5.178537976694283e-15,1.508627863138263e-36,3.4268878393023757e-59,4.204078766865939e-42,1.785556073428132e-53,2.5472820303415464e-53,5.301372388331194e-38,2.867342967426583e-70,1.2170355002737562e-58,1.4492468484835852e-56,2.7108610166268313e-58,3.6289318821405467e-60,2.181808462980844e-72,2.1047969311381313e-38,4.099319946447417e-56,1.1772064489797266e-51,7.987067471910416e-53,8.590706044735944e-68,2.3799395383854465e-54,2.0626285392409132e-54,1.1437433712244356e-52,8.623548837129702e-84,1.5850770297084357e-57,1.1819023368899705e-51
4.033558577192845e-22,0.2363618322832191,3.76,0.0,0.7412931617785216,0.9999999999999895,1.1555783834038129e-48,0.0,3.444849180445306e-35,6.41842793669551e-17,6.41842793669549e-17,7.425246601474809e-19,1.0567426854117798e-36,1.1585755373039304e-35,4.446799417931697e-28,2.08296617858197e-31,8.913506976542517e-19,1.8840588655692976e-45,7.425246597030092e-19,2.0487766198034598e-36,6.802893204876097e-24,3.3954615713722393e-35,3.7954856782670926e-35,7.647960945838214e-42,1.4650367267580085e-38,5.728600266623512e-43,8.913506976542517e-19,8.55641561757881e-39,3.5329748403126154e-35,6.604910677712765e-59,7.689142042547555e-35,1.064708948168095e-34,2.680584870526473e-50,1.5568127669902943e-38,4.491493900503281e-37,4.872676720437397e-35,1.066169583435943e-14,6.298224354608872e-36,2.8805057144181542e-58,1.755120128241655e-41,1.5275633294632598e-52,2.179215649443462e-52,2.213218614404111e-37,4.92813854810203e-69,1.0229916698721652e-57,1.2181792998236749e-55,2.2786420261038704e-57,3.050335906495e-59,3.679963450491127e-71,8.787112857386893e-38,3.445725417544962e-55,9.89512952377041e-51,6.832968060239231e-52,1.476491410348449e-66,2.0360835464232397e-53,1.7646007182488214e-53,9.613852192214342e-52,2.9708779304156063e-82,1.3323529020945798e-56,9.934601291133556e-51
8.1823616851626285e-22,0.2363618322832191,3.76,0.0,0.7412931617785214,0.9999999999999785,9.474129758310089e-48,0.0,1.4073332928908883e-34,1.3020239528725178e-16,1.3020239528725092e-16,1.506264310584879e-18,4.317138676558799e-36,4.733159103761549e-35,9.02493953053869e-28,8.509596494635222e-31,1.808168558098625e-18,1.5446652880357408e-44,1.5062643096832356e-18,8.369920998903829e-36,1.3800154787274968e-23,1.3871568430883064e-34,1.5505797432219532e-34,3.1244415935073147e-41,5.985153058519328e-38,2.3403201292014534e-42,1.808168558098625e-18,3.49557496875188e-38,1.4433355003963638e-34,5.415104826908659e-58,3.1412654149074863e-34,4.349683459241794e-34,2.197705430973915e-49,6.360088128652696e-38,1.834921812226468e-36,1.9906474318249995e-34,2.1628011549655304e-14,2.573030154854245e-35,2.361612617508993e-57,7.170238409802439e-41,1.2630120651524281e-51,1.80180287857362e-51,9.041720195292255e-37,8.167956553839274e-68,8.387103775180474e-57,9.987369892885931e-55,1.8681684027516959e-56,2.5008496696890387e-58,6.044370894398928e-70,3.5898223186665216e-37,2.825013879264361e-54,8.112625022131512e-50,5.649576830815959e-51,2.4471515604923808e-65,1.68347135978245e-52,1.4589976219417321e-52,7.882016871651104e-51,9.85915798733189e-81,1.0923434664254237e-55,8.144986361787781e-50
1.6479967901102197e-21,0.2363618322832191,3.76,0.0,0.7412931617785213,0.9999999999999565,7.672395911864839e-47,0.0,5.688666183245237e-34,2.6223862712784505e-16,2.6223862712784165e-16,3.033743611459641e-18,1.745056478177126e-35,1.9132185864322293e-34,1.819426966179685e-27,3.439714959873577e-30,3.64180427898737e-18,1.250909998403246e-43,3.0337436096436526e-18,3.3832558974704313e-35,2.7794677952804707e-23,5.607109747059035e-34,6.267691238488267e-34,1.2629492478706998e-40,2.4192945606178025e-37,9.459948152577595e-42,3.64180427898737e-18,1.4129672918081183e-37,5.834192862080068e-34,4.3852922872115915e-57,1.2697497052184404e-33,1.758211599680598e-33,1.7797588373637413e-48,2.5708493106616774e-37,7.417047344048354e-36,8.046515196577587e-34,4.356064298010936e-14,1.0400599278017882e-34,1.912495126607185e-56,2.8983250109988392e-40,1.0270577318462887e-50,1.4651903379400536e-50,3.6548078676053935e-36,1.3299343062364356e-66,6.7920940875468975e-56,8.088031079307507e-54,1.5128912080837179e-55,2.025252901438971e-57,9.798201686821965e-69,1.4510635775189594e-36,2.28776948285912e-53,6.569814076929265e-49,4.594120970584262e-50,3.984532390881578e-64,1.3689702036302445e-51,1.186429322578819e-51,6.383061617733555e-50,3.212446808794707e-79,8.846080839282744e-55,6.5960211287882326e-49
3.307518033298133e-21,0.23636183228321916,3.76,0.0,0.7412931617785211,0.9999999999999126,6.1754117135235075e-46,0.0,2.2873876527374918e-33,5.263110908090316e-16,5.263110908090177e-16,6.088702213209029e-18,7.016795348404325e-35,7.692967789542458e-34,3.65851295484899e-27,1.3830942569490525e-29,7.309075720764861e-18,1.006841193425042e-42,6.088702209564343e-18,1.3603923212511361e-34,5.578372428679224e-23,2.2545941683267257e-33,2.5202110806998123e-33,5.0782633811882535e-40,9.727877023804221e-37,3.803803550090377e-41,7.309075720764861e-18,5.6814793358283466e-37,2.3459032901186903e-33,3.529664748268846e-56,5.105607719062235e-33,7.069691513359973e-33,1.4325047478297695e-47,1.0337272008110232e-36,2.9823621159015407e-35,3.235468370684247e-33,8.742590584046673e-14,4.18203522616927e-34,1.5393424612196207e-55,1.1654037424471176e-39,8.28358192828603e-50,1.1817267648493508e-49,1.469582169135248e-35,2.1465148117476207e-65,5.4668682205788995e-55,6.50995105542443e-53,1.2177064628241608e-54,1.6300997281283102e-56,1.5779714593300487e-67,5.8346628250546116e-36,1.841395911251668e-52,5.287957930019251e-48,3.705316609713586e-49,6.431035785682686e-63,1.1041237661228647e-50,9.568969120481753e-51,5.137643303734971e-49,1.0372770151940059e-77,7.120095546538508e-54,5.309051645286633e-48
6.62656051967396e-21,0.23636183228321916,3.76,0.0,0.7412931617785206,0.9999999999998249,4.9553789867322197e-45,0.0,9.173447547551387e-33,1.054456018171404e-15,1.0544560181713483e-15,1.2198619416707263e-17,2.814048768573625e-34,3.085224159927423e-33,7.357564781858278e-27,5.546826574390558e-29,1.4643618604319837e-17,8.079266490797276e-42,1.219861940940515e-17,5.455781698484398e-34,1.1176181696647939e-22,9.041931006869092e-33,1.0107173625651808e-32,2.0366107483626115e-39,3.901313776479783e-36,1.5254953563090869e-40,1.4643618604319834e-17,2.278527324062904e-36,9.408121424176179e-33,2.832333675925408e-55,2.047577049230211e-32,2.8352624965383475e-32,1.1494948441354795e-46,4.14570842104305e-36,1.1960605980580124e-34,1.2975675265040656e-32,1.751564315589785e-13,1.677183171771513e-33,1.2352253807435973e-54,4.673790269403156e-39,6.653819194605791e-49,9.492262759912258e-49,5.89368178492304e-35,3.44938807016475e-64,4.3868174558246544e-54,5.223825739575564e-52,9.771327479387261e-54,1.3080523717758697e-55,2.5329946889230816e-66,2.3399607544762667e-35,1.4776042517154096e-51,4.2432532148815074e-47,2.976308459273597e-48,1.0334489446068911e-61,8.868921351200555e-50,7.686311123040128e-50,4.122635193729815e-48,3.3342301387347326e-76,5.713428306254625e-53,4.2601795928985313e-47
