Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702),CF2O2(150),CHF3(41),C2H2F3(67),S(851),C2H2F3(66),CH2CF2(56),S(259),O2(148),S(453),S(1226),C2H3F2(63),CH2F(45),CH3F(39),C2H3F2(64),CF2CH(72),C2HF2(71),S(961),CHF2O(220),CFO(50),S(708),CF3(44),CF3O2(422),CHFO(432),S(178),CHF3O(225),C2HF4(53),CHFO2(140),S(423),CF2CF2(60),CF3O(47),CHO2(161),C2HF(57),C2HF(2537),C2F(2536),S(1231),S(268),S(3108),S(711),CHO3(226),S(2070),FO2(124)
0.0,0.5070784374702157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7424171764012326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9567748569434845e-21,0.5070784374702157,7.21808534571111e-36,1.8654623590300512e-33,7.956550801651167e-39,6.906188205481437e-26,0.0,0.0,3.8753616897493905e-23,1.059868929746063e-40,4.393940513007431e-55,3.5100881178707207e-38,3.458550876887e-68,1.079775366830684e-76,9.426463979366014e-55,5.875140150295261e-61,3.980530597656329e-64,5.835613495445728e-75,1.560103135899054e-100,3.572806062229844e-102,1.7475550664589409e-127,1.552273513465507e-134,1.4662822473936028e-68,-1.786202935743029e-114,8.303692293293462e-83,3.2248553331136085e-116,-3.3693045601517873e-130,-5.437166546690113e-136,1.510928060974001e-139,-1.8393156893829664e-140,1.8823923450644e-85,-1.1510545910784027e-134,-6.458586469084704e-140,-8.701370857587929e-145,3.76,0.0,0.7424171764012326,0.9999999999999994,3.3167826218288847e-52,2.7641133238488904e-79,2.4652841935250915e-22,2.465284193525103e-22,3.8753616897499895e-23,1.5293955974320353e-42,1.6687752333445922e-41,1.1794164683656788e-36,6.396443475015964e-31,5.990402932180046e-38,4.957001542026501e-39,8.181354028503304e-43,5.2819492289478916e-48,5.210432368511919e-53,6.906188205481437e-26,4.2255408554695555e-49,1.8045728427671693e-49,2.4327767116975967e-39,2.3879625449798946e-67,3.122730127887205e-46,5.691134748499508e-45,4.764535032778885e-45,1.0610987460155334e-61,4.2349626875678615e-61,8.095621388198646e-55,1.8637341137291595e-46,6.632088802833169e-72,4.924428900829289e-16,2.4347918648066677e-76,5.2402768234959304e-71,4.5357474484713e-71,6.398271788701787e-31,3.134589779277252e-47,4.3474073968383547e-69,4.705083619291718e-64,2.2108739508021836e-66,2.2323877740402642e-77,1.0617611940150696e-66,2.999778400871956e-39,4.541926996392793e-92,2.8346253947281294e-62,5.662168345569684e-77,6.4251552002641166e-83,1.2018050576535378e-73,1.427755014674969e-83,2.0542467886987272e-63,9.894249030015097e-44,5.4543636900149935e-78,6.874419983676561e-67,5.742555150114448e-68,2.3009942948775076e-40,1.0714010715441818e-69,1.271826312293168e-92,9.017600685457714e-98,8.625994723828412e-94,2.9992960536666705e-89,2.559787319406973e-111,4.623241441678551e-109,7.4667639764415815e-87,1.6545859130368753e-96,1.8283159863708332e-34
1.3878969599441758e-20,0.5070784374702157,2.40319932852894e-35,5.223302488225545e-33,4.805756684197733e-38,1.9337326975348026e-25,0.0,0.0,1.085101273129829e-22,6.401608335666218e-40,5.216486177042398e-54,2.120093223194985e-37,4.105991601039878e-67,1.2819093155007166e-75,5.693584243536449e-54,3.8057381780406387e-60,6.015377839168393e-63,7.387811776974634e-74,9.490868706004054e-99,7.992224248969429e-101,1.0780594135999007e-125,1.2354559751890319e-132,8.995717431516363e-68,5.328454004368556e-113,2.3417740857816492e-81,3.563552318101846e-114,1.0051093728450608e-128,2.072405224853134e-134,2.4714915102157633e-138,7.958726598460913e-139,5.918542715658036e-84,3.630970098135159e-133,2.656435507191442e-138,3.448276698832988e-143,3.76,0.0,0.7424171764012326,0.9999999999999987,3.937684328635574e-51,7.795241831373376e-78,6.902795741870216e-22,6.902795741870293e-22,1.0851012731299945e-22,9.237549409085281e-42,1.0079402409159353e-40,7.123675468928555e-36,1.79100417374986e-30,3.618203371036715e-37,2.994028931384e-38,4.94153783321597e-42,3.190297334331052e-47,3.1471011525172466e-52,1.9337326975348026e-25,2.5522266767512768e-48,1.0899619970519812e-48,1.4693971338653403e-38,2.834989134997009e-66,1.8861289978575595e-45,3.4374453880278674e-44,2.8777791597984406e-44,1.6035324244131767e-60,6.399875451459762e-60,4.8898213727605417e-54,1.1256954046924644e-45,7.873615829673412e-71,1.378840092210333e-15,2.8905849098309615e-75,6.221256644972173e-70,5.3848393708253554e-70,1.7915161008365116e-30,1.8932922266834744e-46,5.161242061526626e-68,7.110321681437827e-63,3.341072615778641e-65,6.295690121150963e-76,1.2605228900666046e-65,1.8118661541266515e-38,2.351032007072258e-90,4.2836854640218634e-61,1.5950811714145657e-75,2.0201715974319107e-81,1.426782997791187e-72,4.489090206940425e-82,3.104377390576724e-62,5.9761264422100715e-43,1.4345795522288265e-76,1.038387630922156e-65,6.81756147424288e-67,1.3898005541050794e-39,1.2719673521373148e-68,2.845024587547454e-91,2.017201202934236e-96,1.9588877742328545e-92,8.45476663266609e-88,1.0719473367803613e-109,1.9360480901058627e-107,2.3476700871646863e-85,8.564612427911646e-95,5.119284761836604e-34
3.17233590844383e-20,0.5070784374702157,7.294522643363837e-35,1.1939014278382136e-32,2.3137649731208006e-37,4.419960451508121e-25,0.0,0.0,2.480231481439606e-22,3.082098847701546e-39,5.121577061961383e-53,1.0207336246784095e-36,4.0312869020983457e-66,1.2585861675757619e-74,2.7412157251986994e-53,2.086873802963194e-59,6.471068981985169e-62,8.201009572069477e-73,4.2846318068896577e-97,1.579128831100554e-99,6.3328211247524754e-124,8.142412698291202e-131,4.4730081229516907e-67,6.874160998201502e-111,5.0938701440180015e-80,3.224033132226666e-112,1.2966796309015944e-126,2.945752281027041e-132,7.405347558159617e-136,1.1761031090510961e-136,1.320394322005511e-82,5.846241893088251e-131,7.237502210736822e-136,9.49393139920003e-141,3.76,0.0,0.7424171764012326,0.9999999999999969,3.8660418240047428e-50,1.69563536770382e-76,1.577781883856031e-21,1.5777818838560675e-21,2.480231481439974e-22,4.447482398226037e-41,4.8527983782031e-40,3.4297430900071745e-35,4.09372382922795e-30,1.7420091726779068e-36,1.4414960484212952e-37,2.379137751488721e-41,1.5359908358465063e-46,1.5151937356120198e-51,4.419960451508121e-25,1.228787280840684e-47,5.2476978270702004e-48,7.074514677616494e-38,2.783409147287619e-65,9.080899221101303e-45,1.6549819847649023e-43,1.3855267875320904e-43,1.7250070086194626e-59,6.884693911895632e-59,2.3543038938556174e-53,5.4197388027251574e-45,7.73036271740604e-70,3.1516344963776654e-15,2.8379934213265745e-74,6.108066665818951e-69,5.286867225938835e-69,4.094893944769225e-30,9.115387078138464e-46,5.067338061755176e-67,7.648959366878622e-62,3.594173424223639e-64,1.3694500717738167e-74,1.2375888493336981e-64,8.723355589735503e-38,1.0265525497725681e-88,4.6081931975639476e-60,3.4674403139969655e-74,4.506891704411724e-80,1.400824075543323e-71,1.0014913307176693e-80,3.3395474132149124e-61,2.877247660049818e-42,3.03060331039882e-75,1.1168866097522363e-64,6.693522283055544e-66,6.691291409489767e-39,1.2488250889920867e-67,5.6212891573476244e-90,3.985649649522974e-95,3.896327568291433e-91,1.838811297558812e-86,4.269679501333214e-108,7.711484100768994e-106,5.237523034771628e-84,3.7396448449967477e-93,1.170122231276123e-33
6.74121380544314e-20,0.5070784374702157,2.319133618071e-34,2.537056398575773e-32,1.0104819518103605e-36,9.392415959454755e-25,0.0,0.0,5.27049189805915e-22,1.3460335407774953e-38,4.5299769112899746e-52,4.457811909712389e-36,3.565627612033022e-65,1.1132052121833852e-73,1.1971609253785137e-52,1.1337099008898087e-58,5.948027261455482e-61,8.927950056619217e-72,1.6177954453322467e-95,2.809975382419098e-98,3.08118095309561e-122,4.777289465370004e-129,2.078207194033359e-66,5.899964531894906e-109,9.443176764799611e-79,2.4399963552591292e-110,1.112916820233792e-124,3.026189899906394e-130,1.4070305646510955e-133,1.2826631084902307e-134,2.47295243424639e-81,7.056852672927827e-129,1.2920350221752453e-133,1.7001508514333115e-138,3.76,0.0,0.7424171764012326,0.9999999999999933,3.419470211802795e-49,3.1434222022090365e-75,3.352786503193986e-21,3.352786503194146e-21,5.27049189805989e-22,1.9423324096621505e-40,2.119344545972559e-39,1.4978589148241844e-34,8.69916315211038e-30,7.60781172386813e-36,6.295391958373536e-37,1.039031961619878e-40,6.708075521465029e-46,6.617249137189116e-51,9.392415959454755e-25,5.366436887164737e-47,2.2918075106249347e-47,3.089626423855825e-37,2.4618938754852176e-64,3.9658672719289056e-44,7.227741129573907e-43,6.05095949162909e-43,1.5855786333872357e-58,6.32821981312943e-58,1.0282434695504131e-52,2.366942324436811e-44,6.837418290437395e-69,6.697223304362428e-15,2.510173070012548e-73,5.4025157946801565e-68,4.67617418947739e-68,8.701649632634842e-30,3.9809290196823345e-45,4.482003129845273e-66,7.030711372461966e-61,3.303664586101662e-63,2.5387296034355285e-73,1.0946333238722925e-63,3.809718569107233e-37,3.8215977042504917e-87,4.23572341637165e-59,6.426029276358191e-73,8.440909375124387e-79,1.2390131505071355e-70,1.8756824252412846e-79,3.0696193816148004e-60,1.256569670337393e-41,5.5465191485777e-74,1.0265519839998301e-63,5.920344657732918e-65,2.922262754479941e-38,1.1045716487195808e-66,1.0002783711174702e-88,7.092250598883709e-94,6.954468925866427e-90,3.408636078506328e-85,1.528602200122918e-106,2.7608141455279512e-104,9.80930179459646e-83,1.3921759930813603e-91,2.486509741458284e-33
1.3878969599441758e-19,0.5070784374702157,7.944163088610303e-34,5.223416790875858e-32,4.218563235041411e-36,1.9337326975348024e-24,0.0,0.0,1.0851012731298198e-21,5.619425065513583e-38,3.807718545523728e-51,1.8610487201099723e-35,2.9971248530918885e-64,9.357160564816596e-73,4.997911201851126e-52,6.588408736633405e-58,5.088662549671768e-60,1.031637307024788e-70,5.612883941520827e-94,4.739434197104176e-97,1.4881171300834753e-120,3.071917554202021e-127,9.718500587376577e-66,4.3366645146182947e-107,1.6230408116606933e-77,1.6951246003023509e-108,8.180300606861912e-123,2.9548469272103085e-128,2.166034991517732e-131,1.3436755191951921e-132,4.271410350325306e-80,8.18715300443496e-127,1.937075013994315e-131,2.552182413657996e-136,3.76,0.0,0.7424171764012326,0.9999999999999862,2.8742707515587505e-48,5.402739617757884e-74,6.902795741869644e-21,6.90279574187031e-21,1.0851012731299547e-21,8.108855465895844e-40,8.847846283817367e-39,6.253266115272778e-34,1.791004184558022e-29,3.1761116346413846e-35,2.6282022175823426e-36,4.337753905912077e-40,2.8004894818165986e-45,2.7625712679354675e-50,1.933732697534802e-24,2.2403817622137952e-46,9.567845215135408e-47,1.2898582125419552e-36,2.0693701523454296e-63,1.6556715223667348e-43,3.017439642736017e-42,2.52615647437928e-42,1.3564959030021553e-57,5.413925274342113e-57,4.29319066473481e-52,9.881518270998976e-44,5.747262076051142e-68,1.3788400918932354e-14,2.1099517618348868e-72,4.5411400521262395e-67,3.930606166888607e-67,1.7915161008366839e-29,1.6619595009730015e-44,3.767393691583212e-65,6.01492156848534e-60,2.826354602804448e-62,4.3634275148164984e-72,9.201052684863566e-63,1.5904825081421752e-36,1.316598344917928e-85,3.623750539418944e-58,1.104298707628282e-71,1.4579571840081744e-77,1.0414654100008024e-69,3.239774940327652e-78,2.6261239905932315e-59,5.245931227443284e-41,9.475588435916039e-73,8.782142360981555e-63,4.9764064125154934e-64,1.2199871751310096e-37,9.284590261837493e-66,1.6871156766505733e-87,1.1962117260161875e-92,1.1746957235729035e-88,5.858413128446268e-84,5.172615842983353e-105,9.342280804768987e-103,1.6943132197492617e-81,4.796257351403115e-90,5.119284761811545e-33
2.8154481187438996e-19,0.5070784374702157,2.8976889081965402e-33,1.0596339378775888e-31,1.7234207298458977e-35,3.922714900713456e-24,0.0,0.0,2.201205439777614e-21,2.295718496587126e-37,3.1217977162847336e-50,7.602991266958984e-35,2.4572240332174447e-63,7.671565566795994e-72,2.0418098037791988e-51,4.207325118880706e-57,4.207404601161081e-59,1.3067378037250886e-69,1.8693246998828457e-92,7.784534900433064e-96,7.658856558136801e-119,2.3499286760093609e-125,4.8221991676368176e-65,2.968876328543768e-105,2.6900711171491203e-76,1.129793297686656e-106,5.60022665498815e-121,3.0224131876511686e-126,3.031515510548381e-129,1.4683905403828623e-130,7.097012181419659e-79,9.71262157747323e-125,2.678127565099717e-129,3.5305860657032413e-134,3.76,0.0,0.7424171764012326,0.999999999999972,2.3565008182555727e-47,8.954644698272785e-73,1.400281421921995e-20,1.4002814219222668e-20,2.2012054397778166e-21,3.312732046898494e-39,3.6146339035756593e-38,2.554663247137057e-33,3.633179942333987e-29,1.2975452367215241e-34,1.0737063620090167e-35,1.7721140079896117e-39,1.144091331317998e-44,1.1286005148441397e-49,3.9227149007134555e-24,9.152690520021173e-46,3.908776962699545e-46,5.2694916686045247e-36,1.696594692980493e-62,6.763958438691416e-43,1.23272255028639e-41,1.0320173462399663e-41,1.121577044650008e-56,4.476338108860976e-56,1.7542978150193898e-51,4.036922639707796e-43,4.711952713719916e-67,2.79707561424738e-14,1.7298660096793608e-71,3.723100980008472e-66,3.222548412839522e-66,3.6342183759833864e-29,6.789646845507415e-44,3.088736964700769e-64,4.973253457266238e-59,2.3368846401016835e-61,7.232061087353734e-71,7.543578947148839e-62,6.49764000742354e-36,4.369309868129831e-84,2.996187014405986e-57,1.8301529125097235e-70,2.422417666980872e-76,8.538565951326877e-69,5.3829345182868405e-77,2.1713300930454864e-58,2.1431342485615127e-40,1.565902758086486e-71,7.261156776859118e-62,4.079958639062243e-63,4.98404568236603e-37,7.612068047976781e-65,2.771092564991859e-86,1.9647813519819243e-91,1.9308365313846287e-87,9.709763571686946e-83,1.7019113660920323e-103,3.07382848013879e-101,2.8151276677963816e-80,1.591702940851596e-88,1.0384834802473841e-32
5.670550436343347e-19,0.5070784374702157,1.1017300927775119e-32,2.134299176777543e-31,6.966342141325603e-35,7.900679307070765e-24,0.0,0.0,4.433413773073139e-21,9.27966121701276e-37,2.528112728718464e-49,3.0732506315293546e-34,1.9899237299285107e-62,6.212632694647068e-71,8.253321684145096e-51,2.9259935203526435e-56,3.4213915468689e-58,1.8047344361396463e-68,6.101787162548142e-91,1.2619066532176535e-94,4.250718774661427e-117,2.146369492352868e-123,2.6379481538715093e-64,1.9642988276347974e-103,4.380083458861221e-75,7.377982714127816e-105,3.7052804392413544e-119,3.32212517718847e-124,4.054652618651156e-127,1.6972288005745027e-128,1.1569921049130524e-77,1.1861608116409702e-122,3.5609812344711547e-127,4.6957450307044773e-132,3.76,0.0,0.7424171764012326,0.9999999999999437,1.9083554590383018e-46,1.4580317551048541e-71,2.820285117391651e-20,2.82028511739275e-20,4.433413773073263e-21,1.3390592623287657e-38,1.4610928156534049e-37,1.0326357300432031e-32,7.317531534213901e-29,5.244885306461066e-34,4.340092786117469e-35,7.163168156945392e-39,4.62460008787005e-44,4.561983820949071e-49,7.900679307070761e-24,3.699663849394838e-45,1.579990145271958e-45,2.1300127843726357e-35,1.3739463954908716e-61,2.7341001776341826e-42,4.982861640382881e-41,4.171579118878902e-41,9.120478260244055e-56,3.640083807791828e-55,7.094299714684541e-51,1.6317886758121748e-42,3.8158615198780645e-66,5.633546656716305e-14,1.4008904698189052e-70,3.015063703384352e-65,2.6097032549307864e-65,7.319622926278004e-29,2.74448381206805e-43,2.501339274930374e-63,4.044167112702824e-58,1.9003157786070902e-60,1.1775536675557478e-69,6.108985895965543e-61,2.6264499793256924e-35,1.4236760049796387e-82,2.436449517515571e-56,2.979815012689892e-69,3.949152184343277e-75,6.914757418472788e-68,8.775541847329763e-76,1.7656895685020058e-57,8.662892677936531e-40,2.54597634912977e-70,5.9046171504763225e-61,3.3040562864217704e-62,2.0146309528005615e-36,6.164450061453165e-64,4.492060462343646e-85,3.1849952397434127e-90,3.1310984321581606e-86,1.580973262693682e-81,5.522163952101431e-102,9.973600966235487e-100,4.589371574987583e-79,5.186332286494509e-87,2.091593488362164e-32
1.138075507154224e-18,0.5070784374702157,4.290879225053821e-32,4.2839525398572584e-31,2.8011355359581838e-34,1.5856608119785378e-23,0.0,0.0,8.897830439663933e-21,3.731310961927961e-36,2.03484506490854e-48,1.2357405623331172e-33,1.6016637372883788e-61,5.000467279298832e-70,3.3186243497423557e-50,2.1619143120464777e-55,2.759476230989988e-57,2.654287125868479e-67,1.9719921735885e-89,2.03226176265459e-93,2.503213281169765e-115,2.250160905171459e-121,1.6146355445025714e-63,1.2780803559422011e-101,7.069472361797964e-74,4.769626866984399e-103,2.4108583840587518e-117,3.8823380768234416e-122,5.304326642661387e-125,2.0486244982167855e-126,1.8685453399266168e-76,1.4790951855933766e-120,4.645070486180558e-125,6.126118233033041e-130,3.76,0.0,0.7424171764012326,0.999999999999887,1.536010496615445e-45,2.353269131096841e-70,5.660292508329343e-20,5.660292508333764e-20,8.897830439663042e-21,5.384298423533262e-38,5.8749899409298565e-37,4.152182853528503e-32,1.4686235023285664e-28,2.1089453138830305e-33,1.7451322208759907e-34,2.8802784111485755e-38,1.8595313573852448e-43,1.8343537042570873e-48,1.5856608119785366e-23,1.4876185639554475e-44,6.353070891545092e-45,8.564687724593593e-35,1.1058716314624655e-60,1.0993696808039148e-41,2.0035867475600808e-40,1.6773736164294636e-40,7.355996128875404e-55,2.93585946160279e-54,2.855117844060586e-50,6.561350496787261e-42,3.071337398797137e-65,1.1306488732696707e-13,1.1275587266517428e-69,2.4267855760952067e-64,2.100516218626093e-64,1.4690432026872097e-28,1.1035448701548178e-42,2.013295460066027e-62,3.261767284395618e-57,1.5326735188257594e-59,1.9005763657178586e-68,4.917043454171745e-60,1.0560839851398074e-34,4.596963546426836e-81,1.965084801054123e-55,4.809341146053547e-68,6.3778913280956515e-74,5.5656069268917446e-67,1.4172523524096625e-74,1.424092602449764e-56,3.4833121608902195e-39,4.1062614961340954e-69,4.762273738413436e-60,2.6593919464180246e-61,8.100742454151159e-36,4.961685704508421e-63,7.234324892117866e-84,5.1293366456888414e-89,5.043463826396162e-85,2.5516892367288765e-80,1.7793757566249171e-100,3.2137372152940996e-98,7.411856961091543e-78,1.6746352664407533e-85,4.1978135045210983e-32
2.280116434194003e-18,0.5070784374702157,1.6930084403029367e-31,8.584550807136043e-31,1.1233806337817797e-33,3.1768465745214614e-23,0.0,0.0,1.78266637728445e-20,1.4964225826946907e-35,1.6328350145220047e-47,4.9558723537716745e-33,1.2852342798990115e-60,4.0125600729154655e-69,1.3309167933285327e-49,1.6573892021660122e-54,2.216561375517542e-56,4.058433593903995e-66,6.341631299652193e-88,3.262230207348753e-92,1.5310837188177514e-113,2.5803175459256477e-119,1.091915778959437e-62,8.2473001310664e-100,1.1360452300398002e-72,3.0679243134793874e-101,1.5556981918734907e-115,4.7260013571012095e-120,6.863647000148361e-123,2.540649181125256e-124,3.0036320609982977e-75,1.8672832058322325e-118,6.0019973135445016e-123,7.916216135680166e-128,3.76,0.0,0.7424171764012326,0.9999999999997735,1.2325516889856582e-44,3.7816403185107037e-69,1.134030729019825e-19,1.1340307290215975e-19,1.7826663772838152e-20,2.159344505459392e-37,2.3561337239474317e-36,1.6652110351773442e-31,2.942364322267697e-28,8.457813957505798e-33,6.998760735173072e-34,1.15512046647025e-37,7.457552453141677e-43,7.356579383863785e-48,3.176846574521456e-23,5.966015809776422e-44,2.5478655818847206e-44,3.434822842580519e-34,8.873924058673868e-60,4.4089643207344273e-41,8.035278962806677e-40,6.7270184255664944e-40,5.908736126919861e-54,2.3582419782585643e-53,1.147060141291938e-49,2.631395012801089e-41,2.4645549570673497e-64,2.2652372848827702e-13,9.047951908730894e-69,1.9473425960098354e-63,1.685531979566005e-63,2.9432050228079704e-28,4.425708501832094e-42,1.6155428137889863e-61,2.6200288645243184e-56,1.2311267205692394e-58,3.054175196341935e-67,3.9456179245913724e-59,4.235369125514521e-34,1.4776528546362448e-79,1.578462977595864e-54,7.72840801531652e-67,1.0252274041779e-72,4.4660628289143946e-66,2.278191764052192e-73,1.1439086233484903e-55,1.3969648664972019e-38,6.5962873366658465e-68,3.825311704653191e-59,2.133994555477678e-60,3.2487600383781993e-35,3.981440301842824e-62,1.1612693613204981e-82,8.233721293088522e-88,8.096683160324603e-84,4.100489725123715e-79,5.713787560815364e-99,1.031969314583094e-96,1.1914374484275343e-76,5.382965421941866e-84,8.410253536557162e-32
