Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702)
2.6662741048478875e-14,0.6097052609073976,5.684063353125662e-21,5.781301474452364e-23,6.274935883281441e-24,3.346862663717263e-16,0.0,0.0,1.200648261510358e-14,7.786251472413197e-25,1.6563846312294312e-33,6.631278777776372e-28,3.1080638240397643e-42,2.31010903791605e-51,2.642984164202316e-35,9.386540244145939e-57,3.6158796006334294e-58,1.3117235010637027e-63,6.430702550137072e-62,2.560231074723031e-87,2.1093546107419094e-92,1.335333499084528e-104,1.5905373352727814e-59,2.0006825937972915e-89,1.3668662230027432e-69,9.57812153912455e-86,4.465207391640215e-99,2.1780925113811038e-113,3.136526092575242e-123,2.57207985620529e-124,8.543302236390108e-87,1.3255397232389035e-102,3.2176844421752764e-106,1.6399858105264859e-106,3.76,0.0,0.7954598687026135,0.999999999999988,1.3335254358162991e-30,3.476360787598066e-79,2.4332450428825196e-13,2.433245099866712e-13,1.200648258505269e-14,1.345361246849826e-26,1.638424798439666e-25,5.683652024945444e-21,6.631446275358561e-28,2.5712199004094514e-23,6.274849705596646e-24,3.219750473550375e-26,9.964876619288761e-31,2.204844334276101e-35,3.3468626637154956e-16,1.8680501370351513e-31,1.170039286914748e-31,1.4557067182540332e-23,1.1560666868698821e-43,2.2740424927735423e-34
5.334864694582697e-14,0.6097052609074244,2.2750964328102637e-20,1.4481601426946033e-22,2.5116255839117717e-23,6.696633114294298e-16,0.0,0.0,2.4023396576912296e-14,3.1165297431992564e-24,1.3261148329557394e-32,5.30905444684849e-27,2.4883398749698773e-41,1.849489626694233e-50,1.0578819768844052e-34,1.503593347971497e-55,5.792137667715688e-57,4.202672289150631e-62,2.0603652645329026e-60,1.6414306539637967e-85,5.412286500379597e-90,1.8567358808303744e-102,2.5478504330869784e-58,2.5665884492661105e-87,4.3792294472727515e-68,1.2280625662405984e-83,5.728193354984437e-97,5.5903455564771306e-111,1.6111938758395714e-120,1.321244930703293e-121,1.0953837374071037e-84,3.402155898804055e-100,8.25744885529506e-104,4.209226169798284e-104,3.76,0.0,0.7954598687023576,0.999999999999976,1.0676375113075686e-29,2.2284861387815696e-77,4.868603998666563e-13,4.868604226751834e-13,2.4023396456530434e-14,5.385504656026117e-26,6.557867357400884e-25,2.274941701736693e-20,5.309113618333251e-27,1.0291578945997891e-22,2.5115751542277126e-23,1.2887392560143162e-25,3.988568702742678e-30,8.842986947458323e-35,6.69663311427938e-16,7.477168176035971e-31,4.683235995801571e-31,5.826620437486549e-23,9.273037106498812e-43,9.102096296863236e-34
1.0672045874052317e-13,0.6097052609074779,9.103327848699956e-20,4.062802125142027e-22,1.0049901401802556e-22,1.3396174015526413e-15,0.0,0.0,4.805722449386145e-14,1.2470178429081382e-23,1.0612948600478703e-31,4.248856004281014e-26,1.991426524655214e-40,1.4801503152777108e-49,4.232902099309538e-34,2.4071457031230837e-54,9.272802057045014e-56,1.3456802169107762e-60,6.597235951490415e-59,1.0514381314681908e-83,1.3871266758515536e-87,3.1173228004088815e-100,4.0790247302408665e-57,3.288914431257094e-85,1.4021941194253342e-66,1.573241655205484e-81,7.340235162641937e-95,1.432977680383106e-108,8.262881204963969e-118,6.775900451966013e-119,1.403269885303539e-82,8.720738143454256e-98,2.1164916531237454e-101,1.0789534622218643e-101,3.76,0.0,0.7954598687018458,0.999999999999952,8.544446050776646e-29,1.4273901844967177e-75,9.739321567879569e-13,9.73932248051771e-13,4.805722401198155e-14,2.1553463266666016e-25,2.6239197660862644e-24,9.102727569273816e-20,4.248867081968708e-26,4.117970959790246e-22,1.0049572086738125e-22,5.156635487853836e-25,1.595963928320258e-29,3.552642180009008e-34,1.339617401540397e-15,2.9919207215545254e-30,1.8739281359690354e-30,2.3314070340435326e-22,7.449217215691985e-42,3.64202412169047e-33
2.1346408232991556e-13,0.609705260907585,3.64191892859711e-19,1.2790481717780916e-21,4.0207170053270567e-22,2.6795255818632417e-15,0.0,0.0,9.612488030109067e-14,4.9888833715292505e-23,8.491970723233546e-31,3.399728619715551e-25,1.5934411750568374e-39,1.1843399342918918e-48,1.69343345972669e-33,3.852543859583503e-53,1.48407709835266e-54,4.307493141289072e-59,2.1117660944299953e-57,6.732147754608741e-82,3.553068734671177e-85,7.77432235764426e-98,6.528635185943051e-56,4.2122165971370734e-83,4.48835973080051e-65,2.01459522561325e-79,9.400696165832807e-93,3.670788509992858e-106,4.234063805729555e-115,3.472105071296941e-116,1.7969381700832793e-80,2.2339307713034807e-95,5.421520619986412e-99,2.7638979791802872e-99,3.76,0.0,0.7954598687008223,0.999999999999904,6.837016978388939e-28,9.139021336215718e-74,1.9480755336885434e-12,1.9480758988031977e-12,9.612487837290007e-14,8.626332810995305e-25,1.0496736579547214e-23,3.6416817722383734e-19,3.3997128900497334e-25,1.6474556028555033e-21,4.0204832168830587e-22,2.0629898176081954e-24,6.385030261324831e-29,1.4327265057719866e-33,2.6795255817640425e-15,1.1970267250806537e-29,7.497122546490647e-30,9.327145509868125e-22,6.005264494591264e-41,1.457046803043657e-32
4.2695132950870037e-13,0.6097052609077991,1.4568845635780002e-18,4.423996469295264e-21,1.6084993307011965e-21,5.3593419430048174e-15,0.0,0.0,1.9226019180890416e-13,1.9957157545418166e-22,6.794220622359478e-30,2.7200383692940525e-24,1.2748698023224619e-38,9.475547690097087e-48,6.774261072864012e-33,6.164937453883529e-52,2.3748603060725025e-53,1.37860580873105e-57,6.758690165970801e-56,4.3095082892911095e-80,9.09844271831502e-83,2.9323421031551812e-95,1.0448289093396534e-54,5.3933021054535875e-81,1.4364848179947424e-63,2.5792225425641995e-77,1.2036158806186302e-90,9.400231179072904e-104,2.168720383479224e-112,1.778438811888356e-113,2.300557490383295e-78,5.720604636904756e-93,1.388327564984715e-96,7.077826207316261e-97,3.76,0.0,0.7954598686987752,0.9999999999998078,5.4703920546832885e-27,5.850182784966324e-72,3.896361739721814e-12,3.896363200299059e-12,1.92260184095073e-13,3.453648914661891e-24,4.198515538723696e-23,1.4567896723548266e-18,2.719999815875367e-24,6.59035132325265e-21,1.608324168524638e-21,8.252629618395909e-24,2.554328233397018e-28,5.822886277455173e-33,5.359341942206244e-15,4.789005549153892e-29,2.999244918923567e-29,3.731161251798159e-21,4.876287572431466e-40,5.828661554682382e-32
8.5392582386627e-13,0.6097052609082274,5.8277676549320734e-18,1.631197560233894e-20,6.434912228620719e-21,1.0718974669478794e-14,0.0,0.0,3.8453081439820426e-13,7.983187796676559e-22,5.435632909534718e-29,2.1761295614388924e-23,1.0199375830438734e-37,7.580737723733681e-47,2.709795468545545e-32,9.864525238613651e-51,3.80002651142769e-52,4.411859391104665e-56,2.1629450861622592e-54,3.6447864728670327e-78,3.5280588821912585e-80,2.0799311818441073e-92,1.6721532265663488e-53,9.949327341606741e-79,4.597058205578635e-62,3.301748364165145e-75,2.2200859606099856e-88,5.2025434264984844e-101,3.3911468190287374e-109,2.7808769383160986e-110,2.961278024984304e-76,3.165972763994668e-90,6.675882273032014e-94,3.9171926206320585e-94,3.76,0.0,0.795459868694681,0.9999999999996155,4.376936019843276e-26,3.744574139597052e-70,7.792931960717972e-12,7.792937803262813e-12,3.8453078354292923e-13,1.3837830515312244e-23,1.679058029384202e-22,5.827383073693503e-18,2.1760625203991753e-23,2.6362418641211242e-20,6.433558415094875e-21,3.3011851661523665e-23,1.0218594841686697e-27,2.402463307833559e-32,1.071897466307029e-14,1.9160873512215432e-28,1.1998682546884834e-28,1.492524753641717e-20,4.015808324615215e-39,2.3315594937472905e-31
1e-12,0.6097052609090838,8.818485794435834e-18,2.420998919272405e-20,9.73811095491966e-21,1.2552582877233307e-14,0.0,0.0,4.503093867396421e-13,1.2080045594870247e-21,1.1944436410197596e-28,4.7818874553579844e-23,2.24122659072372e-37,1.6658232985136112e-46,4.100397544599924e-32,3.517598683914216e-50,1.3550593949270472e-51,2.780766434527447e-55,1.3632987569030197e-53,4.30772437521889e-77,1.57634050754429e-78,1.7910147542361936e-90,5.964501093499196e-53,2.266659435278019e-77,2.8974749752778847e-61,7.503348850911773e-74,5.0567296015675005e-87,2.326237546930054e-99,3.002157558664707e-107,2.4618879589994996e-108,6.729877798744639e-75,1.4155333258693245e-88,2.9863075662207472e-92,1.7514940037456904e-92,3.76,0.0,0.7954598686932802,0.9999999999995497,9.619159825282357e-26,4.4101636561353873e-69,9.126003730072169e-12,9.126012570924951e-12,4.5030934005332116e-13,2.0970213089042287e-23,2.540157000078355e-22,8.817895354534195e-18,4.7816447351979804e-23,3.989115389386645e-20,9.735168586108366e-21,4.9953048343601385e-23,1.546381697621084e-27,3.735565432111956e-32,1.2552582863137637e-14,2.8999532190914896e-28,1.8157897210016878e-28,2.2584664711075696e-20,9.138087832861002e-39,3.5280825028725666e-31
1.707874812581409e-12,0.6097052609090838,2.3311492693525902e-17,6.248372817955859e-20,2.5745397397920757e-20,2.1438240156064565e-14,0.0,0.0,7.690720578735176e-13,3.193340039602312e-21,4.348606943603026e-28,1.740937870406322e-22,8.159587729571725e-37,6.064773494194439e-46,1.0839249065221367e-31,1.578352179973753e-49,6.080180070128694e-51,1.4118363185346965e-54,6.9216762797224665e-53,2.3416675762129307e-76,9.044310069416968e-78,1.036947097214418e-89,2.6765199904612964e-52,1.2768737086952452e-76,1.4710893535546652e-60,4.226451845337491e-73,2.848576624746411e-86,1.3347059403555425e-98,1.7386265007379612e-106,1.4257424964668156e-107,3.790780187355851e-74,8.121778672659122e-88,1.7134427886465062e-91,1.0049399231070136e-91,3.76,0.0,0.7954598686864925,0.999999999999231,3.5022953240401393e-25,2.396717828682805e-68,1.558606363843862e-11,1.5586087009078447e-11,7.690719344700182e-13,5.553370754966401e-23,6.713038810044056e-22,2.330990466345195e-17,1.740828464366199e-22,1.05451345194685e-19,2.5734756897210126e-20,1.3205001266432934e-22,4.088214028083754e-27,1.0195772440307056e-31,2.1438240104716946e-14,7.667762870717283e-28,4.80054242727179e-28,5.970216652077621e-20,3.3960631713372474e-38,9.326427722074667e-31
3.415772790011687e-12,0.6097052609107968,9.324652104410405e-17,2.444381235741863e-19,1.030244350301959e-19,4.287677139878258e-14,0.0,0.0,1.5381545380271641e-12,1.2773489714122543e-20,3.478922679486531e-27,1.3927554631316672e-21,6.527577791617305e-36,4.8523908519256496e-45,4.335621789468691e-31,2.525316331803953e-48,9.72820003176631e-50,4.517880997708059e-53,2.2149696514372397e-51,1.498952593713966e-74,2.3154042672478385e-75,5.270579441292612e-87,4.285638273287246e-51,1.6350979772742614e-74,4.707418248523749e-59,5.409979924265375e-71,3.646124808001529e-84,3.4168707554846634e-96,8.901630373704917e-104,7.299676282310917e-105,4.852284269075698e-72,2.0789417176975713e-85,4.3864679005560126e-89,2.5726081126102186e-89,3.76,0.0,0.7954598686701158,0.9999999999984618,2.802930931171519e-24,1.5340263932564868e-66,3.1172291936872095e-11,3.1172385420262346e-11,1.5381540445884406e-12,2.2358516548811422e-22,2.6825825417986832e-21,9.323975213928234e-17,1.3925795668489403e-21,4.218058733102484e-19,1.0294007204325556e-19,5.282047801543658e-22,1.6358565960855473e-26,4.546933580471665e-31,4.2876770987684534e-14,3.0697424141355843e-27,1.921013902847279e-27,2.388107892126833e-19,3.0101890473564225e-37,3.7306090385518856e-30
6.831568744872244e-12,0.6097052609142226,3.7298483363963404e-16,9.67012174856049e-19,4.12434205305309e-19,8.575383604235032e-14,0.0,0.0,3.0763194712758706e-12,5.1094215672338676e-20,2.7831479976949834e-26,1.1141928024733045e-20,5.221823736422932e-35,3.8842049462788044e-44,1.734161149218033e-30,4.040247784421602e-47,1.5564424243304048e-48,1.4456840485448486e-51,7.087910744562438e-50,9.59851049853468e-73,5.92742371061103e-73,2.693485117978694e-84,6.867095063968627e-50,2.0945504431358772e-72,1.5062890707917848e-57,6.924812847609772e-69,4.666536382742292e-82,8.746780767784061e-94,4.557227889427651e-101,3.737087610813361e-102,6.210897574335965e-70,5.3205710119113115e-83,1.1228935346797179e-86,6.5852834977597625e-87,3.76,0.0,0.7954598686373621,0.9999999999969233,2.2440562571060396e-23,9.819027199779514e-65,6.234460830633857e-11,6.23449822408424e-11,3.0763174989930245e-12,9.058977532549922e-22,1.0709161129726093e-20,3.729543855529002e-16,1.1139110629736473e-20,1.6872016893583922e-18,4.1176236097945984e-19,2.1128247294657282e-21,6.547894481975653e-26,2.1936501194153965e-30,8.575383275231682e-14,1.2299880967048873e-26,7.690313620395608e-27,9.552455659529531e-19,2.8773251883245954e-36,1.4922512053726378e-29
