Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702),CF2O2(150),CHF3(41),C2H2F3(67),S(851),C2H2F3(66),CH2CF2(56),S(259),O2(148),S(453),S(1226),C2H3F2(63),CH2F(45),CH3F(39),C2H3F2(64),CF2CH(72),C2HF2(71),S(961),CHF2O(220),CFO(50),S(708),CF3(44),CF3O2(422),CHFO(432),S(178),CHF3O(225),C2HF4(53),CHFO2(140),S(423),CF2CF2(60),CF3O(47),CHO2(161),C2HF(57),C2HF(2537),C2F(2536),S(1231)
0.0,0.4766377423940443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6848834928592338,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.229350150584788e-21,0.47663774239404433,1.2734661617089896e-36,1.951891517680335e-34,4.472374480568825e-39,1.1232408743718232e-26,0.0,0.0,1.599877872165553e-23,3.799554413838987e-41,1.351526023283614e-55,1.3661987913591512e-38,1.4544501593577828e-69,2.730327608229456e-80,2.100437547951208e-56,1.0045023451542555e-62,2.020027469515267e-65,1.7205753025420182e-76,6.346034390539597e-102,6.8055683861284944e-105,-8.382911169501098e-131,3.059926382459725e-138,5.56317334697438e-72,-1.0393244860558688e-115,3.7798026590711095e-84,-1.3468541536145957e-124,-6.729311035325436e-133,5.940075786736287e-139,7.82496235113005e-142,2.963737624702583e-143,1.3494807579112998e-86,-7.56653126777663e-137,-9.024417616758702e-142,-4.0624326849734034e-147,3.76,0.0,0.6848834928592338,0.9999999999999994,2.5249927844860972e-52,1.4750592376587034e-80,6.568923882299182e-23,6.568923882299234e-23,1.5998778721656277e-23,6.441400241724595e-43,6.737972429703301e-42,4.706204979449455e-37,6.638376823313319e-32,5.435622407943586e-38,3.303493319104045e-39,1.670641640459852e-43,6.0296648793048566e-49,4.561321866540284e-54,1.1232408743718232e-26,3.803197441438918e-50,1.4575011969246574e-50,1.234973623745317e-39,4.693453145140862e-68,4.504958045715015e-47,7.977341874024137e-46,1.050560299115147e-45,2.1863135584184105e-62,9.298317318786895e-62,3.5388345225255885e-56,2.18938894234301e-47,3.377395068577895e-73,4.769696006976001e-16,5.723191792483899e-78,2.74043537251746e-72,1.8728805728853898e-72,6.638376814071827e-32,3.2261181192005586e-48,1.9335856230134474e-70,2.816522212393004e-65,1.0871650049701543e-67,2.466731323792765e-78,1.3538727100567331e-67,1.168922945720877e-39,8.8725862801425e-93,3.956017193173517e-63,1.7334679217593095e-77,7.132330429831557e-84,7.850709207772938e-75,1.8480388188722794e-84,2.465732745767668e-64,4.1294396816713325e-44,1.3810952720415462e-78,3.046207092125229e-68,6.527409870558922e-69,9.241809204984227e-41,2.62242536633318e-71,8.929289421534018e-95,6.683987849143576e-100,1.062959339996671e-95
2.3042180421637408e-20,0.47663774239404433,5.09052645253107e-36,5.465336264007696e-34,2.7013141862637213e-38,3.145074448241105e-26,0.0,0.0,4.479658042063547e-23,2.2949308659587473e-40,1.6045316948422954e-54,8.251840699814186e-38,1.7267232291893392e-68,3.241444936489719e-79,1.268664278962318e-55,9.65606848582288e-62,3.052665511930978e-64,3.1491778443299785e-75,3.860602406243377e-100,1.522378425705116e-103,9.355165390482382e-129,7.68424001658199e-136,6.604645858276866e-71,3.100435616992483e-114,1.0659648267003817e-82,1.4927364718909119e-122,2.0074450004735273e-131,3.862517387887203e-137,1.2799635216157267e-140,1.629776932993171e-141,4.242983419794127e-85,2.798261683509446e-135,3.576320347464313e-140,1.6099063236520944e-145,3.76,0.0,0.6848834928592338,0.9999999999999987,2.997671433742048e-51,4.159903059674923e-79,1.839298687043755e-22,1.839298687043786e-22,4.4796580420637366e-23,3.890605746491715e-42,4.0697353473734175e-41,2.8425478075873977e-36,1.8587455135219996e-31,3.2831159343978926e-37,1.995309964738835e-38,1.0090675508377431e-42,3.641917587275039e-48,2.7550384101454886e-53,3.145074448241105e-26,2.2971312547697027e-49,8.80330722999505e-50,7.459240687421659e-39,5.5720675790136976e-67,2.720994661163238e-46,4.818314491746443e-45,6.345384206655462e-45,3.3039570492842775e-61,1.4051617053922555e-60,2.1375930692917885e-55,1.3223909211752763e-46,4.009643433206239e-72,1.3355148819180835e-15,6.7945734619328376e-77,3.253444874349895e-71,2.2234838161296856e-71,1.858745507940138e-31,1.9485753439971634e-47,2.295552851641641e-69,4.256328146256441e-64,1.642923732981168e-66,6.956576661769074e-77,1.6073176830946627e-66,7.060294592154043e-39,4.592705963557706e-91,5.978332820452548e-62,4.8886565793258086e-76,2.2425188044300255e-82,9.320362308460008e-74,5.8105297327454114e-83,3.726215148995111e-63,2.494181581252263e-43,3.823732287715079e-77,4.597103595539191e-67,7.749340998365174e-68,5.58205275980528e-40,3.1133433949109843e-70,1.9974463264396135e-93,1.495181345902118e-98,2.4282594803614634e-94
5.2667840963742645e-20,0.4766377423940443,1.88239318331584e-35,1.2492385814673455e-33,1.300566498949641e-37,7.188741595979668e-26,0.0,0.0,1.0239218381859525e-22,1.1049104235443761e-39,1.5753387327393472e-53,3.972906085279783e-37,1.6953071057467467e-67,3.1824698601511097e-78,6.108072389438931e-55,8.201865035027294e-61,3.2839182566428946e-63,5.372456666463898e-74,1.742860466827501e-98,3.0079632264942957e-102,8.822542849692421e-127,1.226653034213022e-133,6.484576226654556e-70,3.9998303802404875e-112,2.318706333918142e-81,1.4090571235461706e-120,2.589780886137746e-129,8.38762278110064e-135,3.835163786792752e-138,3.6215687061014476e-139,9.465862603367778e-84,6.812026127036379e-133,9.8464507968018e-138,4.432457581226808e-143,3.76,0.0,0.6848834928592338,0.999999999999997,2.9431315895974713e-50,9.048697791288159e-78,4.2041112846713663e-22,4.2041112846715125e-22,1.0239218381859871e-22,1.873159191028601e-41,1.9594023823066556e-40,1.3685644080237934e-35,4.248561187880416e-31,1.5806789962299447e-36,9.606558571954437e-38,4.8582258904571324e-42,1.7534265471592132e-47,1.3264324028439304e-52,7.188741595979668e-26,1.1059698161773151e-48,4.238413481495792e-49,3.591303297851295e-38,5.470689001502233e-66,1.3100418020209802e-45,2.3198110167200176e-44,3.05502934982681e-44,3.554246225368834e-60,1.511608838772138e-59,1.0292946908889029e-54,6.366743044334918e-46,3.936691715230533e-71,3.0526054442182642e-15,6.670952849146746e-76,3.194251470496771e-70,2.183029595755661e-70,4.248561161006156e-31,9.38155149063562e-47,2.2537874021846993e-68,4.5787635162634827e-63,1.767382373287691e-65,1.5132073479309517e-75,1.5780740359687062e-65,3.399227926156231e-38,2.0053551274248595e-89,6.431217516741003e-61,1.0633895632339887e-74,5.002936091979546e-81,9.150787664910462e-73,1.2962972196960792e-81,4.008492159638753e-62,1.2008410797141907e-42,8.255696722507562e-76,4.943177067406339e-66,7.608348945237908e-67,2.687518116801622e-39,3.056699006998662e-69,3.946617342551232e-92,2.954226379897025e-97,4.842453050483469e-93
1.1191916204795311e-19,0.4766377423940443,7.068788179034232e-35,2.6547125148049098e-33,5.679915590324749e-37,1.5276075891456795e-25,0.0,0.0,2.1758339061451444e-22,4.8254341055754997e-39,1.3933692689644034e-52,1.735072465033739e-36,1.4994799362900603e-66,2.8148585509776433e-77,2.667555685894744e-54,6.684664276558359e-60,3.01848664715266e-62,8.781218515968513e-73,6.580709503554441e-97,5.3525098467124203e-101,6.563309612901156e-125,1.6729232923794655e-131,5.735703423080946e-69,3.4329810907504026e-110,4.2984907659233644e-80,1.048788560713413e-118,2.222762384954668e-127,1.3427402668417866e-132,7.286886437255794e-136,5.887217253812488e-137,1.7728513048793688e-82,1.1465202915431495e-130,1.7632774977646174e-135,7.937540533847421e-141,3.76,0.0,0.6848834928592338,0.9999999999999936,2.6031665610947862e-49,1.677476070622741e-76,8.933736479926338e-22,8.933736479926973e-22,2.17583390614518e-22,8.180578314586151e-41,8.55722498312887e-40,5.976880323899693e-35,9.028192584505574e-31,6.903240458087833e-36,4.195436515262004e-37,2.1217148833838905e-41,7.657674399353242e-47,5.792878812030299e-52,1.5276075891456795e-25,4.830060752746417e-48,1.851026520953562e-48,1.5684165021564629e-37,4.838762486827516e-65,5.721296742104293e-45,1.0131224177466581e-43,1.3342115798761984e-43,3.2669646237903097e-59,1.3894289491250405e-58,4.496384895880091e-54,2.780523956777102e-45,3.4819592681286835e-70,6.4867865682554795e-15,5.900382836677159e-75,2.825279252251737e-69,1.9308649554228532e-69,9.028192467138618e-31,4.097170011385119e-46,1.9934494339024072e-67,4.208672495342455e-62,1.6245288914093692e-64,2.8052313789416603e-74,1.39578861977138e-64,1.4845321410654312e-37,7.465434282969953e-88,5.911396853939055e-60,1.971345016500069e-73,9.369945614933214e-80,8.093769264555384e-72,2.4278212284979895e-80,3.6844948750806596e-61,5.244388605325653e-42,1.5255421868926426e-74,4.542842209949892e-65,6.729498480389522e-66,1.1737097690249462e-38,2.7036156556763264e-68,7.022794694116455e-91,5.256887999318319e-96,8.653363800912062e-92
2.3042180421637403e-19,0.4766377423940443,2.720043384884002e-34,5.465916474297694e-33,2.371252949599697e-36,3.1450744482411046e-25,0.0,0.0,4.479658042063512e-22,2.0145237502174175e-38,1.171210827361077e-51,7.243585991854772e-36,1.2604032368942926e-65,2.3660582200450495e-76,1.1136519879207678e-53,5.380130958524421e-59,2.582378876710689e-61,1.4148398811499994e-71,2.283153831523197e-95,9.027790195848741e-100,4.491398282987267e-123,2.183574769648466e-129,4.821488476218422e-68,2.5233523224882577e-108,7.388007357503018e-79,7.179176447523738e-117,1.6338026486793586e-125,1.900765259111265e-130,1.1217703011505183e-133,8.404342074150659e-135,3.0621597521947816e-81,1.6693691160190176e-128,2.6469438255255167e-133,1.1915443468521498e-138,3.76,0.0,0.6848834928592338,0.9999999999999867,2.1881183471529126e-48,2.8831527684202306e-75,1.8392986870435273e-21,1.8392986870437925e-21,4.479658042063431e-22,3.415230414998703e-40,3.572472979893802e-39,2.4952298801031004e-34,1.8587455569389186e-30,2.8819670006912204e-35,1.751512157788844e-36,8.857741977717037e-41,3.196928321369906e-46,2.418412890853944e-51,3.145074448241104e-25,2.016455285349975e-47,7.727671353795174e-48,6.547830153096865e-37,4.0672714586956556e-64,2.388528777479704e-44,4.2295866593179344e-43,5.570070705908164e-43,2.79495701706707e-58,1.1886857181100985e-57,1.8781407813063243e-53,1.1608140172315893e-44,2.9267966150563927e-69,1.3355148814077332e-14,4.9596282864672445e-74,2.3748174479413795e-68,1.623008338374989e-68,1.8587455079405255e-30,1.710487826800504e-45,1.6756143635343174e-66,3.600607917018935e-61,1.3898186677386647e-63,4.821475985601747e-73,1.1732444477013968e-63,6.197629458211349e-37,2.571955294289356e-86,5.057324447607588e-59,3.388238388545135e-72,1.618425090999469e-78,6.803302776855105e-71,4.1934574157303606e-79,3.1521629291802016e-60,2.1894291078648932e-41,2.6180709104245454e-73,3.8861960738993286e-64,5.6565489556984556e-65,4.900007240410181e-38,2.2725518636611282e-67,1.1844969724886145e-89,8.866509973758154e-95,1.4624899639789226e-90
4.67427088553216e-19,0.47663774239404433,1.0649914790190568e-33,1.1089348764553889e-32,9.687342019909126e-36,6.3800081664319555e-25,0.0,0.0,9.08730631390018e-22,8.229986842551675e-38,9.602293978481907e-51,2.959241230093615e-35,1.0333547239597442e-64,1.939837480005046e-75,4.549631746339143e-53,4.3133564100851804e-58,2.13516079358781e-60,2.2692926989322885e-70,7.603855514142871e-94,1.482817250570814e-98,2.966432122591621e-121,2.813453975873841e-127,3.9534133425687004e-67,1.727484659920842e-106,1.2245080384297533e-77,4.742368107673303e-115,1.118499867165222e-123,2.5516073672612644e-128,1.5699949818677083e-131,1.1332148380214279e-132,5.08782422674002e-80,2.2746572860051125e-126,3.6616743868234234e-131,1.6483343217014224e-136,3.76,0.0,0.6848834928592338,0.9999999999999729,1.7939516215397706e-47,4.7786142732638666e-74,3.731148765144909e-21,3.731148765145993e-21,9.087306313899392e-22,1.395233063746599e-39,1.4594717781865814e-38,1.019382823367822e-33,3.77059823056896e-30,1.1773775560498148e-34,7.155498668911099e-36,3.6186766189007258e-40,1.306049533513043e-45,9.880005930231119e-51,6.380008166431953e-25,8.237877802099863e-47,3.1570058990930905e-47,2.6750022679766224e-36,3.33459492718393e-63,9.75791950857279e-44,1.7279241573425423e-42,2.275555630295079e-42,2.310924510875516e-57,9.828283385157448e-57,7.680894174754317e-53,4.74230402468385e-44,2.3995647707158758e-68,2.7091873296710707e-14,4.066204536398773e-73,1.9470188251974472e-67,1.330640293834858e-67,3.770598030394535e-30,6.98790089091629e-45,1.373769891581905e-65,2.9770522506014305e-60,1.149128950524983e-62,7.991242843979239e-72,9.618966994092465e-63,2.53193385734862e-36,8.535381884482039e-85,4.181493645611608e-58,5.615756636366964e-71,2.689037494658626e-77,5.5777619729072426e-70,6.967492214696043e-78,2.606269263416666e-59,8.944533125262674e-41,4.3360968294997726e-72,3.2130643490954975e-63,4.63758058855157e-64,2.001812840975055e-37,1.8631753196321385e-66,1.94553983413657e-88,1.4563269256375922e-93,2.4045651996882064e-89
9.414376572268999e-19,0.4766377423940443,4.212382668616791e-33,2.2340310830148902e-32,3.9157785317277376e-35,1.2849875602813656e-24,0.0,0.0,1.830260285757327e-21,3.326692267927794e-37,7.776186620056128e-50,1.1961726194246643e-34,8.368374469893196e-64,1.5709306849839408e-74,1.839033894212942e-52,3.4536107211161246e-57,1.7362772975125982e-59,3.6343100489478037e-69,2.482025084510963e-92,2.40371066219587e-97,1.9276846649701442e-119,3.6101566404321216e-125,3.2023309805266934e-66,1.1429563961431641e-104,1.9937939076101125e-76,3.081994014000427e-113,7.400335619326885e-122,3.342464796208601e-126,2.0998686110731605e-129,1.4878272337260836e-130,8.29443759010289e-79,3.002626158098594e-124,4.870094419084022e-129,2.192315257599999e-134,3.76,0.0,0.6848834928592338,0.9999999999999455,1.4527885344621767e-46,7.780734569194257e-73,7.51484892134606e-21,7.51484892135044e-21,1.8302602857569146e-21,5.63975514645315e-39,5.899418268620498e-38,4.12050835734004e-33,7.594303884442322e-30,4.7591483280269165e-34,2.892366968554062e-35,1.4627269470205757e-39,5.2792610421483e-45,3.9936564959853133e-50,1.2849875602813649e-24,3.3298819266421916e-46,1.276112263311559e-46,1.0812786863224024e-35,2.7004415100908253e-62,3.944307157732987e-43,6.984545707171688e-42,9.198159687694261e-42,1.8792054333776596e-56,7.9921968242337955e-56,3.111269065874411e-52,1.916915109699738e-43,1.9432298874782614e-67,5.4565322225936154e-14,3.292920479246902e-72,1.576746326052749e-66,1.0775870091291775e-66,7.59430307530529e-30,2.8246212670323706e-44,1.1125144755938729e-64,2.4208894469213737e-59,9.344525781506558e-62,1.3011667367506155e-70,7.789689131495444e-62,1.0234481472795056e-35,2.781129916784538e-83,3.4003211854569085e-57,9.143803883696362e-70,4.383809795515506e-76,4.5170216331306915e-69,1.1358770814188792e-76,2.1193748798864372e-58,3.6155239682134625e-40,7.057675139734988e-71,2.612764004090898e-62,3.7556329986157234e-63,8.09164756530089e-37,1.5088476799241318e-65,3.1538039101456783e-87,2.3607687038510975e-92,3.899904560326342e-88
1.8894587945742676e-18,0.4766377423940443,1.6752832681943977e-32,4.4858624901670214e-32,1.5745173253940705e-34,2.5789610475577056e-24,0.0,0.0,3.673319594491842e-21,1.3376483296095865e-36,6.2589515047645555e-49,4.809757493318787e-34,6.73559580543505e-63,1.264421683144418e-73,7.394674404896703e-52,2.7639004582557137e-56,1.400370541441032e-58,5.817237257920264e-68,8.021476185443518e-91,3.871101919477162e-96,1.2430061531705486e-117,4.6257703727038555e-123,2.5787288896021957e-65,7.436700147137484e-103,3.217991405316965e-75,1.9874073809307154e-111,4.8150636545412886e-120,4.327378380444876e-124,2.7470636988375213e-127,1.9284609906481183e-128,1.3395538863536005e-77,3.902556230276583e-122,6.353575943429207e-127,2.860117486036202e-132,3.76,0.0,0.6848834928592338,0.9999999999998905,1.1693306022853408e-45,1.255813696452107e-71,1.5082249233741896e-20,1.508224923375952e-20,3.6733195944899995e-21,2.26772075931846e-38,2.3721301325769913e-37,1.656838287829444e-32,1.524171641864217e-29,1.9136326112035144e-33,1.1630080369631683e-34,5.881560720898306e-39,2.1227676527164273e-44,1.605831817870981e-49,2.5789610475577034e-24,1.338930882737583e-45,5.13119130716568e-46,4.3477740413357767e-35,2.173550393782794e-61,1.5859886220794952e-42,2.808455103183395e-41,3.6985395554448716e-41,1.5156472609075927e-55,6.445996275728079e-55,1.2562779807148509e-51,7.707831347150842e-43,1.5640806690005515e-66,1.0951221994022185e-13,2.6504331004270887e-71,1.2691026195098864e-65,8.673357729020199e-66,1.5241713165137734e-29,1.1357677883391104e-43,8.954484365317877e-64,1.952535041025897e-58,7.536698570823753e-61,2.1000883582663926e-69,6.269819937103325e-61,4.115239987323983e-35,8.980099969783251e-82,2.742482220103762e-56,1.475813632636139e-68,7.079864533388107e-75,3.6357006335938943e-68,1.8344445205725804e-75,1.7093526197384395e-57,1.4537868233333506e-39,1.1389086954113812e-69,2.1072703008370894e-61,3.0228601709549128e-62,3.2536158974421976e-36,1.2144518795904606e-64,5.0791039709560726e-86,3.80194521912424e-91,6.2824497446358215e-87
3.785501069269002e-18,0.4766377423940443,6.681640324501353e-32,8.996081280604423e-32,6.314518694964041e-34,5.166908022110386e-24,0.0,0.0,7.359438211960465e-21,5.364568079572104e-36,5.022414407571278e-48,1.928927876639164e-33,5.404891440758401e-62,1.0146187702088091e-72,2.9655951711921407e-51,2.2114931136590605e-55,1.1248537743544723e-57,9.309285029755723e-67,2.579586528195134e-89,6.213975901418291e-95,7.984886597150498e-116,5.923731399861439e-121,2.071216352289503e-64,4.798813958689935e-101,5.171225799235481e-74,1.2767077976763173e-109,3.1071032088820384e-118,5.570453190997027e-122,3.5546218751078685e-125,2.483867297835207e-126,2.1532937491236517e-76,5.033449974857235e-120,8.210138490361108e-125,3.695865364025401e-130,3.76,0.0,0.6848834928592338,0.9999999999997806,9.383141664715985e-45,2.018058897060989e-70,3.0217049858507735e-20,3.0217049858578404e-20,7.359438211952704e-21,9.094574663964861e-38,9.51330273941832e-37,6.644662573209264e-32,3.053654639285446e-29,7.674522664019698e-33,4.664182396277549e-34,2.358768908310409e-38,8.513247772188092e-44,6.4401046622983384e-49,5.166908022110377e-24,5.369711734464251e-45,2.0578372298364243e-45,1.743651849520595e-34,1.7441375196130695e-60,6.360524219761856e-42,1.1263161023696139e-40,1.4832797829572955e-40,1.2174503043899385e-54,5.177774756887485e-54,5.080349159270909e-51,3.091185111420501e-42,1.2550765528852347e-65,2.1940601479213236e-13,2.1268124190055105e-70,1.0183749308334492e-64,6.9598233486096805e-65,3.053653334484636e-29,4.554936815807282e-43,7.185409769470502e-63,1.568382328085546e-57,6.05388615507991e-60,3.374785612705566e-68,5.03113634048411e-60,1.6503952935222533e-34,2.8865728917029496e-80,2.2029108613426284e-55,2.3715928878007434e-67,1.1380675474507638e-73,2.9174346741818396e-67,2.9488159898076936e-74,1.3730449825493476e-56,5.830339693787698e-39,1.830033297617999e-68,1.69266671595987e-60,2.4256549156840513e-61,1.304845496236488e-35,9.745211498732289e-64,8.153086725312849e-85,6.102964080600724e-90,1.0086683513723968e-85
