Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069)
0.0,0.370949358112508,3.76,0.0,0.845574003458007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.520720470351555e-22,0.370949358112508,3.76,0.0,0.845574003458007,0.9999999999999997,9.947918801328274e-53,0.0,8.852635869427678e-39,8.706919324369089e-21,8.706919324369081e-21,4.0354056894837907e-22,3.3807137859246357e-41,4.119647679420902e-40,1.6602727220454782e-33,8.651749271015454e-36,8.408289087076596e-24,3.9566329703506364e-50,4.035405689467276e-22,7.356985899218001e-42,1.5753043147156941e-30,5.237757774244886e-38,8.864877594006278e-39,7.397199157031474e-52,1.4721594722318573e-45,2.420184130111756e-50,8.408289087076596e-24,1.941968590565393e-46,9.122458105413421e-40,8.799610527303467e-66,2.148463606019841e-38,1.2382237573546653e-39,1.2990387978141921e-55,1.3139532540468058e-46,6.673579242818404e-44,5.213542064324695e-41,3.7749172156154733e-16,1.253694684143549e-42,1.3999215030933865e-68,4.632772921973402e-51,6.820374363387814e-60,2.087531394739346e-59,5.327873193774105e-44,1.0273982461332694e-75,1.4579502774949671e-67,1.6995151755519195e-65,2.2259109787176827e-67,1.0762088785893194e-70,1.87030839334594e-82,9.01675206116388e-45,8.087096923337949e-65,1.160691036971824e-60,4.673818396674836e-61,2.292238673932882e-75,1.7773489891651216e-63,4.120202889471755e-63,2.1220366133532794e-58,5.922873424071988e-91,1.7586058040777319e-65
1.2658017316984355e-21,0.370949358112508,3.76,0.0,0.845574003458007,0.999999999999999,1.1810169200940531e-51,0.0,5.346992065136099e-38,2.4379374108233447e-20,2.4379374108233402e-20,1.129913593055461e-21,2.0419511267098197e-40,2.488267198362062e-39,4.676797014977023e-33,5.225656559693304e-35,2.354320944381447e-23,4.6973146623998884e-49,1.129913593050837e-21,4.4436195056069517e-41,4.410852153809989e-30,3.1636056956438898e-37,5.354386066779945e-38,4.4679082945901e-51,8.891843212283639e-45,1.4617912148095688e-49,2.354320944381447e-23,1.1729490287025883e-45,5.509964695668162e-39,1.0446897619467352e-64,1.2976720180359818e-37,7.478871494422177e-39,1.5422188607650064e-54,7.936277654446117e-46,4.030841862814196e-43,3.1489794068521115e-40,1.0569768203699618e-15,7.572315892210396e-42,1.661986808480826e-67,2.79819526312958e-50,1.0306949467695527e-58,3.154677357467798e-58,3.2180354090395856e-43,2.8974273613963423e-74,1.7308785694475515e-66,2.0176644164152488e-64,2.642601513933641e-66,1.2776751806661897e-69,4.1838104742810715e-81,5.44611824492809e-44,9.601001467386753e-64,1.3779723990929453e-59,7.063067778794961e-60,6.4644740219999265e-74,2.685821253751631e-62,6.226448136606585e-62,2.519281867372295e-57,3.0658471670265673e-89,2.0878169085012363e-64
2.8932611010249957e-21,0.370949358112508,3.76,0.0,0.845574003458007,0.9999999999999977,1.1595294154839398e-50,0.0,2.574346510832239e-37,5.572428367596217e-20,5.572428367596193e-20,2.582659641269622e-21,9.831115689638922e-40,1.1979935451633528e-38,1.0821979173838848e-32,2.5159286880112493e-34,5.381305015729022e-23,4.6118513902395005e-48,2.5826596412590535e-21,2.1394115332115134e-40,1.0081948122422762e-29,1.5231399607503794e-36,2.5779064043372515e-37,2.151105520372443e-50,4.281039745254982e-44,7.037895453632567e-49,5.381305015729022e-23,5.647244661380218e-45,2.652810817051903e-38,1.0256826035045173e-63,6.247732166305667e-37,3.600754686387363e-38,1.5141596227322155e-53,3.8209760627731285e-45,1.9406768440394107e-42,1.5160980323056145e-39,2.4159470179773073e-15,3.6457441414644805e-41,1.6317485040307042e-66,1.3472109811461146e-49,1.1087745811308504e-57,3.393657915307475e-57,1.5493455247495468e-42,6.302537329895567e-73,1.69938684346465e-65,1.9809548886233466e-63,2.5945218367933543e-65,1.254429068898467e-68,8.266509248790586e-80,2.622071499364117e-43,9.426320173842529e-63,1.3529014726943451e-58,7.598123744296992e-59,1.4061638579251653e-72,2.8892465797879697e-61,6.698127926008949e-61,2.473445876522354e-56,1.3386684227867586e-87,2.049831064250333e-63
6.1481798396781156e-21,0.370949358112508,3.76,0.0,0.845574003458007,0.999999999999995,1.025590636744083e-49,0.0,1.1242847554200735e-36,1.184141028114196e-19,1.1841410281141852e-19,5.488151737697933e-21,4.29350650830004e-39,5.231952552738007e-38,2.3560877783557423e-32,1.0987721574189161e-33,1.1435273158424171e-22,4.0791303271101674e-47,5.488151737675479e-21,9.343372440435677e-40,2.142414122134504e-29,6.651952373290651e-36,1.1258394544390298e-36,9.39444298584369e-50,1.8696425297393145e-43,3.0736338485888193e-48,1.1435273158424171e-22,2.4663001100344956e-44,1.1585521793851063e-37,9.072046478428265e-63,2.7285487796451682e-36,1.5725441718404209e-37,1.3392570389945058e-52,1.66872063264458e-44,8.475445640733502e-42,6.621198421692294e-39,5.133887413154063e-15,1.5921922488365156e-40,1.4432630728810622e-65,5.883627914646439e-49,1.0191548617256622e-56,3.1193562891762713e-56,6.766398956093495e-42,1.1683841984740193e-71,1.5030884181203976e-64,1.752132165387068e-62,2.294825182618829e-64,1.1095283055009574e-67,1.470981543955576e-78,1.1451275117447284e-42,8.337473444084104e-62,1.1966260314764445e-57,6.983983941151156e-58,2.6067904814171113e-71,2.6557018372251066e-60,6.156733241633034e-60,2.1877348668980142e-55,4.98352624854492e-86,1.8130523797665114e-62
1.2658017316984355e-20,0.370949358112508,3.76,0.0,0.845574003458007,0.9999999999999896,8.620707266572768e-49,0.0,4.693667537995375e-36,2.437937410823345e-19,2.437937410823299e-19,1.129913593055451e-20,1.792454449455419e-38,2.1842371995150756e-37,5.083281217097419e-32,4.587157463491973e-33,2.354320944381447e-22,3.428754825973753e-46,1.1299135930508297e-20,3.9006742373513176e-39,4.41085320659765e-29,2.777059171904319e-35,4.700158100344215e-36,3.921995043616545e-49,7.805389521816824e-43,1.2831816287847623e-47,2.354320944381447e-22,1.029631746732511e-43,4.836727287468608e-37,7.6256017058096725e-62,1.1391154039116925e-35,6.565062361494397e-37,1.1257262375649889e-51,6.966580153002191e-44,3.5383317166610336e-41,2.76422000250489e-38,1.056976820335584e-14,6.6470892150969715e-40,1.21314957593028e-64,2.4563018526960573e-48,8.719084398166559e-56,2.668674975019182e-55,2.824838367339372e-41,2.008153910415081e-70,1.2634363833343282e-63,1.4727726588905953e-61,1.9289388395811682e-63,9.326253948984283e-67,2.4810256952212927e-77,4.7806819426213315e-42,7.008148800213189e-61,1.0058362815831414e-56,5.974944986435317e-57,4.4804065486641396e-70,2.272003666905839e-59,5.267214792143826e-59,1.8389229765376402e-54,1.7169002542842659e-84,1.5239797765464205e-61
2.5677692271596834e-20,0.370949358112508,3.76,0.0,0.845574003458007,0.9999999999999787,7.067776658368865e-48,0.0,1.917516339882527e-35,4.945530176241642e-19,4.945530176241455e-19,2.292110431626749e-20,7.322761290203427e-38,8.923321658568604e-37,1.125532296177253e-31,1.8740034990986742e-32,4.775908201459507e-22,2.8111003629703494e-45,2.2921104316173808e-20,1.593552839216972e-38,8.947733234238706e-29,1.1345192849322677e-34,1.9201679463739008e-35,1.6022629689273984e-48,3.1887563032698595e-42,5.242215658530664e-47,4.775908201459507e-22,4.206381646032803e-43,1.9759609154466905e-36,6.251929012435653e-61,4.6536581091829845e-35,2.682042187380466e-36,9.229383830702851e-51,2.84607530643443e-43,1.4455239601052828e-40,1.1292740653009324e-37,2.1441529783152437e-14,2.7155528334457594e-39,9.946133178397314e-64,1.0034819193266222e-47,7.20910758593366e-55,2.2065120748548117e-54,1.1540386452645346e-40,3.3283678328761835e-69,1.0358414807225053e-62,1.2074680069347504e-60,1.5814606022646449e-62,7.646226456388426e-66,4.0750924117665796e-76,1.9530645632804383e-41,5.745703800930342e-60,8.246453537102996e-56,4.940199936378203e-56,7.425945080098103e-69,1.8785345478520796e-58,4.355035002119995e-58,1.5076601592046338e-53,5.697765813234485e-83,1.2494506984752416e-60
5.17170421808218e-20,0.370949358112508,3.76,0.0,0.845574003458007,0.9999999999999569,5.723668782492022e-47,0.0,7.750907630378521e-35,9.960715707078236e-19,9.960715707077477e-19,4.6165041087692745e-20,2.9599771949403664e-37,3.606949285628441e-36,2.6470025919889133e-31,7.575021770736099e-32,9.619082715615626e-22,2.276501956625515e-44,4.6165041087504317e-20,6.441396474062803e-38,1.802150072437987e-28,4.585908343722326e-34,7.761625847691523e-35,6.47660327856923e-48,1.2889462816238707e-41,2.1189873955767553e-46,9.619082715615626e-22,1.7002867156346883e-42,7.987149949128154e-36,5.062974230061967e-60,1.8810830133232702e-34,1.0841243343043346e-35,7.474194314037678e-50,1.1504291437061267e-42,5.843038973646989e-40,4.564706327334913e-37,4.3185052940317836e-14,1.0976698731508506e-38,8.054636520109669e-63,4.056254290669148e-47,5.862326561061809e-54,1.7942989738124987e-53,4.6648087190649e-40,5.419384190723441e-68,8.38851287180398e-62,9.778388977380648e-60,1.2807077978490045e-61,6.1921124269703625e-65,6.605900614249861e-75,7.894599232200968e-41,4.653019905423156e-59,6.678191878091353e-55,4.0172884950367165e-55,1.2091226356387019e-67,1.527592297300961e-57,3.541442118949762e-57,1.220942285641076e-52,1.8565340106824102e-81,1.011837570885606e-59
1.0379574199927172e-19,0.370949358112508,3.76,0.0,0.845574003458007,0.9999999999999134,4.6069065841773135e-46,0.0,3.116605868515695e-34,1.999108676875143e-18,1.9991086768748378e-18,9.265291463054043e-20,1.1901938120834504e-36,1.4503384434874962e-35,6.838190971118248e-31,3.045882937855691e-31,1.9305431743927866e-21,1.832326825875861e-43,9.265291463016327e-20,2.590058085209098e-37,3.616906544409842e-28,1.8439735754521952e-33,3.1209156164920566e-34,2.604213836607918e-47,5.182796308616074e-41,8.520355206256991e-46,1.9305431743927858e-21,6.836778102658755e-42,3.2115978657212583e-35,4.075122167124261e-59,7.5637520635355555e-34,4.359216266717165e-35,6.015881824146504e-49,4.6258249892609865e-42,2.3494602787197994e-39,1.8354483379134055e-36,8.667209924493743e-14,4.4136822820034413e-38,6.483072211060491e-62,1.631018037415262e-46,4.72817874806789e-53,1.4471671250727886e-52,1.87569906936287e-39,8.746907931468312e-67,6.751804944760256e-61,7.870498149613232e-59,1.0308250547693523e-60,4.9839507840858245e-64,1.0638599457002211e-73,3.1743836289673543e-40,3.745155223465933e-58,5.375189813049498e-54,3.2400886882383955e-54,1.9515287963225865e-66,1.2320582107263398e-56,2.85630135925296e-56,9.827205710426664e-52,5.9946357806751355e-80,8.144149053419386e-59
2.0795314163617155e-19,0.370949358112508,3.76,0.0,0.845574003458007,0.9999999999998265,3.696752401116352e-45,0.0,1.2498983469359063e-33,4.005182889209781e-18,4.0051828892085564e-18,1.8562866171622444e-19,4.773209517261837e-36,5.816505835506032e-35,1.981355887939671e-30,1.221535288523189e-30,3.8678129800552344e-21,1.4703268818357224e-42,1.8562866171547304e-19,1.0387298518395675e-36,7.24643138412804e-28,7.395158774895091e-33,1.2516267485806696e-33,1.0444063398348443e-46,2.078533126084571e-40,3.417043588162749e-45,3.867812980055232e-21,2.741853801875873e-41,1.287994386330218e-34,3.27002895781979e-58,3.03340287455654e-33,1.748240693666324e-34,4.827366296872995e-48,1.855162715877771e-41,9.422386587868403e-39,7.360968759364746e-36,1.736461918153318e-13,1.7700840013179131e-37,5.202257163177566e-61,6.541240372738888e-46,3.7979302995210425e-52,1.1624433350842246e-51,7.522392195065966e-39,1.4056046227372927e-65,5.417898256603746e-60,6.315579098408593e-58,8.271721873583504e-60,3.9993066279843944e-63,1.7077308356455963e-72,1.2730698125191151e-39,3.005251205191358e-57,4.313251307340198e-53,2.602615430282799e-53,3.136054375577984e-65,9.896560302543219e-56,2.2943365812016943e-55,7.885713686506437e-51,1.9269220994435043e-78,6.535166716259299e-58
