Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54)
6.830361329775954e-17,0.7853199263165829,2.6412816711564804e-23,4.748405426630999e-21,7.116641295189538e-27,2.9469552450665603e-15,0.0,0.0,4.0231487164812096e-15,7.206958099668195e-27,3.5620941400388035e-42,1.986057188708464e-32,1.4159112583109702e-42,1.4492723423676065e-49,5.0338920941432325e-33,4.272970756061301e-56,6.023226924034178e-58,2.8139220105529844e-66,9.056028622688063e-80,4.305377489830468e-93,2.6111626221829153e-97,8.598532359560585e-105,1.708489663405633e-58,3.101254921510378e-95,6.4144082289604035e-71,1.2891688670412517e-100,2.8175940410749367e-99,7.9672299922723495e-115,3.9950761382703833e-126,3.9410511930309604e-126,1.133941026124922e-91,1.2657267423513233e-110,2.1033495049244615e-109,6.121132317542829e-110,3.76,0.0,0.6373541775062689,0.999999999999996,6.421375449919893e-36,5.576105490315172e-82,2.347058825788351e-13,2.347058826044803e-13,4.023148717251693e-15,3.9343277124744613e-29,4.583209156114807e-28,2.564261330190927e-23,2.105179610612157e-31,4.949092284825321e-27,7.100876229287385e-27,2.1019086418673736e-27,2.8728725357030887e-31,1.8217449306164817e-35,2.9469552450665587e-15,2.3435069868635216e-31
1.3666656943939204e-16,0.7853199263166176,1.0420840440866636e-22,9.500936342940925e-21,2.848511781638609e-26,5.896470833524386e-15,0.0,0.0,8.049792783672643e-15,2.884661427241116e-26,2.851841214121557e-41,1.5900533574736855e-31,1.1335899393519022e-41,1.1602990894639868e-48,2.0148687047587194e-32,6.844709505722039e-55,9.648378365135072e-57,9.015430940910751e-65,5.806058731602227e-78,2.760291026760301e-91,3.349733866909973e-95,1.102847302671843e-102,2.736764744335736e-57,3.97818079771358e-93,2.0550789497695652e-69,1.6540106190021865e-98,3.6145547207712444e-97,2.0448894539012848e-112,2.0522215717207605e-123,2.024469619325563e-123,1.4538539598846967e-89,3.2486461569465476e-108,5.396619752789803e-107,1.5710652654729342e-107,3.76,0.0,0.637354177506027,0.999999999999992,5.141005864239576e-35,3.574504639192748e-80,4.696156798608054e-13,4.696156799634531e-13,8.049792785244887e-15,1.5747564882546623e-28,1.8344780238985332e-27,1.0263727969741217e-22,9.22131757400466e-31,1.980926679084723e-26,2.8422010334888043e-26,8.413112299139371e-27,1.1498977073440637e-30,7.291761857560604e-35,5.896470833524379e-15,9.380135326046863e-31
2.73392481722657e-16,0.7853199263166869,4.139459622643995e-22,1.900599826215264e-20,1.139776239309663e-25,1.1795502010435549e-14,0.0,0.0,1.6103080917927706e-14,1.154240315358248e-25,2.2823396982310793e-40,1.272525933592314e-30,9.0721646947163e-41,9.285919036552144e-48,8.062099282739331e-32,1.0957904388124011e-53,1.5446383461140836e-55,2.8866800082528405e-63,3.7191449509063207e-76,1.768139609223279e-89,4.292430854759592e-93,1.4130770071037705e-100,4.38137043044435e-56,5.097567127678497e-91,6.5802046949197495e-68,2.120622992845254e-96,4.6317787700439126e-95,5.241684840881906e-110,1.0524671152100164e-120,1.0382347242264309e-120,1.8624766817853174e-87,8.327284984109492e-106,1.3830784578749925e-104,4.0271263346901946e-105,3.76,0.0,0.6373541775055432,0.9999999999999839,4.11436880165525e-34,2.2895398783909784e-78,9.39435274270196e-13,9.394352746809207e-13,1.6103080921195332e-14,6.301077871540918e-28,7.340301155130168e-27,4.106828093243928e-22,4.326025613433218e-30,7.926286948671213e-26,1.1372506272415845e-25,3.366340778009383e-26,4.601088647485502e-30,2.9176821726157194e-34,1.1795502010435527e-14,3.753275968132686e-30
5.468443062891869e-16,0.7853199263168255,1.650006606052028e-21,3.8016122447202233e-20,4.559851062093037e-25,2.3593564364239925e-14,0.0,0.0,3.2209657185926596e-14,4.617712856874256e-25,1.826218516452935e-39,1.018214084754653e-29,7.259110084625884e-40,7.430145981052311e-47,3.2253646660144376e-31,1.7537743936952957e-52,2.4721398244406068e-54,9.24016433752747e-62,2.381298829767205e-74,1.1321066596776528e-87,5.497367219451123e-91,1.8096563891391818e-98,7.012231291620126e-55,6.528407896608403e-89,2.1062980376237665e-66,2.7192096412506085e-94,5.931974128657821e-93,1.342738489710166e-107,5.393064126752781e-118,5.320134332215835e-118,2.3849585573870427e-85,2.1331620811069368e-103,3.5426581957802317e-102,1.0316103746616522e-102,3.76,0.0,0.6373541775045757,0.9999999999999678,3.2921228041075126e-33,1.4659000311689463e-76,1.8790744624707774e-12,1.8790744641139426e-12,3.2209657192952444e-14,2.52084201282386e-27,2.936598066702454e-26,1.642998652177036e-21,2.239812761236284e-29,3.171030872947457e-25,4.549743042240579e-25,1.3467555139340093e-25,1.8407350694819924e-29,1.1672849675986545e-33,2.3593564364239836e-14,1.5015548007146057e-29
1.093747955422247e-15,0.7853199263171022,6.588469991772272e-21,7.603637220587614e-20,1.824092013046082e-24,4.718968907177689e-14,0.0,0.0,6.442280971987952e-14,1.8472354721142266e-24,1.461113519929374e-38,8.146486072569514e-29,5.807839397943303e-39,5.944681021091726e-46,1.2902508527894294e-30,2.806446819020817e-51,3.955998555111308e-53,2.957298766388565e-60,1.5243660560846614e-72,7.24707428544919e-86,7.038586231815903e-89,2.3169489910395235e-96,1.1221202700024865e-53,8.358623186264888e-87,6.741165854318318e-65,3.4902684777113104e-92,7.595037727511088e-91,3.438521927856944e-105,2.7623841006410383e-115,2.7250286808757407e-115,3.053379665506818e-83,5.462657904064808e-101,9.071736658032642e-100,2.6417753849268943e-100,3.76,0.0,0.6373541775026406,0.9999999999999356,2.633952551287543e-32,9.383663171520646e-75,3.758352836399137e-12,3.758352842972333e-12,6.442280973589163e-14,1.0084193214642454e-26,1.174734534149537e-25,6.572529442315313e-21,1.3033278132419238e-28,1.2685155540241842e-24,1.820045334181952e-24,5.387460491116592e-25,7.363539575110163e-29,4.6696967791472516e-33,4.718968907177653e-14,6.006708153453867e-29
2.187555253688367e-15,0.7853199263176558,2.6330765042515383e-20,1.5207687729408266e-19,7.296690092506661e-24,9.438193848656374e-14,0.0,0.0,1.2884911477960588e-13,7.389242554458261e-24,1.168946283695814e-37,6.517498169011901e-28,4.646491965909209e-38,4.7559703238318415e-45,5.161213297982161e-30,4.490641069364742e-50,6.330057483696711e-52,9.464069806578108e-59,9.757014042817335e-71,4.638636781314073e-84,9.010642247827347e-87,2.966074747276968e-94,1.795523528255772e-52,1.0700501106066551e-84,2.1573349649563296e-63,4.49063515408399e-90,9.722999133825499e-89,8.804043968455405e-103,1.4146313245017283e-112,1.395501405774153e-112,3.9087308873134903e-81,1.3986658976293218e-98,2.3226886100635716e-97,6.76403661900947e-98,3.76,0.0,0.6373541774987704,0.9999999999998712,2.1072688514525127e-31,6.00615355258433e-73,7.516909574364647e-12,7.516909600658502e-12,1.2884911481946982e-13,4.033845025560682e-26,4.699126996188369e-25,2.6291187200629928e-20,8.47229407318835e-28,5.074268463521807e-24,7.280477582511398e-24,2.155071885603187e-24,2.945535720573701e-28,1.868096243784145e-32,9.438193848656219e-14,2.4027811260707844e-28
4.375169850220606e-15,0.7853199263187634,1.0527682735499359e-19,3.041579098864092e-19,2.918755528790003e-23,1.887664373149897e-13,0.0,0.0,2.577017248663404e-13,2.9557571533076297e-23,9.351791859812617e-37,5.214122161487253e-27,3.717281599988733e-37,3.8048661449823044e-44,2.064527222569502e-29,7.185286331778876e-49,1.012845947035561e-50,3.028616419363037e-57,6.244831531359159e-69,2.9688903057146267e-82,1.1534422580841884e-84,3.796826959340863e-92,2.8729440461441894e-51,1.3697619313568592e-82,6.9037305157374865e-62,5.806045669277166e-88,1.2446302685633456e-86,2.2540205777036812e-100,7.243656184247394e-110,7.145700807045435e-110,5.003434514337205e-79,3.5808721449516262e-96,5.946497205450024e-95,1.7317330136164654e-95,3.76,0.0,0.6373541774910301,0.9999999999997423,1.6858659374056888e-30,3.844133329016618e-71,1.5034023010730837e-11,1.5034023115908384e-11,2.57701724977426e-13,1.613573719697958e-25,1.8796871613525598e-24,1.0516688551186025e-19,5.996055758240798e-27,2.0297484999354337e-23,2.912250283747519e-23,8.620462915514083e-24,1.1782382882227543e-27,7.473669223423024e-32,1.887664373149826e-13,9.611320805855039e-28
8.750399043285086e-15,0.7853199263209782,4.210148335741701e-19,6.083200657945482e-19,1.1675301761102853e-22,3.7753543496725507e-13,0.0,0.0,5.154069449089372e-13,1.1823148855377834e-22,7.48152166643265e-36,4.1713470181064206e-26,2.973860244781656e-36,3.043928360250235e-43,8.25819209989546e-29,1.1496665617241906e-47,1.6205828019627776e-49,9.69175427948416e-56,3.996801428711421e-67,1.9001416252735592e-80,1.4764571302025302e-82,4.8601199159020516e-90,4.596800459199504e-50,1.753368414822419e-80,2.2092348839996928e-60,7.579609800889328e-86,1.593181819986753e-84,5.7705429115670556e-98,3.7089419870246306e-107,3.6587861260715313e-107,6.40456145934147e-77,9.167394554086515e-94,1.5223561085425917e-92,4.433414729417677e-93,3.76,0.0,0.6373541774755493,0.9999999999994846,1.3487261022440045e-29,2.460307909041447e-69,3.006824972520385e-11,3.006825014591834e-11,5.154069452565417e-13,6.454383585854539e-25,7.518810094109128e-24,4.206717979723174e-19,4.4841226123853806e-26,8.119075143983041e-23,1.1649119641782514e-22,3.4482202344714946e-23,4.713001324989133e-27,2.9904038843300126e-31,3.7753543496722003e-13,3.844568037974357e-27
1.7500857429414047e-14,0.7853199263254081,1.6838743143914231e-18,1.2166447489834193e-18,4.670273162760357e-22,7.550734302534754e-13,0.0,0.0,1.0308173844706416e-12,4.729283573110148e-22,5.985251870905585e-35,3.3370970705752973e-25,2.3791017873043014e-35,2.435156049900374e-42,3.303293003656668e-28,1.8394827732001358e-46,2.5929555491930218e-48,3.101389937985833e-54,2.5579874023904036e-65,1.2161068969332384e-78,1.889897294968559e-80,6.221122282678007e-88,7.35496828501118e-49,2.2443854034671365e-78,7.0696157404832815e-59,1.0080007963209918e-83,2.039307444355668e-82,1.4772976765245007e-95,1.8990265293816185e-104,1.8733459348226298e-104,8.197943244814747e-75,2.346896208568342e-91,3.8972981439068173e-90,1.1349767101059112e-90,3.76,0.0,0.6373541774445879,0.9999999999989693,1.0790150381339763e-28,1.57461729052112e-67,6.013670252111252e-11,6.013670420397903e-11,1.0308173856676238e-12,2.5817850057458326e-24,3.007527305321224e-23,1.6826955635219753e-18,3.462206343880913e-25,3.247645418077777e-22,4.659671561578495e-22,1.3792951021405977e-22,1.88521030180581e-26,1.196892268727929e-30,7.550734302532807e-13,1.537835522326898e-26
3.500177420167196e-14,0.785319926334268,6.735126685557758e-18,2.4332956686807148e-18,1.8682169799602685e-21,1.5101494207529601e-12,0.0,0.0,2.0616382615000993e-12,1.8917182213845698e-21,4.7882141376555945e-34,2.6696850235489822e-24,1.9032862352182409e-34,1.9481288828056163e-41,1.3213200515813388e-27,2.943184417864472e-45,4.148746168241057e-47,9.924490375194307e-53,2.163172105344918e-63,1.0284053238492173e-76,3.4854665855570086e-78,1.393980682640669e-85,1.176806909250621e-47,3.990886314070336e-76,2.262286220057336e-57,2.464893818265239e-81,3.7610181596898835e-80,8.174790363621368e-93,2.96874452112142e-101,2.928597655169102e-101,1.0523728662923753e-72,1.2986492266624466e-88,1.43674960170987e-87,6.28038369878517e-88,3.76,0.0,0.6373541773826651,0.9999999999979384,8.632589976244762e-28,1.0077624344292987e-65,1.2027360558078046e-10,1.202736123122634e-10,2.0616382659014756e-12,1.0327313803846859e-23,1.2030043580606374e-22,6.730797875350666e-18,2.71972633181186e-24,1.2990605445865551e-21,1.8638733683364645e-21,5.517194382652991e-22,7.540861849669105e-26,4.793378311950279e-30,1.5101494207517456e-12,6.15136161542362e-26
