Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60)
0.0,0.6032259504954094,3.76,0.0,0.7897872857230264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.994092507594098e-23,0.6032259504954094,3.76,0.0,0.7897872857230264,0.9999999999999997,7.579984318829113e-53,0.0,3.743047312389374e-38,1.2564369229405698e-18,1.2564369229405694e-18,1.549466563734031e-20,4.1142145824598704e-40,4.615313134088709e-39,7.114456590859442e-30,2.0419276460900892e-34,2.1370424692478442e-20,2.2340492015108716e-49,1.549466563022606e-20,3.206686469296184e-39,6.591480606984334e-26,2.0895144166797102e-38,4.3415495512040847e-38,3.533348385606824e-45,7.988181847684193e-42,5.101122425429703e-46,2.1370424692478442e-20,7.790985566922961e-42,3.137541379186164e-38,1.980617522165612e-63,9.091143898752081e-38,8.960735576702989e-38,1.45800452270435e-54,1.193535744032617e-41,2.1378578769330555e-40,3.438861209764006e-38,3.640011556834975e-16,3.0941089460148736e-39,9.505932208383794e-63,9.023772394683785e-45,1.618684856442563e-57,2.559794611430061e-57,1.4986428893466137e-40,1.937116368287567e-75,2.2267694094152495e-62,2.819764249808533e-60,5.11496643522843e-62,4.702791956870235e-64,4.93434279143591e-77,3.7776898759036013e-41,9.401791710869854e-60,1.9137948465985315e-55,2.2603963313661935e-56,3.716090320919316e-72,4.238524091778125e-58
1.1183459021263474e-22,0.6032259504954094,3.76,0.0,0.7897872857230264,0.999999999999999,8.998957383319365e-52,0.0,2.260800576684569e-37,3.518023384233595e-18,3.518023384233594e-18,4.3385063784552855e-20,2.484985607805896e-39,2.787649132989414e-38,1.9921140657696852e-29,1.2333242982384119e-33,5.983718913893963e-20,2.6522632120337027e-48,4.338506376463295e-20,1.9368386275851793e-38,1.8456145699597915e-25,1.2620667076745358e-37,2.622295928927399e-37,2.1341424249146692e-44,4.824861836001256e-41,3.081077944986602e-45,5.983718913893963e-20,4.705755282421716e-41,1.89507499302831e-37,2.351389122333816e-62,5.491050914846253e-37,5.4122842883286025e-37,1.7309429693546035e-53,7.208955893956982e-41,1.2912661576691375e-39,2.077072170697459e-37,1.0192032359136322e-15,1.868841803392792e-38,1.1285442717794309e-61,5.450358526487651e-44,2.445124886670922e-56,3.865344808330642e-56,9.051803051653553e-40,5.45886876894612e-74,2.6436206428585926e-61,3.347624117372662e-59,6.072488151903018e-61,5.58315461119827e-63,1.1038363786169227e-75,2.281724685045459e-40,1.1161807119144679e-58,2.2720572418817725e-54,3.415201126926644e-55,1.0477872143401578e-70,6.404791361851087e-57
2.5562192048602226e-22,0.6032259504954094,3.76,0.0,0.7897872857230264,0.9999999999999977,8.835229722043427e-51,0.0,1.0884781584449094e-36,8.041196306819646e-18,8.04119630681964e-18,9.916586007897787e-20,1.196413600579532e-38,1.342133059392747e-37,4.5537157604533295e-29,5.937925594829948e-33,1.3677071803186202e-19,2.6040077492810586e-47,9.916586003344665e-20,9.325044254667567e-38,4.218547588499221e-25,6.076307923704462e-37,1.262522609490346e-36,1.0274977105464532e-43,2.3229632813065675e-40,1.4834064013547757e-44,1.3677071803186202e-19,2.2656186028615627e-40,9.123970330671369e-37,2.3086077838934415e-61,2.6437046457570994e-36,2.605781905705225e-36,1.6994500716641872e-52,3.470801943646815e-40,6.216890706144908e-39,1.0000208397993718e-36,2.3296073963732566e-15,8.997668815008386e-38,1.1080114582095356e-60,2.6241130125191903e-43,2.629998628314761e-55,4.1571230358932484e-55,4.358053522219964e-39,1.1871089200034354e-72,2.5955224236168326e-60,3.2867172095767365e-58,5.962004876901717e-60,5.481574304933711e-62,2.181033251213989e-74,1.098552215912293e-39,1.0958728418189865e-57,2.230719273195236e-53,3.673673179147185e-54,2.2790055969710157e-69,6.889821776707382e-56
5.431965810327973e-22,0.6032259504954094,3.76,0.0,0.7897872857230264,0.999999999999995,7.814660633373505e-50,0.0,4.7536700867559885e-36,1.7087542151991746e-17,1.7087542151991722e-17,2.1072745266782758e-19,5.225052519726119e-38,5.861447680290083e-37,9.677978675085269e-29,2.5932481105343804e-32,2.906377758177068e-19,2.3032153647896207e-46,2.1072745257107373e-19,4.072491818025562e-37,8.96441362564493e-25,2.653683309183093e-36,5.513767930031235e-36,4.487352449843467e-43,1.0144990946558969e-39,6.478425480703568e-44,2.906377758177068e-19,9.894551669995919e-40,3.9846775515643656e-36,2.0419374407709076e-60,1.1545752751415083e-35,1.1380134182412755e-35,1.5031443427272696e-51,1.515790394921387e-39,2.7150795037293504e-38,4.3673537364002735e-36,4.95041571728993e-15,3.929518361435931e-37,9.800235869562016e-60,1.1460190942735096e-42,2.4172931214944105e-54,3.820735855867373e-54,1.9032764694702115e-38,2.2004682139444285e-71,2.2957101903357497e-59,2.9070641509824174e-57,5.273325796061965e-59,4.848390395866871e-61,3.881063663484615e-73,4.797666142392673e-39,9.692871182238303e-57,1.973045935049195e-52,3.3766500031153216e-53,4.22477401722736e-68,6.3328750485913436e-55
1.1183459021263474e-21,0.6032259504954094,3.76,0.0,0.7897872857230264,0.9999999999999898,6.568693131008369e-49,0.0,1.9845636850481801e-35,3.5180233842335954e-17,3.518023384233584e-17,4.338506378455258e-19,2.1813565716220977e-37,2.4470390236915146e-36,1.9930742605407752e-28,1.0826300379569354e-31,5.983718913893964e-19,1.9359912932420468e-45,4.338506376463266e-19,1.7001851678383055e-36,1.8456145700203755e-24,1.1078605437234584e-35,2.3018895720502484e-35,1.8733813141587933e-42,4.235334015642197e-39,2.704615110328343e-43,5.983718913893964e-19,4.130780547585926e-39,1.663524439242648e-35,1.7163714550433951e-59,4.820124495118299e-35,4.7509820027678867e-35,1.2634833913032138e-50,6.328126514860604e-39,1.1334922463718392e-37,1.8232842134168636e-35,1.0192032359112974e-14,1.640496563174424e-36,8.237688756882081e-59,4.784404124993725e-42,2.067996045740626e-53,3.268576350163103e-53,7.945804599315859e-38,3.7818647569808454e-70,1.929682741897728e-58,2.4435625826557364e-56,4.4325480733039306e-58,4.0753642651739477e-60,6.546006793560551e-72,2.0029311721996801e-38,8.147442267972297e-56,1.658463993344692e-51,2.8887613779803995e-52,7.261216293097979e-67,5.417885738426648e-54
2.268644544313448e-21,0.6032259504954094,3.76,0.0,0.7897872857230264,0.9999999999999793,5.385411492576175e-48,0.0,8.107590200691572e-35,7.136561722302437e-17,7.136561722302391e-17,8.800970082009178e-19,8.91155335420725e-37,9.996952860941876e-36,4.045322287028713e-28,4.422896958536724e-31,1.2138401225327754e-18,1.5872426298670196e-44,8.800970077968279e-19,6.945811175342206e-36,3.743960985039102e-24,4.525971807103873e-35,9.403969989905701e-35,7.653373938089684e-42,1.7302721409358189e-38,1.1049235221466047e-42,1.2138401225327754e-18,1.6875586377406322e-38,6.796040128956686e-35,1.4071850178285255e-58,1.96917813304525e-34,1.940931168856143e-34,1.035880020641558e-49,2.585246163004128e-38,4.6306856759377786e-37,7.448710934797122e-35,2.0675265642717834e-14,6.70196374140352e-36,6.753754943093908e-58,1.9545851969038395e-41,1.709839919688032e-52,2.702465983672639e-52,3.246120444040434e-37,6.268023995002871e-69,1.582070498336268e-57,2.0033802390937463e-55,3.634070713767402e-57,3.3412298477463553e-59,1.075185656424248e-70,8.182627378764903e-38,6.679765419011807e-55,1.3597089819179588e-50,2.3884705590751947e-51,1.2034862288606314e-65,4.479604022115156e-53
4.569241828687648e-21,0.6032259504954094,3.76,0.0,0.7897872857230263,0.9999999999999584,4.361245852995119e-47,0.0,3.27721758840254e-34,1.4373638398440117e-16,1.4373638398439935e-16,1.7725897489116825e-18,3.602192349256632e-36,4.0409281839089534e-35,8.156599301698352e-28,1.787805666678677e-30,2.444776584819533e-18,1.285390233710408e-43,1.77258974809781e-18,2.8076079374771247e-35,7.540653815504406e-24,1.8294701684942262e-34,3.8012350264704717e-34,3.093616113085401e-41,6.994036640376458e-38,4.466277539877896e-42,2.444776584819533e-18,6.821381831171697e-38,2.7470680794507632e-34,1.1395749114780694e-57,7.959732858264213e-34,7.845554112710893e-34,8.388824977186978e-49,1.0449978336160381e-37,1.8717971885857387e-36,3.010888054486368e-34,4.164173220976267e-14,2.7090408994468927e-35,5.469365855856051e-57,7.900745881871348e-41,1.3904058308718887e-51,2.1975782456711854e-51,1.3121337844817271e-36,1.0205741695051614e-67,1.2812017075130993e-56,1.6223892587578987e-54,2.9429646836517826e-56,2.7058145579692036e-58,1.7429239519313978e-69,3.3075488154369357e-37,5.409447220929157e-54,1.1011275863930635e-49,1.9422593660537906e-50,1.959559699807288e-64,3.642736162734246e-52
9.17043639743605e-21,0.6032259504954094,3.76,0.0,0.7897872857230261,0.9999999999999164,3.510310082441527e-46,0.0,1.317754778625143e-33,2.884779175071547e-16,2.884779175071475e-16,3.557575230333138e-18,1.4484257006239183e-35,1.6248394500953694e-34,1.6406277177812682e-27,7.188687955164311e-30,4.9066495093930495e-18,1.0345938865130196e-42,3.557575228699696e-18,1.1289268085284722e-34,1.5134039478146405e-23,7.356219084490607e-34,1.528459885710016e-33,1.2439294331658932e-40,2.81227137220482e-37,1.7958705564195954e-41,4.906649509393049e-18,2.742847632796495e-37,1.1045839926975228e-33,9.172290300255165e-57,3.2005735741309613e-33,3.154662802720387e-33,6.752056152918696e-48,4.201890328294708e-37,7.526414171296918e-36,1.2106648443421856e-33,8.357466534319279e-14,1.0892934308652843e-34,4.402221464895982e-56,3.1768551741375714e-40,1.121409652037785e-50,1.772417632481203e-50,5.2760322376609624e-36,1.6472020270506498e-66,1.0312225962565825e-55,1.3058400201231412e-53,2.3687540095392367e-55,2.1778749568490625e-57,2.8069266334403036e-68,1.3299508315464573e-36,4.353993734675611e-53,8.862832774640016e-49,1.566500463065731e-49,3.1627327655080827e-63,2.937997316921188e-51
1.8372825534932852e-20,0.6032259504954095,3.76,0.0,0.7897872857230258,0.9999999999998326,2.8168027697720034e-45,0.0,5.284786042958414e-33,5.779609845526617e-16,5.77960984552633e-16,7.127546193175746e-18,5.808834883772912e-35,6.516332922035544e-34,3.301412831714151e-27,2.882985391947357e-29,9.83039535854008e-18,8.30196437479423e-42,7.127546189903155e-18,4.527501468581342e-34,3.0320810810275984e-23,2.950172867817961e-33,6.129807762131619e-33,4.988713390536584e-40,1.1278466021655908e-36,7.202244162297765e-41,9.830395358540075e-18,1.100004577617814e-36,4.429875847940227e-33,7.360185323173418e-56,1.2835731523782225e-32,1.2651608796331822e-32,5.418099833073338e-47,1.6851459557836715e-36,3.0184287102925653e-35,4.8553075088979634e-33,1.6744053160741487e-13,4.368553856103608e-34,3.5325054833991394e-55,1.2740610161814221e-39,9.007760121166e-50,1.4236987061568492e-49,2.1159249036116585e-35,2.6470024164455134e-65,8.274911893982983e-55,1.0478543772156586e-52,1.900775913730859e-54,1.747607495176205e-56,4.505739961053799e-67,5.3336976694483945e-36,3.4938057671290694e-52,7.11186513993493e-48,1.2582975326308444e-48,5.08242306479754e-62,2.3599586753960396e-50
