Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702),CF2O2(150),CHF3(41),C2H2F3(67),S(851),C2H2F3(66),CH2CF2(56),S(259)
0.0,0.6293451366767745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9003315510345318,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.848270232709242e-17,0.6293451366767746,6.92864487781407e-27,5.273014959848857e-26,6.519921515857743e-30,4.1176108044665203e-19,0.0,0.0,1.2096722551376685e-17,1.0297628266291614e-30,2.6553907901632643e-42,1.0286910443919575e-36,7.946300194997262e-51,7.36310232521679e-60,5.773066063068606e-41,3.2263341912111027e-68,1.1845544620384443e-69,4.722788190642437e-78,2.0081176868070352e-76,2.3533983715529296e-104,-1.8927210379845932e-115,2.928218718348758e-124,1.1599233000304468e-70,-1.252754541100196e-109,6.692404723902175e-84,-1.5837086636448288e-105,-6.149549974200935e-119,-6.221571022433668e-136,1.2995320896686517e-148,1.1947389779471001e-149,-1.3821147572670242e-106,-2.0299812027345118e-125,-5.739313817670511e-129,-3.824595604411085e-129,3.76,0.0,0.9003315510345316,1.0,1.928100951433008e-39,-4.612330855689394e-96,2.8036315690987017e-16,2.803631569167511e-16,1.2096722551411968e-17,1.5875969980503314e-32,1.9355965325855053e-31,6.864248690390398e-27,9.320039173101833e-33,2.4618593468428585e-29,6.535510108515917e-30,4.4679683676889836e-32,1.6480414892072355e-36,3.8438085538521514e-41,4.1176108044662593e-19,3.2993306407684193e-37,2.1281099283062586e-37,1.64074066519161e-29,2.229701206867267e-52,5.297937203685413e-35,9.916905725146923e-34,1.3258771925528075e-42,9.54899570913031e-47,2.8956777548519133e-46,7.238095453392577e-42,7.371915592344399e-45,6.54075515418257e-55
5.1751566515858776e-17,0.6293451366767747,4.164184936213387e-26,1.4769762980674997e-25,3.9380326311640363e-29,1.1529310252506248e-18,0.0,0.0,3.387082314384999e-17,6.2197674728359594e-30,3.152479946013521e-41,1.2212620077140606e-35,9.43384758708365e-50,8.741475070644409e-59,3.486931900330562e-40,1.0144110904632025e-66,3.724428755760319e-68,2.839385132250743e-76,1.2216359849604674e-74,1.819122969089258e-102,5.948706596378161e-113,3.1202446613445007e-122,3.456386581664185e-69,2.1770202854587794e-107,3.8544824677664357e-82,1.6027543185973467e-103,1.0687626606145687e-116,1.2641519584734485e-133,3.9482296599625985e-146,3.629847932177599e-147,1.387482541833031e-104,4.124689238920949e-123,1.4221494885894274e-126,7.771140118749508e-127,3.76,0.0,0.9003315510345309,1.0,2.2890414684838306e-38,2.3901928101413436e-94,7.850168393253417e-16,7.850168393669023e-16,3.3870823143855935e-17,9.589086950172586e-32,1.1691002849458255e-30,4.146006208298599e-26,5.629903585448959e-32,1.4869630452180145e-28,3.9474481055465364e-29,2.6986528940244868e-31,9.954170647963398e-36,2.321665981853171e-40,1.152931025250468e-18,1.992795738377134e-36,1.2853784049880559e-36,9.910073617522848e-29,2.6471071308616022e-51,3.199956958160806e-34,5.989810732246102e-33,8.008386346331552e-42,1.4430440941745067e-45,4.375947692990136e-45,4.3776507220098773e-41,1.1140438842788693e-43,7.765184887823975e-54
1.1828929489339149e-16,0.6293451366767747,2.0003483311980388e-25,3.3784543395007185e-25,1.8959932301903731e-28,2.635270914858569e-18,0.0,0.0,7.741902432877777e-17,2.9945502998313403e-29,3.0951235048025553e-40,1.1990422807602466e-34,9.262207493591583e-49,8.582432039456695e-58,1.678807608494894e-39,2.2630953369894206e-65,8.30899566495443e-67,1.280032578576448e-74,5.515048789476392e-73,1.9806453088329438e-100,3.080448211844048e-110,7.100949443419925e-120,7.618557967792778e-68,5.660217922326269e-105,1.7285117190496135e-80,3.356413968399325e-101,2.7788307020409446e-114,7.009121895649957e-131,5.664599267185197e-143,5.207811020603504e-144,2.9082529859197202e-102,2.286944168386743e-120,7.6516714041287e-124,4.3087279123092e-124,3.76,0.0,0.9003315510345299,1.0,2.2473945277122633e-37,2.5086046041661087e-92,1.794324204067107e-15,1.794324204267203e-15,7.74190243283536e-17,4.61673369325319e-31,5.6287144057213746e-30,1.9961235181197288e-25,2.711167278878212e-31,7.159086976492959e-28,1.9005263395608147e-28,1.299285201234345e-30,4.7925047288235506e-35,1.1177877900110264e-39,2.635270914857813e-18,9.594453964813598e-36,6.188543793389817e-36,4.771273854025492e-28,2.5989575516973347e-50,1.5406444695334753e-33,2.883835696258821e-32,3.8557805164203197e-41,1.5523609390515375e-44,4.707444664405986e-44,2.1134328724201096e-40,1.1984375739036658e-42,7.623905315787e-53
2.5136475164845694e-16,0.629345136676775,8.726870995673664e-25,7.189924171668791e-25,8.280300876721734e-28,5.599950694074451e-18,0.0,0.0,1.645154266985579e-16,1.307798789812565e-28,2.7376016885820537e-39,1.0605393179019935e-33,8.192317620265988e-48,7.591063908275361e-57,7.33179387275541e-39,4.2385270926733636e-64,1.5561829273652151e-65,4.8295148328775684e-73,2.0823774858220675e-71,1.6197149751465346e-98,1.0829759242264e-107,1.2000308775259253e-117,1.4199942348886644e-66,9.916077276388694e-103,6.503093077067862e-79,5.393946149821705e-99,4.868243895697199e-112,2.5698322705268375e-128,4.634458128993565e-140,4.260739546890222e-141,4.674956752267427e-100,8.38487751709374e-118,2.7442380500449844e-121,1.579756804267196e-121,3.76,0.0,0.9003315510345278,0.9999999999999999,1.9877950802054677e-36,2.002854609148753e-90,3.812938933193924e-15,3.8129389340677985e-15,1.6451542669578788e-16,2.0162498645440566e-30,2.4582072749784308e-29,8.717595825989226e-25,1.1845748585629523e-30,3.1265613662268233e-27,8.300097837860542e-28,5.674319826038452e-30,2.0930127714003634e-34,4.8817214943692376e-39,5.599950694071149e-18,4.190150386493378e-35,2.702699733724245e-35,2.083740644429913e-27,2.298769853634249e-49,6.7284249992556e-33,1.2594465221927344e-31,1.6839968272623886e-40,1.4268871334573278e-43,4.326952611613877e-43,9.280414467268216e-40,1.1015706028956426e-41,6.74325923105791e-52
5.175156651585878e-16,0.6293451366767754,3.641456826400183e-24,1.4846918835048868e-24,3.456862884131938e-27,1.1529310252506187e-17,0.0,0.0,3.3870823143781635e-16,5.459802506729584e-28,2.3011191716960947e-38,8.914471977920602e-33,6.886136555983721e-47,6.380746547435366e-56,3.060879602029156e-38,7.321001464229468e-63,2.6879190004448945e-64,1.6748972287516795e-71,7.2247348557064e-70,1.1655428507483139e-96,3.2259629380491085e-105,1.7571202916271966e-115,2.446996058185444e-65,1.4734356482250745e-100,2.2518146535066165e-77,7.711797539360003e-97,7.233775927269539e-110,7.816520863429095e-126,2.9622365577633657e-137,2.723364435220291e-138,6.684343810292786e-98,2.550383126213898e-115,8.255014033224125e-119,4.8050614432821457e-119,3.76,0.0,0.9003315510345236,0.9999999999999997,1.6708616586272502e-35,1.426659341016203e-88,7.85016839002071e-15,7.850168393668963e-15,3.387082314244121e-16,8.417454376841957e-30,1.0262529923122317e-28,3.6394246459190685e-24,4.9498537216856385e-30,1.3052778218588373e-26,3.465127459575936e-27,2.3689168277145532e-29,8.737916693704058e-34,2.0380631422539332e-38,1.1529310252492402e-17,1.7493055294139321e-34,1.1283239957875612e-34,8.699207003575038e-27,1.932290399187948e-48,2.809006580894159e-32,5.257938871366545e-31,7.030991075541749e-40,1.2207319761713412e-42,3.701799049299294e-42,3.9165343513270913e-39,9.424168425953746e-41,5.668117908430556e-51
1.0498174921788494e-15,0.6293451366767764,1.4872857041487022e-23,3.0297128172683886e-24,1.4122415003266398e-26,2.3388029369369567e-17,0.0,0.0,6.870938409151261e-16,2.2305074729425253e-27,1.8865965240108816e-37,7.308622697660162e-32,5.64567074549796e-46,5.2313214241525614e-55,1.2504691806876816e-37,1.2163953291006128e-61,4.466017583192908e-63,5.576932431457985e-70,2.406138348890084e-68,7.899868430184171e-95,8.893796150204729e-103,2.4027725078573868e-113,4.0610201502531364e-64,2.0284543756950056e-98,7.49192911178983e-76,1.0424400208133401e-94,9.95863367734408e-108,2.1772640884379234e-123,1.6896366769855516e-134,1.5533858765100776e-135,9.035768616802979e-96,7.104001183885811e-113,2.2868487304485916e-116,1.3384327634840463e-116,3.76,0.0,0.9003315510345151,0.9999999999999993,1.3698735338662115e-34,9.624769183834194e-87,1.5924627297966878e-14,1.5924627312871184e-14,6.870938408566832e-16,3.438811380544968e-29,4.192577064335228e-28,1.4868237150987109e-23,2.0258434776586758e-29,5.332485787146822e-26,1.415617631579523e-26,9.677798196085596e-29,3.569724393872143e-33,8.326483924970494e-38,2.3388029369313234e-17,7.146485720970287e-34,4.609572173619125e-34,3.5539099076622933e-26,1.5842671409141938e-47,1.1475884899609732e-31,2.1480376003496796e-30,2.8729088267096247e-39,1.0093248001592759e-41,3.060719058608654e-41,1.6344612005516737e-38,7.792084696353472e-40,4.647069142465604e-50
2.114421146219373e-15,0.6293451366767782,6.01111004027089e-23,6.17424270090464e-24,5.708507700720252e-26,4.710546760309601e-17,0.0,0.0,1.3838650598649177e-15,9.016067832889526e-27,1.52781477731194e-36,5.918712117738947e-31,4.5720104691873166e-45,4.236459552294785e-54,5.0545962739811976e-37,1.983031344207598e-60,7.280735703702812e-62,1.8202100726554335e-68,7.854036301999178e-67,5.201449842218667e-93,2.3618345848956123e-100,3.1782104538718914e-111,6.616655513163427e-63,2.6915612596091795e-96,2.4442457804866336e-74,1.3709486563617695e-92,1.3214143349830826e-105,5.8115024324992355e-121,9.124511042616361e-132,8.388718568469886e-133,1.1883368380916259e-93,1.8961832295163498e-110,6.087452790861349e-114,3.572513389027071e-114,3.76,0.0,0.9003315510344982,0.9999999999999987,1.1093594230347172e-33,6.323080696543202e-85,3.20735450910296e-14,3.207354515127518e-14,1.383865059621317e-15,1.3900278881089909e-28,1.6947056583258852e-27,6.009979144637617e-23,8.21842735552625e-29,2.1554760006850105e-25,5.722152804775028e-26,3.9119207625826883e-28,1.4429399282511026e-32,3.365965499314052e-37,4.7105467602868207e-17,2.888725285601896e-33,1.863263167607899e-33,1.4365472056491777e-25,1.2830757166136073e-46,4.638878821453189e-31,8.68269532642124e-30,1.1616959039604635e-38,8.207661610662058e-41,2.4889259502182967e-40,6.885077870611085e-38,6.336393861270408e-39,3.7633229506195796e-49
4.243628454300419e-15,0.6293451366767817,2.416893579322527e-22,1.2681254626688548e-23,2.295367253641997e-25,9.454034407054812e-17,0.0,0.0,2.7774074977451878e-15,3.625321221332069e-26,1.229718247810936e-35,4.763894377698072e-30,3.6799516617309935e-44,3.4098709411104225e-53,2.0324308607371504e-36,3.2026007739258767e-59,1.1758407216739867e-60,5.882290449961991e-67,2.5382888047706902e-65,3.376248555074294e-91,6.157557742545212e-98,4.13657440095534e-109,1.068282192981094e-61,3.507390800329187e-94,7.897361474250744e-73,1.7786508211038595e-90,1.7219433938291144e-103,1.5189714524977222e-118,4.79709059559738e-129,4.410257455638503e-130,1.541739480550634e-91,4.956115424604976e-108,1.5889489834375892e-111,9.337595055129657e-112,3.76,0.0,0.9003315510344645,0.9999999999999972,8.929094891711548e-33,4.099836593327555e-83,6.43713805858366e-14,6.437138082808148e-14,2.77740749675095e-15,5.589283996662133e-28,6.814328676313768e-27,2.4165861535050243e-22,3.3284332432966708e-28,8.667074088168284e-25,2.3008524759739273e-25,1.5729661310051207e-27,5.802000025410178e-32,1.353655096556519e-36,9.454034406963134e-17,1.1615449342847933e-32,7.492102418651746e-33,5.776293122956511e-25,1.0328840660055912e-45,1.8653874990814596e-30,3.491260658676112e-29,4.674510927422255e-38,6.619776380019001e-40,2.0074090203403397e-39,2.992283096546445e-37,5.11053119084792e-38,3.0290591707227584e-48
8.502043070462514e-15,0.6293451366767889,9.692529488829988e-22,2.6567087864897333e-23,9.20546065766282e-25,1.894100970054535e-16,0.0,0.0,5.564492373428475e-15,1.4539159560757722e-25,9.867714459469556e-35,3.822725136705611e-29,2.9529292610290542e-43,2.736206251863127e-52,8.150956216150155e-36,5.1480867458632246e-58,1.8901294921353412e-59,1.891605825954826e-65,8.16275631918465e-64,2.176062522942427e-89,1.5907339236440018e-95,5.346478370601772e-107,1.7169846066486917e-60,4.5296879246521854e-92,2.5393479172817104e-71,2.2920564742329297e-88,2.223835636809669e-101,3.9290574132028475e-116,2.4887342892654952e-126,2.288044947559359e-127,1.9867650132272446e-89,1.281976374537038e-105,4.107295899302242e-109,2.4153149237731966e-109,3.76,0.0,0.900331551034397,0.9999999999999944,7.165044555666744e-32,2.64101072926381e-81,1.2896705121017684e-13,1.2896705218168712e-13,5.5644923694116796e-15,2.241587354670176e-27,2.732843968330284e-26,9.691591097908376e-22,1.3539722464000408e-27,3.475884266043885e-24,9.227447511009386e-25,6.3082976925634626e-27,2.326863144607057e-31,5.4304882520666764e-36,1.8941009700177045e-16,4.6583243413981876e-32,3.0046707057611005e-32,2.3165518858564736e-24,8.290701258743032e-45,7.481958395934806e-30,1.4001412922602672e-28,1.8774067606756264e-37,5.317364308723635e-39,1.6124602134150093e-38,1.379565375655697e-36,4.105056559195888e-37,2.430644400469923e-47
