Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155),CHO2(176),S(248),CF3(44),C2HF(57),CF3O2(433),C2HF(2466),C2F(2465),S(2113),S(1027),CHO2(135),S(3056),S(907),HCCO(21),CHF3O(237),CHFO2(134),CF3O(47),CHO3(229)
0.0,0.6621269215042989,3.76,0.0,1.0035591563136799,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.737914779855981e-23,0.6621269215042989,3.76,0.0,1.0035591563136799,0.9999999999999996,5.0006511285860065e-51,0.0,1.942911215885743e-36,3.366720008851205e-18,3.3667200088512045e-18,3.326250253750615e-20,7.944745108955582e-40,8.822388188078544e-39,2.4450037652367462e-29,5.49991656685738e-34,7.06340299206876e-20,2.1858940613352058e-35,3.326250251305666e-20,1.2420714929600446e-37,2.3590077066729897e-25,3.1389035751711397e-38,9.326965278667078e-38,4.027026745695024e-44,4.1046263949221717e-41,3.024804582844089e-45,7.06340299206876e-20,5.147856315373005e-41,7.749568629377793e-38,8.303621620943684e-63,1.4092688465035778e-37,3.159014163982647e-37,6.660223834374543e-52,8.779042166929256e-41,8.27217477857545e-40,1.2949525377476622e-37,4.3298651041527487e-16,1.1295864236883411e-38,9.831140981533017e-62,9.25016072983745e-44,7.931393474919103e-57,1.1483192877797296e-56,7.764201008783391e-40,6.498552521765189e-75,2.0379562086124933e-61,3.2796103726423493e-59,6.134683960220315e-61,6.076281705689512e-63,4.3126190790535044e-76,1.439377526909926e-40,4.846142818537488e-59,1.867232540200276e-36,1.820225333247397e-55,2.3862050780140637e-71,3.7571870408302144e-57,4.4996223255382994e-57,5.042875669174348e-56,1.5777016494200182e-88,1.7361328495684942e-60,1.3671308562627485e-54,6.966719117594609e-38,4.1790502051827475e-81,7.662647088951854e-64,1.6843039768730412e-57,1.936172145190246e-70,2.814933505418653e-76,1.2446025831682016e-81,1.6543146698487055e-92,2.2313242749834007e-79,4.518799432222683e-38,2.2307836282370463e-98,1.145996930441198e-96,1.046952187872447e-90,2.325804107147564e-77,6.654608131146888e-41,7.53381571204976e-81,2.9321038877662294e-77
1.0466161383596746e-22,0.6621269215042989,3.76,0.0,1.0035591563136799,0.9999999999999988,5.936773019857493e-50,0.0,1.1735183743950236e-35,9.426816024783375e-18,9.42681602478337e-18,9.313500710501716e-20,4.798626045809319e-39,5.328722465598611e-38,6.846188938669472e-29,3.3219496063818526e-33,1.9777528377792528e-19,1.3202800130464992e-34,9.31350070365586e-20,7.5021118175140525e-37,6.60522157869211e-25,1.8958977594033527e-37,5.633487028315256e-37,2.4323241544064674e-43,2.4791943425329925e-40,1.8269819680512968e-44,1.9777528377792528e-19,3.1093052144854536e-40,4.680739452143842e-37,9.858059588450366e-62,8.511983832881608e-37,1.9080445550455175e-36,7.907017736169449e-51,5.302541468825244e-40,4.996393566264504e-39,7.821513327995875e-37,1.212362229162596e-15,6.822701999076971e-38,1.1671530573277016e-60,5.587097080870086e-43,1.1972506933489434e-55,1.731647330494637e-55,4.689577409305171e-39,1.8289341275855414e-73,2.4194616108654465e-60,3.8935534344009494e-58,7.283096797573279e-60,7.213761640996892e-62,9.647858454891433e-75,8.693840262534826e-40,5.753340754167727e-58,1.1278084542809651e-35,2.749689148154738e-54,6.727040771972487e-70,5.677423358053689e-56,6.79834863238777e-56,5.9869019944452754e-55,8.163735014736424e-87,2.0611393808689146e-59,1.6230577525549838e-53,4.207898347026947e-37,1.1784713928133086e-79,9.097094633020097e-63,1.9996056813436776e-56,2.2986235707947296e-69,6.29689365428131e-75,2.7841261944439533e-80,8.560165098769064e-91,5.000030874965504e-78,2.7293548570622295e-37,9.220953236901693e-97,4.736982991749449e-95,6.369121071495747e-89,7.312700241529488e-76,4.019383314072631e-40,2.026457211148733e-79,9.219003759759179e-76
2.3922654591078277e-22,0.6621269215042989,3.76,0.0,1.0035591563136799,0.9999999999999972,5.828758955480381e-49,0.0,5.649985815796261e-35,2.154700805664771e-17,2.1547008056647692e-17,2.12880016240039e-19,2.310331877684504e-38,2.5655504850919945e-37,1.5649272869561286e-28,1.5993757376421169e-32,4.520577914924006e-19,6.356579930363303e-34,2.1288001608356228e-19,3.611943901580884e-36,1.5097649322761316e-24,9.127931596597443e-37,2.712281503036901e-36,1.1710593776579318e-42,1.1936253556433687e-39,8.79613172710877e-44,4.520577914924006e-19,1.4969966165107063e-39,2.253574557422545e-36,9.678701361572831e-61,4.0981538056324024e-36,9.186413188861519e-36,7.763156901346942e-50,2.5529454621429874e-39,2.4055484256171416e-38,3.765721979770197e-36,2.771113666656543e-15,3.2848373200847837e-37,1.1459177928077959e-59,2.689946740307751e-42,1.2874858606458848e-54,1.8615559561366507e-54,2.2578296533542157e-38,3.9754543681336184e-72,2.375441756760799e-59,3.822713850351774e-57,7.15058762403193e-59,7.082513956158584e-61,1.906316326053159e-73,4.185709848252377e-39,5.648664069287357e-57,5.429912226902383e-35,2.95763368661643e-53,1.46309166312871e-68,6.107362297307395e-55,7.312843533309984e-55,5.877975879990913e-54,3.564137553160265e-85,2.023639945299716e-58,1.593527726059393e-52,2.025921919396217e-36,2.563365671581249e-78,8.931581473831376e-62,1.9632247154432254e-55,2.2568022525099593e-68,1.244160074352565e-73,5.500964194831551e-79,3.737211684933613e-89,9.886864477658402e-77,1.3140668748899501e-36,3.650618337896035e-95,1.8753936314067899e-93,2.875325702019159e-87,1.6314231967775923e-74,1.9351600488273803e-39,4.3055921872067196e-78,2.0567090251335113e-74
5.083564100604134e-22,0.6621269215042989,3.76,0.0,1.0035591563136799,0.9999999999999941,5.155471287528107e-48,0.0,2.4674972441754305e-34,4.578739212037639e-17,4.578739212037632e-17,4.52370034510082e-19,1.0089826288375866e-37,1.1204432998846878e-36,3.3258295067450337e-28,6.984894039908775e-32,9.606228069213514e-19,2.776085457896253e-33,4.523700341775689e-19,1.5774307961141006e-35,3.2082504811023575e-24,3.9864075404671084e-36,1.1845245903912518e-35,5.1143239671332504e-42,5.212875521551171e-39,3.841501820414963e-43,9.606228069213514e-19,6.537777520526145e-39,9.841952159304451e-36,8.560701746746134e-60,1.7897714350595412e-35,4.0119479882579433e-35,6.866424364286724e-49,1.1149383551999733e-38,1.0505661968867302e-37,1.644589722939527e-35,5.8886165416416555e-15,1.4345747580832504e-36,1.0135513106327652e-58,1.1747704127620998e-41,1.1832539354996728e-53,1.7106298739507967e-53,9.860535281154968e-38,7.367701824169074e-71,2.1010513328354354e-58,3.3811471097790454e-56,6.3246137756269116e-58,6.264403387311922e-60,3.3922387731837335e-72,1.828009459173862e-38,4.996179400199528e-56,2.3713853260543297e-34,2.718445724073226e-52,2.7121877931321875e-67,5.613663543161848e-54,6.721578353474969e-54,5.199003099891629e-53,1.3267695773003368e-83,1.7898870430519738e-57,1.4094572275716634e-51,8.8477332793421e-36,4.7519985445593654e-77,7.899882698607572e-61,1.7364500279970494e-54,1.9961160349644868e-67,2.2139163770926694e-72,9.788671869313713e-78,1.3911973636102871e-87,1.7599395040909757e-75,5.7388752789186146e-36,1.3033555960925022e-93,6.695591152319383e-92,1.085668275414889e-85,3.055475094462028e-73,8.451352370885151e-39,7.908067597656799e-77,3.851988383677721e-73
1.0466161383596746e-21,0.6621269215042989,3.76,0.0,1.0035591563136799,0.9999999999999879,4.3334842576164997e-47,0.0,1.0301315266631039e-33,9.426816024783374e-17,9.426816024783344e-17,9.31350071050165e-19,4.212303856770299e-37,4.6776302173076553e-36,6.848775680765014e-28,2.9160557637476935e-31,1.977752837779253e-18,1.1589610313204128e-32,9.313500703655789e-19,6.585463056167751e-35,6.605221578804348e-24,1.6642466755555234e-35,4.945156990754081e-35,2.1351295806576332e-41,2.176272914587746e-38,1.6037513900058404e-42,1.977752837779253e-18,2.7293934184129475e-38,4.108821287291297e-35,7.195785639518929e-59,7.471943424161943e-35,1.6749093097435833e-34,5.771643411287527e-48,4.654648156905513e-38,4.385907067669536e-37,6.865838355138066e-35,1.2123622291600753e-14,5.989067218387101e-36,8.519509476352305e-58,4.904435219611749e-41,1.0122347921753555e-52,1.4633040778485646e-52,4.1165793748570084e-37,1.2661568667667568e-69,1.766060243091999e-57,2.8420578751653317e-55,5.31621896498025e-57,5.2656085056689505e-59,5.7215477939202675e-71,7.631579647660736e-38,4.199589828259704e-55,9.900066928141675e-34,2.3256382611241118e-51,4.6614522239873936e-66,4.802586512532765e-53,5.750381309899005e-53,4.370075368892516e-52,4.5708153807600505e-82,1.5045080783346483e-56,1.18473372594182e-50,3.6937544761459106e-35,8.167433424653617e-76,6.640327465493954e-60,1.4595908774945814e-53,1.677855802555504e-66,3.7340935627872395e-71,1.6510025849956663e-76,4.792773678305755e-86,2.9689037055486972e-74,2.3958674589606926e-35,4.404521015452435e-92,2.2626880975310063e-90,3.766687591115235e-84,5.277573382693002e-72,3.5282732710298207e-38,1.3538724462410201e-75,6.65335201094565e-72
2.123135594958197e-21,0.6621269215042989,3.76,0.0,1.0035591563136799,0.9999999999999755,3.552852212486684e-46,0.0,4.208423410061244e-33,1.9122969650274848e-16,1.912296965027472e-16,1.889310144130319e-18,1.72086356958195e-36,1.9109645710807525e-35,1.3899234966573647e-27,1.1913039280475002e-30,4.012012899495056e-18,4.734733972618629e-32,1.889310142741587e-18,2.690376537029085e-34,1.339916377440648e-23,6.798990699961881e-35,2.0202579872244655e-34,8.722701013006789e-41,8.890784956457308e-38,6.551847720160554e-42,4.012012899495056e-18,1.115046269336898e-37,1.678587563393676e-34,5.8995398189958835e-58,3.052532692280588e-34,6.842551039752838e-34,4.73194197658068e-47,1.901575649525223e-37,1.7917861457968364e-36,2.8049189948629128e-34,2.459363379147445e-14,2.446729377158712e-35,6.984808595805835e-57,2.003621815276539e-40,8.369103322533993e-52,1.2098193768292585e-51,1.6817569953065642e-36,2.098434461820395e-68,1.4479228881592277e-56,2.3300907559644e-54,4.358557499909065e-56,4.317063987635916e-58,9.397692818782422e-70,3.1177492983746915e-37,3.4430774697378146e-54,4.044500371375248e-33,1.922863416680674e-50,7.725932383014505e-65,3.970863254771261e-52,4.754498910166665e-52,3.5828518162458844e-51,1.5168701743610981e-80,1.2334866887631261e-55,9.713162871223551e-50,1.5090192277451332e-34,1.353689218410863e-74,5.444141735898369e-59,1.1966607861365439e-52,1.3756075589655762e-65,6.133259889658931e-70,2.7117767035059495e-75,1.5905292249791292e-84,4.876844483256896e-73,9.787900322139666e-35,1.4482361053835614e-90,7.439870502545792e-89,1.2544642333916018e-82,8.768767108139386e-71,1.441414773417334e-37,2.2399636188280104e-74,1.105464387548574e-70
4.2761745081552415e-21,0.6621269215042989,3.76,0.0,1.0035591563136796,0.9999999999999505,2.877191835588456e-45,0.0,1.701112029249694e-32,3.85152769012578e-16,3.8515276901257285e-16,3.80523029029058e-18,6.956005690670112e-36,7.724424333215077e-35,2.8018421289265617e-27,4.8154409502782204e-30,8.08053302292666e-18,1.9138551736173046e-31,3.805230287493551e-18,1.0874932118619453e-33,2.698704816640336e-23,2.748260747432448e-34,8.16620579583982e-34,3.5258552137655703e-40,3.593797430821388e-37,2.648361604162942e-41,8.08053302292666e-18,4.507195301227357e-37,6.785119314280977e-34,4.7776003023934435e-57,1.2338825200184963e-33,2.7658685332465673e-33,3.832049296515446e-46,7.686472811167929e-37,7.242686083511571e-36,1.1337931045198624e-33,4.953365679104382e-14,9.890071340815717e-35,5.656479094291908e-56,8.098959731214085e-40,6.805517066092807e-51,9.837778375058918e-51,6.797930664838662e-36,3.4166553847472746e-67,1.1725654947782657e-55,1.886967905861598e-53,3.529672866655905e-55,3.496070344666315e-57,1.5234091903793661e-68,1.2602441149200035e-36,2.7882934028056203e-53,1.6348517161071417e-32,1.5636329735285474e-49,1.2579612460253102e-63,3.229036829860712e-51,3.866268652125664e-51,2.901486292493984e-50,4.942473984580075e-79,9.98909527825363e-55,7.865971123845e-49,6.099696989952562e-34,2.2041296147320044e-73,4.4088072691610526e-58,9.690869301394483e-52,1.1140026666941508e-64,9.942278581247511e-69,4.39590689477483e-74,5.182479983483395e-83,7.905906036379618e-72,3.956425805257423e-34,4.697522107651483e-89,2.4132084564082523e-87,4.0947801929053917e-81,1.4295303508840587e-69,5.826429117863923e-37,3.644135185538663e-73,1.8021859565105023e-69
8.582252334549332e-21,0.6621269215042991,3.76,0.0,1.0035591563136792,0.9999999999999006,2.3158142993184936e-44,0.0,6.84009665200167e-32,7.729989140322368e-16,7.729989140322159e-16,7.637070582610907e-18,2.796979294599822e-35,3.1059570511003307e-34,5.6329864938948334e-27,1.9362676270278983e-29,1.6217573269789864e-17,7.695527478720516e-31,7.637070576997275e-18,4.3727623766138595e-33,5.416281695356755e-23,1.1050635592520886e-33,3.2835954342429626e-33,1.417730874436237e-39,1.4450501408379872e-36,1.0648945536324764e-40,1.6217573269789864e-17,1.8123234072646146e-36,2.728266634219803e-33,3.8454283669239843e-56,4.961387344869551e-33,1.1121435724866553e-32,3.0843666545896147e-45,3.0906969110339625e-36,2.9122522198854417e-35,4.558932207241926e-33,9.94137027894705e-14,3.976754188003829e-34,4.552826477671805e-55,3.2565560892517066e-39,5.488856772105504e-50,7.934416506287833e-50,2.733418021946535e-35,5.51441503694925e-66,9.437827211077766e-55,1.5187959331337654e-52,2.8409877976764245e-54,2.8139415646921155e-56,2.4534056934588816e-67,5.0673861584988285e-36,2.2442611066221463e-52,6.573666847075624e-32,1.2611236073171293e-48,2.030349299765504e-62,2.60433390127904e-50,3.118281396799315e-50,2.3353685917884356e-49,1.5958906575811963e-77,8.040093019262548e-54,6.331217884451361e-48,2.4526613322101063e-33,3.557472208555488e-72,3.5485918772151123e-57,7.800054700338072e-51,8.966462628561601e-64,1.6011733151726682e-67,7.079472535777757e-73,1.6733869342635172e-81,1.2732483561277205e-70,1.5908614152904044e-33,1.5134019280693712e-87,7.774640006129686e-86,1.3233622015769935e-79,2.308695335156187e-68,2.3427816363736786e-36,5.879246636106528e-72,2.9105351336510084e-68
1.7194407987337513e-20,0.6621269215042991,3.76,0.0,1.0035591563136783,0.9999999999998008,1.858295130319782e-43,0.0,2.743184688263756e-31,1.5486912040715548e-15,1.548691204071471e-15,1.53007511672508e-17,1.1217137950956951e-34,1.2456276947891569e-33,1.1324503625550875e-26,7.765299201242425e-29,3.2491653763516266e-17,3.0862507098569355e-30,1.5300751156003905e-17,1.7536732907273403e-32,1.0851435454057774e-22,4.431799124352921e-33,1.3168686315376696e-32,5.685734904171824e-39,5.795297379232703e-36,4.270703449935482e-40,3.2491653763516266e-17,7.268227444636208e-36,1.0941569450187895e-32,3.0857140906056987e-55,1.9897382287651978e-32,4.4601931440413774e-32,2.4750099936808235e-44,1.2395076961217097e-35,1.1679433939954165e-34,1.8283357183305132e-32,1.991737947834756e-13,1.594856294048424e-33,3.6533565213774167e-54,1.3060246463043967e-38,4.408932583900791e-49,6.373311688133468e-49,1.0962228819097686e-34,8.861452658796659e-65,7.573261963577106e-54,1.2187380859109125e-51,2.2797137884611907e-53,2.258010889909874e-55,3.938261213352278e-66,2.0322484939075612e-35,1.8008781994374412e-51,2.6363344201126793e-31,1.0130018546361272e-47,3.2627126502640284e-61,2.0919421079086648e-49,2.5047714675506117e-49,1.8739862185123133e-48,5.1298411436282794e-76,6.451668343583e-53,5.080403626031698e-47,9.836268921691893e-33,5.716760838980427e-71,2.847521867161309e-56,6.2590526667359355e-50,7.195021581905842e-63,2.570237777250614e-66,1.1364121286591602e-71,5.378945671369974e-80,2.0438668772091497e-69,6.380065805386877e-33,4.859268476898806e-86,2.4963007117119033e-84,4.255734515946354e-78,3.7111603232546175e-67,9.395603108106655e-36,9.44589021024075e-71,4.6786002219105626e-67
