Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155),CHO2(176),S(248),CF3(44),C2HF(57),CF3O2(433),C2HF(2466),C2F(2465),S(2113),S(1027),CHO2(135)
0.0,0.08000230468635794,3.76,0.0,0.8165255383409196,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1597437154384021e-22,0.08000230468635794,3.76,0.0,0.8165255383409196,0.9999999999999997,3.61702285787401e-52,0.0,2.492914940929885e-38,2.379645494340478e-20,2.3796454943404752e-20,9.429675098720484e-22,5.4774179594880924e-40,6.684841446656131e-39,3.800446807705929e-33,3.1155145710595484e-35,9.109567871697664e-24,1.2966065426000433e-49,9.429675098682795e-22,3.367987985507413e-38,7.983164658921329e-30,3.903742262269412e-37,2.4943455289099783e-38,2.6501756085713614e-51,4.8806553771882164e-45,5.062737375089414e-50,9.109567871697664e-24,2.39884515582265e-46,3.3754192840998715e-39,5.553801565620702e-65,6.493566363343944e-38,4.757924698450661e-39,7.170850272483825e-55,2.1285031730508193e-46,4.385098584728517e-43,2.6623653258149596e-40,4.1231056118553965e-16,8.306438649975518e-42,3.752335206883479e-68,1.5138077423079254e-50,2.1333687508612045e-58,5.913709731369328e-58,3.079509305777026e-43,1.0062833258785718e-73,2.0627622016144416e-66,2.4021021297722335e-64,3.2636165924337055e-66,2.1849605765884835e-69,2.3975747416470467e-81,6.791587745500669e-44,6.191787527745455e-64,1.2084994292327157e-59,1.2382213076095345e-60,6.887716956144666e-75,3.7655502128919097e-63,1.395982958568738e-62,5.725840036662341e-57,4.0471623713962e-90,2.0059049262544465e-64,2.9470924186291567e-57,1.252646215374677e-56,3.735788652806937e-85,3.688087464339401e-73,1.551557538934823e-64,2.6037165824895743e-78,8.419012341192472e-86,1.066610552253608e-90,2.8897741914250915e-94,2.2173472221451373e-87,3.3670983801379644e-38
3.247282403227526e-22,0.08000230468635793,3.76,0.0,0.8165255383409196,0.9999999999999988,4.2941295368704574e-51,0.0,1.5057206243225813e-37,6.663007384153341e-20,6.663007384153321e-20,2.640309027641733e-21,3.3083604475633016e-39,4.037644233764947e-38,1.0742200784750635e-32,1.8817708009199599e-34,2.5506790040753466e-23,1.539331287373441e-48,2.640309027631181e-21,2.0342647432502993e-37,2.2352861266357056e-29,2.357860326410706e-36,1.5065846994616872e-37,1.6007060740512055e-50,2.9479158478249035e-44,3.057893375967739e-49,2.5506790040753466e-23,1.448902474121253e-45,2.0387532475957054e-38,6.59347322149602e-64,3.922114083459736e-37,2.873786517864199e-38,8.513233443492788e-54,1.2856159165242714e-45,2.648599545295289e-42,1.6080686567922333e-39,1.154469571317373e-15,5.017088944572923e-41,4.454772357828057e-67,9.143412094784814e-50,3.223946848709861e-57,8.936798133609185e-57,1.8600236206893417e-42,2.837879980500431e-72,2.4489112857633327e-65,2.851775648465617e-63,3.874565618537327e-65,2.5939851965339014e-68,5.3632977226552195e-80,4.10211899826986e-43,7.350890152939302e-63,1.4347305223850762e-58,1.8711982247319019e-59,1.9424445904397297e-73,5.690313753457691e-62,2.1096086257164942e-61,6.797717291523461e-56,2.0949259035585375e-88,2.3814104844609722e-63,3.498788119388575e-56,1.4871415868908307e-55,1.0535190058477625e-83,5.18615421339838e-72,1.8420091102234424e-63,3.091132328302019e-77,1.8832993846754094e-84,2.3859651409692593e-89,1.4958289916501495e-92,5.037166284329946e-86,2.033727421600714e-37
7.422359778805774e-22,0.08000230468635794,3.76,0.0,0.8165255383409196,0.9999999999999973,4.2160018431454774e-50,0.0,7.249396648238056e-37,1.5229731163779062e-19,1.5229731163778973e-19,6.034992063181092e-21,1.5928331426678775e-38,1.943951892664569e-37,2.502950763153619e-32,9.059916372641057e-34,5.830123437886507e-23,1.5113245860504846e-47,6.034992063156979e-21,9.794109061912882e-37,5.109225536673785e-29,1.1352082498679164e-35,7.253556798071117e-37,7.706710764987314e-50,1.4192945836910709e-43,1.472244030756207e-48,5.830123437886507e-23,6.9758417131966e-45,9.81571927815317e-38,6.473511113380446e-63,1.8883290984604084e-36,1.3836045023094503e-37,8.358343077607102e-53,6.189687227254971e-45,1.2751866686179488e-41,7.742158367469861e-39,2.6387875915724874e-15,2.415512359394444e-40,4.373721917789583e-66,4.402172530606146e-49,3.4681749001199664e-56,9.61379961843327e-56,8.955213061199849e-42,6.173008825202317e-71,2.4043556222217187e-64,2.7998902424625745e-62,3.804071500140815e-64,2.5467900480954957e-67,1.0596989243060998e-78,1.9749937163727756e-42,7.217147542339777e-62,1.4086269347136402e-57,2.012949037589412e-58,4.2252398895092253e-72,6.1213159359589074e-61,2.2694204098789907e-60,6.674039146727201e-55,9.147263291353826e-87,2.3380830035776908e-62,3.4351309231294654e-55,1.4600844286345643e-54,2.291608589641023e-82,6.712712251799216e-71,1.8084954673824883e-62,3.034892053557069e-76,3.721082221029463e-83,4.7142650490415863e-88,6.531372590417317e-91,1.0020716266419631e-84,9.791522089401949e-37
1.5772514529962268e-21,0.08000230468635794,3.76,0.0,0.8165255383409196,0.9999999999999943,3.729005885569602e-49,0.0,3.166001974995369e-36,3.23631787230305e-19,3.2363178723030107e-19,1.2824358134259765e-20,6.956320809053521e-38,8.489748637015268e-37,5.52193168958918e-32,3.9567035052455136e-33,1.2389012305508828e-22,1.3367494811502757e-46,1.2824358134208556e-20,4.2773447416536485e-36,1.0857104710953678e-28,4.957752673081856e-35,3.1678188217166016e-36,3.365723120459603e-49,6.1984323290775564e-43,6.42967648767051e-48,1.2389012305508828e-22,3.0465333479606604e-44,4.286782490797268e-37,5.725747279768004e-62,8.2468292814467e-36,6.042564367032322e-37,7.39285979691983e-52,2.70319902979829e-44,5.569075204453807e-41,3.3812039637849556e-38,5.607423632048505e-15,1.0549177085278389e-39,3.868507506226559e-65,1.9225559248216527e-48,3.1878502461808546e-55,8.836738159607197e-55,3.9109768183370837e-41,1.1443718007722121e-69,2.126625319417666e-63,2.4764712117101022e-61,3.364658162135631e-63,2.252606956089162e-66,1.885678983892424e-77,8.625316436591387e-42,6.383485269603767e-61,1.2459145715617324e-56,1.8502467396161918e-57,7.83288165010337e-71,5.626520780703209e-60,2.0859882409103983e-59,5.903112044183911e-54,3.4052963185461197e-85,2.0680079658646903e-61,3.0383343998580864e-54,1.2914281421897414e-53,4.248237417500246e-81,8.79867081279508e-70,1.599593760340366e-61,2.68432765922728e-75,6.621466995661931e-82,8.388782772554752e-87,2.431465929072134e-89,1.788699708376665e-83,4.2762149427346535e-36
3.2472824032275257e-21,0.08000230468635794,3.76,0.0,0.8165255383409196,0.9999999999999885,3.1344541362965793e-48,0.0,1.3217435016939987e-35,6.66300738415334e-19,6.663007384153173e-19,2.640309027641695e-20,2.9041270025738665e-37,3.544302934802864e-36,1.220597177077406e-31,1.6518458255756708e-32,2.550679004075347e-22,1.1236184840967946e-45,2.640309027631163e-20,1.7857072299693413e-35,2.2352864476328396e-28,2.0697641474549754e-34,1.3225019994289063e-35,1.4051231951111634e-48,2.5877234810286762e-42,2.68426337536788e-47,2.550679004075347e-22,1.2718677016762244e-43,1.7896473044211407e-36,4.812835607869302e-61,3.44288888584486e-35,2.522651675118524e-36,6.214144112529952e-51,1.128532382372828e-43,2.32497927128679e-40,1.4115860957470521e-37,1.1544695712863702e-14,4.404073772045551e-39,3.251713655334222e-64,8.026388716746474e-48,2.727273001026938e-54,7.560015540260119e-54,1.6327558339232126e-40,1.966882737102721e-68,1.7875567197981966e-62,2.0816232720267568e-60,2.828197921137889e-62,1.8934518763915145e-65,3.180474335991478e-76,3.600899822489439e-41,5.365704002942521e-60,1.047266269382152e-55,1.5829249537107649e-56,1.3462721467739698e-69,4.813598144937132e-59,1.784606818601522e-58,4.9619213623065135e-53,1.17317614328045e-83,1.738285312897268e-60,2.5539031364112947e-53,1.08552316788078e-52,7.30162033423436e-80,1.2203352226504225e-68,1.3445549383205124e-60,2.256339154718034e-74,1.11680719021468e-80,1.414890827618147e-85,8.376768287814915e-88,3.021434075796068e-82,1.7852355611126432e-35
6.587344303690124e-21,0.08000230468635794,3.76,0.0,0.8165255383409196,0.9999999999999766,2.569814876703552e-47,0.0,5.399753478761614e-35,1.3516386407853916e-18,1.3516386407853242e-18,5.356055456073066e-20,1.1864306400807359e-36,1.4479633965301353e-35,2.81583648463985e-31,6.748329181496967e-32,5.174234551124276e-22,9.21210319418144e-45,5.3560554560517446e-20,7.295196696579843e-35,4.534438967433757e-28,8.45566188976378e-34,5.402852189447247e-35,5.740387114042239e-48,1.0571694773572166e-41,1.0966091825279755e-46,5.174234551124276e-22,5.195994561817062e-43,7.311293186058782e-36,3.945853438592924e-60,1.4065324485656687e-34,1.0305855213831923e-35,5.094730786225451e-50,4.6104230131348235e-43,9.498298952551607e-40,5.766789790327902e-37,2.3419239873946737e-14,1.7992078371941198e-38,2.665951317018237e-63,3.2791202640292913e-47,2.2549620573963996e-53,6.250767044822465e-53,6.670340336687239e-40,3.2599638922598585e-67,1.4655469985836632e-61,1.7066405247885102e-59,2.3187275282703253e-61,1.552366245887648e-64,5.223939547375652e-75,1.4710850718782463e-40,4.399128323792413e-59,8.586121608023592e-55,1.308792928707161e-55,2.2313472913082043e-68,3.979972575208214e-58,1.4755474132460247e-57,4.06808291945896e-52,3.8933437743608456e-82,1.4251513265651168e-59,2.0938440914755532e-52,8.899774775553746e-52,1.2101888969565325e-78,1.7887108594724073e-67,1.102347373023101e-59,1.8498831933644323e-73,1.8343591634899047e-79,2.3239624330143775e-84,2.7799439026524532e-86,4.966378567675568e-81,7.293269775004955e-35
1.3267468104615321e-20,0.08000230468635794,3.76,0.0,0.8165255383409196,0.9999999999999528,2.081102714145413e-46,0.0,2.182666690791636e-34,2.722314445525507e-18,2.7223144455252337e-18,1.078754831293554e-19,4.7957423427507553e-36,5.852899557444973e-35,7.04004026506632e-31,2.7277825516613403e-31,1.0421345645222132e-21,7.460200006328117e-44,1.0787548312892775e-19,2.9488351451063303e-34,9.132746273939494e-28,3.417913730243602e-33,2.1839192391518955e-34,2.320356560877551e-47,4.273248054488293e-41,4.432669715865114e-46,1.042134564522213e-21,2.1003040789002323e-42,2.9553416032951036e-35,3.1954544630489886e-59,5.685429042292378e-34,4.165791453878958e-35,4.125845080500751e-49,1.8636066963060676e-42,3.8393643072489576e-39,2.3310286362863606e-36,4.716832819392336e-14,7.272685745914558e-38,2.158956499396086e-62,1.3255363621485935e-46,1.8336976955565753e-52,5.083019950647193e-52,2.6962582136560815e-39,5.308006107945082e-66,1.1868379564302785e-60,1.382081744617677e-58,1.8777656694646208e-60,1.2571464338589353e-63,8.468231845638588e-74,5.946361066178713e-40,3.5625281717092246e-58,6.953263888412267e-54,1.0642886603764189e-54,3.633170576521088e-67,3.236446233053487e-57,1.199890645134195e-56,3.294439020315158e-51,1.2685893675256862e-80,1.154124495493612e-58,1.6956492317168805e-51,7.207268355151873e-51,1.970478005674753e-77,2.72513006586896e-66,8.92709482960081e-59,1.498083451462573e-72,2.9735752519204857e-78,3.767243250257305e-83,9.058042345037233e-85,8.053662697690943e-80,2.948056252278789e-34
2.6627715706465712e-20,0.08000230468635794,3.76,0.0,0.8165255383409196,0.9999999999999053,1.6750525162543265e-45,0.0,8.776406766874189e-34,5.463666055005738e-18,5.463666055004639e-18,2.1650534026659418e-19,1.928346904870197e-35,2.353425169450974e-34,1.9623348487123315e-30,1.0968293667992269e-30,2.0915567833417847e-21,6.004617987464388e-43,2.1650534026574313e-19,1.1857136425509809e-33,1.8329369954566556e-27,1.3743280783994894e-32,8.781443208395953e-34,9.330054159107466e-47,1.7182542484053728e-40,1.782357051332386e-45,2.0915567833417836e-21,8.44523032820392e-42,1.188329860595853e-34,2.571979823066783e-58,2.2860860124801335e-33,1.6750464217882504e-34,3.320839061196375e-48,7.493480562050286e-42,1.5437915065464168e-38,9.372963624142361e-36,9.466650482511881e-14,2.924314951509844e-37,1.7377160211885833e-61,5.330434252233778e-46,1.4789436217048978e-51,4.099639735205897e-51,1.0841535691373363e-38,8.567143258371038e-65,9.552704400733577e-60,1.1124196264631269e-57,1.5113891727070304e-59,1.0118608194408764e-62,1.3637826907938375e-72,2.391005631165823e-39,2.867432605535015e-57,5.596591697679784e-53,8.583873557811136e-54,5.86395191986655e-66,2.6103105913350965e-56,9.67755271919755e-56,2.651651133210688e-50,4.0961981672390625e-79,9.28939801200029e-58,1.364806019619122e-50,5.801036589863603e-50,3.180358735011697e-76,4.248423404641076e-65,7.18530255856541e-58,1.2057881113149566e-71,4.7888512730030904e-77,6.067029116904978e-82,2.9247869643030774e-83,1.29725425265194e-78,1.1854004529148694e-33
5.33482109101665e-20,0.08000230468635793,3.76,0.0,0.8165255383409196,0.9999999999998103,1.344124153277031e-44,0.0,3.5197316481996144e-33,1.09463692739662e-17,1.0946369273961786e-17,4.337650545410293e-19,7.733533573119223e-35,9.438287519737585e-34,6.132956757603521e-30,4.398776329786948e-30,4.190401220980927e-21,4.8183277767291636e-42,4.337650545393529e-19,4.7552420312358354e-33,3.672265358628305e-27,5.511670277632477e-32,3.521751486232862e-33,3.741771004497961e-46,6.890968045090784e-40,7.148049389030252e-45,4.190401220980923e-21,3.3869150851119454e-41,4.765734234313082e-34,2.0638519474539402e-57,9.168227387002659e-33,6.717685334193498e-34,2.6647642074705105e-47,3.005220859976132e-41,6.191294456891934e-38,3.758977629324384e-35,1.8966285805247856e-13,1.1727810883466048e-36,1.394407678304806e-60,2.1381522822738873e-45,1.1879679453484816e-50,3.2930535832786086e-50,4.3479407117813066e-38,1.3767169224843555e-63,7.665443676001622e-59,8.926466924964508e-57,1.2127946271331847e-58,8.11954583158978e-62,2.189173297677175e-71,9.589001980382073e-39,2.3009340813394874e-56,4.490912376352284e-52,6.89503403148886e-53,9.423213282476706e-65,2.0967432047700494e-55,7.773536622366864e-55,2.1277830391560863e-49,1.3166862942342495e-77,7.45415688122275e-57,1.095170877917181e-49,4.654966525977764e-49,5.11075053991915e-75,6.70710614765462e-64,5.765752788707676e-57,9.675696636811164e-71,7.687166863753917e-76,9.73892537691382e-81,9.40146631608459e-82,2.08257015478049e-77,4.753985998665372e-33
