Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),CHF(40),HF(38),CHF2(81),CHFO2(135),CHFO2(137),CFO2(142),F(37),S(133),CF2O(48),CF(49),S(179),C2HF4(68),CF2(42),CHFCF2(54),C2HF3(206),CHFO(46),S(390),CF2O2(702),CF2O2(150),CHF3(41),C2H2F3(67),S(851),C2H2F3(66),CH2CF2(56),S(259),O2(148),S(453),S(1226),C2H3F2(63),CH2F(45),CH3F(39),C2H3F2(64),CF2CH(72),C2HF2(71),S(961),CHF2O(220),CFO(50),S(708),CF3(44),CF3O2(422),CHFO(432),S(178),CHF3O(225),C2HF4(53),CHFO2(140),S(423),CF2CF2(60),CF3O(47),CHO2(161),C2HF(57),C2HF(2537),C2F(2536),S(1231),S(268),S(3108),S(711),CHO3(226),S(2070),FO2(124),S(3821),CHO2(141)
0.0,0.5227103782026612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7911595955721598,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0289422401706084e-21,0.5227103782026612,1.5715877957230712e-35,4.626934741564866e-33,1.0464020858206068e-38,1.475893769739325e-25,0.0,0.0,5.670301004083347e-23,1.6868528285716435e-40,7.232471970969279e-55,5.295171722834365e-38,1.2902665509180481e-67,5.912307789266466e-76,4.5094349888393925e-54,3.596807717500392e-60,1.399121372818009e-63,2.8444182401911885e-74,5.980872208111087e-100,4.748497073248428e-101,4.632401599964475e-126,6.785126074329863e-133,9.05940847336451e-68,-6.101188792747142e-114,3.026232194051015e-82,1.2094004192991193e-115,-4.4671844054688295e-129,-1.0589832011666944e-134,1.386042906584414e-138,-3.6268132655367095e-139,5.779814254152154e-85,-1.317650723059663e-133,-3.871708143154634e-139,-8.192343293759177e-144,3.76,0.0,0.7911595955721598,0.9999999999999994,3.9593418241633536e-52,9.784430944170165e-79,4.357594907718232e-22,4.35759490771825e-22,5.670301004084735e-23,2.2351718889197924e-42,2.47796520588477e-41,1.760774836093045e-36,1.6350808726257965e-30,6.29803198567748e-38,5.940867441126297e-39,1.6015184459909977e-42,1.3297925259307653e-47,1.4600675778600275e-52,1.475893769739325e-25,1.1774466204060256e-48,5.2650688029583154e-49,3.2921725428926204e-39,4.7695540146864865e-67,6.957126428083308e-46,1.2798529817019216e-44,9.223726813649801e-45,2.11428485207925e-61,8.203434118781516e-61,3.030690662573491e-54,4.688332502080269e-46,2.3122673226671362e-71,4.974937185473828e-16,1.1590433896076166e-75,1.8171652078988996e-70,1.7813071486283448e-70,1.6355426259351492e-30,8.26450022161221e-47,1.6571698251353997e-68,1.544826571337114e-63,7.858817123437864e-66,5.666180247124326e-77,2.543975197962223e-66,4.523615143761941e-39,8.922242650402071e-92,6.62239993254905e-62,9.537134363119435e-77,1.66093548198392e-82,3.819734110439584e-73,3.3972509184673404e-83,5.008453702739829e-63,1.4526493685088935e-43,1.0234658737242834e-77,2.539190482376652e-66,1.4396646807030987e-67,3.42754902333959e-40,5.100231912702065e-69,9.9625186322928e-92,6.876782230396501e-97,5.250911411195961e-93,9.498592880257975e-89,1.341746649186434e-110,2.348995744861388e-108,2.5128909950240913e-86,3.468986551397149e-96,4.617557692348869e-34,3.583583783696916e-96,2.117255370857538e-39
1.1281038272477704e-20,0.5227103782026612,4.970945026596372e-35,1.295542794452208e-32,6.320268598357085e-38,4.13250255527011e-25,0.0,0.0,1.587684281143336e-22,1.0188591084572722e-39,8.586390723934691e-54,3.1982837205944043e-37,1.5318044492497554e-66,7.019091807414197e-75,2.7236987332587437e-53,2.2325491169239883e-59,2.1143522185966157e-62,3.462414296941282e-73,3.6384564307576566e-98,1.0622198012977554e-99,2.427300340727073e-124,3.8991090176115545e-131,5.538460269780063e-67,1.820054005177907e-112,8.53445898435135e-81,1.3364168743159042e-113,1.3326218618806822e-127,3.4507395111815564e-133,2.267211368257649e-137,1.2739553673985096e-137,1.8172660785336804e-83,4.0208361047668106e-132,1.5920204579966173e-137,3.2465535547494008e-142,3.76,0.0,0.7911595955721598,0.9999999999999987,4.700530613647156e-51,2.759366077143592e-77,1.2201265741610989e-21,1.2201265741611104e-21,1.5876842811437229e-22,1.350043820973299e-41,1.496690984325587e-40,1.0635080010001791e-35,4.5782264513222704e-30,3.804011319349164e-37,3.588283934440276e-38,9.673171413785579e-42,8.031946856693035e-47,8.818808174709644e-52,4.13250255527011e-25,7.111777587334505e-48,3.1801015570228203e-48,1.988472215907134e-38,5.662414528843095e-66,4.202104363644916e-45,7.730312009362757e-44,5.571130995444471e-44,3.1951072661374005e-60,1.2397029043092629e-59,1.8305502878419426e-53,2.831752831256589e-45,2.745123766002561e-70,1.3929824119147261e-15,1.376016313702865e-74,2.1573385348514795e-69,2.1147678468516432e-69,4.57951935261844e-30,4.991758133853808e-46,1.967392016400789e-67,2.3345416236531056e-62,1.1876243958876768e-64,1.5979532966657774e-75,3.020207355912721e-65,2.7322635468321994e-38,4.61840921250075e-90,1.0007769546021091e-60,2.682065276538916e-75,5.222246904964603e-81,4.534788424181313e-72,1.068150044780821e-81,7.568773961530049e-62,8.774002225716892e-43,2.5672393852356512e-76,3.836085963180757e-65,1.7091699089369917e-66,2.0702396100958973e-39,6.0549953267601386e-68,2.228575567969454e-90,1.5383086778108322e-95,1.1904569414081516e-91,2.6779884379397393e-87,5.609652494684055e-109,9.82081814655406e-107,7.900931393122884e-85,1.7956471343296065e-94,1.2929161538572759e-33,1.8549659449937416e-94,1.278822243988255e-38
2.5785230337091893e-20,0.5227103782026612,1.4051656282630036e-34,2.961245702299832e-32,3.042937265567255e-37,9.44572012633168e-25,0.0,0.0,3.6289926426133364e-22,4.905368025486333e-39,8.430169329361677e-53,1.5398359370039054e-36,1.503934691749608e-65,6.891385959159844e-74,1.3113436947541215e-52,1.134351074563908e-58,2.2745236333545894e-61,3.5756818896012307e-72,1.642573154693889e-96,2.098767328020215e-98,1.3272859910258406e-122,2.2368124176192588e-129,2.7343423846138943e-66,2.3480240926277056e-110,1.8564312449978548e-79,1.2090881206982795e-111,1.7191995922815193e-125,4.62798530441923e-131,6.793261518539005e-135,1.7595464893971255e-135,4.054220653542278e-82,5.717618396442092e-130,4.33778279684883e-135,8.938539283411692e-140,3.76,0.0,0.7911595955721598,0.9999999999999969,4.615008830246115e-50,6.002223938728417e-76,2.788860740939627e-21,2.7888607409396816e-21,3.6289926426142096e-22,6.499879853964916e-41,7.205922818280702e-40,5.120333223358274e-35,1.0464517640595376e-29,1.8314677014349587e-36,1.727604251879516e-37,4.657215640941753e-41,3.867036665511448e-46,4.2458765229428585e-51,9.44572012633168e-25,3.424014772261545e-47,1.5310820079532462e-47,9.573637754731602e-38,5.55939216745217e-65,2.0231323669105214e-44,3.721812470613916e-43,2.6822597574093487e-43,3.43715059502692e-59,1.3336157930182748e-58,8.813441610720578e-53,1.3633670916050986e-44,2.695178792892802e-69,3.183959798577628e-15,1.3509809795909132e-73,2.1180877664282976e-68,2.076291612441416e-68,1.0467472805985114e-29,2.4033166644448797e-45,1.9315971481779498e-66,2.5113932473399566e-61,1.2775921142381998e-63,3.475897310101161e-74,2.9652574934105957e-64,1.3154672838059532e-37,2.0165781204411092e-88,1.0765901372839722e-59,5.824483114051562e-74,1.1650545569597169e-79,4.4522823450392094e-71,2.3829839910541148e-80,8.142141206318498e-61,4.224304423508625e-42,5.307444562686811e-75,4.126294238215882e-64,1.6780731518466119e-65,9.967312559853306e-39,5.944830317446278e-67,4.403289775205628e-89,3.0394387201714846e-94,2.366155713003755e-90,5.8246234159197646e-86,2.2327116879678858e-107,3.908808162913057e-105,1.7626543675885837e-83,7.840497791550402e-93,2.9552369231004248e-33,8.099507024686673e-93,6.156978618308251e-38
5.479361446632028e-20,0.5227103782026612,4.134106597184547e-34,6.292668587019808e-32,1.3289306489931315e-36,2.007215526845482e-24,0.0,0.0,7.711609365553321e-22,2.1423030922859803e-38,7.456389303190245e-52,6.724868088037588e-36,1.3302132033334862e-64,6.095352838402943e-73,5.7269824358221646e-52,5.473395867071002e-58,2.090679084966789e-60,3.4740732435577605e-71,6.202043694900067e-95,3.7346443235092986e-97,5.7849878250461535e-121,1.0619211627105831e-127,1.2537403070612397e-65,2.015265070189191e-108,3.441510659393927e-78,9.150554425881618e-110,1.4755581085656266e-123,4.2945078313956436e-129,1.290733016266569e-132,1.7224563696074394e-133,7.5931065947959125e-81,5.838118390232475e-128,7.743922067667636e-133,1.6006925407673736e-137,3.76,0.0,0.7911595955721598,0.9999999999999933,4.081923047042199e-49,1.112711161313735e-74,5.9263290744965895e-21,5.926329074496827e-21,7.711609365555132e-22,2.838668299947168e-40,3.1470158110270416e-39,2.236184041837857e-34,2.223710014666224e-29,7.998500621809852e-36,7.54490165023028e-37,2.0339284264084965e-40,1.688836508039397e-45,1.8542858305665298e-50,2.007215526845482e-24,1.4953572080394097e-46,6.686637380299592e-47,4.181059129473486e-37,4.917219423492726e-64,8.835550580446055e-44,1.6254132865803256e-42,1.1714133053335107e-42,3.1593335654402294e-58,1.2258226681003163e-57,3.8491749938707555e-52,5.954182277643542e-44,2.3838551222731147e-68,6.765914571616296e-15,1.194927382603912e-72,1.873424642945211e-67,1.8364564179503274e-67,2.224337971271883e-29,1.0495915281448018e-44,1.7084758029218567e-65,2.3084030329563933e-60,1.1743272567582296e-62,6.443727703364561e-73,2.6227366756090056e-63,5.744991232577465e-37,7.507214595845895e-87,9.895718009382638e-59,1.0788835816951599e-72,2.1820182461226135e-78,3.9379936306634436e-70,4.4630652852966184e-79,7.48403037703789e-60,1.844864759887217e-41,9.618319702172288e-74,3.792633221900024e-63,1.4842366992573676e-64,4.3529872596224514e-38,5.258135092720883e-66,7.835418888109654e-88,5.408518805958263e-93,4.221899230721174e-89,1.0797437940914552e-84,7.990680415209874e-106,1.3989283527158406e-103,3.301256689915394e-82,2.918820692457182e-91,6.279878461580204e-33,3.015243350958259e-91,2.6889143208387538e-37
1.1281038272477703e-19,0.5227103782026612,1.3243183405886744e-33,1.2955582632558678e-31,5.548023859029502e-36,4.1325025552701104e-24,0.0,0.0,1.587684281143323e-21,8.943693697086785e-38,6.26754449049e-51,2.807500047480927e-35,1.1181243487589788e-63,5.123511333218825e-72,2.3909024310791665e-51,2.718499525047675e-57,1.7886199735481856e-59,3.4432011893977875e-70,2.1517770717030786e-93,6.2990235187065904e-96,2.4024197854103183e-119,5.1152963019870055e-126,5.732059957657824e-65,1.4812848214608728e-106,5.91507751372492e-77,6.357110106885023e-108,1.084583202581261e-121,3.629598944137051e-127,1.9870022358980527e-130,1.577492089785176e-131,1.3115203370270112e-79,5.66066600012851e-126,1.1610101876138406e-130,2.402880514263923e-135,3.76,0.0,0.7911595955721598,0.9999999999999861,3.431102275355761e-48,1.9124661873686853e-73,1.2201265741610133e-20,1.2201265741611127e-20,1.5876842811436774e-21,1.1850881364224018e-39,1.3138171517581497e-38,9.335628180962527e-34,4.5782265668878546e-29,3.339216558805705e-35,3.1498479172850544e-36,8.49125080064363e-40,7.050559973446773e-45,7.741278357719085e-50,4.1325025552701104e-24,6.242821982501873e-46,2.791539479814717e-46,1.745509882241538e-36,4.1332192260877426e-63,3.688668447271995e-43,6.785780507353553e-42,4.890419956596997e-42,2.702876380524404e-57,1.0487170977188232e-56,1.6070495063073565e-51,2.485753892604391e-43,2.003773871489093e-67,1.3929824116545082e-14,1.0044084741432766e-71,1.57472629490001e-66,1.5436522740877538e-66,4.579519352618773e-29,4.381838017499255e-44,1.4360768557456117e-64,1.9748873810780117e-59,1.0046616897182053e-61,1.1075121459449832e-71,2.2045682128982724e-62,2.398420749222401e-36,2.5863492338235455e-85,8.465995039040771e-58,1.8535803601721986e-71,3.768893890650108e-77,3.310121461199644e-69,7.708835394398007e-78,6.402745492819839e-59,7.701947508762457e-41,1.6354514431279058e-72,3.244623362600989e-62,1.247590377734118e-63,1.817286492157704e-37,4.419779371839825e-65,1.3215579203702004e-86,9.122257491979072e-92,7.130171811243961e-88,1.8557705165828943e-83,2.7035109890153867e-104,4.733036460806019e-102,5.702100436001919e-81,1.0055779763739617e-89,1.2929161538513694e-32,1.0387970465882758e-89,1.1225687974933784e-36
2.288439192416905e-19,0.5227103782026612,4.6066116506726586e-33,2.6281683828032053e-31,2.266548773978186e-35,8.383076612119366e-24,0.0,0.0,3.2207309703192816e-21,3.6537907007992646e-37,5.138511642391805e-50,1.1469553758817264e-34,9.167058953387909e-63,4.200564140458565e-71,9.767616563196218e-51,1.4647103266149915e-56,1.4788655826501085e-58,3.680326021475153e-69,7.166316051934057e-92,1.0346165044318865e-94,1.0424199003917212e-117,2.814419903549016e-124,2.7486601714819957e-64,1.0140861223525504e-104,9.803807187743138e-76,4.2369860768873694e-106,7.425047137695012e-120,3.132011566961824e-125,2.7809468088932836e-128,1.5060742272827727e-129,2.1791106554203925e-78,5.750313352268091e-124,1.6051740303291543e-128,3.324047848541053e-133,3.76,0.0,0.7911595955721598,0.9999999999999718,2.813024943809059e-47,3.169772451932939e-72,2.4751139075835713e-20,2.475113907583978e-20,3.220730970319925e-21,4.8414717260408455e-39,5.367371751151427e-38,3.813908725968611e-33,9.287259875364151e-29,1.364178920225265e-34,1.286815651217629e-35,3.4689530147538003e-39,2.880383803679763e-44,3.1625648269629337e-49,8.383076612119365e-24,2.550396478601389e-45,1.1404349634067962e-45,7.130977414806035e-36,3.3886628662731698e-62,1.5069414256151072e-42,2.772212751105532e-41,1.9978961227436928e-41,2.2347904598779556e-56,8.670995754827053e-56,6.566095386160904e-51,1.0155115732818049e-42,1.6428148879658117e-66,2.8257643201808463e-14,8.234747661356985e-71,1.2910557578453178e-65,1.2655793978399668e-65,9.289882115313138e-29,1.7901238060024817e-43,1.1773825704497689e-63,1.632875071836281e-58,8.30673712421577e-61,1.8356201542896725e-70,1.8074382240399166e-61,9.798331345992596e-36,8.583150103406649e-84,6.999848391640184e-57,3.071560346893489e-70,6.262073568191524e-76,2.713838436444169e-68,1.2808345303177131e-76,5.2939137667074806e-58,3.1464971096976337e-40,2.6964574914420724e-71,2.6826961470051585e-61,1.0228499679650251e-62,7.424208286371006e-37,3.623602160858966e-64,2.1706628525993996e-85,1.4983335323009051e-90,1.1718872991327584e-86,3.075777508258853e-82,8.894458632059025e-103,1.557152798449367e-100,9.474126712929962e-80,3.337146661701317e-88,2.6227727692276423e-32,3.4473886475107304e-88,4.5860598223468217e-36
4.609109922755176e-19,0.5227103782026612,1.701311006421399e-32,5.293497863656143e-31,9.161752534420812e-35,1.688422472581788e-23,0.0,0.0,6.486824348671105e-21,1.4769206203501971e-36,4.161299952919224e-49,4.636177011822003e-34,7.423722012481355e-62,3.401725747873444e-70,3.9482267855841177e-50,8.783248576649477e-56,1.202588931435658e-57,4.368977636952483e-68,2.3392049166845627e-90,1.6771579383552967e-93,4.9520541555811645e-116,1.8873652400940402e-122,1.4400435109658175e-63,6.70950194700015e-103,1.5962958534105464e-74,2.7669138904725434e-104,4.912637222500493e-118,2.9284874778528544e-123,3.719516928661489e-126,1.5602399330598671e-127,3.55250034748073e-77,6.285676149331837e-122,2.1343279282633128e-126,4.421045366438583e-131,3.76,0.0,0.7911595955721598,0.9999999999999432,2.2780605321004706e-46,5.161152728103607e-71,4.985088574428081e-20,4.985088574429725e-20,6.486824348672101e-21,1.957000283387298e-38,2.1695774772825755e-37,1.5416428861896446e-32,1.8705327308448878e-28,5.514229308992489e-34,5.201514606342495e-35,1.4022062723500812e-38,1.1642971871614472e-43,1.278359289252534e-48,1.6884224725817873e-23,1.030911034373325e-44,4.609820463668356e-45,2.8824550855836445e-35,2.7442270884586444e-61,6.091298235035172e-42,1.120572717287912e-40,8.075815564236563e-41,1.817294487493799e-55,7.05110973917729e-55,2.654746264648653e-50,4.104860145541318e-42,1.3303940975504247e-65,5.691328135395847e-14,6.668712403068378e-70,1.0455304261200198e-64,1.024899008733649e-64,1.871060764070422e-28,7.235966640035341e-43,9.534749312554286e-63,1.3278268881705196e-57,6.754900671096883e-60,2.988831562626679e-69,1.4637103489261462e-60,3.9606421918892277e-35,2.7966944925378823e-82,5.692160452472502e-56,5.000742289998461e-69,1.0208760382899323e-74,2.1977381414885335e-67,2.088083550361563e-75,4.3049227466111535e-57,1.27186463717284e-39,4.3791195458314663e-70,2.1815155702098958e-60,8.283304233360954e-62,3.0009836921689066e-36,2.934486978097912e-63,3.5187380242803253e-84,2.4288632234378005e-89,1.9002888510685878e-85,5.008085709366683e-81,2.8858509783341456e-101,5.052259070934659e-99,1.5445222761869118e-78,1.0873606515779287e-86,5.282485999938502e-32,1.1232813977844221e-86,1.8537587045013582e-35
9.250451383431716e-19,0.5227103782026612,6.519375406478362e-32,1.0624593792395093e-30,3.683900399263712e-34,3.3886520953214906e-23,0.0,0.0,1.3019011105374373e-20,5.938632857099221e-36,3.349376227022331e-48,1.8641863859036285e-33,5.975257324822538e-61,2.738004825260123e-69,1.5875646255412058e-49,5.833802673224387e-55,9.699315399830944e-57,5.7517483338517865e-67,7.559906082001543e-89,2.701011155885199e-92,2.5967978118539926e-114,1.556640650864109e-120,8.436185908705113e-63,4.365569256291951e-101,2.576427943189315e-73,1.78872014782994e-102,3.1964308315942864e-116,3.019635539407694e-121,4.8658996461722185e-124,1.748791325661769e-125,5.737297550435946e-76,7.318452274577547e-120,2.7840950605153137e-124,5.7677421689719975e-129,3.76,0.0,0.7911595955721598,0.9999999999998859,1.8335813030330672e-45,8.33012131139651e-70,1.0005037908114683e-19,1.000503790812129e-19,1.3019011105375161e-20,7.869012093626205e-38,8.723775603219142e-37,6.198878241443203e-32,3.7541465439146866e-28,2.2172473526828957e-33,2.091506146117668e-34,5.63820974984554e-38,4.681587784654282e-43,5.1402266477477954e-48,3.3886520953214876e-23,4.145247931247177e-44,1.853588535093448e-44,1.1590225124147854e-34,2.2087927712975274e-60,2.449284272824853e-41,4.505773606992809e-40,3.2472499196519423e-40,1.4657138401691092e-54,5.686975446893182e-54,1.0679648346214448e-49,1.6505462106954277e-41,1.070816924939012e-64,1.1422455758475144e-13,5.367560303905898e-69,8.415338468954851e-64,8.249278864292857e-64,3.7552058691495763e-28,2.909550361022072e-42,7.674395751197493e-62,1.07094048828709e-56,5.44807210292686e-59,4.823986188019485e-68,1.1781214514328692e-59,1.5925568058209513e-34,9.030357037098286e-81,4.590933613987114e-55,8.07081743833965e-68,1.6487175290549693e-73,1.768933132414663e-66,3.3722605113875606e-74,3.4720761479463655e-56,5.114113353896294e-39,7.058819518367324e-69,1.7594680033342782e-59,6.667123879828719e-61,1.2066823437670656e-35,2.3619304145769433e-62,5.666819111468239e-83,3.911609343674806e-88,3.0608513209358722e-84,8.083054106136677e-80,9.298704387886733e-100,1.6279241035315916e-97,2.4944092403975057e-77,3.511021649631113e-85,1.0601912461193592e-31,3.627007560325362e-85,7.453882215676367e-35
1.85331343047848e-18,0.5227103782026612,2.5502563075981888e-31,2.1288533518005457e-30,1.4774088265969343e-33,6.789111340800895e-23,0.0,0.0,2.6083384618779403e-20,2.3816573875430143e-35,2.687663485836912e-47,7.476221185993325e-33,4.794767694542217e-60,2.1970764386219557e-68,6.366844203974057e-49,4.1860984285015934e-54,7.791017600612859e-56,8.202636821026199e-66,2.431152500206436e-87,4.335721089134496e-91,1.475121022618907e-112,1.522698890101229e-118,5.505636721859823e-62,2.8170497729651336e-99,4.1402505386455634e-72,1.1505423967788763e-100,2.0626187328265218e-114,3.3864803377687905e-119,6.296335003312494e-122,2.07524811690029e-123,9.22253824825554e-75,8.889316515801784e-118,3.5973913841089337e-122,7.453119885610771e-127,3.76,0.0,0.7911595955721598,0.9999999999997713,1.4713335207854093e-44,1.3386281319392043e-68,2.00449365754782e-19,2.0044936575504703e-19,2.608338461877614e-20,3.155825820666893e-37,3.498624188107175e-36,2.4860274264180204e-31,7.521375475865706e-28,8.892153572363527e-33,8.387875094916663e-34,2.261174284781108e-37,1.877526092966414e-42,2.0614609243154541e-47,6.789111340800886e-23,1.662429823699038e-43,7.433719074523359e-44,4.648198660268925e-34,1.7724172034200225e-59,9.822725748253802e-41,1.8070167383298397e-39,1.3022924545825435e-39,1.1773410653561938e-53,4.568087949244136e-53,4.287051446137472e-49,6.619428529757027e-41,8.59263166330868e-64,2.2884710975230914e-13,4.307129743957354e-68,6.752779155677329e-63,6.619526767188327e-63,7.523496079311638e-28,1.1668598275913948e-41,6.158219273790976e-61,8.602376400899512e-56,4.376187791391604e-58,7.752016297424665e-67,9.453683056995552e-59,6.386865079778445e-34,2.9027275761863336e-79,3.6876875429995074e-54,1.2969265214424757e-66,2.6502652763342827e-72,1.4194610899377446e-65,5.420810281400941e-73,2.788960380141846e-55,2.050989461710921e-38,1.1336052797117409e-67,1.413299054024202e-58,5.349947035395842e-60,4.839335899987907e-35,1.8953004085265535e-61,9.096499685073295e-82,6.278999287422772e-87,4.913759699999793e-83,1.2989237835019676e-78,2.985879010067232e-98,5.227378163471498e-96,4.0096952702727973e-76,1.1285865352549017e-83,2.1240765383038234e-31,1.1658691679697798e-83,2.989340148425464e-34
