Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),CH4(4),OH(5),HF(38),CHF(40),CHF2(81),CHFO2(129),CHFO2(131),H(6),CFO2(136),H2(8),CO2(14),HO2(11),F(37),O(7),S(163),CF2O(48),CHF3(41),S(164),C2HF4(68),CF2(42),CHFCF2(54),CHF2O(170),S(419),CHFO(46),H2O2(12),CO(13),C2HF3(316),CF2O2(924),CF(49),O2(177),CF2O2(144),S(275),C2H2F3(66),C2H2F3(67),S(1097),CH2CF2(56),S(649),S(1188),C2H3F2(64),C2H3F2(63),S(1145),CH2O(20),CF2O2(171),HCO(15),CFO(50),CF2CH(72),S(1009),CF2CF2(60),C2HF2(71),CHF2O(232),S(898),CHFO(1069),S(155),CHO2(176),S(248),CF3(44),C2HF(57),CF3O2(433),C2HF(2466),C2F(2465),S(2113),S(1027),CHO2(135),S(3056),S(907),HCCO(21),CHF3O(237)
0.0,0.098360962302503,3.76,0.0,0.6113367598358228,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3409118778185652e-22,0.098360962302503,3.76,0.0,0.6113367598358228,0.9999999999999996,1.9357573487397867e-52,0.0,1.8635502196076623e-38,1.6539612636614395e-20,1.6539612636614374e-20,7.333361422964583e-22,2.8367587702622476e-40,3.462217717404499e-39,3.41598160823096e-33,2.0665556439583935e-35,8.893831538479927e-24,8.598882725756707e-50,7.333361422930633e-22,2.176107247867785e-38,8.864154766562324e-30,2.3871244041150977e-37,1.864984636849762e-38,2.1286813620210134e-51,3.3167589103027986e-45,3.803343110178782e-50,8.893831538479927e-24,1.9948356576806755e-46,2.5766082574322354e-39,3.310825108000295e-65,4.2021752773710525e-38,2.7406917977628437e-39,4.46551768501982e-55,1.733477285525709e-46,3.541671215683549e-43,1.85464222471268e-40,4.2426406806520446e-16,6.68195199200584e-42,3.196333547699571e-68,1.2027981588109205e-50,8.788270928861732e-59,2.4458568556259665e-58,1.6731636490972895e-43,3.250788699318879e-74,1.1694549715971007e-66,1.0214595447655724e-64,1.3949128036430226e-66,1.302500954727633e-69,1.4399113810911577e-81,5.44599825985859e-44,5.011676990720113e-64,8.585502055054394e-60,8.695617623306421e-61,4.533257954851179e-75,3.221316688576418e-63,9.683817107754329e-63,3.3998602388635574e-57,2.3020231547737326e-90,1.5866525444694663e-64,1.711069831718307e-57,6.084973553036335e-57,2.3970206060136852e-85,2.982572055806927e-73,1.0700608798370733e-64,2.1467949684212673e-78,6.6759507866331e-86,7.824605807283999e-91,1.62493665452992e-94,1.4611152870881793e-87,2.1752244179741418e-38,7.701372915353655e-105,1.6076183047757212e-103,1.672848752335278e-97,2.218676337483415e-80
3.7545532578919825e-22,0.098360962302503,3.76,0.0,0.6113367598358228,0.9999999999999988,2.298131124424992e-51,0.0,1.1255843326436255e-37,4.63109153825203e-20,4.631091538252017e-20,2.0533411984300815e-21,1.7134022972522093e-39,2.0911795013050506e-38,9.631710454266188e-33,1.2481996089508645e-34,2.4902728307743795e-23,1.0208593572011475e-48,2.0533411984205764e-21,1.3143687777149877e-37,2.4819633490922106e-29,1.4418231400855076e-36,1.126450720657301e-37,1.2857235456235726e-50,2.0033223818245432e-44,2.2972192394311726e-49,2.4902728307743795e-23,1.2048807372418013e-45,1.5562713874886132e-38,3.9306115696015635e-64,2.538113867532111e-37,1.655377845848757e-38,5.301462595655522e-54,1.0470202804584978e-45,2.1391694143592845e-42,1.1202039037264568e-39,1.1879393905803956e-15,4.035899003162548e-41,3.794687187919437e-67,7.264906341703387e-50,1.3280834962875557e-57,3.696178868149084e-57,1.0105908440547717e-42,9.167744229387515e-73,1.3883769422838328e-65,1.2126767715456945e-63,1.6560404804850069e-65,1.5463291334575017e-68,3.2210350160884326e-80,3.2893829489455035e-43,5.949862923382839e-63,1.0192708039760544e-58,1.3140801859962762e-59,1.2784498350797606e-73,4.867901148012143e-62,1.4634176901956131e-61,4.0363140755776198e-56,1.1915921666518198e-88,1.8836740297329481e-63,2.031382104211767e-56,7.224080602155428e-56,6.7597771969969355e-84,3.943837910452142e-72,1.2703762765425857e-63,2.5486749875573276e-77,1.4933834871666898e-84,1.7503330206662186e-89,8.411130812596855e-93,3.313223417257516e-86,1.3138355484547561e-37,3.2204661838993407e-103,6.7225421286073384e-102,1.0176755310646572e-95,6.975873393262087e-79
8.581836018038817e-22,0.098360962302503,3.76,0.0,0.6113367598358228,0.9999999999999972,2.256318765694556e-50,0.0,5.419204038628037e-37,1.0585352087433211e-19,1.0585352087433151e-19,4.693351310697321e-21,8.249294504129801e-39,1.0068129122103283e-37,2.2331015951214644e-32,6.009543812630932e-34,5.692052184627153e-23,1.0022857705120663e-47,4.693351310675598e-21,6.328119876842204e-37,5.673059151783203e-29,6.941757767166529e-36,5.4233753239597746e-37,6.190205444353779e-50,9.645134911184857e-44,1.106012177739538e-48,5.692052184627153e-23,5.80098209257474e-45,7.492776812606083e-38,3.859097750095263e-63,1.2219925706594952e-36,7.96993174789434e-38,5.205007413659076e-53,5.040951946323027e-45,1.0299179896504075e-41,5.393299589464444e-39,2.7152900356020705e-15,1.943111639261832e-40,3.7256463834695343e-66,3.497745083479284e-49,1.4286916191587063e-56,3.9761805559105945e-56,4.865559891575052e-42,1.9941846162658267e-71,1.3631167149048044e-64,1.190613245378774e-62,1.6259103639263394e-64,1.5181951128449893e-67,6.364231996887979e-79,1.58369629395325e-42,5.841610700383124e-62,1.0007261195371302e-57,1.413626965868e-58,2.780906535129636e-72,5.2366133771795885e-61,1.5742777129713566e-60,3.9628770944156534e-55,5.202955611221759e-87,1.8494023889258584e-62,1.9944229958378177e-55,7.092645173390296e-55,1.470383557513255e-82,4.680734806409931e-71,1.247262961538132e-62,2.5023042184728588e-76,2.95067411400058e-83,3.4583630924960124e-88,3.672627387360859e-91,6.585952690529731e-85,6.3255526074444225e-37,1.2819018023314974e-101,2.675897953542449e-100,4.5942738062898845e-94,1.5562789798109635e-77
1.823640153833249e-21,0.098360962302503,3.76,0.0,0.6113367598358228,0.9999999999999941,1.995688396264035e-49,0.0,2.3667087789109818e-36,2.249387318579557e-19,2.249387318579531e-19,9.973371535231769e-21,3.602683638447146e-38,4.397016500991076e-37,4.8801018164623514e-32,2.62452566782708e-33,1.20956108923327e-22,8.865104134901283e-47,9.973371535185625e-21,2.763656204836194e-36,1.2055250988441335e-28,3.0316479932259905e-35,2.368530488799886e-36,2.703425374421532e-49,4.212283816109461e-43,4.830245763237956e-48,1.20956108923327e-22,2.53344128529475e-44,3.2722924869318527e-37,3.413328262106154e-62,5.336762602261165e-36,3.4806785831588006e-37,4.6037701125479756e-52,2.201516152632261e-44,4.4979224452576307e-41,2.355395625385072e-38,5.769991325610589e-15,8.486079029708263e-40,3.295292034897369e-65,1.5275618944357608e-48,1.3132137390886298e-55,3.6547949649607286e-55,2.124917834353694e-41,3.6968821921888124e-70,1.2056612975409784e-63,1.0530839322715622e-61,1.4380993040438763e-63,1.3428263843158856e-66,1.1324818640150007e-77,6.916417789879579e-42,5.166838510352304e-61,8.851309198678664e-57,1.2993665348053418e-57,5.155331229257761e-71,4.8133308379836463e-60,1.447032348664234e-59,3.505119911850982e-54,1.936929604708985e-85,1.635775491626167e-61,1.764044553680919e-54,6.273364334177745e-54,2.7258317835805956e-81,5.567544768125164e-70,1.1031899646769101e-61,2.213259747840572e-75,5.2505669319512015e-82,6.153972343465858e-87,1.367226869722886e-89,1.1751694941891563e-83,2.762535010801965e-36,4.588003438781082e-100,9.577199275684523e-99,1.7347103726565034e-92,2.9147382924548564e-76
3.754553257891982e-21,0.098360962302503,3.76,0.0,0.6113367598358228,0.999999999999988,1.6774963463134983e-48,0.0,9.880543264443077e-36,4.631091538252029e-19,4.63109153825192e-19,2.0533411984300547e-20,1.5040495001857268e-37,1.8356678336664926e-36,1.060265874694888e-31,1.0956878024266691e-32,2.4902728307743796e-22,7.451654187935777e-46,2.053341198420561e-20,1.1537720628591961e-35,2.481963558686221e-28,1.265653359061659e-34,9.888148544583627e-36,1.1286268981635939e-48,1.7585455742648645e-42,2.0165325289461343e-47,2.4902728307743796e-22,1.057661865738405e-43,1.3661176980841935e-36,2.869108081218366e-61,2.2279933320620683e-35,1.453114791173849e-36,3.86974617755511e-51,9.190896567988247e-44,1.8777940797609884e-40,9.833313075426351e-38,1.1879393905488302e-14,3.5427709460362626e-39,2.769891512111241e-64,6.3773096205865e-48,1.1234820013818695e-54,3.1267540386057007e-54,8.871113667515049e-41,6.353995929636564e-69,1.0134309671483828e-62,8.851804981412151e-61,1.2088091170323032e-62,1.1287264874055303e-65,1.91009682886111e-76,2.887468277250278e-41,4.3430390933252885e-60,7.44005871287687e-56,1.1116353531410103e-56,8.86069656561726e-70,4.117898603905106e-59,1.2379666037909744e-58,2.9462644852211996e-53,6.673015682683875e-84,1.3749678724724396e-60,1.4827857390000912e-53,5.273140721374503e-53,4.6849995334594434e-80,7.078269132310818e-69,9.272976374928766e-61,1.860378185227664e-74,8.855848569732726e-81,1.0379573840763337e-85,4.710303524325512e-88,1.9847274593305564e-82,1.1533039863872142e-35,1.5523033854607575e-98,3.240346058478209e-97,6.018516136862307e-91,5.034485555995527e-75
7.616379466009449e-21,0.098360962302503,3.76,0.0,0.6113367598358228,0.9999999999999758,1.3753128547797627e-47,0.0,4.036524317749467e-35,9.39449997759697e-19,9.394499977596526e-19,4.1653492882437626e-20,6.144532968370225e-37,7.499302063748553e-36,2.376199855914078e-31,4.476242187039037e-32,5.0516963138565985e-22,6.109316313181221e-45,4.165349288224533e-20,4.713535343507635e-35,5.034840848412234e-28,5.1706069442880625e-34,4.039631322807299e-35,4.610809315528639e-48,7.184232470260862e-42,8.238193411164827e-47,5.051696313856598e-22,4.320893828267758e-43,5.58103654987452e-36,2.3522681630629555e-60,9.10207973779626e-35,5.936448061626143e-36,3.172651716575918e-50,3.754781139650737e-43,7.671401530226361e-40,4.017229244416421e-37,2.409819906468644e-14,1.447337529170402e-38,2.27092441231045e-63,2.605371264135549e-47,9.289166446335428e-54,2.5852607043893807e-53,3.6241393904917265e-40,1.0531282272367164e-67,8.308719358249529e-62,7.257244527293374e-60,9.910547473138632e-62,9.253981692041285e-65,3.137340293176969e-75,1.1796250069710983e-40,3.5606858440771385e-59,6.0998096422301154e-55,9.19121578061496e-56,1.4685954255139977e-68,3.40475535718462e-58,1.0235747139609076e-57,2.41552563077445e-52,2.214530533423222e-82,1.1272817374478592e-59,1.2156773349295061e-52,4.3232393530293755e-52,7.765036205279625e-79,9.735440785513022e-68,7.602546281802623e-60,1.5252504525509663e-73,1.4545757868236355e-79,1.7048481201365526e-84,1.563177950164334e-86,3.2620496643277976e-81,4.711623098116723e-35,5.107071724559815e-97,1.0660725144725975e-95,2.0044171567592644e-89,8.36487304839229e-74
1.5340031882244386e-20,0.098360962302503,3.76,0.0,0.6113367598358228,0.9999999999999514,1.1137640072131343e-46,0.0,1.6316276677350291e-34,1.8921316856286863e-18,1.8921316856285045e-18,8.389365467870991e-20,2.483718469127517e-36,3.0313377973320633e-35,5.693758198839845e-31,1.8093686609559894e-31,1.0174543280021035e-21,4.947482745019928e-44,8.38936546783237e-20,1.9052863489326115e-34,1.0140596908031615e-27,2.0900419977730114e-33,1.6328835688288467e-34,1.8637629870149977e-47,2.9039816305527646e-41,3.330009536256543e-46,1.0174543280021032e-21,1.7465743706617196e-42,2.2559442065338604e-35,1.9049277675836786e-59,3.6792061597512296e-34,2.3996072221475906e-35,2.569295616633544e-49,1.517742570478371e-42,3.100903157945518e-39,1.6238282905625465e-36,4.853580938085355e-14,5.850369701824543e-38,1.8390534682142264e-62,1.0531587497730118e-46,7.553795883109848e-53,2.1022910697978983e-52,1.4649350866406828e-39,1.7147463122978594e-66,6.728616355000537e-61,5.8771047749739515e-59,8.025818292044235e-61,7.494114300655104e-64,5.085764227811596e-74,4.7682328835399435e-40,2.8835357135470217e-58,4.939783996522084e-54,7.474143914885198e-55,2.3912269031537836e-67,2.768689387989436e-57,8.323539527645297e-57,1.9561552825121406e-51,7.215725204669642e-81,9.129019791418225e-59,9.844870243184328e-52,3.501071315475944e-51,1.2643343007766803e-77,1.4252714752561895e-66,6.156739088328946e-59,1.2351873999101333e-72,2.3579300323675647e-78,2.7636322696350613e-83,5.093387679269184e-85,5.289636477471337e-80,1.9045133885505e-34,1.6570205659412047e-95,3.458937286693827e-94,6.542751441885578e-88,1.3636854253844937e-72
3.078733671471426e-20,0.098360962302503,3.76,0.0,0.6113367598358228,0.9999999999999025,8.964541683141174e-46,0.0,6.560703090607836e-34,3.797495061366663e-18,3.797495061365934e-18,1.6837397827124695e-19,9.986922731943736e-36,1.2188875957104707e-34,1.5071636406639715e-30,7.2753918067772764e-31,2.042023721234991e-21,3.982164534276372e-43,1.6837397827047627e-19,7.661072612650915e-34,2.0352114947939808e-27,8.403966949654004e-33,6.565753013450028e-34,7.494110134857869e-47,1.1676782415333753e-40,1.3389822224575676e-45,2.0420237212349896e-21,7.02289872832371e-42,9.071052434260198e-35,1.5332516284841301e-58,1.4793926150992318e-33,9.648715101695416e-35,2.0679926359333305e-48,6.102776123521664e-42,1.2468595249765215e-38,6.52934213778843e-36,9.741103000427108e-14,2.352407925886184e-37,1.480230227562736e-61,4.234914329911249e-46,6.0924100345859004e-52,1.6955739084817875e-51,5.890439553199857e-39,2.767607461310778e-65,5.415775819853019e-60,4.730405219460865e-58,6.45987679185093e-60,6.031915163604032e-63,8.190466836949334e-73,1.9172854706602672e-39,2.320920404198025e-57,3.9759679118951783e-53,6.028167791437356e-54,3.859449831522189e-66,2.233047847063621e-56,6.713236147978791e-56,1.5744839529967109e-50,2.3299139241920854e-79,7.347829340410815e-58,7.924008054928696e-51,2.817966780763398e-50,2.0406402209191168e-76,2.17239328660939e-65,4.9554792424857846e-58,9.941863763869551e-72,3.797373626197153e-77,4.450744572214222e-82,1.6446240036118167e-83,8.520171653538592e-79,7.657964571173747e-34,5.339202517077686e-94,1.114528512785048e-92,2.1145042089205886e-86,2.2023556045902205e-71
6.1681946379654e-20,0.098360962302503,3.76,0.0,0.6113367598358228,0.9999999999998048,7.193480134090997e-45,0.0,2.631135374141554e-33,7.608221812842619e-18,7.608221812839691e-18,3.3733462545629086e-19,4.005202695948389e-35,4.8882844172843235e-34,4.479843891002316e-30,2.9177575143677656e-30,4.091162507700766e-21,3.195436250494625e-42,3.373346254547647e-19,3.0724327684273706e-33,4.077517471043389e-27,3.37036662341614e-32,2.6331606188885244e-33,3.005474256991521e-46,4.682912005914798e-40,5.3699178579399813e-45,4.091162507700762e-21,2.8164964977022567e-41,3.637897738728816e-34,1.230337929079708e-57,5.933026061065657e-33,3.869566305110101e-34,1.6594338527090335e-47,2.447486179163534e-41,5.000464394253803e-38,2.618558229217239e-35,1.951614712154395e-13,9.434207920102588e-37,1.1877915396798158e-60,1.698557947700912e-45,4.8937550591727365e-51,1.361977172544717e-50,2.3623297171841136e-38,4.447470891809659e-64,4.34581902331792e-59,3.795852278105656e-57,5.183644296634666e-59,4.840232044014236e-62,1.3147513455467807e-71,7.689172261337413e-39,1.8623924579040295e-56,3.190463851581635e-52,4.842152177806544e-53,6.202032244892536e-65,1.7937052908050852e-55,5.392436346731011e-55,1.2634242146919544e-49,7.489300085634242e-78,5.896170297587675e-57,6.358517425654173e-50,2.261240871808812e-49,3.2792537023306673e-75,3.388540579417774e-64,3.9764600069185025e-57,7.977722278401217e-71,6.095625661451987e-76,7.1444307296495785e-81,5.286496879923047e-82,1.3677864742274707e-77,3.0711863033593732e-33,1.714448689302531e-92,3.5788152675616144e-91,6.799928647871563e-85,3.540222312129911e-70
